,Play 1,Play2,Op symbol1,Op symbol2,Cost,Operation Type
48,,"('Florestan', 'La blessure est legere, Ce n’est que dans la main .')",-,32,1.0,Deletion
49,,"('Licidas', 'Monsieur, à deux genoux J’en demande pardon.')",-,33,1.0,Deletion
50,,"('Florestan', 'Ah Dieux ! que faites-vous ?')",-,34,1.0,Deletion
51,"('JEAN', 'Venir vite.')","('Lizandre', 'Allons icy devant penser vostre blessure.')",45,35,1.63,Substitution
52,"('MANUEL', ""(Comme cela m'a été triste de recevoir Madrid avec du sang !)."")","('Florestan ', 'En entrant dans Paris, Dieux ! quel mauvais augure, Qu’il me couste du sang.')",46,36,1.27,Substitution
53,"('LUIS', ""(Quel dommage Je suis de ne pas pouvoir savoir de quelle dame il s'agissait !)."")","('Licidas ', 'Je suis au desespoir, Que ce rencontre Quel estoit cet object que je voulois cognoistre.')",47,37,1.9,Substitution
54,"('COSME', ""Comme c'est bien mérité mon amour, ce qu'il prend,  pourquoi ne pas viser à être  Don Quichotte de la ligue ! (Les trois partent et DON LUIS arrive chez DOÑA BEATRIZ, qui se tient à l'écart.)"")","('carrille ', 'M’en doutais-je pas bien ? on a payé mon maistre, Il le meritoit bien pour avoir imité Ce fol de Don Quixote en sa temerité.')",48,38,0.9,Substitution
55,"('LUIS', ""La tempête est déjà passée; encore une fois, madame, revenez  restaurer les fleurs,  qui est maintenant flétri et sec de ta beauté la glace  d'un évanouissement."")","('Angelique', 'Oste-moy promptement ces habits Isabelle, Redonne-moy mon deüil, ah !  N’ay-je pas, miserable, encor assez pleuré, Mais si mon sort le veut prenons le tout en gré Faut-il m’ensevelir tous les jours toute vive ? (Elle reprend son düeil.)')",49,39,0.83,Substitution
56,"('BEATRIZ', 'Oùest-il  Don Juan?')",,50,-,1.0,Insertion
57,"('LUIS', ""Pardonnez-luivous demande-t-il, car ils l'emmènent obligations forcées et prendre soin avec diligence de la santé d'un ami qui est blessé"")","('Isabelle', 'Depeschez-vous avant que vostre frere arrive, S’il a quelque soupçon de vous asseurément Vous luy confirmerez avec ce vestement, Qu’en l’hostel de Bourgongne Car quand vous jureriez vous ne seriez point creüe.')",51,40,0.98,Substitution
58,"('BEATRIZ', ""M. Don Luis, vous le savez déjà que j'estime vos gentillesses,  bien sûr, ils le méritent pour aimer et le vôtre ; mais je ne peux pas les payer,  c'est ce que les stars doivent faire  et il n'y a rien qu'ils ne fassent pas  quiconque y réside. Si ce qu'on trouve le moins C'est aujourd'hui ce qu'il y a de plus précieux  au tribunal, soyez reconnaissant  la déception, même parce que c'est quelque chose qui se trouve avec difficulté. Reste avec Dieu. (Il part avec sa servante.)"")","('Angelique', 'N’est-ce pas grand pitié de me voir sans raison Tous les jours enfermée au fonds d’une maison, Où mesme le Soleil ne m’y peut voir qu’à peine, C’est une cruauté certes trop inhumaine, Estant vefve j’ay creu me voir en liberté, Mais on me traitte avec bien plus d’austerité, Je n’avois qu’un mary, maintenant j’ay deux freres, Qui plus qu’il ne m’estoit, cent fois me sont severes, Inventans tous les jours mille nouveaux tourmens, Pour priver mon esprit de tous contentemens . Quoy, fais-je une action trop libre et trop hardie Si je me plais parfois à voir la Comedie ? Qu’on a mise à tel point, pour en pouvoir joüir, Que la plus chaste oreille aujourd’huy peut l’oüir Et si')",52,41,0.69,Substitution
59,"('LUISI', ""Va avec Dieu. Il n'y a aucune action qui m'arrive Bien, Rodrigo. Si une dame Je vois gracieuse et je la connais  Je demande, ils m'arrêtent un imbécile et une querelle,  Je ne sais pas lequel est le pire ; Si je ris et que mon frère arrive,  mon ennemi est ton ami ; oui excuse-moi, laisse-moi  d'une dame, c'est une dame que mille regrets cela me coûte, heureusement un couvert me fuit, un insensé me tourmente, un étranger me tue et un frère m'emmène être mon invité à la maison,  et une autre dame me méprise. Ma fortune est en mauvais état !"")","('Isabelle', 'Mais à leurs volontez il faut bien vous sousmettre, Et pour vous dire vray, vos freres ont raison De vous tenir ainsi recluse à la maison. Considerez un peu l’estat auquel Toutes vos actions aux faux bruits sont sujettes, Et c’est avec raison que n’ayant plus d’espoux, Ils ne desirent point qu’on murmure de vous, Les grands festins, le Cours Sont lieux suspects pour vous, souffrez que je le die, Et vos freres estans  S’ils vous le permettoient il irait trop du leur . Les jeunes vefves sont d’aise aujourd’huy comblées, De se voir tous les jours aux grandes assemblées, Et rendent leur grand düeil en ce point criminel, Qui ne devroit marquer qu’un regret eternel, Car on le fait servir pour orner d’avantage Par mille ajustemens leur mine et leur visage, Elles escoutent tout, et parmy leurs chalans Content ceux qu’elles ont acquis pour leurs galans, Croyans que c’est l’honneur et la gloire des belles De voir plusieurs captifs brusler d’amour pour elles . Quoy que vous n’ayez pas ces sottes visions, Il en faut toutefois fuir les occasions ; Vous n’avez pas sans doute un courage si lasche. Mais laissons ce discours qui peut-estre vous fasche, Vous ne me parlez point de ce jeune estranger, Qui de si bonne grace a sceu vous ')",53,42,0.26,Substitution
60,"('RODRIGO', ""Et tous ces chagrins Qu'est-ce que je sais, ce que tu ressens le plus ?"")","('Angelique', 'Isabelle, je crois que tu lis dans mon ame.')",54,43,0.25,Substitution
61,"('LUIS', 'Tu ne sais pas.')",,55,-,1.0,Insertion
62,"('RODRIGO', ""Ce que vous ressentez le plus, c'est la jalousie de ton frère et de la belle Beatriz ?"")",,56,-,1.0,Insertion
63,"('LUIS', 'Vous avez triché.')",,57,-,1.0,Insertion
64,"('RODRIGO', 'Eh bienlequel est-ce ?')","('Isabelle', 'Auriez-vous bien pour luy quelque secrette flame ?')",58,44,0.91,Substitution
65,"('LUIS', ""Si je dois vraiment parler -Je ne ferais confiance qu'à toi-, ce que je ressens le plus, c'est que c'est le cas  mon frère si inattentif quoi emporter à la maison un jeune homme, ayant,  Rodrigo, une sœur en elle veuve et fille et, comme vous le savez,  si secret qu'à peine connaît le soleil qui habite chez nous,  parce que Beatriz, parce que c'est une dette, seulement la visite."")","('Angelique', 'Je ne dis pas encor que je l’ayme, mais croy Qu’il peut avec le temps gaigner beaucoup sur moy. Il est vray qu’il me plaist, mais j’ay peur Isabelle, Qu’il n’ait pour mon sujet à l’heure Je cognois bien mon frere, il est prompt, et je crains Qu’ils n’en soient sur le champ tous deux venus aux mains. Mais me voyant pour lors à l’extreme reduite, Ainsi que moy toute autre eust manqué de conduite: Mais par ta foy, crois-tu qu’il ait sceu l’arrester ?')",59,45,0.63,Substitution
66,"('RODRIGO', ""Je sais déjà que son mari était administrateur portuaire  de mer de quelques revenus réels et resta endetté envers le roi  grande quantité de biens; et elle est venue au tribunal  du secret, où il essaie,  caché et retiré,  mieux composer vos dettes. Et cela excuse ton frère,  Eh bien, si vous feriez mieux d'envisager que ton état ne te donne pas ni permis ni licence  que personne ne lui rend visite  et cela, bien que son invité soit Don Manuel, tu ne dois pas savoir que chez lui, monsieur, il s'enferme  une telle femme, quel inconvénient  est-il possible de l'y admettre ? Et plus encore après avoir eu une telle modestie et un tel avertissement  qu'il a donné pour sa chambre dans une autre rue la porte et celui qui est sorti à la maison,  pour nier les soupçons  que les soins avaient  fermé ou parce qu'il pourrait s'ouvre facilement encore une fois, fabriqué dedans  une armoire vitrée, sculpté de telle manière on dirait que jamais Dans une telle partie, il y avait une porte."")","('Isabelle', 'Vous mocquez-vous Madame ? en pouvez-vous douter ? Vostre frere depuis ne vous a pas suivie.')",60,46,1.29,Substitution
67,"('LUIS', ""Voyez-vous avec quoi vous m'assurez ?  Eh bien, avec ça, vous essayez  tue-moi, eh bien tu le dis déjà  qui n'a pas été mis en défense  de votre honneur plus que quelques verres,  qu'au premier coup ils se brisent. (Ils partent et DOÑAÁNGELA et ISABEL sortent.)"")","('Angelique', 'Je ne veux point celer que je brusle d’envie De sçavoir quel il est, et de le voir aussi.')",61,47,1.39,Substitution
68,"('ANGELA', 'Redonne-le-moi encore, Isabel,  ces contacts, une douleur insaisissable !; enveloppe-moi à nouveau vivant,  depuis ma cruelle chance il le veut ainsi.')","('Isabelle', 'Madame taisez-vous,vostre frere entre icy.')",62,48,1.25,Substitution
69,"('ISABEL', ""Prendsvite, car, si ton frère vient et a des soupçons,  ne le confirmez pas avec ceci  pour te trouver sur le chemin qu'aujourd'hui, au palais, il t'a vu."")","('Angelique', 'Ah dieux ! Que j’apprehende, il semble estre en colere.')",63,49,1.02,Substitution
70,,"('Licidas', 'Que faites-vous ma sœur ?')",-,50,1.0,Deletion
71,"('ANGELA', 'Pour l’amour du ciel ! Ce que je entre deux murs meurent, où le soleil sait à peine qui suis-je, alors ma honte en fin de journée Il n\'est ni contenu ni adapté ; où la lune est inconstante, qui apprend mes influences,  ne peux pas dire : « J\'ai déjà vu qui pleurait pour sa fortune""; où en effet ci-joint  sans liberté j\'ai vécu, parce que j\'étais veuve d\'un mari,  avec deux frères mariés. Et puis le crime soit-il,  sans toucher à la légèreté, autorité destituée,  aller là où c\'est couvert voir  un théâtre dans lequel la renommée  pour vos applaudissements immortels  avec des accents métalliques  avec des voix de bronze il appelle ! Pas de chance ! Étoile coriace !')","('Angelique', 'Mais vous-mesme mon frere ? Vous semblez interdit, chagrin et tout deffait, Estes-vous en colere ?')",64,51,1.21,Substitution
72,"('ISABEL', ""Madame, vous n'en doutez pas ça, en te regardant, veuve  si jeune, bizarre et belle, vos frères prudents  ils sont jaloux de toi, parce que cet état est le plus causé aimer les crimes; et plus encore devant les tribunaux aujourd'hui,  où ils ont été utilisés  des veuves de fleurs d'oranger,  que je rends mille grâces au ciel,  quand je les vois dans les rues si honnête, si renfrogné,  si béni et abasourdi  et, restant à Manteo,  C'est les regarder heureux,  Eh bien, sans contact ni dévotion  ils sautent davantage à n'importe quel son  qu'une boule de vent. Et ce discours baptisé pour une autre fois, madame,  comment ne l'avons-nous pas fait maintenant  dans l'étranger parlé  à qui votre honneur a confié  Et qu'a fait ton copain aujourd'hui ?"")","('Licidas', 'Oüy j’y suis en effet.')",65,52,1.42,Substitution
73,"('ANGELA', ""On dirait que tu me lis l'âme dans ce que tu as dit. Elle a été prudente avec moi,  pas pour lui, mais pour moi,  parce que plus tard, quand j'ai entendu du bruit des coups de bâton, J'ai eu -mais ce sont des chimères-, Isabel, imaginons  qu'il devait prendre mon mécontentement est si sincère,  qu'il devait tirer l'épée Pour ma défense. J'y suis allé c'est insensé d'insister ainsi sur lui,  mais une femme troublée Que regardez-vous ou que considérez-vous ?"")","('Isabelle ', 'Ah Madame, il le sçait.')",66,53,0.89,Substitution
74,"('ISABEL', ""Je ne sais pas si cela l'a gêné, mais je sais qu'il ne nous a pas suivi ton frère plus."")",,67,-,1.0,Insertion
75,"('ANGELA', ""Frèreet monsieur, vous venez perturbé et confus. Que s'est-il passé? Qu'as-tu?"")","('Angelique', 'Grands Dieux ! je suis perdüe, Qu’avez-vous donc ?')",68,54,1.04,Substitution
76,"('LUIS', ""J'en ai assez : j'ai de l'honneur."")","('Licidas', 'Je viens de me battre en la ruë.')",69,55,1.43,Substitution
77,,"('Angelique', 'Vous battre, contre qui ?')",-,56,1.0,Deletion
78,"('ANGELA', ""(Malheur à moi ! C'est sans aucun doute que Don Luis m'a connu)."")",,70,-,1.0,Insertion
79,"('LUIS', ""Et donc, je suis vraiment désolé cela s'estime en peu."")",,71,-,1.0,Insertion
80,"('ANGELA', 'Eh bien  Avez-vous eu des déceptions ?')",,72,-,1.0,Insertion
81,"('LUIS', ""Le pire, c'est que quand je viens On se voit, je suis contrarié ce que j'avais, Angela."")","('Licidas', 'Contre un jeune estranger ; Et qui pis est encor, qui vient icy loger.')",73,57,1.89,Substitution
82,"('ISABEL', '(Une autre frayeur ?).')","('Angelique', 'Qui vient icy loger ?')",74,58,1.71,Substitution
83,"('ANGELA', '/Eh bien, que puis-je te donner, frère, mécontentement ? Avertir...')","('Licidas', 'Mon frere nous l’emmeine, C’est Florestan, de qui Lizandre estoit en peine, Dont nous avons parlé plusieurs fois entre nous.')",75,59,1.56,Substitution
84,"('LUIS', 'Vous êtes la cause, et en vous voyant...')","('Angelique ', 'Mes esprits sont remis. Dieux ! que me dites-vous ? Mais quel sujet a fait naistre votre querelle ?')",76,60,0.92,Substitution
85,,"('Licidas', 'Nous nous sommes battus pour une damoiselle.')",-,61,1.0,Deletion
86,,"('Angelique', 'Pour une damoiselle ?')",-,62,1.0,Deletion
87,"('ANGELA', '(Malheur à moi !).')",,77,-,1.0,Insertion
88,"('LUIS', '...Angela, estimation  si peu de notre frère...')","('Licidas', 'Ouy ma sœur')",78,63,0.83,Substitution
89,"('ANGELA', '(Oui).')","('Angelique', 'Mais comment ?')",79,64,1.47,Substitution
