,Les Précieuses Ridicules1,Les Véritables Précieuses2,Cost,Operation Type
42,"('#gorgibus', ""Écoutez, il n'y a qu'un mot qui serve.  Je n'entends point que vous ayez d'autres noms, que ceux, qui vous ont été donnés par vos parrains et marraines, et pour ces Messieurs, dont il est question, je connais leurs familles et leurs biens, et je veux résolument ; que vous vous disposiez à les recevoir pour maris.  Je me lasse de vous avoir sur les bras, et la garde de deux filles est une charge un peu trop pesante pour un homme de mon âge. "")","('#beatrix', ""Bon, je suis ravie que vous ayez des indulgences chez vous, j'avais fait dessein d'en aller quérir à Rome ; mais vous m'épargnez cette peine."")",0.54,Substitution
43,"('#cathos', ""Pour moi, mon oncle, tout ce que je vous puis dire, c'est que je trouve le mariage une chose tout à fait choquante.  Comment est-ce qu'on peut souffrir la pensée de coucher contre un homme vraiment nu ? "")",,1.0,Insertion
44,"('#magdelon', ""Souffrez que nous prenions un peu haleine parmi le beau monde de Paris, où nous ne faisons que d'arriver.  Laissez-nous faire à loisir le tissu de notre roman, et n'en pressez point tant la conclusion. "")","('#isabelle', ""Voilà une superfluité à votre dispute et n'alambiquez point mon esprit de fadaises."")",0.7,Substitution
45,"('#gorgibus', ""Il n'en faut point douter, elles sont achevées.  Encore un coup, je n'entends rien à toutes ces balivernes, je veux être maître absolu, et pour trancher toutes sortes de discours, ou vous serez mariées toutes deux, avant qu'il soit peu, ou, ma foi, vous serez religieuses : j'en fais un bon serment. "")","('#beatrix', ""Ça dites-moi !  S'il y a rien de plus ridicule que de nommer un lavement le bouillon des deux soeurs.  A-t-on jamais ouï dire qu'un Médecin est un bâtard d'Hipocrate : Voilà bien honorer la Médecine ma foi et c'est là le moyen d'encourager ces Messieurs les Médecins à nous tirer les bras du vieil rêveur, ou plutôt de l'Empire de Morphée, ou pour mieux m'expliquer du lit, à qui vos savantes ont donné ces noms.  C'est encore assez bien débuter que de nommer les pieds « les chers souffrants », le boire « le cher nécessaire » et d'appeler le potage « l'union des deux Éléments ».  À quoi bon toutes ces obscurités, et pourquoi dire en quatre mots ce que nous disons en deux.  Est-ce qu'il ne serait pas mieux dit : « Soufflez ce feu » que « Excitez cet Élément combustible ?», « Donnez-moi du pain » que « Apportez le soutien de la vie », « Voilà une maison », que de dire « Voilà une garde nécessaire », et seriez-vous bien assez opiniâtre pour me vouloir soutenir que le pot de chambre que vous nommez l'« urinal virginal », l'est encore quand les filles et les garçons ont donné dans l'amour permis, qui est selon le langage de vos Précieuses le mariage."")",1.15,Substitution
46,"('#cathos', ""Mon_Dieu, ma chère, que ton père a la forme enfoncée dans la matière !  Que son intelligence est épaisse, et qu'il fait sombre dans son âme ! "")","('#isabelle', 'En vérité votre désordre est terrible et me jette dans une souffrance inconcevable.')",1.29,Substitution
47,"('#magdelon', ""Que veux-tu, ma chère ?  J'en suis en confusion pour lui.  J'ai peine à me persuader que je puisse être véritablement sa fille, et je crois que quelque aventure, un jour, me viendra développer une naissance plus illustre. "")","('#beatrix', ""Il n'est pas encore temps de m'interrompre et je n'ai pas encore fini."")",1.64,Substitution
48,"('#cathos', 'Je le croirais bien ; oui, il y a toutes les apparences du monde, et pour moi, quand je me regarde aussi...')",,1.0,Insertion
49,"('#marotte', 'Voilà un laquais qui demande si vous êtes au logis, et dit que son maître vous veut venir voir. ')","('#isabelle', 'Poursuivez donc et rendez vite votre discours complet.')",1.63,Substitution
50,"('#magdelon', ""Apprenez, sotte, à vous énoncer moins vulgairement.  Dites ; voilà un nécessaire qui demande ; si vous êtes en commodité d'être visibles."")","('#beatrix', ""Je vous dis encore, que quoi que vous puissiez dire, qu'il n'y a rien de plus insupportable que de nommer les dents « un ameublement de la bouche » et de dire, pour faire voir que l'on a longtemps balancé à faire une chose, « qu'il est monté des incertitudes à la gorge ».  Dites moi un peu, y a-t-il aucun sens à cela, non plus que de dire qu'une femme a des absences de raison pour expliquer qu'elle est jeune, et dites-moi enfin s'il y a rien de plus extravagant que d'appeler des traîtres les « Paravents », le Miroir un « Peintre de la dernière fidélité », un éventail un « Zéphir », et une Porte la « fidèle gardienne ».  Si par hasard un jaloux qui aurait fermé une porte sur sa femme et en aurait la clef, était trompé par un Galant qui en aurait une fausse, doit-il, venant à savoir la chose, appeler encore la porte la « fidèle gardienne » ?  Je pourrais vous en dire encore quantité, mais je méprise si fort cette façon de parler que je ne m'en saurais donner la peine."")",0.38,Substitution
51,"('#marotte', ""Dame, je n'entends point le latin, et je n'ai pas appris, comme vous, la filofie dans le Grand Cyre. "")","('#isabelle', 'Ah !  Je vais bien vous montrer... Mais voici Flanquin, le Précieux.')",1.23,Substitution
52,"('#magdelon', ""L'impertinente !  Le moyen de souffrir cela !  Et qui est-il le maître de ce laquais ? "")",,1.0,Insertion
53,"('#marotte', ""Il me l'a nommé le Marquis de Mascarille. "")",,1.0,Insertion
54,"('#magdelon', ""Ah ma chère !  Un marquis, oui, allez dire qu'on nous peut voir.  C'est sans doute un bel esprit, qui aura ouï parler de nous. "")","('#beatrix', ""Quoi !  Le valet du Baron de la Taupinière, qui vous fait les doux yeux est donc aussi de ce nombre ?  Vraiment il mérite qu'on l'écoute et c'est une chose assez divertissante à mon avis, que d'entendre un valet parler précieux."")",0.74,Substitution
55,"('#cathos', 'Assurément, ma chère. ')","('#flanquin', 'Ah !  ma chère, ma toute aimable, que je suis heureux de vous voir.')",0.72,Substitution
56,,"('#isabelle', ""Qui t'amène ici ?"")",1.0,Deletion
57,"('#magdelon', ""Il faut le recevoir dans cette salle basse, plutôt qu'en notre chambre : ajustons un peu nos cheveux au moins, et soutenons notre réputation.  Vite venez nous tendre ici dedans le conseiller des grâces. "")","('#flanquin', 'Je viens savoir si votre Maîtresse est en pouvoir de recevoir visite.')",1.16,Substitution
58,"('#marotte', ""Par ma foi, je ne sais point quelle bête c'est-là, il faut parler chrétien, si vous voulez que je vous entende. "")","('#isabelle', ""Je m'en vais m'en instruire et dans peu ma réponse désembarrassera ton âme de cette affaire. Elle sort."")",1.24,Substitution
59,"('#cathos', ""Apportez-nous le miroir, ignorante que vous êtes.  Et gardez-vous bien d'en salir la glace, par la communication de votre image. "")","('#flanquin', ""Il faut avouer que la méthode de s'exprimer dont on se sert maintenant est une chose qui sert merveilleusement à nous distinguer du commun, et est tout à fait déchargée de la matière, et à dire le vrai, c'est quelque chose de bien satisfaisant de pouvoir fendre la presse et de faire quelque nombre parmi les gens canonisés dans les ruelles."")",1.27,Substitution
60,"('#mascarille', 'Holà, porteurs, holà.  Là, là, là, là, là, là.  Je pense que ces marauds-là ont dessein de me briser à force de heurter contre les murailles et les pavés. ')","('#beatrix', ""Tirez-moi d'erreur !  Ce que vous venez de me dire, n'est-ce point un compliment, que votre maître a composé pour dire en quelque ruelle et dont vous avez lu le brouillon."")",1.52,Substitution
61,"('#premier-porteur', ""Dame, c'est que la porte est étroite.  Vous avez voulu aussi, que nous soyons entrés jusqu'ici. "")","('#flanquin', ""Je vois bien que vous n'êtes pas encore instruite de ce que je vaux, et que la pauvreté de mes habits vous fait juger à mon désavantage de celle de mes pensées. Mais je vous dépersuaderai une autre fois.  Voici l'enthousiasme de mes yeux, l'aimant de mon coeur, en un mot mon unique.  Il faut que je lui fasse connaître qu'elle encapucine l'âme et qu'elle me cendre le coeur. Isabelle rentre."")",1.17,Substitution
62,,"('#isabelle', 'Ton maître viendra quand il lui plaira.')",1.0,Deletion
63,"('#mascarille', ""Je le crois bien.  Voudriez-vous, faquins, que j'exposasse l'embonpoint de mes plumes aux inclémences de la saison pluvieuse ?  Et que j'allasse imprimer mes souliers en boue ?  Allez ôtez votre chaise d'ici. "")","('#flanquin', ""Ah mon ange !  Que vous avez bien fait de rapporter en ce lieu le mérite qui s'en était éloigné, que nous avions besoin dans l'opacité de cette salle, que vos yeux vinssent servir de supplément au Soleil : non que leurs chaleurs ne réduisent mon corps à une sècheresse qui m'apprend qu'un bain intérieur me serait fort utile."")",0.78,Substitution
64,,"('#beatrix', 'La plaisante façon de demander à boire.')",1.0,Deletion
65,"('#deuxieme-porteur', ""Payez-nous donc, s'il vous plaît, Monsieur. "")","('#flanquin', ""Oui, un bain intérieur ou l'agrément donné entre les deux soeurs peuvent maintenant empêcher la métempsychose de mon âme, qui va bientôt s'émanciper de sa demeure, si l'on ne la secourt par l'un de ces remèdes, ou si vous ne souffrez que je goûte avec vous la volupté de l'amour permis."")",1.53,Substitution
66,,"('#isabelle', ""Voyez !  Ma compagne, qu'il a bien du succès de tout ce que la Carte de Coquetterie lui a pu dogmatiser de tendresse."")",1.0,Deletion
67,,"('#flanquin', ""Quoi !  Point de quartier ni de trêve, toujours, cette jupe modeste m'empêchera de contempler la friponne."")",1.0,Deletion
68,,"('#beatrix', ""Ce n'est pas une petite joie de voir un valet précieux faire l'amour."")",1.0,Deletion
69,"('#mascarille', 'Hem ? ')","('#isabelle', ""Vraiment vous êtes aujourd'hui sur votre grand second."")",1.45,Substitution
70,"('#deuxieme-porteur', ""Je dis, Monsieur, que vous nous donniez de l'argent, s'il vous plaît. "")","('#flanquin', ""Il est vrai.  Je n'en finirai point avec vous, mon estime est trop superlative à votre égard pour ne pas transiger avec vous d'une vérité constante, qui est, que mon coeur est en frangé de mouvements."")",1.39,Substitution
71,,"('#flanquin', ""Il faut tomber d'accord que l'amour a terriblement défriché votre coeur."")",1.0,Deletion
72,"('#mascarille', ""Comment, coquin, demander de l'argent à une personne de ma qualité ?"")","('#isabelle', ""N'aurait-il point défriché le vôtre, mais que j'applique la réflexion de ma bouche sur cette belle mouvante.  Ah Dieu !  Faut-il qu'un gant du dernier fendu me fasse un si outrageant obstacle.  Ouf !  Une de vos fendues m'a piqué extrêmement peu !"")",1.01,Substitution
73,"('#deuxieme-porteur', ""Est-ce ainsi, qu'on paye les pauvres gens ?  Et votre qualité nous donne-t-elle à dîner ? "")","('#beatrix', ""La drôle de sangsue qu'une épingle."")",1.08,Substitution
74,"('#mascarille', ""Ah, ah, ah, je vous apprendrai à vous connaître !  Ces canailles-là s'osent jouer à moi. "")","('#flanquin', ""Mais je n'oublie à l'opposite de vos appâts que la lenteur de mes chers souffrants peut faire bouillonner le bénin cerveau de mon Maître.  Je m'en vais donc faire faire diète à mes yeux de leurs astres tutélaires."")",1.37,Substitution
75,"('#premier-porteur', 'Çà, payez-nous vitement .')",,1.0,Insertion
76,"('#mascarille', 'Quoi ? ')","('#isabelle', 'Je partirai beaucoup par le contrecoup de ce quittement.')",1.64,Substitution
77,"('#premier-porteur', ""Je dis, que je veux avoir de l'argent, tout à l'heure. "")","('#beatrix', 'Adieu beau Précieux.')",1.45,Substitution
78,,"('#flanquin', ""Adieu l'hétéroclite du beau langage."")",1.0,Deletion
79,"('#mascarille', 'Il est raisonnable. ')","('#artemise', ""Quelle pauvreté ma chère !  Il n'y pas une chose de raisonnable là-dedans !"")",1.15,Substitution
80,"('#premier-porteur', 'Vite donc. ')",,1.0,Insertion
81,"('#mascarille', ""Oui-dà.  Tu parles comme il faut, toi ; mais l'autre est un coquin qui ne sait ce qu'il dit.  Tiens es-tu content."")","('#iscarie', ""Ah !  Pour moi, c'est l'effroi des effrois, et il faut que je vous avoue que les bras m'en tombent.  Quoi !  Scander cinq ou six Stances sans y trouver un mot de pompeuse mesure."")",1.48,Substitution
82,"('#premier-porteur', 'Non, je ne suis pas content, vous avez donné un soufflet à mon camarade, et... ')","('#artemise', ""Il est vrai que cela n'est point digérable, et surtout la pénultième ou avant dernière Stance de cet insupportable portrait ne fournit rien à l'oreille qui puisse exercer son avidité.  Voyez plutôt encore une fois si cela n'est pas du dernier inintelligible."")",1.39,Substitution
83,"('#mascarille', ""Doucement, tiens, voilà pour le soufflet.  On obtient tout de moi, quand on s'y prend de la bonne façon.  Allez, venez me reprendre tantôt, pour aller au Louvre au petit coucher. "")","('#iscarie', ""Je me serais contentée du chagrin de la première lecture ; mais pour vous je veux bien faire ce passe avant, aussi bien à quoi tuerions-nous notre Saturne dans l'expectation que nous faisons ici du Baron de la Taupinière."")",1.01,Substitution
84,"('#marotte', ""Monsieur, voilà mes maîtresses, qui vont venir tout à l'heure. "")",,1.0,Insertion
85,"('#mascarille', ""Qu'elles ne se pressent point, je suis ici posté commodément, pour attendre. "")",,1.0,Insertion
86,"('#marotte', 'Les voici. ')","('#artemise', 'Lisez donc.')",0.0,Match
87,"('#mascarille', ""Mesdames, vous serez surprises, sans doute de l'audace de ma visite ; mais votre réputation vous attire cette méchante affaire, et le mérite a, pour moi, des charmes si puissants, que je cours, partout, après lui. "")","('#iscarie', ""Puis lorsque ton pinceau d'une légère touche  Aura tracé ses yeux, tu traceras sa bouche ;  Là d'un doux coloris, l'agréable rougeur  Par sa vivacité démentira la rose, Et s'il y manque quelque chose  Pour en peindre l'éclat tu prendras mon ardeur. Par une avidité qui tient de la divine,  Elle chante partout qu'elle est son origine ;  Son langage pourtant, n'a rien que de muet,  Ses sourcilleux ardents font toutes ses harangues,  Elle brave avecque eux les plus rapides langues,  Et leurs seuls branlements composent son caquet. Peut-on voir des vers plus indigestes, et ne connaît-on pas bien à les voir que la sévérité des capables n'y a pas passé, et que ce petit vers qui menace de la fin pourrait seul gâter le plus bel ouvrage.  Ah !  Ne m'avouerez-vous pas que ceux-ci qui dépeignent le langage des beaux yeux d'une belle, ont tout une autre pompe. Pour moi, je suis pour ces sortes de vers qui s'éloignent du vulgaire ; mais nous contemplerons le reste à loisir : car voici Monsieur_le_Baron. Elle poursuit. Elle lit."")",0.39,Substitution
88,"('#magdelon', ""Si vous poursuivez le mérite, ce n'est pas sur nos terres que vous devez chasser. "")","('#le-baron', ""Vous aurez beau sujet, Mesdames, de trouver mon procédé audacieux, mais il est bien difficile de ne pas visiter souvent l'extrait de l'esprit humain."")",1.07,Substitution
89,"('#cathos', ""Pour voir chez nous le mérite, il a fallu, que vous l'y ayez amené. "")","('#iscarie', ""Ah !  Monsieur, c'est nous mettre trop avant dans le rang favori de votre pensée, et nous sommes trop sensibles à la gratitude de vos termes de ruelles."")",0.42,Substitution
90,"('#mascarille', ""Ah je m'inscris en faux contre vos paroles.  La Renommée accuse juste, en contant ce que vous valez, et vous allez faire pic, repic ; et capot, tout ce qu'il y a de galant dans Paris. "")","('#le-baron', ""Ce n'est pas d'aujourd'hui que je sais que vous faites les choses justes aimablement, que vous possédez entièrement le vent du Bureau, et que devant vous les plus beaux esprits ne sauraient faire feu."")",0.74,Substitution
91,"('#magdelon', ""Votre complaisance pousse, un peu trop avant, la libéralité de ses louanges, et nous n'avons garde, ma cousine, et moi, de donner de notre sérieux, dans le doux de votre flatterie. "")","('#artemise', 'Votre louange se distancie trop de notre mérite, pour hasarder le paquet sérieux contre vous.')",0.0,Match
92,"('#cathos', 'Ma chère, il faudrait faire donner des sièges. ')",,1.0,Insertion
93,"('#magdelon', 'Holà, Almanzor.')",,1.0,Insertion
94,"('#almanzor', 'Madame. ')","('#iscarie', 'Ma commune.')",0.72,Substitution
95,"('#magdelon', 'Vite, voiturez-nous ici les commodités de la conversation. ')",,1.0,Insertion
96,"('#mascarille', 'Mais au moins, y a-t-il sûreté ici pour moi.')",,1.0,Insertion
97,"('#cathos', 'Que craignez-vous ? ')",,1.0,Insertion
