,Sganarelle ou Le Cocu Imaginaire,La Cocue Imaginaire,Cost,Operation Type
10,"('#celie', ""Quoi vous prétendez donc mon père, que j'oublie La constante amitié que je dois à Lélie ? J'aurais tort si sans vous je disposais de moi ; Mais vous-même à ses voeux engageâtes ma foi."")","('#alcippe', ""Hélas ! Souvenez-vous que j'adore Céphise,  Et qu'ayant su l'ardeur dont mon âme est éprise,  Sa mère en eut de vous un plein consentement. "")",0.5,Substitution
11,"('#gorgibus', ""Lui fût-elle engagée encore davantage, Un autre est survenu dont le bien l'en dégage. Lélie est fort bien fait ; mais apprends qu'il n'est rien Qui ne doive céder au soin d'avoir du bien, Que l'or donne aux plus laids certain charme pour plaire, Et que sans lui le reste est une triste affaire. Valère, je crois bien n'est pas de toi chéri ; Mais s'il ne l'est amant, il le sera mari. Plus que l'on ne le croit ce nom d'époux engage Et l'amour est souvent un fruit du mariage. Mais suis-je pas bien fat de vouloir raisonner, Où de droit absolu j'ai pouvoir d'ordonner ? Trêve donc je vous prie à vos impertinences, Que je n'entende plus vos sottes doléances : Ce gendre doit venir vous visiter ce soir, Manquez un peu, manquez, à le bien recevoir, Si je ne vous lui vois faire fort bon visage Je vous... Je ne veux pas en dire davantage."")","('#geronte', ""Dans ce siècle la foi se trouve rarement.  J'ai promis, il est vrai, mais le bien d'Hippolyte  Me fait trouver en elle un peu plus de mérite.  Je vous laisse, songez que vous devez ce soir  Venir avecque moi chez elle pour la voir. "")",0.5,Substitution
12,,"('#alcippe', ""Puissante Déité que l'on adore en terre,  Amour, faut-il, que l'or, te fasse ainsi la guerre ? "")",1.0,Deletion
13,"('#la-suivante', ""Quoi refuser Madame, avec cette rigueur, Ce que tant d'autres gens voudraient de tout leur coeur, À des offres d'hymen répondre par des larmes Et tarder tant à dire un oui si plein de charmes. Hélas ! Que ne veut-on aussi me marier, Ce ne serait pas moi qui se ferait prier, Et loin qu'un pareil oui me donnât de la peine Croyez que j'en dirais bien vite une douzaine. Le précepteur qui fait répéter la leçon À votre jeune frère, a fort bonne raison, Lorsque nous discourant des choses de la terre, Il dit que la femelle est ainsi que le lierre, Qui croît beau tant qu'à l'arbre il se tient bien serré, Et ne profite point s'il en est séparé. Il n'est rien de plus vrai, ma très chère maîtresse, Et je l'éprouve en moi chétive pécheresse. Le bon Dieu fasse paix à mon pauvre Martin, Mais j'avais, lui vivant, le teint d'un chérubin, L'embonpoint merveilleux, l'oeil gai, l'âme contente, Et je suis maintenant ma commère dolente. Pendant cet heureux temps, passé comme un éclair, Je me couchais sans feu dans le fort de l'hiver, Sécher même les draps me semblait ridicule, Et je tremble à présent dedans la canicule. Enfin il n'est rien tel, Madame, croyez-moi, [Que d'avoir un mari la nuit auprès de soi,] Ne fût-ce que pour l'heur d'avoir qui vous salue D'un Dieu vous soit en aide alors qu'on éternue."")","('#roguespine', ""À quoi songez-vous donc Monsieur, de rebuter  Ce que d'autres que vous prendraient sans hésiter.  Que ne veut-on aussi me donner une femme,  Ma foi je la prendrais et de toute mon âme  Sans hésiter du tout. Dieu veuille avoir l'esprit  De ma pauvre Gillette. Ah ! que j'ai de dépit  Quand je songe à sa mort. J'avais pendant sa vie  Un teint à qui Bacchus eût porté même envie,  Un visage rougeaud, et si plein de santé,  Que j'ose vous jurer en saine vérité,  Moi qui ne jure point si la chose n'est claire  Que tous les marmousets des enseignes à bière  Étaient auprès de moi pâles et décharnés,  Et n'avaient point du tout de rubis sur le nez.  Je ne voyais jamais passer aucun Dimanche,  Qu'elle ne me vînt mettre une chemise blanche,  À mes habits jamais on ne voyait de trous,  Tant le soin était grand de tout boucher chez nous.  Quand j'avais bu souvent avec quelque compère,  Comme cela pouvait m'arriver d'ordinaire,  Et qu'au logis le soir, de crainte de manger,  Je faisais le malade, afin de m'obliger  À prendre, disait-elle, un peu de nourriture,  Mange, mange, mon fils, mange, je t'en conjure,  Me disait la pauvrette avec la larme à l'oeil,  Si tu ne veux bientôt me voir mettre au cercueil.  L'hiver même les draps étant plus froids que glace,  Elle s'allait coucher pour échauffer ma place,  Et me criait après de la venir trouver.  Il vous faudrait enfin, Monsieur, pour éprouver  Les plaisirs les plus doux qu'on goûte dans la vie  Prendre vite une femme, et je vous en convie. "")",0.0,Match
14,"('#celie', ""Peux-tu me conseiller de commettre un forfait, D'abandonner Lélie, et prendre ce malfait ?"")","('#alcippe', ""Ah ! ne me parle point de cette lâcheté,  Ne me conseille point une infidélité,  J'ai promis à Céphise, et je... "")",0.74,Substitution
15,"('#la-suivante', ""Votre Lélie aussi, n'est ma foi qu'une bête, Puisque si hors de temps son voyage l'arrête, Et la grande longueur de son éloignement Me le fait soupçonner de quelque changement."")","('#roguespine', ""Votre Céphise,  D'un violent amour ne paraît pas éprise.  Depuis quinze ou vingt jours elle passe son temps  À se bien divertir en sa maison des Champs,  Et quoi que sur sa mère, elle ait beaucoup d'empire,  Elle ne prendrait pas la peine de lui dire  De faire un tour ici, ce qui fait que je crois  Qu'envers vous cette belle, a pu manquer de foi. "")",0.7,Substitution
16,"('#celie', ""Ah ! Ne m'accable point par ce triste présage, Vois attentivement les traits de ce visage, Ils jurent à mon coeur d'éternelles ardeurs, Je veux croire après tout qu'ils ne sont pas menteurs, Et comme c'est celui que l'art y représente, Il conserve à mes feux une amitié constante."")","('#alcippe', ""Non, non, elle me garde une flamme éternelle ;  Mais peut-être ayant su la funeste nouvelle  Du mépris que mon père a fait de ses appas,  Elle est dessus le point... te le dirai-je ? Hélas !  Sur le point d'expirer. "")",0.24,Substitution
17,,"('#roguespine', ""La cause est raisonnable  D'un tel retardement. "")",1.0,Deletion
18,"('#la-suivante', ""Il est vrai que ces traits marquent un digne amant, Et que vous avez lieu de l'aimer tendrement."")","('#alcippe', ""Que je suis misérable ;  Mais cependant qu'elle est absente de ces lieux  Dans son portrait du moins admirons ses beaux yeux.  Dieux ! qu'ils font rejaillir d'éclat sur sa peinture,  Ils mettent de nouveau mon coeur à la torture,  Ah ! faut-il... je me meurs.  Il laisse tomber le portrait de Céphise."")",0.92,Substitution
19,"('#celie', 'Et cependant il faut... ah ! Soutiens-moi. Laissant tomber le portrait de Lélie.')",,1.0,Insertion
20,"('#la-suivante', ""Madame, D'où vous pourrait venir... Ah ! Bons dieux elle pâme. Hé ! Vite, holà, quelqu'un."")","('#roguespine', ""Qui peut causer en vous...  Mais il s'évanouit. Vite ? Quelqu'un ? À nous ? "")",0.62,Substitution
21,"('#sganarelle', ""Qu'est-ce donc ? Me voilà."")","('#paquette', ""Quel bruit viens-je d'entendre auprès de ma fenêtre ? "")",0.76,Substitution
22,"('#la-suivante', 'Ma maîtresse se meurt.')",,1.0,Insertion
23,"('#sganarelle', ""Quoi ce n'est que cela ? Je croyais tout perdu de crier de la sorte ; Mais approchons pourtant[.] Madame, êtes-vous morte. Hays, elle ne dit mot."")","('#roguespine', 'Aidez-moi je vous prie à soutenir mon Maître ;  Ce mal lui vient de prendre ici subitement. ')",1.44,Substitution
24,"('#la-suivante', ""Je vais faire venir Quelqu'un pour l'emporter, veuillez la soutenir."")","('#paquette', ""Il faut le secourir si l'on peut promptement. "")",1.11,Substitution
25,"('#sganarelle', ""Elle est froide partout, et je ne sais qu'en dire, Approchons-nous pour voir si sa bouche respire. Ma foi, je ne sais pas, mais j'y trouve encor moi Quelque signe de vie."")","('#spadarille', ""Que vois-je, juste Ciel ! je crois que c'est ma femme,  Qui tient dedans ses bras... elle mourra l'infâme  Et je vais s'il se peut la prendre sur le fait. "")",0.74,Substitution
26,,"('#roguespine', ""Hélas ! mon pauvre maître, ah ! bon Dieu, c'en est fait,  Ciel ! "")",1.0,Deletion
27,"('#la-femme-sganarelle', ""Ah ! Qu'est-ce que je vois ? Mon mari dans ses bras...  Mais je m'en vais descendre, Il me trahit sans doute, et je veux le surprendre."")","('#paquette', 'Il respire encore, et je sens son haleine. ')",1.39,Substitution
28,"('#sganarelle', ""Il faut se dépêcher de l'aller secourir, Certes elle aurait tort de se laisser mourir, Aller en l'autre monde est très grande sottise, Tant que dans celui-ci l'on peut être de mise. Il l'emporte avec un homme que la suivante amène."")","('#roguespine', ""Si vous vouliez un peu prendre avec moi la peine  De l'emporter chez lui. "")",0.89,Substitution
29,,"('#paquette', ""Oui, j'y vais de bon coeur.  Que son visage encore conserve de douceur.  À part."")",1.0,Deletion
30,"('#la-femme-sganarelle', ""Il s'est subitement éloigné de ces lieux, Et sa fuite a trompé mon désir curieux. Mais de sa trahison je ne fais plus de doute, Et le peu que j'ai vu me la découvre toute. Je ne m'étonne plus de l'étrange froideur Dont je le vois répondre à ma pudique ardeur, Il réserve, l'ingrat, ses caresses à d'autres, Et nourrit leurs plaisirs par le jeûne des nôtres. Voilà de nos maris, le procédé commun, Ce qui leur est permis, leur devient importun. Dans les commencements ce sont toutes merveilles ; Ils témoignent pour nous des ardeurs non pareilles ; Mais les traîtres bientôt se lassent de nos feux, Et portent autre part ce qu'ils doivent chez eux. Ah ! Que j'ai de dépit, que la loi n'autorise, À changer de mari comme on fait de chemise : Cela serait commode, et j'en sais telle ici Qui comme moi ma foi le voudrait bien aussi. Mais quel est ce bijou que le sort me présente ? L'émail en est fort beau, la gravure charmante. Ouvrons. En ramassant le portrait que Célie avait laissé tomber."")","('#spadarille', ""Cette infidèle a fui, et sans oser m'attendre  Jugeant bien qu'en ce lieu, je la viendrais surprendre.  Avec le scélérat, le traître suborneur  Qui vient impunément de lui ravir l'honneur.  Je ne m'étonne plus pourquoi cette maligne  Sans sujet tous les jours me fait mauvaise mine,  Elle cherche à crier, sans doute, et voudrait bien  M'obliger à la battre, afin d'avoir son bien.  Les femmes maintenant sont tout à fait volages,  Et souvent quinze jours après leurs mariages,  Elles ont de la peine à souffrir leurs maris :  Leur inconstance va jusqu'à leurs favoris,  Et voulant tous les jours faire de nouveaux dupes,  Elles changent autant de galants que de jupes :  Les nouveautés enfin charment si fort leurs sens,  Elles ont à leurs yeux des attraits si puissants,  Que s'il pouvait encor venir en cette ville  Un Roi d'Éthiopie, il serait difficile,  Qu'il les pût contenter ; mais qu'est-ce que je vois ?  Ouvrons, c'est un portrait qui n'est pas sot ma foi.  Il ramasse le portrait qu'Alcippe a laissé tomber."")",0.0,Match
31,"('#sganarelle', ""On la croyait morte et ce n'était rien, Il n'en faut plus qu'autant, elle se porte bien. Mais j'aperçois ma femme."")","('#paquette', ""Son mal n'était qu'amour qui troublait trop son âme ;  Mais j'aperçois mon homme. "")",0.67,Substitution
32,"('#la-femme-sganarelle', ""Ô ciel ! C'est miniature, Et voilà d'un bel homme une vive peinture."")","('#spadarille', ""Ô Dieux ! c'est d'une femme  Dont je tiens la peinture. Ô Ciel ! qu'elle a d'appas ! "")",0.38,Substitution
33,"('#sganarelle', ""Que considère-t-elle avec attention ? Ce portrait mon honneur ne nous dit rien de bon, D'un fort vilain soupçon je me sens l'âme émue."")","('#paquette', 'Il regarde un portrait, que dois-je croire hélas ? ')",0.87,Substitution
34,"('#la-femme-sganarelle', ""Jamais rien de plus beau ne s'offrit à ma vue. Le travail plus que l'or s'en doit encore priser. Hon que cela sent bon."")",,1.0,Insertion
35,"('#sganarelle', ""Quoi peste le baiser ! Ah ! J'en tiens."")",,1.0,Insertion
36,"('#la-femme-sganarelle', ""Avouons qu'on doit être ravie Quand d'un homme ainsi fait on se peut voir servie, Et que s'il en contait avec attention, Le penchant serait grand à la tentation. Ah ! Que n'ai-je un mari d'une aussi bonne mine, Au lieu de mon pelé, de mon rustre... "")","('#spadarille', ""Certes cette beauté n'a rien qui ne m'attire,  Déjà sans y penser je suis sous son empire.  Ah ! si ma femme avait des charmes aussi doux... "")",0.46,Substitution
37,"('#sganarelle', ""Ah ! Mâtine, Nous vous y surprenons en faute contre nous, Et diffamant l'honneur de votre cher époux : Donc à votre calcul, ô ma trop digne femme ! Monsieur, tout bien compté, ne vaut pas bien Madame ? Et de par Belzébuth qui vous puisse emporter Quel plus rare parti pourriez-vous souhaiter ? Peut-on trouver en moi quelque chose à redire ? Cette taille, ce port, que tout le monde admire, Ce visage si propre à donner de l'amour, Pour qui mille beautés soupirent nuit et jour ; Bref en tout et par tout ma personne charmante N'est donc pas un morceau dont vous soyez contente : Et pour rassasier votre appétit gourmand, Il faut à son mari le ragoût d'un galant."")","('#paquette', ""Nous t'y surprenons traître, en parlant mal de nous,  Pouvais-tu, dis-le moi, rencontrer une femme,  Qui dût plus justement régner dessus ton âme ;  Et puisque tant de gens te disent chaque jour  Que j'ai plus de beautés que la mère d'amour ;  En peux-tu bien douter après leur témoignage. "")",0.0,Match
38,"('#la-femme-sganarelle', ""J'entends à demi-mot où va la raillerie, Tu crois par ce moyen..."")","('#spadarille', ""Je devrais les voir seul, et c'est de quoi j'enrage. "")",1.5,Substitution
39,"('#sganarelle', ""À d'autres, je vous prie, La chose est avérée, et je tiens dans mes mains Un bon certificat du mal dont je me plains."")",,1.0,Insertion
40,"('#la-femme-sganarelle', ""Mon courroux n'a déjà que trop de violence, Sans le charger encore d'une nouvelle offense ; Écoute, ne crois pas retenir mon bijou, Et songe un peu..."")","('#paquette', ""Et cependant encor tu parais peu content  D'une femme si rare et qu'on estime tant ;  Et qui peut se vanter enfin d'être si belle,  Que toujours mille amants soupirent autour d'elle  Sans pouvoir toutefois jamais rien obtenir. "")",0.36,Substitution
41,"('#sganarelle', ""Je songe à te rompre le cou. Que ne puis-je aussi bien que je tiens la copie Tenir l'original !"")","('#spadarille', ""Tout ce discours n'est fait qu'afin de retenir  Mon portrait, mais aga, rends-le moi je te prie. "")",0.92,Substitution
42,"('#la-femme-sganarelle', 'Pourquoi ?')",,1.0,Insertion
43,"('#sganarelle', ""Pour rien mamie, Doux objet de mes voeux j'ai grand tort de crier, Et mon front de vos dons vous doit remercier. Le voilà le beau-fils, le mignon de couchette, Le malheureux tison de ta flamme secrète, Le drôle avec lequel... Regardant le portrait de Lélie."")","('#paquette', ""De nouveau ce discours excite ma furie,  Ce portrait me fait trop savoir ta lâcheté ;  Je connais maintenant ton infidélité.  Ah ! que si je pouvais attraper cette femme  Ainsi que son portrait, elle verrait l'infâme. "")",0.43,Substitution
44,"('#la-femme-sganarelle', 'Avec lequel, poursuis ?')",,1.0,Insertion
45,"('#sganarelle', ""Avec lequel te dis-je... Et j'en crève d'ennuis."")",,1.0,Insertion
46,"('#la-femme-sganarelle', 'Que me veut donc par là conter ce maître ivrogne ?')","('#spadarille', 'Que verrait-elle ? Hé bien ? ')",1.35,Substitution
47,"('#sganarelle', ""Tu ne m'entends que trop, Madame la carogne, Sganarelle, est un nom qu'on ne me dira plus, Et l'on va m'appeler Seigneur Corneillius : J'en suis pour mon honneur ; mais à toi qui me l'ôtes, Je t'en ferai du moins pour un bras ou deux côtes."")","('#paquette', ""L'invincible fureur  Que ton crime et le sien allume dans mon coeur.  Pour vous faire à tous deux une guerre immortelle,  Spadarille fait mine de ne se pas soucier de ce qu'elle dit.  N'ai-je pas tort encor, de crier contre celle  Qui m'ôte tous les jours ce qui n'est dû qu'à moi. "")",0.52,Substitution
48,"('#la-femme-sganarelle', ""Et tu m'oses tenir de semblables discours ?"")",,1.0,Insertion
49,"('#sganarelle', ""Et tu m'oses jouer de ces diables de tours."")",,1.0,Insertion
50,"('#la-femme-sganarelle', 'Et quels diables de tours, parle donc sans rien feindre.')","('#spadarille', 'Je ne te comprends point, de grâce explique-toi. ')",1.12,Substitution
51,"('#sganarelle', ""Ah ! Cela ne vaut pas la peine de se plaindre. D'un panache de cerf sur le front me pourvoir. Hélas ! Voilà vraiment un beau venez-y voir."")",,1.0,Insertion
52,"('#la-femme-sganarelle', ""Donc, après m'avoir fait la plus sensible offense Qui puisse d'une femme exciter la vengeance, Tu prends d'un feint courroux le vain amusement Pour prévenir l'effet de mon ressentiment : D'un pareil procédé l'insolence est nouvelle, Celui qui fait l'offense est celui qui querelle."")","('#paquette', ""C'est que tu ne veux point malheureux me comprendre,  Et si c'était un autre on pourrait bien l'entendre.  Que faire maintenant, chacun va désormais  Ne plus trouver en moi que de faibles attraits.  Son mari (dira-t-on) ne peut être infidèle  Que parce qu'à présent Paquette n'est plus belle. "")",0.58,Substitution
53,"('#sganarelle', 'Eh ! La bonne effrontée, à voir ce fier maintien Ne la croirait-on pas une femme de bien.')",,1.0,Insertion
54,"('#la-femme-sganarelle', ""Va, poursuis ton chemin, cajole tes maîtresses, Adresse-leur tes voeux, et fais-leur des caresses ; Mais rends-moi mon portrait sans te jouer de moi. Elle lui arrache le portrait et s'enfuit."")","('#spadarille', ""Tu ne me tiendrais point de semblables discours  Si je ne savais pas tes infâmes amours  Perfide ; mais dans peu je pourrai bien te dire  Quel est le Jouvenceau pour qui ton coeur soupire.  Il lui arrache le portrait de Céphise, et s'enfuit.  Mais rends moi mon portrait. "")",0.0,Match
55,"('#sganarelle', ""Oui, tu crois m'échapper, je l'aurai malgré toi."")","('#paquette', ""Ah ! Je me vengerai  Traître, et dès aujourd'hui malgré toi je l'aurai. "")",0.22,Substitution
56,"('#gros-rene', ""Enfin, nous y voici ; mais, monsieur, si je l'ose, Je voudrais vous prier de me dire une chose."")","('#beatrix', ""Nous voici dans Paris, souvenez-vous Madame,  Que vous devez enfin m'ouvrir toute votre âme,  Et que vous m'avez dit que je saurais aussi  Qui vous a fait presser votre retour ici. "")",0.26,Substitution
57,"('#lelie', 'Hé bien, parle.')",,1.0,Insertion
58,"('#gros-rene', ""Avez-vous le diable dans le corps Pour ne pas succomber à de pareils efforts ? Depuis huit jours entiers avec vos longues traites Nous sommes à piquer de chiennes de mazettes, De qui le train maudit nous a tant secoués, Que je m'en sens pour moi tous les membres roués, Sans préjudice encor d'un accident bien pire, Qui m'afflige un endroit que je ne veux pas dire ; Cependant arrivé vous sortez bien et beau Sans prendre de repos, ni manger un morceau."")",,1.0,Insertion
59,"('#lelie', ""Ce grand empressement n'est point digne de blâme De l'hymen de Célie, on alarme mon âme ; Tu sais que je l'adore, et je veux être instruit Avant tout autre soin de ce funeste bruit."")","('#cephise', ""Oui je m'en ressouviens et je tiens ma promesse,  Apprends donc le sujet de l'ennui qui me presse.  Tu sais depuis longtemps qu'Alcippe est sous mes lois,  Que mon coeur a toujours applaudi à son choix.  Mais tu ne peux savoir que depuis peu son père  Était de notre hymen d'accord avec ma mère ;  Cependant aujourd'hui par une dure loi,  Il le veut empêcher de me donner sa foi,  Et le veut marier à certaine Hippolyte,  Que je ne connais point, non pour son grand mérite,  Ni même à ce qu'on dit pour son esprit charmant,  Mais à cause qu'elle a de l'or abondamment.  Toi qui vois le chagrin qui toujours m'accompagne,  Voilà, voilà, pourquoi j'ai quitté la campagne,  Et je m'en vais savoir, s'il se peut aujourd'hui,  Si je verrai finir ou croître mon ennui. "")",0.15,Substitution
60,"('#gros-rene', ""Oui, mais un bon repas vous serait nécessaire Pour s'aller éclaircir, Monsieur, de cette affaire, Et votre coeur sans doute en deviendrait plus fort Pour pouvoir résister aux attaques du sort. J'en juge par moi-même, et la moindre disgrâce Lorsque je suis à jeun, me saisit, me terrasse ; Mais quand j'ai bien mangé, mon âme est ferme à tout, Et les plus grands revers n'en viendraient pas à bout. Croyez-moi, bourrez-vous et sans réserve aucune, Contre les coups que peut vous porter la fortune, Et, pour fermer chez vous l'entrée à la douleur, De vingt verres de vin entourez votre coeur."")","('#beatrix', ""Je ressens tous vos maux ; mais encore, Madame,  Quelque âpre déplaisir que vous sentiez dans l'âme  Devriez-vous pas songer que depuis hier au soir  Vous avez peu mangé. "")",0.2,Substitution
61,"('#lelie', 'Je ne saurais manger.')",,1.0,Insertion
62,"('#gros-rene', ""Si fait bien moi, je meure. Votre dîner pourtant serait prêt tout à l'heure."")",,1.0,Insertion
63,"('#lelie', ""Tais-toi, je te l'ordonne."")","('#cephise', ""Lorsque le désespoir  Accompagne l'amour, les peines qu'on endure  Nous empêchent de prendre aucune nourriture ;  Mais retourne au logis Béatrix, promptement,  Je sais bien le moyen de trouver mon amant  Sans avoir besoin d'aide, et si tantôt ma mère,  Te demande où je suis, dis lui, qu'ayant affaire  De coiffes, de rubans, j'en achète au Palais. "")",1.15,Substitution
64,"('#gros-rene', 'Ah ! Quel ordre inhumain.')",,1.0,Insertion
65,"('#lelie', ""J'ai de l'inquiétude, et non pas de la faim."")",,1.0,Insertion
66,"('#gros-rene', ""Et moi j'ai de la faim, et de l'inquiétude De voir qu'un sot amour fait toute votre étude."")","('#beatrix', 'Vous verrez sur ce point vos désirs satisfaits. ')",0.97,Substitution
67,"('#lelie', ""Laisse-moi m'informer de l'objet de mes voeux, Et, sans m'importuner, va manger si tu veux."")",,1.0,Insertion
68,"('#gros-rene', ""Je ne réplique point à ce qu'un maître ordonne."")",,1.0,Insertion
69,"('#lelie', ""Non non, à trop de peur mon âme s'abandonne, Le père m'a promis et la fille a fait voir Des preuves d'un amour qui soutient mon espoir."")","('#cephise', ""Je m'alarme peut-être avec trop d'imprudence ;  L'affaire assurément n'en est pas où je pense :  Alcippe m'a fait voir jusqu'au fond de son coeur,  Et je ne puis penser qu'il ait manqué d'ardeur. "")",0.81,Substitution
70,"('#sganarelle', ""Nous l'avons, et je puis voir à l'aise la trogne Du malheureux pendard qui cause ma vergogne. Il ne m'est point connu."")","('#paquette', ""Enfin de ce portrait je me puis voir maîtresse  Et malgré lui j'ai su lui prendre par adresse.  Je ne me souviens point d'avoir vu cet objet.  En examinant le portrait de Céphise."")",0.92,Substitution
71,"('#lelie', ""Dieu ! Qu'aperçois-je ici ? Et si c'est mon portrait, que dois-je croire aussi ?"")","('#cephise', ""Mais qu'aperçois-je, ô Dieux ! Elle tient mon portrait. "")",0.0,Match
72,"('#sganarelle', ""Ah ! Pauvre Sganarelle, à quelle destinée Ta réputation est-elle condamnée, Faut... Apercevant Lélie qui le regarde, il se retourne d'un autre côté."")","('#paquette', 'Dorénavant hélas ! je vais faire abstinence  Plus que je ne voudrais. ')",1.32,Substitution
73,"('#lelie', 'Ce gage ne peut sans alarmer ma foi, Être sorti des mains qui le tenaient de moi.')","('#cephise', ""Je tremble quand j'y pense ;  Et ce portrait ne peut se trouver dans ses mains,  Sans qu'Alcippe ait souscrit à l'hymen que je crains. "")",0.38,Substitution
74,"('#sganarelle', ""Faut-il que désormais à deux doigts l'on te montre, Qu'on te mette en chansons, et qu'en toute rencontre, On te rejette au nez le scandaleux affront Qu'une femme mal née imprime sur ton front."")","('#paquette', ""Faut-il que désormais ton mari te méprise ?  Que pour d'autres objets son âme soit éprise ?  Et qu'avec eux peut-être il se moque de toi,  Sans se ressouvenir qu'il t'a donné sa foi.  Encor si... "")",0.93,Substitution
75,"('#lelie', 'Me trompai-je ?')","('#cephise', 'Me trompai-je ? ')",0.0,Match
76,"('#sganarelle', ""Ah ! Truande, as-tu bien le courage De m'avoir fait cocu dans la fleur de mon âge ? Et femme d'un mari qui peut passer pour beau, Faut-il qu'un marmouset, un maudit étourneau."")","('#paquette', ""Encor si cet infâme  Se contentait d'avoir une impudique flamme ;  Et ne leur fourrait pas le meilleur du logis. "")",0.99,Substitution
