,Play 1,Play2,Op symbol1,Op symbol2,Cost,Operation Type
28,"('VIEILLE ÉGYPTIENNE', 'Ne nous amusons plus, ma fille Précieuse.')","('LA VIEILLE.', ""Il nous a fait l'honneur de s'enquérir de toi."")",17,27,1.06,Substitution
29,,"('PRÉCIEUSE.', 'Il est en cette ville, et se souvient de moi ? Depuis quand, je vous prie, avez-vous fait ce songe ?')",-,28,1.0,Deletion
30,"('DOM JEAN', ""Précieuse vraiment, ce beau nom t'est bien du, Qui de la chose en soi témoignage a rendu ; Précieuse vraiment, qui de valeur effaces Qui remporte le prix des beautés et des grâces, Mais fille l'avouer, vu l'inégalité De l'âge, causerait une incrédulité."")","('LA VIEILLE.', ""Dans quelque étonnement que ce discours te plonge, Crois qu'il est véritable, et de plus..."")",18,29,0.13,Substitution
31,,"('PRÉCIEUSE.', 'Achevez, Et ne me celez rien de ce que vous savez.')",-,30,1.0,Deletion
32,"('VIEILLE ÉGYPTIENNE', ""Nièce, de qui la mère eût l'être de ma couche, Tel grade indifférent au principal ne touche."")","('LA VIEILLE.', ""Que c'est à ton sujet qu'il a fait ce voyage, Ainsi que dans les mains, je lis dans le visage."")",19,31,1.25,Substitution
33,,"('PRÉCIEUSE.', 'Ô Ciel ! Est-il possible ?')",-,32,1.0,Deletion
34,,"('LA VIEILLE.', ""Oui, puisqu'il est certain."")",-,33,1.0,Deletion
35,"('DOM JEAN', ""Non, le cœur vous le va tirer de là-dedans, Le cœur pressé de crainte et de flambeaux ardents : Bien que l'extraction noble me recommande, Issu d'une famille et opulente et grande, Que Madrid reconnait la première aujourd'hui, Bien qu'unique resté d'un vieil père l'appui, Dom François de Carcame, à qui dans peu se donne L'un des plus beaux états vaquant de la Couronne : Mais or' qu'il possédât Monarque l'univers, Seul craint, seul obéi de ses peuples divers, Ta divine beauté me dérobe à moi-même, Te servir me tient plus content qu'un diadème, Ma fortune à tes pieds se prosterne, qui veux, N'avoir dorénavant autre sainte à mes vœux, N'avoir autre désir, n'avoir autre pensée, Qui ne connait ma vie ailleurs mieux dépensée, Ailleurs qu'en sacrifice à ton mérite offert Référer l'infini du long tourment souffert Depuis le jour fatal de ta première vue, Que le cœur assené d'une flèche impourvue Excède mon pouvoir et la commune foi. Reçois donc ce captif sous l'amoureuse loi, Qui d'arrhes seulement de sa ferme constance À tes perfections ces cent ducats avance, Lors que gratifié de la moindre faveur, Présume une fortune acquise en ma ferveur. Sans te plus travailler ça et là vagabonde, L'opprobre le mépris, et la fable du monde, Toutes deux à l'abri de mon ombre, ne faut Craindre qu'après votre heur endure aucun défaut."")","('PRÉCIEUSE.', ""Il est vrai que souvent il me baisait la main, Et mêmes au rapport que m'en fait ma mémoire, Les discours qu'il me tint furent tous à ma gloire, M'accusant d'un grand vol qu'avait fait ma beauté."")",20,34,0.5,Substitution
36,,"('LA VIEILLE.', 'De son coeur, de son âme.')",-,35,1.0,Deletion
37,"('PRÉCIEUSE', ""Généreux cavalier, ès affaires humaines Le sens se laisse aller aux apparences vaines, Abusant qui le suit ainsi que ces démons Guides du voyageur sur la cime des monts, Ou dans quelque chemin de périlleuse issue Qui le perdent premier que leur fraude aperçue. Pauvre ne plus ne moins et veuve de support, Barque toujours flottante et qu'éloigne le port, Nourrie entre un amas de personnes oisives À nulle autre vertu qu'à leurs ruses actives, Jeune d'âge n'ayant depuis mon premier jour Vu de quinze printemps qu'à peine le retour; Une inclination toutefois de nature Trompe d'autres et vous en cette conjecture, Que parmi la licence un troupeau vicieux Empêche que l'honneur ne me soit précieux, Oui sans comparaison plus précieux qu'à celles Qui dans vos cités n'ont qu'un masque de pucelles, Qui lascives d'effet ne désirent sinon Se garder le faux bruit d'un pudique renom. Moi de contraire humeur, je me donne carrière Sur le premier objet qui fournit de matière, Et me suffit assez que ce corps impollu Moque les lacs tendus d'un propos dissolu : L'or se prise affiné dans l'ardente fournaise, Non la victoire acquise oiseuse et à l'aise. Hé! qui ne sait aussi que l'honneur comparé Ressemble un beau bouquet de toutes fleurs paré, Qu'après deux ou trois jours que chacun le manie Nous voyons contemptible en sa grâce finie ;? Que l'éclat au surplus de ce métal riant Me provoque le goût davantage friand ? Me survende mortel son amorce engloutie ? Jamais, il ne saurait me tromper avertie, Ne vous, n'homme qui vive au terrestre séjour Qu'en qualité d'époux n'obtiendra mon amour."")","('PRÉCIEUSE.', ""Et de sa liberté : Mais quoi qu'il me jurât dans sa cajolerie, Je crus que ce n'était que par galanterie."")",21,36,0.7,Substitution
38,,"('LA VIEILLE.', 'Par là, mon doute encore en est mieux éclairci.')",-,37,1.0,Deletion
39,,"('PRÉCIEUSE.', ""Taisons-nous, j'aperçois quelqu'un qui vient ici."")",-,38,1.0,Deletion
40,"('VIEILLE ÉGYPTIENNE', ""Hé, folâtre, où prends-tu ce que tu viens de dire ? Le moyen t'écoutant de se tenir de rire ?"")","('LA VIEILLE.', ""C'est notre poète, ô Dieu, l'étrange personnage !"")",22,39,1.22,Substitution
41,,"('LE POÈTE.', ""C'est elle, je la vois."")",-,40,1.0,Deletion
42,,"('PRÉCIEUSE.', ""Le moyen qu'il fut sage, Il est jeune, il est poète, et de plus amoureux, De ces trois qualités naît un mal dangereux."")",-,41,1.0,Deletion
43,,"('LA VIEILLE.', ""Oui, c'est la pauvreté, fuyons de sa présence."")",-,42,1.0,Deletion
44,,"('PRÉCIEUSE.', 'Ayez en ma faveur un peu de complaisance.')",-,43,1.0,Deletion
45,"('DOM JEAN', ""Ains rebelle où prends-tu l'homicide raison Qui mes fers aggravés renforce ma prison ? Qui dessur une peur chimérique de blâme Jette subtilement de l'huile dans ma flamme ? Épargne ton pouvoir, épargne à ta beauté Un Phœnix de constance, un roc de loyauté : Tu désires qu'époux, ô agréable peine ! Ma soif se désaltère à l'eau de ta fontaine ; Soit le Ciel conjuré, la haine des parents, L'innumérable excès d'obstacles apparents Ne peuvent divertir l'heur de ma destinée, L'heur mutuel qu'attend notre chaste hyménée, D'assurance joint donc à la mienne ta main, Ce futur mariage accompli dans demain."")","('LE POÈTE.', ""Doux charme de mon coeur, miracle de nos jours, Jeune source d'appas, de grâces, et d'amours, Votre divine main m'enchaîna dans Séville, La même a resserré mes fers en cette ville, Et ce rencontre heureux fait voir que le destin À vos yeux mes vainqueurs veut rendre leur butin."")",23,44,0.0,Match
46,,"('PRÉCIEUSE.', ""Franchement, voulez-vous m'obliger d'une grâce ?"")",-,45,1.0,Deletion
47,,"('LE POÈTE.', 'Je vous veux obéir, que faut-il que je fasse ?')",-,46,1.0,Deletion
48,,"('PRÉCIEUSE.', ""Trêve d'amour ici, ne parlons que de vers."")",-,47,1.0,Deletion
49,"('PRÉCIEUSE', ""Toute chose qui naît avec la violence Dévale précipite en l'éternel silence, Une fin ridicule et honteuse la suit. Or quiconque chez nous une fille poursuit, Quiconque la reçoit compagne de sa couche, Qu'après deux ans donnés d'épreuve ne lui touche : Ils peuvent converser ensemble privément, Mille honnêtes plaisirs cueillir réservement, Hormis le dernier point que leur garde ce terme, Un peu long si l'amant n'a le courage ferme. Que voulussiez subir la rigueur de la loi ? Donne à la coupelle épreuve votre foi ? Faire profession d'un habit, d'une vie ? Ou que du premier jour s'en perdrait bien l'envie, Mon infirme sujet ne le mérite pas, Heureuse de baiser la trace de vos pas."")","('LE POÈTE.', ""À quoi m'obligez-vous, honneur de l'Univers ? Dois-je pas de nouveau vous rendre mes hommages ? Dois-je pas de mon feu retracer les images ? Et bravant les efforts d'un respect rigoureux, Dois-je pas derechef m'avouer amoureux ? Ce discours vous déplaît, et je suis téméraire, Mais qui se sent brûler ne saurait pas se taire, Et les traits de vos yeux, malgré votre rigueur, M'ouvrent tout à la fois et la bouche et le coeur."")",24,48,0.0,Match
50,"('DOM JEAN', ""Quand tu proposerais à ma flamme ignorée Les périls encourus pour la Toison dorée Du preux Thessalien, ou ces travaux hardis Qui mirent dans l'Olympe un Alcide jadis, Ma dextre entreprendrait sous le Dieu qui l'anime D'égaler à peu près leur gloire magnanime : Vis confinée ès rocs du Taure sourcilleux, Rien ne m'est avec toi ne dur ne périlleux; Pourvu que tes soleils me rayent favorables, Toutes conditions je répute honorables, Pourvu que mes travaux finissent quelque jour, Un Paradis me suit où sera ton séjour."")","('PRÉCIEUSE.', ""Vous savez à quel point j'aime la poésie, Donnez preuve par là de votre courtoisie, Quelque aimable travail de ce noble métier Qui charge son auteur de gloire et de laurier, Nous peut mieux divertir, et causer moins de blâme, Que tous ces vains discours et de traits et de flamme."")",25,49,0.2,Substitution
51,"('PRÉCIEUSE', ""Telle forme envers moi d'honnête procédure Ne me reconnaîtrait ingrate ne trop dure, Et, ce noviciat de la sorte parfait, Nos désirs parviendront du propos à l'effet ; Desseins bâtis en l'air qui passent la puissance, Car comment colorer une si longue absence Du logis paternel ? comment à l'avenir Un cavalier le rang de Bohème tenir ?"")","('LE POÈTE.', ""Parlons-en, je le veux, m'avez vous fait l'honneur De lire ce Sonnet où j'ai peint mon bonheur ?"")",26,50,1.05,Substitution
52,"('DOM JEAN', ""Certaine occasion, la meilleure du monde, Offerte à point nommé notre projet seconde, Tu le confesseras, sachant que le vieillard En la Flandre au plu tôt délivre mon départ ; Sur ce prétexte donc échappé de ma suite, Demain vers votre gros je dresserai ma fuite, Muni de force argent ; afin de me pouvoir Des confrères nouveaux faire mieux recevoir, Une bonne partie à nous trois réservée, Tant que l'hérédité paternelle arrivée Meurisse la moisson de nos contentements, Exemple proposée au bonheur des amants."")","('LA VIEILLE, à part avec Précieuse.', ""Puisque cet entretien te plaît et te contente, Je m'en vais cependant faire un tour dans la tente, Mais si de son amour il t'ose encore parler, Tranche-lui moi tout court, ou me viens appeler."")",27,51,0.4,Substitution
53,"('VIEILLE ÉGYPTIENNE', '')","('PRÉCIEUSE.', 'Allez, cela vaut fait.')",28,52,1.01,Substitution
54,,"('PRÉCIEUSE.', ""Oui, j'ai lu cet ouvrage, C'est sur notre rencontre."")",-,53,1.0,Deletion
55,,"('LE POÈTE.', 'Ajoutez mon servage.')",-,54,1.0,Deletion
56,,"('PRÉCIEUSE.', 'Chaque rime en est riche, et dans les plus nouveaux, Les termes, à mon gré, ne semblent point si beaux, Le tour du vers est noble, agréable et facile, Enfin vous triomphez dans la douceur du style.')",-,55,1.0,Deletion
57,,"('LE POÈTE.', ""Enfin vous vous moquez de ce que j'ai produit, Mais dans le triste état où vous m'avez réduit, Sous le faix de mes maux, mon âme gémissante Abat ainsi ma Muse, et la rend languissante, Et c'est bien rarement que l'on voit des enfants, Quand leur père se meurt, pompeux et triomphants. Mais si de quelque espoir vous consolez ma peine, Si vos rudes froideurs ne glacent plus ma veine, Vous enverrez couler mille torrents de vers, Qui de votre beau nom rempliront l'Univers, Et qui prenant dans l'air une route connue, Vous remettront au Ciel, d'où vous êtes venue ; Beaux yeux qui m'inspirez ce glorieux dessein, Lancez pour son effet votre feu dans mon sein, Soyez mon Apollon..."")",-,56,1.0,Deletion
58,"('DOM JEAN', ""Onc de l'âme ne fut sur ce visage peinte, Ma foi porte un oracle où l'on se doit fier. Mais ne voulez-vous pas l'accord ratifier ?"")","('PRÉCIEUSE.', ""C'est assez me confondre, Donnez-moi pour le moins le temps de vous répondre, Ou plutôt, excusez ma curiosité, Vous même répondez, mais avec vérité. Ce que je veux apprendre au moins n'est pas sans cause, Et le savoir au vrai m'importe en quelque chose ; Dites-moi donc sans feinte, êtes-vous poète ?"")",29,57,0.59,Substitution
59,"('VIEILLE ÉGYPTIENNE', ""Précieuse, en ce cas, suive son franc arbitre, Qui ne saurait d'ami choisir à meilleur titre."")","('LE POÈTE.', ""Non : Il est trop peu de gens qui méritent ce nom, Avec ardeur pourtant j'aime la poésie, Et j'en puis sans secours, passer ma fantaisie. Si j'ai besoin d'une ode, ou de quelque sonnet, Une heure en fait l'office au lit, au cabinet, Mais pour faire des vers je ne suis pas poète, Dieu me garde de l'être, ou que je le souhaite."")",30,58,1.0,Substitution
60,"('PRÉCIEUSE', ""Non, ma mère, l'honneur présentement reçu Possible qui le fait ne fâchera déçu, Mon inclination répugne à ma fortune, Lasse de plus servir de fable à la commune, Qui réclame le ciel chaque heure mille fois Sur les stables repos que nous promet ce choix. Tenez, mon cavalier, la parole avancée, D'une pauvre Andromède invincible Persée."")","('PRÉCIEUSE.', ""Peu de gens, dites-vous, en méritent le nom, Et vous en craignez tout, même jusqu'au renom : Cette condition n'est donc pas honorable."")",31,59,0.71,Substitution
61,,"('LE POÈTE.', ""À ne faire autre chose elle est peu favorable. Ce n'est pas que l'effet n'en soit bien glorieux."")",-,60,1.0,Deletion
62,,"('PRÉCIEUSE.', 'Pourquoi le nom de poète est-il donc odieux ?')",-,61,1.0,Deletion
63,"('DOM JEAN', ""Tu la vois accomplie, ou le destin jaloux Me privera de vie en te privant d'époux. Or avais-je oublié que, crainte de surprise, Et pour mieux assurer l'amoureuse entreprise, Faut que votre brigade implorée au besoin, S'écarte à travers champ de la ville bien loin, Que deux traites plutôt elle réduise en une, Afin que de ma route on n'ait remarque aucune."")","('LE POÈTE.', ""C'est sans doute un venin de ces âmes vulgaires Qui n'ont aucune part à nos sacrés mystères, D'un tas de jeunes gens qui n'ont pas mérité De sentir ce rayon de la divinité, De ces petits esprits qui se donnent la gêne Pour trouver dans leur tête un mot qui rime à chaîne, Qui n'ont su pénétrer dans ces saintes forêts, Où le Dieu du savoir découvre ses secrets, Et que les doctes soeurs ont jugé trop indignes D'honorer comme nous de leurs faveurs insignes, Ignorants, babillards, censeurs, ambitieux, Enragés de nous voir si bien avec les Dieux : Oui, ce sont ces messieurs, qui d'une humeur profane Approuvent dans leur coeur ce que leur voix condamne : Car enfin ce bel Art, l'amour des beaux esprits, Dont les honnêtes gens se sentent tous épris, Cette chaste beauté qu'on nomme poésie, Ne vient point, comme on croit, de notre frénésie, Elle est fille du Ciel, son aimable entretien Fait révérer partout quiconque en use bien. Les rois avec plaisir goûtent sa compagnie, Sa douceur est charmante, et sa grâce infinie, \t C'est le Trône animé des plus nobles vertus, Le beau champ où l'on voit les vices abattus, Le guide qui conduit les Héros à la gloire, La triomphante voix qui chante leur victoire, Le marbre où sont gravés leurs noms dignes des Cieux, Le temple de l'honneur, le langage des Dieux, La Reine des destins, la source de la vie, Le trésor des beaux faix, et le fléau de l'envie : Voilà de ce Soleil quelques simples crayons, Vous tracerai-je encore quelqu'un de ses rayons ? C'est une pièce rare, où cent beautés paressent, Qu'il ne faut exposer qu'à ceux qui s'y connaissent, Non pas à la façon de quelques importuns, Qui, les offrant à tous, rendent ces bien communs."")",32,62,0.46,Substitution
64,,"('PRÉCIEUSE.', ""Oui, mais cette beauté si noble et si chérie Est pauvre à ce qu'on dit."")",-,63,1.0,Deletion
65,"('VIEILLE ÉGYPTIENNE', ""Ne te chaille, volant sur les ailes du gain Cela sera ma charge, et j'y tiendrai la main."")","('LE POÈTE.', ""C'est une raillerie, Au contraire elle est riche, au moins voit-on contents Tous ceux qui dans son sein prennent leurs passe-temps : Rare condition, belle Philosophie, Dont l'usage est puissant, puisqu'il nous déifie, Mais rendez-moi le bien que je vous ai prêté, En excusant aussi ma curiosité, De la vôtre après tout, peut savoir la cause ?"")",33,64,1.19,Substitution
66,"('DOM JEAN', 'Te souvienne informer par la ville, mon âme, En quel estime on a Dom François de Carcame, Si je fonde, pipeur, ton espoir sur du vent, Et va de notre amour ce gage recevant.')","('PRÉCIEUSE.', ""Oui da, c'est la raison qu'ici je vous l'expose, C'est que vous croyant poète à votre procédé, Et par cette raison pas trop accommodé, Voulant lire vos vers je crus être charmée De voir une pistole avec eux enfermée, Je la tâtai cent fois, et j'en doutais encore, Mais l'ayant fait sonner, je vis qu'elle était d'or, Lors, quoi que toute seule à ce nouveau spectacle, Un Poète, m'écriai-je, a de l'argent, Miracle !"")",34,65,0.41,Substitution
67,,"('LE POÈTE.', 'Que je le sois ou non.')",-,66,1.0,Deletion
68,,"('PRÉCIEUSE.', ""Souffrez ma liberté, Puisque vous n'avez rien de cette qualité."")",-,67,1.0,Deletion
69,"('VIEILLE ÉGYPTIENNE', ""Le fais lui pèserait, donnez que je j'allège, Elle toucher de l'or ? c'est pis qu'un sacrilège."")","('LE POÈTE.', ""Prenez ces autres vers qui partent de ma veine Et de ce que je suis ne soyez plus en peine, Suffit que si j'étais d'un monde possesseur, Je vous l'offrirais tout, aussi bien que mon coeur."")",35,68,0.7,Substitution
70,"('PRÉCIEUSE', ""Que faites-vous ma mère ? hélas ! plutôt la mort Qu'avare mon honneur consente à tel effort, Que l'exposant vénal un reproche ordinaire Ce vertueux amour appelle mercenaire. Plutôt que ce présent ne lui restituer, Exorable venez me perdre, me tuer."")","('PRÉCIEUSE.', ""Ô Dieu ! Ce papier brûle. Il est tout plein de flammes, Et doit vivre longtemps, car il a plusieurs âmes, La pistole en est une, et puis celle des vers, Où l'on en voit toujours plus que dans l'Univers. Or sus, mon Cavalier, de ces biens qui sont vôtres, Reprenez l'âme d'or, je retiendrai les autres, Voilà celle d'hier que je vous rends aussi, C'est elle-même au moins, et puisqu'il est ainsi, Contractons entre nous une amitié qui dure, Mais changez cette infâme et lâche procédure, Venez me visiter quelque fois, j'y consens, Comme faiseur de vers, et non pas de présents. Elle le tâte."")",36,69,0.5,Substitution
71,"('DOM JEAN', ""Ne m'imagine pas, téméraire folie, Croire que tel présent davantage te lie : Jupiter, tu aurais le Ciel à posséder, Jupiter, je voudrais le foudre te céder. Adieu ma Reine, adieu lumière de ma vie, Paye au moins d'un baiser ma liberté ravie."")","('LE POÈTE.', ""Hé bien vous le voulez ? Il faut donc les reprendre, Trop heureux de cette offre, où je n'osais prétendre : Mais ayant eu l'honneur de passer par vos mains, Il ne doit plus servir au trafic des humains Ce trésor que j'égale à ceux des Républiques, Et je vais l'enchâsser ainsi que des reliques."")",37,70,0.46,Substitution
72,,"('LA VIEILLE.', 'Précieuse.')",-,71,1.0,Deletion
73,,"('PRÉCIEUSE.', ""C'est fait."")",-,72,1.0,Deletion
74,,"('LA VIEILLE.', ""Rentre sans contester, J'entends venir quelqu'un qui pourrait t'arrêter, Nos gens vont à la ville, il faut que tu te pares."")",-,73,1.0,Deletion
75,"('PRÉCIEUSE', ""On le réserve prêt, amorce du retour, Si ce grand mont n'enfante une souris d'amour."")","('PRÉCIEUSE.', 'Nous bravons sans cela les beautés les plus rares. En se retirant, elle laisse choir sans dessein le papier que le poète lui a donné.')",38,74,0.84,Substitution
