Line,Google Trad,Modernisé,similarity,5_closest
11,"COSME |Si vous cherchez de l'industrie, attendez,| celui-là m'est offert.| Cette lettre, qui confie| Il appartient à un ami, je suis désolé.|(DON LUIS et RODRIGO, son domestique, sortent.)","Carrille|J'userai de la force. Il faut donc inventer|Quelque subtil moyen, à propos cette lettre|Nous y pourra servir.|(Il tire une lettre de sa poche.)|Licidas, Carrille, Florêtan, Ariste",1,"[(0.94, '▁lettre', '▁lettre'), (0.9, '▁confie', '▁inventer'), (0.9, '▁confie', '▁lettre'), (0.87, '▁confie', '▁propos'), (0.86, '▁lettre', '▁lettre')]"
12,LUIS |Je dois la connaître| pas plus que pour les soins | avec lequel je suis soupçonné.,"Licidas|Nous y pourra servir. Oui je la veux connaître|Avant qu'elle m'échappe, et veux savoir pourquoi|Elle fuit ma rencontre, et se cache de moi.",1,"[(0.94, '▁connaître', '▁connaître'), (0.85, '▁dois', '▁veux'), (0.84, '▁dois', '▁veux'), (0.83, '▁connaître', '▁veux'), (0.83, '▁soins', 'das')]"
13,RODRIGUE | Suivez-la et vous saurez qui elle est. (COSME arrive et DON MANUEL sort.),,0,[]
14,"COSME |Seigneur, bien qu'avec honte| J'arrive : Votre Altesse me fait| une si grande faveur que tu me lises| à qui dit cette lettre.","Carrille (lui montrant une lettre.)|Excusez s'il vous plaît, Monsieur, ma hardiesse,|Et me dites à qui cette lettre s'adresse,|De grâce, obligez-moi.",0,"[(0.96, '▁lettre', '▁lettre'), (0.89, '▁lettre', '▁lettre'), (0.77, '▁faveur', '▁montrant'), (0.74, '▁faveur', '▁lettre'), (0.73, '▁honte', '▁montrant')]"
15,LUIS | Je ne pars pas maintenant avec du flegme.,,0,[]
16,"COSME | Eh bien, si seulement tu manques de flegme, (Arrête-le.) J'en ai plein | et je pourrai partir avec toi.",,0,[]
17,LUISApartad.,,0,[]
18,"MANUEL |(Oh, comme la rue est droite ! Ils ne les ont pas encore perdus de vue).",,0,[]
19,COSME |Pour votre vie...,,0,[]
20,"LUIS |Vive Dieu, tu es lourd| et je te briserai la tête, | Si tu me fais beaucoup...!",,0,[]
21,COSME |Pour|que | Je ne te ferai pas grand-chose.,,0,[]
22,LUIS |Patience| | Je manque de malades. |A part ici ! |(Supprimez-le.),"Licidas (le repoussant rudement.)|De grâce, obligez-moi. Retire toi maraud.",1,"[(0.8, '▁part', 'das'), (0.79, 'ence', 'das'), (0.77, '▁Pat', 'das'), (0.76, '▁ici', 'das'), (0.72, '▁Pat', '▁Re')]"
23,"MANUEL |(C'est maintenant la force | d'arriver ; le courage finit | ce que la prudence a commencé.) (Arrive.) Monsieur, ce serviteur| C'est le mien et je ne sais pas ce que ça peut vous avoir offensé aujourd'hui | pour que de cette façon| tu l'écrases.","Florêtan|Ce valet est à moi, ne parlez pas si haut,|C'est me désobliger, car sans qu'il vous offense|Vous le traitez trop mal, et même en ma présence,|Et par moi sur le champ en ayant autant fait|À quelqu'un de vos gens vous seriez satisfait.",0,"[(0.86, '▁finit', '▁autant'), (0.82, '▁off', '▁off'), (0.8, '▁courage', '▁autant'), (0.8, '▁serviteur', '▁autant'), (0.77, '▁force', '▁autant')]"
24,"LUIS |Non|Je réponds |au doute ou à la plainte,| parce que je n'ai jamais été satisfait a personne. Adieu.","Licidas|De satisfaction je n'en fis en ma vie,|Et d'éclaircir aucun, je n'en ai nulle envie,|Mon courage à ce point ne se soumit jamais,|Prenez si vous voulez, ou la guerre ou la paix.",0,"[(0.85, '▁jamais', '▁jamais'), (0.84, '▁Non', 'das'), (0.79, '▁Non', '▁Prenez'), (0.77, '▁Non', '▁satisfaction'), (0.76, '▁Non', 'ici')]"
25,"MANUEL |Si|j'avais besoin de mon courage| de satisfactions, crée | ton arrogance envers moi| que je ne devrais pas partir sans elle.| Demandez en quoi cela vous offense | pour le punir s'il se trompe, | mérite plus de courtoisie et bien, le tribunal l'enseigne, | ne lui donne pas une mauvaise réputation, | avec un étranger qui arrive| pour l'enseigner à ceux qui ont obligation de savoir.","Florêtan|Cette guerre par vous qui m'est sitôt offerte,|Montre que vous voulez advancer votre perte,|Et si j'avais besoin de satisfaction,|Je l'aurais bien de vous en cette occasion,|Et vous guérirais bien de cette frénésie:|Mais si je trouve en vous si peu de courtoisie,|Que tout homme de Cour, que je crois, doit savoir,|Je vous veux enseigner quel est votre devoir,|Marri qu'un étranger vous acquête la gloire|De l'apprendre de belle.",1,"[(0.93, '▁étranger', '▁étranger'), (0.9, '▁besoin', '▁besoin'), (0.87, '▁mérite', '▁Montre'), (0.87, '▁savoir', '▁savoir'), (0.85, '▁crée', '▁Montre')]"
26,LUIS | Qui pensera que je ne peux pas | Je vais l'apprendre...,"Licidas|De l'apprendre de belle. C'est trop s'en faire accroire,|Je puis quand je voudrai vous en faire leçon,|Et lorsque je la faits, c'est de cette façon,",1,"[(0.65, 'UI', 'ici'), (0.65, 'UI', 'das'), (0.63, '▁penser', '▁accro'), (0.59, 'UI', '▁trop'), (0.59, 'UI', '▁leçon')]"
27,MANUEL |La|langue | suspendu et parlé l'acier. |(Ils sortent leurs|épées.),(Ils mettent tous deux l'épée à la main.),1,"[(0.77, '▁sortent', '▁mettent'), (0.77, '▁épée', 'épée'), (0.63, 'acier', 'épée'), (0.59, '▁sortent', 'épée'), (0.59, '▁épée', '▁mettent')]"
28,LUIS | Vous dites bien.,Ariste (à Carrille l'épée à la main.)pense|As tu du cœur? il faut le faire ici paraître,0,"[(0.57, '▁bien', '▁cœur'), (0.49, 'UI', '▁cœur'), (0.47, '▁bien', 'riste'), (0.46, 'UI', 'épée'), (0.46, '▁dites', '▁cœur')]"
29,"COSME Oh, qui avait | vouloir se battre!","Carrille|Toubeau, je n'oserais, j'offenserais mon maître,|Il me l'a défendu.|Lisandre, Licidas, Florestan, Carrille, Ariste",0,"[(0.71, '▁Oh', '▁Tou'), (0.7, '▁Oh', 'beau'), (0.64, '▁Oh', '▁maître'), (0.64, '▁vouloir', '▁Tou'), (0.61, '▁vouloir', 'beau')]"
30,RODRIGOSacad| | l'épée vous.,"Lisandre|Il me l'a défendu. Que vois je justes Dieux?|Dois-je croire en ce point ou démentir mes yeux?|(il met l'épée à la main)|On en veut à mon frère, on l'attaque on l'outrage,|Allons le secourir, sus mon frère courage,|Je suis à vous.",0,"[(0.86, 'épée', 'épée'), (0.84, 'cad', 'andre'), (0.81, 'cad', '▁sus'), (0.76, 'épée', 'andre'), (0.74, 'IG', 'andre')]"
31,"COSME |Elle est|une jeune fille |et sans certificat ni mot| Je n'arrive pas à le sortir. (DOÑA BEATRIZ sort avec DON JUAN,|et CLARA, la servante et tout le monde.)","Licidas|Je suis à vous. Mon frère en voulant m'obliger,|Vous me désobligez, et voulez m'outrager ;|C'est me faire un affront signalé que de croire|Que sans vous je ne puisse emporter la victoire,|Vous me feriez passer pour un homme sans cœur ;|Puis si ce cavalier a beaucoup de valeur,|Il n'a jusqu'à présent sur moi nul advantage;",0,"[(0.81, '▁sort', 'das'), (0.8, '▁mot', 'das'), (0.79, '▁mot', '▁croire'), (0.79, '▁sort', '▁croire'), (0.77, '▁fille', '▁frère')]"
32,"JEAN | Lâchez prise, | | Béatrice.","Florêtan|Vous témoignez assez quel est votre courage,|Cette noble action m'honore tout à fait,|Mais si vous n'êtes pas de tout point satisfait|Et qu'il vous reste encor quelque scrupule en l'âme|Je désire envers vous être exempt de tout blâme,|Me le faisant apavoir où bon vous semblera,|Nous nous rencontreronts.",0,"[(0.75, '▁Béatrice', '▁satisfait'), (0.67, '▁Béatrice', '▁témoigne'), (0.66, '▁Béatrice', '▁courage'), (0.66, '▁Béatrice', '▁scrupule'), (0.65, '▁Béatrice', 'êt')]"
33,BÉATRICE |Vous n'êtes pas obligé d'y aller.,Licidas|Nous nous rencontreronts. Tout ce qu'il vous plaira.,0,"[(0.53, 'êtes', 'ront'), (0.52, '▁aller', '▁rencontre'), (0.47, '▁aller', 'ici'), (0.46, '▁aller', 'das'), (0.44, '▁obligé', 'ici')]"
34,JOHN |Regardez|ce que c'est | avec mon frère la querelle.,"Lisandre|Que vois-je tout de bon? pourroi je me méprendre?|Florêtan, est-ce vous?",0,"[(0.84, '▁Regardez', 'andre'), (0.76, '▁Regardez', '▁vois'), (0.72, '▁Regardez', 'roi'), (0.69, '▁frère', 'andre'), (0.68, '▁querelle', 'andre')]"
35,"BEATRIZ Oh moi, triste !","Florêtan|Florêtan, est-ce vous? Est-ce vous cher Lizandre!",0,"[(0.76, '▁Oh', '▁cher'), (0.76, '▁triste', '▁cher'), (0.74, '▁triste', 'andre'), (0.67, '▁triste', 'êt'), (0.66, 'EA', 'andre')]"
36,JOHN |À|vos côtés | Je suis.,"Lisandre|Veille, ou si je dors? Dieux je ne puis penser|Que mon frère ait jamais eu dessein d'offenser|Un ami que j'estime à l'égal de moi-même:|Mon frère, vous devez aimer celui que j'aime;|Que j'en sache la cause.",0,"[(0.82, '▁côtés', '▁penser'), (0.78, '▁côtés', 'andre'), (0.77, '▁côtés', '▁Dieu'), (0.74, '▁côtés', 'ser'), (0.7, '▁côtés', '▁ami')]"
37,"LUIS |Don|Juan, essaie, attends, |ça, plus que me donner du courage,| Vous venez pour faire de moi un lâche.| Chevalier étranger, | qui n'a pas excusé la querelle| seul, étant accompagné| Il est clair qu'il ne la laisse pas faire. d'un lâche Autant en emporte Dieu, | qui ne connaît pas ma noblesse se disputer gravement, et plus encore avec qui| fait preuve de tant de verve et de courage.| Autant en emporte Dieu.","Licidas|Que j'en sache la cause. Il est vrai qu'en effet,|Nous nous sommes piqués pour fort peu de sujet,|Ce valet m'empêchant de poursuivre une affaire,|Qui m'importait beaucoup, m'a fait mettre en colère.|Je l'ai poussé, son maître à l'instant a voulu|S'intéresserpour lui, ses discours m'ont déplu,|J'ai réparti, soudain de parole en parole,|Nous nous sommes piqués; mais ce qui me console|Est que ce Cavalier accompli de tout point|Me le pardonnera, ne le connaissant point.",0,"[(0.87, '▁Don', 'das'), (0.87, '▁accompagné', '▁accompli'), (0.86, '▁Don', '▁accompli'), (0.86, '▁accompagné', 'das'), (0.86, '▁lâche', '▁point')]"
38,"MANUEL |Je|vous estime |bizarre et douceur;| mais, si de moi par bonheur| Avez-vous encore des scrupules ? Vous me trouverez où vous voulez.","Florêtan|C'est moi qui veux de vous espérer cette grâce,|J'ai tort, je le confesse, excusez mon audace,|La faute est à moi seul.",0,"[(0.84, '▁estime', '▁espérer'), (0.83, '▁bonheur', '▁espérer'), (0.81, '▁estime', '▁veux'), (0.79, '▁bonheur', '▁veux'), (0.78, '▁douceur', '▁espérer')]"
39,LUIS Norabuena.,"Lisandre|La faute est à moi seul. Il faut tout oublier.|Mon cher frère, embrassez ce brave Cavalier,|À qui je dois mon bien, mon honneur et ma vie,|Secondez-je vous prie en ce point mon envie,|C'est ce cher Florêtan, ce n'est pas d'aujourd'hui|Que vous savez les biens que j'ai reçus de Seigneur,|Je vous l'ai dit cent fois, et vous le dis encore.",0,"[(0.76, '▁Nor', 'andre'), (0.73, '▁Nor', '▁brave'), (0.73, 'ab', 'andre'), (0.71, '▁Nor', '▁oublier'), (0.71, '▁Nor', '▁envie')]"
40,MANUEL |Norabuena.|,"Florêtan|Pour témoigner combien je l'aime et je l'honore,|Je veux premier qu'à vouslui rendre ce devoir.|(Il embrasse Licidas.)",0,"[(0.74, '▁Nor', '▁embrasse'), (0.72, '▁Nor', 'êt'), (0.7, 'ab', '▁embrasse'), (0.67, '▁Nor', '▁veux'), (0.66, 'ab', 'das')]"
41,JEAN | Qu'est-ce que je vois et entends ! | | Don Manuel !,"Licidas|Votre vertu, Monsieur, s'est fait assez valoir,|Sans en cette action me la faire paraître,|Oui par votre valeur je vous devais connaître,|Mais vous m'excuserez puisque je m'en repens.",0,"[(0.78, '▁Don', '▁Oui'), (0.75, '▁Don', 'das'), (0.73, '▁Don', '▁connaître'), (0.67, '▁Don', '▁valeur'), (0.66, '▁Don', 'ici')]"
42,MANUEL |¡Don|Juan !,"Florêtan|Je n'ai que trop connu la vôtre à mes dépens,|Car vous m'avez blessé.",0,"[(0.71, '▁Juan', 'êt'), (0.65, '<unk>', 'êt'), (0.58, '<unk>', '▁connu'), (0.56, '▁Juan', '▁connu'), (0.53, 'UE', 'êt')]"
43,"JOHN |Suspendre,| |l'âme ne détermine pas| que faire, quand on considère | un frère et un ami -ce qui est pareil- en différence| tel, et jusqu'à ce que nous en connaissions la cause| J'hésiterai.",Lisandre|Car vous m'avez blessé. Grands Dieux! je désépère.|Quoi! vous êtes blessé?,0,"[(0.8, '▁différence', 'andre'), (0.77, '▁considère', 'andre'), (0.76, '▁détermine', 'andre'), (0.73, '▁Su', '▁Grands'), (0.73, '▁frère', 'andre')]"
44,"LUISLa|cause est la suivante : |retour pour ce serviteur| ce monsieur essaie, | quel idiot ça m'a fait lui parler mal. Tout cesse avec ça.|","Florêtan|Quoi! vous êtes blessé? La blessure est légère,|Ce n'est que dans la main.",0,"[(0.73, '▁essaie', 'êt'), (0.72, '▁monsieur', '▁êtes'), (0.69, '▁cause', 'êt'), (0.69, '▁monsieur', '▁blessure'), (0.69, '▁essaie', '▁êtes')]"
45,"JUAN |Eh bien|cela étant ainsi, |vous me donnerez courtoisement la permission| pour que je puisse le serrer dans mes bras.| Le noble invité qui attend notre maison est le seigneur Don Manuel. Frère, arrive,| que deux qui se sont disputés de la même manière | à partir de ce moment ils restent plus d'amis, eh bien, ils se sont déjà fait de sa valeur d'expérience.| Donnez-nous vos armes.","Licidas|Ce n'est que dans la main. Monsieur, à deux genoux|J'en demande pardon.",0,"[(0.88, '▁Frère', '▁Monsieur'), (0.79, 'AN', 'das'), (0.79, '▁arrive', '▁Monsieur'), (0.78, '▁invité', 'das'), (0.78, '▁arrive', 'das')]"
46,"MANUEL |Premier| |laisse-moi te les donner, ça me prend| la valeur que j'ai vue en lui| pour m'offrir un service | de M. Don Luis.",Florêtan|J'en demande pardon. Ah Dieux! que faites-vous?,0,"[(0.71, '▁donner', '▁faites'), (0.7, '▁valeur', 'êt'), (0.7, '▁Don', '▁Dieu'), (0.69, '▁valeur', '▁Dieu'), (0.68, '▁vue', '▁Dieu')]"
47,"LUIS |Je|suis |ton ami et ça me pèse déjà| si je ne t'avais pas connu, | car ton courage pourrait| m'ont informé.",Lisandre|Allons ici devant penser votre blessure.,0,"[(0.8, '▁ami', 'andre'), (0.76, '▁courage', 'andre'), (0.75, '▁ami', '▁penser'), (0.74, '▁ami', '▁ici'), (0.74, '▁pèse', 'andre')]"
48,"MANUEL|Ton homme châtié me quitte,| Eh bien, il me laisse dans cette main une blessure.","Florétan (bas)|En entrant dans Paris, Dieux! quel mauvais augure,|Qu'il me coûte du sang.",0,"[(0.75, '▁homme', '▁Dieu'), (0.71, '▁homme', '▁entrant'), (0.71, '▁homme', '▁Paris'), (0.71, '▁quitte', '▁Paris'), (0.71, '▁quitte', '▁Dieu')]"
49,LUIS |Plus|Je voudrais | je l'ai moi-même mille fois.,"Licidas (bas)|Qu'il me coûte du sang. Je suis au désespoir,|Que ce rencontreici m'empêche de Savoir|Quel était cet object que je voulais connaître.",0,"[(0.86, '▁voudrais', '▁rencontre'), (0.84, '▁voudrais', '▁voulais'), (0.81, '▁voudrais', 'das'), (0.8, '▁voudrais', 'ici'), (0.77, '▁voudrais', 'object')]"
50,COSME | Quelle courtisane !,"carrille (bas)|M'en doutais-je pas bien? on a payé mon maître,|Il le méritait bien pour avoir imité|Ce fol de Don Quixote en sa témérité.|Angélique, Isabelle",0,"[(0.7, 'ane', '▁Don'), (0.67, 'ane', '▁maître'), (0.67, 'ane', 'ote'), (0.62, 'ane', '▁fol'), (0.61, 'is', 'imité')]"
51,"JEAN | Blesser? Je suis venu pour te guérir. |Toi, Don Luis, te voilà| jusqu'à ce que tu prennes ta voiture| Mme Beatriz, qui m'attend ;| et de ce manque de courtoisie tu lui présenteras tes excuses.| Venez, monsieur, chez moi | -mieux vaut dire le vôtre-,| où vous guérissez.",,0,[]
52,MANUELQuoi|ce n'est rien.,,0,[]
53,JEAN | Venir vite.,,0,[]
54,MANUEL (Comme cela m'a été triste de recevoir Madrid avec du sang !).,,0,[]
55,LUIS |(Quel dommage |Je suis de ne pas pouvoir| savoir de quelle dame il s'agissait !).,,0,[]
56,"COSME |Comme c'est bien mérité| mon amour, ce qu'il prend, | pourquoi ne pas viser à être | Don Quichotte de la ligue !| (Les trois partent et DON LUIS arrive chez DOÑA BEATRIZ, qui se tient à l'écart.)",,0,[]
57,"LUIS |La tempête est déjà passée;| encore une fois, madame, revenez | restaurer les fleurs, | qui est maintenant flétri et sec de ta beauté la glace | d'un évanouissement.",,0,[]
58,BEATRIZ |Où|est-il | Don Juan?,,0,[]
59,"LUIS |Pardonnez-lui|vous demande-t-il, car ils l'emmènent| obligations forcées| et prendre soin avec diligence de la santé d'un ami| qui est blessé",,0,[]
60,BÉATRIZ | Oh moi ! Je suis mort ! Est-ce Don Juan ?,,0,[]
61,"LUISMadame,| |ce n'est pas don Juan; ce n'était pas là, mon frère étant blessé, | moi avec une si grande patience.| N'aie pas peur, ce n'est pas juste | que, sans qu'il ait la blessure, | nous avons entre les deux | Je suis la douleur et tu es le chagrin ;| Je dis que ça fait mal de te voir si prosterné, si sujet à un regret imaginaire, | cela fait mal avec plus de force.",,0,[]
62,"BEATRIZ |M. Don Luis, vous le savez déjà| que j'estime vos gentillesses, | bien sûr, ils le méritent pour aimer et le vôtre ;| mais je ne peux pas les payer, | c'est ce que les stars doivent faire | et il n'y a rien qu'ils ne fassent pas | quiconque y réside.| Si ce qu'on trouve le moins| C'est aujourd'hui ce qu'il y a de plus précieux | au tribunal, soyez reconnaissant | la déception, même| parce que c'est quelque chose qui se trouve avec difficulté.| Reste avec Dieu. |(Il part avec sa servante.)",,0,[]
63,"LUISI Va avec Dieu. |Il n'y a aucune action qui m'arrive| Bien, Rodrigo. Si une dame| Je vois gracieuse et je la connais | Je demande, ils m'arrêtent| un imbécile et une querelle, | Je ne sais pas lequel est le pire ;| Si je ris et que mon frère arrive, | mon ennemi est ton ami ;| oui excuse-moi, laisse-moi | d'une dame, c'est une dame| que mille regrets cela me coûte,| heureusement un couvert me fuit, un insensé me tourmente,| un étranger me tue et un frère m'emmène être mon invité à la maison, | et une autre dame me méprise.| Ma fortune est en mauvais état !",,0,[]
64,"RODRIGO |Et tous ces chagrins| Qu'est-ce que je sais, ce que tu ressens le plus ?",,0,[]
65,LUIS Tu ne sais pas.,,0,[]
66,"RODRIGO |Ce que vous ressentez le plus, c'est la jalousie| de ton frère et de la belle Beatriz ?",,0,[]
67,LUIS | Vous avez triché.|,,0,[]
68,RODRIGO |Eh bien|lequel est-ce ?,,0,[]
69,"LUIS | Si je dois vraiment parler |-Je ne ferais confiance qu'à toi-,| ce que je ressens le plus, c'est que c'est le cas | mon frère si inattentif quoi emporter à la maison un jeune homme, ayant, | Rodrigo, une sœur en elle| veuve et fille et, comme vous le savez, | si secret qu'à peine connaît le soleil qui habite chez nous, | parce que Beatriz, parce que c'est une dette,| seulement la visite.",,0,[]
70,"RODRIGO |Je sais déjà que son mari était| administrateur portuaire | de mer de quelques revenus réels| et resta endetté envers le roi | grande quantité de biens;| et elle est venue au tribunal | du secret, où il essaie, | caché et retiré, | mieux composer vos dettes.| Et cela excuse ton frère, | Eh bien, si vous feriez mieux d'envisager| que ton état ne te donne pas ni permis ni licence | que personne ne lui rend visite | et cela, bien que son invité soit| Don Manuel, tu ne dois pas savoir que chez lui, monsieur, il s'enferme | une telle femme, quel inconvénient | est-il possible de l'y admettre ?| Et plus encore après avoir eu une telle modestie et un tel avertissement | qu'il a donné pour sa chambre dans une autre rue la porte et celui qui est sorti à la maison, | pour nier les soupçons | que les soins avaient | fermé ou parce qu'il pourrait| s'ouvre facilement encore une fois, fabriqué dedans | une armoire vitrée,| sculpté de telle manière| on dirait que jamais Dans une telle partie, il y avait une porte.",,0,[]
