,DamaDuende,Google Trad,Esprit Folet,Modernisé,Unnamed: 4,Unnamed: 5,Unnamed: 6
10,"COSME |Si industria buscas, espera,| que a mí se me ofrece una.| Esta carta, que encomienda| es de un amigo, me valga.|(Sale DON LUIS y|RODRIGO, su criado.)","COSME |Si vous cherchez de l'industrie, attendez,| celui-là m'est offert.| Cette lettre, qui confie| Il appartient à un ami, je suis désolé.|(DON LUIS et RODRIGO, son domestique, sortent.)","['Carrille', ""J'useray de la force. Il faut donc inventer"", 'Quelque subtil moyen, à propos cette lettre', 'Nous y pourra servir.', '(Il tire une lettre de sa poche.)', 'Licidas, Carrille, Florestan, Ariste']","Carrille|J'userai de la force. Il faut donc inventer|Quelque subtil moyen, à propos cette lettre|Nous y pourra servir.|(Il tire une lettre de sa poche.)|Licidas, Carrille, Florêtan, Ariste",,,
11,LUIS |Yo tengo de conocerla| no más de por el cuidado| con que de mí se recela.,LUIS |Je dois la connaître| pas plus que pour les soins | avec lequel je suis soupçonné.,"['Licidas', 'Nous y pourra servir. Ouy je la veux cognoistre', ""Avant qu'elle m'eschape, et veux sçavoir pourquoy"", 'Elle fuit ma rencontre, et se cache de moy .']","Licidas|Nous y pourra servir. Oui je la veux connaître|Avant qu'elle m'échappe, et veux savoir pourquoi|Elle fuit ma rencontre, et se cache de moi.",,,
12,RODRIGO | Síguela y sabrás quién|es. (Llega COSME y retírase DON MANUEL.),RODRIGUE | Suivez-la et vous saurez qui elle est. (COSME arrive et DON MANUEL sort.),[],,,,
13,"COSME |Señor, aunque con vergüenza| llego: vuesarced me haga| tan gran merced que me lea| a quién esta carta dice.","COSME |Seigneur, bien qu'avec honte| J'arrive : Votre Altesse me fait| une si grande faveur que tu me lises| à qui dit cette lettre.","['Carrille (lui monstrant une lettre.)', ""Excusez s'il vous plaist, Monsieur, ma hardiesse,"", ""Et me dites à qui cette lettre s'adresse,"", 'De grace, obligez moy.']","Carrille (lui montrant une lettre.)|Excusez s'il vous plaît, Monsieur, ma hardiesse,|Et me dites à qui cette lettre s'adresse,|De grâce, obligez-moi.",,,
14,LUIS | No voy|agora con flema.,LUIS | Je ne pars pas maintenant avec du flegme.,[],,,,
15,"COSME | Pues si flema solo os falta,(Detiénele.) yo tengo cantidad della| y podré partir con vos.","COSME | Eh bien, si seulement tu manques de flegme, (Arrête-le.) J'en ai plein | et je pourrai partir avec toi.",[],,,,
16,LUISApartad.,LUISApartad.,[],,,,
17,"MANUEL |(¡Oh, qué derecha |es la calle! Aún no se pierden |de vista).","MANUEL |(Oh, comme la rue est droite ! Ils ne les ont pas encore perdus de vue).",[],,,,
18,COSME |Por|vida vuestra...,COSME |Pour votre vie...,[],,,,
19,"LUIS |¡Vive Dios, que sois pesado| y os romperé la cabeza,| si mucho me hacéis...!","LUIS |Vive Dieu, tu es lourd| et je te briserai la tête, | Si tu me fais beaucoup...!",[],,,,
20,COSME |Por|eso | os haré poco.,COSME |Pour|que | Je ne te ferai pas grand-chose.,[],,,,
21,LUIS |Paciencia| | me falta para sufriros. |¡Apartad de aquí! |(Rempújale.),LUIS |Patience| | Je manque de malades. |A part ici ! |(Supprimez-le.),"['Licidas (le repoussant rudement.)', 'De grace, obligez moy. Retire toy maraut.']","Licidas (le repoussant rudement.)|De grâce, obligez-moi. Retire toi maraud.",,,
22,"MANUEL |(Ya es fuerza | llegar; acabe el valor| lo que empezó la cautela).(Llega.) Caballero, ese criado| es mío y no sé qué pueda| haberos hoy ofendido| para que de esa manera| le|atropelléis.","MANUEL |(C'est maintenant la force | d'arriver ; le courage finit | ce que la prudence a commencé.) (Arrive.) Monsieur, ce serviteur| C'est le mien et je ne sais pas ce que ça peut vous avoir offensé aujourd'hui | pour que de cette façon| tu l'écrases.","['Florestan', 'Ce valet est à moy, ne parlez pas si haut,', ""C'est me desobliger, car sans qu'il vous offence"", 'Vous le traittez trop mal, et mesme en ma presence,', 'Et par moy sur le champ en ayant autant fait', ""A quelqu'un de vos gens vous seriez satisfait.""]","Florêtan|Ce valet est à moi, ne parlez pas si haut,|C'est me désobliger, car sans qu'il vous offense|Vous le traitez trop mal, et même en ma présence,|Et par moi sur le champ en ayant autant fait|À quelqu'un de vos gens vous seriez satisfait.",,,
23,"LUIS |No|respondo |a la duda o a la queja,| porque nunca satisfice| a nadie. Adiós.","LUIS |Non|Je réponds |au doute ou à la plainte,| parce que je n'ai jamais été satisfait a personne. Adieu.","['Licidas', ""De satisfaction je n'en fis en ma vie,"", ""Et d'esclaircir aucun, je n'en ay nulle envie,"", 'Mon courage à ce poinct ne se sousmit jamais,', 'Prenez si vous voulez, ou la guerre ou la paix.']","Licidas|De satisfaction je n'en fis en ma vie,|Et d'éclaircir aucun, je n'en ai nulle envie,|Mon courage à ce point ne se soumit jamais,|Prenez si vous voulez, ou la guerre ou la paix.",,,
24,"MANUEL |Si|tuviera |necesidad mi valor| de satisfaciones, crea| vuestra arrogancia de mí| que no me fuera sin ella.| Preguntar en qué os ofende| por castigarle, si yerra,| merece más cortesía| y, pues la corte la enseña,| no la pongáis en mal nombre,| con que un forastero venga| a enseñarla a los que tienen| obligación de saberla.","MANUEL |Si|j'avais besoin de mon courage| de satisfactions, crée | ton arrogance envers moi| que je ne devrais pas partir sans elle.| Demandez en quoi cela vous offense | pour le punir s'il se trompe, | mérite plus de courtoisie et bien, le tribunal l'enseigne, | ne lui donne pas une mauvaise réputation, | avec un étranger qui arrive| pour l'enseigner à ceux qui ont obligation de savoir.","['Florestan', ""Cette guerre par vous qui m'est si tost offerte,"", 'Monstre que vous voulez advancer votre perte,', ""Et si j'avais besoin de satisfaction,"", ""Je l'aurois bien de vous en cette occasion,"", 'Et vous guerirois bien de cette frenesie :', 'Mais si je trouve en vous si peu de courtoisie,', 'Que tout homme de Cour, que je croy, doit sçavoir,', 'Je vous veux enseigner quel est vostre devoir,', ""Marry qu'un estranger vous acquiere la gloire"", ""De l'apprendre de luy.""]","Florêtan|Cette guerre par vous qui m'est sitôt offerte,|Montre que vous voulez advancer votre perte,|Et si j'avais besoin de satisfaction,|Je l'aurais bien de vous en cette occasion,|Et vous guérirais bien de cette frénésie:|Mais si je trouve en vous si peu de courtoisie,|Que tout homme de Cour, que je crois, doit savoir,|Je vous veux enseigner quel est votre devoir,|Marri qu'un étranger vous acquête la gloire|De l'apprendre de belle.",,,
25,LUIS | Quien pensare que no puedo | enseñarla yo...,LUIS | Qui pensera que je ne peux pas | Je vais l'apprendre...,"['Licidas', ""De l'apprendre de luy. C'est trop s'en faire accroire,"", 'Je puis quand je voudray vous en faire leçon,', ""Et lors que je la faits, c'est de cette façon,""]","Licidas|De l'apprendre de belle. C'est trop s'en faire accroire,|Je puis quand je voudrai vous en faire leçon,|Et lorsque je la faits, c'est de cette façon,",,,
26,MANUEL |La|lengua | suspended y hable el acero. |(Sacan las|espadas.),MANUEL |La|langue | suspendu et parlé l'acier. |(Ils sortent leurs|épées.),"[""(Ils mettent tous deux l'espée à la main.)""]",(Ils mettent tous deux l'épée à la main.),,,
27,LUIS | Decís bien.,LUIS | Vous dites bien.,"[""Ariste (à Carrille l'espée à la main.)/p>"", 'As tu du cœur ? il faut le faire icy paroistre']",Ariste (à Carrille l'épée à la main.)pense|As tu du cœur? il faut le faire ici paraître,,,
28,"COSME¡Oh,|quién tuviera | gana de reñir!","COSME Oh, qui avait | vouloir se battre!","['Carrille', ""Toubeau, je n'oserois, j'offencerois mon maistre,"", ""Il me l'a deffendu."", 'Lizandre, Licidas, Florestan, Carrille, Ariste']","Carrille|Toubeau, je n'oserais, j'offenserais mon maître,|Il me l'a défendu.|Lisandre, Licidas, Florestan, Carrille, Ariste",,,
29,RODRIGOSacad| | la espada vos.,RODRIGOSacad| | l'épée vous.,"['Lizandre', ""Il me l'a deffendu. Que vois je justes Dieux ?"", 'Doy je croire en ce poinct ou desmentir mes yeux ?', ""(il met l'espée à la main)"", ""On en veut à mon frere, on l'attaque on l'outrage,"", 'Allons le secourir, sus mon frere courage,', 'Je suis à vous.']","Lisandre|Il me l'a défendu. Que vois je justes Dieux?|Dois-je croire en ce point ou démentir mes yeux?|(il met l'épée à la main)|On en veut à mon frère, on l'attaque on l'outrage,|Allons le secourir, sus mon frère courage,|Je suis à vous.",,,
30,"COSME |Es|doncella |y sin cédula o palabra| no puedo sacarla.(Sale DOÑA BEATRIZ teniendo a DON JUAN,|y CLARA, criada, y gente.)","COSME |Elle est|une jeune fille |et sans certificat ni mot| Je n'arrive pas à le sortir. (DOÑA BEATRIZ sort avec DON JUAN,|et CLARA, la servante et tout le monde.)","['Licidas', ""Je suis à vous. Mon frere en voulant m'obliger,"", ""Vous me desobligez, et voulez m'outrager ;"", ""C'est me faire un affront signalé que de croire"", 'Que sans vous je ne puisse emporter la victoire,', 'Vous me feriez passer pour un homme sans cœur ;', 'Puis si ce cavalier a beaucoup de valeur,', ""Il n'a jusqu'à present sur moy nul advantage ;""]","Licidas|Je suis à vous. Mon frère en voulant m'obliger,|Vous me désobligez, et voulez m'outrager ;|C'est me faire un affront signalé que de croire|Que sans vous je ne puisse emporter la victoire,|Vous me feriez passer pour un homme sans cœur ;|Puis si ce cavalier a beaucoup de valeur,|Il n'a jusqu'à présent sur moi nul advantage;",,,
31,"JUAN |Suelta,| | Beatriz.","JEAN | Lâchez prise, | | Béatrice.","['Florestan', 'Vous tesmoignez assez quel est vostre courage,', ""Cette noble action m'honore tout à fait,"", ""Mais si vous n'estes pas de tout poinct satisfaict"", ""Et qu'il vous reste encor quelque scrupule en l'ame"", 'Je desire envers vous estre exempt de tout blasme,', 'Me le faisant sçavoir où bon vous semblera,', 'Nous nous rencontrerons .']","Florêtan|Vous témoignez assez quel est votre courage,|Cette noble action m'honore tout à fait,|Mais si vous n'êtes pas de tout point satisfait|Et qu'il vous reste encor quelque scrupule en l'âme|Je désire envers vous être exempt de tout blâme,|Me le faisant apavoir où bon vous semblera,|Nous nous rencontreronts.",,,
32,BEATRIZ |  No|has de ir.,BÉATRICE |Vous n'êtes pas obligé d'y aller.,"['Licidas', ""Nous nous rencontrerons . Tout ce qu'il vous plaira .""]",Licidas|Nous nous rencontreronts. Tout ce qu'il vous plaira.,,,
33,JUAN |Mira|que es | con mi hermano la pendencia.,JOHN |Regardez|ce que c'est | avec mon frère la querelle.,"['Lizandre', 'Que vois je tout de bon ? pourroy je me mesprendre ?', 'Florestan, est ce vous ?']","Lisandre|Que vois-je tout de bon? pourroi je me méprendre?|Florêtan, est-ce vous?",,,
34,"BEATRIZ¡Ay de mí, triste!","BEATRIZ Oh moi, triste !","['Florestan', 'Florestan, est ce vous ? Est ce vous cher Lizandre !']","Florêtan|Florêtan, est-ce vous? Est-ce vous cher Lizandre!",,,
35,JUAN |A|tu lado | estoy.,JOHN |À|vos côtés | Je suis.,"['Lizandre', 'Veille je, ou si je dors ? Dieux je ne puis penser', ""Que mon frere ait jamais eu dessein d'offencer"", ""Un amy que j'estime à l'esgal de moy mesme :"", ""Mon frere, vous devez aymer celuy que j'ayme ;"", ""Que j'en sçache la cause.""]","Lisandre|Veille, ou si je dors? Dieux je ne puis penser|Que mon frère ait jamais eu dessein d'offenser|Un ami que j'estime à l'égal de moi-même:|Mon frère, vous devez aimer celui que j'aime;|Que j'en sache la cause.",,,
36,"LUIS |Don|Juan, tente, espera, |que, más que a darme valor,| a hacerme cobarde llegas.| Caballero forastero,| quien no excusó la pendencia| solo, estando acompañado| bien se ve que no la deja| de cobarde. Idos con Dios,| que no sabe mi nobleza| reñir mal, y más con quien| tanto brío y valor muestra.| Idos con Dios.","LUIS |Don|Juan, essaie, attends, |ça, plus que me donner du courage,| Vous venez pour faire de moi un lâche.| Chevalier étranger, | qui n'a pas excusé la querelle| seul, étant accompagné| Il est clair qu'il ne la laisse pas faire. d'un lâche Autant en emporte Dieu, | qui ne connaît pas ma noblesse se disputer gravement, et plus encore avec qui| fait preuve de tant de verve et de courage.| Autant en emporte Dieu.","['Licidas', ""Que j'en sçache la cause. Il est vray qu'en effet,"", 'Nous nous sommes piquez pour fort peu de sujet,', ""Ce valet m'empeschant de poursuivre une affaire,"", ""Qui m'importoit beaucoup, m'a fait mettre en colere."", ""Je l'ay poussé, son maistre à l'instant a voulu"", ""S'interesserpour luy, ses discours m'ont dépleu,"", ""J'ay reparti, soudain de parole en parole,"", 'Nous nous sommes picquez ; mais ce qui me console', 'Est que ce Cavalier accompli de tout point', 'Me le pardonnera, ne le cognoissant point.']","Licidas|Que j'en sache la cause. Il est vrai qu'en effet,|Nous nous sommes piqués pour fort peu de sujet,|Ce valet m'empêchant de poursuivre une affaire,|Qui m'importait beaucoup, m'a fait mettre en colère.|Je l'ai poussé, son maître à l'instant a voulu|S'intéresserpour lui, ses discours m'ont déplu,|J'ai réparti, soudain de parole en parole,|Nous nous sommes piqués; mais ce qui me console|Est que ce Cavalier accompli de tout point|Me le pardonnera, ne le connaissant point.",,,
37,"MANUEL |Yo|os estimo |bizarría y gentileza;| pero, si de mí por dicha| algún escrúpulo os queda,| me hallaréis donde quisiereis.","MANUEL |Je|vous estime |bizarre et douceur;| mais, si de moi par bonheur| Avez-vous encore des scrupules ? Vous me trouverez où vous voulez.","['Florestan', ""C'est moy qui veux de vous esperer cette grace,"", ""J'ay tort, je le confesse, excusez mon audace,"", 'La faute est à moy seul.']","Florêtan|C'est moi qui veux de vous espérer cette grâce,|J'ai tort, je le confesse, excusez mon audace,|La faute est à moi seul.",,,
38,LUISNorabuena.,LUIS Norabuena.,"['Lizandre', 'La faute est à moy seul. Il faut tout oublier.', 'Mon cher frere, embrassez ce brave Cavalier,', 'A qui je doy mon bien, mon honneur et ma vie,', 'Secondez je vous prie en ce point mon envie,', ""C'est ce cher Florestan, ce n'est pas d'aujourd'huy"", ""Que vous sçavez les biens que j'ay receus de luy,"", ""Je vous l'ay dit cent fois, et vous le dis encore.""]","Lisandre|La faute est à moi seul. Il faut tout oublier.|Mon cher frère, embrassez ce brave Cavalier,|À qui je dois mon bien, mon honneur et ma vie,|Secondez-je vous prie en ce point mon envie,|C'est ce cher Florêtan, ce n'est pas d'aujourd'hui|Que vous savez les biens que j'ai reçus de Seigneur,|Je vous l'ai dit cent fois, et vous le dis encore.",,,
39,MANUEL |Norabuena.|,MANUEL |Norabuena.|,"['Florestan', ""Pour tesmoigner combien je l'ayme et je l'honore,"", ""Je veux premier qu'à vousluy rendre ce devoir ."", '(Il embrasse Licidas.)']","Florêtan|Pour témoigner combien je l'aime et je l'honore,|Je veux premier qu'à vouslui rendre ce devoir.|(Il embrasse Licidas.)",,,
40,JUAN | ¡Qué es lo que miro y escucho! | | ¡Don Manuel!,JEAN | Qu'est-ce que je vois et entends ! | | Don Manuel !,"['Licidas', ""Vostre vertu , Monsieur, s'est fait assez valoir,"", 'Sans en cette action me la faire paroistre,', 'Oüy par vostre valeur je vous devois cognoistre,', ""Mais vous m'excuserez puis que je m'en repens .""]","Licidas|Votre vertu, Monsieur, s'est fait assez valoir,|Sans en cette action me la faire paraître,|Oui par votre valeur je vous devais connaître,|Mais vous m'excuserez puisque je m'en repens.",,,
41,MANUEL |  ¡Don|Juan!,MANUEL |¡Don|Juan !,"['Florestan', ""Je n'ay que trop connu la vostre à mes despens,"", ""Car vous m'avez blessé.""]","Florêtan|Je n'ai que trop connu la vôtre à mes dépens,|Car vous m'avez blessé.",,,
42,"JUAN |Suspensa,| |el alma no determina| qué hacer, cuando considera| un hermano y un amigo| -que es lo mismo- en diferencia| tal, y hasta saber la causa| dudaré.","JOHN |Suspendre,| |l'âme ne détermine pas| que faire, quand on considère | un frère et un ami -ce qui est pareil- en différence| tel, et jusqu'à ce que nous en connaissions la cause| J'hésiterai.","['Lizandre', ""Car vous m'avez blessé. Grands Dieux ! je desepere."", 'Quoy ! vous estes blessé ?']",Lisandre|Car vous m'avez blessé. Grands Dieux! je désépère.|Quoi! vous êtes blessé?,,,
