,la-harpe-muses-rivales,cahusac-l-algerien,Cost,Operation Type
60,,"('#thalie', 'Fort bien sur ma parole.')",1.0,Deletion
61,,"('#melpomene', 'Eh ! Quel est-il ?')",1.0,Deletion
62,,"('#thalie', ""C'est un rôle de folle ; Vous allez nous effacer tous."")",1.0,Deletion
63,,"('#melpomene', 'Moi jouer une folle !.... En vérité Thalie... Mon état... ma grandeur...')",1.0,Deletion
64,,"('#thalie', ""J'ai tout fait pour le mieux, Croyez-moi, le grand sérieux N'est qu'une espèce de foliE."")",1.0,Deletion
65,"('#erato', 'Mais à qui cet honneur sera-t-il déféré ? Qui doit obtenir la victoire ?')","('#apollon', ""Aurai-je un rôle aussi ? Car je brûle d'envie..."")",1.37,Substitution
66,,"('#thalie', 'Il est tout prêt.')",1.0,Deletion
67,,"('#les-muses', 'Et moi ?')",1.0,Deletion
68,,"('#thalie', 'Chacune aura le sien.')",1.0,Deletion
69,,"('#la-satire', ""Pour moi je n'en veux point."")",1.0,Deletion
70,,"('#thalie', 'Ah ! Muse je vous prie. Je veux faire pour vous un effort de génie. Je vais vous transformer en un homme de bien.')",1.0,Deletion
71,,"('#la-satire', 'Je ne me prête point à cette fantaisie.')",1.0,Deletion
72,,"('#thalie', ""Cela ne vous engage à rien, C'est un rôle de Comédie. Allez vous préparer, secondez mon ardeur"")",1.0,Deletion
73,"('#uranie', 'De chacune de nous également chéri, Notre divinité lui fut toujours propice.')","('#thalie', ""Vous restez, tendre Polymnie, Le Ciel nous rend un Roi qui fait notre bonheur. Que vos chants, que les sons d'une aimable harmonie Célèbrent dans ces lieux cette insigne faveur. On entend un bruit confus d'instruments semblable à celui d'un Orchestre qui accorde."")",0.43,Substitution
74,,"('#isabelle', ""Belle Clarice enfin vous déciderez-vous ? Un peu plus de gaîté dans vos regards éclate. Le fort d'Hassan deviendra-t-il plus doux ? À son égard cessez-vous d'être ingrate ?"")",1.0,Deletion
75,,"('#clarice', ""Chère Isabelle, Hassan attaque en vain mon coeur ; Mais malgré mon indifférence, Je sais qu'il est mon bienfaiteur, Et j'écoute avec complaisance L'amitié, la reconnaissance Qui me parlent en sa faveur. Ses sentiments pour moi peuvent seuls me déplaire."")",1.0,Deletion
76,,"('#isabelle', ""Ils auraient dû vous paraître odieux, Si le sort pour vous trop contraire Vous eût livré aux lois d'un maître impérieux ; Mais grâces au destin l'honneur le plus sévère N'a point à rougir en ces lieux. Hassan dans son sérail s'est montré comme un père Compatissant et généreux, Et chaque jour son amitié sincère Rassemble ici les plaisirs et les jeux."")",1.0,Deletion
77,,"('#clarice', ""Les plaisirs les plus vifs perdent le don de plaire, Lorsque le coeur n'a plus de goût pour eux."")",1.0,Deletion
78,,"('#isabelle', ""Hassan en sa saveur a bien des avantages ; Ils vaincront votre cruauté : Vous le savez, des Turcs il brave les usages, L'orgueil dans son pays ne l'a point arrêté. En Europe ses longs voyages Ont adouci ses moeurs, poli sa probité, Que le séjour d'Alger eut pu rendre sauvages ; Il n'a du Musulman que la simplicité ; Il s'est défait de sa sombre rudesse, Il a su du Français saisir l'urbanité La gaîté, la délicatesse, Et n'a point sa folie et sa légèreté. Sa figure, il est vrai, n'est rien moins qu'agréable."")",1.0,Deletion
79,,"('#clarice', ""Par ce défaut léger peut-on être arrêté ? Un homme est toujours bien dès qu'il est estimable Les qualités du coeur, un esprit sociable, De ce sexe sont la beauté. Je les vois dans Hassan, et je lui rends justice ; S'il la rendait à vos attraits, S'il vous offrait des voeux qu'il m'offre par caprice, Nous ferions tous trois satisfaits."")",1.0,Deletion
80,,"('#isabelle', ""Je l'avoue avec confiance, Si, comme Hassan l'assure, il allait dans la France Fixer avec nous son destin ; Sans en rougir j'accepterais sa main, Et je la chérirais plus que son opulence. Mon coeur est encor libre ...."")",1.0,Deletion
81,,"('#clarice', ""Et le mien ne l'est pas : Voilà la source de mes peines. J'aurais moins à souffrir si mes faibles appas Ne l'avaient pas mis dans mes chaînes : Je vous surprends.... mais lisez dans mon coeur : D'Oberval à Marseille en devint le vainqueur, Presqu'au premier instant qu'il parut à ma vue, Son âme en me voyant à son tour fut émue : Ce que nous ressentions se peignait dans nos yeux, La sympathie agissait sur notre âme ; Il me fit l'aveu de ses feux ; Je ne lui cachai point le progrès de ma flamme, Nous nous aimions enfin, et nous étions heureux."")",1.0,Deletion
82,,"('#isabelle', ""Mais avec tant de soin pourquoi cacher ces noeuds ? D'Oberval est aimable, et je suis peu surprise..."")",1.0,Deletion
83,,"('#clarice', ""Hélas ! Vous le savez, je dépends de Dorise, Soeur de mon père, il avait en mourant, Ordonné qu'à ses lois je resterais soumise, Elle vit d_Oberval, il lui parut charmant. L'amour d'une rivale est toujours un tourment, Celle qu'on craint le moins peut faire une infidèle ; J'aimais, et je tremblais d'aimer un inconstant ; Dorise à mes regards était encor trop belle ; Mais par de nouveaux soins d_Oberval chaque jour Calmait ma jalousie, et ma frayeur mortelle, Et par bonheur ces soins si chers à mon amour, Dorise les prenait pour elle."")",1.0,Deletion
84,,"('#isabelle', ""C'est donc là cet amant qu'elle croit voir toujours, Et dont elle parle sans cesse ?"")",1.0,Deletion
85,,"('#clarice', ""C'est lui-même, et je vois assez par ses discours Que l'absence et l'amour redoublent tous les jours Ses visions, et sa faiblesse : Cependant d_Oberval fut contraint de partir, Et sans doute son inconstance Loin de nous sut le retenir : Souvent pour dissiper l'ennui de son absence, Nous nous promenions sur la mer : Ce jour qui nous fut si funeste, Vous voulûtes nous suivre, un corsaire d'Alger Surprit notre Vaisseau. Vous savez tout le reste."")",1.0,Deletion
86,,"('#isabelle', ""Des malheurs que le sort a déployés sur nous, Votre amitié me dédommage. Nos fers sont d'ailleurs assez doux : Hassan nous acheta ; c'est le Turc le plus sage Et le plus affable de tous."")",1.0,Deletion
87,,"('#clarice', ""Il est vrai ; mais en vain il m'offre son hommage, L'amour contre ses soins oppose d'autres traits : Il a gravé dans mon coeur une image. Que l'absence ou le temps n'effaceront jamais."")",1.0,Deletion
88,,"('#isabelle', 'Je plaignais vos chagrins sans savoir vos secrets, Et maintenant je les partage : Pardonnez mon erreur ; mais depuis quelque temps Vos ennuis me semblaient moins grands ; Vous marquiez pour ces lieux bien moins de répugnance, Et tous ces heureux changements Je les attribuais à la reconnaissance.')",1.0,Deletion
89,,"('#clarice', ""Je l'avouerai, de secrets mouvements Font passer dans mon coeur une joie inconnue ; Depuis cinq ou six jours ma douleur diminue... Vous le dirai-je ?... En de certains moments J'éprouve ces ravissements, Ce trouble, ces transports que m'inspirait la vue Du plus cher de tous les amants. Mon âme s'ouvre à des pressentiments, Et ma gaîté semble être revenue."")",1.0,Deletion
90,,"('#dorise', ""Félicitez Dorise toutes deux ; D'Oberval est ici, la chose est confirmé."")",1.0,Deletion
91,,"('#isabelle', 'Voilà de ses erreurs.')",1.0,Deletion
92,,"('#dorise', ""Je l'ai vu dans ces lieux..."")",1.0,Deletion
93,,"('#clarice', 'Eh quoi ! Dans ces jardins ?')",1.0,Deletion
94,,"('#dorise', 'Oui, mon âme est charmée.')",1.0,Deletion
95,,"('#clarice', 'Ô Ciel ! Mon coeur me dit que Dorise a raison.')",1.0,Deletion
96,,"('#isabelle', 'Dans ces jardins un homme ! Et d_Oberval encore ! Elle extravague.')",1.0,Deletion
97,,"('#clarice', 'Hélas !')",1.0,Deletion
98,,"('#dorise', ""Cette affreuse prison Ne me sépare plus d'un amant que j'adore. Isabelle... Clarice... Il est toujours charmant ; Oui d_Oberval est un amant unique ; Je n'en saurais douter, il est tendre, constant, Et c'est son amour seul qui l'amène en Afrique... Mais soyez donc sensible au plaisir que je sens. À Clarice."")",1.0,Deletion
99,,"('#clarice', 'Je le partagerais sans_doute ; Mais des obstacles trop puissants...')",1.0,Deletion
100,,"('#isabelle', 'La chose est impossible, et choque le bon sens, Un Français au sérail ! Quelle folie !')",1.0,Deletion
101,,"('#dorise', ""Écoute. Tout le jour tu me contredis ; Tu taxes tout ce que je dis D'illusion, de rêverie : Tu te crois raisonnable, et tu t'en applaudis ; Mais ton bon sens, ou plutôt ta manie, Donne un fond de tristesse à ce que tu prédis ; Désespérer de tout est ta vertu chérie. Va, reçois de moi cet avis : Un excès de raison est pis que la folie."")",1.0,Deletion
102,,"('#clarice', ""Peut-être qu'en effet...  Mais l'avez-vous bien vu ? De lui toujours préoccupée, Cent fois croyant le voir, vous vous êtes trompée... Dans le fond, de Dorise il est fort bien connu Il se pourrait... À Isabelle. À Dorise."")",1.0,Deletion
103,,"('#dorise', ""Tu peux m'en croire : L'amour nous donne de bons yeux. Hassan et lui s'entretenaient tous deux."")",1.0,Deletion
104,,"('#isabelle', 'Hassan et lui !... Nouvelle histoire. Chez ses femmes un Turc qui mène les galants ! De Paris cette mode arrivera peut-être.')",1.0,Deletion
105,,"('#clarice', 'Laissez-la dire...')",1.0,Deletion
106,,"('#isabelle', ""Eh quoi ! Vous pouvez l'écouter ?"")",1.0,Deletion
107,,"('#dorise', ""À travers les barreaux qui grillent ma fenêtre Je les ai vus... de loin... mais je n'en puis douter... Je vais voir la fin de mes peines ; Mon cher d_Oberval vient hâter L'heureux moment qui brisera mes chaînes : J'en jurerais, il vient traiter de ma rançon."")",1.0,Deletion
108,,"('#isabelle', 'Mais par malheur Madame oublie Que nous avons caché notre vrai nom, Notre état, et notre Patrie.')",1.0,Deletion
109,,"('#dorise', 'À votre froid bon sens nous dûmes cet avis.')",1.0,Deletion
110,,"('#clarice', ""Dans une aventure aussi triste, Nos noms du moins restaient ensevelis Sous les faux que nous avons pris De Fatmé, Fatime, Agariste. Nos parents à Marseille ont pleuré notre mort : Notre vaisseau ne rentrant point au port, Ils auront supposé qu'il avait fait naufrage ; lis auraient trop rougi de notre sort, S'ils avaient pu savoir notre esclavage."")",1.0,Deletion
111,,"('#isabelle', ""Nous ne nous doutions point qu'Hassan fût si poli."")",1.0,Deletion
112,,"('#dorise', ""Je vous dis en un mot, un fait bien établi...  À Marseille d'ailleurs on a tant de nouvelles De tout ce qui se passe ici... L'amour de nos malheurs peut l'avoir éclairci, Et mes deux yeux sont des témoins fidèles. Hassan vient. Il vaincra votre incrédulité."")",1.0,Deletion
113,,"('#dorise', 'Hassan me rendra-t-il enfin la liberté ?')",1.0,Deletion
114,"('#erato', 'Mais celle dont surtout il fut le favori, Doit seule être sa conductrice.')","('#hassan', 'Agariste dans peu vous ferez satisfaite.')",0.9,Substitution
115,,"('#dorise', 'En hâtant ma félicité, Elle en deviendra plus parfaite.')",1.0,Deletion
116,,"('#hassan', 'Je vais céder à votre empressement. Que votre inquiétude cesse.')",1.0,Deletion
117,,"('#dorise', 'Ai-je fait un faux jugement ?')",1.0,Deletion
118,,"('#hassan', 'Puis-je, belle Fatmé, vous parler un moment ? Pardonnez mon impolitesse. À Isabelle et à Dorise.')",1.0,Deletion
119,,"('#isabelle', 'Éloignons-nous.')",1.0,Deletion
120,,"('#dorise', 'Je cours pour chercher mon amant.')",1.0,Deletion
121,,"('#hassan', ""POur la dernière fois souffrez que je vous presse De me parler sans nul déguisement, Votre bonheur surtout est ce qui m'intéresse..."")",1.0,Deletion
122,,"('#clarice', ""C'est trop peu pour tous vos bienfaits De toute ma reconnaissance ; Mais enfin..."")",1.0,Deletion
123,,"('#hassan', 'Mes désirs seront tous satisfaits, Si vous daignez me voir sans répugnance. Quand on a mon âge et mes traits...')",1.0,Deletion
124,,"('#clarice', ""Vous êtes trop modeste, et c'est mal vous connaître."")",1.0,Deletion
125,,"('#hassan', ""C'est parce que je me connais, Que j'ai peu de mérite à l'être. J'ai toujours les mêmes projets. Nos usages, nos moeurs et nos lois que je hais, Vont m'exiler des lieux de ma naissance. Pour la société tous les hommes sont faits, Les Turcs ignorent ses attraits, Et tout m'invite à chercher dans la France Ses plaisirs délicats qu'ici mon opulence Ne me procurerait jamais ; Mais m'unir avec vous, vivre avec vous sans cesse, Est le bien qui me flatte, et que je me promets. Du vrai bonheur l'image enchanteresse Ne s'offre à moi que sous vos traits."")",1.0,Deletion
126,,"('#clarice', ""Tout ce qu'il dit de lui je le sens pour un autre. Trop généreux Hassan, quelle erreur est la vôtre. Haut."")",1.0,Deletion
127,,"('#hassan', ""Belle Fatmé, je cherche un solide bonheur : L'estime et l'amitié sont les plaisirs du coeur, Et je n'ai point l'âme obsédée Des transports d'une folle ardeur, Un sentiment plus sûr pour vous l'a décidée. Des douceurs de l'hymen, de ses engagements J'ai peut-être une fausse idée ; Mais je crois que ses noeuds doivent être charmants ; Lorsque sans le secours de ces feux violents, Fruits de la passion, périssables comme elle, La confiance mutuelle L'amitié, les égards, et les soins complaisants D'un tendre époux, d'une épouse fidèle, Peuvent remplir tous les moments, Le Ciel attache alors au doux noeud qui les lie Les plaisirs des amis, le repos de la vie, Et les délices des amants."")",1.0,Deletion
128,,"('#clarice', 'Quel bonheur d_Oberval ! Si le Ciel plus propice... ')",1.0,Deletion
129,,"('#hassan', ""Ce n'est donc point un amoureux caprice Qu'aujourd'hui j'exige de vous : J'ose vous demander un moindre sacrifice. Des mains de l'amitié prenez-moi pour époux."")",1.0,Deletion
130,,"('#clarice', ""D'un généreux penchant vous êtes la victime... Eh pourquoi m'offrez vous vos voeux ? Je ne saurais vous rendre heureux, Vous le seriez avec Fatime."")",1.0,Deletion
131,,"('#hassan', ""Je connais ses appas, je l'aime, je l'estime ; Sans doute votre amie à tous les agréments Et de son sexe et de son âge , Son, esprit est aimable, et ses traits font charmants ; Mais vous me plaisez davantage."")",1.0,Deletion
132,,"('#clarice', ""Dans de trop grands dangers votre erreur vous coNduit : Hassan, votre amitié me flatte ; Mais je dois m'opposer aux desseins qu'elle suit. Si je veux n'être pas ingrate,"")",1.0,Deletion
133,,"('#hassan', ""Je m'y livre avec sûreté, Et l'on peut accorder le désir qui me presse, Et votre générosité. Il semble à mes projets que le Ciel s'intéresse ? Depuis six jours il a conduit chez moi Un Français qui rendra ma retraite facile,"")",1.0,Deletion
134,,"('#clarice', 'Un Français !')",1.0,Deletion
135,,"('#hassan', ""Oui, Fatmé. Soyez tranquille : J'ai confié mes secrets à sa foi..."")",1.0,Deletion
136,"('#uranie', 'Y prétendriez-vous ?')","('#clarice', 'Eh le connaissez-vous ?')",0.45,Substitution
137,,"('#hassan', ""J'en fis la connaissance À mon dernier voyage en France. Son abord me prévint ; il a des sentiments, Beaucoup d'esprit, sans suffisance, Et des jeunes gens de son temps Il réunit les grâces, les talents, Sans en avoir l'impertinence. Enfin quoique tous deux d'âges fort différents, L'amitié nous unit."")",1.0,Deletion
138,,"('#clarice', ""Mais c'est donc un jeune homme ?"")",1.0,Deletion
139,,"('#hassan', ""Oui, mais prudent, quoiqu'il n'ait pas trente_ans. Son vaisseau dans le port..."")",1.0,Deletion
140,,"('#clarice', 'Et ce Français se nomme ?...')",1.0,Deletion
141,,"('#hassan', ""D'Oberval est son nom... Mais l'auriez-vous connu ?.."")",1.0,Deletion
142,,"('#clarice', ""Serait-il vrai ?... L'ai-je bien entendu ?"")",1.0,Deletion
143,,"('#hassan', 'Parlez Fatmé : vous paraissez émue.')",1.0,Deletion
144,,"('#clarice', ""Il est vrai... ce François ... je J'ai vu quelquefois, Et de lui ma famille était beaucoup connue."")",1.0,Deletion
145,"('#erato', ""Mais je crois le pouvoir, Et j'ai bien quelques droits que je ferai valoir. À l'Amour Erato préside ; J'apprends à le chanter ; j'embrase de ses feux L'auteur qui me prend pour son guide, Et je me plais surtout aux amours malheureux. Je transforme en poète un amant qui soupire ; J'amollis sous ses doigts les cordes de sa lyre. De Tibulle autrefois j'ai recueilli les pleurs ; De ses tendres, chagrins j'étais la confidente,: Et seule je donnais à sa voix gémissante, Ce charme que l'amour fait mêler aux douleurs. Je permets quelquefois, par caprice ou par grâce, À d'aimables voluptueux, De m'intéresser à leurs jeux. Je fus assez souvent assise auprès d'Horace, Quoiqu'il m'ait fait rougir un peu. J'aimais à répéter les chansons de Chaulieu, Et souris à l'esprit d'Ovide. Je cadençai les vers du sensible Quinault. Aux bords de l'Eridan je pris un vol plus haut: Le Tasse eut mes crayons, quand il peignit Armide. Deux Poètes surtout, deux chantres adorés, De mes dons les plus beaux se virent honorés. De grâce et de douceur je composai leur style. Au bûcher de Didon je transportai Virgile. Dans ce tableau funeste il épuisa mon art; Moi-même de mes pleurs, j'arrosai le poignard. Je le remis depuis dans, les mains de Racine ; Erato fut sa muse, et ma faveur divine En a fait mon élève, en a fait pour toujours Le poète du coeur, le peintre des amours. C'est au seul Apollon, ou bien à Melpomène D'assigner à leur gré la palme de la scène. Je ne décide point ; mais si l'on croit enfin Ce sexe, de l'amour le Juge souverain, Qui doit au sentiment et ses droits et ses charmes, Si l'on en croit ses yeux embellis par les larmes ; À tous mes titres les plus doux, Voltaire en joignit un qui les surpasse tous, Il fut porter plus loin les talents que j'inspire, Et pour qui sait aimer, mon chef-d'oeuvre est Zaïre."")","('#hassan', ""Rien de plus heureux pour tous trois. Comme moi-même il sait ce que je pense Il connaît mes projets, il les approuve tous... Sans doute en ses discours vous aurez confiance, Ils vaincront votre résistance : Je tiendrai d'un ami mon bonheur le plus doux. Bientôt vous l'allez voir paraître."")",0.18,Substitution
146,,"('#clarice', ""Quoi je pourrai le voir !... Vos bontés aujourd'hui..."")",1.0,Deletion
