,dancourt-metempsychose,la-fontaine-daphne,Cost,Operation Type
46,"('#thalie', ""J'approuve fort un tel avis ;  Mais enfin, sous quelle figure  Prétendez-vous en ce pays  De Jupiter retracer l'aventure ? "")","('#momus', ""Sont-ce là des humains ? Quelle race immobile ! J'aimais mieux la première, encor que moins tranquille."")",0.8,Substitution
47,,"('#promethee', 'Vous ne les connaissez pas.')",1.0,Deletion
48,,"('#momus', 'Fais-leur faire quelques pas.')",1.0,Deletion
49,"('#mercure', ""Comme elle se passa jadis,  Même forme, mêmes habits,  En robe seulement à la Thessalienne ;  Et voici justement un endroit pour la Scène,  Il ne peut être mieux représenté.  Vous voyez de Tempé les bosquets, la fontaine ;  Et sur le beau coteau qui termine la plaine ;  Se trouve aussi le Palais enchanté,  Où Jupiter faisait garder cette Beauté,  Que Bacchus et l'amour livrèrent à Philène. "")","('#promethee', ""Descendez. Les statues descendent, et viennent à pas lents et graves faire une entrée, dansant presque sans mouvement, et d'une façon composée, comme feraient des sages et des philosophes."")",0.79,Substitution
50,"('#bacchus', ""On dirait en effet que c'est la vérité.  Ce lieu charmant ici semble exprès transporté. "")","('#momus', ""Quelles gens ! Ce n'est qu'une machine."")",1.43,Substitution
51,,"('#promethee', ""C'est l'idole d'un sage."")",1.0,Deletion
52,"('#l-amour', 'Je reconnais aussi ces beaux valons sans peine. ')","('#les-dieux', 'Hé quoi ! la passion Jamais chez eux ne domine !')",1.48,Substitution
53,"('#bacchus', 'Hâtons-nous donc. Commençons  Par quelque grand Monologue,  Ou par de petites Chansons.  Ce que nous avons dit servira de Prologue.  Quelque danse, et puis finissons. ')",,1.0,Insertion
54,"('#jupiter', ""Votre sincérité m'offense,  Mercure, je ne puis vous le dissimuler. "")","('#promethee', ""Leur coeur en est tout plein ; ce n'est qu'ambition, Colère, désespoir, crainte, ou joie excessive. Machine, on veut voir vos ressorts ; Quittez tous ces trompeurs dehors. Les nouveaux hommes, qui paraissaient de véritables statues, quittent une partie de l'habit qui les enveloppe, et se font voir tels qu'ils sont dans l'intérieur, l'un représentant l'ambition, l'autre, la colère, la crainte, le désespoir, la joie excessive, etc. En cet état ils dansent en confusion et d'une manière aussi impétueuse et aussi vive que l'autre était grave et peu animée."")",0.73,Substitution
55,"('#mercure', 'Et moi, je ne puis plus me faire violence.  Si mon respect pour vous me condamne au silence,  Mon zèle me force à parler. ')","('#momus', 'Je la trouvais trop lente, et la voilà trop vive.')",1.35,Substitution
56,"('#jupiter', 'Et de quoi votre zèle ose-t-il se mêler ?  Je vous mène dans mes voyages  Pour exécuter mes messages,  Et non pas pour me contrôler. ')","('#minerve', 'Laissez-moi régler ces transports.')",0.96,Substitution
57,"('#mercure', ""Je vous ai dit ce que je pense,  Et c'est à vous d'ouvrir les yeux,  Vous êtes le Maître des Dieux,  Et comme tel exempt de toute dépendance ;  Mais l'Amour vous retient trop longtemps en ces lieux.  Votre séjour doit être dans les Cieux ;  Et pendant une longue absence,  Vos affaires n'y vont pas mieux.  Junon là-haut fait la diablesse à quatre. "")","('#venus', ""Mon fils, par de secrètes causes, Peut encor mieux que vous les calmer à son tour : Rien n'a d'empire sur l'Amour, L'Amour en a sur toutes choses. Le plus magnifique don Qu'aux mortels on puisse faire, C'est l'amour."")",0.35,Substitution
58,"('#jupiter', ""En fait-elle moins quand j'y suis ? "")",,1.0,Insertion
59,"('#mercure', ""Le Soleil accablé d'ennuis  De ce qu'avec Vénus Mars a passé deux nuits,  Est contre lui prêt à se battre.  L'Amour s'enivre tous les jours,  Il a chanté pouille à Minerve.  Épris d'une amoureuse verve,  Vulcain danse avec les Amours.  Dans l'Olympe jamais on ne vit tels vacarmes,  Diane est sans pudeur, la Jeunesse est sans charmes ;  Cet étrange dérangement  A gagné jusqu'au Firmament.  La révolte est partout, les Étoiles errantes  Lassées de trop courir veulent se reposer,  Les fixes osent proposer  Que pour les divertir on les rende courantes.  La Lune dans la nuit refuse d'éclairer ;  Momus ennuyé de médire,  Devient Panégyriste et quitte la satire. Les Ris sont tous prêts à pleurer ;  Et Jupiter ne songe ici qu'à folâtrer,  À faire le galant, à soupirer, à rire. "")",,1.0,Insertion
60,"('#jupiter', ""Je vois bien qu'il est temps de n'y plus demeurer :  Quelque charmant objet qui m'y retienne,  Il faudra que sur moi je prenne  Pour un temps de m'en séparer. "")",,1.0,Insertion
61,"('#mercure', ""C'est bien dit, faisons diligence,  Le temps nous presse. "")",,1.0,Insertion
62,"('#jupiter', ""Oh ! Patience,  Le désordre là-haut facile à réparer,  Un seul moment de ma présence  Dans l'ordre fera tout rentrer.  Mais ici je te puis parler en confidence,  Je crains quelque accident de pire conséquence. "")","('#minerve', ""C'est la raison. Le don le plus nécessaire Aux hôtes de ce séjour, C'est la raison."")",1.07,Substitution
63,"('#mercure', ""Hâtez-vous donc de me le déclarer ;  Dans vos sec rets en conscience,  Sans votre aveu je n'ose pénétrer. "")",,1.0,Insertion
64,"('#jupiter', 'Du plus charmant objet qui soit dans la nature,  Tu sais bien que je suis épris. ')","('#venus', ""C'est l'amour."")",0.38,Substitution
65,"('#mercure', ""Hé ! N'ai-je pas, moi-même, embarqué l'aventure ?  Mais un peu trop longtemps cette passion dure,  Et c'est de quoi je suis surpris. "")",,1.0,Insertion
66,"('#jupiter', 'Ma constance étonne Mercure ? ')",,1.0,Insertion
67,"('#mercure', ""Très fort même, je vous assure.  Prompt à vous laisser enflammer  Par le mérite des mortelles,  Je vous ai vu pour vous en faire aimer,  Prendre mille formes nouvelles ;  Mais au bout de quelques instants,  En Amant bien sensé vous faisiez mieux les choses :  Et chez vous les Métamorphoses,  Aussi bien que l'Amour ne duraient pas longtemps. "")","('#amour', ""L'effet en jugera : servez-vous de vos armes, Et moi j'emploierai mes charmes."")",0.45,Substitution
68,"('#jupiter', ""L'Amour ne me portait qu'une légère atteinte,  J'étais alors plus libertin qu'amant,  Et d'un trop long déguisement  J'évitais ainsi la contrainte.  Je me suis fait, serpent, cygne, taureau,  Mais honteux de telle figure,  Je me hâtais de brusque l'aventure,  Et ne changeais d'objet que pour changer de peau. "")","('#minerve', ""Que vous vous tourmentez, mortels ambitieux, Désespérés et furieux, Ennemis du repos, ennemis de vous-mêmes ! A modérer vos voeux mettez tous vos plaisirs : Régnez sur vos propres désirs ; C'est le plus beau des diadèmes. Les hommes qui s'étaient arrêtés quelques moments pour ouïr Minerve, attendent à peine qu'elle a achevé, et ne laissent pas, malgré ses conseils, témoigner toujours la même fureur et le même emportement. L'Amour leur faisant signe qu'il veut parler, ils s'arrêtent."")",0.55,Substitution
69,"('#mercure', ""Aujourd'hui dans celle où vous êtes,  Vous vous aimez bien mieux apparemment,  Et le plaisir que vous vous faites  De n'en sortir que lentement. "")",,1.0,Insertion
70,"('#jupiter', ""Je t'en fais le juge, toi-même,  Pour plaire à la beauté que j'aime,  En riche partisan je me suis travesti,  Malepeste, le bon parti !  Aux Dieux même il doit faire envie.  Je n'ai jamais rien fait de plus sage en ma vie.  À peine me suis-je montré  L'oeil brillant, le teint frais, la bourse bien garnie,  Avec moi Plutus est entré,  Les ris, les jeux nous faisaient compagnie :  Quelques moments après chacun s'est retiré.  Auprès de l'aimable bergère,  Presque seul je suis demeuré.  Une tante vieillotte, et qui lui sert de mère,  Fort bonne personne à mon gré,  Avec nous seulement pour la forme est restée. "")","('#amour', ""De vos sages discours voyez quel est le fruit Je ne dirai qu'un mot. Aimez. On obéit : Vous le voyez. Aux hommes. À ce mot, ceux qui dansaient en confusion et en tumulte dansent deux à deux comme personnes qui s'aiment."")",0.63,Substitution
71,"('#mercure', ""À tâcher de vous rendre heureux  La tante ne s'est point prêtée ? "")",,1.0,Insertion
72,"('#jupiter', ""Oh ! Que si fait, d'abord j'ai déclaré mes feux  Aux genoux de l'aimable nièce,  J'ai fait le soupirant, le pasteur langoureux :  Aux succès de tant de tendresse  La tante m'a paru d'abord s'intéresser ;  Moi, par égards, par politesse,  Je n'ai point voulu trop presser. "")","('#venus', ""Amour, qu'il est doux de te suivre !"")",0.98,Substitution
73,"('#mercure', 'Je ne vous connais plus, vous devenez tout autre ;  Sur un tel changement il faut se récrier ;  La tante a bien fait son métier,  Mais vous avez mal fait le vôtre. ')","('#jupiter', 'Vivez, nouveaux humains.')",1.38,Substitution
74,"('#jupiter', ""Je veux un peu goûter le plaisir d'être Amant :  Autrefois de mainte Maîtresse  J'ai triomphé trop aisément ;  C'est un bonheur pour moi tout nouveau, tout charmant  D'aimer avec délicatesse. "")",,1.0,Insertion
75,"('#mercure', ""Vous filez le parfait amour  Auprès d'une beauté de tout point accomplie,  Et dans les plus beaux lieux qui soient en Thessalie,  Ayant fixé votre séjour,  Tout vous plaît, rien ne vous ennuie ;  Et vous vous promettez qu'un jour  Vous règnerez dans le coeur de la belle. "")","('#choeur-des-dieux', 'Vivez, nouveaux humains.')",1.54,Substitution
76,"('#jupiter', 'Ai-je jamais fait de cruelle ? ')",,1.0,Insertion
77,"('#mercure', ""Tôt ou tard vous serez content ;  Mais enfin sûr d'être aimé d'elle,  Que craignez-vous en la quittant ? "")","('#venus', ""Laissez-vous enflammer. Que vaut la peine de vivre, Sans le doux plaisir d'aimer ?"")",0.64,Substitution
78,"('#jupiter', ""Qu'un autre ne le soit autant ;  C'est peu d'en être aimé, je la voudrais fidèle ;  Et c'est un point très important,  Pour moi qui veux être constant. "")","('#choeur', ""Que vaut la peine de vivre, Sans le doux plaisir d'aimer ?"")",1.27,Substitution
79,"('#mercure', 'Faunus vient. ')",,1.0,Insertion
80,"('#jupiter', 'Que veut-il ? ')",,1.0,Insertion
81,"('#faunus', ""Dans la forêt prochaine,  Seigneur, Junon sans suite et toute hors d'haleine,  Du Ciel en ce moment ici vient d'arriver. "")",,1.0,Insertion
82,"('#mercure', 'Voilà de quoi nous achever. ')",,1.0,Insertion
83,"('#jupiter', 'Le fâcheux contretemps ! ')",,1.0,Insertion
84,"('#faunus', ""Je la crois informée  Des raisons qui vous font demeurer parmi nous ;  Elle paraît diablement animée,  Et ce sera bien fait d'éviter son courroux. "")","('#momus', ""D'où vient que si mal assortie Cette belle a fait choix d'un vieillard pour amant ?"")",0.8,Substitution
85,"('#jupiter', ""Je sens à dire vrai, ma tendresse alarmée,  De la savoir si près d'ici. "")","('#amour', ""C'est l'effet merveilleux d'un secret sentiment Que j'appelle sympathie."")",0.39,Substitution
86,"('#mercure', ""J'en suis pour vous fort inquiet aussi. "")",,1.0,Insertion
87,"('#faunus', ""Pour l'objet de votre tendresse,  Seigneur, n'ayez aucun souci,  Je doute qu'elle la connaisse ;  Comus, Plutus, Mercure et moi,  Sommes seuls de la confidence,  Et tous quatre, comme je crois,  Avons su garder le silence. "")","('#venus', ""Le démon opposé n'a pas moins de pouvoir. Souvent nous haïssons ce qui devrait nous plaire."")",1.67,Substitution
88,"('#jupiter', ""Puisque ma femme est en ces lieux,  C'est pour m'en éloigner une raison puissante. "")",,1.0,Insertion
89,"('#mercure', 'Et tout-à-fait déterminante :  Nous allons donc partir pour retourner aux Cieux. ')",,1.0,Insertion
90,"('#jupiter', ""Vole, part le premier, Mercure,  Et dans le céleste séjour,  Dépêche-toi d'annoncer mon retour,  Je te suivrai dans l'instant, je te jure.  Mercure s'envole."")",,1.0,Insertion
91,"('#faunus', ""Ce départ semble vous fâcher.  Laissez-moi faire, allez, sur ce qui vous regarde  J'aurai soin de veiller, que rien ne vous retarde. "")",,1.0,Insertion
92,"('#jupiter', ""Observe l'objet qui m'est cher,  C'est un dépôt que je te donne en garde. "")",,1.0,Insertion
93,"('#faunus', 'Junon aura beau la chercher. ')",,1.0,Insertion
94,"('#jupiter', ""Je sens en m'éloignant à quoi je me hasarde,  À d'autres qu'à Junon il faudra la cacher,  De quelque feu secret je la crois prévenue. "")","('#jupiter', ""Tel dieu sait l'avenir, qui n'a pas su prévoir Quels maux ce démon lui va faire. Mais un jour un prince viendra Qui plaira plus qu'il ne voudra. Le Destin parmi nous lui garde un rang insigne, Et je lui veux accorder, Afin qu'il en soit plus digne, L'art de savoir commander. Mars lui promet en apanage La grandeur d'âme et de courage."")",0.9,Substitution
95,"('#faunus', 'Je vous réponds de la garder à vue. ')",,1.0,Insertion
96,"('#jupiter', ""En maîtresse d'homme important,  Attendant mon retour, je prétends qu'on la traite.  Je veux… "")",,1.0,Insertion
97,"('#faunus', ""Parlez, c'est une affaire faite. "")",,1.0,Insertion
98,"('#jupiter', ""Qu'elle ait Maître d'Hôtel, Écuyer, Intendant,  Force Valets, grand équipage. "")",,1.0,Insertion
99,"('#faunus', 'Pour une fille simple, élevée au village,  Dans le grand monde depuis peu ;  Voilà bien du fracas. ')",,1.0,Insertion
100,"('#jupiter', 'Grande chère et beau feu,  Je le veux. ')",,1.0,Insertion
101,"('#faunus', 'Soit, vous êtes bon et sage. ')","('#minerve', 'Moi, la vertu.')",0.66,Substitution
102,"('#jupiter', ""J'en ferais moins si je n'étais qu'un Dieu,  Mais comme homme en crédit, parbleu,  Il en faut faire davantage,  Afin de mieux cacher mon jeu. "")",,1.0,Insertion
103,"('#faunus', ""J'aperçois votre belle. "")",,1.0,Insertion
104,"('#jupiter', 'Il faut lui dire adieu ;  Car je ne puis lui cacher mon voyage. ')",,1.0,Insertion
105,"('#corine', ""Aujourd'hui de ces lieux on dit que vous partez,  Quelle raison vous en écarte ? "")",,1.0,Insertion
106,"('#jupiter', ""Oui, Corine, il faut que je parte,  Ici l'Amour et vous, en vain vous m'arrêtez. "")","('#venus', ""Moi, l'agrément."")",1.47,Substitution
107,"('#corine', ""L'amour sans mon aveu se sert de ma puissance,  S'il prend soin de vous arrêter. "")","('#amour', ""Et moi le don d'aimer et d'être heureux amant."")",0.52,Substitution
108,"('#jupiter', ""Quand vous ne me marquez que de l'indifférence,  Dois-je un seul moment hésiter  À bannir de votre présence  Un amant dont l'ardeur vous gêne et vous offense,  Et que votre fierté s'obstine à maltraiter ? "")",,1.0,Insertion
109,"('#corine', ""Malgré les plus doux soins, la plus longue constance,  N'attendez jamais de moi  Ni faiblesse, ni complaisance.  Vous ne pourriez jamais vaincre ma résistance,  En m'offrant même votre foi. "")",,1.0,Insertion
110,"('#jupiter', ""Vous changerez d'humeur et de langage ;  Nous autres gens du plus sublime étage,  Sommes-nous donc des épouseurs ?  Rayez cela de vos papiers, d'ailleurs  L'hymen est moins charmant qu'un tendre badinage ;  Certains engagements ne nous sont point permis :  Qu'un grand Seigneur ait la folie  Se s'engager et faire un bail à vie !  Dans le haut rang où le Ciel nous a mis,  Trop heureuse, qui peut nous avoir pour amis. "")","('#venus #l-amour #minerve', ""Amour et la Raison s'accorderont pour faire Qu'aux coeurs comme aux esprits ce prince plaise un jour"")",0.79,Substitution
111,"('#corine', ""Ces sentiments, ces superbes manières,  Ne trouveront jamais le chemin de mon coeur.  Qui s'estime trop ne plaît guères ;  Chez nous les plus simples Bergères,  N'aiment point les airs de hauteur. "")","('#choeur', 'Heureux qui par raison doit plaire ! Plus heureux qui plaît par amour !')",0.64,Substitution
112,"('#jupiter', ""Alors, c'est aux amants vulgaires,  À craindre une longue rigueur :  Les soins, les présents, en douceur  Changent le courroux des plus fières,  L'amour succède à la fureur.  Nous trouvons tous les jours cent maîtresses pour une,  Et nous devons notre bonheur  À l'amour moins qu'à la fortune.  Attendez-moi dans ce charmant séjour,  Et comptez que de mon retour, Je prendrai soin de hâter la journée. "")","('#chloris #aminte #nymphes', ""Allons dans cette prairie : C'est un tranquille séjour ; Jamais les larmes d'amour N'y baignent l'herbe fleurie ; Les moutons y sont en paix, Et les loups n'y font jamais D'outrage à la bergerie."")",0.5,Substitution
113,"('#corine', ""De la fortune et de l'amour,  N'attendez rien même avec l'hyménée ;  Cherchez en voyageant quelque autre objet. "")",,1.0,Insertion
114,"('#jupiter', ""Hé bien !  Je ne veux point ici disputer davantage,  Et ne m'offense point de vous trouver trop sage ;  Mais quand je reviendrai, sans m'engager à rien,  Peut-être pourrons-nous trouver quelque moyen  En habillant l'amour comme le mariage,  De mettre votre honneur d'accord avec le mien.  Tu vois bien ce que j'appréhende,  Et ce que je te recommande.  À Faunus."")",,1.0,Insertion
115,"('#faunus', 'Cela se devine aisément. ')",,1.0,Insertion
116,"('#jupiter', 'Adieu mon cher, adieu charmante. ')","('#chloris', 'Viens, ma soeur.')",0.93,Substitution
117,"('#corine', ""Jusqu'au revoir. "")",,1.0,Insertion
118,"('#faunus', ""L'absence d'un amant  Va vous rendre ici peu contente. "")",,1.0,Insertion
119,"('#corine', 'Je ne me livre pas aux chagrins aisément. ')",,1.0,Insertion
120,"('#faunus', 'Nous avons à peu près même tempérament ;  Quand le moindre ennui se présente,  Je le bannis dès le moment.  Quelque part où je sois point de mélancolie,  Je me livre avec joie aux plaisirs les plus doux.  Votre amant part, il fait une folie,  Vous voilà seule, à quoi nous divertirons-nous ? ')",,1.0,Insertion
121,"('#corine', ""À ce qu'il vous plaira. "")",,1.0,Insertion
122,"('#faunus', ""Mais avec votre suite :  Car pour recevoir de visite,  Néant ; à l'empêcher, je me suis engagé. "")",,1.0,Insertion
123,"('#corine', ""C'est donc vous que de ma conduite,  En s'éloignant on a chargé. "")","('#aminte', 'Je te suis.')",1.23,Substitution
124,"('#faunus', ""Justement, c'est l'emploi que j'ai,  Trouvez bon que je m'en acquitte. "")",,1.0,Insertion
125,"('#corine', ""Quand moi-même j'aurais pris soin de vous choisir,  Je n'aurais pu mieux faire ; un homme de mérite,  Qui n'aime qu'à faire plaisir. "")",,1.0,Insertion
126,"('#faunus', ""Oui, c'est mon seul objet, mon unique désir. "")",,1.0,Insertion
127,"('#corine', ""Dans l'état où je suis réduite,  Une tendre pitié doit vous intéresser. "")",,1.0,Insertion
128,"('#faunus', ""Comment donc ! Que dois-je penser ?  Quel trouble soudain vous agite ?  Vous que le départ d'un amant  Vient de toucher si faiblement ? "")",,1.0,Insertion
129,"('#corine', ""L'absence d'un amant me gêne,  Je m'en défendrais vainement ;  C'est ce qui fait toute ma peine. "")",,1.0,Insertion
130,"('#faunus', ""Ce n'est donc pas apparemment  Celui qui part en ce moment. "")",,1.0,Insertion
