,dancourt-deroute-pharaon,dancourt-desolation-des-joueuses,Cost,Operation Type
16,"('#belise', ""Ah, ah !  C'est vous, Monsieur mon frère ?  Venez-vous ici pour moraliser, pour me quereller : pour invectiver bourgeoisement contre mes manières ?  Si c'est là votre dessein, faites votre visite courte ; ou si vous êtes raisonnable, soupez avec moi, passez-y la soirée, et vous connaîtrez par vous-même la prudence de mes allures, et l'élévation de mon génie."")","('#lisette', ""À propos de cet argent qu'on perd quelquefois contre Madame votre mère je n'y faisais pas réflexion d'abord, et je ne sais si vous avez tout à fait raison d'être bien aise de ce nouveau règlement.  Le lansquenet défendu va rogner ses rentes et son équipage, et vous n'en serez peut-être pas mieux.  Je commence à n'être plus si réjouie."")",0.26,Substitution
17,"('#bartolin', 'Oui, Madame ma soeur, je veux bien souper avec vous.')",,1.0,Insertion
18,"('#belise', ""Vous prenez le bon parti, nous aurons aujourd'hui grosse partie de jeu, Concert, Bal toute la nuit ; et vous y verrez un cercle de Dames qui ne sont pas indifférentes.  Marton, dites à un garçon de la chambre de dire à mon Maître d'Hôtel qu'on nous fasse bonne chère."")",,1.0,Insertion
19,"('#marton', 'Oui, Madame.')",,1.0,Insertion
20,"('#belise', ""Que le Boursier ait soin d'envoyer des imprimés circulaires à huit ou dix Joueurs de distinction."")",,1.0,Insertion
21,"('#marton', 'Oui, Madame.')",,1.0,Insertion
22,"('#belise', ""Les Dames sont priées : qu'on mette au bas de chaque lettre, par apostille, que le rôt sera de chez la Guerbois, le vin de Darboulin, le fruit, de la rue des Lombards ; et que j'essaie un nouveau cuisinier dont les ragoûts seront autant de chefs-d'oeuvre."")","('#angelique', ' Ah !  Plût au ciel, Lisette, être la plus malheureuse demoiselle du royaume, et que ma mère ne fût jamais entrée dans ce commerce.')",1.06,Substitution
23,"('#marton', 'Je vais faire exécuter tout cela moi-même à la lettre.')",,1.0,Insertion
24,"('#belise', 'Voilà une fille tout-à-fait entendue.')",,1.0,Insertion
25,"('#bartolin', 'Ma foi, ma chère soeur, vous devenez tout-à-fait folle.')",,1.0,Insertion
26,"('#belise', ""Qu'est-ce à dire, Monsieur Bartolin ?"")",,1.0,Insertion
27,"('#bartolin', ""Là, parlons doucement.  Vous êtes veuve d'un riche Marchand qui vous a laissé plus de trente mille écus de bons effets et une fille unique ; il ne tenait qu'à vous de faire valoir les uns dans votre commerce, et de marier la fille avantageusement pour vous et pour elle, puisque Valère qui a plus de vingt-cinq mille livres de rente, vous a fait offrir par son oncle de la prendre sans aucune dot.  Vous négligez une occasion si favorable."")","('#lisette', ""Voilà des sentiments fort nobles, assurément, et je ne doute point que Dorante n'ait beaucoup contribué à vous les inspirer.  Franchement, Madame, c'est un fort honnête homme, et il faut qu'il vous aime bien tendrement, pour ne s'être point rebuté des manières de Madame votre mère et du refus qu'elle fit à la personne qui vous demanda pour lui il y a quelques mois."")",0.26,Substitution
28,"('#belise', ""Pour m'en assurer une meilleure."")",,1.0,Insertion
29,"('#bartolin', 'Vous quittez votre magasin.')",,1.0,Insertion
30,"('#belise', ""Pour prendre un Hôtel, le troc n'est pas si mauvais que vous vous l'imaginez, Monsieur."")",,1.0,Insertion
31,"('#bartolin', ""Il est extravagant, Madame la Marchande ; l'Hôtel vous ruinera, et le magasin aurait continué de vous enrichir."")",,1.0,Insertion
32,"('#belise', ""Le magasin m'aurait ruiné, le jeu fera ma fortune et la vôtre, si vous le voulez ; il n'y rien aujourd'hui de plus solide que le produit du Lansquenet et du Pharaon."")",,1.0,Insertion
33,"('#bartolin', ""Quelle solidité !  Les jeux seront défendus demain, aujourd'hui peut-être, il ne vous restera que la honte d'avoir entrepris une chose que tous vos amis, vos parents, et votre fille-même seront en droit de vous reprocher éternellement."")",,1.0,Insertion
34,"('#belise', 'En vérité, Monsieur mon frère, vous avez bonne grâce de me tenir un pareil discours dans le cas où vous êtes.  Je quitte mon magasin pour donner à jouer, vous avez quitté votre Étude pour devenir Agioteur ; vous croyez faire votre fortune avec du papier ; moi, je compte de faire la mienne avec des cartes.')",,1.0,Insertion
35,"('#bartolin', ""L'événement vous corrigera de cette espérance, mais il vous corrigera trop tard."")","('#angelique', ""Je ne sais ; il me semble que dans l'état où sont les choses, si la nouvelle est vraie, il devrait être ici."")",1.24,Substitution
36,"('#belise', ""Je pense plus mal de vous encore, et je vous crois incorrigible, c'est une étrange passion que l'avarice."")",,1.0,Insertion
37,"('#bartolin', ""C'en est une abominable que celle du jeu."")",,1.0,Insertion
38,"('#belise', ""Oui, quand on hasarde en louant.  Mais cent écus par jour sont bons à prendre, Monsieur mon frère, et il n'y a point de magasin ni d'agiotage qui vaille cela"")",,1.0,Insertion
39,"('#bartolin', ""Vous n'en avez guère de reste au bout de l'année ?"")",,1.0,Insertion
40,"('#belise', ""Et qu'importe, je fais figure, je vis, je me réjouis, les dupes paient tout, mon fond ne s'altère point.  Il n'y a que les sots qui vivent de leurs rentes, les habiles gens vivent de celles d'autrui.  Quand vous saurez mes raisons, peut-être ne vous paraîtrai-je pas si condamnable."")",,1.0,Insertion
41,"('#bartolin', 'Expliquez-les-moi donc, je vous prie, et nous verrons...')","('#lisette', ""Vous avez raison, Dorante devrait être ici.  Je l'ai fait avertir dès le matin, comme vous me l'avez commandé et il viendra bientôt, assurément."")",1.29,Substitution
42,"('#belise', ""Cela serait trop long à déduire, elles s'éclaireront d'elles-mêmes, mais voici Monsieur_le_Baron de Garbatacase."")",,1.0,Insertion
43,"('#bartolin', ""Qu'est-ce que ce Monsieur_le_Baron ?  Serait-ce ce gentilhomme étranger ?"")",,1.0,Insertion
44,"('#belise', ""C'est lui-même, il est assez bien fait, comme vous voyez."")",,1.0,Insertion
45,"('#bartolin', 'Oui, mais il porte une vilaine balafre sur le visage.')",,1.0,Insertion
46,"('#belise', ""C'est une blessure qu'il a reçue l'année dernière du siège de Corfou.  C'est un homme de guerre et de cabinet, prenez bien garde à ne lui pas manquer de respect, au moins."")",,1.0,Insertion
47,"('#bartolin', ""Sa physionomie n'en imprime guère, et c'est encore, je crois, plus qu'il n'en mérite."")",,1.0,Insertion
48,"('#garbatacase', 'Bondi, Madame, bondi, comé se porta vo signorie ?')",,1.0,Insertion
49,"('#belise', 'Fort à votre service, Monsieur_le_Baron, voilà mon frère que je vous présente.')",,1.0,Insertion
50,"('#garbatacase', 'Vostro fratello, Madame.')","('#angelique', 'Le voici, Lisette.')",1.34,Substitution
51,"('#belise', ""Si, Signor : il aura l'honneur de souper avec nous."")",,1.0,Insertion
52,"('#garbatacase', ""Ah !  Veramente mi fara un grand piacer, son schiavo hiumilissimo de sua persona et toute la familia, bella prestanza d'home, phisionomia gratiosa, Monsou e aparamenté un home de robe, un Conseiller de la Cita ou de la Province."")",,1.0,Insertion
53,"('#bartolin', ""Ni l'un, ni l'autre, Monsieur, je vis de mon bien."")",,1.0,Insertion
54,"('#garbatacase', ""Ah !  Quel gousto, quel bel métier dy far niente !  Sarai ben contento d'effer comé vo Signoria mon cher Mousou : ma jai tanté cosé à far, de cosi grandés occupations qué non o casi pas il tempo de magniar, de bévir, de dormir, et de vivre à parlar propriamenté."")",,1.0,Insertion
55,"('#bartolin', ""J'entends, Monsieur, j'entends, vous n'avez quasi le temps que de jouer, n'est-ce pas ?"")","('#lisette', ""Je vous disais-je pas bien qu'il ne tarderait guère ?"")",0.98,Substitution
56,"('#garbatacase', ""É la verità : mà je ne joue que par complaisance, je suis né per la societa, per far plaisir à tout il mondo, per occupar les fénéans de qualità, les oisifs de la bourgeoisie, et les Dames sur tout, sono piou a ellé qu'à moi-même."")","('#dorante', ""Hé bien !  Madame, puis-je espérer que le changement dont on parle aujourd'hui dans tout Paris, fera changer les sentiments de Madame votre mère, et croyez-vous qu'elle me pardonne maintenant de n'être pas joueur de profession ?"")",0.71,Substitution
57,"('#bartolin', 'Cela est tout-à fait louable.  Voilà un maître fripon, si je ne me trompe.')",,1.0,Insertion
58,"('#belise', ""Je vous l'avais bien dit, mon frère, que Monsieur était un homme de grand mérite."")",,1.0,Insertion
59,"('#garbatacase', 'My fatté rougir doui, Madama sempré gratiosa, sempré obligeante : ma vi diro que sta matina o intéso una cosa qui mi fa péna.')",,1.0,Insertion
60,"('#belise', 'Vous avez entendu quelque chose qui vous fait peine.')",,1.0,Insertion
61,"('#garbatacase', 'Si Signora.')",,1.0,Insertion
62,"('#belise', 'Et que pourrait-ce être ?')",,1.0,Insertion
63,"('#garbatacase', 'Si dicé nel la cità qué lés jeux dy hasard le lansquenet, le Pharaon, la Bassette seront défendous.')",,1.0,Insertion
64,"('#bartolin', ""Je vous le disais tout à l'heure, ma soeur."")",,1.0,Insertion
65,"('#belise', 'Voilà une très fâcheuse nouvelle.')",,1.0,Insertion
66,"('#garbatacase', 'Si si Signorà per populo, per la canailla, ma non per mi qui suis un home de distinction, un home de permission, les défenses ne sont pas faites pour les personnes qui savent se permette-ré-tout.')","('#lisette', ""Je le crois, pour moi, et il me semble qu'il n'y a pas lieu d'en douter, puisque voilà vos sentiments justifiés par arrêt."")",1.13,Substitution
67,"('#belise', 'Non, non assurément, cela ne vous regarde pas.')",,1.0,Insertion
68,"('#garbatacase', ""Je suis tranquille là-dessus, et je vas en attendant la partie, travailler al mié despêches ; mà si pourtant il arriva quelque difficultà, que j'en sois averti, Madama, il ne faut pas se laisser surprendre.  Adio Signor, Adieu, Adieu, Madama."")","('#angelique', ""Je vous réponds de mon coeur, Dorante ; mais je ne puis vous répondre de ma mère.  Je vous ai déjà dit les raisons, qui jusqu'ici, je crois, l'ont rendue contraire à votre amour.  Elle m'a parlé tant de fois, et en des termes si avantageux, du chevalier de Bellemonte, que je la soupçonne de m'avoir destinée pour lui, dans l'espérance de quelque fortune considérable, qu'il lui avait promis de faire au lansquenet."")",0.74,Substitution
69,"('#bartolin', ""Monsieur_le_Baron de Garbatacase n'est pas si sûr de son fait qu'il veut le paraître, ma soeur, je crains les suites de votre société."")",,1.0,Insertion
70,"('#belise', 'Vous êtes un pauvre homme, mon frère.')",,1.0,Insertion
71,"('#marton', 'Vos ordres sont donnés, Madame, vous ferez grande chère, et vous aurez bonne compagnie ; mais on vient de me donner là-bas un papier qui troublera la fête peut-être.')","('#lisette', ""Oh !  Bien, bien !  Votre mère n'a eu que cette visée, vos affaires vont le mieux du monde, et voilà les espérances et la fortune du chevalier bien aventurées."")",0.97,Substitution
72,"('#belise', ""Qu'est-ce que c'est que ce papier ?"")",,1.0,Insertion
73,"('#marton', ""Du griffonnage, Madame : Quelque bagatelle apparemment, car cela est fort mal écrit.  L'homme qui l'a apporté, a dit seulement que c'était une Lettre de Change de mille écus, je pense, que l'on tirait sur vous et sur M.  le Baron, pour avoir donné à jouer sans permission ; et que si vous continuiez, on continuerait à en tirer d'autres à mesure qu'on le trouverait à propos ; que ces Lettres de change-là étaient payables à vue par provision, et qu'on nous mettrait au Châtelet faute de paiement."")","('#dorante', ""Le chevalier est un aventurier tombé des nues, qu'on ne connaît que par le jeu, et qui ne subsistait que par là, comme mille autres de son caractère."")",1.06,Substitution
74,"('#bartolin', ""Voilà justement ce que j'avais prévu."")",,1.0,Insertion
75,"('#belise', ""Voyez un peu ce que c'est que ce papier, Monsieur Bartolin."")",,1.0,Insertion
76,"('#bartolin', ""Et c'est, c'est... une bonne amende de mille écus, à quoi vous êtes solidairement condamnée avec votre Monsieur_le_Baron."")","('#lisette', ""Voilà bien des chevaliers à l'hôpital.  Que de banqueroutes !"")",1.55,Substitution
77,"('#belise', ""Le Baron condamné à l'amende, il ne la paiera point."")","('#dorante', ""Le chevalier de Bellemonte !  Si cela est, je suis bien vengé de Madame votre mère, par l'indignité du rival qu'elle me préférait."")",1.19,Substitution
78,"('#bartolin', ""Oh !  Pour cela je n'en doute point, et vous pourrez bien la payer toute seule."")",,1.0,Insertion
79,"('#marton', 'Voilà une belle occasion, Monsieur.')",,1.0,Insertion
80,"('#belise', ""Oui, voyez un peu ce qu'il y a à faire à cela, mon frère : pour moi, je vais avertir Monsieur_le_Baron, afin qu'il prenne ses mesures, et qu'il soutienne avec vigueur l'incontestabilité des droits qu'il a."")",,1.0,Insertion
81,"('#bartolin', ""Allez, ma soeur, il les soutiendra mal, sue ma parole.  Hé bien, Lisette, voilà ta prétendue fortune un peu dérangée, à ce qu'il me semble ; et si ma soeur est bien conseillée, tu retourneras au Magasin, ou à la Boutique."")","('#lisette', ""Oh !  ça, ça, laissons là la bagatelle, s'il vous plaît, et venons au fait.  Comment nous y prendrons-nous ?  Qui ferons-nous parler à Madame ?"")",0.92,Substitution
82,"('#marton', ""Elle aura bien de la peine à quitter un Hôtel pour reprendre son enseigne de la Picarde.  Pour moi, mon parti est pris, cela ne me gênera point, et j'aime encore mieux la Boutique que le Châtelet."")",,1.0,Insertion
83,"('#bartolin', 'Tu as de fort bon sens.')","('#dorante', 'Tu sais de quel air mon oncle fut refusé ?')",1.45,Substitution
84,"('#marton', ""Franchement, Monsieur, je n'ai jamais guère donné dans tout cela, mais j'y trouvais mon compte : il y a plus de fatigue à remuer des paquets de toile, que des sixains de cartes, et cela faisait que je m'accommodais facilement au goût de Madame."")","('#lisette', ""D'accord ; mais Monsieur votre oncle se portait à merveille quand on le refusa, et il est fort mal à présent."")",1.3,Substitution
85,"('#bartolin', ""Il faut cependant ; autant qu'il se pourra, prévenir, ou arrêter, la suite de ces procédures.  Je vais tâcher d'y donner ordre ?"")","('#dorante', ""Il ne peut pas vivre longtemps encore.  Je viens d'envoyer chez lui, et l'on m'en viendra dire ici des nouvelles."")",1.14,Substitution
86,"('#marton', 'Je ne sais ce que cela veut dire, mais je ne suis point trop fâchée de cet inconvénient.  Madame en enragera, mais Mademoiselle sa fille en sera charmée.  La voici, prenons ouvertement ses intérêts, et travaillons de concert avec elle pour faire réussir son mariage avec Valère.')","('#lisette', ""Voilà des conjectures merveilleuses, au moins.  Le lansquenet défendu, et un oncle presque à l'agonie !  Vos affaires ne sont point désespérées, vous dis-je."")",0.98,Substitution
87,"('#celide', 'Ah !  Ma chère Marton, que je suis ravie.')","('#dorante', 'Eh bien ! Crois-tu que je puisse hasarder une seconde demande ?')",1.23,Substitution
88,"('#marton', 'Hé !  De quoi donc, Mademoiselle ?')","('#lisette', 'Oui ; mais par qui la ferons-nous faire, cette demande ?')",1.15,Substitution
89,"('#celide', ""De ce que je viens d'apprendre.  Les Jeux sont défendus, ma chère enfant : on dit qu'on ne parle d'autre chose dans tout Paris, et je voudrais de tout mon coeur, je te l'avoue, que cette nouvelle fût bien confirmée."")","('#dorante', 'Je ne sais.')",1.81,Substitution
90,"('#marton', ""Elle ne l'est que trop, et l'on vient d'en donner avis à Madame votre mère en papier timbré."")","('#lisette', ""Si vous aviez quelque riche grand'mère sur le bord de sa fosse, cela serait d'un fort grand poids."")",1.12,Substitution
91,"('#celide', 'Je ne me sens pas de joie, ma pauvre Marton.')",,1.0,Insertion
92,"('#marton', ""Je suis assez comme vous, mais je n'oserais le témoigner à Madame."")","('#dorante', ""Je n'en ai point."")",1.31,Substitution
93,,"('#lisette', ""Faites parler par le médecin de votre oncle, et qu'il lui promette de le dépêcher incessamment."")",1.0,Deletion
94,"('#celide', ""Le jeu ne me déplairait peut-être point si fort, si l'on jouait ailleurs que chez ma mère ; mais que cette maison sois une Académie ouverte à toutes sortes de gens, que tout ce qu'il y a de fainéants et d'extravagants, pour ne rien dire de plus fâcheux, soient les bienvenus dans ce logis ; que dans mon cabinet, à ma toilette même, je sois éternellement obsédée de mille figures désagréables, à qui je n'ose dire vous me fatiguez, parce que ce sont des dupes qui perdent sottement leur argent avec ma mère : en vérité, c'est un supplice dont je serai bien aise d'être débarrassée."")","('#angelique', ""Cela ne servirait de rien, tant que l'entêtement de ma mère durerait pour le chevalier."")",1.35,Substitution
95,,"('#lisette', 'Eh !  Comment faudrait-il faire pour la désentêter?')",1.0,Deletion
96,"('#marton', ""Valère vous en débarrassera, c'est un fort joli homme, Mademoiselle ; et il faut qu'il vous aime bien tendrement pour ne s'être point rebuté du parti qu'avait pris Madame votre mère, et du refus qu'elle fît à la personne qui vous demanda pour lui il y a quelques jours."")","('#dorante', ""J'ai depuis quelques jours un maître fripon avec moi, que je crois reconnaître, et qui ne s'est point fait mon valet sans quelque dessein.  Il pourrait bien nous être utile dans cette affaire."")",0.4,Substitution
97,"('#celide', ""Je ne sais : mais il me semble que dans l'état où sont les choses, si la nouvelle est bien vraie, il devait être le premier à m'en informer, et ne pas tant attendre à se rendre ici."")","('#lisette', ""Le voici tout à propos, comme si vous l'aviez mandé."")",1.39,Substitution
98,"('#marton', ""Nous l'y verrons bientôt, sur ma parole, Monsieur votre oncle, qui sort dans le moment, et qui a bon esprit, n'aura pas manqué de passer chez lui, il est dans ses intérêts, et le regarde déjà comme son neveu."")","('#merlin', ""Je viens de chez Monsieur votre oncle, Monsieur, comme vous me l'aviez ordonné."")",0.2,Substitution
99,,"('#dorante', 'Eh bien en quel état est-il ?  Comment va sa maladie ?')",1.0,Deletion
100,"('#celide', 'Le voici, ma chère Marton.')",,1.0,Insertion
101,"('#marton', ""Ne vous disais-je pas bien, qu'il ne tarderait pas à venir."")","('#merlin', 'Le mieux du monde, il ne passera pas la journée.  Il vous demande pour une affaire de conséquence, et on est venu trois on quatre fois vous chercher.')",1.08,Substitution
102,"('#valere', ""Hé bien !  Adorable Célide, puis-je espérer que le changement dont on parle aujourd'hui dans Paris, fera changer en ma faveur l'esprit et le coeur de Madame votre mère ?  Et croyez-vous qu'elle me pardonne à présent de n'être pas joueur de profession ?"")","('#angelique', ""Sachez ce qu'il vous veut, Dorante, et ne négligez point cette affaire."")",1.41,Substitution
103,"('#celide', ""Je ne sais qu'en penser, Valère."")","('#dorante', 'Voyons donc auparavant, de grâce...')",1.15,Substitution
104,"('#marton', ""Oh !  Je n'en doute point du tout, moi ; la déroute des Jeux vous donne beau jeu à vous, et Madame ne saurait plus condamner vos sentiments, puisque les voilà justifiés par Arrêt."")",,1.0,Insertion
105,"('#celide', ""Je vous réponds de mon coeur, Valère ; mais je ne vous réponds pas de ma mère ; je vous ai déjà dit les raisons qui jusqu'ici, je crois, l'ont rendue contraire à notre engagement.  Elle m'a parlé tant de fois, et si avantageusement, d'un certain neveu du Baron."")","('#merlin', 'Madame a raison, Monsieur.  Les oncles ne sont point des gens à négliger, et surtout dans les occasions comme celle-ci.')",0.81,Substitution
106,"('#marton', 'Qui !  Ce petit freluquet qui se fait appeler Monsieur_le_Comte ?')",,1.0,Insertion
107,"('#celide', ""De lui-même, Marton, je la soupçonne de m'avoir destinée pour lui, dans la pensée qu'il est homme de grosse condition, et dans l'espérance d'une fortune considérable que son oncle et lui doivent faire au jeu."")",,1.0,Insertion
108,"('#valere', ""Ce sont deux aventuriers tombés des nues, des Chevaliers de l'industrie, que l'on ne connaît que par le jeu, et qui ne subsistent que par-là comme mille autres de leur caractère."")",,1.0,Insertion
109,"('#marton', ""Voilà bien des Chevaliers à l'Hôpital.  Que de banqueroutes !  Mais laissons-là les réflexions, s'il vous plaît, et songeons sérieusement aux moyens de tirer Madame votre mère de l'entêtement qu'elle a pour l'oncle et pour le neveu."")","('#dorante', ""Mais, belle Angélique, nous n'avons point examiné de quelle manière nous pourrions détromper Madame votre mère du chevalier de Bellemonte."")",0.77,Substitution
110,"('#valere', ""Cela ne sera peut-être pas tout à fait impossible ; j'ai depuis quelques jours à mon service un maître fripon, que je crois reconnaître ; il ne s'est point fait mon valet sans quelque dessein, et il pourrait bien nous être utile dans cette affaire."")",,1.0,Insertion
111,"('#marton', ""Le voici qui vient tout à propos, comme si vous l'aviez mandé."")","('#lisette', ""Dépêchez-vous donc de l'examiner et de conclure."")",1.55,Substitution
112,"('#valere', 'Oh çà, Frontin, il faut me rendre un service, mon ami.')","('#dorante', 'Oh, ça !  Merlin, il faut me rendre un service, mon ami.')",0.02,Substitution
113,"('#frontin', ""Fort volontiers, je suis tout à vous.  Depuis le peu de temps que j'ai l'honneur de vous servir, je vous ai pris en affection, je suis fort content de vous ; expliquez-moi votre affaire, que je vois si elle n'est point trop difficile, et si je me ferai prier ou non."")","('#merlin', ""Vous savez, Monsieur, que depuis le peu de temps que j'ai l'honneur d'être à vous, je me suis toujours volontiers acquitté des commissions que vous m'avez données.  Je vous ai pris en affection, et je suis content de vous, je vous assure.  Expliquez-moi votre affaire, que je voie si elle n'est point trop difficile, et si je me ferai prier, ou non."")",0.0,Match
114,"('#celide', ""Ah !  Mon pauvre garçon, tâche à suivre ce qu'on te dira, et sois assuré d'une parfaite reconnaissance."")","('#angelique', ""Ah !  Mon pauvre enfant !  Tâche à faire ce qu'on te dira, et sois assuré d'une parfaite récompense.  Je te donnerai..."")",0.0,Match
115,"('#frontin', 'Voilà de douces paroles qui me disposent.')",,1.0,Insertion
116,"('#celide', 'Et voilà vingt pistoles dans ma bourse qui te détermineront peut-être.')",,1.0,Insertion
117,"('#frontin', 'Votre affaire ira bien, voilà un heureux présage.')",,1.0,Insertion
118,"('#valere', ""Oh !  Ce n'est point l'argent qui le gouverne, vous ne le connaissez pas si bien que moi, Madame, et il ne tient qu'à lui d'en avoir autant qu'homme de France."")","('#dorante', ""Bon, Madame, c'est bien l'argent qui le gouverne.  Vous ne le connaissez pas, Madame, il ne tient qu'à lui d'en avoir autant qu'homme de France."")",0.0,Match
119,"('#frontin', ""Comment diantre !  M'aurait-il reconnu ?"")","('#merlin', ""Comment diantre !  M'aurait-il reconnu ?"")",0.0,Match
120,"('#valere', 'Demandez-lui si je me trompe.')","('#dorante', 'Demandez-lui si je me trompe.')",0.0,Match
121,"('#frontin', 'Monsieur...')","('#merlin', 'Monsieur.')",0.06,Substitution
122,"('#valere', ""Hé !  Allons, allons, parlons franchement mon ami : je suis bon Prince, comme tu vois, je me connais en gens, et toute ta science ne se borne point à bien faire un message, à savoir peigner une perruque.  Hé !  Plaît-il ?  Qu'en penses-tu, Marton ?"")","('#dorante', 'Eh !  Allons, allons, partons franchement, mon ami.  Je suis bon prince, comme tu vois, je me connais en gens, et toute ta science ne se borne point à bien faire un message, et à peigner une perruque.  Plaît-il ?')",0.0,Match
123,,"('#merlin', 'Monsieur.')",1.0,Deletion
124,,"('#dorante', ""Qu'en penses-tu, Lisette ?  Regarde-le un peu.  Hem !  Qu'en dis-tu ?"")",1.0,Deletion
125,"('#marton', ""Je lui trouve quelque chose de grand, quelque chose d'illustre dans la physionomie."")","('#lisette', ""Je lui trouve quelque chose de grand, quelque chose d'illustre dans la physionomie."")",0.0,Match
126,"('#frontin', ""Ma physionomie est fort heureuse.  J'enrage, me voilà découvert."")","('#merlin', ""Ma physionomie est assez heureuse. J'enrage, me voilà découvert. À part."")",0.0,Match
127,"('#valere', 'Nous nous sommes vus quelque part, assurément, rappelle un peu tes idées, je suis sûr des miennes, moi.  Tu ne te nommais pas Frontin, dans ce temps-là ; tu es un adroit, un virtuose.')","('#dorante', 'Nous nous sommes vus quelque part, et tu ne te nommais pas Merlin en ce temps-là.  Tu es un adroit, mon ami.')",0.01,Substitution
128,"('#frontin', 'Tout est perdu... Monsieur, je ne me remets pas...')","('#merlin', 'Tout est perdu. Monsieur, je ne me remets pas. À part. Haut.')",0.0,Match
129,,"('#dorante', ""Là, ne te trouble point.  Mon dessein n'est pas de te nuire, au contraire mais puisque tu m'as fait l'honneur de me choisir pour ton maître, il est juste que je profite de tes petits talents."")",1.0,Deletion
130,,"('#merlin', 'Monsieur...')",1.0,Deletion
