,montchretien-hector,giraudoux-la-guerre-de-troie-n-aura-pas-lieu,Cost,Operation Type
20,,"('#andromaque', 'Je ne te comprends pas.\n9')",1.0,Deletion
21,,"('#cassandre', 'Hector en cette heure rentre dans Troie ?')",1.0,Deletion
22,,"('#andromaque', 'Oui.  Hector en cette heure revient à sa femme.')",1.0,Deletion
23,,"('#cassandre', ""Cette femme d'Hector va avoir un enfant ?"")",1.0,Deletion
24,,"('#andromaque', 'Oui, je vais avoir un enfant.')",1.0,Deletion
25,,"('#cassandre', 'Ce ne sont pas des affirmations, tout cela ?')",1.0,Deletion
26,"('#le-choeur', ""N'avance tel présage, ô divine Cassandre. "")","('#andromaque', 'Ne me fais pas peur, Cassandre.')",0.33,Substitution
27,,"('#une-jeune-servante', 'Quel beau jour, maîtresse !')",1.0,Deletion
28,,"('#cassandre', 'Ah !  Oui ?  Tu trouves ?')",1.0,Deletion
29,,"('#la-jeune-servante', ""Troie touche aujourd'hui son plus beau jour de printemps."")",1.0,Deletion
30,,"('#cassandre', ""Jusqu'au lavoir qui affirme !"")",1.0,Deletion
31,,"('#andromaque', 'Oh !  Justement, Cassandre !  Comment peux-tu parler de guerre en un jour pareil ?  Le bonheur tombe sur le monde !')",1.0,Deletion
32,,"('#cassandre', 'Une vraie neige.')",1.0,Deletion
33,"('#cassandre', ""Que sert dissimuler ? Troie un jour sera cendre,  Et tous ses hauts Palais trébuchés à l'envers  Seront monceaux pierreux d'un peu d'herbe couverts.  Vous ne m'en croyez pas ; c'est bien votre coutume,  Et tel est le vouloir de ce Dieu qui m'allume ;  Mais vous gagnez en fin, ce qui me deult beaucoup,  Que de vous on dira, Sages après le coup. "")","('#andromaque', ""La beauté aussi.  Vois ce soleil.  Il s'amasse plus de nacre sur les faubourgs de Troie qu'au fond des mers.  De toute maison de pêcheur, de tout arbre sort le murmure des coquillages.  Si jamais il y a eu une chance de voir les hommes trouver un moyen pour vivre en paix, c'est aujourd'hui...  Et pour qu'ils soient modestes...  Et pour qu'ils soient immortels..."")",0.79,Substitution
34,,"('#cassandre', ""Oui, les paralytiques qu'on a traînés devant les portes se sentent immortels."")",1.0,Deletion
35,,"('#andromaque', ""Et pour qu'ils soient bons !...  Vois ce cavalier de l'avant-garde se baisser sur l'étrier pour caresser un chat dans ce créneau...  Nous sommes peut-être aussi au premier jour de l'entente entre l'homme et les bêtes."")",1.0,Deletion
36,,"('#cassandre', ""Tu parles trop.  Le destin s'agite, Andromaque !"")",1.0,Deletion
37,"('#le-choeur', 'Tant de bons Citoyens espèrent le contraire. ')","('#andromaque', ""Il s'agite dans les filles qui n'ont pas de mari.  Je ne te crois pas.\n12"")",1.58,Substitution
38,,"('#cassandre', ""Tu as tort.  Ah !  Hector rentre dans la gloire chez sa femme adorée !...  Il ouvre un oeil...  Ah !  Les hémiplégiques se croient immortels sur leurs petits bancs !...  Il s'étire...  Ah !  Il est aujourd'hui une chance pour que la paix s'installe sur le monde !...  Il se pourlèche...  Et Andromaque va avoir un fils !  Et les cuirassiers se baissent maintenant sur l'étrier pour caresser les matous dans les créneaux !...  Il se met en marche !"")",1.0,Deletion
39,,"('#andromaque', 'Tais-toi !')",1.0,Deletion
40,"('#cassandre', ""Le plus clair jugement s'aveugle à sa misère. "")","('#cassandre', 'Et il monte sans bruit les escaliers du palais.  Il pousse du mufle les portes...  Le voilà...  Le voilà...')",1.52,Substitution
41,,"('#hector', 'Andromaque !')",1.0,Deletion
42,,"('#andromaque', ""Tu mens !...  C'est Hector !\n13"")",1.0,Deletion
43,,"('#cassandre', ""Qui t'a dit autre chose ?"")",1.0,Deletion
44,,"('#andromaque', 'Hector !')",1.0,Deletion
45,,"('#hector', ""Andromaque !...  À toi aussi bonjour, Cassandre !  Appelle-moi Pâris, veux-tu.  Le plus vite possible.  Tu as quelque chose à me dire ? Ils s'étreignent. Cassandre s'attarde."")",1.0,Deletion
46,,"('#andromaque', ""Ne l'écoute pas !...  Quelque catastrophe !"")",1.0,Deletion
47,,"('#hector', 'Parle !')",1.0,Deletion
48,,"('#cassandre', 'Ta femme porte un enfant.')",1.0,Deletion
49,,"('#hector', 'Ce sera un fils, une fille ?')",1.0,Deletion
50,"('#le-choeur', ""On dit que les Grégeois n'avancent rien ici. "")",,1.0,Insertion
51,"('#cassandre', ""Parlant humainement j'en parlerais ainsi. "")","('#andromaque', ""Qu'as-tu voulu créer en l'appelant ?"")",1.15,Substitution
52,,"('#hector', 'Mille garçons...  Mille filles...')",1.0,Deletion
53,,"('#andromaque', 'Pourquoi ?  Tu croyais étreindre mille femmes ?...  Tu vas être déçu.  Ce sera un fils, un seul fils.\n16')",1.0,Deletion
54,,"('#hector', ""Il y a toutes les chances pour qu'il en soit un...  Après les guerres, il naît plus de garçons que de filles."")",1.0,Deletion
55,"('#le-choeur', ""Et sont sur le dessein d'embarquer leur armée. "")","('#andromaque', 'Et avant les guerres ?')",1.43,Substitution
56,,"('#hector', ""Laissons les guerres, et laissons la guerre...  Elle vient de finir.  Elle t'a pris un père, un frère, mais ramené un mari."")",1.0,Deletion
57,"('#cassandre', 'Ignorez-vous encor leur fourbe accoutumée ? ')","('#andromaque', 'Elle est trop bonne.  Elle se rattrapera.')",1.52,Substitution
58,"('#le-choeur', ""Qui si nous soutenons c'est leur dernier effort. "")",,1.0,Insertion
59,"('#cassandre', '» Souvent le dernier coup est le coup de la mort. ')","('#hector', ""Calme-toi.  Nous ne lui laisserons plus l'occasion.  Tout à l'heure, en te quittant, je vais solennellement, sur la place, fermer les portes de la guerre.  Elles ne s'ouvriront plus."")",1.47,Substitution
60,,"('#andromaque', ""Ferme-les.  Mais elles s'ouvriront."")",1.0,Deletion
61,,"('#hector', 'Tu peux même nous dire le jour !')",1.0,Deletion
62,"('#le-choeur', ""Et qu'aux vents nous rendrons leur voile et leur fortune. "")","('#andromaque', 'Le jour où les blés seront dorés et pesants, la vigne surchargée, les demeures pleines de couples.')",0.78,Substitution
63,"('#cassandre', '» On forge ainsi des bruits pour piper la commune.  Cet espoir à nos coeurs dès longtemps est donné,  Et cependant leur siège est toujours obstiné. ')","('#hector', 'Et la paix à son comble, sans doute ?')",1.32,Substitution
64,"('#le-choeur', ""Qu'en faut-il redouter ? La main d'Hector nous garde. "")","('#andromaque', ""Oui.  Et mon fils robuste et éclatant. Hector l'embrasse."")",0.61,Substitution
65,,"('#hector', ""Ton fils peut être lâche.  C'est une sauvegarde.\n18"")",1.0,Deletion
66,,"('#andromaque', ""Il ne sera pas lâche.  Mais je lui aurai coupé l'index de la main droite."")",1.0,Deletion
67,,"('#hector', ""Si toutes les mères coupent l'index droit de leur fils, les armées de l'univers se feront la guerre sans index...  Et si elles lui coupent la jambe droite, les armées seront unijambistes...  Et si elles lui crèvent les yeux, les armées seront aveugles, mais il y aura des armées, et dans la mêlée elles se chercheront le défaut de l'aine, ou la gorge, à tâtons..."")",1.0,Deletion
68,"('#cassandre', '» En fin meurt au combat qui par trop se hasarde. ')","('#andromaque', 'Je le tuerai plutôt.')",1.68,Substitution
69,"('#le-choeur', ""Nul des chefs Argiens ne l'égale en valeur. "")","('#hector', 'Voilà la vraie solution maternelle des guerres.')",1.86,Substitution
70,"('#cassandre', 'Je ne crains rien pour lui que son propre malheur. ')","('#andromaque', 'Ne ris pas.  Je peux encore le tuer avant sa naissance.')",1.12,Substitution
71,,"('#hector', 'Tu ne veux pas le voir une minute, juste une minute ?  Après, tu réfléchiras...  Voir ton fils ?')",1.0,Deletion
72,"('#le-choeur', 'Il est chéri des Dieux et respecté des hommes. ')","('#andromaque', ""Le tien seul m'intéresse.  C'est parce qu'il est de toi, c'est parce qu'il est toi que j'ai peur.  Tu ne peux t'imaginer combien il te ressemble.  Dans ce néant où il est encore, il a déjà apporté tout ce que tu as mis dans notre vie courante.  Il y a tes tendresses, tes silences.  Si tu aimes la guerre, il l'aimera...  Aimes-tu la guerre ?"")",1.26,Substitution
73,"('#cassandre', 'Mais sujet à la Parque ainsi comme nous sommes.')","('#hector', 'Pourquoi cette question ?')",1.17,Substitution
74,"('#le-choeur', ""Dieu qui nous l'a donné le nous peut conserver. "")","('#andromaque', ""Avoue que certains jours tu l'aimes."")",1.57,Substitution
75,"('#cassandre', ""Dieu qui nous l'a donné pourra nous en priver. "")","('#hector', ""Si l'on aime ce qui vous délivre de l'espoir, du bonheur, des êtres les plus chers...\n20"")",1.58,Substitution
76,"('#le-choeur', '» En faveur du public il garde les bons Princes. ')","('#andromaque', ""Tu ne crois pas si bien dire...  On l'aime."")",1.82,Substitution
77,"('#cassandre', '» Il les ravit lui-même en haine des Provinces. ')",,1.0,Insertion
78,"('#le-choeur', 'Nos destins dans le ciel justement balancés,  Contre ceux des Grégeois se défendront assez. ')","('#hector', ""Si l'on se laisse séduire par cette petite délégation que les dieux vous donnent à l'instant du combat..."")",1.08,Substitution
79,,"('#andromaque', ""Ah ?  Tu te sens un dieu, à l'instant du combat ?"")",1.0,Deletion
80,"('#cassandre', '» Le Monarque du ciel qui soutient la balance,  » Comme il lui vient à gré haut et bas les élance. ')","('#hector', ""Très souvent moins qu'un homme...  Mais parfois, à certains matins, on se relève du sol allégé, étonné, mué.  Le corps, les armes ont un autre poids, sont d'un autre alliage.  On est invulnérable.  Une tendresse vous envahit, vous submerge, la variété de tendresse des batailles : on est tendre parce qu'on est impitoyable ; ce doit être en effet la tendresse des dieux.  On avance vers l'ennemi lentement, presque distraitement, mais tendrement.  Et l'on évite aussi d'écraser le scarabée.  Et l'on chasse le moustique sans l'abattre.  Jamais l'homme n'a plus respecté la vie sur son passage..."")",1.26,Substitution
81,,"('#andromaque', ""Puis l'adversaire arrive ?..."")",1.0,Deletion
82,"('#le-choeur', '» Des peuples opprimés il se fait le sauveur,  » Et par de bons succès leur montre sa faveur. ')","('#hector', ""Puis l'adversaire arrive, écumant, terrible.  On a pitié de lui, on voit en lui, derrière sa bave et ses yeux blancs, toute l'impuissance et tout le dévouement du pauvre fonctionnaire humain qu'il est, du pauvre mari et gendre, du pauvre cousin germain, du pauvre amateur de raki et d'olives qu'il est.  On a de l'amour pour lui.  On aime sa verrue sur sa joue, sa taie dans son oeil.  On l'aime...  Mais il insiste...  Alors on le tue."")",1.13,Substitution
83,"('#cassandre', ""» Les plus favorisés à la fin il déprise,  » Quand ils prêtent la main à l'injuste entreprise. "")","('#andromaque', ""Et l'on se penche en dieu sur ce pauvre corps ; mais on n'est pas Dieu, on ne rend pas la vie.\n22"")",1.66,Substitution
84,,"('#hector', ""On ne se penche pas.  D'autres vous attendent.  D'autres avec leur écume et leurs regards de haine.  D'autres pleins de famille, d'olives, de paix."")",1.0,Deletion
85,,"('#andromaque', 'Alors on les tue ?')",1.0,Deletion
86,,"('#hector', ""On les tue.  C'est la guerre."")",1.0,Deletion
87,,"('#andromaque', 'Tous, on les tue ?')",1.0,Deletion
88,,"('#hector', ""Cette fois nous les avons tués tous.  À dessein.  Parce que leur peuple était vraiment la race de la guerre, parce que c'est par lui que la guerre subsistait et se propageait en Asie.  Un seul a échappé.\n23"")",1.0,Deletion
89,"('#le-choeur', ""» S'armer pour la Patrie et pour les saints autels,  » Est un acte approuvé des Dieux et des mortels. "")","('#andromaque', ""Dans mille ans, tous les hommes seront les fils de celui-là.  Sauvetage inutile d'ailleurs...  Mon fils aimera la guerre, car tu l'aimes."")",1.29,Substitution
90,,"('#hector', ""Je crois plutôt que je la hais...  Puisque je ne l'aime plus."")",1.0,Deletion
91,,"('#andromaque', ""Comment arrive-t-on à ne plus aimer ce que l'on adorait ?  Raconte.  Cela m'intéresse."")",1.0,Deletion
92,"('#cassandre', ""» Ô trop grossière erreur si l'on ne croit mal faire,  » Par en donner sujet à son propre adversaire. "")","('#hector', ""Tu sais, quand on a découvert qu'un ami est menteur ?  De lui tout sonne faux, alors, même ses vérités...  Cela semble étrange à dire, mais la guerre m'avait promis la bonté, la générosité, le mépris des bassesses.  Je croyais lui devoir mon ardeur et mon goût à vivre, et toi-même...  Et jusqu'à cette dernière campagne, pas un ennemi que je n'aie aimé...\n24"")",0.92,Substitution
93,,"('#andromaque', ""Tu viens de le dire : on ne tue bien que ce qu'on aime."")",1.0,Deletion
94,"('#le-choeur', 'Encore il souvient bien aux Troyens outragés,  Que du Tyran Hercule ils furent saccagés. ')","('#hector', ""Et tu ne peux savoir comme la gamme de la guerre était accordée pour me faire croire à sa noblesse.  Le galop nocturne des chevaux, le bruit de vaisselle à la fois et de soie que fait le régiment d'hoplites se frottant contre votre tente, le cri du faucon au-dessus de la compagnie étendue et aux aguets, tout avait sonné jusque-là si juste, si merveilleusement juste..."")",1.34,Substitution
95,"('#cassandre', 'Ilion fut rasé, grande et honteuse perte :  Mais ce fut un malheur, la guerre était ouverte. ')","('#andromaque', 'Et la guerre a sonné faux, cette fois ?')",1.16,Substitution
96,,"('#hector', ""Pour quelle raison ?  Est-ce l'âge ?  Est-ce simplement cette fatigue du métier dont parfois l'ébéniste sur son pied de table se trouve tout à coup saisi, qui un matin m'a accablé, au moment où penché sur un adversaire de mon âge, j'allais l'achever ?  Auparavant ceux que j'allais tuer me semblaient le contraire de moi-même.  Cette fois j'étais agenouillé sur un miroir.  Cette mort que j'allais donner, c'était un petit suicide.  Je ne sais ce que fait l'ébéniste dans ce cas, s'il jette sa varlope, son vernis, ou s'il continue...  J'ai continué.  Mais de cette minute, rien n'est demeuré de la résonance parfaite.  La lance qui a glissé contre mon bouclier a soudain sonné faux, et le choc du tué contre la terre, et, quelques heures plus tard, l'écroulement des palais.  Et la guerre d'ailleurs a vu que j'avais compris.  Et elle ne se gênait plus...  Les cris des mourants sonnaient faux...  J'en suis là."")",1.0,Deletion
97,"('#le-choeur', ""Et pourquoi cette guerre ! Il était grand besoin,  Qu'un voleur vagabond l'apportât de si loin. "")","('#andromaque', 'Tout sonnait juste pour les autres.')",1.29,Substitution
98,,"('#hector', ""Les autres sont comme moi.  L'armée que j'ai ramenée hait la guerre.\n26"")",1.0,Deletion
99,,"('#andromaque', ""C'est une armée à mauvaises oreilles."")",1.0,Deletion
100,"('#cassandre', 'La faute est toute à nous, à nous aussi le blâme. ')","('#hector', ""Non.  Tu ne saurais t'imaginer combien soudain tout a sonné juste pour elle, voilà une heure, à la vue de Troie.  Pas un régiment qui ne se soit arrêté d'angoisse à ce concert.  Au point que nous n'avons osé entrer durement par les portes, nous nous sommes répandus en groupe autour des murs...  C'est la seule tâche digne d'une vraie armée : faire le siège paisible de sa patrie ouverte."")",1.67,Substitution
101,"('#le-choeur', 'Ores elle est aux Grecs armés pour une Dame. ')","('#andromaque', ""Et tu n'as pas compris que c'était là la pire fausseté !  La guerre est dans Troie, Hector !  C'est elle qui vous a reçus aux portes.  C'est elle qui me donne à toi ainsi désemparée, et non l'amour."")",1.39,Substitution
102,"('#cassandre', 'Accusez-en plutôt votre concitoyen. ')","('#hector', 'Que racontes-tu là ?')",1.41,Substitution
103,"('#le-choeur', ""Que souffre le Grégeois qu'il n'ait fait au Troyen ?  Ce qui nous sera faute est pour lui privilège ? "")","('#andromaque', 'Ne sais-tu donc pas que Pâris a enlevé Hélène ?')",1.31,Substitution
104,,"('#hector', 'On vient de me le dire...  Et après ?')",1.0,Deletion
105,,"('#andromaque', ""Et que les Grecs la réclament ?  Et que leur envoyé arrive aujourd'hui ?  Et que si on ne la rend pas, c'est la guerre ?"")",1.0,Deletion
106,,"('#hector', 'Pourquoi ne la rendrait-on pas ?  Je la rendrai moi-même.')",1.0,Deletion
107,"('#cassandre', 'Il ne commit jamais ni rapt ni sacrilège. ')","('#andromaque', ""Pâris n'y consentira jamais."")",1.87,Substitution
108,,"('#hector', ""Pâris m'aura cédé dans quelques minutes.  Cassandre me l'amène.\n28"")",1.0,Deletion
109,"('#le-choeur', ""Que l'une soit pour l'autre, ainsi le veut raison. "")","('#andromaque', ""Il ne peut te céder.  Sa gloire, comme vous dites, l'oblige à ne pas céder.  Son amour aussi, comme il dit, peut-être."")",1.27,Substitution
110,,"('#hector', ""C'est ce que nous allons voir.  Cours demander à Priam s'il peut m'entendre à l'instant, et rassure-toi.  Tous ceux des Troyens qui ont fait et peuvent faire la guerre ne veulent pas la guerre."")",1.0,Deletion
111,,"('#andromaque', 'Il reste tous les autres.')",1.0,Deletion
112,,"('#cassandre', 'Voilà Pâris. Andromaque disparaît.')",1.0,Deletion
113,"('#cassandre', ""L'une fut prise en guerre, et l'autre en trahison. "")",,1.0,Insertion
114,"('#le-choeur', ""L'une vint de son gré, l'autre alla par contrainte. "")","('#hector', 'Félicitations, Pâris.  Tu as bien occupé notre absence.')",1.73,Substitution
115,,"('#paris', 'Pas mal.  Merci.')",1.0,Deletion
116,,"('#hector', ""Alors ?  Quelle est cette histoire d'Hélène ?"")",1.0,Deletion
117,"('#cassandre', ""Par l'une on viola l'hospitalité sainte. "")","('#paris', ""Hélène est une très gentille personne.  N'est-ce pas Cassandre ?"")",1.55,Substitution
118,"('#le-choeur', ""Et par l'autre on força tout droit d'honnêteté. "")","('#cassandre', 'Assez gentille.')",1.12,Substitution
119,,"('#paris', ""Pourquoi ces réserves, aujourd'hui ?  Hier encore tu disais que tu la trouvais très jolie."")",1.0,Deletion
120,,"('#cassandre', 'Elle est très jolie, mais assez gentille.')",1.0,Deletion
121,,"('#paris', ""Elle n'a pas l'air d'une gentille petite gazelle ?"")",1.0,Deletion
122,"('#cassandre', 'La victoire est ainsi pleine de liberté. ')","('#cassandre', 'Non.')",1.61,Substitution
123,,"('#paris', ""C'est toi-même qui m'as dit qu'elle avait l'air d'une gazelle !"")",1.0,Deletion
124,,"('#cassandre', ""Je m'étais trompée.  J'ai revu une gazelle depuis."")",1.0,Deletion
125,"('#le-choeur', 'Des butins de la guerre on excepte les femmes. ')","('#hector', ""Vous m'ennuyez avec vos gazelles !  Elle ressemble si peu à une femme que cela ?"")",1.44,Substitution
126,"('#cassandre', 'Les femmes du vulgaire et non pas les grandes Dames. ')","('#paris', ""Oh !  Ce n'est pas le type de femme d'ici, évidemment."")",0.57,Substitution
127,"('#le-choeur', 'Qui le pratique ainsi fors que les seuls Grégeois ? ')","('#cassandre', ""Quel est le type de femme d'ici ?"")",1.17,Substitution
128,"('#cassandre', '» Un peuple ne faut point qui vit selon les lois. ')",,1.0,Insertion
129,"('#le-choeur', '» Nous faillons encor moins : car contre un adversaire,  » Toute défense est juste alors que nécessaire. ')",,1.0,Insertion
130,"('#cassandre', '» Des contraires partis il est toujours meilleur,  » Qui sur une revanche employe sa valeur. ')","('#paris', 'Le tien, chère soeur.  Un type effroyablement peu distant.')",1.41,Substitution
131,,"('#cassandre', 'Ta Grecque est distante en amour ?')",1.0,Deletion
132,"('#le-choeur', ""Le prétexte est commun, mais si pour cette Hélène  Nous sommes réservés à souffrir plus de peine,  Grands Dieux, pour amortir l'ardeur de nos combats  Éteignez sa lumière en la nuit du trépas.  Mais voici pas Hector ? C'est sans doute lui-même,  Qu'Andromaque poursuit échevelée et blême. "")","('#paris', ""Écoute parler nos vierges !...  Tu sais parfaitement ce que je veux dire.  J'ai assez des femmes asiatiques.  Leurs étreintes sont de la glu, leurs baisers des effractions, leurs paroles de la déglutition.  À mesure qu'elles se déshabillent, elles ont l'air de revêtir un vêtement plus chamarré que tous les autres, la nudité, et aussi, avec leurs fards, de vouloir se décalquer sur nous.  Et elles se décalquent.  Bref, on est terriblement avec elles...  Même au milieu de mes bras, Hélène est loin de moi."")",0.9,Substitution
133,"('#andromaque', 'En fin, mon cher époux, ferez-vous rien pour moi ?  Sera donques la mort le paiement de ma foi. ')","('#hector', ""Très intéressant !  Mais tu crois que cela vaut une guerre, de permettre à Pâris de faire l'amour à distance ?"")",1.57,Substitution
134,,"('#cassandre', 'Avec distance...  Il aime les femmes distantes, mais de près.')",1.0,Deletion
135,"('#hector', ""L'honneur sauf, Andromaque, à toi, je m'abandonne,  Car à l'égal de toi je n'estime personne :  Mais pour un songe vain omettre son devoir,  C'est une loi, mon coeur, trop dure à recevoir. "")","('#paris', ""L'absence d'Hélène dans sa présence vaut tout."")",1.0,Substitution
136,,"('#hector', ""Comment l'as-tu enlevée ?  Consentement ou contrainte ?"")",1.0,Deletion
137,"('#andromaque', ""Ha, mon fidèle Hector, mon tout, ma chère vie,  Allez de par moi libre où l'honneur vous convie ;  Mais n'étant point forcé de sortir aujourd'hui,  Dégagez mon esprit de ce mortel ennui.  Ce songe n'est point vain, et vous le devez croire  Si mes autres passés vous touchent la mémoire,  Las ! Trop à notre dam reconnus pour certains ;  » Aussi la voix de Dieu n'est point autre aux humains. "")","('#paris', ""Voyons, Hector !  Tu connais les femmes aussi bien que moi.  Elles ne consentent qu'à la contrainte.  Mais alors avec enthousiasme."")",1.07,Substitution
138,"('#hector', ""» Si nous prenons sujet de bien ou de mal faire  » De ces impressions qui troublent le vulgaire,  » Tous les plus beaux desseins d'un courage parfait  » Mourront dès leur naissance ou vivront sans effet.  » Non, l'homme aventureux qui choisira pour guide  » Le devoir qui nous sert d'éperon ou de bride,  » Suivra toujours sa pointe et toujours résolu  » Voudra ce qu'une fois il aura bien voulu,  » Sans que des accidents la suite entrelacée  » Puisse faire changer sa diverse pensée. "")","('#hector', 'À cheval ?  Et laissant sous ses fenêtres cet amas de crottin qui est la trace des séducteurs ?')",1.43,Substitution
139,,"('#paris', ""C'est une enquête ?"")",1.0,Deletion
140,,"('#hector', ""C'est une enquête.  Tâche pour une fois de répondre avec précision.  Tu n'as pas insulté la maison conjugale, ni la terre grecque ?"")",1.0,Deletion
141,,"('#paris', ""L'eau grecque, un peu.  Elle se baignait..."")",1.0,Deletion
142,,"('#cassandre', ""Elle est née de l'écume, quoi !  La froideur est née de l'écume, comme Vénus."")",1.0,Deletion
