chevalier-amours-de-calotin,chevalier-barbons-amoureux,Score
"('#le-baron', ""Vous aimez la méthode De vous souffrir railler toujours sur chaque mode: Qu'un Molière sans cesse en vos habillements Vous fasse les objets de tous ces bernements ; Et que quand nous avons quelques modes jolies, Il les fasse passer toutes pour des folies. Oui, vous aimez cela, car pour vous voir berner, Vous n'avez pas assez d'argent pour luy donner. Quand je vous dis : Allons à l'Hôtel de Bourgogne, Vous recevez ces mots ainsi qu'une vergogne Et me dites d'abord : Moi rarement je vais À l'Hôtel de Bourgogne, à l'Hôtel du Marais, Ma satisfaction n'est jamais plus entière Qu'alors que je me vois chez l'illustre Molière."")",-,0.0
"('#le-marquis', ""Des divertissements c'est aussi le seul but."")",-,0.0
"('#le-baron', ""Hors Molière, pour vous il n'est point de salut, Tous les autres auteurs vous sont insupportables, Les Corneilles auprès sont auteurs détestables, Ce qu'ils mettent au jour est par trop sérieux, Et bien loin de vous plaire, ils vous sont ennuyeux Peut-on voir, dites-vous, une pièce parfaite, Comme celle où l'on voit Alain avec Georgette ? Mais raisonnant ainsi, messeigneurs les benêts, C'est passer pour autant d'Alains et de Georgets."")",-,0.0
"('#le-marquis', ""Mais, Baron, tu te vas ériger en folâtre, Si l'on te voit blâmer ce foudre de théâtre, Cet auteur si fertile en ouvrages puissants, Qu'on le nomme en tous lieux la merveille du temps ; Et pour te faire voir sa valeur infinie, Il tire quatre parts dedans sa Compagnie : Enfin c'est un esprit au dessus de l'humain."")",-,0.0
"('#le-baron', ""Je sais qu'il fait venir l'eau dedans le moulin, Et même que sans craindre être au rang des profanes Il vous y fait passer joliment pour des ânes. Dieu me damne, Marquis, ce célèbre garçon Sait dauber le prochain de la bonne façon."")",-,0.0
"('#le-marquis', ""Ton obstination, cher Baron, est extrême. Sais-tu que la satyre est la cause qu'on l'aime ? Comme il sait étaler nos défauts à nos yeux, Nous pouvons, les voyant, nous en corriger mieux. Ainsi quand ce savant prononce une parole, Ce doit être pour nous une éternelle école."")",-,0.0
"('#le-baron', ""Ce grand maître d'école a beaucoup d'écoliers Dont il sait, les raillant, attraper les deniers ; Et tandis que le monde est sa dupe et sa buse, En lui-même il se dit : prends-les, je les amuse. Pour moi, je vous promets qu'il ne m'y prendra pas ; Si l'on m'y peut trouver, qu'on m'y casse les bras."")",-,0.0
"('#le-marquis', ""Pour moi, je suis ravi lorsque je vois paraître Un esprit qui s'efforce à se faire connaître. S'il nous raille, il nous sait railler si galamment, Que ce nous est à tous un divertissement. Mais je suis sûr qu'à tort on se le persuade, Que cette vision vient d'un esprit malade, Et que jamais Molière en traitant son sujet, Ne fit dessein d'avoir la Cour pour son objet ; Et tant que je pourrai je verrai ce grand homme."")",-,0.0
"('#le-baron', ""Moi, si je le vais voir, je veux bien qu'on m'assomme ; Vous aimez qu'on vous berne en donnant votre argent, Et moi je n'aime pas que l'on m'en fasse autant."")",-,0.0
"('#le-marquis', ""Baron, sur ce sujet n'ayons point de querelle; Mais je crains qu'on ne voie une pièce nouvelle Sur ta façon d'agir, si l'on la peut savoir."")",-,0.0
"('#le-baron', ""Et moi je ne crains pas en ce lieu de la voir Et s'il faut par hasard que quelque auteur la fasse, Elle ne sera pas exposée à ma face, Puisque si nous n'allons, vous, ni moi, qu'en ces lieux, Nous ne nous verrons point taquiner à nos yeux. La comédie ici me paraît aussi bonne ; Ils la font aussi bien et ne raillent personne ; Si bien qu'on la peut voir sans se mortifier."")",-,0.0
"('#le-marquis', ""On m'a parlé pourtant d'un certain Chevalier, Qui parfois dans ses vers."")",-,0.0
"('#le-baron', ""Il se mêle d'écrire, Mais on ne le voit point mêler de la satire ; Il ne drape personne en tout ce qu'il écrit."")",-,0.0
"('#le-marquis', ""C'est donc assurément qu'il n'en a pas l'esprit; Car sois certain, Baron, que s'il le pouvait faire, Il le ferait, sachant que c'est ce qui sait plaire."")",-,0.0
"('#le-chevalier', ""Une chaise, l'ami ; commence-t-on bientôt ?"")",-,0.0
"('#le-portier', ""Sans chaise vous pouvez vous placer comme il faut ; Vous avez là des bancs où l'on est à son aise."")",-,0.0
"('#le-chevalier', ""Et moi je n'en veux point, qu'on me donne une chaise."")",-,0.0
"('#le-portier', ""L'on y va. De l'argent, Monsieur, car je m'en vais."")",-,0.0
"('#le-chevalier', 'Tu te railles, mon cher, je ne paye jamais ; Apprends à me connaître.')",-,0.0
"('#le-portier', ""Hé bien, avant qu'on sorte~ Si vous ne me payez, que le diable m'emporte."")",-,0.0
"('#le-chevalier', 'Ah ! Marquis, te voilà.')",-,0.0
"('#le-marquis', ""C'est donc toi, Chevalier ; Et que faisais-tu là ?"")",-,0.0
"('#le-chevalier', ""Ce faquin de portier Qui se met en courroux, qui tempête et qui peste, De ce que j'ai voulu sur l'heure avoir mon reste : Hé, n'est-ce pas assez lorsque l'on paye bien ?"")",-,0.0
"('#le-marquis', ""Rend-on le reste ici lorsqu'on ne donne rien ?"")",-,0.0
"('#le-chevalier', 'Quoi, rien! il est content.')",-,0.0
"('#le-baron', ""Je crois qu'il le peut être, Si c'est payer, que dire : Apprends à me connaître."")",-,0.0
"('#le-chevalier', ""Ah ! C'est toi, cher Baron, hé qui te croyait là ?"")",-,0.0
"('#le-baron', ""Moi, je m'y crois sans doute, et puisque m'y voilà, Bonjour."")",-,0.0
"('#le-marquis', 'Que fis-tu hier ?')",-,0.0
"('#le-chevalier', ""Sombre et mélancolique, Pour me déchagriner, je fus voir la critique, Où je trouvai moyen de chasser mon ennui. Ce diable de Molière entraîne tout chez lui, Tout y crevait de peuple, et fort peu, je t'assure, Se purent exempter des traits de sa censure ; Il critiqua tous ceux qui l'avaient critiqué, Et se moqua de qui de lui s'était moqué. Ceux qui s'étaient raillé de l'Ecole des femmes, Se voyaient là chanter fort joliment leurs gammes. Quelqu'un de l'assemblée en paraissait content, Mais bien d'autres aussi riaient en enrageant ; Et tel criait tout haut que c'était des merveilles, Qui s'entendait dauber de façons sans pareilles. Moi qui n'en avais dit jamais ni bien, ni mal, J'envisageais cela d'un plaisir sans égal, Voyant que les objets d'une telle satire Ne savaient s'ils devaient ou se fâcher, ou rire. Ce qui plus me charma, c'est qu'en ces entretiens Il berna les auteurs, et les comédiens, Et je les voyais là faire fort bon visage, Quoi qu'au fond de leur âme ils fussent pleins de rage. Admirez cependant comme quoi cet esprit Sait nous amadouer alors qu'il nous aigrit : Pour nous montrer combien son adresse est extrême, Nous donnèrent en suivant dans le tarte à la crème ; Afin que si quelqu'un s'en était mutiné, On vit que le berneur lui-même était berné : De sorte que chacun voyant son industrie, Tourna, quoique fâché, tout en galanterie, Et demeura d'accord, que pour plaire aujourd'hui, Il faut être Molière, ou faire comme lui."")",-,0.0
"('#le-marquis', 'Ah ! Comte, je te vois.')",-,0.0
"('#le-comte', ""Ici je me transporte Pour te voir, ayant vu ta calèche à la porte, Si bien que je pourrai, contentant mon désir, Du divertissement prendre encor le plaisir. Mais avant qu'on commence ici la comédie, Il faut que je te conte une histoire jolie, Dont Molière à causé la conversation, Et digne assurément de ton attention. Dernièrement étant à la contre-critique, Je reçus là, Marquis, un plaisir angélique. Comme de notre peintre on faisait le Portrait, Et que l'on le croyait tirer là trait pour trait, Tu sauras que lui-même en cette conjoncture Était présent alors que l'on fit sa peinture ; De sorte que ce fut un charme sans égal, De voir et la copie, et son original. On prit par tous endroits son École des femmes, Où pour la critiquer, quelqu'une de ces dames Alla dans ce moment appliquer tout son choix À l'endroit de la soupe où l'on trempe les doigts ; Puis de là ces Messieurs, d'une satire extrême, Donnèrent en suivant dans la Tarte à la crème ; Et le plus enjoué qu'ils drapèrent après, Ce fut celui du Le, ce charmant Le d'Agnès. Quoi n'est-ce pas malice à nulle autre seconde, D'oser blâmer ce Le, ce délice du monde ? Ce n'est pas encor tout, ils blâmèrent l'auteur Des pièces dont il a réveillé l'auditeur, Et de cette façon dont Alain et Georgette S'appellent l'un et l'autre, et que drapa le poète. Ce qui fut plus plaisant, c'est qu'un certain d'entre eux Dit que la pièce était un poème sérieux ; Que bien loin que ce fut une pièce comique, Qu'il ne s'en pouvait voir aucune plus tragique : Les autres de ce point ne restant pas d'accord, Il leur dit là-dessus: Le petit chat est mort, Et soutient hautement que c'était tragédie, Puisque le petit chat avait perdu la vie. Ayant de notre peintre attaqué la vertu, Quelqu'un lui demanda : Molière, qu'en dis-tu Lui répondit d'abord, de son ton agréable : Admirable, morbleu ! du dernier admirable ; Et je me trouve là tellement bien tiré, Qu'avant qu'il soit huit jours, certes, j'y répondrai."")",-,0.0
"('#le-baron', ""Mais l'on m'a dit à moi, qu'il fit à quelques dames La réponse qu'il fait à l'École des femmes, Lorsqu'il n'en riait pas assez à leur avis, Il leur dit : Moi j'en ris tout autant que je puis."")",-,0.0
"('#le-comte', ""Tu sauras que depuis cet illustre Molière Les a tous ajustés de la bonne manière, Et cet esprit en soi qui n'a rien que de haut, A su tailler beaucoup de besogne à Boursault."")",-,0.0
"('#le-chevalier', ""Moi, je sais bien où tend toute cette satire, Ces Messieurs n'ont dessein que de nous faire rire, Et quand vous les voyez se faire à qui pis pis, Ce n'est que pour avoir notre demi-louis."")",-,0.0
"('#le-portier', 'Monsieur, un gentilhomme est là qui vous demande.')",-,0.0
"('#le-comte', ""Marquis, pour lui parier il faut que je descende : Si je ne pouvais pas revenir en ce lieu, Je prends congé de toi jusqu'à ce soir."")",-,0.0
-,"('#clidamant', ""Que je serais à plaindre en l'état où je suis,  Si je ne t'avais pas pour dire mes ennuis. Apprends, mon cher Guillot, que j'aime Polixène,  Que ce charmant objet cause toute ma peine.  Et Lucidor son frère, aimant ma soeur aussi,  Nous pourrons, que je crois, nous rendre heureux ainsi."")",0.0
-,"('#guillot', ""Courage, nous voilà tous remplis d'amourette,  Lucidor aime Aminte, et son valet Lisette,  Vous aimez Polixène, et j'aime Béatrix,  À ce que je puis voir, nous sommes tous d'un prix. Mais ce n'est pas là tout ce qu'amour a su prendre. Vos deux pères, je crois, sont aussi pris du tendre ;  Car je les vois toujours ensemble conférer,  Et tout leur entretien n'est que de soupirer. Vous les verrez bientôt en ce lieu l'un et l'autre,  Parler de leur amour, daignez songer au vôtre,  Empaumez Lucidor, il doit venir ici,  Pour moi de Béatrix je fais tout mon souci. "")",0.0
-,"('#clidamant', ""Nos pères amoureux ? Cela n'est pas croyable,  Un Amant à leur âge, est toujours méprisable,  Les soupirs des vieillards sont soupirs superflus,  Ils ont beau soupirer, on ne les entend plus ;  Mais pour les jeunes gens il n'en est pas de même :  Enfin, tu sais Guillot, ma passion extrême... "")",0.0
-,"('#guillot', 'Et bien pour la savoir, en suis-je bien plus gras. ')",0.0
-,"('#clidamant', ""Non, mais j'espère bien que tu m'y serviras. "")",0.0
-,"('#guillot', ""C'est fort bien espérer. "")",0.0
-,"('#clidamant', 'Ne suis-je pas ton Maître ? ')",0.0
-,"('#guillot', ""Vous ne savez que trop me le faire connaître.  D'abord que quelque avis vous est donné par moi.  Coquin, me dites-vous, c'est bien à faire à toi,  De venir discourir, il vaudrait mieux te taire,  Ce faquin veut ici trancher du nécessaire,  Faire l'olibrius, cessez petit mignon,  De traiter avec moi de pair à compagnon,  Et gardez le respect d'une telle manière,  Que nous ne vivions plus tant à la familière ; Voilà le beau régal que me font vos discours ;  Mais alors qu'il vous faut servir dans vos amours,  Peste, que vous savez bientôt changer de note !  Vous vous radoucissez d'une façon bigote,  Cher Guillot, dites-vous, rien n'est égal à toi,  Tu mérites beaucoup, je t'aime plus que moi :  Quoique simple valet, tu ne tiens rien du rustre,  Mille perfections qui te rendent illustre,  Me font avoir pour toi tout à fait du penchant ;  Et puis quand vous avez fait le bon chien couchant,  Que vous croyez de moi n'avoir jamais affaire,  Vous m'envoyez au diable, et sans autre mystère :  Monsieur, je ne suis plus d'humeur à le souffrir,  Rêvez, mourrez d'amour, je vous verrai mourir. "")",0.0
-,"('#clidamant', ""Tu n'as point de pitié d'un Amant misérable ? "")",0.0
-,"('#guillot', ""N'en ayant point pour moi, je suis impitoyable. "")",0.0
-,"('#clidamant', 'Quoi, sans être touché tu verrais mon trépas ? ')",0.0
-,"('#guillot', ""Monsieur, je vous connais, que vous n'en mourrez pas.  La mort est un chemin qu'il nous faudra tous suivre ;  Mais pour mourir d'amour, vous aimez trop à vivre :  Vous me direz encor, je me meurs, bien des fois,  Pendant que je vous voie arriver aux abois ;  Vous êtes tous les jours près de quelque Maîtresse,  Faire le transi, l'Amant plein de tendresse,  Et puis tout aussi tôt qu'elle a le dos tourné,  Une autre qui survient vous rend passionné ;  Si bien que l'on vous voit mourir pour la dernière,  Comme vous aviez fait déjà pour la première :  Et vous ne trépassez jamais qu'en vos amours,  Monsieur, je crois ma foi, que vous vivrez toujours. "")",0.0
-,"('#clidamant', ""C'est bien à vous maraud, à me railler de même.  Savez-vous bien qu'après votre insolence extrême  Je devrais vous casser les jambes et les bras ? "")",0.0
-,"('#guillot', ""Vous m'obligerez fort en ne le faisant pas. "")",0.0
-,"('#clidamant', 'Parlant comme tu fais, je le devrais bien faire. ')",0.0
-,"('#guillot', ""Vous n'auriez puis après qu'à me mettre en galère  N'ayant jambes ni bras, je ramerais fort bien. "")",0.0
-,"('#clidamant', ""Tais-toi, double coquin, et ne me dis plus rien,  Je suis las d'écouter tes sottes railleries,  Finis donc promptement toutes ces momeries,  Et songe seulement que j'ai besoin de toi. "")",0.0
-,"('#guillot', ""Votre commandement fait ma règle et ma loi,  Je prétends vous servir en valet admirable,  Et suis autant à vous, qu'un Sergent est au Diable. "")",0.0
-,"('#clidamant', ""Paix-là, j'entends quelqu'un, viens-t-en prendre un billet,  Que tu feras tenir à mon aimable objet. "")",0.0
-,"('#lucidor', ""Ah ! Mon cher Ragotin, que l'amour me tourmente. "")",0.0
-,"('#ragotin', ""Monsieur, je crois plutôt que le Diable vous tente,  Depuis que votre Aminte enfin vous a parlé,  Vous êtes plus chagrin qu'un homme ensorcelé :  Vous ne sauriez durer un seul moment en place,  Vous allez devenir plus sec qu'une carcasse,  Et votre Ragotin plus maigre qu'un hareng ;  Monsieur, ne courons plus en Chevalier errant,  Demeurons en repos, j'aime aussi bien qu'un autre ;  Mais courir sans manger, il y va trop du nôtre : Encor alors qu'on a bien dîné, bien dormi,  On peut faire l'amour lors en diable et demi ;  Faites-le donc ainsi, c'est la belle manière,  Sinon nous nous voyons à notre heure dernière,  Nous allons trépasser, il n'est rien plus certain,  Car vous mourez d'amour, et moi je meurs de faim. "")",0.0
-,"('#lucidor', ""Est-on jamais gourmant... mais j'aperçois mon père,  Entrons, je t'instruirai de ce qu'il faudra faire. "")",0.0
-,"('#boniface', ""Amour, jeune insolent, petit enfant brutal,  Qui m'embrases le coeur ainsi qu'un arsenal,  Tu ranimes mon corps d'une naissante flamme,  Pourquoi venir encor t'emparer de mon âme ?  À mon âge, amoureux ! C'est sur le tard Jacquet ;  Eh quoi, ne suis-je pas un vieillard guilleret ? Portrait : de belle humeur ? De bonne compagnie ?  Qui peut donc empêcher que je ne me marie ?  Puis-je pas être encor par l'amour enchaîné,  Beau comme Cupidon ? Mais enfin c'est l'aîné,  Car je ne puis passer, quoi que je puisse faire,  Pour autre que l'aîné, si je ne suis son père ;  De sorte que j'ai beau paraître goguenard,  Je ne passerai plus que pour un vieux pénard ;  Si faut-il toutefois que dans ce jour je harpe,  L'objet qui m'a ravi, mais le vois Policarpe,  Que diable pourrait-il venir chercher ici ? "")",0.0
-,"('#policarpe', ""Amour, pourquoi viens-tu me donner du souci ?  Qui t'oblige, dis-moi, d'être si téméraire,  De me venir chercher ? Mais quel remède y faire ?  Ce n'est pas d'aujourd'hui que l'amour nous apprend  Qu'il n'épargne non plus le petit que le grand,  Puisqu'il est assuré qu'aussi bien il attrape,  Le vieillard que le jeune, et qu'aucun n'en échappe,  Je me console donc de m'en voir accablé ;  Me voilà, Dieu merci, pris comme dans un blé,  Et si je ne sais pas si ce qui m'a su prendre,  Aura bien la bonté de me vouloir entendre,  Boniface, qui peut vous amener ici ? "")",0.0
-,"('#boniface', ""C'est mon amour, et vous."")",0.0
-,"('#policarpe', ""Et c'est le mien aussi."")",0.0
-,"('#boniface', 'Vous êtes amoureux, ô mon cher Policarpe ? ')",0.0
-,"('#policarpe', ""L'amour nage en mon corps, comme dans l'eau la carpe."")",0.0
-,"('#boniface', 'Et moi, ce même amour dont je suis prisonnier,  Me trotte au corps aussi comme rats au grenier.')",0.0
-,"('#policarpe', 'Vous aimez donc bien fort ? ')",0.0
-,"('#boniface', 'Fort comme tous les diables.  Et vous, comme aimez-vous ? ')",0.0
-,"('#policarpe', 'Mes ardeurs sont semblables. ')",0.0
-,"('#boniface', 'Nous voilà donc tous deux amoureux comme il faut. ')",0.0
-,"('#policarpe', ""L'amour n'a point encor produit un feu si chaud. "")",0.0
-,"('#guillot', 'Voici le mois de Mai que les Ânes hennissent,  Car je crois que je vois deux qui se divertissent. ')",0.0
-,"('#boniface', ""Partons, j'entends quelqu'un qui nous pourrait troubler. "")",0.0
-,"('#policarpe', 'Cherchons quelque autre endroit où nous pouvoir parler. Ils sortent et Guillot demeure seul.')",0.0
-,"('#guillot', ""Comment donc ces vieux fous, cadets à barbe blanche,  Veulent tâter d'amour encore quelque tranche !  C'est bien à vous, ma foi, trop débiles Bardons,  De vous amouracher, froids comme des glaçons.  Ah ! Monsieur Policarpe, et monsieur Boniface,  Pour de l'amour, je crois que l'on vous en fricasse.  Cessez donc vos ardeurs, car il est peu d'objets,  Qui veuillent s'enrôler avec de tels cadets.  Et qui diable seraient les pauvres créatures,  Qui se voudraient charger de vos vieilles fressures,  Celles qui vous auraient feraient tous leurs efforts  À vous faire passer promptement chez les morts.  Messieurs les Roquentins, si vous m'en voulez croire,  Loin de faire l'amour, amusez-vous à boire :  Le bon vin, ce dit-on, est le lait des vieillards  Buvez-en votre saoul, plutôt qu'être cornards,  Car un vieillard qui prend une jeune fillette,  De syndic de cocus une charge il achète.  Le vieillard pourrait-il jamais s'en exempter,  Si le jeune homme même a peine à l'éviter ?  Non, demeurons d'accord dans cette conjoncture,  Que quiconque en échappe, est aimé de Nature. "")",0.0
-,"('#ragotin', 'Serviteur. ')",0.0
-,"('#guillot', ""Dieu te gard, qui t'amène en ce lieu ? "")",0.0
-,"('#ragotin', ""Désires-tu l'apprendre ? "")",0.0
-,"('#guillot', ""Et je t'en prie. "")",0.0
"('#le-marquis', 'Adieu.')","('#ragotin', 'Adieu.')",1.0
