,mareschala-genereuse-allemande,mareschala-genereuse-allemande-2,Cost,Operation Type
10,"('#aristandre', 'Moqueur, et que dis-tu ? ')","('#coryleon', ""Un Tyran, je l'avoue, et même à l'amitié ;  J'aime son innocence, et je la veux détruire,  Ce Soleil m'éblouit à force de me luire ;  Je souffre tous les maux que je lui fis souffrir,  Ils blessent ma mémoire, et s'y viennent offrir ;  Qu'ils me pèsent au coeur, et qu'ils me chargent l'âme !  L'oserais-je plus voir ? Ô bourreau de ta femme !  Ah ! Qu'à ma volonté le temps pût revenir !  C'est assez du présent, je l'ai pour me punir ;  Çà, qu'on m'apprête ici poison, feu, fer, et peste ;  Il faut mourir, le jour ne m'est plus que funeste. "")",1.53,Substitution
11,,"('#cloriande', 'Au contraire, il faut vivre, et laisser le destin… ')",1.0,Deletion
12,"('#adraste', 'Que la galanterie  Dans ces mensonges vains… ')","('#coryleon', ""Le louer ? Lui, qui m'est si cruel, et mutin. "")",1.35,Substitution
13,"('#aristandre', ""Arrête, brisons-là,  Épargne ton Ami, n'achève point cela ;  Si de cette parole à demi proférée  Mes esprits sont troublés, mon âme est altérée,  Que crois-tu l'achevant me donner que la mort ? "")","('#cloriande', ""Lui, qui tout complaisant désormais vous présage,  Tous ces vents apaisés, un calme après l'orage,  Qui vous rendra ma Soeur, ainsi que je le crois,  Plus chère après l'épreuve et l'honneur de sa foi :  Il faut recommencer un nouvel Hyménée,  Qu'à ce jour la douleur s'en aille terminée,  Que la joie à son tour succède à nos ennuis,  Qu'un beau jour chasse enfin tant de fâcheuses nuits ;  Même il faut, pour laisser ainsi toute matière  De douleur, de discorde, et de peine en arrière,  Qu'Aristandre, qu'un sort ici tient arrêté,  Reprenne en cette paix l'air, et la liberté ;  Ravie injustement, doit-on pas la lui rendre ?  Quelle loi ne permet enfin de se défendre ?  Lui, pour des Assassins indignement souffrir ?  Il le faut délivrer, que rien ne puisse offrir  À nos yeux, du passé la sanglante mémoire,  Que de ces mauvais jours on enterre l'histoire,  Que tout désordre éteint, on rende à cette Cour,  (Ma Soeur y revenant,) son éclat et son jour. "")",0.09,Substitution
14,"('#adraste', ""Vraiment vous remettez à bien peu votre sort !  Aristandre, qui fut le Démon des alarmes,  De qui tout le Danube a redouté les armes,  S'est-il fait voir au Turc, comme un Mars endurci,  Pour rendre lâchement l'âme et le coeur ici ?  L'Allemagne en repos, que Prague vous arrête ?  Quelle honte ! En ce temps que la guerre s'apprête  Où Maximilian votre Maître, mon Roi,  Dans les feux et le sang vous a vu sans effroi ?  Que diront les Hongrois ? surtout notre Pologne ?  Que vous manquez aux coups, que la peur vous éloigne ;  Changez, mieux avisé, ces desseins en meilleurs ;  Ce coeur n'est plus à vous, vous le devez ailleurs. "")","('#coryleon', ""Son jour ? Il ne se peut, je ne saurais lui rendre  Que par une autre nuit, seulement dans ma cendre  Ma faute se pourrait dignement effacer ;  Je ne la saurais voir, il n'y faut plus penser ;  Toutefois qu'on l'appelle ; il faut même à sa vue,  Pour guérir sa douleur, que la mienne me tue ;  Oui, faites-la venir, sa pitié jugera  Quel fut mon désespoir, quand il la vengera. "")",0.39,Substitution
15,,"('#cloriande', ""Non pas, mais pour rejoindre ensemble vos deux âmes,  Renouer de vos jours en une les deux trames ;  Je vais vous l'amener.  Que je travaille bien !  Pour le tien, cher Amant, je me sers de son bien.  Parlant bas, et s'en allant."")",1.0,Deletion
16,"('#aristandre', ""Hélas ! Que tu dis vrai ! Mais j'entends d'une sorte…"")","('#coryleon', ""Rassure-toi, mon coeur ; son retour le demande  Ah ! Que je le désire, et que je l'appréhende !  Non, jamais ses beaux yeux ne riront plus aux miens,  Et je verrai ma mort écrite dans les siens ;  Ses appas les plus doux porteront leurs atteintes !  Ses regards parleront, et me feront des plaintes ;  Pardonne-moi, ma Vie, et vois mon repentir,  Qui fait de mes regrets tous ces lieux retentir ;  Je mourrai, si tu veux, pourvu que tu l'ordonnes,  Pourvu qu'auparavant, mon Coeur, tu me pardonnes,  Je ne fuis point le coup, je n'attends que cela.  Mais on vient, et que veut l'Écuyer que voilà ? "")",0.72,Substitution
17,,"('#un-ecuyer', ""Je vous viens, Monseigneur, présenter ce beau gage,  Qu'à peine j'ai tiré d'entre les mains d'un page ! "")",1.0,Deletion
18,,"('#coryleon', ""Cette bague ? D'un page ? Et de qui ? "")",1.0,Deletion
19,,"('#un-ecuyer', 'De Persin. ')",1.0,Deletion
20,"('#adraste', 'Qui blesse vos vertus, les perd et les emporte. ')","('#coryleon', 'Ah ! Le petit voleur ! Je connais son larcin ;  La bague est à ma femme, il aura pu lui prendre. ')",1.6,Substitution
21,,"('#un-ecuyer', ""Non, Monseigneur, il l'a d'un page d'Aristandre. "")",1.0,Deletion
22,"('#aristandre', 'Et quoi ? Que me peut-on de lâche reprocher ? ')","('#coryleon', ""D'Aristandre ? Et comment ? "")",1.07,Substitution
23,"('#adraste', ""Que l'honneur des combats ne vous est plus si cher,  Que vous laisser passer la saison de la guerre,  Qu'étant né pour les Cieux, vous n'aimez que la terre ;  Que de languir, (et fût-ce au sein d'une Junon)  C'est trahir votre gloire, offenser votre nom ;  Cependant qu'autre part l'occasion est belle,  Que toute la Hongrie en armes vous appelle,  Que l'Europe remue, et s'apprête aux efforts  Qui raviront au Turc le Danube et ses bords,  Que la fière Pologne, et la forte Allemagne  Ont mis tous leurs Héros, et leur force en campagne  Où plein d'ardeur je vais, suivi de mes guerriers,  Rendre mon Roi jaloux de mes propres lauriers :  Sans vous le puis-je faire ? Est-ce ainsi que l'on m'aime ?  Vous laisser, et partir, c'est marcher sans moi-même :  Frères d'armes toujours aux coups plus hasardeux,  L'honneur et le péril communs entre nous deux,  Quoi ? Ne devons-nous pas vivre et mourir ensemble ? "")","('#un-ecuyer', ""Cette infernale nuit  Que Vachles pour se perdre éleva tant de bruit,  Vers le petit Persin ce Page se retire ;  Toute la Cour en trouble, eux ne s'en font que rire,  Ils traînent jusqu'au jour cette nuit en jouant,  Jusqu'à ce que Persin d'un esprit patient  Lui gagne son argent, et cette bague encore ;  L'autre désespéré, que le malheur dévore,  Veut reprendre sa bague, ils se mettent en feu,  Ils s'outragent l'un l'autre à la fin de ce jeu ;  J'arrive sue les coups, je frappe, et les sépare ;  Je leur tire l'anneau : mais le jugeant très rare,  Monseigneur, je vous suis venu le présenter. "")",0.35,Substitution
24,"('#aristandre', 'Tu me presses, Adraste, un peu trop, ce me semble. ')","('#coryleon', ""Croirai-je mon soupçon qui revient me tenter ?  Mais non, tu ne te rends subtil qu'à mon martyre,  Ingrat, méchant esprit. "")",0.85,Substitution
25,"('#adraste', 'Que me devez-vous moins, à vous, à notre Roi ? ')",,1.0,Insertion
26,"('#aristandre', ""De Roi je n'ai qu'Amour ; de devoir que sa loi. "")","('#un-ecuyer', ""J'oubliais à vous dire  Qu'en se fouillant l'un l'autre et se faisant courber,  Je vis au milieu d'eux cette lettre tomber ;  Je la prends aussitôt : voyez, elle s'adresse,  Et n'est pas sans dessein écrite à la Princesse. "")",1.25,Substitution
27,"('#adraste', ""Que cette passion vous ait fait dans ses charmes  Oublier votre Roi, vos devoirs, et vos armes ?  Qu'elle passe au-dessus de toute ambition ?  Qu'appelle-t-on cela ? Folie, ou passion ? "")","('#coryleon', ""Donne, retire-toi.  Que je suis curieux !  Mon coeur impatient est jaloux de mes yeux.  On signe ici ma mort sous le nom d'Aristandre.  L'AMOUR. Après ce mot, ô Dieu ! Que dois-je attendre ?  Toutefois avalons le reste du poison.  L'AMOUR, et vos désirs ont forcé la raison,  L'ambition cède à vos larmes,  Je viens de rompre la prison,  Pour n'avoir désormais que celle de vos charmes.  Je reviens par devoir, et par nécessité  Reprendre où je laissai la vie,  Jouir d'une félicité  Qui surpasse mon sort, et non pas mon envie.  Il redit ces deux Vers en cette sorte.  Reprendre où tu laissas la vie ?  Jouir d'une félicité ?  C'est trop, malheureux Prince, à quoi lire le reste ?  Un mot dit tout mon mal, à la fin cette peste  Qu'un traître sein couvait, s'étend et se fait voir,  Tu m'as trahi, méchante ! Ô rage ! Ô désespoir !  Éclate, ma fureur, je vois que tu te joues,  Sus, apprête des feux, des potences, des roues,  Invente à cette fin des supplices nouveaux,  Qu'on me fasse venir des fers, et des bourreaux :  Que n'ai-je votre esprit, Cannibale, Buzyre,  Pour trouver à mon choix quelque nouveau martyre !  Çà, je me veux baigner les mains dedans leur sang,  Oui, je leur veux porter le couteau dans le flanc :  Non, ce coup est trop prompt et trop doux, ce me semble :  Je veux que de leurs mains ils s'égorgent ensemble ;  Qu'ils se mangent les yeux l'un de l'autre. Ah ! Voici  Ma paillarde, qui vient d'un oeil tout éclairci,  J'y vois même à travers la luxure, et sa flamme :  Effrontée, impudique, et tu parais, infâme ?  En ouvrant la lettre. Il regarde à la signature au bas, et dit. Il commence à lire, et s'arête au premier mot. LETTRE D'ARISTANDRE À ROSELINE."")",0.18,Substitution
28,,"('#cloriande', ""Dieu ! Qu'entends-je ? Mon Frère, êtes-vous hors du sens ? "")",1.0,Deletion
29,,"('#coryleon', ""Non non, j'y suis rentré. "")",1.0,Deletion
30,"('#aristandre', ""Tous les deux si tu veux ; mais crois que ma folie  Du moins est celle-là dont le Sage se lie,  Qu'en naissant la Nature en nous laisse couver  Comme un instinct, qui doit par nous la conserver ;  S'il faut faire une erreur, pour montrer qu'on est homme… "")","('#roseline', ""Dans l'enfer je descends,  Ce front injurieux sans autre fer me blesse ;  Ah ! Ma Soeur, est-ce ainsi ? "")",0.69,Substitution
31,"('#adraste', ""La plus belle sera celle qui vous consomme ?  Sans doute vous mettrez cette aventure au rang  De celles qu'on achète aux dépens de son sang. "")","('#coryleon', 'Viens, approche Tigresse ;  Fais venir ton mignon, ce Narcisse si beau,  Je veux cous marier avec cet anneau. ')",0.93,Substitution
32,,"('#roseline', ""Qu'ai-je vu ? C'est ma bague ; hélas ! Je suis perdue. "")",1.0,Deletion
33,,"('#cloriande', ""Quel soudain changement ? Qu'en peu d'heure est fondue  L'espérance plus belle ! "")",1.0,Deletion
34,,"('#roseline', 'Ô sort trop inhumain ! ')",1.0,Deletion
35,,"('#coryleon', 'Viens lire cette lettre, en connais-tu la main ?  Et bien, après cela que faut-il que je fasse ? ')",1.0,Deletion
36,,"('#roseline', ""Me tuer, hâtez-vous, c'en est fait, je trépasse ;  Ô douleur ! Ô martyre ! Ô rage ! Ô Cieux maudits !  Prenez, coupez mes jours de tant de maux ourdis ;  Adieu, ma chère Soeur. "")",1.0,Deletion
37,,"('#coryleon', ""Oui, vite, qu'on l'emmène :  Holà, quelqu'un ici ;  Qu'au supplice on la traîne,  Que l'on dresse un bûcher, qu'on fasse un échafaud,  Qu'on massacre, qu'on brûle… Ah ! La voix me défaut,  Mais non pas la fureur, mais non pas le courage ;  Allons reprendre vent pour achever l'orage.  L'Écuyer accourt avec quelques autres qui l'emmènent."")",1.0,Deletion
38,"('#aristandre', ""Encore bien plus haut, si tu le sais comprendre ;  Puisque je le voulais à cela tout répandre,  Que pour gagner ce bien que mon espoir attend  J'exposerais cent coeurs, si j'en avais autant,  Je tendrais pour victime et ces bras, et ma vie. "")","('#cloriande', ""Dieux ! Que ce vent doit faire un violent effort !  Que la prudence est vaine où préside le sort ! Que ma subtilité rencontre ici d'obstacles !  N'importe ; s'il ne faut que faire des miracles,  Pour trouver, Aristandre, à tes maux une fin,  Me voilà résolue à vaincre le destin :  Je sais que cet orage éclate à ta ruine ;  Mais aussi l'on saura que parmi la bruine  Le Soleil quelquefois luit aux lieux qu'il chérit,  Que l'Amour n'est puissant, ni Dieu, qu'en mon esprit ;  Et que pour te sauver je me tiens assez forte,  Fusses-tu dans l'Enfer, pour t'en ouvrir la porte. "")",0.04,Substitution
39,"('#adraste', ""Encore d'où vous vient une si belle envie ? "")",,1.0,Insertion
40,"('#aristandre', ""D'un lieu, comme le Ciel, où l'on va par des voeux. "")","('#aristandre', ""À la fin je respire après tant de travaux,  Un espoir assuré dissipe tous mes maux ;  J'éprouve en mon malheur qu'il n'est rien qui ne serve,  L'amour ici me perd, et l'amour me conserve :  Celle dont j'ai souvent rejeté l'amitié,  Ne l'ayant pu d'amour, m'oblige de pitié ;  Son courage amoureux plus fort que mon offense  A prévenu mes voeux, on s'arme à ma défense,  Je pense qu'elle veut mon salut plus que moi ;  Par elle ma prison est remise à ma foi,  Et le Prince qui n'a de créance qu'en elle  Perd sa haine envers moi, qui la crus éternelle ;  Ici j'ai pour prison la Cour, et le Château,  Lieu de captivité qui ne m'est pas nouveau ;  La Cour n'est-elle pas au plus libre un servage,  Une prison superbe, un honnête esclavage ?  Ah ! Que j'y trouverais mes désirs satisfaits,  N'était que ma Camille ignore ces effets :  Auprès de l'Empereur elle poursuit ma grâce ;  Mon amour voit ses pleurs, et la suit à leur trace,  J'entends tous ses soupirs du lieu même où je suis,  Avec elle je marche, et sens tous ses ennuis ;  Elle insiste, je presse, elle implore, je prie.  Mais je m'afflige en vain dans cette rêverie ;  Le Ciel en fin se change, il flatte ses malheurs,  Je trouve les plaisirs au milieu des douleurs,  Et ma captivité sans puissance ni charmes  Ôte à mes ennemis la rigueur et les armes :  Jamais plus de douceur ne suivit tant de bruit,  Ni jamais plus beau jour une si noire nuit ;  Amour fit cet orage, et lui-même l'apaise. Mais ma Garde revient, il faut que je me taise. Ami, que je dirai compagnon de mon sort,  Et bien, que fait le Prince ?  L'Exempt et ses Gardes arrivent."")",1.15,Substitution
41,,"('#l-exempt', ""Il signe votre mort,  Et son commandement qui porte une tempête  Ordonne qu'un cachot lui garde votre tête. "")",1.0,Deletion
42,"('#adraste', ""Mais plutôt d'un Enfer, où l'âme est dans les feux. "")","('#aristandre', 'Ah ! Cruel, ah ! Perfide ; Est-ce là cette foi ?  Cieux ! Me réserviez-vous à ce dernier effroi ?  Quel est ce monument ? Dites, que je sache. ')",0.92,Substitution
43,"('#aristandre', ""Et ces feux ne sont rien qu'un fleuve de délices. "")","('#l-exempt', ""Les Grands ont des secrets que la prudence cache ;  Moi, j'y ferme les yeux, et n'en ai seulement  Qu'à vous conduire… "")",1.45,Substitution
44,"('#adraste', ""Oui, si l'on veut nommer voluptés, les supplices. "")",,1.0,Insertion
45,"('#aristandre', 'Agréables tourments, de plaisirs couronnés ! ')","('#aristandre', ""Hélas ! Dans mon triste élément ;  Il est vrai, mon destin ne me laisse à cette heure  Pour espoir que la mort, qu'un cachot pour demeure :  Ô Dieux ! Qu'un peu de temps change les jours en nuits !  Que le plus grand plaisir est voisin des ennuis ! "")",0.96,Substitution
46,"('#adraste', 'Frénétique fureur de voeux désordonnés ! ')",,1.0,Insertion
47,"('#aristandre', ""Mais, lorsqu'un voeu nous lie, honnête et légitime ? "")","('#l-exempt', 'Suivez-nous. ')",0.97,Substitution
48,"('#adraste', ""Ah ! C'est lors qu'on devient d'esclave une victime. "")","('#aristandre', ""Que ce n'est déjà même au supplice  Tu me dois suivre, Amour, comme étant mon complice. "")",1.0,Substitution
