,biancollelli-arlequin-gentilhomme,mongin-promenades-de-paris,Cost,Operation Type
10,"('#arlequin', ""La conversation sera, ma foi, jolie,  De grâce, cher Pierrot, soyez plus indulgent,  Le moyen de payer quand on est sans argent,  Je n'ai pas un denier, je me mets à la mode,  Et des gens du grand air j'observe la méthode,  Payer ce que l'on doit est du dernier bourgeois,  Mon ami, lui dit-on, venez une autre fois,  Il retourne, on lui tient toujours même langage,  Le pauvre malheureux fait en vain ce voyage.  L'homme de qualité qui ne veut point payer,  Conduit jusqu'aux degrés le morne créancier ;  C'est ainsi qu'aujourd'hui on acquitte ses dettes  Et Messieurs les Marchands sont traités en grisettes,  On leur trouve d'abord de merveilleux appas,  Quand on s'est servi l'on en fait peu de cas. "")","('#scaramouche', 'Vous allez voir.  Voici de quoi nous métamorphoser.  Il déshabille Octave, et le met en garçon de cabaret.')",1.28,Substitution
11,,"('#octave', ""Qu'est-ce donc que cela signifie ?"")",1.0,Deletion
12,"('#colombine', 'Ta comparaison cloche, il faut me satisfaire. ')","('#scaramouche', ""Laissez-moi faire de grâce. Scaramouche s'habille ensuite."")",1.34,Substitution
13,,"('#octave', ""Mais as-tu perdu l'esprit ?  Dis-moi donc à quoi bon cette mascarade ?"")",1.0,Deletion
14,"('#arlequin', ""L'honneur me le défend et je ne puis le faire,  J'ai le coeur noble et fier, connaissez Arlequin. "")",,1.0,Insertion
15,"('#pierrot', 'Vous êtes, je le sais, Gentilhomme faquin,  Mais du moins mon ami laissez-nous quelque gage. ')","('#scaramouche', ""Je m'en vais vous l'apprendre.  Mais voyons auparavant si vous saurez bien jouer votre rôle.  Criez-vous bien : Duquel, Meilleurs ?  Du Champagne ?  Du Bourgogne ?  À huit ?  À dix ?  À quinze ?  À trente ?  Holà, on y va.  Savez-vous courir, mentir, et vous enivrer au buffet ?  Voilà un garçon de cabaret depuis les pieds jusqu'à la tête."")",0.67,Substitution
16,"('#arlequin', ""Je ne puis vous donner qu'un morceau de fromage,  Que je garde avec soin depuis plus de dix ans,  Et je fais sur moi-même un effort des plus grands,  En vous abandonnant ce trésor plein de charmes  C'est lui seul dont le goût dissipe mes alarmes,  Lorsque je suis chagrin, inquiet, agité,  Je n'ai qu'à le sentir pour ma tranquillité.  Je le mets pour dormir la nuit sous ma paillasse  Et je ronfle en repos quelque bruit que l'on fasse  Quand même vingt canons péteraient à la fois,  Jamais malgré ce bruit je ne m'éveillerais.  Mais je vois bien qu'il faut répondre à votre envie,  Fromage de Milan, délice de ma vie,  Lénitif de mes maux, aimable cordial,  Rare et friand boucon, élixir pectoral,  Passez dans d'autres mains puisque du sort barbare,  L'injurieuse loi pour jamais nous sépare,  Recevez, cher Pierrot, ce bijou précieux,  Dont la perte de pleurs grossit mes petits yeux.  Il dit ce qui suit d'un ton tragique."")","('#octave', 'Mais encore un coup, à quoi bon me déguiser en garçon de cabaret, et que dira le cabaretier de Calmar, si...')",1.09,Substitution
17,"('#pierrot', ""Il est bon là ma foi, que veux-tu que j'en fasse ?  Cette plaisanterie est de mauvaise grâce,  Nous voulons de l'argent tout au plus tard demain,  Sinon sur le collet on te mettra la main,  Cherche un expédient pour te tirer d'affaire. "")","('#scaramouche', ""Ce cabaretier est de mes amis ; et pour voir Élise, et se moquer de Calmar, il n'y a point de déguisement plus favorable.  Mais chut, j'entends quelqu'un, suivez-moi, sauvons-nous vite."")",0.72,Substitution
18,,"('#elise', 'Grâce au Ciel, Colombine, en ce sombre bocage Nous voici tous deux sans chapeau.')",1.0,Deletion
19,"('#colombine', ""Je te l'ai déjà dit, songe à me satisfaire  C'est le plus sûr moyen pour sortir d'embarras,  Il me faut du comptant. "")","('#colombine', ""Que peu de filles de votre âge Remercieront le Ciel d'un pareil avantage ! Mais puis donc qu'en effet nous sommes sous l'ormeau, Sans fâcheux, au frais ? À l'ombrage ; Tandis que notre Chicanneau, Notre Monsieur_Calmar met ordre à son cadeau, Qu'il fait chauffer les plats, rafraîchir les bouteilles, Et que de ses doux yeux vous êtes à couvert, De cedit sieur Calmar parlons à cour ouvert."")",1.21,Substitution
20,,"('#elise', 'Colombine, tout deux, les murs ont des oreilles.')",1.0,Deletion
21,"('#arlequin', ""Et n'en avez-vous pas ?  Pourquoi m'en demander ? "")",,1.0,Insertion
22,"('#pierrot', ""C'en est trop ventrebille,  J'entre en fureur, allons femme, rossons ce drille.  Pierrot et Colombine frappent Arlequin."")","('#colombine', ""Mais ce bois n'en a point, il est sourd et muet. Le Bois_de_Boulogne est discret ; Et l'on aurait bien de quoi rire, Si ces échos et ces oiseaux Chantaient et redisaient ce qu'ils entendent dire Mais tout se tait sous ces ormeaux ; Et ce que tous les jours un chacun leur confie, Marque assez qu'il faut qu'on s'y fie. Parlons donc net. Calmar qui vous fait les yeux doux, Vous touche-t-il un peu ? Plaît-il ? Qu'en pensez-vous ? Pour lui, tout ce qu'il fait dit assez ce qu'il pense."")",1.14,Substitution
23,"('#colombine', 'Pour moi je le veux bien je frappe de bon coeur. ')",,1.0,Insertion
24,"('#arlequin', ""Est-ce ainsi qu'aujourd'hui l'on traite un débiteur ?  Je recevrais le double avec grande constance,  Si de ce que je dois vous donniez quittance. "")",,1.0,Insertion
25,"('#pierrot', 'Oh, tu gagnerais trop, et moi je perdrais tout. ')",,1.0,Insertion
26,"('#arlequin', 'Par ma foi vous poussez ma complaisance à bout. ')","('#elise', ""À son amour pourtant j'impose assez silence."")",1.2,Substitution
27,"('#colombine', ""Il nous faut de l'argent, adieu maligne bête. "")",,1.0,Insertion
28,"('#arlequin', 'Peut-on vous refuser, vous êtes trop honnête ? ')",,1.0,Insertion
29,"('#arlequin', ""Je me trouve à présent dans un piteux état,  Que ferai-je ? Endossons un habit de soldat...  Non pas c'est mal penser, le canon m'épouvante  Ce bruit alarme trop mon oreille tremblante,  D'ailleurs je ne prétends courir aucun hasard,  Car la valeur et moi, nous faisons pot à part.  Choisissons un métier lucratif et facile,  Où je puisse accorder l'agréable et l'utile ;  Celui de ne rien faire est un emploi charmant,  Morbleu que je saurais l'exercer noblement !  Mais pour le soutenir quoiqu'il puisse me plaire  Il faut avoir du fond, ce n'est pas mon affaire.  Faisons-nous Avocat, c'est un joli métier,  Il ne faut que mentir, supposer et crier,  Dire des faussetés, car c'est là la méthode,  Citer mal à propos un passage du code...  Non, non, il faut longtemps arpenter le Palais,  Avant que les plaideurs tombent dans les filets.  Devenons Procureur... j'ai trop de conscience  Il faut pour chicaner beaucoup d'expérience.  Financier... cet emploi partout est révéré,  Non celui de Jasmin est son premier degré.  Médecin ou Bourreau l'un vaut l'autre, il n'importe,  Je renonce à ce nom, ou le Diable m'emporte,  J'ai le coeur trop humain, et je ne pourrais pas  Voir chérir l'ignorant et vivre du trépas.  La charge de voleur me serait convenable,  Je suis adroit, subtil, alerte comme un Diable.  Je suis fou d'aspirer au titre de voleur,  Puisque je ne veux pas devenir Procureur.  Que choisirai-je donc pour sortir de misère ?  Item il faut manger la chose est nécessaire,  Devenons Procureur... j'ai trop de conscience  Il faut pour chicaner beaucoup d'expérience.  Financier... cet emploi partout est révéré,  . . . . . . . . . . . .  Faisons-nous bel esprit, il est beau d'être auteur...  Encore moins, j'aime mieux l'emploi de crocheteur.  En voici la raison. Dans le siècle où nous sommes,  Les savants sont toujours de misérables hommes,  Qu'ils fassent de beaux vers, ils n'en sont pas moins gueux,  Et l'heure du dîner ne sonne pas pour eux.  Mais un bon crocheteur après son rude ouvrage  Trouve dans son taudis, son bouilli, son potage.  Juvénal nous apprend qu'un poète fameux  Quoiqu'il soit estimé n'en est pas plus heureux. "")","('#colombine', ""Point trop, et cet amour qui vous fait régaler, Qui pour vous divertir ne trouve aucun obstacle, Qui vous donne concert, fête, bal, et spectacle, Tout cela parle assez, et fait assez parler ; Et dés-lors qu'une fille est riche, jeune, belle ; Que comme vous enfin elle est maîtresse d'elle, Et celle d'un nombre d'amants, Elle fait bien des médisants."")",0.4,Substitution
30,,"('#elise', 'Et que pourrait de moi dire la médisance ?')",1.0,Deletion
31,"('#geronte', ""Tous mes voeux sont comblés, et ma joie est extrême  D'avoir pu contenter une fille que j'aime.  J'ai pour elle fait choix d'un époux accompli,  Qu'elle aimera sans doute étant bien fait, poli,  Enfin je m'applaudis d'avoir un pareil gendre,  C'est le fils de Damon, on le nomme Léandre.  Chacun connaît son bien et sa condition,  Son père est pour le moins riche d'un million. "")","('#colombine', ""Mon_Dieu ! Calmar et sa dépense Donnent carrière à son caquet. Tenez, vous aurez beau prôner pour votre gloire, Que Calmar avec vous file un amour parfait, On ne voudra jamais le croire, Et par tout aujourd'hui l'on sait, Et cela par expérience, Qu'en amour comme à l'audience Les Gens de Robe vont au fait. C'est un terrible amant qu'un amant libéral. Je veux que sans l'aimer vous en soyez aimée. Je veux qu'à votre cour il ne soit point fatal, Il l'est à votre renommée. Nul en vain, dira-t-on ; ne répand ce métal Si l'on vous donne, il faut que vous donniez de même, C'est pour recueillir que l'on sème, Et Calmar, cet original, Loin de croire qu'à l'or votre cour se révolte, Cet amant se croit tous les jours À la veille de sa récolte."")",0.31,Substitution
32,"('#le-docteur', ""Permettez, cher ami, que je vous félicite  Je ne puis qu'admirer votre sage conduite,  Comme je suis votre seul confident,  Je vous ai reconnu pour un homme prudent.  Le juste ciel protège un père de famille,  Quand avec avantage il établit sa fille,  La fortune m'a moins favorisé que vous,  J'attends de jour en jour pour la mienne un époux  Il est, je l'avouerai, moins riche que Léandre,  Mais d'un engagement je n'ai pu me défendre,  C'est le fils de Philinte, homme de qualité,  Avec ce bon vieillard j'ai déjà contracté.  Il ne peut lui donner que mille écus de rente,  Quoiqu'il en soit ma fille en doit être contente.  La vôtre jouira d'un plus heureux destin,  Ce choix avantageux rend son bonheur certain  Il réussit en tout au gré de son envie,  Sa fille pouvait-elle être mieux établie !  Bas."")","('#elise', ""Oh, je veux, s'il se peut, qu'il s'y croie toujours, Ou que de ce Calmar la flamme soit dupée, Jusqu'à ce que l'hiver m'ait ramené l'épée. C'est ainsi qu'autrefois Pénélope si sage Jusqu'au retour de son époux, Abusait et jouait les fous Qu'elle tenait en esclavage."")",0.63,Substitution
33,"('#geronte', ""Un mari jeune, aimable, et de plus opulent,  A pour charmer sa femme un merveilleux talent  Enfin tout est conclu je n'ai plus rien à craindre  Vous de votre côté vous n'êtes pas à plaindre,  Dans nos projets formés nous sommes fort heureux,  Cette affaire nous va rajeunir tous les deux.  Mais j'ose vous prier de me rendre un service. "")","('#colombine', ""Il est vrai, Pénélope eut dit-on cette gloire : Mais la belle eut filé plus doux, Si parmi ses amants elle eût eu comme vous Gens de Finance et d'Écritoire. Mais à juger de vous par vos raisonnements, L'on vous croirait de ces femmes habiles, Qui pour mieux duper leurs amants, Leur semblent des vertus faciles ; Donnent de l'espoir au désirs ; Répondent aux douces paroles: Et quand pour vous et vos plaisirs Un Amant, par exemple, a semé des pistoles, Qu'ensuite à la récolte il souhaite venir ; Sans rien accorder ni permettre, On sait toujours lui tout promettre, Et jamais ne lui rien tenir."")",0.07,Substitution
34,,"('#elise', ""Oui, Colombine, en ce siècle où nous sommes C'est ainsi qu'on mène les hommes."")",1.0,Deletion
35,"('#le-docteur', 'Ne me pas éprouver est me faire injustice. ')",,1.0,Insertion
36,"('#geronte', ""De meubles je n'ai pas grande provision,  Vous savez que jamais je n'eus d'ambition,  J'ai toujours pris plaisir à garder ma finance,  Dans la crainte de faire une folle dépense.  Pour recevoir mon gendre un peu plus noblement,  Je voudrais lui meubler un grand appartement,  J'aurais besoin d'un lit, d'une tapisserie,  De vases, de miroirs, prêtez-moi je vous prie. "")","('#colombine', ""Non, les hommes qu'on mène ainsi Ne sont plus de ce siècle-ci. Les hommes aujourd'hui sont à l'égard des belles, Ce que sont les pêcheurs à l'égard du poisson ; Si vous ne mordez pas d'abord a l'hameçon, Si vous les amusez, ou faites les rebelles, Et les galants et les pêcheurs S'en vont jeter leur plomb ailleurs."")",0.99,Substitution
37,"('#le-docteur', ""Disposez librement de toute ma maison,  J'ai des meubles chez moi pour plus d'une saison,  Envoyez-moi des gens pour porter le bagage  Et si vous en voulez encore davantage,  Croyez que j'ai, mon cher, de quoi vous contenter,  Et sur moi vous pouvez entièrement compter. "")","('#elise', ""Ces pêcheurs des poissons peuvent n'être pas dupes. Un homme vient à bout de tous les animaux. Mais l'animal portant coiffes et jupes, Le fait toujours donner dans ses panneaux."")",1.42,Substitution
38,"('#scaramouche', 'Quel vertigo vous prend, mon très illustre maître,  Vous demeurez ici sans vous faire connaître,  Géronte vous attend, que ne le voyez-vous ? ')","('#colombine', ""Hé bien, tous vos amants sont dupes, je me rends. Mais de Léandre encor faut-il qu'il vous souvienne, Si pleurant votre absence à la Guerre, il apprend  Qu'on veut vous guérir de la sienne."")",0.81,Substitution
39,,"('#elise', 'Léandre de Calmar peut-il être jaloux ?')",1.0,Deletion
40,"('#leandre', ""Hélas ! Il troublerait les plaisirs les plus doux,  J'adore, tu le sais, la charmante Isabelle,  Ne blâmez point, mon cher, une flamme si belle. "")","('#colombine', ""Non, mais d'Octave il pourrait l'être. Mais à propos d'Octave, oh ça, qu'en pensez-vous ? Il vous aime, et ses yeux, les soins, ses billets-doux Vous l'ont fait assez bien connaître."")",0.61,Substitution
41,"('#scaramouche', ""Je ne vous comprends pas, vous moquez-vous des gens ?  Peste des amoureux, ils perdent le bon sens :  Vous n'en usez pas bien, fi, fi, c'est une honte  Vous devez épouser la fille de Géronte,  Vous partez de Paris remplis de ce dessein.  Je crois que vous venez pour lui donner la main  Et quand vous arrivez malgré votre parole,  Vous vous amourachez d'une petite folle ;  Monsieur, ce procédé me parait fort suspect,  Vous êtes un coquin, soit dit par respect. "")","('#elise', ""Octave a du mérité, il est doux, sage, et tendre. Et s'il pouvait disposer de sa foi, Ce serait, après Léandre, Celui que je voudrais qui soupirait pour moi. Mais Léandre me met en des frayeurs mortelles. Je n'ai de lui nulles nouvelles, Et sa santé, sa vie, à chaque heure du jour, M'alarme autant que son amour."")",0.39,Substitution
42,"('#leandre', ""Tu condamnes en vain ma nouvelle tendresse,  Je ne puis aisément guérir de ma faiblesse,  Et malgré ma promesse un objet tout charmant  A dispensé mon coeur de son engagement.  Isabelle à ses lois tient mon âme asservie,  Et je sens qu'il faudra l'aimer toute ma vie  Quand Léonore aurait de plus puissants appas  Ses attraits de mon coeur ne triompheraient pas.  Quelque puisse être enfin le courroux de mon père,  J'attends sans m'alarmer l'effet de sa colère,  L'amour et la raison ne peuvent s'accorder. "")","('#colombine', ""Vous serez rassurée au premier Ordinaire. Ne peut-on, après tout, en passer un ou deux  Sans vous écrire ou vous déplaire ? Tous ces amants guerriers ne font pas maîtres d'eux, Et de leurs fers sur nous rejaillit l'amertume. De plus, pour contenter sa gloire et ses amours, Faut-il que Léandre ait toujours Ou l'épée à la main, ou la main à la plume ? Oh, tous ces amoureux guerriers, Ces héros pour leur Roi quittent leurs héroïnes, Et leurs couronnes, leurs lauriers, Pour nous encore un coup ne sont que des épines. Léandre cependant, pour peu qu'il soit jaloux, Devrait... Mais paix, on vient à nous."")",0.27,Substitution
43,"('#scaramouche', ""Vous cherchez vainement à me persuader,  Monsieur, vous vous ferez quelque méchante affaire,  Vous avez le minois un peu patibulaire,  Croyez-moi profitez de ma sage leçon,  J'en sais plus long que vous, je suis un vieux barbon.  Ce n'est que l'amitié qui pour vous m'intéresse  Les filles de tout temps ont gâté la jeunesse,  C'est un malin bétail, pour l'avoir écouté,  Je ne sais que trop bien ce qui m'en a coûté.  Çà, que de cet amour votre coeur se délivre,  Je vous guiderez bien, vous n'avez qu'à me suivre,  Je veux de votre esprit gouverner le vaisseau,  Car il pourrait fort bien s'en aller à vau-l'eau,  Comme un Pilote expert je prétends vous conduire,  Et de votre raison calfeutrer le navire. "")","('#arlequin', ""Vivat ! Mais que font donc ces nymphes bocagères, Seules dans un lieu si touffu ? Approchons, découvrons un peu tous ces mystères. Ah, Mesdames, c'est vous ? Reconnaissant Élise et Colombine."")",1.27,Substitution
44,"('#leandre', ""Termine ce discours, tes soins sont superflus,  J'en ai trop entendu, ne m'importune plus,  J'espère voir bientôt la charmante Isabelle,  Dans son appartement un rendez-vous m'appelle.  Adieu. "")","('#colombine', ""Qu'est-ce ? Que nous veux-tu ?"")",1.3,Substitution
45,"('#scaramouche', 'Vous persistez dans cette opinion,  Et ne profitez pas de ma correction,  Ah ! Le franc scélérat. ')",,1.0,Insertion
46,"('#leandre', ""Quoique tu sois habile  Pour me faire changer ton soin est inutile.  Il s'en va."")",,1.0,Insertion
47,"('#scaramouche', ""Comme de ma morale il ne fait point de cas,  Mes préceptes savants ne le réforment pas ?  Morbleu, de quoi me sert ma rhétorique ?  Je parle bon français c'est de quoi je me pique  Malgré ce que je dis, le pendard, le vilain,  Refuse de m'entendre et va toujours son train ;  Quand je veux lui tracer une plus belle route,  Pour ne pas y marcher il dit qu'il a la goutte.  Hé bien petit coquin, fais comme tu l'entends,  Pour moi je t'abandonne à tes égarements. "")",,1.0,Insertion
48,"('#le-docteur', ""Vous n'avez qu'à porter ces meubles chez Géronte. "")",,1.0,Insertion
49,"('#le-crocheteur', ""A-t-il de quoi payer, je crains qu'il ne m'affronte ? "")",,1.0,Insertion
50,"('#le-docteur', ""Oh ! Vous ne risquez rien il est homme d'honneur.  . . . . . . . . . . . . "")","('#arlequin', 'On vous attend avec impatience.')",1.44,Substitution
51,"('#arlequin', ""Maître Jacques prenez cette chaise percée,  D'une certaine odeur ma narine est blessée,  Et mon nez délicat s'en est formalisé. "")",,1.0,Insertion
52,"('#le-crocheteur', ""Pour un rien vous voilà d'abord scandalisé. "")","('#elise', 'Et qui')",1.89,Substitution
53,"('#arlequin', ""N'allez pas pour cela me faire une querelle,  Je sais bien que pour vous c'est une bagatelle,  Vous avez l'odorat faquin et roturier,  Mais pour le mien il craint de se mésallier.  J'ai vu chez le Docteur une vaste cuisine  Où je voudrais gratis calmer ma faim canine.  En m'approchant du feu dans deux larges chaudrons,  J'ai d'abord aperçu d'excellents macarons  Qui sur un clair brasier une flamme bien pure  Par leur bouillonnement faisaient un doux murmure,  Moi qui suis de Bergame où l'on en mange tant  Si j'en avais ma part que j'en serais content !  Ciel qui depuis longtemps connais ma gourmandise,  Ne m'abandonne pas dans ma belle entreprise,  Autorise en ce jour un innocent larcin,  Daigne me seconder dans ce noble dessein,  Ou si des deux chaudrons je ne suis pas le maître,  Fais qu'au moins sur un plat je puisse me repaître,  Les Crocheteurs entrent chez Géronte. "")","('#arlequin', 'Monsieur_Calmar et la collation. Pour moi, vous voyez ma pitance, Je porte ma provision, Et voilà la seule maîtresse Que je mène sur le gazon. A votre santé, ma Princesse. Tenez, voilà pour me faire raison. Goûtez de ce vin, il est bon. Montrant sa bouteille. Après avoir bu, il leur présente à boire et dit ;')",0.37,Substitution
54,,"('#colombine', 'Fi ! Les femmes en boivent-elles ?')",1.0,Deletion
55,"('#octave', 'Nous voici, grâce au Ciel, arrivé à Lyon. ')",,1.0,Insertion
56,"('#mezzetin', ""Vous aurez en ce lieu de l'occupation,  Dans ce charmant pays les filles sont fringantes  Certaines quelquefois sont plus que complaisantes.  Je sais parbleu la carte et je puis me vanter  D'être des plus experts dans l'art de coqueter.  Au reste vous ferez ici très bonne chère,  Si vous aimez le vin, Lyon est votre affaire  Du matin jusqu'au soir les cabarets sont pleins. "")","('#arlequin', ""Bon ! En ivrognerie aujourd'hui les femelles Dament le pion aux chapeaux. Le sexe ne boit plus du sirop de grenouille, Il n'aime que les vins et les amants nouveaux, Et l'Empire Bachique enfin tombe en quenouille. Il boit."")",0.73,Substitution
57,"('#octave', ""Non je n'ai point formé de semblables desseins  La fille du Docteur que l'on nomme Isabelle,  Est la seule beauté qui dans ces lieux m'appelle,  Tu sais que de paris j'ai quitté le séjour  Pour unir, s'il se peut, l'hymen avec l'amour. "")",,1.0,Insertion
58,"('#mezzetin', ""Si pour les accorder vous fîtes ce voyage,  Vous pouvez repartir sans tarder davantage,  Ici comme à Paris l'époux n'est point amant,  Je sais Lyon par coeur j'en parle savamment. "")","('#colombine', ""Fort bien ! Notre Fiacre s'en donne. Mais de grâce voyons s'il a le vin discret. Ne connaîtrions-nous personne De celles qu'en ce bois il amène en secret ?"")",0.66,Substitution
59,"('#octave', ""Faut-il que sur les moeurs ta piquante critique,  À répandre son fiel incessamment s'applique ?  Ce n'est pas d'aujourd'hui que tu connais mon coeur,  Et j'aimerai toujours la fille du Docteur. "")","('#arlequin', ""Voilà deux des bonnes fortunes Qu'ici Monsieur_Calmar ait encor jamais eu. Heureux tous ces robins des blondes et des brunes ! Ils en ont à présent à bouche que veux-tu."")",1.17,Substitution
60,"('#mezzetin', ""Ô miracle d'amour ! Quel excès de constance ! "")",,1.0,Insertion
61,"('#octave', 'Je ne veux point céder à mon impatience,  Avant que de la voir cherchons un cabaret. ')","('#colombine', 'Pour qui donc nous prend ce maraud ?')",1.3,Substitution
62,"('#mezzetin', ""J'y consens volontiers cet asile me plaît,  C'est dans ce beau réduit cette aimable retraite  Que Mezzetin jouit d'une douceur parfaite,  Toujours le cabaret ce lieu récréatif,  Contre le mauvais air fut un préservatif  Un antidote enfin... "")","('#arlequin', 'Paix, ne le prenez point si haut. Ne faites point tant la féroce, Ces airs-là siéent mal avecque mon carrosse.')",0.89,Substitution
63,"('#octave', 'Finis donc je te prie,  Et frappe promptement à cette hôtellerie. ')","('#elise', 'Cet ivrogne-là croit parler À tes pratiques ordinaires.')",1.16,Substitution
64,"('#mezzetin', 'Holà ? ')","('#colombine', 'Laissons-le dire. Oh ça, dans ce lieu solitaire Quelles Beautés te font le plus souvent rouler ? Là, fais-nous quelque confidence ? Dis-nous.')",0.69,Substitution
65,"('#colombine', 'Que voulez-vous ? ')","('#arlequin', ""Motus. En vain vous voulez me sonder. On me paye ici pour garder Et les manteaux et le silence. Le silence est mon gagne-pain ; Et dès aujourd'hui pour demain Louison, Catin, et Sylvie, Qu'on croit partout femmes d'honneur, Ne me donneraient plus de quoi gagner ma vie, Si j'allais révéler la leur."")",1.6,Substitution
66,"('#mezzetin', ""Ah ! le joli tendron,  Êtes-vous du logis l'enseigne ou le bouchon ? "")","('#colombine', ""Pour toutes ces vertus traitables, Je veux bien les mettre à l'écart. Mais dis-nous, quelles sont les femmes raisonnables Qu'amène ici Monsieur_Calmar ?"")",1.42,Substitution
67,"('#colombine', 'Non je suis la maîtresse. ')","('#arlequin', 'Femmes raisonnables ? Je crois. Que vous vous gobergez de moi. Je ne menai jamais ni raison ni sagesse ; Et tout compté, tout rabattu, Je ne quis cocher, ma Princesse, Que de la moyenne vertu. Ne sait-on pas bien mon négoce ? Ne sait-on pas, quand bien je voudrais le cacher, Que celles dont je suis cocher, Sont semblables à mon carrosse.')",0.96,Substitution
68,"('#mezzetin', 'Agréable mignonne,  Je gage que chez vous la pratique foisonne. ')","('#colombine', 'Une belle ressemble au fiacre ?')",1.43,Substitution
69,"('#colombine', 'Tenez un peu vos mains et sans gesticuler... ')",,1.0,Insertion
70,"('#mezzetin', 'Quoi vous ne voulez pas vous laisser cajoler ? ')",,1.0,Insertion
71,"('#colombine', 'Encore ? Finissez-vous bientôt ce badinage ? ')","('#arlequin', 'Assurément.')",1.26,Substitution
72,"('#octave', 'Coquin, veux-tu cesser ? ')","('#colombine', ""En quoi donc se peut-il, bon Dieu ! Qu'elle en approche ? Va, va, tu perds le jugement, Et toute comparaison cloche."")",1.03,Substitution
73,"('#colombine', ""Monsieur est bien plus sage  Que ne l'imitez-vous ?  À Mezzetin."")",,1.0,Insertion
74,"('#octave', 'Pouvez-vous me loger. ')",,1.0,Insertion
75,"('#mezzetin', ""La belle question, parbleu c'est l'outrager,  L'hôtesse là-dessus a le coeur fort tranquille,  Elle a de quoi loger la moitié de la ville,  Son cabaret, monsieur est vaste et spacieux,  Quand vous irez ailleurs vous ne serez pas mieux. "")","('#arlequin', ""Oh ! Celle-ci ne cloche point, Ou bien ne cloche qu'en ce point. C'est qu'une belle en Fiacre étant bien promenée, On ne lui paie au plus que l'heure du Berger ; Et que l'on paye au Fiacre, où l'on va voyager, Toutes celles de la journée."")",0.25,Substitution
76,"('#colombine', ""Vous serez satisfait, vous n'avez rien à craindre,  Ceux qui viennent chez moi sont encore à se plaindre. "")","('#colombine', ""Tous ces impertinents discours Ne doivent s'adresser qu'à de franches coquettes. Mais des femmes comme nous faites, Par exemple..."")",1.08,Substitution
77,,"('#arlequin', ""Bon ! tous les jours J'en mène qui vous sont égales."")",1.0,Deletion
