musset-lorenzaccio,rostand-cyrano,Score
"('#l-orfevre', ""Jeune !  Jeune !  Cela vous plaît à dire.  On n'est pas jeune avec une barbe comme celle-là, et cependant Dieu sait si leur damnée de musique me donne envie de danser. Deux écoliers passent."")",-,0.0
"('#premier-ecolier', ""Rien n'est plus amusant.  On se glisse contre la porte au milieu des soldats, et on les voit descendre avec leurs habits de toutes les couleurs.  Tiens, voilà la maison des Nasi. Mon portefeuille me glace les mains. Il souffle dans ses doigts."")",-,0.0
"('#second-ecolier', 'Et on nous laissera approcher ?')",-,0.0
"('#premier-ecolier', ""En vertu de quoi est-ce qu'on nous en empêcherait ?  Nous sommes citoyens de Florence.  Regarde tout ce monde autour de la porte ; en voilà des chevaux, des pages et des cent soixante livrées !  Tout cela va et vient, il n'y a qu'à s'y connaître un peu ; je suis capable de nommer toutes les personnes d'importance on observe bien tous les costumes, et le soir on dit à l'atelier : J'ai une terrible envie de dormir, j'ai passé la nuit au bal chez le prince Aldobrandini, chez le comte Salviati, le prince était habillé de telle façon, la princesse de telle autre, et on ne ment pas.  Viens, prends ma cape par derrière. Ils se placent contre la porte de la maison."")",-,0.0
"('#l-orfevre', ""Entendez-vous les petits badauds ?  Je voudrais qu'un de mes apprentis fît un pareil métier."")",-,0.0
"('#le-marchand-de-soieries', ""Bon !  Bon !  Père Mondella, où le plaisir ne coûte rien, la jeunesse n'a rien à perdre.  Tous ces grands yeux étonnés de ces petits polissons me réjouissent le coeur.  - Voilà comme j'étais, humant l'air et cherchant les nouvelles.  Il paraît que la Nasi est une belle gaillarde et que Martelli est un heureux garçon.  C'est une famille bien florentine, celle-là !  Quelle tournure ont tous ces grands seigneurs !  J'avoue que ces fêtes-là me font plaisir, moi.  On est dans son lit bien tranquille, avec un coin de ses rideaux retroussé, on regarde de temps en temps les lumières qui vont et viennent dans le palais ; on attrape un petit air de danse sans rien payer, et on se dit : Hé !  Hé !  Ce sont mes étoffes qui dansent, mes belles étoffes du bon Dieu, sur le cher corps de tous ces braves et loyaux seigneurs."")",-,0.0
"('#l-orfevre', ""Il en danse plus d'une qui n'est pas payée, voisin ; ce sont celles-là qu'on arrose de vin et qu'on frotte sur les murailles avec le moins de regret.  Que les grands seigneurs s'amusent, c'est tout simple, - ils sont nés pour cela.  Mais il y a des amusements de plusieurs sortes, entendez-vous ?"")",-,0.0
"('#le-marchand-de-soieries', ""Oui, oui, comme la danse, le cheval, le jeu de paume et tant d'autres.  Qu'entendez-vous vous-même, père Mondella ?"")",-,0.0
"('#l-orfevre', ""Cela suffit.  - Je me comprends.  - C'est-à-dire que les murailles de tous ces palais-là n'ont jamais mieux prouvé leur solidité.  Il leur fallait moins de force pour défendre les aïeux de l'eau du ciel, qu'il ne leur en faut pour soutenir les fils quand ils ont trop pris de leur vin."")",-,0.0
"('#le-marchand-de-soieries', 'Un verre de vin est de bon conseil, père Mondella.  Entrez donc dans ma boutique, que je vous montre une pièce de velours.')",-,0.0
"('#l-orfevre', ""Oui, de bon conseil et de bonne mine, voisin ; un bon verre de vin vieux a une bonne mine au bout d'un bras qui a sué pour le gagnera ; on le soulève gaiement d'un petit coup, et il s'en va donner du courage au coeur de l'honnête homme qui travaille pour sa famille.  Mais ce sont des tonneaux sans vergogne, que tous ces godelureaux de la Cour.  À qui fait-on plaisir en s'abrutissant jusqu'à la bête féroce ?  À personne, pas même à soi, et à Dieu encore moins."")",-,0.0
"('#le-marchand-de-soieries', ""Le carnaval a été rude, il faut l'avouer et leur maudit ballons m'a gâté de la marchandise pour une cinquantaine de florins.  Dieu merci !  Les Strozzi l'ont payé."")",-,0.0
"('#l-orfevre', ""Les Strozzi !  Que le ciel confonde ceux qui ont osé porter la main sur leur neveu !  Le plus brave homme de Florence, c'est Philippe Strozzi."")",-,0.0
"('#le-marchand-de-soieries', ""Cela n'empêche pas Pierre Strozzi d'avoir traîné son maudit ballon sur ma boutique, et de m'avoir fait trois grandes taches dans une aune de velours brodé.  À propos, père Mondella, nous verrons-nous à Montolivet ?"")",-,0.0
"('#l-orfevre', ""Ce n'est pas mon métier de suivre les foires ; j'irai cependant à Montolivet par piété.  C'est un saint pèlerinage, voisin, et qui remet tous les péchés."")",-,0.0
"('#le-marchand-de-soieries', ""Et qui est tout à fait vénérable, voisin, et qui fait gagner les marchands plus que tous les autres jours de l'année.  C'est plaisir de voir ces bonnes dames, sortant de la messe, manier, examiner toutes les étoffes.  Que Dieu conserve Son Altesse !  La Cour est une belle chose."")",-,0.0
"('#l-orfevre', ""La Cour !  Le peuple la porte sur le dos, voyez-vous !  Florence était encore (il n'y a pas longtemps de cela) une bonne maison bien bâtie ; tous ces grands palais, qui sont les logements de nos grandes familles, en étaient les colonnes.  Il n'y en avait pas une, de toutes ces colonnes, qui dépassât les autres d'un pouce, elles soutenaient à elles toutes une vieille voûte bien cimentée, et nous nous promenions là-dessous sans crainte d'une pierre sur la tête.  Mais il y a de par le monde deux architectes malavisés qui ont gâté l'affaire ; je vous le dis en confidence, c'est le pape et l'empereur Charles.  L'empereur Charles a commencé par entrer par une assez bonne brèche dans la susdite maison.  Après quoi, ils ont jugé à propos de prendre une des colonnes dont je vous parle, à savoir celle de la famille des Médicis, et d'en faire un clocher, lequel clocher a poussé comme un champignon de malheur dans l'espace d'une nuit.  Et puis, savez-vous, voisin !  comme l'édifice branlait au vent, attendu qu'il avait la tête trop lourde et une jambe de moins, on a remplacé le pilier devenu clocher par un gros pâté informe fait de boue et de crachat, et on a appelé cela la citadelle. Les Allemands se sont installés dans ce maudit trou, comme des rats dans un fromage, et il est bon de savoir que, tout en jouant aux dés et en buvant leur vin aigrelet, ils ont l'oeil sur nous autres.  Les familles florentines ont beau crier, le peuple et les marchands ont beau dire, les Médicis gouvernent au moyen de leur garnison ; ils nous dévorent comme une excroissance vénéneuse dévore un estomac malade.  C'est en vertu des hallebardes qui se promènent sur la plate-forme qu'un bâtard, une moitié de Médicis, un butor que le ciel avait fait pour être garçon boucher ou valet de charrue, couche dans le lit de nos filles, boit nos bouteilles, casse nos vitres ; et encore le paye-t-on pour cela."")",-,0.0
"('#le-marchand-de-soieries', ""Peste !  Peste !  Comme vous y allez !  Vous avez l'air de savoir tout cela par coeur ; il ne ferait pas bon dire cela dans toutes les oreilles, voisin Mondella."")",-,0.0
"('#l-orfevre', ""Et quand on me bannirait comme tant d'autres !  On vit à Rome aussi bien qu'ici.  Que le diable emporte la noce, ceux qui y dansent et ceux qui la font ! Il rentre. Le marchand se mêle aux curieux. - Passe un bourgeois avec sa femme."")",-,0.0
"('#la-femme', ""Guillaume Martelli est un bel homme, et riche.  C'est un bonheur pour Nicolo Nasi d'avoir un gendre comme celui-là.  Tiens !  Le bal dure encore.  - Regarde donc toutes ces lumières."")",-,0.0
"('#le-bourgeois', 'Et nous, notre fille, quand la marierons-nous ?')",-,0.0
"('#la-femme', ""Comme tout est illuminé !  Danser encore à l'heure qu'il est, c'est là une jolie fête !  - On dit que le duc y est."")",-,0.0
"('#le-bourgeois', ""Faire du jour la nuit et de la nuit le jour, c'est un moyen commode de ne pas voir les honnêtes gens.  Une belle invention, ma foi, que des hallebardes à la porte d'une noce !  Que le bon Dieu protège la ville !  Il en sort tous les jours de nouveau, de ces chiens d'Allemands, de leur damnée forteresse."")",-,0.0
"('#la-femme', 'Regarde donc le joli masque.  Ah !  La belle robe !  Hélas !  Tout cela coûte très cher, et nous sommes bien pauvres à la maison. Ils sortent.')",-,0.0
"('#un-soldat', 'Gare !  Canaille !  laisse passer les chevaux.')",-,0.0
"('#le-marchand-de-soieries', 'Canaille toi-même, Allemand du diable ! Le soldat le frappe de sa pique.')",-,0.0
"('#le-marchand', 'Voilà comme on suit la capitulation !  Ces gredins-là maltraitent les citoyens. Il rentre chez lui.')",-,0.0
"('#premier-ecolier', ""Vois-tu celui-là qui ôte son masque ?  C'est Palla Ruccellai.  Un fier luron !  Ce petit-là, à côté de lui, c'est Thomas Strozzi, Masaccio, comme on dit."")",-,0.0
"('#un-page', 'Le cheval de Son Altesse !')",-,0.0
"('#second-ecolier', 'Allons-nous-en, voilà le duc qui sort.')",-,0.0
"('#premier-ecolier', ""Crois-tu pas qu'il va te manger ? La foule augmente à la porte."")",-,0.0
"('#second-ecolier', ""Celui-là, c'est Nicolini ; celui-là, c'est le provéditeur. Le duc sort, vêtu en religieuse, avec Julien Salviati, habillé de même, tous deux masqués."")",-,0.0
"('#le-duc', 'Viens-tu, Julien ?')",-,0.0
"('#salviati', ""Non, Altesse, pas encore. Il lui parle à l'oreille."")",-,0.0
"('#le-duc', 'Bien, bien, ferme !')",-,0.0
"('#salviati', 'Elle est belle comme un démon.  - Laissez-moi faire !  Si je peux me débarrasser de ma femme !... Il rentre dans le bal.')",-,0.0
"('#le-duc', ""Tu es gris, Salviati.  Le diable m'emporte, tu vas de travers. Il part avec sa suite."")",-,0.0
"('#premier-ecolier', ""Maintenant que voilà le duc parti, il n'y en a pas pour longtemps. Les masques sortent de tous côtés."")",-,0.0
"('#second-ecolier', ""Rose, vert, bleu, j'en ai plein les yeux ; la tête me tourne."")",-,0.0
"('#le-bourgeois', ""Il paraît que le souper a duré longtemps.  En voilà deux qui ne peuvent plus se tenir. Le provéditeur monte à cheval ; une bouteille cassée lui tombe sur l'épaule."")",-,0.0
"('#le-provediteur', ""Eh, ventrebleu !  Quel est l'assommeur, ici ?"")",-,0.0
"('#un-masque', ""Eh !  Ne le voyez-vous pas, seigneur Corsini ?  Tenez, regardez à la fenêtre ; c'est Lorenzo, avec sa robe de nonne."")",-,0.0
"('#le-provediteur', ""Lorenzaccio, le diable soit de toi !  Tu as blessé mon cheval. Peste soit de l'ivrogne et de ses farces silencieuses !  Un gredin qui n'a pas souri trois fois dans sa vie, et qui passe le temps à des espiègleries d'écolier en vacance ! La fenêtre se ferme. Il part. - Louise Strozzi sort de la maison, accompagnée de Julien Salviati ; il lui tient l'étrier. Elle monte à cheval ; un écuyer et une gouvernante la suivent."")",-,0.0
"('#julien', 'La jolie jambe, chère fille !  Tu es un rayon de soleil, et tu as brûlé la moelle de mes os.')",-,0.0
"('#louise', ""Seigneur, ce n'est pas là le langage d'un cavalier."")",-,0.0
"('#julien', 'Quels yeux tu as, mon cher coeur !  Quelle belle épaule à essuyer, tout humide et si fraîche !  Que faut-il te donner pour être ta camériste cette nuit ?  Le joli pied à déchausser !')",-,0.0
"('#louise', 'Lâche mon pied, Salviati.')",-,0.0
"('#julien', ""Non, par le corps de Bacchus !  Jusqu'à ce que tu m'aies dit quand nous coucherons ensemble. Louise frappe son cheval et part au galop."")",-,0.0
"('#un-masque', ""La petite Strozzi s'en va rouge comme la braise-vous l'avez fâchée, Salviati."")",-,0.0
"('#julien', 'Baste !  Colère de jeune fille et pluie du matin... Il sort.')",-,0.0
"('#le-marquis', ""Je voudrais pouvoir t'emmener, petit, toi et ta grande épée qui te traîne entre les jambes.  Prends patience ; Massa n'est pas bien loin, et je te rapporterai un bon cadeau."")",-,0.0
"('#la-marquise', 'Adieu, Laurent ; revenez, revenez !')",-,0.0
"('#le-cardinal', 'Marquise, voilà des pleurs qui sont de trop.  Ne dirait-on pas que mon frère part pour la Palestine ?  Il ne court pas grand danger dans ses terres, je crois.')",-,0.0
"('#le-marquis', 'Mon frère, ne dites pas de mal de ces belles larmes. Il embrasse sa femme.')",-,0.0
"('#le-cardinal', ""Je voudrais seulement que l'honnêteté n'eût pas cette apparence."")",-,0.0
"('#la-marquise', ""L'honnêteté n'a-t-elle point de larmes, monsieur le cardinal ?  Sont-elles toutes au repentir ou à la crainte ?"")",-,0.0
"('#le-marquis', ""Non, par le ciel !  Car les meilleures sont à l'amour.  N'essuyez pas celles-ci sur mon visage, le vent s'en chargera en route ; qu'elles se sèchent lentement !  Eh bien, ma chère, vous ne me dites rien pour vos favoris ?  N'emporterai-je pas, comme de coutume, quelque belle harangue sentimentale à faire de votre part aux roches et aux cascades de mon vieux patrimoine ?"")",-,0.0
"('#la-marquise', 'Ah !  Mes pauvres cascatelles !')",-,0.0
"('#le-marquis', ""C'est la vérité, ma chère âme, elles sont toutes tristes sans vous. Elles ont été joyeuses autrefois, n'est-il pas vrai, Ricciarda ? Plus bas."")",-,0.0
"('#la-marquise', 'Emmenez-moi !')",-,0.0
"('#le-marquis', ""Je le ferais si j'étais fou, et je le suis presque, avec ma vieille mine de soldat.  N'en parlons plus ; - ce sera l'affaire d'une semaine.  Que ma chère Ricciarda voie ses jardins quand ils sont tranquilles et solitaires ; les pieds boueux de mes fermiers ne laisseront pas de trace dans ses allées chéries.  C'est à moi de compter mes vieux troncs d'arbres qui me rappellent ton père Albéric, et tous les brins d'herbe de mes bois ; les métayers et leurs boeufs, tout cela me regarde.  À la première fleur que je verrai pousser, je mets tout à la porte, et je vous emmène alors."")",-,0.0
"('#la-marquise', ""La première fleur de notre belle pelouse m'est toujours chère.  L'hiver est si long !  Il me semble toujours que ces pauvres petites ne reviendront jamais."")",-,0.0
"('#ascanio', ""Quel cheval as-tu, mon père, pour t'en aller ?"")",-,0.0
"('#le-marquis', 'Viens avec moi dans la cour, tu le verras. Il sort. - La marquise reste seule avec le cardinal. - Un silence.')",-,0.0
"('#le-cardinal', ""N'est-ce pas aujourd'hui que vous m'avez demandé d'entendre votre confession, marquise ?"")",-,0.0
"('#la-marquise', ""Dispensez-m'en, Cardinal.  Ce sera pour ce soir, si Votre Éminence est libre, ou demain, comme elle voudra.  - Ce moment-ci n'est pas à moi. Elle se met à la fenêtre et fait un signe d'adieu à son mari."")",-,0.0
"('#le-cardinal', ""Si les regrets étaient permis à un fidèle serviteur de Dieu, j'envierais le sort de mon frère.  - Un si court voyage si simple, si tranquille !  Une visite à une de ses terres qui n'est qu'à quelques pas d'ici !  - Une absence d'une semaine, - et tant de tristesse, une si douce tristesse, veux-je dire, à son départ !  Heureux celui qui sait se faire aimer ainsi après sept années de mariage !  N'est-ce pas sept années, marquise ?"")",-,0.0
"('#la-marquise', 'Oui, cardinal ; mon fils a six ans.')",-,0.0
"('#le-cardinal', 'Étiez-vous hier à la noce des Nasi ?')",-,0.0
"('#la-marquise', ""Oui, j'y étais."")",-,0.0
"('#le-cardinal', 'Et le duc en religieuse ?')",-,0.0
"('#la-marquise', 'Pourquoi le duc en religieuse ?')",-,0.0
"('#le-cardinal', ""On m'avait dit qu'il avait pris ce costume ; il se peut qu'on m'ait trompé."")",-,0.0
"('#la-marquise', ""Il l'avait en effet.  Ah !  Malaspina, nous sommes dans un triste temps pour toutes les choses saintes !"")",-,0.0
"('#le-cardinal', 'On peut respecter les choses saintes, et, dans un jour de folie, prendre le costume de certains couvents, sans aucune intention hostile à la Sainte Église catholique.')",-,0.0
"('#la-marquise', ""L'exemple est à craindre, et non l'intention.  Je ne suis pas comme vous, cela m'a révoltée.  Il est vrai que je ne sais pas bien ce qui se peut et ce qui ne se peut pas, selon vos règles mystérieuses.  Dieu sait où elles mènent.  Ceux qui mettent les mots sur leur enclume, et qui les tordent avec un marteau et une lime, ne réfléchissent pas toujours que ces mots représentent des pensées, et ces pensées des actions."")",-,0.0
"('#le-cardinal', 'Bon !  Bon, le duc est jeune, marquise, et gageons que cet habit coquet des nonnes lui allait à ravir.')",-,0.0
"('#la-marquise', ""On ne peut mieux, il n'y manquait que quelques gouttes du sang de son cousin, Hippolyte de Médicis."")",-,0.0
"('#le-cardinal', ""Et le bonnet de la Liberté, n'est-il pas vrai, petite soeur ?  Quelle haine pour ce pauvre duc !"")",-,0.0
"('#la-marquise', ""Et vous, son bras droit, cela vous est égal que le duc de Florence soit le préfet de Charles-Quint, le commissaire civil du pape, comme Baccio est son commissaire religieux ?  Cela vous est égal, à vous, frère de mon Laurent, que notre soleil, à nous, promène sur la citadelle des ombres allemandes ?  Que César parle ici dans toutes les bouches ?  Que la débauche serve d'entremetteuse à l'esclavage, et secoue ses grelots sur les sanglots du peuple ?  Ah !  Le clergé sonnerait au besoin toutes ses cloches pour en étouffer le bruit a pour réveiller l'aigle impérial, s'il s'endormait sur nos pauvres toits. Elle sort."")",-,0.0
"('#le-cardinal', ""Agnolo ! Quoi de nouveau aujourd'hui ? Entre un page."")",-,0.0
"('#agnolo', 'Cette lettre, monseigneur.')",-,0.0
"('#le-cardinal', 'Donne-la-moi.')",-,0.0
"('#agnolo', ""Hélas !  Éminence, c'est un péché."")",-,0.0
"('#le-cardinal', ""Rien n'est un péché quand on obéit à un prêtre de l'Eglise romaine.\n\tAgnolo remet la lettre."")",-,0.0
"('#le-cardinal', ""Cela est comique d'entendre les fureurs de cette pauvre marquise, et de la voir courir à un rendez-vous d'amour avec le cher tyran, toute baignée de larmes républicaines. « Ou vous serez à moi, ou vous aurez fait mon malheur, le vôtre, et celui de nos deux maisons. » Le style du duc est laconique, mais il ne manque pas d'énergie.  Que la marquise soit convaincue ou non, voilà le difficile à savoir.  Deux mois de cour presque assidue, c'est beaucoup pour Alexandre ; ce doit être assez pour Ricciarda Cibo. Remets cela chez ta maîtresse ; tu es toujours muet, n'est-ce pas ?  Compte sur moi. Il ouvre la lettre et lit. Il rend la lettre au page. Il lui donne sa main à baiser et sort."")",-,0.0
"('#le-duc', 'Votre Éminence a-t-elle reçu ce matin des nouvelles de la Cour de Rome ?')",-,0.0
"('#valori', 'Paul III envoie mille bénédictions à Votre Altesse, et fait les voeux les plus ardents pour sa prospérité.')",-,0.0
"('#le-duc', 'Rien que des voeux, Valori ?')",-,0.0
"('#valori', ""Sa Sainteté craint que le duc ne se crée de nouveaux dangers par trop d'indulgence.  Le peuple est mal habitué à la domination absolue ; et César, à son dernier voyage, en a dit autant, je crois, à Votre Altesse."")",-,0.0
"('#le-duc', 'Voilà, pardieu, un beau cheval, sire Maurice !  Eh !  Quelle croupe de diable !')",-,0.0
"('#sire-maurice', 'Superbe, Altesse.')",-,0.0
"('#le-duc', ""Ainsi, monsieur le commissaire apostolique, il y a encore quelques mauvaises branches à élaguer.  César et le pape ont fait de moi un roi ; mais, par Bacchus, ils m'ont mis dans la main une espèce de sceptre qui sent la hache d'une lieue.  Allons, voyons, Valori, qu'est-ce que c'est ?"")",-,0.0
"('#valori', ""Je suis un prêtre, Altesse ; si les paroles que mon devoir me force à vous rapporter fidèlement doivent être interprétées d'une manière aussi sévère, mon coeur me défend d'y ajouter un mot."")",-,0.0
"('#le-duc', ""Oui, oui, je vous connais pour un brave.  Vous êtes, pardieu, le seul prêtre honnête homme que j'aie vu de ma vie."")",-,0.0
"('#valori', ""Monseigneur, l'honnêteté ne se perd ni ne se gagne sous aucun habit, et parmi les hommes il y a plus de bons que de méchants."")",-,0.0
"('#le-duc', ""Ainsi donc, point d'explications ?"")",-,0.0
"('#sire-maurice', 'Voulez-vous que je parle, monseigneur ?  Tout est facile à expliquer.')",-,0.0
-,"('#le-portier', 'Holà ! Vos quinze sols !')",0.0
-,"('#le-cavalier', ""J'entre gratis !"")",0.0
-,"('#le-portier', 'Pourquoi ?')",0.0
-,"('#le-cavalier', 'Je suis chevau-léger de la maison du Roi !')",0.0
-,"('#le-portier', 'Vous ?')",0.0
-,"('#deuxieme-cavalier', 'Je ne paye pas !')",0.0
-,"('#le-portier', 'Mais...')",0.0
-,"('#deuxieme-cavalier', 'Je suis mousquetaire.')",0.0
-,"('#premier-cavalier', ""On ne commence qu'à deux heures. Le parterre Est vide. Exerçons-nous au fleuret. Ils font des armes avec des fleurets qu'ils ont apportés."")",0.0
-,"('#un-laquais', 'Pst... Flanquin...')",0.0
-,"('#un-laquais', 'Champagne ?...')",0.0
-,"('#premier-cavalier', ""Cartes. Dés. Jouons. Il s'assied par terre."")",0.0
-,"('#deuxieme-cavalier', 'Oui, mon coquin.')",0.0
-,"('#premier-laquais', ""J'ai soustrait à mon maître un peu de luminaire."")",0.0
-,"('#un-garde', ""C'est gentil de venir avant que l'on éclaire !... Il lui prend la taille."")",0.0
-,"('#un-bretteur', 'Touche !')",0.0
-,"('#un-joueur', 'Trèfle !')",0.0
-,"('#le-garde', 'Un baiser !')",0.0
-,"('#la-bouquetiere', 'On voit !...')",0.0
-,"('#le-garde', 'Pas de danger !')",0.0
-,"('#un-homme', ""Lorsqu'on vient en avance, on est bien pour manger."")",0.0
-,"('#un-bourgeois', 'Plaçons-nous là, mon fils.')",0.0
-,"('#un-joueur', ""Brelan d'as !"")",0.0
-,"('#un-homme', ""Un ivrogne Doit boire son bourgogne... ... à l'hôtel_de_Bourgogne ! Il boit"")",0.0
-,"('#le-bourgeois', ""Ne se croirait-on pas en quelque mauvais lieu ? Buveurs... Bretteurs ! Joueurs ! Il montre l'ivrogne du bout de sa canne. En rompant, un des cavaliers le bouscule. Il tombe au milieu des joueurs."")",0.0
-,"('#le-garde', 'Un baiser !')",0.0
-,"('#le-bourgeois', ""Jour_de_Dieu ! - Et penser que c'est dans une salle pareille Qu'on joua du Rotrou, mon fils !"")",0.0
-,"('#le-jeune-homme', 'Et du Corneille !')",0.0
-,"('#des-pages', 'Tra la la la la la la la la la la lère...')",0.0
-,"('#le-portier', 'Les pages, pas de farce !...')",0.0
-,"('#un-page', 'Oh ! Monsieur ! Ce soupçon !... As-tu de la ficelle ? Vivement au deuxième, dès que le portier a tourné le dos.')",0.0
-,"('#un-page', 'Avec un hameçon.')",0.0
-,"('#un-page', 'On pourra de là-haut pêcher quelque perruque.')",0.0
-,"('#le-tire-laine', ""Or ça, jeunes escrocs, venez qu'on vous éduque : Puis donc que vous volez pour la première fois..."")",0.0
-,"('#un-page', 'Hep ! Avez-vous des sarbacanes ?')",0.0
-,"('#un-page', 'Et des pois ! Il souffle et les crible de pois.')",0.0
-,"('#le-jeune-homme', 'Que va-t-on nous jouer ?')",0.0
-,"('#le-bourgeois', 'Clorise.')",0.0
-,"('#le-jeune-homme', 'De qui est-ce ?')",0.0
-,"('#le-bourgeois', ""De monsieur Balthazar Baro. C'est une pièce !... Il remonte au bras de son fils."")",0.0
-,"('#le-tire-laine', '... La dentelle surtout des canons, coupez-la !')",0.0
-,"('#un-spectateur', ""Tenez, à la première du Cid, j'étais là !"")",0.0
-,"('#le-tire-laine', 'Les montres...')",0.0
-,"('#le-bourgeois', 'Vous verrez des acteurs très illustres...')",0.0
-,"('#le-tire-laine', 'Les mouchoirs...')",0.0
-,"('#le-bourgeois', 'Montfleury...')",0.0
-,"('#un-spectateur', 'Allumez donc les lustres !')",0.0
-,"('#le-bourgeois', '... Bellerose, l_Espy, la_Beaupré, Jodelet !')",0.0
-,"('#un-page', 'Ah ! Voici la distributrice !...')",0.0
