,quinault-cadmus-hermione,quinault-persee,Cost,Operation Type
10,"('#l-envie', ""C'est trop voir le Soleil briller dans sa Carrière, Les Rayons qu'il lance en tous lieux, Ont trop blessé mes yeux ; Venez, noirs ennemis de sa vive lumière, Joignons nos transports furieux. Que chacun me seconde : Paraissez, Monstre affreux. Sortez ? Vents souterrains, des antres les plus creux, Volez, Tyrans des airs, troublez la Terre et l'Onde, Répandons la terreur ; Qu'avec nous le Ciel gronde : Que l'Enfer nous réponde ; Remplissons la Terre d'horreur : Que la Nature se confonde : Jetons dans tous les coeurs du monde La jalouse fureur Qui déchire mon coeur. Et vous Monstre, armez-vous pour nuire À cet astre puissant qui vous a su produire : Il répand trop de biens, il reçoit trop de voeux. Agitez vos marais bourbeux : Excitez contre lui mille vapeurs mortelles : Déployez, étendez vos ailes, Que tous les Vents impétueux S'efforcent d'éteindre ses feux. Osons tous obscurcir ses clartés les plus belles, Osons nous opposer à son cours trop heureux : Quels traits ont crevé le Nuage ? Quel Torrent enflammé s'ouvre un brillant passage ! Tu triomphes, Soleil ? Tout cède à ton pouvoir ? Que d'honneurs tu vas recevoir ! Ah quelle rage ! Ah quelle rage ! Quel désespoir ! Quel désespoir ! L'Envie distribue des Serpents aux Vents, qui forment autour d'elle de manières de tourbillons. L'envie continue à chanter. Ces vents forment de nouveaux tourbillons, tandis que le serpent Python l'élève en l'air, par un rond qu'il fait en volant.  L'Envie continue. Des traits enflammés percent l'épaisseur des nuages, et fondent sur le Serpent Python, qui après s'être débattu quelque temps en l'Air, tombe enfin tout embrasé dans son marais bourbeux ; une pluie de feu se répand sur toute la scène, et contraint l'Envie de s'abîmer avec les quatre Vents souterrains, tandis que les Vents de l'Air s'envolent, et dans le même instant les Nuages se dissipent et le théâtre devient entièrement éclairé. L'Assemblée champêtre que la frayeur avait chassée revient, pour célébrer la Victoire du Soleil, et pour lui préparer des trophées, et des sacrifices."")","('#la-vertu', ""Ne vous abusez point par une vaine attente :  On n'a pas aisément les prix que je présente ; Ils coûtent mille efforts ils font mille jaloux. L'inconstante Fortune à ma nuire est constante ;  Lorsque l'on suit mes pas on s'expose à mes coups. On trouve en son fatal courroux Une hydre toujours renaissante."")",0.42,Substitution
11,"('#pales', 'Chassons la crainte qui nous presse.')","('#megathyme', ""Avec vous rien n'épouvante."")",0.68,Substitution
12,"('#melisse', 'Rien ne doit plus faire peur.')",,1.0,Insertion
13,"('#pan', ""Le Monstre est mort, l'orage cesse, Le soleil est vainqueur."")",,1.0,Insertion
14,"('#le-choeur', ""Le monstre est mort, l'orage cesse, Le soleil est vainqueur."")",,1.0,Insertion
15,"('#pales', ""Qu'on lui prépare De superbes autels."")",,1.0,Insertion
16,"('#melisse', ""Que l'on pare D'ornements immortels."")","('#phronime', ""On n'est point heureux sans vous."")",1.71,Substitution
17,"('#le-choeur', ""Conservons la mémoire De sa victoire. Par mille honneurs divers, Répandons le bruit de sa gloire Jusqu'au bout de l'univers."")",,1.0,Insertion
18,"('#pales', ""Mais le soleil s'avance, Il se découvre aux yeux de tous."")","('#phronime #megathyme #choeur', 'Ô Vertu charmante, etc.')",1.38,Substitution
19,"('#le-choeur', 'Respectons sa présence Par un profond silence, Écoutons, taisons-nous.')",,1.0,Insertion
20,"('#le-soleil', ""Ce n'est point par l'éclat d'un pompeux sacrifice, Que je me plais à voir mes soins recompensés ; Pour prix de mes travaux ce me doit être assez, Que chacun en jouisse ; Je fais les plus doux de mes voeux De rendre tout le monde heureux. Dans ces lieux fortunés, les Muses vont descendre, Les jeux galants suivront leurs pas ; J'inspire les chants plein d'appas Que vous allez entendre : Tandis que je suivrai mon cours, Profitez des beaux jours. Le soleil s'élève dans les Cieux, et toute l'Assemblée champêtre forme des jeux, où les chansons sont mêlées avec les danses."")","('#la-vertu', ""Fuyons de la grandeur la pompe embarrassante ;  La retraite a des biens dont la douceur enchante Et qui sont réservés pour nous. Jouissons du bonheur d'une vie innocente ; C'est le bien le plus grand de tous."")",0.07,Substitution
21,"('#le-choeur', 'Profitons des beaux jours.')",,1.0,Insertion
22,"('#pales', 'Suivons tous la même envie.')",,1.0,Insertion
23,"('#le-choeur', 'Profitons des beaux jours.')",,1.0,Insertion
24,"('#melisse', 'Aimons, tout nous y convie.')",,1.0,Insertion
25,"('#le-choeur', 'Profitons des beaux jours.')",,1.0,Insertion
26,"('#pales #melisse', 'Les plus beaux jours de la vie Sont perdus sans les Amours.')",,1.0,Insertion
27,"('#le-choeur', 'Profitons des beaux jours. Tandis que les Nymphes et les Dieux champêtres dansent avec les bergers et les bergères, Palès, Melisse et Pan, mêlent leurs voix avec les instruments rustiques.')","('#phronime #megathyme #choeur', ""Ô Vertu charmante, etc. L'innocence, les Plaisirs innocents, et toute la suite de la Vertu témoignent leur joie en dansant et en chantant."")",0.48,Substitution
28,"('#pales #melisse #pan', ""Heureux qui peut plaire ! Heureux les amants ! Leurs jours sont charmants : L'Amour sait leur faire Mille doux moments. Que sert la jeunesse Aux coeurs sans tendresse ? Qui n'a point d'amour N'a pas un beau jour. En vain l'Hiver passe, En vain dans les champs Tout charme nos sens, Une âme de glace N'a point de Printemps. Il faut se défaire d'un coeur trop sévère, Qui n'a point d'Amour N'a pas un beau jour. Second couplet Archas un des Dieux des forêts chante, et tous les instruments et toutes les voix lui répondent, tandis que l'Asseemblée champêtre danse, et se joue avec des branches de chêne, dont elle forme plusieurs figures agréables."")","('#phronime #megathyme', ""La grandeur brillante,  qui fait tant de bruit, N'a rien qui nous tente : Le repos la fuit. Malheureux qui la suit... ! Fortune volage, Laissez-nous en paix ! Vous ne donnez jamais Qu'un pompeux esclavage : Tous vos biens n'ont que de faux attraits. Dans un doux asile Nous bornons nos voeux : Notre sort est tranquille ; C'est un bien qui doit nous rendre heureux. La Vertu couronne Ses amants constant : Heureux qui lui donne Ses soins et son temps ; Ses voeux seront contents... Fortune volage, etc. Le lieu champêtre que la Vertu a choisi pour retraite est tout-à-coup embelli d'ornements magnifiques. On voit sortir de terre un parterre de fleurs, deux rangs de statues, des berceaux dorés et des fontaines jaillissantes."")",0.0,Match
29,"('#archas', ""Peut-on mieux faire, Quand on sait plaire, Peut-on mieux faire Que d'aimer bien ; Quelque embarras que l'Amour fasse C'est toujours un charmant lien ; Trop de repos bien souvent embarrasse, Que fait-on d'un coeur qui n'aime rien ? L'Amour contente, Sa peine enchante, L'Amour contente, Tout en est bon. Dans les beaux jours de notre vie Les plaisirs sont dans leur saison, Et quelque peur d'amoureuse folie Vaut souvent mieux que trop de raison. Second couplet"")","('#la-vertu', ""Qui nous fait voir ici tant de magnificence.. ? C'est la Fortune qui s'avance. Me cherchez-vous quand je vous fuis. Fortune, je sais trop que vous m'êtes contraire. Non, ce n'est pas un soin qui vous soit ordinaire D'embellir les lieux où je suis. On entend le bruit éclatant d'un grand nombre d'instruments. La Fortune s'approche : l'Abondance et la Magnificence l'accompagnent, avec une suite richement parée. Tout se réjouit et tout danse autour de la Fortune."")",0.53,Substitution
30,"('#premier-prince-tyrien', ""Quoi, Cadmus, fils d'un roi qui tient sous sa puissance Les bords féconds du Nil et les climats brûlés ; Cadmus, après deux ans loin de Tyr écoulés, Étranger chez les grecs, n'a point d'impatience De revoir un pays dont il est l'espérance ? Et laisse sans regrets tant de coeurs désolés ?"")","('#la-fortune', ""Effaçons du passé la mémoire importune ; J'ai toujours contre vous vainement combattu : Un auguste héros ordonne à la Fortune D'être en paix avec la Vertu."")",0.99,Substitution
31,"('#les-deux-princes-tyriens', 'Nous suivons vos destins partout sans résistance : Faudra-t-il que toujours nous soyons exilés ?')",,1.0,Insertion
32,"('#cadmus', ""J'aimerais à revoir les lieux de ma naissance ; Mais avant que je puisse en goûter la douceur, J'ai juré d'achever une juste vengeance."")",,1.0,Insertion
33,"('#premier-prince-tyrien', 'Et cependant, Seigneur, Vous laissez en ces lieux languir votre grand coeur.')","('#la-vertu', ""Ah ! je le reconnais sans peine ; C'est le héros qui calme l'Univers."")",1.28,Substitution
34,"('#cadmus', ""Après avoir erré sur la Terre et sur l'Onde Sans trouver Europe ma Soeur ; Après avoir en vain cherché son ravisseur, Le ciel termine ici ma course vagabonde ; Et c'est pour obéir aux oracles des Dieux Qu'il faut m'arrêter en ces lieux."")","('#la-fortune', ""Lui seul pour vous pouvait vaincre ma haine ; Il vous révère, et je le sers. Je l'aime constamment, moi qui suis si légère. Partout suivant ses voeux avec ardeur je cours. Vous paraissez toujours sévère, Et vous êtes toujours Ses plus chères amours."")",0.45,Substitution
35,"('#premier-prince-tyrien', ""Si vous trouvez des Dieux dont l'ordre vous engage À choisir ce séjour ; Le dieu que votre coeur consulte davantage Est peut-être l'Amour."")","('#la-vertu', ""Mes biens brillent moins que les vôtres.  Vous trouverez tant de coeurs qui n'adorent que vous ! Vous les enchantez presque tous."")",0.84,Substitution
36,"('#deuxieme-prince-tyrien', ""Serait-il possible Qu'un héros invincible Eût un coeur qu'Amour sut charmer ?"")","('#la-fortune', ""Vous régnez sur un coeur qui vaut seul tous les autres. Ah ! S'il m'eût voulu suivre, il eût tout surmonté. Tout tremblait, tout cédait à l'ardeur qui l'anime. C'est vous, Vertu trop magnanime ; C'est vous qui l'avez arrêté."")",0.23,Substitution
37,"('#cadmus', ""Quel coeur n'est pas fait pour aimer ? Et pour être un héros doit-on être insensible ? Que sert contre Hermione un courage indompté ? Qui peut n'en pas être enchanté ? Le Dieu Mars est son père, Elle en a la noble fierté ; La mère d'Amour est sa mère, Elle en a la beauté."")","('#la-vertu', ""Son grand coeur s'est mieux fait connaître, Il a fait sur lui-même un effort généreux : Il veut rendre le monde heureux. Il préfère au bonheur d'en devenir le maître, La gloire de montrer qu'il mérite de l'âtre."")",0.82,Substitution
38,"('#premier-prince-tyrien', ""À quoi sert un amour qui n'a point d'espérance ; Hermione est sous la puissance."")","('#la-vertu #la-fortune', 'Sans cesse combattons à qui servira mieux Ce héros glorieux.')",1.41,Substitution
39,"('#cadmus', ""C'est un affreux géant, c'est un monstre odieux."")",,1.0,Insertion
40,"('#deuxieme-prince-tyrien', ""Il est du sang de Mars, ce Dieu le favorise, Et c'est enfin à lui qu'Hermione est promise : Nul autre des mortels n'en doit être l'époux ; Et si vous en tentez la fatale entreprise, La Terre avec le Ciel s'armera contre vous."")","('#la-vertu #la-fortune #choeurs', ""Les Dieux ne l'ont donné que pour le bien du monde, Que ses travaux sont grands ! que ses destins sont beaux ! Dans une paix profonde  Il trouve une source féconde De triomphes nouveaux. Les Dieux ne l'ont donné que pour le bien du monde."")",1.02,Substitution
41,"('#cadmus', ""Hé bien je périrai si le Destin l'ordonne, Je veux délivrer Hermione : Et si je l'entreprends en vain, Je ne saurais périr pour un plus beau dessein."")","('#la-vertu', ""Que jusque dans les jeux tout nous parle de lui. Les Dieux, qui méditaient leur plus parfait ouvrage, Autrefois dans Persée en tracèrent l'image : J'obtiendrai qu'Apollon le ranime aujourd'hui."")",1.12,Substitution
42,"('#cadmus', ""Où sont nos africains ? Que leur troupe s'avance : La Princesse veut voir leur plus galante danse. D'où vient qu'aucun d'eux ne paraît ?"")","('#la-vertu #la-fortune', 'Mille nouveaux concerts doivent se faire entendre : Tout promet au mérite un favorable sort. Quel bien ne doit-on pas attendre De notre heureux accord ? La suite de la Vertu et le suite de la Fortune se réunissent, et témoignent leur joie par leurs danses et par leurs chants.')",0.52,Substitution
43,"('#arbas', ""Vos ordres sont suivis, Seigneur, et tout est prêt ! Mais le tyran s'est mis en tête Qu'il faut que ses géans dansent dans cette fête."")","('#suivante-de-la-vertu #suivante-de-la-fortune', ""Quel heureux jour pour nous ! Tout suit notre envie. Quel heureux jour pour nous ! Que notre sort est doux ! La Vertu voit en paix tous ceux qui l'ont suivie : La Fortune pour eux perd son fatal courroux. Quel heureux jour pour nous, etc. Tous nos jours seront beaux ; goûtons, goûtons la vie. Rien ne trouble nos voeux, le ciel les comble tous. Quel heureux jour pour nous, etc."")",1.26,Substitution
44,,"('#la-vertu #la-fortune #choeurs', 'Heureuse intelligence, Douce et charmante paix, Comblez notre espérance. Douce et charmante paix, Puissiez-vous durer à jamais.')",1.0,Deletion
45,"('#cadmus', 'Comment faire mouvoir des colosses affreux !')","('#cephee', ""Je crains que Junon ne refuse D'apaiser sa haine pour nous ; Je crains, malgré vos voeux, Que l'affreuse Méduse Ne revienne servir son funeste courroux. L'Ethiopie en vain à mes lois est soumise ; Quelle espérance m'est permise, Si le ciel contre nous veut toujours être armé ? Que me sert toute ma puissance ? Contre ce monstre affreux Mon peuple est sans défense : Qui le voit est soudain en rocher transformé ; Et si Junon, que votre orgueil offense, N'arrête sa vengeance, Je serai bientôt roi d'un peuple inanimé."")",1.53,Substitution
46,"('#arbas', ""Quand on lui dit, Comment ? Il répond, je le veux, Ces grands Hommes pleins de chimères Sont d'un raisonnement fâcheux, Et fiers d'être au-dessus des Hommes ordinaires Pensent que la Raison doit être au-dessous d'eux ; Je n'ai pu garder des mesures, J'ai pesté contre lui, j'ai vomi des injures, Je l'ai nommé tyran, cent fois."")","('#cassiope', ""Heureuse épouse, heureuse mère, Trop vaine d'un sort glorieux, Je n'ai pu m'empêcher d'exciter la colère De l'épouse du Dieu de la Terre et des Cieux ! J'ai comparé ma gloire à sa gloire immortelle. La déesse punit ma fierté Criminelle ; Mais j'espère fléchir son courroux rigoureux ; J'ordonne les célèbres Jeux Qu'à l'honneur de Junon en ces lieux on prépare Mon orgueil offensa cette divinité ; Il faut que mon respect répare Le crime de ma vanité."")",0.1,Substitution
47,"('#cadmus', 'On doit toujours respect aux rois.')","('#cephee', ""Je vais, avec Persée, implorer l'assistance Du dieu dont il tient la naissance ; Il est fils du plus grand des Dieux. Apaisez de Junon, la colère fatale, Ce serait pour elle en ces lieux Un objet odieux Qu'un fils de sa rivale."")",1.73,Substitution
48,"('#arbas', ""Eut-il du m'étrangler, je n'aurais pu me taire : J'étais trop en colère ; Si je n'avais rien dit, J'aurais étouffé de dépit."")","('#cassiope', 'Par un cruel châtiment Les Dieux vous font voir leur haine ; On les irrite aisément, On les apaise avec peine.')",0.74,Substitution
49,"('#cadmus', ""Contentons le Géant, il est ici le maître ; Hermione est soumise à son cruel pouvoir : Ce divertissement, tel enfin qu'il puisse être, Me vaudra quelque temps le plaisir de la voir. S'il ne m'est pas permis de lui parler moi-même Et d'oser lui dire que je l'aime ; Du moins nos africains, par leurs chants les plus doux Pourront l'entretenir de mon amour extrême, En dépit d'un rival jaloux. Préparons tout en diligence, Hâtons-nous, la princesse avance."")","('#cephee', ""Les Dieux punissent la fierté, Ils n'est point de grandeur que le ciel irrité N'abaisse quand il veut, et ne réduisent en poudre, Mais un prompt repentir Peut arrêter la foudre Toute prête à partir."")",0.55,Substitution
50,"('#arbas', 'Allons.')","('#merope', 'Puissions nous désarmer le ciel qui nous menace.')",1.24,Substitution
51,"('#cadmus', ""Toi ne suis point mes pas, Je vais voir le géant, il faut que tu l'évites."")","('#cephee #cassiope #merope', ""Ô Dieux ! qui punissez l'audace ! Dieux ! redoutables ennemis ! Pardonnez à des coeurs soumis. Céphée sort."")",1.22,Substitution
52,"('#arbas', ""Non, non, nous n'aurons point de bruit, ni d'embarras Pour les injures que j'ai dites, Je les disais si bas Qu'il ne m'entendait pas."")","('#cassiope', ""Aimé et destiné pour épouser ma fille, Vous savez mes desseins pour vous, Ma soeur ; par votre hymen, il m'aurait été doux D'unir Persée à ma famille ; Mais je le veux en vain, l'Amour n'y consent pas : Aux yeux de ce héros, ma fille a trop d'appas."")",1.45,Substitution
53,"('#hermione', ""Cet aimable séjour Si paisible et si sombre, Offre du silence et de l'ombre À qui veut éviter le bruit, et le grand jour. Ah ! Que n'est-il aussi facile De trouver un asile Pour éviter l'Amour ! L'impitoyable tyrannie, Dont je suis les barbares lois, Ne défend pas d'aimer le chant et l'harmonie : Vous qui me faites compagnie Répondez à ma voix."")","('#merope', ""Le fils de Jupiter l'adore ; Croyez-vous que je sois encore à m'en apercevoir ? J'y prends trop d'intérêt pour ne le pas savoir. Je goûtais une paix heureuse Avant que ce héros parût dans cette Cour ; Par une espérance trompeuse, Allait-il me livrer au pouvoir de l'Amour ?"")",0.29,Substitution
54,"('#aglante', ""On a beau fuir l'Amour, on ne peut l'éviter, On n'oppose à ses traits qu'une défense vaine, On s'épargne bien de la peine, Quand on se rend sans résister."")","('#cassiope', ""Sachez bien la faiblesse où votre coeur s'engage."")",1.18,Substitution
55,"('#charite', ""La peine d'aimer est charmante, Il n'est point de coeur qui s'exempte De payer ce tribut fatal. Si l'Amour épouvante Il fait plus de peur que de mal."")","('#merope', ""Mon vainqueur encore aujourd'hui Ignore de mon coeur le funeste esclavage : Je mourrai de honte et de rage Si l'ingrat connaissait l'amour que j'ai pour lui."")",0.68,Substitution
56,"('#la-nourrice', 'Quel choix est en votre puissance ? Songez à quel époux le Ciel vous veut unir.')","('#cassiope', ""De chagrin et de colère, Votre coeur est déchiré ; Vous perdez l'espoir de plaire ; Peut-on trop se défaire D'un amour désespéré. Appelez le dépit ; que votre amour lui cède ; Sortez par son secours, d'un tourment si fatal."")",0.81,Substitution
57,,"('#merope', ""Le triste secours qu'un remède Plus cruel encore que le mal !"")",1.0,Deletion
58,"('#hermione', ""Je frémis quand j'y pense, Pourquoi m'en fais-tu souvenir ?"")","('#cassiope', ""Pour prendre soin des Jeux, il faut que je vous quitte. Par mes conseils votre douleur s'irrite."")",1.51,Substitution
59,,"('#cassiope #merope', ""Le temps seul peut guérir Les maux que l'amour fait souffrir. Cassiope sort."")",1.0,Deletion
60,"('#la-nourrice', ""Vous êtes sans espoir du côté de la Terre : Le roi qui vous retient dans ce charmant séjour, A pour lui le Dieu de la Guerre ; Il a rassemblé dans sa Cour Les restes des Géants échappés du tonnerre. Gardez-vous pour Cadmus d'un malheureux amour, Le don de votre coeuur lui coûterait le jour."")","('#merope', ""Ah ! Je garderai bien mon coeur, Si je puis le reprendre. Venez, juste dépit, venez, c'est trop attendre ; Brisez des fers pleins de rigueur, Hâtez-vous de me rendre De mon premier repos la charmante douceur, Ah ! je garderai bien mon coeur, Si je puis le reprendre, Hélas ! Mon coeur soupire, et ce soupir trop tendre Va, malgré mon dépit, rappeler ma langueur ! L'amour est toujours mon vainqueur, Et je veux en vain m'en défendre, Ah ! J'ai trop engagé mon coeur ; Je ne puis le reprendre... Andromède vient voir les Jeux,  Phinée avec elle s'avance ; L'espoir de leur hymen flatte encore mes voeux  Et c'est ma dernière espérance."")",0.0,Match
61,,"('#andromede #phinee', 'Croyez-moi, croyez-moi,')",1.0,Deletion
62,,"('#andromede', 'Cessez de craindre.')",1.0,Deletion
63,,"('#phinee', 'Cessez de feindre.')",1.0,Deletion
64,"('#hermione', 'Ah ! Quelle cruauté de vouloir me contraindre À ce choix odieux que je ne puis souffrir !')","('#andromede', 'Je veux vous aimer, je le dois.')",1.15,Substitution
65,"('#la-nourrice', ""Tout le monde vous trouve à plaindre, Personne cependant n'ose vous secourir."")","('#phinee', ""Vous ne m'aimez pas, je le vois."")",1.02,Substitution
66,,"('#andromede', 'Cessez de craindre.')",1.0,Deletion
67,"('#aglante', 'Voici les Africains, mais les géants les suivent.')",,1.0,Insertion
68,"('#hermione', 'Quoi partout les géants ? Quoi toujours nous troubler.')","('#phinee', 'Cessez de feindre.')",1.24,Substitution
69,,"('#andromede #phinee', 'Croyez-moi, croyez-moi.')",1.0,Deletion
70,"('#charite', ""C'est d'ordinaire ainsi que les plaisirs arrivent ; Quelque chagrin fâcheux s'y vient toujours mêler."")","('#merope', ""Vous êtes tous deux aimables, Et vous vous aimez tous deux ; Quels différents sont capables De rompre de si beaux noeuds ? Que ne souffriront point les amants misérables Si l'Amour a des maux pour les amants heureux ?"")",0.54,Substitution
71,"('#arbas #africains', ""Suivons, suivons l'Amour, laissons-nous enflammer, Ah ! Ah ! Ah ! qu'il est doux d'aimer !"")","('#andromede', 'Sans raison son chagrin éclate.')",1.61,Substitution
72,"('#premier-africain', ""Quand l'Amour vous l'ordonne, Souffrons les rigueurs, Chérissons les langueurs, Il n'exempte personne De ses traits vainqueurs ; Quel péril nous étonne ? Laissons trembler les faibles coeurs."")","('#phinee', 'Perdrai-je sans chagrin mon espoir le plus doux ? Condamnez une ingrate.')",0.67,Substitution
73,"('#arbas #africains', ""Suivons, suivons l'Amour, laissons-nous enflammer, Ah ! Ah ! Ah ! qu'il est doux d'aimer !"")","('#andromede', 'Condamnez un amant jaloux.')",1.11,Substitution
74,"('#deuxieme-africain', ""Deux amants peuvent feindre Quand ils sont d'accord ; Plus l'Amour trouve à craindre, Plus il fait d'effort ; On a beau le contraindre, Il en est le plus fort."")","('#phinee', ""Persée a su lui plaire, et d'une vaine excuse Elle veut éblouir mon amour outragé. Elle m'aimait... Non, je m'abuse, Non, puisqu'elle a si tôt changé, Jamais son coeur pour moi ne fut bien engagé."")",0.6,Substitution
75,"('#arbas #africains', ""Suivons, suivons l'Amour, laissons-nous enflammer, Ah ! Ah ! Ah ! Qu'il est doux d'aimer !"")","('#andromede', ""Le devoir sur mon coeur vous donne un juste empire. Vous ne devez pas craindre un changement fatal. Un amant assuré d'un bonheur qu'il désire,  Peut-il être jaloux d'un malheureux rival ?"")",1.11,Substitution
76,"('#arbas #africains', ""On n'a rien de charmant Aisément, Et sans alarmes : Mais tout plaît, en aimant, Il n'est point de tourment Qui n'ai des charmes ; Suivons, suivons l'Amour, laissons-nous enflammer, Ah ! Ah ! Ah ! Qu'il est doux d'aimer ! Après l'entrée, Hermione se lève de la place où elle était assise près du géant, qui la suit et l'arrête dans le temps qu'elle se veut retirer."")","('#phinee', ""Non, je ne puis souffrir qu'il partage une chaîne Dont le poids me parait charmant. Quand vous l'accableriez du plus cruel tourment, Je serais jaloux de sa peine. Mais il ne fait point voir le dépit éclatant. S'il est si malheureux, sa constance m'étonne : L'amour que l'espoir abandonne, Est moins tranquille et moins constant."")",0.19,Substitution
77,"('#le-geant', ""Il est temps de finir ma peine Après tant d'injustes refus. Où voulez-vous aller ? Vous fuyez, inhumaine ?"")","('#andromede', ""Quel plaisir prenez-vous à vous troubler vous-même, Et de quoi votre amour peut-il être alarmé ? Je fuis votre rival avec un soin extrême : Est-on accoutumé de fuir ce que l'on aime ?"")",0.8,Substitution
78,"('#hermione', ""J'étAis pour voir ici quelques danses Africaines, Les Africains ne dansent plus ?"")",,1.0,Insertion
79,"('#le-geant', ""Rien ne doit plus m'être contraire : Mars est pour moi, c'est votre père, C'est lui qui veut unir votre coeur et le mien."")","('#phinee', ""Vous suivez à regret la gloire et le devoir, En fuyant un amant à vos yeux trop aimable ; Vous l'avez trouvé redoutable,  Puisque vous craignez de le voir."")",1.43,Substitution
80,"('#hermione', ""Je suis soeur de l'Amour, et Vénus est ma mère, S'ils ne sont pas pour vous, les contez-vous pour rien ?"")","('#andromede', ""Tout vous fait peur, tout vous irrite ; Vous m'apprenez à craindre un héros glorieux, Je ne veux point voir son mérite ; Votre importun soupçon veut-il m'ouvrir les yeux ?"")",1.3,Substitution
81,"('#le-geant', ""Il faut que votre destinée Suive l'ordre du Dieu dont vous tenez le jour ; Et toujours l'hyménée Ne prends pas l'avis de l'Amour. Vous craignez les raisons dont je puis vous confondre ? Vous ne m'écoutez pas ? Voulez-vous m'éviter ?"")","('#phinee', ""Ah ! Si vous le flattiez de la moindre espérance, Le Dieu qu'il vous fait croire auteur de sa naissance ;  Dût-il faire éclater son foudroyant courroux, Ne le sauverait pas de mon transport jaloux."")",0.13,Substitution
82,,"('#andromede', 'Juste Ciel !')",1.0,Deletion
83,"('#hermione', ""Quand on n'a rien à répondre, À quoi sert-il d'écouter ?"")",,1.0,Insertion
84,"('#le-geant', ""Je vous suivrai partout malgré votre colère, Sans cesse à vos regards je veux me présenter ; Et si ce n'est pas pour vous plaire, Ce sera pour vous tourmenter."")","('#phinee', 'Vous tremblez ! Persée a su vous plaire, Si son péril peut vous troubler.')",0.65,Substitution
85,"('#cadmus', ""C'est trop l'abandonner à ce cruel supplice : Il est temps d'éclater, Et d'oser tout tenter Contre tant d'injustice."")","('#andromede', ""Le ciel n'est que trop en colère, Et vous bravez un Dieu qui peut vous accabler. C'est pour vous que je dois trembler."")",0.52,Substitution
86,"('#premier-prince-tyrien', ""C'est exposer vos jours à d'horribles hasards, Vous aurez à dompter l'affreux dragon de Mars."")",,1.0,Insertion
87,"('#deuxieme-prince-tyrien', 'Il faut semer ses dents, et voir soudain la Terre En former des soldats pour vous faire la guerre.')","('#phinee', ""Ne vous servez point d'artifice."")",1.34,Substitution
