,moliere-psyche,quinault-thesee,Cost,Operation Type
10,"('#palaemon', ""C'est la beauté qui commence de plaire, Mais la douceur achève de charmer. Flore répond au Dialogue de Vertumne et de Palaemon, par ce menuet ; et les autres Divinités y mêlent leurs danses."")",,1.0,Insertion
11,"('#flore', ""Est-on sage Dans le bel âge, Est-on sage De n'aimer pas ? Que sans cesse L'on se presse De goûter les plaisirs ici-bas : La sagesse De la jeunesse, C'est de savoir jouir de ses appas. L'amour charme Ceux qu'il désarme ; L'Amour charme, Cédons-lui tous, Notre peine Serait vaine De vouloir résister à ses coups : Quelque chaîne Qu'un amant prenne, La liberté n'a rien qui soit si doux. Vénus descend du ciel dans une grande machine avec l'Amour son fils, et deux petites Grâces, nommés AEgiale et Phaène, et les Divinités de la Terre et des Eaux recommencent de joindre toutes leurs voix, et continuent par leurs danses de lui témoigner la joie qu'elles ressentent à son abord."")","('#venus', ""Revenez, amours, revenez ; Pourquoi quitter ces lieux où l'on est sans alarmes ? La beauté perd ses plus doux charmes, Sitôt que vous l'abandonnez : Revenez, amours, revenez. Beaux lieux, où les plaisirs suivaient partout mes pas, Que sont devenus vos appas ? Qu'un si charmant séjour est triste et solitaire ! Hélas ! Hélas ! Les amours n'y sont pas, Sans les amours, rien ne peut plaire. Revenez, amours, revenez ; Quel chagrin si pressant vous a tous emmenés ? Est-il quelque danger dont Mars ne vous délivre ? Il chasse les fureurs de ces lieux fortunés, À la seule victoire il permet de le suivre. Revenez, amours, revenez. On entend des trompettes et des tambours dont le bruit se mêle au son de plusieurs instruments champêtres. Cependant Mars paraît sur son char avec Bellone."")",0.22,Substitution
12,"('#choeur', ""Nous goûtons une paix profonde ; Les plus doux jeux sont ici-bas ; On doit ce repos plein d'appas Au plus grand Roi du Monde. Descendez, mère des Amours, Venez nous donner de beaux jours."")","('#mars', ""Que rien ne trouble ici Vénus et les amours. Que sous d'aimables lois, dans ces douces retraites, On passe en repos d'heureux jours ; Que les hautbois, que les musettes L'emportent sur les trompettes, Et sur les tambours. Que rien ne trouble ici Vénus et les amours. On n'entend plus le bruit des trompettes et des tambours, et plusieurs instruments champêtres jouent dans le temps que Mars descend."")",0.35,Substitution
13,"('#venus', ""Cessez, cessez pour moi tous vos chants d'allégresse : De si rares honneurs ne m'appartiennent pas, Et l'hommage qu'ici votre bonté m'adresse Doit être réservé pour de plus doux appas. C'est une trop vieille méthode De me venir faire sa Cour ; Toutes les choses ont leur tour, Et Vénus n'est plus à la mode. Il est d'autres attraits naissants, Où l'on va porter ses encens ; Psyché, Psyché la belle, aujourd'hui tient ma place, Déjà tout l'Univers s'empresse à l'adorer, Et c'est trop que dans ma disgrâce Je trouve encor quelqu'un qui me daigne honorer. On ne balance point entre nos deux mérites, À quitter mon parti tout s'est licencié, Et du nombreux amas de Grâces favorites, Dont je traînais partout les soins et l'amitié, Il ne m'en est resté que deux des plus petites, Qui m'accompagnent par pitié. Souffrez que ces demeures sombres Prêtent leur solitude aux troubles de mon coeur, Et me laissez parmi leurs ombres Cacher ma honte et ma douleur. Flore et les autres Déités se retirent, et Vénus avec sa suite sort de sa machine."")","('#mars', ""Partez, allez, volez, redoutable Bellone. Laissez en paix ici les amours et les jeux ; Que Cérès, que Bacchus, s'avancent avec eux ; Éloignez ce qui les étonne. Portez aux ennemis de cet empire heureux Tout ce que la guerre a d'affreux : Vénus le veut, Mars vous l'ordonne. Partez, allez, volez, redoutable Bellone. Bellone obéit, et s'envole."")",0.19,Substitution
14,"('#aegiale', ""Nous ne savons, Déesse, comment faire, Dans ce chagrin qu'on voit vous accabler : Notre respect veut se taire, Notre zèle veut parler."")","('#venus', ""Inexorable Mars, pourquoi déchaînez-vous Contre un héros vainqueur tant d'ennemis jaloux ? Faut-il que l'univers avec fureur conspire Contre ce glorieux empire Dont le séjour nous est si doux ? Sans une aimable paix peut-on jamais attendre De beaux jours ni d'heureux moments ? La plainte la plus tendre, Les plus doux soupirs des amants, Sont le seul bruit qu'on doit entendre En des lieux si charmants."")",0.23,Substitution
15,"('#venus', ""Parlez, mais si vos soins aspirent à me plaire, Laissez tous vos conseils pour une autre saison, Et ne parlez de ma colère, Que pour dire que j'ai raison. C'était là, c'était là la plus sensible offense, Que ma divinité pût jamais recevoir ; Mais j'en aurai la vengeance, Si les Dieux ont du pouvoir."")","('#mars', ""Que dans ce beau séjour rien ne vous épouvante, Un nouveau Mars rendra la France triomphante. Le destin de la guerre en ses mains est remis. Et si j'augmente Le nombre de ses ennemis, C'est pour rendre sa gloire encor plus éclatante. Le dieu de la valeur doit toujours l'animer."")",0.37,Substitution
16,,"('#venus', 'Vénus répand sur lui tout ce qui peut charmer.')",1.0,Deletion
17,,"('#mars', ""Malheur, malheur à qui voudra contraindre Un si grand héros à s'armer."")",1.0,Deletion
18,,"('#venus', ""Tout doit l'aimer."")",1.0,Deletion
19,,"('#mars', 'Tout doit le craindre.')",1.0,Deletion
20,"('#phaene', ""Vous avez plus que nous de clartés, de sagesse, Pour juger ce qui peut être digne de vous : Mais pour moi j'aurais cru qu'une grande Déesse Devrait moins se mettre en courroux."")","('#venus #mars', ""Tout doit le craindre, Tout doit l'aimer."")",1.16,Substitution
21,"('#venus', ""Et c'est là la raison de ce courroux extrême. Plus mon rang a d'éclat, plus l'affront est sanglant, Et si je n'étais pas dans ce degré suprême, Le dépit de mon coeur serait moins violent. Moi la fille du Dieu qui lance le tonnerre, Mère du Dieu qui fait aimer ; Moi, les plus doux souhaits du Ciel et de la Terre, Et qui ne suis venue au jour que pour charmer ; Moi, qui par tout ce qui respire Ai vu de tant de voeux encenser mes autels, Et qui de la beauté, par des droits immortels, Ai tenu de tout temps le souverain Empire ; Moi, dont les yeux ont mis deux grandes Déités Au point de me céder le prix de la plus belle, Je me vois ma victoire et mes droits disputés Par une chétive mortelle ! Le ridicule excès d'un fol entêtement Va jusqu'à m'opposer une petite fille ! Sur ses traits et les miens j'essuierai constamment Un téméraire jugement ! Et du haut des cieux où je brille, J'entendrai prononcer aux mortels prévenus, Elle est plus belle que Vénus !"")","('#venus #mars', ""Qu'il passe, au gré de ses désirs, De la gloire aux plaisirs, Des plaisirs à la gloire. Venez, aimables dieux, venez tous dans sa cour. Mêlez aux chants de victoire Les douces chansons d'amour. Bacchus et Cérès suivis de moissonneurs, de sylvains et de bacchantes, ramènent les amours, les Grâces, les plaisirs, et les jeux."")",0.45,Substitution
22,,"('#le-choeur-des-graces', ""Mêlons aux chants de victoire Les douces chansons d'amour."")",1.0,Deletion
23,"('#aegiale', ""Voilà comme l'on fait, c'est le style des Hommes, Ils sont impertinents dans leurs comparaisons."")","('#bacchus #ceres', ""Que tout le reste de la terre Porte envie au bonheur de ces lieux pleins d'attraits."")",1.53,Substitution
24,"('#phaene', ""Ils ne sauraient louer dans le siècle où nous sommes, Qu'ils n'outragent les plus grands noms."")","('#choeur #graces', ""Que tout le reste de la terre Porte envie au bonheur de ces lieux pleins d'attraits."")",1.09,Substitution
25,,"('#mars #venus', 'Au milieu de la guerre Goûtons les plaisirs de la paix.')",1.0,Deletion
26,"('#venus', ""Ah que de ces trois mots la rigueur insolente Venge bien Junon et Pallas, Et console leurs coeurs de la gloire éclatante Que la fameuse pomme acquit à mes appas ! Je les vois s'applaudir de mon inquiétude, Affecter à toute heure un ris malicieux, Et d'un fixe regard chercher avec étude Ma confusion dans mes yeux. Leur triomphante joie au fort d'un tel outrage, Semble me venir dire, insultant mon courroux, Vante, vante, Vénus, les traits de ton visage, Au jugement d'un seul tu l'emportas sur nous, Mais par le jugement de tous Une simple mortelle a sur toi l'avantage. Ah ! Ce coup-là m'achève, il me perce le coeur, Je n'en puis plus souffrir les rigueurs sans égales, Et c'est trop de surcroît à ma vive douleur, Que le plaisir de mes rivales. Mon fils, si j'eus jamais sur toi quelque crédit, Et si jamais je te fus chère, Si tu portes un coeur à sentir le dépit Qui trouble le coeur d'une mère, Qui si tendrement te chérit ; Emploie, emploie ici l'effort de ta puissance À soutenir mes intérêts, Et fais à Psyché par tes traits Sentir les traits de ma vengeance. Pour rendre son coeur malheureux, Prends celui de tes traits le plus propre à me plaire, Le plus empoisonné de ceux Que tu lances dans ta colère ; Du plus bas, du plus vil, du plus affreux mortel, Fais que jusqu'à la rage elle soit enflammée, Et qu'elle ait à souffrir le supplice cruel D'aimer, et n'être point aimée."")","('#le-choeur-graces', ""Au milieu de la guerre Goûtons les plaisirs de la paix. La troupe des moissonneurs commence une danse agréable, et environne Cérès dans le temps qu'elle chante."")",0.72,Substitution
27,"('#l-amour', ""Dans le Monde on n'entend que plaintes de l'Amour, On m'impute partout mille fautes commises, Et vous ne croiriez point le mal et les sottises Que l'on dit de moi chaque jour. Si pour servir votre colère..."")","('#ceres', ""Trop heureux qui moissonne Dans les champs des amours ! Amants que rien ne vous étonne, L'espérance est un grand secours : Quand on vient à cueillir les fruits que l'amour donne, On est riche à jamais, et content pour toujours, Trop heureux qui moissonne Dans les champs des amours. Bacchus chante au milieu des sylvains et des bacchantes qui dansent."")",0.59,Substitution
28,"('#venus', ""Va, ne résiste point aux souhaits de ta mère, N'applique tes raisonnements Qu'à chercher les plus prompts moments De faire un sacrifice à ma gloire outragée. Pars, pour toute réponse à mes empressements, Et ne me revois point que je ne sois vengée. L'Amour s'envole, et Vénus se retire avec les Grâces. La scène est changée en une grande ville, où l'on découvre des deux côtés, des palais et des maisons de différents ordres d'architecture. "")","('#bacchus', ""Pour les plus fortunés, pour les plus malheureux, Dans l'empire amoureux, Le dieu du vin est nécessaire : S'il prend part aux plaisirs c'est pour les redoubler ; Il charme les chagrins des cours qu'on désespère : Bacchus a de quoi consoler De tous les maux qu'amour peut faire. La troupe qui suit Cérès, et la troupe des suivants de Bacchus se réunissent, et expriment ensemble leur joie par une danse, que les autres dieux accompagnent de leurs chants ; et tous enfin se retirent pour faire place, et pour prendre part au magnifique divertissement qui va paraître."")",0.13,Substitution
29,"('#aglaure', ""Il est des maux, ma Soeur, que le silence aigrit, Laissons, laissons parler mon chagrin et le vôtre, Et de nos coeurs l'un à l'autre Exhalons le cuisant dépit : Nous nous voyons Soeurs d'infortune, Et la vôtre et la mienne ont un si grand rapport, Que nous pouvons mêler toutes les deux en une, Et dans notre juste transport Murmurer à plainte commune Des cruautés de notre sort. Quelle fatalité secrète, Ma soeur, soumet tout l'Univers Aux attraits de notre Cadette, Et de tant de princes divers Qu'en ces lieux la Fortune jette, N'en présente aucun à nos fers ? Quoi, voir de toutes parts pour lui rendre les armes, Les coeurs se précipiter, Et passer devant nos charmes, Sans s'y vouloir arrêter ? Quel sort ont nos yeux en partage, Et qu'est-ce qu'ils ont fait aux Dieux, De ne jouir d'aucun hommage, Parmi tous ces tributs de soupirs glorieux, Dont le superbe avantage Fait triompher d'autres yeux ? Est-il pour nous, ma Soeur, de plus rude disgrâce, Que de voir tous les coeurs mépriser nos appas, Et l'heureuse Psyché jouir avec audace D'une foule d'amants attachés à ses pas ?"")","('#mars #venus', ""Qu'il passe au gré de ses désirs De la gloire aux plaisirs, Des plaisirs à la gloire ; Venez, aimables dieux, venez tous, dans sa cour : Mêlez aux chants de victoire Les douces chansons d'amour."")",0.43,Substitution
30,,"('#le-choeur-des-graces', ""Mêlons aux chants de victoire Les douces chansons d'amour."")",1.0,Deletion
31,"('#cidippe', ""Ah, ma Soeur, c'est une aventure À faire perdre la raison, Et tous les maux de la Nature, Ne sont rien en comparaison."")","('#bacchus #ceres', ""Que tout le reste de la terre Porte envie au bonheur de ces lieux pleins d'attraits."")",1.13,Substitution
32,,"('#choeur-des-graces', ""Que tout le reste de la terre Porte envie au bonheur de ces lieux pleins d'attraits."")",1.0,Deletion
33,,"('#mars #venus', 'Au milieu de la guerre, Goûtons les plaisirs de la paix.')",1.0,Deletion
34,,"('#le-choeur-des-graces', 'Au milieu de la guerre, Goûtons les plaisirs de la paix.')",1.0,Deletion
35,,"('#le-choeur-des-combattants', ""Avançons, avançons ; que rien ne nous étonne ; Frappons, perçons, frappons ; qu'on n'épargne personne ; Il faut périr, il faut périr ; Il faut vaincre, ou mourir."")",1.0,Deletion
36,"('#aglaure', ""Pour moi j'en suis souvent jusqu'à verser des larmes, Tout plaisir, tout repos, par là m'est arraché, Contre un pareil malheur ma constance est sans armes, Toujours à ce chagrin mon esprit attaché Me tient devant les yeux la honte de nos charmes, Et le triomphe de Psyché. La nuit il m'en repasse une idée éternelle Qui sur toute chose prévaut ; Rien ne me peut chasser cette image cruelle, Et dès qu'un doux sommeil me vient délivrer d'elle, Dans mon esprit aussitôt Quelque songe la rappelle, Qui me réveille en sursaut."")","('#aegle', ""Quel que soit mon destin, il faut ici l'attendre, Minerve, c'est à vous que je viens recourir. Divinité qui devez prendre Le soin de nous défendre, Hâtez-vous de nous secourir."")",0.65,Substitution
37,,"('#le-choeur-des-combattants', 'Il faut vaincre, ou mourir.')",1.0,Deletion
38,"('#cidippe', 'Ma Soeur, voilà mon martyre, Dans vos discours je me vois, Et vous venez là de dire Tout ce qui se passe en moi.')","('#aegle', ""Ô ciel ! ô juste ciel ! Vous est-il doux d'entendre Ces cris pleins de fureur que je ne puis souffrir ? Dieux ! Aimez-vous à voir tant de sang se répandre ?"")",0.54,Substitution
39,,"('#le-choeur-des-combattants', 'Il faut périr, il faut périr, Il faut vaincre ou mourir.')",1.0,Deletion
40,"('#aglaure', ""Mais encor, raisonnons un peu sur cette affaire. Quels charmes si puissants en elle sont épars, Et par où, dites-moi, du grand secret de plaire, L'honneur est-il acquis à ses moindres regards ? Que voit-on dans sa personne, Pour inspirer tant d'ardeurs ? Quel droit de beauté lui donne L'empire de tous les coeurs ? Elle a quelques attraits, quelque éclat de jeunesse, On en tombe d'accord, je n'en disconviens pas ; Mais lui cède-t-on fort pour quelque peu d'aînesse, Et se voit-on sans appas ? Est-on d'une figure à faire qu'on se raille ? N'a-t-on point quelques traits, et quelques agréments, Quelque teint, quelques yeux, quelque air et quelque taille À pouvoir dans nos fers jeter quelques amants ? Ma soeur, faites-moi la grâce De me parler franchement : Suis-je faite d'un air à votre jugement, Que mon mérite au sien doive céder la place, Et dans quelque ajustement Trouvez-vous qu'elle m'efface ?"")","('#aegle', ""Est-ce aux athéniens, est-ce au parti contraire, Que l'avantage est demeuré ? Dis-moi pour qui le sort s'est enfin déclaré. Ton silence me désespère."")",0.69,Substitution
41,"('#cidippe', ""Qui, vous, ma Soeur ? Nullement. Hier à la chasse, près d'elle, Je vous regardai longtemps, Et sans vous donner d'encens, Vous me parûtes plus belle. Mais moi, dites ma Soeur, sans me vouloir flatter, Sont-ce des visions que je me mets en tête, Quand je me crois taillée à pouvoir mériter La gloire de quelque conquête ?"")","('#cleone', ""Pardonnez à la peur qui me force à me taire. Mes yeux troublés d'effroi n'ont rien considéré : Thésée est le dieu tutélaire Qui me donne en ce temple un refuge assuré : Je ne sais rien de plus, et j'ai cru beaucoup faire De gagner en tremblant cet asile sacré."")",0.47,Substitution
42,"('#aglaure', ""Vous, ma Soeur, vous avez, sans nul déguisement, Tout ce qui peut causer une amoureuse flamme ; Vos moindres actions brillent d'un agrément Dont je me sens toucher l'âme, Et je serais votre amant, Si j'étais autre que femme."")","('#aegle', ""Au milieu des clameurs, au travers du carnage, Thésée a jusqu'ici conduit mes pas errants : Son généreux courage A fait ses premiers soins de m'ouvrir un passage Entre deux effroyables rangs De morts et de mourants. N'as-tu point admiré l'ardeur noble et guerrière Dont il court au péril et s'expose au trépas ? Ah qu'un jeune héros dans l'horreur des combats Couvert de sang, et de poussière, Aux yeux d'une princesse fière A de charmants appas !"")",0.49,Substitution
43,"('#cidippe', ""D'où vient donc qu'on la voit l'emporter sur nous deux, Qu'à ses premiers regards les coeurs rendent les armes, Et que d'aucun tribut de soupirs et de voeux On ne fait honneur à nos charmes ?"")","('#cleone', ""Thésée est aimable, il vous aime ; Tout cède à sa valeur extrême ; Vous pouvez sans rougir souffrir à votre tour Que jusqu'à votre cour il porte sa victoire. Il n'est rien de si beau que les noeuds de l'amour Quand ils sont formés par la gloire."")",0.09,Substitution
44,"('#aglaure', ""Toutes les dames d'une voix Trouvent ses attraits peu de chose, Et du nombre d'amants qu'elle tient sous ses lois, Ma Soeur, j'ai découvert la cause."")","('#aegle #cleone', ""Il n'est rien de si beau que les noeuds de l'amour Quand ils sont formés par la gloire."")",1.17,Substitution
45,,"('#le-choeur-des-combattants', 'Il faut périr, il faut périr, Il faut vaincre, ou mourir.')",1.0,Deletion
46,,"('#aegle', ""Le ciel ne veut-il point mettre fin à nos peines ? Éclaircis-nous, Arcas, quel est le sort d'Athènes ?"")",1.0,Deletion
47,"('#cidippe', ""Pour moi je la devine, et l'on doit présumer Qu'il faut que là-dessous soit caché du mystère : Ce secret de tout enflammer N'est point de la Nature un effet ordinaire ; L'art de la Thessalie entre dans cette affaire, Et quelque main a su sans doute lui former Un charme pour se faire aimer."")","('#arcas', ""Le combat dure encor, il est sanglant, affreux, Et le succès en est douteux. Le roi m'a commandé de prendre Le soin de l'avertir s'il fallait vous défendre, Et ce n'est que pour vous qu'il est touché d'effroi..."")",0.73,Substitution
48,,"('#aegle', 'Thésée est-il avec le roi ?')",1.0,Deletion
49,"('#aglaure', ""Sur un plus fort appui ma croyance se fonde, Et le charme qu'elle a pour attirer les coeurs, C'est un air en tout temps désarmé de rigueurs, Des regards caressants que la bouche seconde, Un souris chargé de douceurs Qui tend les bras à tout le monde, Et ne vous promet que faveurs. Notre gloire n'est plus aujourd'hui conservée, Et l'on n'est plus au temps de ces nobles fiertés, Qui par un digne essai d'illustres cruautés, Voulaient voir d'un amant la constance éprouvée. De tout ce noble orgueil qui nous seyait si bien, On est bien descendu dans le siècle où nous sommes, Et l'on en est réduite à n'espérer plus rien, À moins que l'on se jette à la tête des hommes."")","('#arcas', ""Des plus fiers ennemis il écarte la foule, On reconnaît sa trace aux flots du sang qui coule : Une grêle de traits ne l'a point retenu."")",0.48,Substitution
50,"('#cidippe', ""Oui, voilà le secret de l'affaire, et je vois Que vous le prenez mieux que moi. C'est pour nous attacher à trop de bienséance, Qu'aucun amant, ma Soeur, à nous ne veut venir, Et nous voulons trop soutenir L'honneur de notre sexe, et de notre naissance. Les hommes maintenant aiment ce qui leur rit, L'espoir, plus que l'amour, est ce qui les attire, Et c'est par là que Psyché nous ravit Tous les amants qu'on voit sous son empire. Suivons, suivons l'exemple, ajustons-nous au temps, Abaissons-nous, ma Soeur, à faire des avances, Et ne ménageons plus de tristes bienséances Qui nous ôtent les fruits du plus beau de nos ans."")","('#aegle', ""Ô dieux ! ... Mon secret est connu ; Je crains devant Arcas d'en faire trop entendre, Cléone, s'il se peut, obtiens qu'il aille apprendre Ce que Thésée est devenu. Elle dit ce qui suit à Cléone."")",0.71,Substitution
51,"('#aglaure', ""J'approuve la pensée, et nous avons matière D'en faire l'épreuve première Aux deux princes qui sont les derniers arrivés. Il sont charmants, ma Soeur, et leur personne entière Me... Les avez-vous observés ?"")",,1.0,Insertion
52,"('#cidippe', ""Ah, ma Soeur, ils sont faits tous deux d'une manière, Que mon âme... Ce sont deux princes achevés."")","('#cleone', ""Laissons aller la princesse, Prier en paix la déesse. Arcas, je veux voir en ce jour Jusqu'où va pour moi ton amour."")",1.16,Substitution
53,"('#aglaure', ""Je trouve qu'on pourrait rechercher leur tendresse, Sans se faire déshonneur."")","('#arcas', 'Peux-tu douter de ma tendresse ?')",0.51,Substitution
54,"('#cidippe', 'Je trouve que sans honte une belle Princesse Leur pourrait donner son coeur.')","('#cleone', ""J'en doute encor, je le confesse. Tu m'as fait des serments cent fois Que tu suivrais toujours mes lois, Et qu'il te serait doux de mourir pour me plaire ; Mais la plupart des amants Sont sujets à faire Bien des faux serments."")",0.87,Substitution
55,,"('#arcas', ""Tu n'as qu'à commander, tu seras satisfaite."")",1.0,Deletion
56,"('#aglaure', ""Les voici tous deux, et j'admire Leur air et leur ajustement."")","('#cleone', ""Cherche Thésée, et suis ses pas Jusqu'à sa victoire parfaite, Ou jusqu'à son trépas."")",1.7,Substitution
57,"('#cidippe', 'Ils ne démentent nullement Tout ce que nous venons de dire.')",,1.0,Insertion
58,"('#aglaure', ""D'où vient, Princes, d'où vient que vous fuyez ainsi ? Prenez-vous l'épouvante en nous voyant paraître ?"")","('#arcas', ""D'où vient qu'en sa faveur ton âme s'inquiète ?"")",0.81,Substitution
59,,"('#cleone', ""Si tu veux que je t'aime, Arcas, Fais ce que je souhaite, Et ne réplique pas."")",1.0,Deletion
60,"('#cleomene', ""On nous faisait croire qu'ici La Princesse Psyché, Madame, pourrait être."")","('#arcas', ""Pour un autre que moi Cléone s'intéresse ? Prétends-tu que je sois un amant qui me presse De me charger d'un soin à mon amour fatal ? C'est un plaisir charmant de servir sa maîtresse, Mais c'est un chagrin sans égal De servir son rival. L'ordre du roi m'engage À prendre soin de vous."")",1.43,Substitution
61,"('#aglaure', ""Tous ces lieux n'ont-ils rien d'agréable pour vous, Si vous ne les voyez ornés de sa présence ?"")","('#cleone', ""L'ennemi jusqu'ici n'ose porter sa rage. Tout le monde est aux mains, veux-tu seul fuir les coups ?"")",1.56,Substitution
62,,"('#arcas', ""Ce grand empressement me donne de l'ombrage."")",1.0,Deletion
63,"('#agenor', 'Ces lieux peuvent avoir des charmes assez doux ; Mais nous cherchons Psyché dans notre impatience.')","('#cleone', ""La valeur à mes yeux a des charmes bien doux, Et le moindre soupçon m'outrage : Je ne veux point avoir d'époux Qui soit jaloux, Ni d'amant qui soit sans courage."")",0.8,Substitution
64,"('#cidippe', 'Quelque chose de bien pressant Vous doit à la chercher pousser tous deux sans doute.')","('#arcas', ""Faut-il qu'un étranger ait pour toi tant d'appas ?"")",1.6,Substitution
65,"('#cleomene', 'Le motif est assez puissant, Puisque notre fortune enfin en dépend toute.')","('#cleone', ""Je te l'ai déjà dit, et je te le répète, Si tu veux que je t'aime, Arcas Fais ce que je souhaite, Et ne réplique pas."")",1.49,Substitution
66,"('#aglaure', 'Ce serait trop à nous, que de nous informer Du secret que ces mots nous peuvent enfermer.')","('#arcas', ""Hé bien, je suivrai ton envie, J'en veux faire toujours ma loi ; La peur de te déplaire est mon plus grand effroi : Je crains peu d'exposer ma vie, Je ne puis hasarder rien qui ne soit à toi."")",0.94,Substitution
67,"('#cleomene', ""Nous ne prétendons point en faire de mystère ; Aussi bien malgré nous paraîtrait-il au jour, Et le secret ne dure guère, Madame, quand c'est de l'amour."")","('#le-choeur-des-combattants', ""Avançons, avançons ; que rien ne nous étonne ; Frappons, perçons, frappons, qu'on n'épargne personne ; Il faut périr, il faut périr, Il faut vaincre, ou mourir."")",0.77,Substitution
68,"('#cidippe', 'Sans aller plus avant, Princes, cela veut dire, Que vous aimez Psyché tous deux.')","('#la-grande-pretresse', 'Prions, prions la déesse De nous dégager Du danger Qui nous presse Prions, prions la déesse.')",1.47,Substitution
69,,"('#la-pretresse #aegle #cleone', 'Prions, prions, la déesse.')",1.0,Deletion
70,"('#agenor', 'Tous deux soumis à son empire Nous allons de concert lui découvrir nos feux.')","('#le-choeur-des-combattants', 'Mourez, mourez, perfides cours, Tombez sous les coups des vainqueurs.')",1.13,Substitution
71,,"('#la-grande-pretresse', 'Dieux ! Quelle barbarie !')",1.0,Deletion
72,"('#aglaure', ""C'est une nouveauté sans doute assez bizarre, Que deux rivaux si bien unis."")","('#aegle', 'Entendrons-nous toujours ces horribles clameurs ?')",1.57,Substitution
73,"('#cleomene', 'Il est vrai que la chose est rare, Mais non pas impossible à deux parfaits amis.')","('#la-pretresse #aegle #cleone', 'Dieux ! Quelle barbarie !')",1.89,Substitution
74,"('#cidippe', ""Est-ce que dans ces lieux il n'est qu'elle de belle, Et n'y trouvez-vous point à séparer vos voeux ?"")","('#le-choeur-des-combattants', 'Mourez, mourez, perfides cours, Tombez sous les coups des vainqueurs.')",1.16,Substitution
75,,"('#un-combattant', 'Sauve un malheureux qui te prie. Ah je meurs ! Ah je meurs !')",1.0,Deletion
76,,"('#la-pretresse #aegle #cleone', 'Dieux ! Quelle barbarie !')",1.0,Deletion
77,,"('#un-combattant', 'Ah je meurs ! Ah je meurs ! Sauve un malheureux qui te prie.')",1.0,Deletion
78,"('#aglaure', ""Parmi l'éclat du sang, vos yeux n'ont-ils vu qu'elle À pouvoir mériter vos feux ?"")","('#le-choeur-des-combattants', 'Mourez, mourez, perfides cours, Tombez sous les coups des vainqueurs.')",0.74,Substitution
79,"('#cleomene', ""Est-ce que l'on consulte au moment qu'on s'enflamme ? Choisit-on qui l'on veut aimer ? Et pour donner toute son âme, Regarde-t-on quel droit on a de nous charmer ?"")","('#la-grande-pretresse', 'Ô Minerve ! Arrêtez la cruelle furie Qui désole notre patrie : Écartez loin de nous la guerre et ses horreurs ; Ciel ! Épargnez le sang, contentez-vous de pleurs,')",1.41,Substitution
80,"('#agenor', ""Sans qu'on ait le pouvoir d'élire ; On suit dans une telle ardeur, Quelque chose qui nous attire, Et lorsque l'amour touche un coeur, On n'a point de raisons à dire."")","('#la-pretresse #aegle #cleone', 'Ciel ! Épargnez le sang, contentez-vous de pleurs.')",1.47,Substitution
