moliere-amants-magnifiques,quinault-fetes-amour-bacchus,Score
"('#timocles', ""Madame, je ne suis point pour me flatter, j'ai fait ce que j'ai pu pour toucher le coeur de la princesse Ériphile, et je m'y suis pris, que je crois, de toutes les tendres manières dont un amant se peut servir.  Je lui ai fait des hommages soumis de tous mes voeux ; j'ai montré des assiduités ; j'ai rendu des soins chaque jour ; j'ai fait chanter ma passion aux voix les plus touchantes, et l'ai exprimer en vers aux plumes les plus délicates ; je me suis plaint de mon martyre en des termes passionnés ; j'ai fait dire à mes yeux aussi bien qu'à ma bouche le désespoir de mon amour ; j'ai poussé à ses pieds, des soupirs languissants ; j'ai même répandu des larmes, mais tout cela inutilement, et je n'ai point connu qu'elle ait dans l'âme aucun ressentiment de mon ardeur."")",-,0.0
"('#aristione', 'Et vous, Prince ?')",-,0.0
"('#iphicrate', ""Pour moi, Madame, connaissant son indifférence et le peu de cas qu'elle fait des devoirs qu'on lui rend, je n'ai voulu perdre auprès d'elle ni plaintes, ni soupirs, ni larmes.  Je sais qu'elle est toute soumise à vos volontés, et que ce n'est que de votre main seule qu'elle voudra prendre un époux.  Aussi n'est-ce qu'à vous que je m'adresse pour l'obtenir, à vous plutôt qu'à elle que je rends tous mes soins et tous mes hommages.  Et plût au Ciel, Madame, que vous eussiez pu vous résoudre à tenir sa place ; que vous eussiez voulu jouir des conquêtes que vous lui faites, et recevoir pour vous les voeux que vous lui renvoyez."")",-,0.0
"('#aristione', ""Prince, le compliment est d'un amant adroit, et vous avez entendu dire qu'il fallait cajoler les mères pour obtenir les filles ; mais ici, par malheur, tout cela devient inutile, et je me suis engagée à laisser le choix entier à l'inclination de ma fille."")",-,0.0
"('#iphicrate', ""Quelque pouvoir que vous lui donniez pour ce choix, ce n'est point compliment, Madame, que ce que je vous dis.  Je ne recherche la princesse Ériphile, que parce qu'elle est votre sang ; je la trouve charmante par tout ce qu'elle tient de vous, et c'est vous que j'adore en elle."")",-,0.0
"('#aristione', 'Voilà qui est fort bien.')",-,0.0
"('#iphicrate', 'Oui, Madame, toute la terre voit en vous des attraits et des charmes que je...')",-,0.0
"('#aristione', ""De grâce, Prince, ôtons ces charmes et ces attraits : vous savez que ce sont des mots que je retranche des compliments qu'on veut me faire.  Je souffre qu'on me loue de ma sincérité, qu'on dise que je suis une bonne princesse, que j'ai de la parole pour tout le monde, de la chaleur pour mes amis, et de l'estime pour le mérite et la vertu, je puis tâter de tout cela ; mais pour les douceurs de charmes et d'attraits, je suis bien aise qu'on ne m'en serve point, et quelque vérité qui s'y pût rencontrer, on doit faire quelque scrupule d'en goûter la louange, quand on est mère d'une fille comme la mienne."")",-,0.0
"('#iphicrate', ""Ah !  Madame, c'est vous qui voulez être mère malgré tout le monde, il n'est point d'yeux qui ne s'y opposent, et si vous le vouliez la princesse Ériphile ne serait que votre soeur."")",-,0.0
"('#aristione', ""Mon_Dieu, Prince, je ne donne point dans tous ces galimatias où donnent la plupart des femmes ; je veux être mère, parce que je le suis, et ce serait en vain que je ne le voudrais pas être.  Ce titre n'a rien qui me choque, puisque, de mon consentement, je me suis exposée à le recevoir, c'est un faible de notre sexe, dont grâce au Ciel, je suis exempte, et je ne m'embarrasse point de ces grandes disputes d'âge, sur quoi nous voyons tant de folles.  Revenons à notre discours.  Est-il possible que jusqu'ici vous n'ayez pu connaître où penche l'inclination d'Ériphile ?"")",-,0.0
"('#iphicrate', 'Ce sont obscurités pour moi.')",-,0.0
"('#timocles', ""C'est pour moi un mystère impénétrable."")",-,0.0
"('#aristione', ""La pudeur peut-être l'empêche de s'expliquer à vous et à moi, servons-nous de quelque autre pour découvrir le secret de son coeur.  Sostrate, prenez de ma part cette commission, et rendez cet office à ces princes, de savoir adroitement de ma fille vers qui des deux ses sentiments peuvent tourner."")",-,0.0
"('#sostrate', ""Madame, vous avez cent personnes dans votre Cour, sur qui vous pourriez mieux verser l'honneur d'un tel emploi, et je me sens mal propre à bien exécuter ce que vous souhaitez de moi."")",-,0.0
"('#aristione', ""Votre mérite, Sostrate, n'est point borné aux seuls emplois de la guerre, vous avez de l'esprit, de la conduite, de l'adresse, et ma fille fait cas de vous."")",-,0.0
"('#sostrate', 'Quelque autre mieux que moi, Madame,...')",-,0.0
"('#aristione', 'Non, non, en vain vous vous en défendez.')",-,0.0
"('#sostrate', ""Puisque vous le voulez, Madame, il vous faut obéir, mais je vous jure que dans toute votre Cour, vous ne pouviez choisir personne qui ne fût en état de s'acquitter beaucoup mieux que moi d'une telle commission."")",-,0.0
"('#aristione', ""C'est trop de modestie, et vous vous acquitterez toujours bien de toutes les choses dont on vous chargera.  Découvrez doucement les sentiments d'Ériphile, et faites-la ressouvenir qu'il faut se rendre de bonne heure dans le bois de Diane."")",-,0.0
"('#iphicrate', ""Vous pouvez croire que je prends part à l'estime que la Princesse vous témoigne."")",-,0.0
"('#timocles', ""Vous pouvez croire que je suis ravi du choix que l'on a fait de vous."")",-,0.0
"('#iphicrate', 'Vous voilà en état de servir vos amis.')",-,0.0
"('#timocles', ""Vous avez de quoi rendre de bons offices aux gens qu'il vous plaira."")",-,0.0
"('#iphicrate', 'Je ne vous recommande point mes intérêts.')",-,0.0
"('#timocles', 'Je ne vous dis point de parler pour moi.')",-,0.0
"('#sostrate', ""Seigneurs, il serait inutile, j'aurais tort de passer les ordres de ma commission, et vous trouverez bon que je ne parle ni pour l'un, ni pour l'autre."")",-,0.0
"('#iphicrate', 'Je vous laisse agir comme il vous plaira.')",-,0.0
"('#timocles', 'Vous en userez comme vous voudrez.')",-,0.0
"('#iphicrate', ""Clitidas se ressouvient bien qu'il est de mes amis : je lui recommande toujours de prendre mes intérêts auprès de sa maîtresse, contre ceux de mon rival."")",-,0.0
"('#clitidas', ""Laissez-moi faire : il y a bien de la comparaison de lui à vous, et c'est un prince bien bâti pour vous le disputer."")",-,0.0
"('#iphicrate', 'Je reconnaîtrai ce service.')",-,0.0
"('#timocles', ""Mon rival fait sa cour à Clitidas ; mais Clitidas sait bien qu'il m'a promis d'appuyer contre lui les prétentions de mon amour."")",-,0.0
"('#clitidas', ""Assurément, et il se moque de croire l'emporter sur vous ; voilà auprès de vous un beau petit morveux de prince."")",-,0.0
"('#timocles', ""Il n'y a rien que je ne fasse pour Clitidas."")",-,0.0
"('#clitidas', ""Belles paroles de tous côtés.  Voici la Princesse ; prenons mon temps pour l'aborder."")",-,0.0
"('#cleonice', 'On trouvera étrange, Madame, que vous vous soyez ainsi écartée de tout le monde.')",-,0.0
"('#eriphile', ""Ah !  Qu'aux personnes comme nous qui sommes toujours accablées de tant de gens, un peu de solitude est parfois agréable, et qu'après mille impertinents entretiens, il est doux de s'entretenir avec ses pensées !  Qu'on me laisse ici promener toute seule."")",-,0.0
"('#cleonice', ""Ne voudriez-vous pas, Madame, voir un petit essai de la disposition de ces gens admirables qui veulent se donner à vous ?  Ce sont des personnes, qui par leurs pas, leurs gestes, et leurs mouvements expriment aux yeux toutes choses, et on appelle cela pantomimes.  J'ai tremblé à vous dire ce mot, et il y a des gens dans votre Cour qui ne me le pardonneraient pas."")",-,0.0
"('#eriphile', ""Vous avez bien la mine, Cléonice, de me venir ici régaler d'un mauvais divertissement ; car, grâce au Ciel vous ne manquez pas de vouloir produire indifféremment tout ce qui se présente à vous, et vous avez une affabilité qui ne rejette rien.  Aussi est-ce à vous seule qu'on voit avoir recours toutes les muses nécessitantes ; vous êtes la grande protectrice du mérite incommodé, et tout ce qu'il y a de vertueux indigents au monde va débarquer chez nous."")",-,0.0
"('#cleonice', ""Si vous n'avez pas envie de les voir, Madame, il ne faut que les laisser là."")",-,0.0
"('#eriphile', 'Non, non, voyons-les, faites-les venir.')",-,0.0
"('#cleonice', 'Mais peut-être, Madame, que leur danse sera méchante.')",-,0.0
"('#eriphile', 'Méchant, ou non, il la faut voir ; ce ne serait avec vous que reculer la chose, et il vaut mieux en être quitte.')",-,0.0
"('#cleonice', ""Ce ne sera ici, Madame, qu'une danse ordinaire, une autre fois..."")",-,0.0
"('#eriphile', ""Point de préambule, Cléonice, qu'ils dansent."")",-,0.0
"('#eriphile', ""Voilà qui est admirable !  Je ne crois pas qu'on puisse mieux danser qu'ils dansent, et je suis bien aise de les avoir à moi."")",-,0.0
"('#cleonice', ""Et moi, Madame, je suis bien aise que vous ayez vu que je n'ai pas si méchant goût que vous avez pensé."")",-,0.0
"('#eriphile', ""Ne triomphez point tant, vous ne tarderez guère à me faire avoir ma revanche, qu'on me laisse ici."")",-,0.0
"('#cleonice', 'Je vous avertis, Clitidas, que la Princesse veut être seule.')",-,0.0
"('#clitidas', 'Laissez-moi faire, je suis homme qui sais ma cour.')",-,0.0
"('#clitidas', 'La, la, la, la, ah !')",-,0.0
"('#eriphile', 'Clitidas.')",-,0.0
"('#clitidas', 'Je ne vous avais pas vue là, Madame.')",-,0.0
"('#eriphile', ""Approche.  D'où viens-tu ?"")",-,0.0
"('#clitidas', ""De laisser la Princesse votre mère qui s'en allait vers le temple d'Apollon, accompagnée de beaucoup de gens."")",-,0.0
"('#eriphile', 'Ne trouves-tu pas ces lieux les plus charmants du monde ?')",-,0.0
"('#clitidas', 'Assurément.  Les Princes vos amants y étaient.')",-,0.0
"('#eriphile', ""Le fleuve Pénée fait ici d'agréables détours."")",-,0.0
"('#clitidas', 'Fort agréables.  Sostrate y était aussi.')",-,0.0
"('#eriphile', ""D'où vient qu'il n'est pas venu à la promenade ?"")",-,0.0
"('#clitidas', ""Il a quelque chose dans la tête qui l'empêche de prendre plaisir à tous ces beaux régales.  Il m'a voulu entretenir, mais vous m'avez défendu si expressément de me charger d'aucune affaire auprès de vous, que je n'ai point voulu lui prêter l'oreille, et je lui ai dit nettement que je n'avais pas le loisir de l'entendre."")",-,0.0
"('#eriphile', ""Tu as eu tort de lui dire cela, et tu devais l'écouter."")",-,0.0
"('#clitidas', ""Je lui ai dit d'abord que je n'avais pas le loisir de l'entendre, mais après je lui ai donné audience."")",-,0.0
"('#eriphile', 'Tu as bien fait.')",-,0.0
"('#clitidas', ""En vérité c'est un homme qui me revient, un homme fait comme je veux que les hommes soient faits : ne prenant point des manières bruyantes et des tons de voix assommants ; sage et posé en toutes choses ; ne parlant jamais que bien à propos ; point prompt à décider ; point du tout exagérateur incommode ; et quelques beaux vers que nos poètes lui aient récités, je ne lui ai jamais ouï dire voilà qui est plus beau que tout ce qu'a jamais fait Homère.  Enfin, c'est un homme pour qui je me sens de l'inclination, et si j'étais princesse, il ne serait pas malheureux."")",-,0.0
"('#eriphile', ""C'est un homme d'un grand mérite assurément, mais de quoi t'a-t-il parlé ?"")",-,0.0
"('#clitidas', ""Il m'a demandé si vous aviez témoigné grande joie au magnifique régale que l'on vous a donné ; m'a parlé de votre personne avec des transports les plus grands du monde, vous a mise au-dessus du ciel, et vous a donné toutes les louanges qu'on peut donner à la princesse la plus accomplie de la terre, entremêlant tout cela de plusieurs soupirs, qui disaient plus qu'il ne voulait.  Enfin, à force de le tourner de tous côtés, et de le presser sur la cause de cette profonde mélancolie, dont toute la Cour s'aperçoit, il a été contraint de m'avouer qu'il était amoureux."")",-,0.0
"('#eriphile', ""Comment amoureux ?  Quelle témérité est la sienne !  C'est un extravagant que je ne verrai de ma vie."")",-,0.0
"('#clitidas', 'De quoi vous plaignez-vous, Madame ?')",-,0.0
"('#eriphile', ""Avoir l'audace de m'aimer, et de plus avoir l'audace de le dire ?"")",-,0.0
"('#clitidas', ""Ce n'est pas vous, Madame, dont il est amoureux."")",-,0.0
"('#eriphile', ""Ce n'est pas moi ?"")",-,0.0
"('#clitidas', 'Non, Madame, il vous respecte trop pour cela, et est trop sage pour y penser.')",-,0.0
"('#eriphile', 'Et de qui donc, Clitidas ?')",-,0.0
"('#clitidas', ""D'une de vos filles la jeune Arsinoé."")",-,0.0
"('#eriphile', ""A-t-elle tant d'appas, qu'il n'ait trouvé qu'elle digne de son amour ?"")",-,0.0
"('#clitidas', ""Il l'aime éperdument, et vous conjure d'honorer sa flamme de votre protection."")",-,0.0
"('#eriphile', 'Moi ?')",-,0.0
"('#clitidas', ""Non, non, Madame, je vois que la chose ne vous plaît pas.  Votre colère m'a obligé à prendre ce détour, et pour vous dire la vérité, c'est vous qu'il aime éperdument."")",-,0.0
"('#eriphile', ""Vous êtes un insolent de venir ainsi surprendre mes sentiments.  Allons, sortez d'ici, vous vous mêlez de vouloir lire dans les âmes ; de vouloir pénétrer dans les secrets du coeur d'une princesse.  Ôtez-vous de mes yeux, et que je ne vous voie jamais, Clitidas."")",-,0.0
"('#clitidas', 'Madame.')",-,0.0
"('#eriphile', 'Venez ici.  Je vous pardonne cette affaire-là.')",-,0.0
"('#clitidas', 'Trop de bonté, Madame.')",-,0.0
"('#eriphile', ""Mais à condition, prenez bien garde à ce que je vous dis, que vous n'en ouvrirez la bouche à personne du monde, sur peine de la vie."")",-,0.0
"('#clitidas', 'Il suffit.')",-,0.0
"('#eriphile', ""Sostrate t'a donc dit qu'il m'aimait ?"")",-,0.0
"('#clitidas', ""Non, Madame : il faut vous dire la vérité.  J'ai tiré de son coeur par surprise un secret qu'il veut cacher à tout le monde et avec lequel il est, dit-il, résolu de mourir.  Il a été au désespoir du vol subtil que je lui en ai fait, et bien loin de me charger de vous le découvrir, il m'a conjuré, avec toutes les instantes prières qu'on saurait faire, de ne vous en rien révéler, et c'est trahison contre lui que ce que je viens de vous dire."")",-,0.0
"('#eriphile', ""Tant mieux, c'est par son seul respect qu'il peut me plaire ; et s'il était si hardi que de me déclarer son amour, il perdrait pour jamais, et ma présence, et mon estime."")",-,0.0
"('#clitidas', 'Ne craignez point, Madame...')",-,0.0
"('#eriphile', 'Le voici ; souvenez-vous au moins, si vous êtes sage, de la défense que je vous ai faite.')",-,0.0
"('#clitidas', 'Cela est fait, Madame, il ne faut pas être courtisan indiscret.')",-,0.0
"('#sostrate', ""J'ai une excuse, Madame, pour oser interrompre votre solitude, et j'ai reçu de la Princesse votre mère une commission qui autorise la hardiesse que je prends maintenant."")",-,0.0
"('#eriphile', 'Quelle commission, Sostrate ?')",-,0.0
"('#sostrate', ""Celle, Madame, de tâcher d'apprendre de vous vers lequel des deux Princes peut incliner votre coeur."")",-,0.0
"('#eriphile', ""La Princesse ma mère montre un esprit judicieux dans le choix qu'elle a fait de vous pour un pareil emploi.  Cette commission, Sostrate, vous a été agréable sans doute, et vous l'avez acceptée avec beaucoup de joie."")",-,0.0
"('#sostrate', ""Je l'ai acceptée, Madame, par la nécessité que mon devoir m'impose d'obéir, et si la Princesse avait voulu recevoir mes excuses, elle aurait honoré quelqu'autre de cet emploi."")",-,0.0
"('#eriphile', 'Quelle cause, Sostrate, vous obligeait à le refuser ?')",-,0.0
"('#sostrate', ""La crainte, Madame, de m'en acquitter mal."")",-,0.0
"('#eriphile', 'Croyez-vous que je ne vous estime pas assez pour vous ouvrir mon coeur, et vous donner toutes les lumières que vous pourrez désirer de moi sur le sujet de ces deux Princes ?')",-,0.0
"('#sostrate', ""Je ne désire rien pour moi là-dessus, Madame, et je ne vous demande que ce que vous croirez devoir donner aux ordres qui m'amènent."")",-,0.0
"('#eriphile', ""Jusques ici je me suis défendue de m'expliquer, et la Princesse ma mère a eu la bonté de souffrir que j'aie reculé toujours ce choix qui me doit engager ; mais je serai bien aise de témoigner à tout le monde que je veux faire quelque chose pour l'amour de vous, et si vous m'en pressez je rendrai cet arrêt qu'on attend depuis si longtemps."")",-,0.0
"('#sostrate', ""C'est une chose, Madame, dont vous ne serez point importunée par moi, et je ne saurais me résoudre à presser une princesse qui sait trop ce qu'elle a à faire."")",-,0.0
