,moliere-impromptu-versailles,sand-roi-attend,Cost,Operation Type
47,"('#mademoiselle-bejart', ""Le moyen !  Une respectueuse excuse fondée sur l'impossibilité de la chose dans le peu de temps qu'on vous donne ; et tout autre en votre place ménagerait mieux sa réputation, et se serait bien gardé de se commettre comme vous faites.  Où en serez-vous, je vous prie, si l'affaire réussit mal ?  Et quel avantage pensez-vous qu'en prendront tous vos ennemis ? "")",,1.0,Insertion
48,"('#mademoiselle-de-brie', ""En effet il fallait s'excuser avec respect envers le Roi, ou demander du temps davantage."")","('#mademoiselle-moliere', ""Cela est bel et bon, monsieur mon mari ; mais, si les rois demandent l'impossible..."")",0.84,Substitution
49,"('#moliere', ""Mon_Dieu, Mademoiselle, les rois n'aiment rien tant qu'une prompte obéissance, et ne se plaisent point du tout à trouver des obstacles.  Les choses ne sont bonnes que dans le temps qu'ils les souhaitent ; et leur en vouloir reculer le divertissement, est en ôter pour eux toute la grâce.  Ils veulent des plaisirs qui ne se fassent point attendre, et les moins préparés leur sont toujours les plus agréables, nous ne devons jamais nous regarder dans ce qu'ils désirent de nous, nous ne sommes que pour leur plaire ; et lorsqu'ils nous ordonnent quelque chose, c'est à nous à profiter vite de l'envie où ils sont.  Il vaut mieux s'acquitter mal de ce qu'ils nous demandent, que de ne s'en acquitter pas assez tôt ; et si l'on a la honte de n'avoir pas bien réussi, on a toujours la gloire d'avoir obéi vite à leurs commandements.  Mais songeons à répéter s'il vous plaît. "")",,1.0,Insertion
50,"('#mademoiselle-bejart', 'Comment prétendez-vous que nous fassions, si nous ne savons pas nos rôles ? ')",,1.0,Insertion
51,"('#moliere', ""Vous les saurez, vous dis-je, et quand même vous ne les sauriez pas tout à fait, pouvez-vous pas y suppléer de votre esprit, puisque c'est de la prose, et que vous savez votre sujet ? "")",,1.0,Insertion
52,"('#mademoiselle-bejart', 'Je suis votre servante, la prose est pis encore que les vers. ')",,1.0,Insertion
53,"('#mademoiselle-moliere', 'Voulez-vous que je vous dise, vous deviez faire une comédie où vous auriez joué tout seul. ')",,1.0,Insertion
54,"('#moliere', 'Taisez-vous, ma femme, vous êtes une bête. ')","('#moliere', 'Taisez-vous, ma femme ; vous êtes une bête ?')",0.0,Match
55,"('#mademoiselle-moliere', ""Grand merci, Monsieur mon mari, voilà ce que c'est, le mariage change bien les gens, et vous ne m'auriez pas dit cela il y a dix-huit mois. "")","('#mademoiselle-moliere', ""Grand merci !  Voilà ce que c'est ; le mariage change bien les gens, et vous ne m'auriez pas dit cela il y a dix-huit mois."")",0.0,Match
56,"('#moliere', 'Taisez-vous, je vous prie. ')","('#moliere', 'Taisez-vous, je vous prie.')",0.0,Match
57,"('#mademoiselle-moliere', ""C'est une chose étrange, qu'une petite cérémonie soit capable de nous ôter toutes nos belles qualités, et qu'un mari, et un galant regardent la même personne avec des yeux si différents. "")",,1.0,Insertion
58,"('#moliere', 'Que de discours ! ')",,1.0,Insertion
59,"('#mademoiselle-moliere', ""Ma foi, si je faisais une comédie, je la ferais sur ce sujet, je justifierais les femmes de bien des choses dont on les accuse, et je ferais craindre aux maris la différence qu'il y a de leurs manières brusques aux civilités des galants. "")","('#mademoiselle-moliere', ""Quant à moi, je ne m'en soucie point, et il n'y a ici de roi qui tienne.  Je ne sais pas une parole de la pièce, et, si le roi n'est point content, qu'il s'en prenne à vous."")",0.76,Substitution
60,"('#moliere', ""Ahy, laissons cela, il n'est pas question de causer maintenant, nous avons autre chose à faire. "")","('#moliere', ""Ma femme, allons tout doucement, s'il vous plaît.  Le roi n'est pas loin et pourrait vous entendre."")",1.33,Substitution
61,"('#mademoiselle-bejart', ""Mais puisqu'on vous a commandé de travailler sur le sujet de la Critique qu'on a faite contre vous, que n'avez-vous fait cette comédie des comédiens dont vous nous avez parlé il y a longtemps, c'était une affaire toute trouvée, et qui venait fort bien à la chose, et d'autant mieux, qu'ayant entrepris de vous peindre, ils vous ouvraient l'occasion de les peindre aussi, et que cela aurait pu s'appeler leur portrait, à bien plus juste titre que tout ce qu'ils ont fait ne peut être appelé le vôtre ; car vouloir contrefaire un comédien dans un rôle comique, ce n'est pas le peindre lui-même, c'est peindre d'après lui les personnages qu'il représente, et se servir des mêmes traits et des mêmes couleurs, qu'il est obligé d'employer aux différents tableaux des caractères ridicules, qu'il imite d'après nature.  Mais contrefaire un comédien dans des rôles sérieux, c'est le peindre par des défauts qui sont entièrement de lui, puisque ces sortes de personnages ne veulent, ni les gestes, ni les tons de voix ridicules, dans lesquels on le reconnaît. "")",,1.0,Insertion
62,"('#moliere', ""Il est vrai, mais j'ai mes raisons pour ne le pas faire, et je n'ai pas cru entre nous que la chose en valût la peine, et puis il fallait plus de temps pour exécuter cette idée.  Comme leurs jours de comédies sont les mêmes que les nôtres, à peine ai-je été les voir, que trois ou quatre fois depuis que nous sommes à Paris ; je n'ai attrapé de leur manière de réciter, que ce qui m'a d'abord sauté aux yeux, et j'aurais eu besoin de les étudier davantage pour faire des portraits bien ressemblants."")","('#mademoiselle-moliere', ""Je n'en démordrai point.  Si je n'ai pas de mémoire, le roi ne saurait m'en faire avoir, et je trouve que ce n'est point la peine de vous tant moquer des courtisans, pour ensuite venir dire ce qu'ils disent et faire ce qu'ils font."")",0.36,Substitution
63,"('#mademoiselle-du-parc', ""Pour moi, j'en ai reconnu quelques-uns dans votre bouche. "")",,1.0,Insertion
64,"('#mademoiselle-de-brie', ""Je n'ai jamais ouï parler de cela. "")",,1.0,Insertion
65,"('#moliere', ""C'est une idée qui m'avait passé une fois par la tête, et que j'ai laissée là comme une bagatelle, une badinerie, qui peut-être n'aurait point fait rire. "")",,1.0,Insertion
66,"('#mademoiselle-de-brie', ""Dites-la-moi un peu, puisque vous l'avez dite aux autres. "")","('#moliere', ""Oh !  La peste soit des femmes et de leur langue !  Songeons à répéter, s'il vous plaît."")",0.99,Substitution
67,"('#moliere', ""Nous n'avons pas le temps maintenant. "")",,1.0,Insertion
68,"('#mademoiselle-de-brie', 'Seulement deux mots. ')",,1.0,Insertion
69,"('#moliere', ""Te le dirai-je, Araspe ? Il m'a trop bien servi ;  Augmentant mon pouvoir... Te le dirai-je, Araspe ?... etc... Iras-tu, ma chère âme, et ce funeste honneur, Te plaît-il aux dépens de tout notre bonheur ? Hélas ! Je vois trop bien..., etc... Iras-tu, ma chère âme..., etc... Non, je te connais mieux..., etc... J'avais songé une comédie où il y aurait eu un poète, que j'aurais représenté moi-même, qui serait venu pour offrir une pièce à une troupe de comédiens nouvellement arrivés de la campagne.  Avez-vous, aurait-il dit, des acteurs et des actrices, qui soient capables de bien faire valoir un ouvrage, car ma pièce est une pièce...  Eh !  Monsieur, auraient répondu les comédiens, nous avons des hommes et des femmes qui ont été trouvés raisonnables partout où nous avons passé.  Et qui fait les rois parmi vous ?  Voilà un acteur qui s'en démêle parfois.  Qui !  Ce jeune homme bien fait ?  Vous moquez-vous ?  Il faut un Roi qui soit gros et gras comme quatre.  Un Roi, morbleu, qui soit entripaillé comme il faut ?  Un Roi d'une vaste circonférence, et qui puisse remplir un trône de la belle manière !  La belle chose qu'un Roi d'une taille galante !  Voilà déjà un grand défaut ; mais que je l'entende un peu réciter une douzaine de vers.  Là-dessus le comédien aurait récité, par exemple, quelques vers du roi de Nicomède :  Le plus naturellement qu'il aurait été possible.  Et le poète : comment vous appelez cela réciter ?  C'est se railler ; il faut dire les choses avec emphase.  Écoutez-moi.  Voyez-vous cette posture ?  Remarquez bien cela.  Là, appuyer comme il faut le dernier vers.  Voilà ce qui attire l'approbation, et fait faire le brouhaha.  Mais, Monsieur, aurait répondu le comédien, il me semble qu'un Roi qui s'entretient tout seul avec son Capitaine des Gardes parle un peu plus humainement, et ne prend guère ce ton de démoniaque.  Vous ne savez ce que c'est.  Allez-vous-en réciter comme vous faites, vous verrez si vous ferez faire aucun Ah !  Voyons un peu une scène d'amant et d'amante.  Là-dessus une comédienne et un comédien auraient fait une scène ensemble, qui est celle de Camille et de Curiace.  Tout de même que l'autre, et le plus naturellement qu'ils auraient pu.  Et le poète aussitôt : vous vous moquez, vous ne faites rien qui vaille, et voici comme il faut réciter cela.  Voyez-vous comme cela est naturel et passionné ?  Admirez ce visage riant qu'elle conserve dans les plus grandes afflictions.  Enfin, voilà l'idée, et il aurait parcouru de même tous les acteurs et toutes les actrices.  Imitant Montfleury, excellent acteur de l'hôtel de Bourgogne Imitant Mademoiselle Beauchâteau, comédienne de l'hôtel de Bourgogne."")","('#la-grange', ""Renonçons-y plutôt, s'il vous plaît.  C'est bien là chose impossible, quand aucun de nous n'a eu le temps de faire ce que l'on demande, de se mettre en scène et de débiter des choses qu'on ne sait point.  Je suis votre valet, mais pour mille pistoles vous ne me feriez point jouer."")",0.26,Substitution
70,"('#mademoiselle-de-brie', ""Je trouve cette idée assez plaisante, et j'en ai reconnu là dès le premier vers.  Continuez, je vous prie. "")",,1.0,Insertion
71,"('#moliere', ""Percé jusques au fond du coeur, etc... L'inimitié qui règne entre les deux partis,  n'y rend pas de l'honneur... etc. Et celui-ci, le reconnaîtrez-vous bien dans Pompée de Sertorius ?  Imitant Hauteroche, aussi comédien."")",,1.0,Insertion
72,"('#mademoiselle-de-brie', 'Je le reconnais un peu, je pense. ')",,1.0,Insertion
73,"('#moliere', 'Seigneur, Polybe est mort... etc. Et celui-ci ? Imitant De Villiers, aussi comédien.')",,1.0,Insertion
74,"('#mademoiselle-de-brie', ""Oui, je sais qui c'est, mais il y en a quelques-uns d'entre eux, je crois, que vous auriez peine à contrefaire. "")","('#ducroisy', 'Ni moi, pour vingt-cinq bons coups de fouet.')",1.42,Substitution
75,"('#moliere', ""Mon_Dieu, il n'y en a point qu'on ne pût attraper par quelque endroit si je les avais bien étudiés ; mais vous me faites perdre un temps qui nous est cher.  Songeons à nous, de grâce, et ne nous amusons point davantage à discourir.  Vous, prenez garde à bien représenter avec moi votre rôle de Marquis.  Parlant à de La Grange."")","('#moliere', ""Mon_Dieu, j'entends du bruit ; c'est le roi qui arrive assurément, et je vois bien que nous n'aurons pas le temps de passer outre.  Voilà ce que c'est que de se quereller.  Eh bien, faites donc, pour le reste, du mieux qu'il vous sera possible."")",0.56,Substitution
76,"('#mademoiselle-moliere', 'Toujours des marquis ! ')",,1.0,Insertion
77,"('#moliere', ""Oui, toujours des Marquis, que diable voulez-vous qu'on prenne pour un caractère agréable de théâtre ; le Marquis aujourd'hui est le plaisant de la comédie.  Et comme dans toutes les comédies anciennes on voit toujours un valet bouffon qui fait rire les auditeurs, de même dans toutes nos pièces de maintenant, il faut toujours un marquis ridicule qui divertisse la compagnie. "")",,1.0,Insertion
78,"('#mademoiselle-bejart', ""Il est vrai, on ne s'en saurait passer. "")",,1.0,Insertion
79,"('#moliere', 'Pour vous, Mademoiselle... ')",,1.0,Insertion
80,"('#mademoiselle-du-parc', ""Mon_Dieu, pour moi, je m'acquitterai fort mal de mon personnage, et je ne sais pas pourquoi vous m'avez donné ce rôle de façonnière. "")","('#mademoiselle-bejart', 'Par ma foi, la frayeur me prend, et je ne saurais aller jouer mon rôle, si je ne le répète tout entier.')",0.69,Substitution
81,"('#moliere', ""Mon_Dieu, Mademoiselle, voilà comme vous disiez lorsque l'on vous donna celui de la Critique de l'École des femmes ; cependant vous vous en êtes acquittée à merveille, et tout le monde est demeuré d'accord qu'on ne peut pas mieux faire que vous avez fait, croyez-moi, celui-ci sera de même, et vous le jouerez mieux que vous ne pensez. "")",,1.0,Insertion
82,"('#mademoiselle-du-parc', ""Comment cela se pourrait-il faire, car il n'y a point de personne au monde qui soit moins façonnière que moi. "")",,1.0,Insertion
83,"('#moliere', ""Cela est vrai, et c'est en quoi vous faites mieux voir que vous êtes excellente comédienne, de bien représenter un personnage qui est si contraire à votre humeur : tâchez donc de bien prendre tous le caractère de vos rôles, et de vous figurer que vous êtes ce que vous représentez.  Vous faites le poète, vous, et vous devez vous remplir de ce personnage, marquer cet air pédant qui se conserve parmi le commerce du beau monde, ce ton de voix sentencieux, et cette exactitude de prononciation qui appuie sur toutes les syllabes, et ne laisse échapper aucune lettre de la plus sévère orthographe.  Pour vous, vous faites un honnête homme de Cour, comme vous avez déjà fait dans la Critique de l'École des femmes, c'est-à-dire que vous devez prendre un air posé, un ton de voix naturel, et gesticuler le moins qu'il vous sera possible.  Pour vous, je n'ai rien à vous dire.  Vous, vous représentez une de ces femmes, qui pourvu qu'elles ne fassent point l'amour, croient que tout le reste leur est permis, de ces femmes qui se retranchent toujours fièrement sur leur pruderie, regardent un chacun de haut en bas, et veulent que toutes les plus belles qualités que possèdent les autres, ne soient rien en comparaison d'un misérable honneur dont personne ne se soucie, ayez toujours ce caractère devant les yeux, pour en bien faire les grimaces.  Pour vous, vous faites une de ces femmes qui pensent être les plus vertueuses personnes du monde pourvu qu'elles sauvent les apparences, de ces femmes qui croient que le péché n'est que dans le scandale, qui veulent conduire doucement les affaires qu'elles ont sur le pied d'attachement honnête, et appellent amis ce que les autres nomment galants, entrez bien dans ce caractère.  Vous, vous faites le même personnage que dans la Critique, et je n'ai rien à vous dire,non plus qu'à Mademoiselle Du Parc.  Pour vous, vous représentez une de ces personnes qui prêtent doucement des charités à tout le monde, de ces femmes qui donnent toujours le petit coup de langue en passant, et seraient bien fâchées d'avoir souffert qu'on eût dit du bien du prochain ; je crois que vous ne vous acquitterez pas mal de ce rôle.  Et pour vous, vous êtes la soubrette de la précieuse, qui se mêle de temps en temps dans la conversation, et attrape, comme elle peut, tous les termes de sa maîtresse ; je vous dis tous vos caractères, afin que vous vous les imprimiez fortement dans l'esprit.  Commençons maintenant à répéter, et voyons comme cela ira.  Ah !  Voici justement un fâcheux, il ne nous fallait plus que cela.  À Du Croisy. À Brécourt. À de La Grange. À Mademoiselle Béjart. À Mademoiselle de Brie. À Mademoiselle Molière. À Mademoiselle Du Croisy. À Mademoiselle Hervé."")","('#moliere', 'Comment, vous ne sauriez allez jouer votre rôle ?')",1.18,Substitution
84,"('#la-thorilliere', 'Bonjour, Monsieur Molière. ')",,1.0,Insertion
85,"('#moliere', ""Monsieur, votre serviteur.  La peste soit de l'homme ! "")",,1.0,Insertion
86,"('#la-thorilliere', 'Comment vous en va ? ')",,1.0,Insertion
87,"('#moliere', 'Fort bien pour vous servir.  Mesdemoiselles, ne... ')",,1.0,Insertion
88,"('#la-thorilliere', ""Je viens d'un lieu où j'ai bien dit du bien de vous. "")","('#mademoiselle-bejart', 'Non.')",1.3,Substitution
89,"('#moliere', ""Je vous suis obligé.  Que le diable t'emporte.  Ayez un peu soin... "")","('#mademoiselle-duparc', 'Ni moi le mien.')",1.64,Substitution
90,"('#la-thorilliere', ""Vous jouez une pièce nouvelle aujourd'hui ? "")","('#mademoiselle-de-brie', 'Ni moi non plus.')",1.95,Substitution
91,"('#moliere', ""Oui, Monsieur.  N'oubliez pas... "")","('#mademoiselle-moliere', 'Ni moi.')",1.4,Substitution
92,"('#la-thorilliere', ""C'est le Roi qui vous la fait faire ? "")",,1.0,Insertion
93,"('#moliere', 'Oui, Monsieur.  De grâce, songez... ')",,1.0,Insertion
94,"('#la-thorilliere', ""Comment l'appelez-vous ? "")","('#mademoiselle-herve', 'Ni moi.')",1.47,Substitution
95,"('#moliere', 'Oui, Monsieur. ')","('#mademoiselle-ducroisy', 'Ni moi.')",0.91,Substitution
96,"('#la-thorilliere', 'Je vous demande comment vous la nommez ? ')","('#moliere', 'Que pensez-vous donc faire ?  Vous moquez-vous toutes de moi ?')",0.67,Substitution
97,,"('#bejart', ""Messieurs, je viens vous avertir que le roi est venu, et qu'il attend que vous commenciez."")",1.0,Deletion
98,"('#moliere', ""Ah !  Ma foi, je ne sais.  Il faut, s'il vous plaît, que vous... "")","('#moliere', ""Ah !  Monsieur, vous me voyez dans la plus grande peine du monde.  Voici des femmes qui s'effrayent et qui disent qu'il leur faut répéter leurs rôles avant d'aller commencer.  Nous demandons de grâce encore un moment... Hé !  Pour Dieu, tâchez de vous remettre.  Prenez courage, je vous prie. Aux actrices."")",1.12,Substitution
99,"('#la-thorilliere', 'Comment serez-vous habillés ? ')","('#mademoiselle-duparc', 'Vous devez vous aller excuser.')",1.54,Substitution
100,"('#moliere', 'Comme vous voyez.  Je vous prie... ')","('#moliere', ""Comment m'excuser ?"")",0.92,Substitution
101,"('#la-thorilliere', 'Quand commencerez-vous ? ')","('#un-necessaire', 'Messieurs, commencez donc !')",0.0,Match
102,"('#moliere', 'Quand le Roi sera venu.  Au diantre le questionneur ! ')",,1.0,Insertion
103,"('#la-thorilliere', ""Quand croyez-vous qu'il vienne ? "")",,1.0,Insertion
104,"('#moliere', ""La peste m'étouffe, Monsieur, si je le sais. "")",,1.0,Insertion
105,"('#la-thorilliere', 'Savez-vous point... ')",,1.0,Insertion
106,"('#moliere', ""Tenez, Monsieur, je suis le plus ignorant homme du monde, je ne sais rien de tout ce que vous pourrez me demander, je vous jure.  J'enrage, ce bourreau vient avec un air tranquille vous faire des questions, et ne se soucie pas qu'on ait en tête d'autres affaires. "")","('#moliere', ""Tout à l'heure, monsieur.  Je crois que je perdrai l'esprit de cette affaire-ci, et..."")",1.24,Substitution
107,"('#la-thorilliere', 'Mesdemoiselles, votre serviteur. ')","('#le-deuxieme-necessaire', 'Messieurs, commencez donc !')",0.82,Substitution
108,"('#moliere', ""Ah !  Bon, le voilà d'un autre côté. "")",,1.0,Insertion
109,"('#la-thorilliere', ""Vous voilà belle comme un petit ange.  Jouez-vous toutes deux aujourd'hui ?  En regardant Mademoiselle Hervé."")",,1.0,Insertion
110,"('#mademoiselle-du-croisy', 'Oui, Monsieur. ')",,1.0,Insertion
111,"('#la-thorilliere', ""Sans vous la comédie ne vaudrait pas grand'chose. "")",,1.0,Insertion
112,"('#moliere', 'Vous ne voulez pas faire en aller cet homme-là ? ')",,1.0,Insertion
113,"('#mademoiselle-de-brie', 'Monsieur, nous avons ici quelque chose à répéter ensemble. ')",,1.0,Insertion
114,"('#la-thorilliere', ""Ah !  Parbleu je ne veux pas vous empêcher, vous n'avez qu'à poursuivre. "")","('#moliere', ""Dans un moment, Monsieur ! Hé !  Quoi donc !  Voulez-vous que j'aie l'affront... ? À ses camarades."")",0.86,Substitution
115,"('#mademoiselle-de-brie', 'Mais... ')",,1.0,Insertion
116,"('#la-thorilliere', ""Non, non, je serais fâché d'incommoder personne, faites librement ce que vous avez à faire. "")",,1.0,Insertion
117,"('#mademoiselle-de-brie', 'Oui, mais... ')",,1.0,Insertion
118,"('#la-thorilliere', 'Je suis homme sans cérémonie, vous dis-je, et vous pouvez répéter ce qui vous plaira. ')",,1.0,Insertion
119,"('#moliere', ""Monsieur, ces demoiselles ont peine à vous dire qu'elles souhaiteraient fort que personne ne fût ici pendant cette répétition ? "")",,1.0,Insertion
120,"('#la-thorilliere', ""Pourquoi, il n'y a point de danger pour moi ?"")",,1.0,Insertion
