,la-fontaine-daphne,quinault-thesee,Cost,Operation Type
45,"('#jupiter', ""Tel dieu sait l'avenir, qui n'a pas su prévoir Quels maux ce démon lui va faire. Mais un jour un prince viendra Qui plaira plus qu'il ne voudra. Le Destin parmi nous lui garde un rang insigne, Et je lui veux accorder, Afin qu'il en soit plus digne, L'art de savoir commander. Mars lui promet en apanage La grandeur d'âme et de courage."")","('#cleone', ""Pardonnez à la peur qui me force à me taire. Mes yeux troublés d'effroi n'ont rien considéré : Thésée est le dieu tutélaire Qui me donne en ce temple un refuge assuré : Je ne sais rien de plus, et j'ai cru beaucoup faire De gagner en tremblant cet asile sacré."")",0.66,Substitution
46,"('#minerve', 'Moi, la vertu.')","('#aegle', ""Au milieu des clameurs, au travers du carnage, Thésée a jusqu'ici conduit mes pas errants : Son généreux courage A fait ses premiers soins de m'ouvrir un passage Entre deux effroyables rangs De morts et de mourants. N'as-tu point admiré l'ardeur noble et guerrière Dont il court au péril et s'expose au trépas ? Ah qu'un jeune héros dans l'horreur des combats Couvert de sang, et de poussière, Aux yeux d'une princesse fière A de charmants appas !"")",1.3,Substitution
47,"('#venus', ""Moi, l'agrément."")",,1.0,Insertion
48,"('#amour', ""Et moi le don d'aimer et d'être heureux amant."")","('#cleone', ""Thésée est aimable, il vous aime ; Tout cède à sa valeur extrême ; Vous pouvez sans rougir souffrir à votre tour Que jusqu'à votre cour il porte sa victoire. Il n'est rien de si beau que les noeuds de l'amour Quand ils sont formés par la gloire."")",0.57,Substitution
49,"('#venus #l-amour #minerve', ""Amour et la Raison s'accorderont pour faire Qu'aux coeurs comme aux esprits ce prince plaise un jour"")","('#aegle #cleone', ""Il n'est rien de si beau que les noeuds de l'amour Quand ils sont formés par la gloire."")",0.97,Substitution
50,,"('#le-choeur-des-combattants', 'Il faut périr, il faut périr, Il faut vaincre, ou mourir.')",1.0,Deletion
51,,"('#aegle', ""Le ciel ne veut-il point mettre fin à nos peines ? Éclaircis-nous, Arcas, quel est le sort d'Athènes ?"")",1.0,Deletion
52,,"('#arcas', ""Le combat dure encor, il est sanglant, affreux, Et le succès en est douteux. Le roi m'a commandé de prendre Le soin de l'avertir s'il fallait vous défendre, Et ce n'est que pour vous qu'il est touché d'effroi..."")",1.0,Deletion
53,,"('#aegle', 'Thésée est-il avec le roi ?')",1.0,Deletion
54,"('#choeur', 'Heureux qui par raison doit plaire ! Plus heureux qui plaît par amour !')","('#arcas', ""Des plus fiers ennemis il écarte la foule, On reconnaît sa trace aux flots du sang qui coule : Une grêle de traits ne l'a point retenu."")",1.34,Substitution
55,,"('#aegle', ""Ô dieux ! ... Mon secret est connu ; Je crains devant Arcas d'en faire trop entendre, Cléone, s'il se peut, obtiens qu'il aille apprendre Ce que Thésée est devenu. Elle dit ce qui suit à Cléone."")",1.0,Deletion
56,,"('#cleone', ""Laissons aller la princesse, Prier en paix la déesse. Arcas, je veux voir en ce jour Jusqu'où va pour moi ton amour."")",1.0,Deletion
57,,"('#arcas', 'Peux-tu douter de ma tendresse ?')",1.0,Deletion
58,"('#chloris #aminte #nymphes', ""Allons dans cette prairie : C'est un tranquille séjour ; Jamais les larmes d'amour N'y baignent l'herbe fleurie ; Les moutons y sont en paix, Et les loups n'y font jamais D'outrage à la bergerie."")","('#cleone', ""J'en doute encor, je le confesse. Tu m'as fait des serments cent fois Que tu suivrais toujours mes lois, Et qu'il te serait doux de mourir pour me plaire ; Mais la plupart des amants Sont sujets à faire Bien des faux serments."")",0.96,Substitution
59,,"('#arcas', ""Tu n'as qu'à commander, tu seras satisfaite."")",1.0,Deletion
60,,"('#cleone', ""Cherche Thésée, et suis ses pas Jusqu'à sa victoire parfaite, Ou jusqu'à son trépas."")",1.0,Deletion
61,"('#chloris', 'Viens, ma soeur.')","('#arcas', ""D'où vient qu'en sa faveur ton âme s'inquiète ?"")",1.16,Substitution
62,"('#aminte', 'Je te suis.')","('#cleone', ""Si tu veux que je t'aime, Arcas, Fais ce que je souhaite, Et ne réplique pas."")",0.82,Substitution
63,"('#chloris', ""Viens goûter une vie Dont le calme est digne d'envie. Notre Nymphe a banni de ces lieux si charmants Ce peuple d'importuns que l'on appelle amants. La voici."")","('#arcas', ""Pour un autre que moi Cléone s'intéresse ? Prétends-tu que je sois un amant qui me presse De me charger d'un soin à mon amour fatal ? C'est un plaisir charmant de servir sa maîtresse, Mais c'est un chagrin sans égal De servir son rival. L'ordre du roi m'engage À prendre soin de vous."")",0.67,Substitution
64,,"('#cleone', ""L'ennemi jusqu'ici n'ose porter sa rage. Tout le monde est aux mains, veux-tu seul fuir les coups ?"")",1.0,Deletion
65,"('#aminte', ""Que d'appas, de beautés, et de grâces ! Dirait-on pas que l'air s'embellit à ses traces ?"")","('#arcas', ""Ce grand empressement me donne de l'ombrage."")",1.35,Substitution
66,"('#daphne', ""Amour, n'approche point de nos ombrages doux, De nos prés, de nos fontaines ; Laisse en repos ces lieux ; assez d'autres que nous Se feront un plaisir de connaître tes peines."")","('#cleone', ""La valeur à mes yeux a des charmes bien doux, Et le moindre soupçon m'outrage : Je ne veux point avoir d'époux Qui soit jaloux, Ni d'amant qui soit sans courage."")",0.2,Substitution
67,,"('#arcas', ""Faut-il qu'un étranger ait pour toi tant d'appas ?"")",1.0,Deletion
68,"('#daphne', ""Chloris, n'est-ce pas la ta soeur que tu m'amènes ?"")","('#cleone', ""Je te l'ai déjà dit, et je te le répète, Si tu veux que je t'aime, Arcas Fais ce que je souhaite, Et ne réplique pas."")",1.08,Substitution
69,"('#chloris', 'Je vous la viens offrir. Nous cherchions en ces lieux Ce que Flore a pour vous de dons plus précieux.')","('#arcas', ""Hé bien, je suivrai ton envie, J'en veux faire toujours ma loi ; La peur de te déplaire est mon plus grand effroi : Je crains peu d'exposer ma vie, Je ne puis hasarder rien qui ne soit à toi."")",1.74,Substitution
70,"('#daphne', ""Cherchons, cherchons des fleurs ; l'âge nous y convie : Parons-nous de bouquets pendant notre printemps : Les plaisirs ont chacun leur temps, Comme les saisons de la vie Daphné, ayant achevé ces paroles, se baisse pour cueillir des fleurs, et les Nymphes de la suite en font autant ; pendant quoi un choeur de bergers, demeuré par respect derrière le théâtre, répète ces mots."")","('#le-choeur-des-combattants', ""Avançons, avançons ; que rien ne nous étonne ; Frappons, perçons, frappons, qu'on n'épargne personne ; Il faut périr, il faut périr, Il faut vaincre, ou mourir."")",0.84,Substitution
71,"('#choeur-de-bergers', 'Cherchons, cherchons des fleurs ; Daphné nous y convie.')","('#la-grande-pretresse', 'Prions, prions la déesse De nous dégager Du danger Qui nous presse Prions, prions la déesse.')",1.27,Substitution
72,"('#daphne', ""J'entends de nos bergers le concert plein d'appas. Qu'ils chantent, je le veux, mais qu'ils n'approchent pas."")",,1.0,Insertion
73,"('#choeur-de-bergers', 'Cherchons, cherchons des fleurs ; Daphné nous y convie Il en renaît sous ses pas.')","('#la-pretresse #aegle #cleone', 'Prions, prions, la déesse.')",1.08,Substitution
74,"('#daphne', 'Déployons nos trésors.')",,1.0,Insertion
75,"('#chloris', ""J'ai cueilli les plus belles."")",,1.0,Insertion
76,"('#aminte', 'Et moi, les plus nouvelles.')",,1.0,Insertion
77,"('#meroe', 'Moi, les plus vives en couleur.')",,1.0,Insertion
78,"('#daphne', ""Et vous ? Quel mauvais choix vous avez fait, ma soeur ! Vous nous direz, pour votre peine, Une chanson contre l'Amour. Cependant je veux que ma Cour Jure de lui porter une éternelle haine ; Jurez la première, Clymène !"")","('#le-choeur-des-combattants', 'Mourez, mourez, perfides cours, Tombez sous les coups des vainqueurs.')",0.74,Substitution
79,"('#clymene', ""Tout serment De n'avoir jamais d'amant Est chose fort incertaine ; Il en est peu que l'on tienne Plus d'un jour, plus d'un moment : Tout serment De n'avoir jamais d'amant Est chose fort incertaine."")",,1.0,Insertion
80,"('#daphne', 'Je veux que vous juriez ; dites donc après moi : Amour,')","('#la-grande-pretresse', 'Dieux ! Quelle barbarie !')",1.62,Substitution
81,"('#clymene', 'Amour,')",,1.0,Insertion
82,"('#daphne', 'Si jamais sous ta loi Je respire,')","('#aegle', 'Entendrons-nous toujours ces horribles clameurs ?')",1.42,Substitution
83,,"('#la-pretresse #aegle #cleone', 'Dieux ! Quelle barbarie !')",1.0,Deletion
84,"('#clymene', 'Si jamais sous ta loi Je respire,')","('#le-choeur-des-combattants', 'Mourez, mourez, perfides cours, Tombez sous les coups des vainqueurs.')",1.55,Substitution
85,"('#daphne', 'Je consens de mourir.')","('#un-combattant', 'Sauve un malheureux qui te prie. Ah je meurs ! Ah je meurs !')",0.55,Substitution
86,"('#clymene', ""Mourir ? c'est beaucoup dire."")","('#la-pretresse #aegle #cleone', 'Dieux ! Quelle barbarie !')",1.4,Substitution
87,"('#daphne', 'Je consens de mourir, si jamais je soupire.')","('#un-combattant', 'Ah je meurs ! Ah je meurs ! Sauve un malheureux qui te prie.')",0.61,Substitution
88,"('#clymene', 'Je consens de mourir, si jamais je soupire.')","('#le-choeur-des-combattants', 'Mourez, mourez, perfides cours, Tombez sous les coups des vainqueurs.')",1.34,Substitution
89,"('#daphne', 'Clymène, acquittez-vous ; accompagnons ses sons, Et que nos pas animent nos chansons. Daphné et les personnes de sa suite se prennent alors par la main, et Clymène chante cette gavotte que toute la troupe danse, la répétant après elle : ')","('#la-grande-pretresse', 'Ô Minerve ! Arrêtez la cruelle furie Qui désole notre patrie : Écartez loin de nous la guerre et ses horreurs ; Ciel ! Épargnez le sang, contentez-vous de pleurs,')",0.96,Substitution
90,"('#clymene', ""L'autre jour sur l'herbe tendre Je m'assis près de Philandre : Il me conta ses tourments ; Ma mère alors me querelle. « Petite fille, dit-elle, N'écoutez point les amants. Ils sont indiscrets, volages, Téméraires, et peu sages ; Ils font mille faux serments : Ils sont jaloux, ils sont traîtres, Et tyrans quand ils sont maîtres, N'écoutez point les amants. » Écoutez ma chansonnette, Et l'écho qui la répète, Et ces rossignols charmants : Leur musique est sans pareille ; Mais ne prêtez point l'oreille Au ramage des amants."")","('#la-pretresse #aegle #cleone', 'Ciel ! Épargnez le sang, contentez-vous de pleurs.')",1.34,Substitution
91,"('#daphne', 'Méroé, poursuivez nos divertissements.')","('#le-choeur-des-combattants', 'Liberté, liberté. Victoire, victoire, victoire. Courons, courons tous à la gloire. Combattons avec fermeté. Défendons notre liberté. Liberté, liberté. Emportons la victoire. Victoire, victoire, victoire. Liberté, liberté. Victoire, victoire, victoire.')",1.3,Substitution
92,"('#meroe', ""J'ai vu le temps qu'une jeune fillette Pouvait, sans peur, aller au bois seulette. Maintenant, maintenant les bergers sont loups : Je vous dis, je vous dis : « Filles, gardez-vous. »"")","('#le-roi', ""Les mutins sont vaincus, leurs chefs sont immolés, Leur vaine espérance est détruite. Tous les peuples voisins qu'ils avaient appelés Sont dans nos fers, ou sont en fuite."")",1.33,Substitution
93,,"('#la-grande-pretresse', 'Rendons grâces aux dieux.')",1.0,Deletion
94,,"('#ensemble', 'Rendons grâces aux dieux.')",1.0,Deletion
95,"('#apollon', ""Voici Tempé, cette vallée Dont on vante partout l'ombrage et les beautés ; Et voilà les flots argentés Qu'y fait couler le dieu Penée. Plus loin vers ces sommets mon empire s'étend. N'y veux-tu pas venir, Momus ? On nous attend."")","('#la-grande-pretresse', ""Puisque le juste ciel à nos voeux est propice, Allons, empressons-nous d'offrir un sacrifice À la divinité qui protège ces lieux. Rendons grâces aux dieux."")",0.76,Substitution
96,,"('#tous-ensemble', 'Rendons grâces aux dieux.')",1.0,Deletion
97,"('#momus', ""Demeurons encore où nous sommes : Ai-je pu voir en un instant Toutes les sottises des hommes ? Par vos puissants efforts, invincible Apollon, On ne craint plus ici les fureurs de Python. Les habitants de ces rivages DeVÉNUS plus heureux, n'en seront pas plus sages : Le temps de la sottise est celui du bonheur."")","('#le-roi', ""Cessez, charmante, AEglé, de répandre des larmes, Commençons après tant d'alarmes À jouir d'un destin plus doux : Puisque je vois mon trône affermi par les armes, J'y veux joindre de nouveaux charmes En le partageant avec vous."")",0.31,Substitution
98,"('#apollon', 'Mais que dis-tu de ma victoire ?')","('#aegle', 'Avec moi ! Vous ! Seigneur !')",1.17,Substitution
99,"('#momus', ""Elle vous a comblé d'honneur, Et rien n'égale votre gloire."")","('#le-roi', ""Que votre trouble cesse. C'est peut-être, un peu tard vouloir plaire à vos yeux, Je ne suis plus au temps de l'aimable jeunesse, Mais je suis, roi, belle princesse, et roi victorieux. Faites grâce à mon âge en faveur de ma gloire, Voyez le prix du rang qui vous est destiné : La vieillesse sied bien sur un front couronné, Quand on y voit briller l'éclat de la victoire. Parlez charmante AEglé, parlez à votre tour."")",0.84,Substitution
100,"('#apollon', ""Que le fils de VÉNUS cesse de se vanter Qu'ainsi que nous il sait porter Un carquois, un arc, et des flèches ; C'est un enfant qui fait des brèches Dans les coeurs aisés à dompter. Il remporte toujours des victoires faciles ; Je défais des serpents qui dépeuplent des villes."")","('#aegle', ""Depuis que j'ai perdu mon père Vos soins ont prévenu mes voeux dans votre cour. Je dois vous respecter, Seigneur, je vous révère..."")",1.27,Substitution
101,"('#momus', ""Vous méprisez celui qui tient tout sous sa loi. Si l'Amour vous entend ?"")","('#le-roi', ""Vous parlez de respect quand je parle d'amour."")",0.78,Substitution
102,"('#apollon', 'Et que crains-tu pour moi ?')","('#aegle', 'Mais votre foi, Seigneur, à Médée est promise ?')",0.85,Substitution
103,"('#momus', ""Parlez bas, c'est un dieu ; s'il venait à paraître ?"")",,1.0,Insertion
104,"('#apollon', ""Un dieu ! c'est un enfant : quitte ce vain souci."")","('#le-roi', ""Je sais que lorsqu'on la méprise On s'expose aux fureurs de ses ressentiments. Toute la nature est soumise À ses affreux commandements, L'enfer la favorise, Elle confond les éléments, Le ciel même est troublé par ses enchantements. Mais j'ai fait élever en secret dans Trézene Un fils qui peut m'ôter de peine : Je veux qu'en épousant Medée au lieu de moi, Il dégage ma foi."")",1.31,Substitution
105,"('#momus', 'Qui donne à Jupiter un maître, Vous en pourrait donner aussi.')","('#aegle', ""Mais si malgré vos soins, Médée ambitieuse, Ne s'attache qu'au rang que vous me présentez ?"")",1.4,Substitution
106,"('#cupidon', ""Quel est l'orgueilleux qui me brave ? Quel téméraire ose attaquer l'Amour ? Ah ! je vous reconnais : vous serez mon esclave Avant la fin du jour. Ces paroles dites, Cupidon s'en revole dans les airs. "")","('#le-roi', ""Que vous êtes ingénieuse À trouver des difficultés ! Que Médée en fureur, s'arme, menace, tonne, Il faut que ma main vous couronne Quand il m'en coûterait et l'empire, et le jour. Un grand cour qui se sent animé par l'amour Ne doit jamais trouver de péril qui l'étonne. J'atteste Minerve à vos yeux, J'atteste le maître des cieux, Et sa foudroyante justice..."")",0.08,Substitution
107,,"('#aegle', ""Tout est prêt pour le sacrifice Chacun s'avance dans ces lieux, Rendons grâces aux dieux."")",1.0,Deletion
108,"('#momus', ""Que cet enfant est fier ! Voyez comme il menace ! Ne le prendrait-on pas pour l'aîné des Titans ? Je plains le dompteur de serpents ; Il ne fait pas sûr en sa place. Tandis que Momus dit ces paroles, Daphné avec ses compagnes, par une curiosité de jeunes filles, avance un peu la tête sur le théâtre, et fait quelques pas dans la scène pour voir ces deux étrangers. Apollon la voit un moment ; aussitôt l'Amour, qui est demeuré dans l'air, fait son coup, et Daphné avec sa troupe s'enfuit encore une fois."")","('#la-grande-pretresse', 'Cet empire puissant que votre soin conserve Vient reconnaître ici votre divin secours, Favorable Minerve ! Protégez-nous toujours.')",0.92,Substitution
109,,"('#le-choeur-des-pretresses', 'Favorable Minerve ! Protégez-nous toujours.')",1.0,Deletion
110,"('#apollon', ""Ah ! Qu'ai je vu, Momus ! Que de traits éclatants ! Que de jeunesse, que de grâce !"")","('#la-grande-pretresse', 'Le péril était redoutable : Mais vous nous inspirez un courage indomptable Qui de notre malheur a détourné le cours, Ô Pallas favorable ! Protégez-nous toujours.')",1.02,Substitution
