,viau-pyrame,puget-de-la-serre-le-pyrame,Cost,Operation Type
10,,"('#thisbe', 'La colère me dure toujours contre toi.')",1.0,Deletion
11,"('#thisbe', 'Jamais rien de vivant ne sembla mieux une ombre.')","('#bersiane', ""Je suis de l'opinion de votre mère, elle ne vous doit jamais perdre de vue, vos paroles, et vos actions également hardies, font paraître au dehors, ce que vous aurez dans l'âme."")",1.42,Substitution
12,"('#bersiane', ""D'où viennent ces dédains ?"")","('#thisbe', ""Je ne me plaindrai jamais en cela de l'austérité que ma mère exercera contre moi, l'innocence ne craint point les reproches, je vis de telle sorte que je n'aurai jamais d'autres ennemis que ceux qui le sont de la vertu."")",1.8,Substitution
13,,"('#bersiane', 'Le temps sera votre juge.')",1.0,Deletion
14,"('#thisbe', ""Vieux spectre d'ossements, Vraiment je cherche bien tes divertissements !"")","('#thisbe', 'Il sera le tien, aussi pour condamner tes rêveries.')",0.46,Substitution
15,,"('#bersiane', 'Je voudrais rêver en la prévoyance de vos malheurs pour être moins assurée de leur avènement.')",1.0,Deletion
16,"('#bersiane', ""Je connais bien que c'est de moi qu'elle murmure ; Je suis donc cet objet d'infernale figure."")","('#thisbe', ""L'âge endort tellement ton esprit que je ne prends tes discours que pour des songes."")",0.86,Substitution
17,,"('#bersiane', ""J'ai donc songé que vous aimiez Pyrame ; je ne sais s'il est vrai."")",1.0,Deletion
18,"('#thisbe', 'Je ne dis pas cela, mais tu peux bien penser...')","('#thisbe', ""C'est le plus beau songe que tu fis jamais, qu'en crois-tu."")",0.6,Substitution
19,,"('#bersiane', 'Je crois que vous êtes assez hardie pour contracter cette affection au déçu de votre mère.')",1.0,Deletion
20,,"('#thisbe', ""Ce n'est pas la première fois que tu t'es trompée en tes opinions, mais si tu veux apprendre la vérité, il te faut changer de croyance."")",1.0,Deletion
21,"('#bersiane', 'Que de mon entretien on se pouvait passer.')","('#bersiane', ""Vous n'avez garde de le confesser, les secrets d'amour ne le communiquent à personne."")",1.6,Substitution
22,"('#thisbe', 'Justement.')",,1.0,Insertion
23,"('#bersiane', 'Je connais, ou je suis peu sensée...')","('#thisbe', 'Les chastes affections ne sont jamais secrètes, il y a plus de gloire à les publier que de honte à les taire.')",1.49,Substitution
24,,"('#bersiane', ""Toutes les chastes affections ne sont pas permises, on doit toujours consulter l'Oracle de la volonté des parents."")",1.0,Deletion
25,"('#thisbe', ""Qu'autre chose que toi me tient dans la pensée."")","('#thisbe', 'On le doit par respect, mais non pas par raison : car les affections sont libres.')",1.25,Substitution
26,"('#bersiane', ""Ce n'est pas sans sujet, Thisbé, que nos soupçons Vous ont fait tous les jours ouïr tant de leçons : Votre mère a raison d'avoir l'oeil et l'oreille Dessus vos actions."")","('#bersiane', 'La nature vous oblige à leur rendre ce devoir, et par respect, et par raison.')",1.3,Substitution
27,"('#thisbe', ""N'importe qu'elle y veille, Je n'ai rien fait jamais à craindre des témoins ! Mon innocente humeur se moque de vos soins. J'en suis émue autant que du bruit d'une feuille, Car je vis sans reproche."")","('#thisbe', ""La nature ne me peut rendre esclave m'ayant fait naître libre.  Mais à quoi servent ces discours ?  Tu m'engages insensiblement à plaider une cause où je n'ai point d'intérêt."")",0.73,Substitution
28,,"('#bersiane', 'Vous en parlez trop pertinemment pour ne croire pas que vous êtes partie.')",1.0,Deletion
29,"('#bersiane', 'Hé ! Le bon Dieu le veuille !')","('#thisbe', 'Je te laisse en cette croyance, puisque le temps plutôt que toi, comme tu dis, Sera mon juge.')",1.38,Substitution
30,"('#thisbe', ""Adieu, cherche quelqu'un à qui te faire ouïr."")","('#bersiane', ""Il fera véritablement juge de vos folies, de même que j'en suis témoin."")",1.77,Substitution
31,"('#bersiane', ""On a beau tel secret dans les os enfouir, L'amour, l'ambition, l'orgueil et la colère Sont toujours sur nos fronts d'une apparence claire. J'espère en peu de jours que nous viendrons à bout De cette confidence, et que nous saurons tout."")","('#narbal', ""Je suis hors de moi-même,  quand je pense au mépris que c'est ingrat fait de mes commandements, je lui ai donné l'être, et la vie, et pour reconnaissance il s'occupe tous les jours à bâtir mon tombeau, forgeant de ses mains meurtrières le trait qui me donnera la mort.  Et tu voudrais appeler sa cruauté, et sa perfidie une aveugle passion, dont il est possédé, je sais bien qu'en mes jeunes ans mon coeur a été sensible aux atteintes d'amour, et que le feu de mon sang, toujours bouillant s'éprit peu à peu à mon âme en la rendant amoureuse.  Mais je n'ai jamais perdu la raison avec la liberté, je voyais assez clair au travers de mon bandeau, pour suivre le chemin du respect, et de l'obéissance, que je devais à mes parents."")",0.52,Substitution
32,"('#narbal', ""Malgré moi persister en ce funeste amour ! Après les droits du Ciel l'ingrat me doit le jour. Toi qui si lâchement flattes sa fantaisie, Tu veux que ma raison cède à ta frénésie, Et me remémorant ce qu'autrefois je fis, Tu me veux conseiller la perte de mon fils ! Il est vrai qu'autrefois j'ai senti cette flamme, Lorsqu'un sang plus subtil faisait agir mon âme ; Esclave que je suis des naturelles lois, Comme un autre en mon temps de ce feu je brûlais, Mais toujours mes desseins étaient avec licence, Et mes justes désirs pleins d'heur et d'innocence."")","('#lidias', ""La Sagesse, et l'Amour se faussent d'ordinaire compagnie, vous êtes honteux de confesser en cet âge prudent, les erreurs de votre jeunesse.  Il est impossible d'être esclave, et libre tout à la fois, le plus fort l'emporte toujours : là où l'Amour commande, la Raison obéit, et de vouloir faire le fin, ne se laissant enchaîner qu'à demi, les grandes beautés ne font jamais de petites prises : quand elles mettent une âme aux fers, la raison est captive avec elle.  Comment voulez vous donc maintenant, que votre fils suive vos conseils si l'Amour est son conseiller.  Priez les Dieux qu'ils lui rendent la liberté, et il vous rendra l'obéissance qu'il vous doit."")",0.0,Match
33,"('#lidias', ""Vous en avez depuis perdu le souvenir, Mais si les mêmes ans pouvaient vous revenir, Et qu'en votre faveur la loi de la nature, Vous effaçant l'horreur que fait la sépulture, À vos membres cassés leur force rapportât Et remît vos esprits en leur premier état, Je crois que vos rigueurs changeraient bien de termes Et que vos sentiments ne seraient plus si fermes ; Ce pauvre fils à qui vous voulez tant de mal Vous verrait transformé de censeur en rival. On ne saurait dompter la passion humaine : Contre Amour la raison est importune et vaine, Toujours l'objet aimable a droit de nous charmer Lorsqu'on est en état de le pouvoir aimer, L'âme se voit bientôt d'une beauté forcée Par le rapport des yeux avecque la pensée."")","('#narbal', ""Toutes ces raisons sont aussi aveugles que le Dieu dont tu me prêches la puissance, l'amour ne saurait forcer notre franchise, et sa passion n'a point de pouvoir sur nos volontés, que celui que notre faiblesse lui donne.  À quoi nous servirait la force de la raison si sa défaite était inévitable.  Un courage généreux peut tout ce qu'il veut, et tu as beau me persuader le contraire.  C'est ingrat portera bientôt la peine de son crime.  Car si les Dieux font justes, ils me vengeront de sa perfidie."")",0.11,Substitution
34,"('#narbal', ""Ton esprit tient encore un peu de la saison Qui ne voit point mûrir les fruits de la raison. Moi qui suis bien guéri de cette humeur volage, Ayant déjà passé tous les degrés de l'âge, Je connais mieux que toi la vie et le devoir, Et bientôt mieux que toi je lui ferai savoir. Aimer sans mon congé et s'obstiner encore D'un amour qui le perd et qui me déshonore ! D'un ennemi mortel la fille rechercher ! Je t'aime mieux le coeur hors du sein arracher ! Tu démordras, mutin, je te ferai connaître Le respect que tu dois à ceux qui t'ont fait naître Et que tu ne dois point suivre ta passion Ni faire des desseins sans ma permission !"")","('#lidias', ""Les Dieux n'ont point des foudres, pour punir les amants, sachant par expérience jusques à quel point cette passion maîtrise nos esprits.  Vous ne pouvez pas souffrir, que Pyrame aime Thisbé, et comment se peut-il défendre d'aimer ce qui est parfaitement aimable. Si la Beauté et les Grâces se laissaient admirer aux travers des lunettes, vous seriez bientôt convaincu du crime, dont vous l'accusez, puisque vous êtes si raisonnable, que ne vous rendez vous à la raison."")",0.0,Match
35,"('#lidias', ""Quand on s'engage au sort d'une pareille affaire, Une permission n'est jamais nécessaire ; On n'y saurait pourvoir quand c'est un accident ; À cela le plus fin est le plus imprudent. On ne demande point congé d'une aventure ; S'il en faut demander c'est donc à la nature Qui conduit notre vie, et s'adresser aux Dieux Qui tiennent en leurs mains nos esprits et nos yeux."")","('#narbal', ""He, quoi ferait il juste qu'un père reçut la loi de son fils.  Que me sert l'autorité que le Ciel, et la Nature m'ont donnée sur ses volontés, si je ne m'aide de son pouvoir lorsqu'il y va de l'intérêt de ma vie.  Il sait bien que je n'ai point une plus grande ennemie, que son amour, et il conjure avec elle ma ruine."")",0.07,Substitution
36,"('#narbal', ""Ne sait-il pas qu'il est obligé de me plaire ? Que cet amour furtif irrite ma colère ? Qu'il va dans ce projet mes jours diminuant, Et fait un parricide en le continuant ? Les Dieux trouvent-ils bon, puisqu'ils sont équitables, Qu'on fasse des forfaits ?"")","('#lidias', ""Si faut-il que vos désirs soient limités des choses possibles.  Croyez vous, que l'âme se puisse dépouiller de ses passions, de même que le corps de ses habits.  Quand la fièvre d'amour s'écoule dans nos veines la maladie en est longue, et l'on a beau consulter la Nature, son pouvoir ne s'étend pas jusques à la guérison, il faut que le temps, et notre humeur en fassent peu à peu le remède.  Lorsque Pyrame aura recouvré la santé de l'esprit, il mettra le vôtre en repos.  Mais comment voulez vous tirer raison d'un homme qui n'en a point."")",0.12,Substitution
37,"('#lidias', ""S'ils sont inévitables, Les Dieux ne veulent point en retirer nos pas ; Même, puisqu'en amour le crime a des appas, Que la rigueur des lois l'entretient et l'augmente, Les amants trouvent grâce auprès de Rhadamante ; Mais une noire humeur qui meut des assassins, Une nature lâche encline à des larcins, C'est ce qui fait horreur au Ciel et à la terre, Et sur quoi justement doit tomber le tonnerre, Où la nécessité d'un amoureux désir, Qui de l'âme et du corps n'aspire qu'au plaisir, Mérite qu'on l'assiste, et vouloir sa ruine Tient un peu d'une humeur envieuse et chagrine."")","('#narbal', ""S'il n'a point de raison, il doit être puni de sa folie, puis qu'elle est volontaire.  Je ne veux point nourrir des fols, ni des esclaves en ma maison, il faut qu'il renonce à ce nom de fils, ou à celui d'amant."")",0.24,Substitution
38,"('#narbal', ""Tes discours ne sont point assez persuasifs. Ce mal ne prend qu'aux coeurs mols, délicats, oisifs, Où jamais le bon sens n'a choisi sa demeure, Où jamais la vertu ne trouve une bonne heure. Suffit. Quand la raison le contraire voudroit, L'empire paternel conservera son droite. Mon pouvoir absolu rompra cette entreprise Et mon autorité lui fera lâcher prise."")","('#lidias', ""Les Destins commandent à la Nature, puisqu'un Dieu l'a rendu amoureux d'une Déesse, vous ne pouvez sans crime, tenir pour crime sa passion, et je crains que votre colère n'attire celle du Ciel sur votre tête.  La patience est le remède du mal, qui n'en a point."")",0.24,Substitution
39,,"('#narbal', ""Tu me voudrais persuader que les Dieux sont complices de la folie de mon fils, encore qu'ils permettent le mal, ils n'en sont pas les auteurs.  Nous sommes les seuls punis, comme les seuls coupables."")",1.0,Deletion
40,,"('#lidias', ""Je sais bien que les Dieux ne sont point auteurs du mal que nous faisons.  Mais si vous mettez au rang des crimes cette passion d'amour qui n'assujettit que les plus belle âmes, où trouverez vous un homme innocent."")",1.0,Deletion
41,"('#lidias', ""Vous voulez qu'Ixion, lié dans les Enfers, S'arrache de sa roue et qu'il brise ses fers, Qu'un homme déjà mort sa guérison reçoive, Que Sisyphe repose et que Tantale boive. Tous nos efforts ne sont que d'un pouvoir humain ; Qui tend à l'impossible il se travaille en vain."")","('#narbal', ""Cette passion n'est pas toujours criminelle.  Les personnes libres, et souveraines, les peuvent avoir sans reproche.  Mais mon Fils : n'est point de cette qualité, pour jouir de ce privilège."")",0.75,Substitution
42,,"('#lidias', ""Si votre fils n'a pas le droit de souveraineté, il a celui de la franchise qu'on ne lui saurait ôter.  De forte qu'il a pu, comme libre, disposer de sa liberté sans votre consentement."")",1.0,Deletion
43,,"('#narbal', 'Où en font les lois.')",1.0,Deletion
44,,"('#lidias', ""C'est à vous à mettre en avant celles qui les condamnent, puisque vous l'accusez."")",1.0,Deletion
45,,"('#narbal', 'La Nature, tous les Sages, et tous les Dieux sont mes lois, et mes juges.')",1.0,Deletion
46,,"('#lidias', ""Vous avez donc perdu votre cause.  Car la Nature vous défend d'ôter à vos enfants la liberté qu'elle leur a donnée.  Tous les Sages ont autorisé ces défenses, et les Dieux en ont fait une loi inviolable."")",1.0,Deletion
47,,"('#narbal', ""Ton humeur a fait cet arrêt.  Mais j'en appelle comme d'abus."")",1.0,Deletion
48,,"('#lidias', ""Il n'y a point d'appel aux arrêts du Destin."")",1.0,Deletion
49,"('#le-roi', ""C'est trop faire de voeux, c'est trop verser de larmes, Il faut avoir recours à des meilleures armes ; Cette ingrate farouche, avecque ses mépris, A donné trop longtemps la gêne à mes esprits. La qualité de Roi, l'éclat de ma fortune, Au lieu de l'attirer, la choque et l'importune ; Elle aime mieux, ignoble et honteuse qu'elle est, Un simple citoyen."")","('#le-roi', ""C'est trop longtemps soupirer pour cette ingrate beauté, mon amour est l'objet de sa haine, et ma soumission celui de son mépris.  Il faut que je quitte la qualité d'esclave, et que je reprenne celle de souverain, pour chercher le remède de mon mal, dans les derniers efforts de ma puissance absolue.  Elle a bien le goût de l'esprit dépravé de préférer un sujet à son Prince."")",0.0,Match
50,"('#syllar', 'Son semblable lui plaît.')","('#syllar', 'La ressemblance est la mère des affections, on aime toujours son semblable.')",0.68,Substitution
51,"('#le-roi', ""Je le rendrai pourtant, si le soleil m'éclaire, Seulement aujourd'hui peu capable de plaire."")","('#le-roi', ""Si ce mignon lui plaît, je le rendrai si effroyable à ses yeux, qu'elle en aura autant d'horreur que de pitié."")",0.81,Substitution
52,"('#syllar', 'À quel si bon moyen pouvez-vous recourir Pour le rendre odieux ?')","('#syllar', ""Il faut donc que votre Majesté en cherche les moyens, et les artifices hors de la Nature, et qu'elle ait recours aux charmes, et à la puissance des Démons."")",0.86,Substitution
53,"('#le-roi', ""Je le ferai mourir. Toute autre invention est douteuse et grossière ; Lorsqu'elle le verra sanglant sur la poussière, Que les yeux en mourant, les regards à l'envers, Hideux, sans mouvement, demeureront ouverts, Il faut que l'amitié soit bien dans la pensée Si par un tel objet elle n'en est chassée. Je sais bien que Thisbé sans des vives douleurs Ne verra point sa mort, ni sans beaucoup de pleurs ; Mais avecque le temps jusqu'à la moindre trace La plus forte douleur se dissipe et s'efface. Ayant vu que l'objet de son premier amour N'aime plus, ne sent rien, n'a plus de part au jour, Elle encore vivante et encore sensible À mon affection sera plus accessible."")","('#le-roi', 'Mes volontés absolues seront mes charmes, et mes commandements les Démons, qui sacrifieront à ma colère.')",0.58,Substitution
54,"('#syllar', ""L'aimez-vous jusqu'au point de violer la loi ?"")",,1.0,Insertion
55,"('#le-roi', ""Tu sais que la justice est au-dessous du Roi. La raison défaillant, la violence est bonne À qui sait bien user des droits d'une couronne."")","('#syllar', ""Votre Majesté veut elle acheter un contentement au prix de son honneur, dont la perte lui serait beaucoup plus importante, que celle de son sceptre, et de sa couronne.  Les conquêtes qu'on fait par la voie de la tyrannie font toujours accompagnées de honte, et de reproche."")",0.72,Substitution
56,"('#syllar', ""Mais toujours vous savez que l'équité vaut mieux."")",,1.0,Insertion
57,"('#le-roi', ""Les grands Rois doivent vivre à l'exemple des Dieux."")","('#le-roi', ""Ne sais-tu pas que la première loi, que les Monarques ont faite, est celle de les pouvoir violer toutes ensemble, quand il leur plaira ?  Un Roi ne peut jamais faillir parce que les actions souveraines, portent toujours leur autorité avec elles.  Sa raison offusque de son éclat, celle des autres, d'où vient qu'on ne peut voir ce qu'il fait, que d'un côté, s'en réservant à lui seul, la parfaite connaissance,"")",1.09,Substitution
58,"('#syllar', 'Aussi vous ont-ils faits leurs lieutenants en terre.')","('#syllar', 'Comme nous sommes sujets des Rois, les Rois le sont des Dieux, dont ils doivent craindre les foudres.  Les mauvaises actions ne changent jamais de nature, et une puissance absolue en peut bien mépriser les reproches sur la terre, mais non pas en éviter le châtiment du Ciel.')",1.22,Substitution
59,"('#le-roi', ""Leur colère à son gré fait tomber le tonnerre, Et quoiqu'ils soient portés, ce semble, à nous chérir, Pour montrer leur puissance ils nous font tous mourir ; Et moi je tiens du Ciel ma meilleure partie, Mon âme avec les Dieux a de la sympathie ; J'aime que tout me craigne, et crois que le trépas Toujours est juste à ceux qui ne me plaisent pas. Pyrame est en ce rang, sa mort est légitime, Car déplaire à son Roi, c'est avoir fait un crime. Il n'est pas innocent. Ceux que la loi du sort Rend mal voulus du Prince, ils sont dignes de mort. Mon amour l'a conclu. Ce tyran implacable En donne avecque moi l'arrêt irrévocable. Il sera ma victime, et je jure, devant Qu'aucun ait jeté l'oeil sur le soleil levant, Dussé-je par ma main exécuter ma haine, Son trépas résolu me tirera de peine. Ici me fera voir cet acte officieux Celui de tous les miens qui m'aimera le mieux ; Ici dois-je tirer une preuve assurée De la fidélité qu'on m'a cent fois jurée."")","('#le-roi', ""Puisque les Rois sont des Dieux, ici bas, il ont entre les mains le destin de la vie des hommes, pour en disposer, comme il leur plaît.  Toutefois je veux croire, que lorsque l'envie me prend de faire mourir quelqu'un, l'arrêt en est prononcé dans le Ciel, et que je ne suis que l'instrument, pour le faire exécuter en terre."")",0.0,Match
60,"('#syllar', 'Le temps et la raison pourraient-ils point ôter Ces violents désirs ?')","('#syllar', ""Sire il faut que votre Majesté se représente qu'elle est juge, et partie en cette cause, et que se laissant maîtriser par l'Amour, et par la colère, qui sont deux puissances souveraines, et aveugles, elle ne peut voir les malheurs où se terminent ses désirs."")",0.85,Substitution
61,"('#le-roi', ""Rien que les augmenter. Le temps et la raison feront du feu la glace Et m'ôteront plutôt le coeur hors de sa place."")","('#le-roi', ""Tes discours sont mesurés à la portée de ton jugement, tu parles selon ta façon de concevoir.  Saches que lorsque les astres, qui président à la naissance des hommes, en rendant un malheureux, jusques au point de me déplaire, il est digne de mort, et il ne faut point chercher d'autres témoins pour l'accuser, puisque la Nature le rend coupable en naissant.  Qu'on ne m'en parle plus, il faut qu'il meure, le repos de ma vie gît dans sa sépulture."")",0.91,Substitution
62,"('#syllar', ""Puisque c'est un dessein qu'on ne peut divertir, À quel prix que ce soit il en faut donc sortir. Sire, me voici l'âme et la main toute prête À quoi que vos desseins aient destiné ma tête."")","('#syllar', ""Puisque c'est une nécessité, dont vos volontés absolues font la loi, j'ai assez de courage, pour changer les désirs de votre Majesté en effets, voici la main qui fera le coup."")",0.28,Substitution
63,"('#le-roi', ""Comment ! Tu me préviens ! Ha ! Véritablement Je vois bien que tu veux m'obliger doublement. Un plaisir est plus grand qui vient sans qu'on y pense ; Qui souffre qu'on demande a pris sa récompense, Même quand le besoin de nos désirs pressés, À qui ne fait le sourd, se fait entendre assez."")","('#le-roi', ""Tu m'obliges de trop bonne grâce, pour en oublier jamais la faveur, rends moi content, et je te ferai riche."")",0.08,Substitution
64,"('#syllar', ""Je m'en vais de ce pas vaquer à l'entreprise."")",,1.0,Insertion
65,"('#le-roi', ""Ô qu'en ton amitié le Ciel me favorise !"")",,1.0,Insertion
66,"('#syllar', ""Dans deux heures d'ici nous y mettrons la main."")","('#syllar', ""Sire on peut déjà compter Pyrame au nombre des morts, et marquer ce jour pour celui de ces funérailles.  Et si les vents portent leurs [haleines] jusques au fleuve d'oubli, ils peuvent avertir Caron de tenir sa barque prête sur le rivage pour passer son ombre dans une heure."")",1.49,Substitution
67,"('#le-roi', ""Il est vrai qu'il vaut mieux aujourd'hui que demain. Je ne te parle point encore du salaire."")","('#le-roi', ""Cette heure me durera un siècle, sers toi du temps, et de l'occasion et ôte moi le moyen de t'accuser de paresse."")",1.22,Substitution
68,"('#syllar', ""Sire, tout mon espoir est l'honneur de vous plaire."")","('#syllar', 'Je verrai bientôt la fin de mon entreprise, ou celle de ma vie, il faut tenter des grands périls pour faire des grandes fortunes.')",1.46,Substitution
69,"('#le-roi', 'Je sais que tout service est digne de loyer.')",,1.0,Insertion
70,"('#syllar', ""Il sait bien comme il faut les hommes employer ; Une telle action dessus le gain se fonde ; C'est le plus libéral de tous les Rois du monde, Il en est mieux servi. L'argent a des ressorts Qui font aller partout nos esprits et nos corps."")",,1.0,Insertion
71,"('#pyrame', ""Je sais bien, cher ami, que ton sage dessein Est de m'ôter la flamme et la mort hors du sein, De ramener à soi ma pauvre âme égarée Qui s'est depuis deux ans d'avec moi séparée ; Mais sache que mon âme abhorre ta raison, Que je prends tes conseils pour une trahison, Et d'abord que tu viens à me parler d'éteindre Ce feu dont nuit et jour je ne fais que me plaindre, Malgré le sentiment que j'ai de mon erreur Et de ton amitié, ta voix me fait horreur ; Je te hais si tu es ennemi de mon aise ; Il faut que ton esprit à mon humeur se plaise, Que tu perdes le soin de censurer mes pleurs, Que ton affection consente à mes malheurs, Et que ton jugement mette son industrie À conserver mon mal."")","('#pyrame', "" Ta bonne volonté m'est assez connue, cher ami, je t'en suis redevable ; mais tu ne considères pas qu'en voulant m'arracher les épines du coeur, tu m'en ôteras aussi les rôles.  Je ne puis éteindre le feu qui me brûle, qu'avec la dernière goûte de mon sang, la résolution en est prise, le sort en est jeté, ma vie toute d'amour, ne se peut terminer que par une mort semblable.  Tes conseils me font des injures, et fi tu ne veux aimer ma passion avec moi, je renonce à ton amitié."")",0.0,Match
72,"('#disarque', 'Mon_Dieu, quelle furie !')","('#disarque', 'À quelles extrémités vous laissez vous emporter ?')",1.13,Substitution
73,"('#pyrame', 'Autrement je te tiens barbare et sans pitié.')","('#pyrame', ""À celle de fuir ceux qui n'aiment point le repos de ma vie."")",1.76,Substitution
74,"('#disarque', ""Que vous connaissez mal les fruits de l'amitié !"")","('#disarque', 'Que vous êtes peu savant à connaître vos amis.')",0.35,Substitution
