,donneau-de-vise-amours-du-soleil,dorneval-jugement-de-paris,Cost,Operation Type
10,"('#vii-muse', 'Nous le ferons même avec allégresse. ')","('#monsieur-gargot', ""C'est quelque galante aventure."")",0.73,Substitution
11,"('#apollon', ""Je vous quitte, le temps me presse,  Je ne puis demeurer plus longtemps en ce lieu ;  Je vais voir ma belle Princesse,  Il faut nous séparer, adieu.  Apollon vole jusques au milieu du théâtre. Le Parnasse disparaît ; et l'Amour couché sur un nuage, arrête Apollon, qu'un autre nuage soutient aussi. "")","('#mercure', 'Non. Jupiter vient en ce jour. Chez vous avec toute sa Cour. Vous y verrez Pallas, Junon,  Vous y verrez Pallas, Junon,  Et la Mère de Cupidon : Dondaine, dondaine, Et mainte autre Dondon. Olympienne. Nous y venons célébrer les noces de Thétis et de Pelée. Air 66 : Dondaine, Dondaine.')",0.53,Substitution
12,"('#l-amour', ""Où court avec tant de vitesse  Le Dieu qui fait briller le jour ?  Sans avoir consulté l'Amour,  Ose-t-il bien aller voir sa Maîtresse ?"")",,1.0,Insertion
13,"('#apollon', ""Je ne consulte rien que l'ardeur qui me presse. "")",,1.0,Insertion
14,"('#l-amour', ""Le trépas de Python dont ton bras fut vainqueur,  Te donna tant de vaine gloire,  Qu'après une telle victoire  Tu ne crus rien d'égal à ta valeur,  Et tout rempli d'orgueil, tu bravas ma puissance :  Mais la belle Daphné, dont ton coeur fut épris,  T'apprit bientôt comment je traite qui m'offense,  Et me vengea de toi par ses cruels mépris. "")",,1.0,Insertion
15,"('#apollon', ""Il est vrai qu'à mes voeux elle fut inflexible ;  Mais en la rendant insensible  Tu te fis pour le moins autant de mal qu'à moi ;  Et quoi que tu me puisses dire,  Puisque ce fut un coeur de moins sous ton empire,  Ce fut une perte pour toi."")",,1.0,Insertion
16,"('#l-amour', ""Quand on contente sa vengeance,  On est toujours satisfait ;  Et l'on ne compte pas la perte que l'on fait,  Lorsqu'elle sert à punir une offense.  J'en dois venger une autre, et je me souviens bien  De ce qu'a fait le Dieu de la Lumière,  Quand tout le Ciel par son moyen  Avecque Mars a découvert ma Mère ;  Et l'Amour ne pardonnant rien,  Tu dois craindre encor ma colère. "")",,1.0,Insertion
17,"('#apollon', ""Je devais donc obscurcir ma lumière,  Pour cacher les amours de Vénus et de Mars :  Mais quel mal pourrais-tu me faire ?  Tu n'es pas assez fort pour manier tes dards,  Je m'en servirais mieux, et n'ai pas ta faiblesse ;  Et la défaite de Python  Marquant ma force et mon adresse,  Fait voir qu'on doit trembler au seul bruit de mon nom. "")",,1.0,Insertion
18,"('#l-amour', ""Il est vrai que souvent on a vu sous tes armes,  Aussi bien que Python, expirer des mortels :  Mais j'attaque les Dieux, et fais aux plus cruels  Plus répandre en un jour de larmes,  Qu'on ne brûla jamais d'encens sur tes autels.  Je suis à craindre en ma colère,  Les coups saignent longtemps qui partent de mes traits :  Mais je veux qu'on me considère  Moins par le mal que je puis faire,  Que par tant de biens que je fais. "")",,1.0,Insertion
19,"('#apollon', ""L'Amour sait bien causer."")",,1.0,Insertion
20,"('#l-amour', ""Je sais faire autre chose,  Et toi-même tu le sais bien ;  Et plus d'une métamorphose  T'a dû faire savoir si je ne pouvais rien,  Et si quand je suis en colère... "")",,1.0,Insertion
21,"('#apollon', ""Mais dis-moi, petit téméraire,  T'oses-tu comparer à moi ?  Ne suis-je pas en tout un Dieu plus grand que toi ?  On donne en mon honneur des jeux et des spectacles,  Je suis le Souverain de Delphe et de Claros,  Je commande à Patare, et dedans Ténédos,  Et rends chez les mortels les plus fameux oracles ;  Et si tous les matins je ne sortais de l'onde,  Les ténèbres sans cesse obscurciraient le monde,  Et porteraient partout l'effroi ;  J'ai le premier inventé la musique,  Et cet art si divin de composer des vers ;  Jupiter est mon Père, et dans tout l'univers... "")",,1.0,Insertion
22,"('#l-amour', ""Et c'est donc là l'honneur dont Apollon se pique ?  Il a sujet de se vanter :  Un fils d'une mortelle, et du grand Jupiter,  A sans doute un grand avantage,  Et qui lui doit servir en mille lieux :  Mais avec des mortels cet honneur se partage,  Aussi bien qu'avec des Dieux.  Ce grand pouvoir encor de faire les journées,  De régler les saisons, et le cours des années,  Et tout ce qui fait ton emploi,  Est un ordre des Destinées,  Qui de tout temps est établi sans toi :  Mais avec ce pouvoir peux-tu voir dans les âmes ?  Tes rayons si vantés percent-ils dans les coeurs ?  Et le secours de tes neufs Soeurs  Te peut-il assurer un succès à tes flammes ?  Et quand tout l'univers vivrait dessous ta loi,  Peux-tu te faire aimer sans moi ?  Je dompte quand je veux l'orgueil de la plus fière,  Je fais aimer les plus grands conquérants,  Et le flambeau qui m'éclaire  Allume plus de feux que ta lumière. "")","('#monsieur-gargot', ""Le Grand Jupiter fait trop d'honneur à ma Guinguette.  Je vais me mettre en quatre, pour contenter une si belle compagnie."")",0.76,Substitution
23,"('#apollon', ""Oui, mais chacun te met au nombre des Tyrans ;  On souffre trop sous ton empire,  Sans cesse on y languit, sans cesse on y soupire ;  Tu ne fais que du mal, c'est là tout ton emploi,  Et Mars est moins cruel que toi.  Quand ce Dieu furieux ravage tant de terres,  Qu'il porte partout la terreur,  Il ne fait bien souvent qu'entretenir des guerres  Dont l'Amour est le seul auteur. "")",,1.0,Insertion
24,"('#l-amour', ""D'où vient donc que ton coeur soupire,  Puisque je fais du mal en tant de lieux ?  Et pour quoi voit-on tous les Dieux  Reconnaître mon empire,  Et lorsqu'en terre un bel oeil les attire,  Descendre souvent des Cieux ?  Je ne suis pas si cruel que l'on pense ;  Et quand on a reconnu ma puissance,  On goûte souvent des douceurs :  Mais aussi lorsque l'on m'offense,  Je fais souffrir de cruelles douleurs,  Et ne songe qu'à la vengeance.  Tu le sais, je me suis déjà vengé de toi,  Quand tu t'attiras ma colère ;  Et je veux en vengeant ma Mère,  Te faire plus souffrir que je n'ai fait pour moi.  Je ne dois point avec un soin extrême,  Quand on a pris plaisir à m'outrager,  Épier les moments propres à me venger ;  Dans mes fers, tôt ou tard, on se jette soi-même. "")",,1.0,Insertion
25,"('#apollon', ""Quoique pressé de m'en aller,  Pour savoir ton dessein, je t'ai laissé parler.  Je vais en Perse attendre les miracles  Que tu feras pour te venger ;  Fais naître à mes désirs tous les jours des obstacles,  Tu ne saurais mieux m'obliger,  Je ne cherche que de la gloire,  Et je veux vaincre avec honneur ;  Dans une facile victoire  On doit trop à son bonheur. "")",,1.0,Insertion
26,"('#l-amour', ""Ce discours est adroit, mais Apollon s'abuse,  S'il prétend me tromper par une telle ruse.  J'en sais là-dessus plus que toi :  Si tu ne le crois pas, ton erreur est extrême ;  Qui veut tromper l'Amour, se peut tromper soi-même ;  Le meilleur est toujours de s'en fier à moi :  Mais laissons ce discours, va-t'en chez ta Maîtresse,  Tu brûles de la voir, elle a mêmes désirs ;  Mais un cruel chagrin, une sombre tristesse,  Suivront de bien près tes plaisirs.  Souviens-toi que par toi Vénus fut outragée ;  Tu seras toutefois aimé ;  De la Beauté qui t'a charmé,  Et ma Mère aujourd'hui sera pourtant vengée :  Adieu, tu connaîtras un jour  Que tout est possible à l'Amour.  L'Amour s'envole sans son nuage ; et Apollon toujours porté par le sien, va du côté dont l'Amour est parti. "")",,1.0,Insertion
27,"('#le-roi', ""Rentrez dans le palais.  Vous, demeurez ici,  Prince. Vous me voyez accablé de souci,  Et vous saurez bientôt quel sujet l'a fait naître.  Oui, tout ce qui le cause, à vos yeux va disparaître ;  Les secrets de l'État vous étant connus tous,  Celui-ci ne doit pas être caché pour vous ;  Cet important secret regarde la Princesse,  Dont je ne puis assez condamner la faiblesse.  À sa Suite. À Théaspe."")","('#mercure', ""Ils ont déjà dîné.  Ils viennent pour passer ici l'après-dinée, et y souper ensuite. Tenez.  Voilà l'ordre du repas.  Mettez vite la main à la pâte. Il lui donne un papier."")",1.22,Substitution
28,"('#theaspe', ""Saurait-il que je l'aime ?  Ah, Seigneur, croyez-vous...  À part. Haut."")",,1.0,Insertion
29,"('#le-roi', ""Prendre ses intérêts, c'est aigrir mon courroux ;  Et quand je la condamne, on ne peut la défendre. "")",,1.0,Insertion
30,"('#theaspe', ""Ah, Seigneur, contre vous l'oserais-je entreprendre ? "")",,1.0,Insertion
31,"('#le-roi', 'Éloignons-nous un peu, vous apprendrez pourquoi. ')",,1.0,Insertion
32,"('#nerice', ""Je vois quelqu'un, sortons. "")",,1.0,Insertion
33,"('#clitie', ""Ah n'importe, suis-moi ;  À cette heure Apollon vient trouver la Princesse,  Il vient entretenir sa nouvelle Maîtresse,  Et moi je le viens voir. "")",,1.0,Insertion
34,"('#nerice', 'Vous devez éclater. ')",,1.0,Insertion
35,"('#clitie', ""Nérice, mon dessein n'est pas de m'emporter :  Lorsqu'on agit ainsi, l'on doit être assurée  Qu'à toute autre Maîtresse on sera préférée :  Mais quand j'en dois douter, ce serait me trahir,  Et travailler moi-même à me faire haïr :  Lorsqu'on voit qu'un Amant s'échappe de sa chaîne,  Par sa seule douceur il faut qu'on le ramène ;  Cette douceur l'accuse, il se blâme en secret,  Il combat, et ne peut s'échapper qu'à regret ;  Mais on lui fait plaisir sitôt qu'on le querelle,  Et l'on achève enfin de le rendre infidèle. "")","('#monsieur-gargot', 'Je ne perdrai point de temps.  Holà !  Garçons !  Vous placerez ces deux Bourgeoises avec ces deux Officiers dans la chambre sur le devant.')",1.18,Substitution
36,"('#nerice', ""Ah vous l'aimez encor, puisque vous craignez tant. "")",,1.0,Insertion
37,"('#clitie', ""Oui, je l'aime toujours, bien qu'il soit inconstant.  Je crois qu'on ne saurait condamner ma tendresse,  Et qu'on peut bien aimer un grand Dieu sans faiblesse ;  Et ce qui doit encor excuser mon ardeur,  C'est que du même Dieu j'ai possédé le coeur.  Ainsi ma flamme doit être toujours égale ;  Et sans examiner l'esprit de ma Rivale,  Ni ses puissants attraits qui peuvent tout charmer,  Je me veux toujours faire un plaisir de l'aimer.  Nérice, qui ne peut aimer qu'autant qu'on l'aime,  N'aime que faiblement, ou n'aime que soi-même ;  Une amour violente, une sincère ardeur,  Ne saurait tout d'un coup se changer en froideur ;  Et ce n'est pas avoir l'âme bien enflammée,  Que de ne plus aimer dès qu'on n'est plus aimée.  Dans ce temps seulement la constance paraît,  Le véritable amour par là se reconnaît,  Et c'est aussi par là que je ferai paraître  L'amour que dans mon coeur Apollon a fait naître ;  Rien ne peut l'égaler cette puissante amour  Qui me fera peut-être expirer quelque jour ;  D'un feu si violent je me sens consumée,  Dois-je mourir, hélas ! Sans être encor aimée ?"")",,1.0,Insertion
38,"('#nerice', ""Fille de l'Océan, et digne de l'amour  Du jeune et charmant Dieu qui dispense le jour,  Croyez que des Persans l'orgueilleuse Princesse  Ne vous pourra longtemps dérober sa tendresse. "")",,1.0,Insertion
39,"('#clitie', 'Voici Palmis, qui sait seule tous ses secrets. ')",,1.0,Insertion
40,"('#nerice', ""Il semble qu'elle soit dedans vos intérêts. "")","('#mercure', ""L'ordre est judicieux."")",1.36,Substitution
41,"('#palmis', ""Je cherche en vain ce Dieu, puisque l'on voit l'Aurore,  Que ses faibles rayons laissent paraître encore."")",,1.0,Insertion
42,"('#clitie', ""Sans me faire languir, dis-moi, chère Palmis,  L'espoir à mon amour est-il encor permis ? "")",,1.0,Insertion
43,"('#palmis', 'Pour un Dieu qui vous quitte, ayez moins de faiblesse.')",,1.0,Insertion
44,"('#clitie', ""Mais crois-tu qu'Apollon aime bien la Princesse ? "")",,1.0,Insertion
45,"('#palmis', 'Oui. ')","('#monsieur-gargot', 'Ils avaient retenu celle-ci qui est plus particulière.')",1.53,Substitution
46,"('#clitie', ""La voit-il souvent, et crois-tu qu'en son coeur  Leucothoé ressente une aussi forte ardeur ? "")",,1.0,Insertion
47,"('#palmis', 'Je le crois. ')",,1.0,Insertion
48,"('#clitie', ""Leurs discours sont-ils remplis de flammes ?  Voit-on bien par leurs yeux jusqu'au fond de leurs âmes ? Brillent-ils d'une ardeur qui les rende perçants ?  Ou leurs regards sont-ils tendres et languissants ? "")",,1.0,Insertion
49,"('#palmis', ""L'amour qui les unit, a tant de violence,  Qu'il se fait remarquer même par leur silence :  Ils ne peuvent parler ; mais on juge à les voir,  Qu'ils en ont le désir, au défaut du pouvoir,  Qu'ils brûlent au moment qu'ils paraissent tranquilles,  Et qu'un excès d'amour les rend presque immobiles.  D'une pareille ardeur leurs coeurs étant touchés,  À se considérer leurs yeux sont attachés ;  Et pendant cette extase où paraissent leurs âmes,  De leurs yeux pleins de feu partent des traits de flammes ;  Et dans cet éloquent et muet entretien,  Leurs coeurs disent beaucoup, lorsqu'ils ne disent rien. "")","('#mercure', 'Ils choisissent bien les logements.  Ce sont apparemment deux Maréchaux des Logis.')",1.47,Substitution
50,"('#clitie', 'Leur flamme est mutuelle, hélas ! ')",,1.0,Insertion
51,"('#palmis', ""Quand la Princesse  Par d'amoureux regards a fait voir sa tendresse ;  Son coeur qui veut aussi s'expliquer à son tour,  Par de tendres soupirs exprime son amour ;  Et celui d'Apollon dont l'ardeur est extrême,  Par mille autres soupirs y répond tout de même.  Ce Dieu lui dit enfin les troubles de son coeur ;  La Princesse rougit dès qu'il parle d'ardeur,  Elle baisse les yeux, il se tait, et soupire,  Et cette Amante entend tout ce qu'il lui veut dire.  Quand ces deux Amants sont ensemble à soupirer,  On voit qu'ils ne voudraient jamais se séparer ;  Et quand ce Dieu charmant a quitté la Princesse,  Pour le voir plus longtemps, et montrer sa tendresse,  Elle le suit des yeux, et soupire tout bas,  Et tant qu'elle le voit, ne se retourne pas. Ensuite elle paraît quelque temps interdite,  Tant elle a de douleur, quand ce grand Dieu la quitte ;  Elle m'en parle après, mais d'un air qui fait voir  Que son coeur... "")",,1.0,Insertion
52,"('#clitie', ""C'est assez, tu m'en fais trop savoir. "")",,1.0,Insertion
53,"('#palmis', 'Je me tais. ')","('#monsieur-gargot', 'Garçons !  Mettez du vin au frais.')",1.71,Substitution
54,"('#clitie', ""Mais crois-tu qu'elle lui soit fidèle ? "")","('#mercure', ""Oui ; mais point de chasse-cousin, s'il vous plaît."")",1.82,Substitution
55,"('#palmis', ""Un Dieu doit n'allumer qu'une flamme immortelle. "")",,1.0,Insertion
56,"('#clitie', ""Et c'est aussi pourquoi je puis toujours l'aimer,  Sans que de mon amour on me doive blâmer :  Mais quand il est auprès de l'objet de sa flamme,  Et qu'il lui veut montrer tout ce que sent son âme,  Lorsqu'il me voit venir, paraît-il agité ?  S'émeut-il ? Tourne-t-il ses yeux de mon côté ?  Ma Rivale paraît, ôtons-nous de sa vue. "")",,1.0,Insertion
57,"('#palmis', ""Elle ne la peut voir, sans se sentir émue.  Je viens, comme on m'a dit, de lui faire savoir  Qu'elle doit étouffer tous ses restes d'espoir. "")",,1.0,Insertion
58,"('#la-princesse', ""Hé bien, n'as-tu point vu le Dieu de la Lumière ? "")",,1.0,Insertion
59,"('#palmis', 'Non, et dans ce jardin vous êtes la première. ')",,1.0,Insertion
60,"('#la-princesse', ""Hé quoi, tu n'as point vu l'aimable Dieu du Jour ? "")","('#monsieur-gargot', ""Oh !  Nous n'avons que du bon."")",1.36,Substitution
61,"('#palmis', ""Ce désir de le voir, marque beaucoup d'amour. "")",,1.0,Insertion
62,"('#la-princesse', ""Su tu veux bien juger de l'état de mon âme,  Par tout ce que je sens apprends qu'elle est ma flamme ;  Je suis toujours chagrine, et je crains que ce Dieu  Ne brûle pour Clitie encor du même feu ;  Je ne la saurais voir sans me sentir émue,  Je me trouble à son nom de même qu'à sa vue,  Sa joie et sa douleur me causent du souci,  Et je voudrais toujours voir mon Amant ici.  Rien ne me divertit, quoi que je puisse faire ;  Sans le Dieu des saisons, rien ne me saurait plaire ;  Quand j'en entends parler, je sens une rougeur  Qui fait voir au dehors les troubles de mon coeur :  Mais hélas ! Je la sens déjà sur mon visage ;  Pour t'apprendre ma flamme, en faut-il davantage ? "")","('#mercure', ""Eh !  Mon enfant, à qui vendez-vous vos coquilles ?  Ce n'est pas le vin qu'on vient chercher ici."")",1.7,Substitution
63,"('#palmis', ""Pourquoi, puisque ce Dieu cause tous vos désirs,  Ne l'a-t-il encor su que par vos seuls soupirs ? "")","('#monsieur-gargot', ""D'accord, mais j'en ai d'excellent."")",1.94,Substitution
64,"('#la-princesse', ""Qui se rend en un jour, n'est jamais bien aimée,  Son ardeur refroidit l'âme la mieux charmée,  Et toujours un Amant se peut imaginer  Qu'un coeur sitôt épris, se rend sans se donner,  Et que quelques raisons d'intérêt ou de gloire  Font qu'il triomphe avant que d'avoir la victoire.  Ce facile triomphe a pourtant des appas ;  L'Amour en est content, mais le coeur de l'est pas. "")","('#mercure', ""Il faudra qu'il soit exquis pour piquer des gosiers accoutumés au nectar.  Un peu trop de douceur ou d'âcreté les dégoûtera."")",1.16,Substitution
65,"('#palmis', ""Lorsqu'on a pour un Dieu cette prompte tendresse... "")",,1.0,Insertion
66,"('#la-princesse', ""Un Dieu, comme un mortel, blâme notre faiblesse,  Je voulais que d'abord ma froideur l'enflammât,  Je voulais qu'à m'aimer son coeur s'accoutumât,  Je voulais qu'il s'en fît une telle habitude,  Qu'il ne pût l'oublier qu'avec inquiétude.  Par là je me voulais assurer son ardeur,  Afin d'être toujours maîtresse de son coeur ;  Je lui voulais laisser le temps de me connaître,  Je voulais à ses feux laisser le temps de croître ;  Des feux bien établis sont souvent plus constants ;  Et quand on aime bien, on aime plus longtemps. "")","('#monsieur-gargot', ""Loin de trouver mes vins trop acres, Je réponds que Messieurs les Dieux. S'en retourneront tous aux Cieux Plus ivres que des Fiacres. De l'âcreté ! Air : Quand le péril est agréable."")",0.6,Substitution
67,"('#palmis', ""Je vois bien qu'en aimant chacun a sa maxime. "")",,1.0,Insertion
68,"('#la-princesse', ""Je lui voulais pour moi voir une forte estime  Qui pût me faire encor régner dedans son coeur,  Quand son feu n'aurait plus sa première chaleur :  Qui de sa passion fait voir la violence,  Sans laisser établir beaucoup de confiance,  D'estime et d'amitié, perd tout en un moment,  Dès que l'amour s'éteint dans le coeur d'un Amant :  Mais celle qui d'un coeur s'est pu rendre maîtresse,  Par une longue estime, et pleine de tendresse,  N'a jamais le chagrin de ne régner qu'un jour,  Tant cette estime sert à soutenir l'amour. "")","('#mercure', ""Ma foi, le Sexe féminin Aujourd'hui fait honneur au vin, Lon-lan la, derirette. Si cela arrive, les Déesses seront aussi bien conditionnées, sur ma parole. Air 52 : Lon-lan-la, derirette."")",1.27,Substitution
69,"('#palmis', ""Quoi, Madame, est-il vrai que l'Amour puisse apprendre,  Dès qu'il règne en un coeur, ce que je viens d'entendre ? "")","('#monsieur-gargot', 'Qui le voit mieux que nous ici ? Lonlan la, deriri.')",1.74,Substitution
70,,"('#mercure', 'Mais, voici Jupiter.')",1.0,Deletion
71,"('#la-princesse', ""Ah, malgré ses leçons, les songes que je fais  M'apprennent que mes maux ne guériront jamais.  Je n'ai point de repos, mon âme inquiétée  Est d'un songe nouveau chaque nuit agitée ;  Je suis toute tremblante encore à mon réveil. "")","('#jupiter', ""Allons, allons, allons À la Guinguette, allons. De la joie, mes enfants, de la joie. Je suis en train aujourd'hui.  Divertissons-nous. Du vin, du vin comme de l'eau. Fin de l'Air 102 : Nanon dormait."")",1.02,Substitution
72,"('#palmis', 'Il faut que nous allions vers le Dieu du Sommeil,  Il pourra vous tirer de votre inquiétude ;  Son antre est ici près dans une solitude. ')",,1.0,Insertion
73,"('#la-princesse', ""Puisqu'en Perse sans temple on adore les Dieux,  Nous irons vers le soir. "")",,1.0,Insertion
74,"('#palmis', 'Quoi, dans ces sombres lieux... ')","('#monsieur-gargot', 'Vous en aurez bientôt de frais.')",1.61,Substitution
75,"('#la-princesse', ""Que crains-tu ? Mais tâchons d'éviter ce nuage,  Il semble menacer d'un grand et prompt orage. "")",,1.0,Insertion
76,"('#palmis', ""C'est pourquoi le Soleil ne paraît point. "")",,1.0,Insertion
77,"('#la-princesse', ""Hélas !  S'il était bien ardent, ne le verrais-je pas ? "")","('#jupiter', ""Et des violons, n'y en a-t-il pas ici ?"")",1.04,Substitution
78,,"('#monsieur-gargot', ""D'excellents."")",1.0,Deletion
79,"('#apollon', ""Que j'ai d'impatience, et que l'amour me presse  De revoir en ces lieux ma charmante Princesse !  Depuis que je ressens une amoureuse ardeur,  J'accuse tous les jours ma course de lenteur.  Mais quel sombre nuage ! Il n'est pas ordinaire ;  Et depuis que mon char roule sur l'hémisphère,  Je n'en ai point encor vu de cette épaisseur,  Ni qui résistât tant à ma vive chaleur.  De mes chevaux ardents la plus brûlante haleine,  Et mes plus forts rayons ne le percent qu'à peine ;  Mais je crois que dans peu je pourrai réussir,  Et je vois qu'il commence enfin à s'éclaircir.  Si, comme je le crois, ceci cache un mystère,  Il n'est rien que mon feu ne pénètre et n'éclaire ;  Quelqu'un dans cette nue était enveloppé,  Voyons, car ce nuage est presque dissipé ;  C'est Vénus. Vous craigniez sans doute d'être vue ;  Mais Déesse, il n'est point d'assez épaisse nue  Pour vous cacher longtemps ; et la Mère d'Amour,  Par ses brillants appas, répand partout le jour  Si d'abord mes rayons ont percé le nuage,  Vos yeux par leur éclat, ont fait bien davantage, Ils ont tout dissipé, ces adorables yeux,  Qui font tant soupirer de mortels et de Dieux. "")","('#jupiter', 'Bon.  Tant mieux.  Je veux danser, et me réjouir comme un compère.')",1.16,Substitution
80,"('#venus', ""Si j'eusse fait dessein de n'être pas connue,  J'eusse empêché mes yeux de dissiper la nue. "")",,1.0,Insertion
81,"('#apollon', 'Pourquoi donc vous cacher pour venir ici-bas ? ')",,1.0,Insertion
82,"('#venus', 'Pour certaines raisons que vous ne saurez pas. ')",,1.0,Insertion
83,"('#apollon', 'Je suis pourtant discret, et je sais bien me taire. ')",,1.0,Insertion
84,"('#venus', ""Rien n'est si bien caché, qu'Apollon ne l'éclaire. "")",,1.0,Insertion
85,"('#apollon', 'Je crois que vous venez chercher quelque chasseur,  Dont les jeunes attraits ont touché votre coeur. ')",,1.0,Insertion
86,"('#venus', ""Pour un charmant mortel, j'ai l'âme un peu blessée,  Et vous m'obligerez d'avoir cette pensée. "")",,1.0,Insertion
87,"('#apollon', ""On sait bien que Vénus aime facilement,  Et qu'elle a chaque jour quelque nouvel Amant. "")",,1.0,Insertion
88,"('#venus', ""Peut-on être constante alors que l'on est belle,  Et faire vanité d'être toujours cruelle ?  Mais n'allez pas au moins découvrir mon amour,  Et ne me faites pas encor le même tour  Que vos chagrins jaloux vous firent entreprendre,  Lorsqu'avec le Dieu Mars vous me fîtes surprendre. "")","('#monsieur-gargot', 'Ce Jupiter me paraît bonhomme : Je le crois même un peu bête.')",1.43,Substitution
89,"('#apollon', ""N'avais-je pas raison de me venger de vous ?  Mais, Déesse, on doit tout pardonner aux jaloux. "")",,1.0,Insertion
90,"('#venus', 'La Princesse de Perse ayant touché votre âme,  Vous ne vous plairez plus à traverser ma flamme. ')",,1.0,Insertion
91,"('#apollon', ""Oui, tout Dieu que je suis, j'adore ses appas ;  Mais faites que l'Amour ne me desserve pas. "")",,1.0,Insertion
92,"('#venus', ""Je doute que pour vous je puisse beaucoup faire ;  L'Amour n'est pas toujours d'accord avec sa Mère. "")",,1.0,Insertion
93,"('#apollon', 'Mais lui parlerez-vous au moins en ma faveur ? ')",,1.0,Insertion
94,"('#venus', 'Je parlerai de vous, et même avec chaleur. ')",,1.0,Insertion
95,"('#apollon', 'Que ne vous dois-je point, obligeante Déesse ! ')","('#mercure', 'Vous lui faites grâce du peu.')",0.79,Substitution
96,"('#venus', ""Je parlerai de vous, et tiendrai ma promesse ;  Mais je vous incommode, et vous venez chercher  La charmante Beauté qui vous a su toucher.  Adieu. Tu ne sais pas encor ce qui m'amène,  Tu crois que c'est l'amour, mais c'est plutôt la haine,  C'est même contre toi qu'elle doit éclater. À part en s'en allant."")","('#jupiter', ""Dansons.  Chantons.  Morbleu !  Qu'il est doux de laisser sa qualité à la porte d'une Guinguette, et de goûter des plaisirs à la croque-au-sel !"")",1.26,Substitution
97,"('#apollon', ""De son ressentiment je dois tout redouter,  Elle le cache en vain, je l'ai trop outragée,  Elle est femme, et voudra sans doute être vengée. "")",,1.0,Insertion
98,"('#palmis', 'Ce nuage est passé. ')",,1.0,Insertion
99,"('#la-princesse', 'Je vois le Dieu du Jour. ')","('#mercure', 'Aussi, cela se fait assez souvent.')",1.57,Substitution
