,la-fontaine-daphne,la-motte-carnaval-folie,Cost,Operation Type
15,"('#promethee', ""Descendez. Les statues descendent, et viennent à pas lents et graves faire une entrée, dansant presque sans mouvement, et d'une façon composée, comme feraient des sages et des philosophes."")",,1.0,Insertion
16,"('#momus', ""Quelles gens ! Ce n'est qu'une machine."")",,1.0,Insertion
17,"('#promethee', ""C'est l'idole d'un sage."")","('#venus', 'Quand vous cesserez de médire.')",1.58,Substitution
18,"('#les-dieux', 'Hé quoi ! la passion Jamais chez eux ne domine !')","('#momus', 'Ah ! Vous voulez aimer toujours.')",0.94,Substitution
19,"('#promethee', ""Leur coeur en est tout plein ; ce n'est qu'ambition, Colère, désespoir, crainte, ou joie excessive. Machine, on veut voir vos ressorts ; Quittez tous ces trompeurs dehors. Les nouveaux hommes, qui paraissaient de véritables statues, quittent une partie de l'habit qui les enveloppe, et se font voir tels qu'ils sont dans l'intérieur, l'un représentant l'ambition, l'autre, la colère, la crainte, le désespoir, la joie excessive, etc. En cet état ils dansent en confusion et d'une manière aussi impétueuse et aussi vive que l'autre était grave et peu animée."")","('#jupiter #venus', ""Que de nos chants tous les Cieux retentissent. Que les Jeux, que les Ris signalent ce beau jour. Chantons Bacchus, chantons l'Amour ; Qu'ils sont charmants quand ils s'unissent ! On danse."")",0.62,Substitution
20,"('#momus', 'Je la trouvais trop lente, et la voilà trop vive.')",,1.0,Insertion
21,"('#minerve', 'Laissez-moi régler ces transports.')",,1.0,Insertion
22,"('#venus', ""Mon fils, par de secrètes causes, Peut encor mieux que vous les calmer à son tour : Rien n'a d'empire sur l'Amour, L'Amour en a sur toutes choses. Le plus magnifique don Qu'aux mortels on puisse faire, C'est l'amour."")","('#venus', ""Dieu d'Amour, réserve-nous tes charmes, C'est pour nos coeurs que tes plaisirs sont faits ; Fais-nous sans alarmes Goûter leurs attraits. Doux moments, Doux transports des amants, Ne pouvez-vous naître Qu'après les tourments ? Aimons tous. Tendre Amour, blesse-nous : Qui peut craindre pour maître Un Vainqueur si doux ? Tes biens trop aimables Sont trop peu durables ; Fixe-les pour nous."")",0.13,Substitution
23,"('#minerve', ""C'est la raison. Le don le plus nécessaire Aux hôtes de ce séjour, C'est la raison."")",,1.0,Insertion
24,"('#venus', ""C'est l'amour."")",,1.0,Insertion
25,"('#amour', ""L'effet en jugera : servez-vous de vos armes, Et moi j'emploierai mes charmes."")","('#choeur-des-deesses', ""Viens, Amour, avec tous tes charmes, Que les Jeux viennent sur tes pas. Nous aimons tes douces alarmes ; Tes chaînes, tes feux sont remplis d'appas. Prends tes traits, prépare tes armes, Et viens te venger des coeurs qui n'aiment pas. VÉNUS danse avec MARS, et VULCAIN se mêle avec eux pour les observer."")",0.53,Substitution
26,"('#minerve', ""Que vous vous tourmentez, mortels ambitieux, Désespérés et furieux, Ennemis du repos, ennemis de vous-mêmes ! A modérer vos voeux mettez tous vos plaisirs : Régnez sur vos propres désirs ; C'est le plus beau des diadèmes. Les hommes qui s'étaient arrêtés quelques moments pour ouïr Minerve, attendent à peine qu'elle a achevé, et ne laissent pas, malgré ses conseils, témoigner toujours la même fureur et le même emportement. L'Amour leur faisant signe qu'il veut parler, ils s'arrêtent."")","('#mercure', ""Quittez, quittez ces Jeux, en faveur de l'Amour : Que de nouveaux soins les suspendent. Dans un moins superbe séjour De plus doux plaisirs vous attendent. J'ai volé, j'ai servi vos feux ; Et mille charmantes mortelles N'aspirent qu'au moment heureux De vous voir soupirer près d'elles."")",0.0,Match
27,"('#amour', ""De vos sages discours voyez quel est le fruit Je ne dirai qu'un mot. Aimez. On obéit : Vous le voyez. Aux hommes. À ce mot, ceux qui dansaient en confusion et en tumulte dansent deux à deux comme personnes qui s'aiment."")","('#momus', ""Suivez, suivez Mercure, abandonnez les Cieux. Livrez-vous aux plaisirs ; qu'en vain la Gloire gronde, L'Amour est un plus digne objet : Aimez ; il est un Roi qui prend le soin du monde ; Jouissez du loisir qu'un mortel vous a fait."")",0.29,Substitution
28,"('#venus', ""Amour, qu'il est doux de te suivre !"")","('#jupiter', ""De tes ris outrageants c'est trop souffrir l'injure, Cesse, Momus, de troubler nos désirs ; FuiS, va chez les mortels exercer ta censure , Et laisse ici les Dieux maîtres de leurs plaisirs."")",1.02,Substitution
29,"('#jupiter', 'Vivez, nouveaux humains.')","('#momus', ""Le Destin m'a soumis au Maître du tonnerre, J'obéis à ses lois, et je vous quitte tous ; Mais j'espère bientôt vous revoir sur la terre, Sous des formes dignes de vous."")",1.56,Substitution
30,"('#choeur-des-dieux', 'Vivez, nouveaux humains.')",,1.0,Insertion
31,"('#venus', ""Laissez-vous enflammer. Que vaut la peine de vivre, Sans le doux plaisir d'aimer ?"")","('#le-choeur-des-dieux', 'Allez, Amours, conduisez-nous ; Sous divers changements, trompons les yeux jaloux. Les Amours volent pour conduire les Dieux.')",1.04,Substitution
32,"('#choeur', ""Que vaut la peine de vivre, Sans le doux plaisir d'aimer ?"")",,1.0,Insertion
33,"('#momus', ""D'où vient que si mal assortie Cette belle a fait choix d'un vieillard pour amant ?"")","('#momus', ""Cessez, Mortels, cessez l'honneur que vous nous faites, Ne perdez plus d'encens pour nous. Vous adorez, insensés que vous êtes, Des Dieux encor plus insensés que vous. Ils n'ont pu soutenir ma censure importune, Ils m'ont chassé de leur séjour ; Cherchons le Carnaval, c'est lui qui dès ce jour Peut réparer mon infortune. Mais il paraît."")",1.07,Substitution
34,"('#amour', ""C'est l'effet merveilleux d'un secret sentiment Que j'appelle sympathie."")","('#le-carnaval', ""Bacchus, laisse-moi soupirer ; Amour, laisse-moi boire Mon coeur entre vos mains se plaît à se livrer ; Entre vous deux partagez la victoire. De tendresse et de vin je me veux enivrer, L'Amour fait mes plaisirs, et Bacchus fait ma gloire. Bacchus, laisse-moi soupirer ; Amour,laisse moi boire."")",1.17,Substitution
35,"('#venus', ""Le démon opposé n'a pas moins de pouvoir. Souvent nous haïssons ce qui devrait nous plaire."")",,1.0,Insertion
36,"('#jupiter', ""Tel dieu sait l'avenir, qui n'a pas su prévoir Quels maux ce démon lui va faire. Mais un jour un prince viendra Qui plaira plus qu'il ne voudra. Le Destin parmi nous lui garde un rang insigne, Et je lui veux accorder, Afin qu'il en soit plus digne, L'art de savoir commander. Mars lui promet en apanage La grandeur d'âme et de courage."")","('#momus', ""Tu vois l'Objet de la haine des Dieux, Dans le Censeur de leurs caprices ; Ils m'ont banni du Ciel, et le Maître des Cieux Veut jouir en paix de ses vices. C'est toi désormais que je sers. Souffre que sur tes pas pour jamais je m'engage ; Et que du Nectar que je perds, Ton vin charmant me dédommage."")",0.46,Substitution
37,"('#minerve', 'Moi, la vertu.')","('#le-carnaval', ""Que mes biens désormais soient communs entre nous, Qu'à jamais l'amitié nous lie. Pour commencer des noeuds si doux, Écoute, c'est à toi que mon coeur se confie. Tu vois ce séjour enchanté : Le Repos règne sur ces rives. L'Abondance y nourrit la molle Volupté. Du rocher que tu vois le paisible Léthé Répand jusqu'aux Enfers ses ondes fugitives. Plutus et la Jeunesse en ce charmant séjour Goûtent un sort exempt de peines : Dès longtemps le fidèle Amour Les a liés de ses plus douces chaînes, Et l'aimable Folie en a reçu le jour."")",0.92,Substitution
38,"('#venus', ""Moi, l'agrément."")","('#momus', 'Quoi ! Quel secret enfin va suivre cette image ?')",1.26,Substitution
39,,"('#le-carnaval', ""Cher Momus, la Folie est l'Objet qui m'engage."")",1.0,Deletion
40,"('#amour', ""Et moi le don d'aimer et d'être heureux amant."")","('#momus', ""Que votre choix est beau ! Que vos liens sont doux. Vous ne pouviez trouver de Maîtresse plus belle : Elle seule est digne de vous, Et vous seule êtes digne d'elle."")",1.01,Substitution
41,"('#venus #l-amour #minerve', ""Amour et la Raison s'accorderont pour faire Qu'aux coeurs comme aux esprits ce prince plaise un jour"")","('#le-carnaval', ""Tel se moque de mes ardeurs, Qui suit ses lois sans la connaître ; Par des charmes secrets elle enchante les coeurs, Et j'ai mille rivaux qui ne pensent pas l'être."")",0.8,Substitution
42,"('#choeur', 'Heureux qui par raison doit plaire ! Plus heureux qui plaît par amour !')","('#momus', ""Malgré tous vos rivaux, l'Amour doit réunir Deux coeurs où le Destin mit tant de ressemblance ; Trop digne de la préférence, Vous êtes sûr de l'obtenir."")",0.51,Substitution
43,"('#chloris #aminte #nymphes', ""Allons dans cette prairie : C'est un tranquille séjour ; Jamais les larmes d'amour N'y baignent l'herbe fleurie ; Les moutons y sont en paix, Et les loups n'y font jamais D'outrage à la bergerie."")","('#le-carnaval', ""Momus, je suis aimé de l'objet qui me blesse, Et l'Hymen va bientôt par ses aimables noeuds Achever de me rendre heureux, Si j'y fais consentir Plutus et la Jeunesse. Mais ils viennent au bruit de ces concerts charmants. Le temps n'affaiblit point leur flamme : Il semble que l'Amour lance à tous les moments Quelque trait nouveau dans leur âme. On entend une symphonie."")",0.6,Substitution
44,"('#chloris', 'Viens, ma soeur.')","('#plutus #la-jeunesse', ""Vous m'aimez, je vous aime, à Que notre sort est doux !"")",1.53,Substitution
45,"('#aminte', 'Je te suis.')","('#plutus', 'Pour vous ma constance est extrême.')",1.35,Substitution
46,,"('#la-jeunesse', ""Je n'aimerai jamais que vous."")",1.0,Deletion
47,"('#chloris', ""Viens goûter une vie Dont le calme est digne d'envie. Notre Nymphe a banni de ces lieux si charmants Ce peuple d'importuns que l'on appelle amants. La voici."")","('#plutus #la-jeunesse', ""Vous m'aimez, je vous aime, Que notre sort est doux ! Non , non, l'Amour lui-même, Ne peut aimer plus tendrement que nous."")",0.74,Substitution
48,"('#aminte', ""Que d'appas, de beautés, et de grâces ! Dirait-on pas que l'air s'embellit à ses traces ?"")","('#plutus', ""Jeunesse brillante, Tous les plaisirs suivent vos pas ; Sans vous rien ne me contente, r Vous donnez à tout mille appas : Il n'est point dans les Cieux de Déesses si belles. Le charme de la nouveauté Accompagne toujours vos grâces immortelles ; Vous êtes la seule beauté, Qui peut faire des coeurs fidèles."")",0.27,Substitution
49,"('#daphne', ""Amour, n'approche point de nos ombrages doux, De nos prés, de nos fontaines ; Laisse en repos ces lieux ; assez d'autres que nous Se feront un plaisir de connaître tes peines."")","('#la-jeunesse', 'Aimable Dieu, de qui la main dispense Ce qui rend les mortels heureux, Votre vaste puissance Réunit pour vous tous les voeux : En vous cherchant la peine devient chère, On se fait de vous voir le plus charmant plaisir ; Le bonheur même de vous plaire En irrite encor le désir.')",0.44,Substitution
50,"('#daphne', ""Chloris, n'est-ce pas la ta soeur que tu m'amènes ?"")",,1.0,Insertion
51,"('#chloris', 'Je vous la viens offrir. Nous cherchions en ces lieux Ce que Flore a pour vous de dons plus précieux.')","('#plutus #la-jeunesse', ""Amour, de notre flamme accroît la violence, Vole, viens resserrer nos noeuds ; Pour le prix de notre constance, Nous ne voulons qu'être plus amoureux."")",1.17,Substitution
52,"('#daphne', ""Cherchons, cherchons des fleurs ; l'âge nous y convie : Parons-nous de bouquets pendant notre printemps : Les plaisirs ont chacun leur temps, Comme les saisons de la vie Daphné, ayant achevé ces paroles, se baisse pour cueillir des fleurs, et les Nymphes de la suite en font autant ; pendant quoi un choeur de bergers, demeuré par respect derrière le théâtre, répète ces mots."")","('#plutus', ""Que tout vous parle ici de l'ardeur qui m'enchante : Déesse, voyez en ces lieux S'élever à ma voix puissante Un Palais digne de vos yeux. Le Théâtre change, et représente le Palais à Plutus."")",0.53,Substitution
53,"('#choeur-de-bergers', 'Cherchons, cherchons des fleurs ; Daphné nous y convie.')","('#plutus', ""Vous,qui suivez mes pas, servez l'amour extrême Où mon coeur s'est abandonné ; Venez offrir à ce que j'aime Tout ce que le Sort m'a donné. Les suivants de PLUTUS viennent offrir de riches présents à LA JEUNESSE. Ils lui rendent leurs hommages, et la suite de LA JEUNESSE se mêle avec eux."")",1.2,Substitution
54,"('#daphne', ""J'entends de nos bergers le concert plein d'appas. Qu'ils chantent, je le veux, mais qu'ils n'approchent pas."")","('#la-folie', ""Cessez, Jeux indiscrets, ou manquait la Folie ; Qu'ici tout se taise à ma voix. Je ne veux point souffrir de Fête où l'on m'oublie, Et l'on ne doit ici rire que sous mes lois."")",1.13,Substitution
55,"('#choeur-de-bergers', 'Cherchons, cherchons des fleurs ; Daphné nous y convie Il en renaît sous ses pas.')",,1.0,Insertion
56,"('#daphne', 'Déployons nos trésors.')",,1.0,Insertion
57,"('#chloris', ""J'ai cueilli les plus belles."")",,1.0,Insertion
58,"('#aminte', 'Et moi, les plus nouvelles.')","('#plutus #la-jeunesse', 'Quoi ! Vous osez....')",1.59,Substitution
59,"('#meroe', 'Moi, les plus vives en couleur.')",,1.0,Insertion
60,"('#daphne', ""Et vous ? Quel mauvais choix vous avez fait, ma soeur ! Vous nous direz, pour votre peine, Une chanson contre l'Amour. Cependant je veux que ma Cour Jure de lui porter une éternelle haine ; Jurez la première, Clymène !"")","('#la-folie', ""En vain ce discours vous offense. Je dois la vie à votre amour, Mais ne me comptez pas sous votre obéissance ; L'honneur de m'avoir mise au jour Vous paye assez de ma naissance. Abandonnez cette île, ou m'y laissez régner."")",0.28,Substitution
61,"('#clymene', ""Tout serment De n'avoir jamais d'amant Est chose fort incertaine ; Il en est peu que l'on tienne Plus d'un jour, plus d'un moment : Tout serment De n'avoir jamais d'amant Est chose fort incertaine."")","('#plutus #la-jeunesse', ""Enfin il faut céder à votre violence ; Puisque de vous guérir nous perdons l'espérance, La raison doit nous éloigner."")",1.27,Substitution
62,"('#daphne', 'Je veux que vous juriez ; dites donc après moi : Amour,')","('#la-folie', ""Demeurez, il suffit de votre obéissance. Rappelons les plaisirs que j'avais écartés, Que tout à m'obéir s'apprête ; Ne craignez rien ; loin de troubler la Fête, Je veux vous attendrir par mes chants ; écoutez ; Que votre règne commence ; Revenez, doux Plaisirs ; Plaisirs, revenez tous ; Mais revenez encor plus doux ; Vous languissiez sans moi, brillez par ma présence. On danse."")",0.49,Substitution
63,"('#clymene', 'Amour,')",,1.0,Insertion
64,"('#daphne', 'Si jamais sous ta loi Je respire,')",,1.0,Insertion
65,"('#clymene', 'Si jamais sous ta loi Je respire,')",,1.0,Insertion
66,"('#daphne', 'Je consens de mourir.')",,1.0,Insertion
67,"('#clymene', ""Mourir ? c'est beaucoup dire."")",,1.0,Insertion
68,"('#daphne', 'Je consens de mourir, si jamais je soupire.')",,1.0,Insertion
69,"('#clymene', 'Je consens de mourir, si jamais je soupire.')",,1.0,Insertion
70,"('#daphne', 'Clymène, acquittez-vous ; accompagnons ses sons, Et que nos pas animent nos chansons. Daphné et les personnes de sa suite se prennent alors par la main, et Clymène chante cette gavotte que toute la troupe danse, la répétant après elle : ')","('#choeur', ""Chantons, du Dieu de l'Or célébrons les appas, Chantons la Jeunesse et ses charmes."")",0.58,Substitution
71,"('#clymene', ""L'autre jour sur l'herbe tendre Je m'assis près de Philandre : Il me conta ses tourments ; Ma mère alors me querelle. « Petite fille, dit-elle, N'écoutez point les amants. Ils sont indiscrets, volages, Téméraires, et peu sages ; Ils font mille faux serments : Ils sont jaloux, ils sont traîtres, Et tyrans quand ils sont maîtres, N'écoutez point les amants. » Écoutez ma chansonnette, Et l'écho qui la répète, Et ces rossignols charmants : Leur musique est sans pareille ; Mais ne prêtez point l'oreille Au ramage des amants."")","('#choeur', 'Tous les coeurs lui rendent les armes.')",1.59,Substitution
72,"('#daphne', 'Méroé, poursuivez nos divertissements.')","('#choeur', 'Tous les coeurs volent sur ses pas.')",1.3,Substitution
73,"('#meroe', ""J'ai vu le temps qu'une jeune fillette Pouvait, sans peur, aller au bois seulette. Maintenant, maintenant les bergers sont loups : Je vous dis, je vous dis : « Filles, gardez-vous. »"")",,1.0,Insertion
74,"('#apollon', ""Voici Tempé, cette vallée Dont on vante partout l'ombrage et les beautés ; Et voilà les flots argentés Qu'y fait couler le dieu Penée. Plus loin vers ces sommets mon empire s'étend. N'y veux-tu pas venir, Momus ? On nous attend."")","('#choeur', 'Pour mériter son secours favorable, On brave la fureur et des vents et des mers.')",0.71,Substitution
75,"('#momus', ""Demeurons encore où nous sommes : Ai-je pu voir en un instant Toutes les sottises des hommes ? Par vos puissants efforts, invincible Apollon, On ne craint plus ici les fureurs de Python. Les habitants de ces rivages DeVÉNUS plus heureux, n'en seront pas plus sages : Le temps de la sottise est celui du bonheur."")","('#choeur', ""Elle seule embellit les plus affreux déserts , Et sans elle il n'est point de séjour agréable."")",0.89,Substitution
76,"('#apollon', 'Mais que dis-tu de ma victoire ?')",,1.0,Insertion
77,"('#momus', ""Elle vous a comblé d'honneur, Et rien n'égale votre gloire."")","('#choeur', ""Non, non, tout l'univers N'a rien de plus aimable. On danse."")",1.5,Substitution
78,"('#apollon', ""Que le fils de VÉNUS cesse de se vanter Qu'ainsi que nous il sait porter Un carquois, un arc, et des flèches ; C'est un enfant qui fait des brèches Dans les coeurs aisés à dompter. Il remporte toujours des victoires faciles ; Je défais des serpents qui dépeuplent des villes."")",,1.0,Insertion
79,"('#momus', ""Vous méprisez celui qui tient tout sous sa loi. Si l'Amour vous entend ?"")","('#la-folie', ""Souffrez que l'Amour vous lie, Jeunes coeurs, cédez à ses feux : Sans l'Amour et la Folie, Il n'est point de moments heureux. L'Amour m'a prêté ses armes, C'est à moi de lancer ses traits ; Ne craignez point ses alarmes, J'y répands les plus doux attraits. Souffrez que l'Amour vous lie, Jeunes coeurs, cédez à ses feux : Sans l'Amour et la Folie, Il n'est point de moments heureux. Suivez une erreur charmante, Jouissez d'un bonheur constant ; La tendre Folie enchante, La Sagesse en fait-elle autant ? Souffrez que l'Amour vous lie, Jeunes coeurs, cédez à ses feux : Sans l'Amour et la Folie, Il n'est point de moments heureux."")",0.39,Substitution
80,"('#apollon', 'Et que crains-tu pour moi ?')",,1.0,Insertion
81,"('#momus', ""Parlez bas, c'est un dieu ; s'il venait à paraître ?"")",,1.0,Insertion
82,"('#apollon', ""Un dieu ! c'est un enfant : quitte ce vain souci."")",,1.0,Insertion
83,"('#momus', 'Qui donne à Jupiter un maître, Vous en pourrait donner aussi.')",,1.0,Insertion
84,"('#cupidon', ""Quel est l'orgueilleux qui me brave ? Quel téméraire ose attaquer l'Amour ? Ah ! je vous reconnais : vous serez mon esclave Avant la fin du jour. Ces paroles dites, Cupidon s'en revole dans les airs. "")","('#choeur', ""Au Dieu d'Amour livrez votre âme, Le Plaisir naît de ses ardeurs : Qu'il triomphe, qu'il vous enflamme, Qu'il enchaîne à jamais vos coeurs."")",0.4,Substitution
85,"('#momus', ""Que cet enfant est fier ! Voyez comme il menace ! Ne le prendrait-on pas pour l'aîné des Titans ? Je plains le dompteur de serpents ; Il ne fait pas sûr en sa place. Tandis que Momus dit ces paroles, Daphné avec ses compagnes, par une curiosité de jeunes filles, avance un peu la tête sur le théâtre, et fait quelques pas dans la scène pour voir ces deux étrangers. Apollon la voit un moment ; aussitôt l'Amour, qui est demeuré dans l'air, fait son coup, et Daphné avec sa troupe s'enfuit encore une fois."")","('#le-carnaval', ""Vous voyez la Déesse à qui je rends les armes : Dieux charmants, de ma flamme accordez moi le prix. Elle est la Déesse des Ris, Et je suis l'ennemi des Chagrins et des Larmes, Si par un doux hymen nos destins sont unis, Que vos neveux auront de charmes !"")",0.5,Substitution
86,"('#apollon', ""Ah ! Qu'ai je vu, Momus ! Que de traits éclatants ! Que de jeunesse, que de grâce !"")",,1.0,Insertion
87,"('#momus', 'Elle fuit.')",,1.0,Insertion
88,"('#apollon', 'Mille amours avec elle ont paru.')",,1.0,Insertion
89,"('#momus', ""Mille amours ? C'est beaucoup ; je n'en ai pas tant vu. Vous aimez ; vous voyez d'un autre oeil que le nôtre : De quelques qualités qu'un objet soit pourvu, L'amant y voit toujours ou plus_ou_moins qu'un autre."")","('#plutus #la-jeunesse', ""Tout flatte vos désirs,nous approuvons vos feux. LA FOLIE s'en va avec un signe de moquerie."")",1.0,Substitution
90,"('#apollon', ""Déesse, tu me fuis ? T'ai-je déjà déplu ? C'est pourtant Apollon qui t'aime, qui t'adore. Je n'en puis plus, je sens un feu qui me dévore : Reviens, charmant objet ! Et vous, Olympe, cieux, Je vous dis d'éternels adieux ; Je vous méprise, je vous laisse : Qu'êtes-vous près de ma déesse ? Tout votre éclat vaut-il un seul trait de ses yeux ? Ne la verrai-je plus ? Faut-il que cette belle Emporte mes plaisirs et mon coeur avec elle ? Demeurons sur ces bords, je ne les puis laisser."")","('#le-carnaval', ""Belle Déesse... Ô Ciel : elle a quitté ces lieux ! De votre aveu sa pudeur s'est blessée, Elle a fui des discours qui l'ont embarrassée ; Allons faire éclater mes transports à ses yeux."")",0.25,Substitution
91,"('#momus', 'Passerons-nous pour dieux ?')",,1.0,Insertion
92,"('#apollon', 'Et pour qui donc passer')",,1.0,Insertion
93,"('#momus', ""Pour mortels, car les dieux, par leur grandeur suprême Ne font souvent qu'embarrasser : On les craint plus qu'on ne les aime. Les vrais amants doivent toujours Sous un maître commun vivre d'égale sorte : Ou monarques ou dieux, n'entrez chez vos amours Qu'après avoir laissé vos grandeurs à la porte"")","('#choeur', ""Au Dieu d'Amour livrez votre âme, Le plaisir naît de ses ardeurs : Qu'il triomphe, qu'il vous enflamme, Qu'il enchaîne à jamais vos coeurs,"")",0.62,Substitution
94,"('#apollon', ""Je te croirai ; changeons de nom : Je m'appelle Tharsis, satrape de Lycie."")",,1.0,Insertion
95,"('#momus', ""Et moi, son suivant Télamon Que si sur mon chemin quelque Nymphe jolie Se rencontre en passant, je prétends bien aussi La cajoler, m'approcher d'elle, Non pas en amoureux transi : Je vous veux servir de modèle Et cependant, allons conquérir votre belle."")","('#le-carnaval', ""Sous les lois de l'Hymen je me range sans peine, Mon coeur y trouve des appas ; Dieu du vin, n'en murmure pas, Tu dois t'applaudir de ma chaîne. Les doux plaisirs qu'il prépare pour moi Mettront le comble à ta victoire : Les fruits de mon hymen ne naîtront que pour toi, Bacchus, je les voue à ta gloire,"")",0.22,Substitution
96,"('#venus', ""Qu'est devenu mon fils ? Mortels, le savez-vous ? Je souffre, je languis, je meurs en son absence : Si l'Amour ne me suit, rien ne me semble doux. Heureux les lieux qu'anime sa présence ! Heureux tout l'Univers qui me doit sa naissance ! Qu'est devenu l'Amour ? Échos, le savez-vous ? Quel nouveau coeur aujourd'hui de ses coups Éprouve la puissance ? Qu'est devenu l'Amour ? Échos, le savez-vous ? Je souffre, je languis, je meurs en son absence. Ce récit fait, l'Amour se vient jeter dans le giron de sa mère."")","('#le-carnaval', ""Enfin la Beauté que j'adore Va s'unir avec moi par les noeuds les plus doux : L'Hymen va soulager le feu qui nous dévore ; Que nous serons d'heureux époux !"")",0.39,Substitution
97,"('#venus', ""Ah ! Mon fils, d'où viens-tu ?"")","('#la-folie', 'Nous ne le sommes pas encore.')",1.74,Substitution
98,"('#amour', ""De blesser Apollon. Je l'ai rendu pour Daphné tout de flamme ; Tandis qu'un autre trait, par un autre poison, Fait que pour lui Daphné n'a que haine dans l'âme."")",,1.0,Insertion
99,"('#venus', ""Amour, tu sais dompter les coeurs et les esprits. Que la terre et les cieux célèbrent de mon fils La dernière victoire ! Mortels et dieux, chantez sa gloire. Allez de toutes parts, courez, Amours et Ris ; Faites connaître de mon fils Le doux et le suprême empire : Ne laissez rien qui ne soupire. Allez de toutes parts, courez, Amours et Jeux ; Rendez l'Univers amoureux Aux dieux et aux hommes : Pour obéir à ce commandement de Vénus, on chante et on danse sur la terre, et dans la gloire, qui est au fond du théâtre : sur la terre, des personnes de toutes conditions, et dans la gloire, des enfants qui représentent les Amours, les Jeux et les Ris. La danse achevée, Vénus, dont le char est entouré d'enfants chante ces paroles : "")","('#le-carnaval', 'Plutus et la Jeunesse approuvent mon ardeur, Quel autre peut encore me nuire ?')",0.51,Substitution
100,"('#penee', 'Dieux tributaires de mon onde, Je veux, par les beautés de ce moite séjour, Arrêter quelque temps deux princes à ma Cour ; Que votre zèle me seconde !')","('#la-folie', 'Moi.')",1.54,Substitution
101,"('#fleuves', 'Commandez.')","('#le-carnaval', 'Vous ?')",0.61,Substitution
102,"('#penee', ""Que le Sort vous a rendus heureux ! Hyménée et l'Amour fréquentent vos rivages : Vos grottes quelquefois leur prêtent des ombrages : Ces dieux me méprisent tous deux."")","('#la-folie', ""J'allais sans eux faire votre bonheur ; Leur aveu vient de le détruire."")",1.23,Substitution
