,la-fontaine-daphne,quinault-isis,Cost,Operation Type
18,"('#promethee', ""Descendez. Les statues descendent, et viennent à pas lents et graves faire une entrée, dansant presque sans mouvement, et d'une façon composée, comme feraient des sages et des philosophes."")","('#melpomene', 'Dans une auguste Cour.')",1.33,Substitution
19,"('#momus', ""Quelles gens ! Ce n'est qu'une machine."")","('#thalie', ""La Paix, la douce Paix  N'ose encore descendre du céleste séjour."")",1.66,Substitution
20,"('#promethee', ""C'est l'idole d'un sage."")","('#calliope', ""La Paix, la douce Paix  N'ose encore descendre du céleste séjour."")",1.57,Substitution
21,,"('#calliope #thalie #apollon', 'Près du Vainqueur allons attendre son bienheureux retour.')",1.0,Deletion
22,"('#les-dieux', 'Hé quoi ! la passion Jamais chez eux ne domine !')","('#apollon', 'Ne parlons pas toujours de la guerre cruelle, Parlons des plaisirs et des jeux. Les Muses et les Arts  Vont signaler leur zèle, Je vais favoriser leurs voeux Nous préparons une fête nouvelle Pour le Héros qui les appelle Dans cet asile heureux')",1.15,Substitution
23,,"('#le-choeur', 'Ne parlons pas toujours de la guerre cruelle, Parlons des plaisirs et des jeux.')",1.0,Deletion
24,"('#promethee', ""Leur coeur en est tout plein ; ce n'est qu'ambition, Colère, désespoir, crainte, ou joie excessive. Machine, on veut voir vos ressorts ; Quittez tous ces trompeurs dehors. Les nouveaux hommes, qui paraissaient de véritables statues, quittent une partie de l'habit qui les enveloppe, et se font voir tels qu'ils sont dans l'intérieur, l'un représentant l'ambition, l'autre, la colère, la crainte, le désespoir, la joie excessive, etc. En cet état ils dansent en confusion et d'une manière aussi impétueuse et aussi vive que l'autre était grave et peu animée."")","('#la-renommee', 'Hâtez-vous, Plaisirs, hâtez-vous De montrer vos charmes les plus doux.')",0.89,Substitution
25,"('#momus', 'Je la trouvais trop lente, et la voilà trop vive.')","('#apollon #neptune #la-renommee', 'Hâtez-vous, Plaisirs, hâtez-vous De montrer vos charmes les plus doux.')",1.14,Substitution
26,"('#minerve', 'Laissez-moi régler ces transports.')","('#le-choeur', 'Hâtez-vous, Plaisirs, hâtez-vous De montrer vos charmes les plus doux.')",1.71,Substitution
27,"('#venus', ""Mon fils, par de secrètes causes, Peut encor mieux que vous les calmer à son tour : Rien n'a d'empire sur l'Amour, L'Amour en a sur toutes choses. Le plus magnifique don Qu'aux mortels on puisse faire, C'est l'amour."")","('#hierax', ""Cessons d'aimer une infidèle, Évitons la honte cruelle De servir, d'adorer qui ne nous aime plus. Achevons de briser les noeuds qu'elle a rompus. Dégageons nous, sortons d'un si funeste empire. Hélas ! Malgré moi je soupire ! Ah ! Mon coeur quelle lâcheté ! Quel charme te retient dans un honteux martyre ? Tu n'as pas craint des fers qui nous ont tant coûté As-tu peur de ta liberté ? Revenez, revenez Liberté charmante Vous n'êtes que trop diligente Lorsqu'il faut dans un coeur faire place à l'Amour; Mais que vous êtes lente Lorsqu'un juste dépit presse votre retour."")",0.53,Substitution
28,"('#minerve', ""C'est la raison. Le don le plus nécessaire Aux hôtes de ce séjour, C'est la raison."")","('#pirante', ""C'est trop entretenir Ces tristes rêveries; Venez, tournez vos pas sur ces rives fleuries Regardez ces flots argentés, Qui dans ces vallons écartés,  Font briller l'émail des prairies Interrompez vos soupirs Tout doit être ici; Ce beau séjour est l'asile Du repos et des plaisirs."")",0.9,Substitution
29,"('#venus', ""C'est l'amour."")","('#hierax', ""Depuis qu'une nymphe inconstante A trahi mon amour et m'a manqué de foy Ces lieux jadis si beaux n'ont plus rien qui m'enchante; Ce que j'aime a changé, tout est changé pour moi."")",1.22,Substitution
30,"('#amour', ""L'effet en jugera : servez-vous de vos armes, Et moi j'emploierai mes charmes."")","('#pirante', ""La fille d'Inachus hautement vous préfère A mille autres amants de votre sort jaloux; Vous avez l'aveu de son père En faveur d'Argus votre frère, La puissante Junon se déclare pour vous."")",0.76,Substitution
31,"('#minerve', ""Que vous vous tourmentez, mortels ambitieux, Désespérés et furieux, Ennemis du repos, ennemis de vous-mêmes ! A modérer vos voeux mettez tous vos plaisirs : Régnez sur vos propres désirs ; C'est le plus beau des diadèmes. Les hommes qui s'étaient arrêtés quelques moments pour ouïr Minerve, attendent à peine qu'elle a achevé, et ne laissent pas, malgré ses conseils, témoigner toujours la même fureur et le même emportement. L'Amour leur faisant signe qu'il veut parler, ils s'arrêtent."")","('#hierax', ""Si l'ingrate m'aimait, je serais son époux. Cette nymphe légère De jour en jour diffère Un hymen qu'autrefois elle avait cru si doux. L'inconstante n'a plus l'empressement extrême De cet amour naissant qui répondait au mien. Son changement paraît en dépit d'elle même Je ne le connais que trop bien, Sa bouche quelquefois dit encor qu'elle m'aime; Mais son coeur ni ses yeux ne m'en disent plus rien."")",0.3,Substitution
32,"('#amour', ""De vos sages discours voyez quel est le fruit Je ne dirai qu'un mot. Aimez. On obéit : Vous le voyez. Aux hommes. À ce mot, ceux qui dansaient en confusion et en tumulte dansent deux à deux comme personnes qui s'aiment."")","('#pirante', ""Se peut-il qu'elle dissimule ! Après de serments, ne la croyez-vous pas ?"")",1.27,Substitution
33,"('#venus', ""Amour, qu'il est doux de te suivre !"")","('#hierax', ""Je ne les crus que trop, hélas !  Ces serments qui trompent mon coeur tendre et crédule; Ce fut dans ces vallons où par mille détours, Inachus prends plaisir à prolonger son cours; Ce fut sur son charment rivage, Que sa fille volage Me promit de m'aimer toujours. Le Zéphir fut témoin, l'onde fut attentive Quand la nymphe jura de ne changer jamais, Mais le Zéphir léger et l'onde fugitive Ont enfin emporté les serments qu'elle a faits. Je la vois, l'infidèle."")",0.83,Substitution
34,"('#jupiter', 'Vivez, nouveaux humains.')","('#pirante', 'Éclaircissez vous avec elle.')",1.58,Substitution
35,"('#choeur-des-dieux', 'Vivez, nouveaux humains.')","('#io', ""M'aimez vous ? puis-je m'en flatter ?"")",1.59,Substitution
36,"('#venus', ""Laissez-vous enflammer. Que vaut la peine de vivre, Sans le doux plaisir d'aimer ?"")","('#hierax', ""Cruelle, en voulez vous douter ? En vain votre inconstance éclate, En vain elle m'anime à briser tous les noeuds Je vous aime toujours ingrate, Plus que vous ne voulez Et plus que je ne veux Je crains un funeste présage, Un aigle dévorant Vient de fondre à mes yeux, Sur un oiseau qui dans ces lieux M'entretenait d'un doux ramage Différez votre hymen, Suivons l'avis des Cieux. Notre hymen me déplaît qu'à votre coeur volage: Répondez moi de vous, je vous répond des Dieux. Vous juriez autrefois Que cette onde rebelle Se ferait vers sa source une route nouvelle Plutôt qu'on ne verrait votre coeur dégagé; Voyez couler ces flots dans cette vaste plaine C'est le même penchant qui toujours les entraîne. Leurs cours ne change point et vous avez changé"")",0.67,Substitution
37,"('#choeur', ""Que vaut la peine de vivre, Sans le doux plaisir d'aimer ?"")","('#io', ""Laissez moi revenir de mes frayeurs secrètes; J'attends de votre amour cet effort généreux."")",0.96,Substitution
38,"('#momus', ""D'où vient que si mal assortie Cette belle a fait choix d'un vieillard pour amant ?"")","('#hierax', ""Je veux ce qui vous plaît, cruelle que vous êtes, Vous n'abusez que trop d'un amour malheureux !"")",1.38,Substitution
39,,"('#io', 'Non, je vous aime encor !')",1.0,Deletion
40,"('#amour', ""C'est l'effet merveilleux d'un secret sentiment Que j'appelle sympathie."")","('#hierax', ""Quelle froideur extrême !  Inconstante, est-ce ainsi qu'on doit dire qu'on aime."")",0.72,Substitution
41,,"('#io', ""C'est à tort que vous m'accusez, Vous avez vu toujours vos rivaux méprisés"")",1.0,Deletion
42,"('#venus', ""Le démon opposé n'a pas moins de pouvoir. Souvent nous haïssons ce qui devrait nous plaire."")","('#hierax', ""Le mal de mes rivaux N'égale point ma peine, La douce illusion d'une espérance vaine Ne les fait point tomber du faite du bonheur Aucun d'eux comme moi n'a perdu votre coeur; Je ne suis point accoutumé Quel tourment de cesser de plaire Lorsqu'on a fait l'essai du plaisir d'être aimé. Je ne le sens que trop Votre coeur se détache Et je ne sais qui me l'arrache"")",0.74,Substitution
43,"('#jupiter', ""Tel dieu sait l'avenir, qui n'a pas su prévoir Quels maux ce démon lui va faire. Mais un jour un prince viendra Qui plaira plus qu'il ne voudra. Le Destin parmi nous lui garde un rang insigne, Et je lui veux accorder, Afin qu'il en soit plus digne, L'art de savoir commander. Mars lui promet en apanage La grandeur d'âme et de courage."")","('#hierax', ""Je cherche en vain l'heureux amant Qui me dérobe un bien charmant Où j'ai cru devoir seul prétendre Je sentirais moins mon tourment Si je trouvais à qui m'en prendre Vous fuyez mes regards, Vous ne me dites rien; Il faut vous délivrer d'un fâcheux entretiens; Ma présence vous blesse et c'est trop vous contraindre."")",0.44,Substitution
44,,"('#io', 'Jaloux sombre et chagrin, Partout où je vous vois, Vous ne cessez de vous plaindre Je voudrais vous aimer Autant que je le dois, Et vous me forcez à vous craindre.')",1.0,Deletion
45,"('#minerve', 'Moi, la vertu.')",,1.0,Insertion
46,"('#venus', ""Moi, l'agrément."")",,1.0,Insertion
47,"('#amour', ""Et moi le don d'aimer et d'être heureux amant."")","('#hierax #io', ""Non, non, il ne tient qu'à vous De rendre notre sort plus doux Non, non, il ne tient qu'à vous De rendre mon coeur plus tendre Non, non, il ne tient qu'à vous De rendre mon coeur moins jaloux."")",1.02,Substitution
48,"('#venus #l-amour #minerve', ""Amour et la Raison s'accorderont pour faire Qu'aux coeurs comme aux esprits ce prince plaise un jour"")","('#micene', ""Ce prince trop longtemps dans ses chagrins s'obstine On pardonne au premier transport D'un amour qui se plaint à tort Et qui sans raison se mutine. Mais à la fin on se chagrine Contre un Amour chagrin."")",0.71,Substitution
49,"('#choeur', 'Heureux qui par raison doit plaire ! Plus heureux qui plaît par amour !')","('#io', ""Je veux bien te parler enfin sans artifice Ce prince infortuné s'alarme avec justice. Le maître souverain de la terre et des cieux Entreprend de plaire à mes yeux. Du coeur de Jupiter l'amour m'offre l'empire. Mercure est venu me le dire Je le vois chaque jour descendre dans ces lieux. Mon coeur autant qu'il peut  Fait toujours résistance. Et pour attaquer ma constance, Il ne fallait pas moins que le plus grand des Dieux."")",0.76,Substitution
50,"('#chloris #aminte #nymphes', ""Allons dans cette prairie : C'est un tranquille séjour ; Jamais les larmes d'amour N'y baignent l'herbe fleurie ; Les moutons y sont en paix, Et les loups n'y font jamais D'outrage à la bergerie."")","('#micene', ""On écoute aisément Jupiter qui soupire. C'est un amant qu'on ose mépriser. Et du plus grand des coeurs Ce glorieux empire  Est difficile à mépriser."")",0.92,Substitution
51,"('#chloris', 'Viens, ma soeur.')","('#io', ""Lorsqu'on me presse de me rendre Aux attraits d'un amour nouveau, Plus le charme est puissant Et plus il serait beau De pouvoir m'en défendre. Quoi ! tu veux me quitter ? Doù vient ce soin pressant ?"")",1.65,Substitution
52,"('#aminte', 'Je te suis.')","('#micene', ""C'est pour vous seule ici que Mercure descend."")",1.77,Substitution
53,"('#chloris', ""Viens goûter une vie Dont le calme est digne d'envie. Notre Nymphe a banni de ces lieux si charmants Ce peuple d'importuns que l'on appelle amants. La voici."")","('#mercure', ""Le Dieu puissant qui lance le tonnerre  Et qui des cieux tient le sceptre en ses mains A résolu de venir sur la terre Chasser les maux qui troublent les humains. Que la terre avec soin à cet honneur réponde Échos retentissez dans ces lieux pleins d'appas, Annoncez qu'aujourd'hui pour le bonheur du monde, Jupiter descends ici-bas."")",0.98,Substitution
54,"('#aminte', ""Que d'appas, de beautés, et de grâces ! Dirait-on pas que l'air s'embellit à ses traces ?"")","('#choeur-des-divinites', ""Échos retentissez dans ces lieux pleins d'appas, Annoncez qu'aujourd'hui pour le bonheur du monde, Jupiter descends ici-bas."")",1.06,Substitution
55,"('#daphne', ""Amour, n'approche point de nos ombrages doux, De nos prés, de nos fontaines ; Laisse en repos ces lieux ; assez d'autres que nous Se feront un plaisir de connaître tes peines."")","('#mercure', ""C'est ainsi que Mercure Pour abuser les Dieux jaloux Doit parler hautement à toute la nature. Mais il doit s'expliquer Autrement avec vous; C'est pour vous voir, C'est pour vous plaire, Que Jupiter descend du céleste séjour. Et les biens qu'ici bas sa présence va faire Ne seront dûs qu'à son amour."")",0.71,Substitution
56,"('#daphne', ""Chloris, n'est-ce pas la ta soeur que tu m'amènes ?"")","('#isis', ""Pourquoi du haut des cieux,  Ce Dieu veut-il descendre ?  Mes voeux sont engagés. Mon coeur a fait un choix L'amour tôt ou tard doit prétendre Que tous les coeurs se rangent sous ses lois. C'est un hommage qu'il faut rendre Mais assez de le rendre une fois."")",1.79,Substitution
57,"('#chloris', 'Je vous la viens offrir. Nous cherchions en ces lieux Ce que Flore a pour vous de dons plus précieux.')","('#mercure', ""Ce serait en aimant une contrainte étrange Qu'un coeur pour mieux choisir n'osât se dégager. Quand c'est pour Jupiter qu'on change Il n'est pas honteux de changer. Que tout l'univers se pare De ce qu'il a de plus rare Que tout brille dans ces lieux. Que la terre partage  L'éclat et la gloire des cieux. Que tout rende hommage  Au plus grand des dieux."")",0.99,Substitution
58,"('#daphne', ""Cherchons, cherchons des fleurs ; l'âge nous y convie : Parons-nous de bouquets pendant notre printemps : Les plaisirs ont chacun leur temps, Comme les saisons de la vie Daphné, ayant achevé ces paroles, se baisse pour cueillir des fleurs, et les Nymphes de la suite en font autant ; pendant quoi un choeur de bergers, demeuré par respect derrière le théâtre, répète ces mots."")","('#jupiter', ""Les armes que je tiens protègent l'innocence. L'effort n'en est fâcheux qu'à l'orgueil des titans. Vous qui suivez les lois, Vivez sous ma puissance, Toujours heureux, toujours contents. Jupiter vient sur la terre. Pour la combler de bienfaits, Il est armé du tonnerre Mais c'est pour donner la paix."")",0.47,Substitution
59,,"('#choeurs', ""Jupiter vient sur la terre. Pour la combler de bienfaits, Il est armé du tonnerre Mais c'est pour donner la paix."")",1.0,Deletion
60,"('#choeur-de-bergers', 'Cherchons, cherchons des fleurs ; Daphné nous y convie.')","('#io', ""Où suis-je ? D'où vient ce nuage ? Les ondes de mon père et son charmant rivage Ont disparu tout_à_coup à mes yeux ! Où puis-je trouver un passage ? La jalouse reine des Cieux Me fait elle si tôt acheter l'avantage De plaire au plus puissant des Dieux ? Que vois-je ? Quel éclat se répand dans ces lieux. Jupiter paraît et les nuages qui obscurcissent le théâtre, sont illuminés et peints des couleurs les plus brillantes et les plus agréables."")",1.26,Substitution
61,"('#daphne', ""J'entends de nos bergers le concert plein d'appas. Qu'ils chantent, je le veux, mais qu'ils n'approchent pas."")","('#jupiter', ""Vous voyez Jupiter; Que rien ne vous étonne. C'est pour tromper Junon et ses regards jaloux Qu'un nuage vous environne; Belle nymphe, rassurez-vous Je vous aime et pour vous le dire, Je sors avec plaisir de mon suprême empire. La foudre est dans mes mains, Les Dieux me font la cour, Je tiens tout l'Univers sous mon obéissance; Mais si je prétends en ce jour Engager votre coeur à m'aimer à son tour, Je fonde moins mon espérance Sur la grandeur de ma puissance Que sur l'excès de mon amour."")",1.34,Substitution
62,"('#choeur-de-bergers', 'Cherchons, cherchons des fleurs ; Daphné nous y convie Il en renaît sous ses pas.')","('#io', ""Que sert-il qu'ici-bas votre amour me choisisse ? L'honneur me vient trop tard, j'ai formé d'autres noeuds Il fallait que ce bien pour combler tous nos voeux, Ne me coûtât point d'injustice, Et ne fit point de malheureux"")",1.3,Substitution
63,"('#daphne', 'Déployons nos trésors.')",,1.0,Insertion
64,"('#chloris', ""J'ai cueilli les plus belles."")","('#jupiter', ""C'est une assez grande gloire Pour votre premier vainqueur, D'être encore dans votre mémoire Et de me disputer si longtemps votre coeur."")",1.59,Substitution
65,"('#aminte', 'Et moi, les plus nouvelles.')","('#io', ""La gloire doit forcer mon coeur à se défendre. Si vous sortez du Ciel pour chercher les douceurs D'une amour tendre, Vous pouvez aisément attaquer d'autres coeurs Qui feront gloire de se rendre."")",1.8,Substitution
66,"('#meroe', 'Moi, les plus vives en couleur.')",,1.0,Insertion
67,"('#daphne', ""Et vous ? Quel mauvais choix vous avez fait, ma soeur ! Vous nous direz, pour votre peine, Une chanson contre l'Amour. Cependant je veux que ma Cour Jure de lui porter une éternelle haine ; Jurez la première, Clymène !"")","('#jupiter', ""Il n'est rien dans les Cieux il n'est rien ici-bas De si charment que vos appas; Rien ne peut me toucher d'une flamme si forte; Belle Nymphe vous l'emportez Sur les autres beautés, Autant que Jupiter l'emporte Sur les autres Divinités ! Verrez-vous tant d'amour avec indifférence ? Quel trouble vous saisit ? Où tournez vous vos pas ?"")",0.51,Substitution
68,"('#clymene', ""Tout serment De n'avoir jamais d'amant Est chose fort incertaine ; Il en est peu que l'on tienne Plus d'un jour, plus d'un moment : Tout serment De n'avoir jamais d'amant Est chose fort incertaine."")","('#io', ""Mon coeur en votre présence Fait trop peu de résistance  Contentez-vous, hélas ! D'étonner ma constance, Et n'en triomphez pas."")",1.04,Substitution
69,,"('#jupiter', 'Et pourquoi craignez vous Jupiter qui vous aime ?')",1.0,Deletion
70,,"('#io', 'Je crains tout, je me crains moi-même.')",1.0,Deletion
71,"('#daphne', 'Je veux que vous juriez ; dites donc après moi : Amour,')","('#jupiter', 'Quoi ! voulez vous me fuir')",0.64,Substitution
72,,"('#io', ""C'est mon dernier espoir."")",1.0,Deletion
73,"('#clymene', 'Amour,')","('#jupiter', 'Écoutez mon amour.')",0.77,Substitution
74,"('#daphne', 'Si jamais sous ta loi Je respire,')","('#io', 'Écoutez mon devoir.')",1.32,Substitution
75,,"('#jupiter', 'Vous avez un coeur libre et qui peut de défendre')",1.0,Deletion
76,"('#clymene', 'Si jamais sous ta loi Je respire,')","('#io', 'Non, vous ne laissez pas mon coeur en mon pouvoir')",1.15,Substitution
77,,"('#jupiter', ""Quoi ! vous ne voulez pas m'entendre"")",1.0,Deletion
78,"('#daphne', 'Je consens de mourir.')","('#io', ""Je n'ai que trop de peine à ne le pas vouloir. Laissez-moi..."")",1.77,Substitution
79,"('#clymene', ""Mourir ? c'est beaucoup dire."")","('#jupiter', 'Quoi si tôt.')",1.72,Substitution
80,"('#daphne', 'Je consens de mourir, si jamais je soupire.')","('#io', 'Je devais moins attendre; Que ne fuyais-je hélas ! Avant que de vous voir.')",1.05,Substitution
81,,"('#jupiter', ""L'amour pour moi me sollicite Et je vois que vous me quittez"")",1.0,Deletion
82,"('#clymene', 'Je consens de mourir, si jamais je soupire.')","('#io', ""Le devoir veut que je vous quitte, Et je sens que vous m'arrêtez"")",1.07,Substitution
83,"('#daphne', 'Clymène, acquittez-vous ; accompagnons ses sons, Et que nos pas animent nos chansons. Daphné et les personnes de sa suite se prennent alors par la main, et Clymène chante cette gavotte que toute la troupe danse, la répétant après elle : ')","('#mercure', 'Iris est ici-bas et Junon elle-même  Pourrait vous suivre dans ces lieux.')",1.2,Substitution
84,"('#clymene', ""L'autre jour sur l'herbe tendre Je m'assis près de Philandre : Il me conta ses tourments ; Ma mère alors me querelle. « Petite fille, dit-elle, N'écoutez point les amants. Ils sont indiscrets, volages, Téméraires, et peu sages ; Ils font mille faux serments : Ils sont jaloux, ils sont traîtres, Et tyrans quand ils sont maîtres, N'écoutez point les amants. » Écoutez ma chansonnette, Et l'écho qui la répète, Et ces rossignols charmants : Leur musique est sans pareille ; Mais ne prêtez point l'oreille Au ramage des amants."")","('#jupiter', ""Pour la nymphe que j'aime Je crains ses transports furieux."")",1.04,Substitution
85,,"('#mercure', 'Sa vengeance serait funeste, Si votre amour était surpris.')",1.0,Deletion
86,,"('#jupiter', ""Va, prends soin d'arrêter Iris, Mon amour prendra soin du reste."")",1.0,Deletion
87,"('#daphne', 'Méroé, poursuivez nos divertissements.')","('#mercure', ""Arrêtez, belle Iris, différez un moment D'accomplir en ces lieux ce que Junon désire."")",0.7,Substitution
88,,"('#iris', ""Vous m'arrêtez vainement Et vous n'aurez rien à me dire."")",1.0,Deletion
89,"('#meroe', ""J'ai vu le temps qu'une jeune fillette Pouvait, sans peur, aller au bois seulette. Maintenant, maintenant les bergers sont loups : Je vous dis, je vous dis : « Filles, gardez-vous. »"")","('#mercure', ""Mais, si je vous disais que je veux vous choisir Pour attacher mon coeur d'une éternelle chaîne ?"")",1.54,Substitution
90,"('#apollon', ""Voici Tempé, cette vallée Dont on vante partout l'ombrage et les beautés ; Et voilà les flots argentés Qu'y fait couler le dieu Penée. Plus loin vers ces sommets mon empire s'étend. N'y veux-tu pas venir, Momus ? On nous attend."")","('#iris', 'Je vous écouterais peut-être avec plaisir, Mais je vous croirais avec peine.')",1.53,Substitution
91,,"('#mercure', ""Refusez vous d'unir votre coeur et le mien."")",1.0,Deletion
92,"('#momus', ""Demeurons encore où nous sommes : Ai-je pu voir en un instant Toutes les sottises des hommes ? Par vos puissants efforts, invincible Apollon, On ne craint plus ici les fureurs de Python. Les habitants de ces rivages DeVÉNUS plus heureux, n'en seront pas plus sages : Le temps de la sottise est celui du bonheur."")","('#iris', ""Jupiter et Junon nous occupent sans cesse Nos soins sont assez grands sans que l'amour nous blesse, Nous n'avons pas tous deux de loisir d'aimer bien."")",0.87,Substitution
93,"('#apollon', 'Mais que dis-tu de ma victoire ?')","('#mercure', 'Si je fais ma première affaire De vous voir et de vous plaire.')",1.34,Substitution
94,"('#momus', ""Elle vous a comblé d'honneur, Et rien n'égale votre gloire."")","('#iris', 'Je ferai mon premier devoir De vous plaire et de vous voir.')",1.08,Substitution
95,"('#apollon', ""Que le fils de VÉNUS cesse de se vanter Qu'ainsi que nous il sait porter Un carquois, un arc, et des flèches ; C'est un enfant qui fait des brèches Dans les coeurs aisés à dompter. Il remporte toujours des victoires faciles ; Je défais des serpents qui dépeuplent des villes."")","('#mercure', ""Un coeur fidèle  A pour moi de charmants appas: Vous avez mille attraits, Vous n'êtes que trop belle: Mais je crains que vous n'ayez pas. Un coeur fidèle."")",1.26,Substitution
96,"('#momus', ""Vous méprisez celui qui tient tout sous sa loi. Si l'Amour vous entend ?"")","('#iris', ""Pourquoi craignez-vous tant Que mon coeur se dégage Je vous permets d'être inconstant, Sitôt que je serai volage."")",0.5,Substitution
97,"('#apollon', 'Et que crains-tu pour moi ?')","('#mercure #iris', 'Promettez moi de constantes amours, Je vous promets de vous aimer toujours.')",1.2,Substitution
98,"('#momus', ""Parlez bas, c'est un dieu ; s'il venait à paraître ?"")","('#mercure', 'Que la feinte entre nous finisse')",1.77,Substitution
99,"('#apollon', ""Un dieu ! c'est un enfant : quitte ce vain souci."")","('#iris', 'Parlons sans mystère en ce jour;')",1.41,Substitution
100,,"('#mercure #iris', ""Le moindre artifice Offense l'amour."")",1.0,Deletion
101,"('#momus', 'Qui donne à Jupiter un maître, Vous en pourrait donner aussi.')","('#iris', 'Quel soin presse ici-bas Jupiter de descendre.')",0.36,Substitution
102,"('#cupidon', ""Quel est l'orgueilleux qui me brave ? Quel téméraire ose attaquer l'Amour ? Ah ! je vous reconnais : vous serez mon esclave Avant la fin du jour. Ces paroles dites, Cupidon s'en revole dans les airs. "")","('#mercure', 'Le seul bien des mortels lui fait quitter les cieux; Mais quel soupçons nouveau Junon peut elle prendre ? Ne suivrait elle pas Jupiter en ces lieux.')",0.91,Substitution
103,,"('#iris', ""Dans les jardins d'Hébé Junon vient de descendre."")",1.0,Deletion
104,"('#momus', ""Que cet enfant est fier ! Voyez comme il menace ! Ne le prendrait-on pas pour l'aîné des Titans ? Je plains le dompteur de serpents ; Il ne fait pas sûr en sa place. Tandis que Momus dit ces paroles, Daphné avec ses compagnes, par une curiosité de jeunes filles, avance un peu la tête sur le théâtre, et fait quelques pas dans la scène pour voir ces deux étrangers. Apollon la voit un moment ; aussitôt l'Amour, qui est demeuré dans l'air, fait son coup, et Daphné avec sa troupe s'enfuit encore une fois."")","('#mercure', ""Un nuage entrouvert la découvre à mes yeux ; Iris parle ainsi sans mystère ! C'est ainsi que je puis me fier à ta foi."")",1.28,Substitution
