,andrieux-moliere-et-ses-amis,cadet-gassicourt-souper-de-moliere,Cost,Operation Type
10,"('#laforet', ""N'ayez pas peur ; allez ; je ne vous plaindrai rien. Mon pauvre maître, hélas ! je l'aime et le révère, Entendez-vous ? Autant que si c'était mon père ; Et tant que je vivrai, me vînt-il des trésors, Je resterai chez lui, s'il ne m'en met dehors. Mais je n'en ai pas peur ; car je sais bien qu'il m'aime ; Aussi voilà seize ans, arrive le carême, Que je suis chez monsieur, et ce n'est pas un jour ; Ce soir, de sa santé pour fêter le retour, Je vous ferai donc bonne chère."")",,1.0,Insertion
11,"('#chapelle', ""Je promets au souper de faire honneur, ma chère Aujourd'hui je n'ai pas dîné."")",,1.0,Insertion
12,"('#laforet', 'Ah ! Mon_Dieu !... si vous vouliez prendre Quelque chose ?...')",,1.0,Insertion
13,"('#chapelle', 'Moi ? non, je crois pouvoir attendre.')","('#antoine', ""Sans doute, car je l'aime bien."")",0.82,Substitution
14,"('#laforet', 'Comme vous entriez, six heures ont sonné.')",,1.0,Insertion
15,"('#chapelle', 'Oui ; mais jusques à cinq nous avons déjeuné. ')",,1.0,Insertion
16,"('#laforet', 'Ah ! vous me rassurez.')",,1.0,Insertion
17,"('#chapelle', ""Sais-tu, ma chère amie, Qu'au cabaret j'étais en bonne compagnie ? Un comte, deux marquis, à la cour bien venus ! Nous avions fait gageure à qui boirait le plus."")","('#laforet', ""Tiens, c'est un fait :  Veut-on savoir ce qu'est un maître,  Par son valet  On juge, dit-on, ce qu'il est.  Et puis, épouser le jardinier de Monsieur Boileau ; dame, c'est bien flatteur !  AIR : Du haut en bas. "")",0.8,Substitution
18,"('#laforet', ""Et vous l'avez gagnée ?"")",,1.0,Insertion
19,"('#chapelle', ""Assurément, ma chère ; Et tu vois qu'il n'y paraît guère. Prêt à recommencer."")","('#mignard', ""Allons, mon ami, mettons-nous à l'ouvrage...  Ah !  Bonjour, Laforêt. "")",0.93,Substitution
20,,"('#laforet', 'Bonjour, Monsieur Mignard. ')",1.0,Deletion
21,"('#laforet', ""Oh ! Vraiment, aujourd'hui, À souper, vous allez faire encor pis, je gage."")","('#lulli', ""Qu'as-tu donc ?  Tu parais animée. "")",1.5,Substitution
22,"('#chapelle', ""Tu dis comme ton maître !... Il veut me gâter !... Oui ! Me rendre sobre comme lui !  Il est toujours au lait ! C'est un triste breuvage ! Un poète !... du lait ! Fi donc ! Fi ! Quel travers ! Ce n'est que dans le vin, qu'on trouve les bons vers. Ma dernière chanson ! elle est vraiment charmante. Tiens ; veux-tu que je te la chante ? Ton maître n'a point fait de vers plus délicats. Il prélude."")","('#laforet', ""C'est que, voyez-vous, nous disputions nous deux, Antoine, pour savoir qu'est-ce qui était le plus habile de Monsieur Molière ou de Monsieur Despreaux, et nous sommes convenus de nous en rapporter à vous."")",1.07,Substitution
23,,"('#mignard', ""La question n'est pas aisée à résoudre."")",1.0,Deletion
24,"('#laforet', ""Vous, égaler mon maître ? Ah! ne l'espérez pas. Vous y brûleriez tous vos livres.' Je m'y connais, allez , et j'ai le sens commun. Il fait de meilleurs vers a jeun, Que vous tous, quand vous êtes yvres."")","('#lulli', ""Sur le sommet du Parnasse,  Ou siège le dieu des arts,  La gloire a plus d'une place ;  Elle offre d'égales parts.  Dans le gente satyrique  Despréaux est sans rival,  Et sur la scène comique  Molière n'a point d'égal. Pourquoi ? AIR : En revenant de la ville. "")",0.82,Substitution
25,"('#chapelle', ""Eh ! Ne te fâche pas ; je sais tout ce qu'il vaut ; Oui ; qu'il devienne ivrogne ; il sera sans défaut."")",,1.0,Insertion
26,"('#laforet', ""Comme vous, n'est-ce pas ?"")",,1.0,Insertion
27,"('#chapelle', ""Mais à propos, ma bonne, N'est-il encor venu personne Me demander ici ?"")","('#laforet', ""Eh bien !  Nous voilà d'accord.  Je vais voir Madelon, et nous reviendrons ensemble remercier votre maître...  Sans adieu."")",1.02,Substitution
28,"('#laforet', 'Pourquoi faire ?')","('#lulli', 'Te troublerai-je en faisant de la musique ?')",1.53,Substitution
29,"('#chapelle', ""Entre nous, Si j'arrive sitôt, c'est que j'ai rendez-vous Avec certaine dame ; elle est de mes amies, Toute jeune, et des plus jolies. Tu la feras entrer en grand secret..."")","('#mignard', ""Ce fut de la main d'une femme  Que naquit cet art enchanteur ;  L'amour avait mis dans son âme  Un rayon de feu créateur.  Si cet enfant de la tendresse  Quelque jour était oublié,  Ah ! Je sens à ma douce ivresse  Qu'il renaîtrait par l'amitié.  Au contraire, tu m'animeras...  Les arts sont frères, et ne peuvent se nuire. Quel avantage de peindre un homme célèbre !...  Un jour ceux qui n'auront pas eu le bonheur de connaître Molière, me sauront gré de leur avoir transmis son image : peut-être ils m'associeront à sa gloire, et ne diront pas : Voilà Molière !...  Sans ajouter, c'est Mignard qui l'a peint...  Le bel art ! À part, en travaillant. AIR : Les adieux de la mère républicaine, par le C. Piis, "")",0.68,Substitution
30,,"('#lulli', ""Dignus, dignus est intrare  In nostro, in nostro  In nostro docto corporo. Oui, l'air doit être grave... la mesure bien marquée....  Ces médecins dans leur épaisse fourrure ; ces apothicaires dans leur figure blême, enterrée dans une perruque noire.... tout cela marche à pas comptés, et la musique  doit avoir une cadence bien prononcée....  Sol, mi, sol, ut, ut, re, sol, fa....  C'est cela.  AIR : De la marche du Malade imaginaire. "")",1.0,Deletion
31,"('#laforet', 'Nenni. Nous attendons ce soir messieurs Mignard, Lulli, Despréaux, Lafontaine, et vous enfin. Mon maître Avec ses bons amis uniquement veut être.')","('#mignard', 'Bien, Lulli, très bien. ')",1.45,Substitution
32,,"('#lulli', 'Ma foi, mon ami, soit dit sans vanité, je crois que nous ne nous sommes pas trompés sur notre vocation.')",1.0,Deletion
33,,"('#mignard', ""J'ai mieux connu la mienne que ma famille. "")",1.0,Deletion
34,"('#chapelle', 'Mais cette dame-ci...')","('#lulli', 'Qui voulait te faire médecin ? ')",1.65,Substitution
35,"('#laforet', ""N'entrera pas, ma foi. Voyez donc ! On ne peut être maître chez soi. Étant seul avec vous, monsieur comptait vous lire Cette pièce qu'il vient d'achever pour le roi : Le Bourgeois Gentilhomme !... Attendez-vous à rire ; Il m'en a déjà lu des passages, à moi ! Il vous met là-dedans des mots qui sont si drôles, Il arrange si bien ses scènes et ses rôles, Qu'on croirait bien souvent que c'est tout de bon, dà !... Je ne sais pas où diable il trouve tout cela."")","('#laforet', 'Comment donc ?  Médecin !  Ah !  Mon_Dieu. ')",1.56,Substitution
36,"('#chapelle', ""Comment donc ? Laforêt... mais tu deviens savante ? Il te lit quelquefois ce qu'il fait."")","('#lulli', ""Oui, Laforest : ne l'ai-je pas vu, pendant trois ans, suivre tous les pas d'un fameux docteur.... en us, et faire avec lui toutes les visites, le pauvre garçon!"")",0.63,Substitution
37,"('#laforet', ""Je m'en vante ! Il ne met rien au jour que je n'aie approuvé, Et même il vous dira qu'il s'en est bien trouvé. Vous verrez le Bourgeois !... Nicole la servante !... Mais enfin avec vous c'est assez babiller. Il faut à mon souper que j'aille travailler. Adieu monsieur Chapelle."")","('#mignard', ""Il me dictait une ordonnance  Près du lit d'un vieux moribond ;  Il nommait cent drogues, je pense,  Afin de paraître profond,  Quand il eut assez fait parade  De ses grands mots, de son savoir,  Il prend mon papier pour le voir....  C'était le portrait du malade.  Ajoutes que j'emportais mes crayons avec moi...  Un jour...  Ah !  L'aventure est digne d'être rapportée...  Un jour...  AIR : Vaudeville des Chasseurs. "")",0.34,Substitution
38,"('#chapelle', 'Adieu, ma bonne amie. Au moins, tu laisseras entrer ma compagnie.')",,1.0,Insertion
39,"('#laforet', 'Je ne crois pas cela.')","('#lulli', ""Ta vocation t'entraînait."")",1.53,Substitution
40,"('#chapelle', ""C'est moi qui t'en réponds..."")","('#mignard', 'Toi qui parles tant de vocation, tu as fait à la tienne une petite infidélité. ')",1.04,Substitution
41,"('#laforet', 'La bonne caution !....')",,1.0,Insertion
42,"('#chapelle', 'Tu verras.')","('#lulli', ""Qui t'a dit cela ?"")",0.76,Substitution
43,"('#laforet', 'Nous verrons. Elle sort.')",,1.0,Insertion
44,"('#chapelle', ""La pauvre Laforêt ne sait pas qui j'amène, Et Molière lui-même est loin de le penser ; Mais il ressent dans l'âme une secrète peine Dont je veux le débarrasser. Il se tourmente ! Il s'inquiète ! Isabelle est un peu coquette ; Il faut l'avouer franchement ; Mais elle l'aime au fonds, et très sincèrement. Doit-il, sur un soupçon, se brouiller avec elle ? À la prière de la belle, Moi, je me suis chargé du raccommodement. Ce soir sous un déguisement Elle compte ici le surprendre ! Nous verrons !... mais en ce moment Il vient !... Il parle seul ! Je voudrais bien l'entendre."")","('#mignard', ""Je le tiens de bonne part, et je vais le confier à Laforêt. ... afin que tout le monde le sache.  Laforêt s'approche."")",0.55,Substitution
45,"('#moliere', 'Pour le coup, je vous tiens, et vous serez tancés, Messieurs les courtisans, coeurs faux, intéressés, Qui sous des dehors agréables, Êtes cent fois plus méprisables Que mon pauvre Bourgeois dont les airs peu sensés Ne couvrent pas du moins des vices haïssables.')","('#laforet', 'Vous me croyez donc bien indiscrète.')",1.3,Substitution
46,"('#chapelle', 'Qui diantre à ce front soucieux, À cet air de mélancolie Prendrait cet homme sérieux Pour un faiseur de comédie ?')","('#mignard', ""Un adroit et saint confesseur,  Ennemi de la comédie,  Vint lui conter que tout auteur  Brûle à jamais dans l'autre vie.  Lulli, pén2tré, soupira,  Et, dans une frayeur extrême,  Il a brûlé son opéra  Pour n'être pas brûlé lui-même.  Sois-le pour ceci.  Dans sa dernière maladie, il a sacrifié, par dévotion, son nouvel ouvrage.  AIR : Alain était indifférent. "")",0.56,Substitution
47,,"('#laforet', ""C'est-il bien possible ! "")",1.0,Deletion
48,"('#moliere', ""Nous aurons, pour finir, un ballet turc ; Lulli Sera bouffon, sous l'habit de muphti. L'imagination est tant soit peu fantasque ; Mais elle fera rire ; il faut bien quelquefois, Comme disait maître François, Habiller la raison en masque, Surtout quand on la veut faire entrer chez les rois. Ah ! te voilà !... Bonsoir Chapelle. Pardon ; je ne te voyais pas. . Apercevant Chapelle."")","('#lulli', ""Oui, mes amis, je l'avouerai :  Voyez jusqu'où la peur nous mène ;  À mon confesseur je livrai  Mon opéra de Polixène :  Me croyant certain de mourir,  Je craignais de paraître impie ;  Mais espérant bien en guérir,  J'en avais gardé la copie.  Même air.  Il tire un cahier de sa poche."")",0.53,Substitution
49,,"('#mignard', 'Bravo !  Lulli ; je te pardonne, mon ami, je te pardonne, et ce soir a souper je veux te réhabiliter. ')",1.0,Deletion
50,"('#chapelle', ""Tu t'occupais, je crois, de ta pièce nouvelle ?"")","('#lulli', ""À souper... ?  Mais à propos, Laforêt, pourquoi tous les apprêts que j'ai vus aujourd'hui ?  Notre ami donnerait-il une fête ? "")",1.09,Substitution
51,"('#moliere', ""Il est vrai ; j'y songeais et j'en parlais tout bas. Demain matin je veux vous en faire lecture, Vous en demander vos avis ; Car vous restez ce soir; vous me l'avez promis."")","('#laforet', ""Sans doute, et vous l'approuverez. "")",0.78,Substitution
52,"('#chapelle', ""Moi ? De tout mon coeur, je t'assure. Puis, je compte si bien enivrer nos amis, Qu'ils demandent un lit plutôt qu'une voiture."")",,1.0,Insertion
53,"('#moliere', ""On m'a conté, comme un de tes exploits nouveaux, Que tu fis l'autre jour trop boire Despréaux ?"")","('#lulli', ""Que ne me disais-tu cela, j'aurais préparé quelque chose...  Nous allons célébrer sa convalescence ? "")",0.83,Substitution
54,,"('#laforet', 'Nous allons à la noce.')",1.0,Deletion
55,,"('#mignard', 'Comment à la noce ? ')",1.0,Deletion
56,,"('#laforet', 'Molière veut marier Madelon, sa petite jardinière, à Antoine, jardinier de Monsieur Despréaux, notre voisin ; les parents y consentent, et ça sera pour demain. ')",1.0,Deletion
57,,"('#lulli', 'Ainsi donc, dans tous les temps, malade ou non, Molière fait toujours des mariages.')",1.0,Deletion
58,"('#chapelle', ""C'était pour me venger ; toujours prompt à médire Ce Boileau des buveurs me faisait la satire, Et gravement me pérorait. Je l'ai tout doucement conduit au cabaret. Là, tout en l'écoutant et sans le contredire, Je lui versais à boire, et mon homme à la fin, Toujours grondant, buvant, et se donnant carrière, Se coiffa le cerveau de la bonne manière,  En déclamant contre le vin."")","('#mignard', ""À ses amants, sur le théâtre,  Pour dot il donne de l'esprit,  Et de son talent idolâtre  L'esprit du public applaudit ;  Mais quand sa rare bienveillance  Enrichit deux coeurs bien épris,  Le sien trouve sa récompense  Dans le coeur de ses vrais amis. Oui ; mais celui-ci ne ressemble pas aux autres.  AIR : Ainsi jadis un grand prophête. "")",0.51,Substitution
59,"('#moliere', ""C'est la mode à présent !... Voilà comme vous êtes !..."")","('#lulli', 'Ne vois-je point les deux futurs ? ')",1.6,Substitution
60,"('#chapelle', ""Toi-même je t'ai vu quelquefois en goguettes."")",,1.0,Insertion
61,"('#moliere', ""Mais jamais jusqu'au point de perdre la raison."")",,1.0,Insertion
62,"('#chapelle', ""Va ; tout homme la perd, chacun à sa façon. Le vin est mon penchant ; le tien c'est la tendresse. Isabelle est l'écueil fatal à ta sagesse."")",,1.0,Insertion
63,"('#moliere', 'Isabelle !')","('#laforet', 'Justement. ')",0.0,Match
64,"('#chapelle', ""Oui ; la petite Béjart. Vous boudez maintenant, chacun de votre part ; Mais elle en est fâchée, et tu l'es autant qu'elle."")",,1.0,Insertion
65,"('#moliere', ""Non, non ; je suis guéri , crois-moi, Et je n'aime plus Isabelle."")",,1.0,Insertion
66,"('#chapelle', 'Allons donc ; sois de bonne foi ; Isabelle est charmante, et toujours applaudie ; Elle est pour ton théâtre un sujet excellent ; - Dans ta dernière comédie Elle a fait preuve de talent !')","('#mignard', 'Gentille Madelon, recevez mon compliment.')",1.32,Substitution
67,"('#moliere', 'Certain duc espagnol va toujours chez sa mère !')",,1.0,Insertion
68,"('#chapelle', ""C'est là ce qui t'occupe !... Eh ! Mais quelle chimère Vas-tu te mettre dans l'esprit ? Chez madame Béjart où l'on se divertit La bonne compagnie abonde Et ce seigneur y va comme tout le beau monde."")","('#madelon', 'Grand merci, Monsieur. ')",1.87,Substitution
69,,"('#lulli', ""C'est aujourd'hui le jour du bonheur !..."")",1.0,Deletion
70,"('#moliere', 'La mère le reçoit ; la fille lui sourit.')","('#madelon', ""Oui.  J'venons en témoigner notre reconnaissance à qui nous l'devons. "")",1.25,Substitution
71,"('#chapelle', ""Pourquoi non ?... Cela te chagrine ! Pour te plaire, faut-il qu'elle fasse la mine ?"")",,1.0,Insertion
72,"('#moliere', 'Elle est coquette.')","('#lulli', ""Et lui présenter des fleurs, tribut ordinaire d'un jardinier. "")",1.52,Substitution
73,"('#chapelle', ""Un peu ; doit-on s'en étonner ? C'est un tort de son âge, et qu'on peut pardonner. Pourquoi donc t'affliger ?.... La sotte fantaisie ! Tu nous as tant fait rire aux dépens des jaloux, Et tu serais toi-même atteint de jalousie ! Je le vois aux soupçons dont ton âme est saisie ; L'amour fait d'un grand homme, un homme comme nous."")","('#antoine', ""Jardinier n'est pas mon titre,  Le mien m'fais bien plus d'honneur :  Mon maître, dans une épître,  M'appelle son gouverneur.  Et pour que chacun y pense,  Aux plus bell' roses d'Auteuil,  J'mêle toujours d'préférence  Le p'tit brin de chèvrefeuille. Dites mieux, Monsieur Lulli.  AIR : Ce mouchoir, belle Raimonde.  Il prend un bouquet."")",1.12,Substitution
74,"('#moliere', ""Ah ! Si j'étais enclin à cette frénésie, Isabelle souvent tourmenterait ma vie ! Je ne le vois que trop, et je crois qu'il vaut mieux Éviter des chagrins..."")","('#mignard', 'Comment diable, Antoine, tu lis ton maître ? ')",1.5,Substitution
75,,"('#antoine', ""Sans doute, puisqu'il m'écrit."")",1.0,Deletion
76,"('#chapelle', ""Ma foi, mon cher Molière, Tu prends la chose aussi d'un ton trop sérieux. Traitons l'amour gaîment, et tenons-nous joyeux. Tâche de m'imiter; ma vie est régulière ;  Moi, je m'enivre tous les jours ; De belle en belle je cours ; Le changement me réveille ; Je suis volage en amours Et fidèle à la bouteille..."")","('#madelon', 'Monsieur Molière est sûrement dans sa chambre...  Viens ? ')",1.34,Substitution
77,"('#moliere', 'Allons ; je prendrai soin de me régler sur toi. Ta morale est fort douce.')","('#laforet', 'Mes bons amis, Molière repose....  Vous ne voudriez pas.... ')",1.09,Substitution
78,"('#chapelle', ""Et c'est la véritable. Tu te crois plus sage que moi ; Mais..."")","('#antoine', 'Oh !  Non : Dieu nous garde de le troubler !  Un homme qui fait tant de bien quand il veille, doit être tranquille quand il dort.')",1.43,Substitution
79,"('#moliere', ""Grâce au ciel, voici quelqu'un de raisonnable. Bonsoir à notre cher Mignard."")","('#mignard', ""Antoine est digne d'un bienfait, puisqu'il sait le sentir.  Qu'il serait à souhaiter que tout le monde connût Molière comme nous le connaissons. "")",1.09,Substitution
80,"('#mignard', ""Je crains d'arriver un peu tard. J'étais à l'atelier ; quand je m'y sens en veine, J'y dois à mes pinceaux les moments les plus doux ; J'y reste avec plaisir et j'en sors avec peine, Si ce n'est pour chercher des amis tels que vous."")","('#laforet', ""L'un prétend qu'il n'a pas de mérite,  L'autre dit qu'il a mauvaises moeurs,  Un autre cont'lui sollicite  Pour soutenir de plats auteurs ;  Mais se moquant d'la calomnie,  À tous leurs cris i'n répond rien :  Molièr', qui s'montre aux coups de l'envie,  Se cache pour faire le bien.  Eh !  Comment voulez-vous qu'on le connaisse ?  On invente tant de choses contre lui.  AIR : Vaudeville de l'Officier de fortune. "")",1.1,Substitution
81,"('#moliere', 'Nos convives encor ne sont pas venus tous. Sans doute ils ne tarderont guère.')",,1.0,Insertion
82,"('#mignard', ""Ta santé se soutient, j'espère ?"")",,1.0,Insertion
83,"('#moliere', ""Oui, je suis beaucoup mieux ; j'ai repris mes travaux ; ** Mais voici l'ami Despréaux."")",,1.0,Insertion
84,"('#chapelle', 'Le fléau, la terreur de quiconque rimaille, Grand prévôt du Parnasse.....')",,1.0,Insertion
85,"('#despreaux', 'Eh ! Bonsoir, mes amis.')",,1.0,Insertion
86,"('#moliere', 'Bonsoir. Que dit-on à Paris ?')",,1.0,Insertion
87,"('#despreaux', ""Je n'en viens pas. J'arrive de Versailles."")",,1.0,Insertion
88,"('#chapelle', ""Ah ? Tu te mêles donc d'être aussi courtisan ?"")",,1.0,Insertion
89,"('#despreaux', ""Je viens de faire une visite À madame de Montespan ; J'ai vu le roi chez elle....."")",,1.0,Insertion
90,"('#chapelle', 'Et sans doute, bien vite, Saisissant le moment favorable au succès Tu viens de demander quelque grâce nouvelle ?')","('#lulli', ""Cette semaine il a encore fait une belle action, que vous ignorez, j'en suis sûr."")",1.08,Substitution
91,"('#despreaux', ""Justement. Car j'étais allé là tout exprès. . J'ai fait une demande importante."")",,1.0,Insertion
92,"('#mignard', 'Laquelle ? .')","('#madelon', 'Ah !  De grâce, racontez-nous-là. ')",1.0,Substitution
93,"('#despreaux', ""Comme le dit l'ami Chapelle, Profitant de l'occasion, J'ai supplié, mais avec grande instance, Sa majesté d'avoir la complaisance De supprimer ma pension, de vouloir bien m'ôter trois mille francs de rente."")","('#lulli', 'Bien volontiers.  - Un pauvre comédien, ancien camarade de Molière, vint, il y a trois jours, demander des secours pour gagner sa province...  Baron était ici.  - Combien, dit Molière, faut-il lui donner ?  - Mais, répond Baron, quatre pistoles suffiront.  — Quatre pistoles.... soit ; tenez, vous les lui remettrez pour moi ; mais en voici vingt que vous lui donnerez pour vous, et il joignit à ce présent un habit magnifique. ')",1.09,Substitution
94,"('#chapelle', 'Vraiment !... La faveur est plaisante !')","('#antoine', 'Que de générosité !')",0.53,Substitution
95,"('#mignard', 'On ne fait pas souvent au roi * Pareille demande, je croi.')","('#mignard', 'Quelle sublime leçon ! ')",1.65,Substitution
96,"('#despreaux', ""Aussi l'ai-je surpris, et s'est-il mis à rire 9 D'un air tout rempli de bonté. Qu'est ceci, Despréaux ? est-ce un trait de satyre ? M'a dit le roi ; Non , mais c'en est un, Sire, De justice et de probité. Tout le Parnasse est attristé ; D'un commis ignorant sottise sans pareille ! On vient, Sire, de supprimer La pension de Corneille. Et moi qu'auprès de lui j'ose à peine nommer, Moi qui n'ai point son sublime génie, Je reste sur la liste ? Oh ! non, je vous supplie ; Cela ne se peut pas, foi d'honnête rimeur ; La pension me fait sûrement grand honneur ; Mais avant qu'à Corneille on retranche la sienne, Pour être juste, Sire, il faut m'ôter la mienne."")","('#laforet', ""Vous ne savez que cela, Monsieur Lully ?  Bon !  Le lendemain ce fut bien autre chose.  Un jeune homme de dix-neuf ans, nommé Racine, avait remis a Molière un poème pour avoir son avis.  L'ouvrage était mauvais...  Il me l'a lu.  — Mais Molière vit que le jeune homme pouvait mieux faire...  Aussi, en rendant le poème, il y cacha cent louis, et le plan d'une tragédie. "")",0.3,Substitution
97,"('#moliere', ""Bien. Qu'a dit le roi, s'il vous plaît ?"")","('#mignard', ""Si Racine est célèbre un jour, et cela pourrait bien être, il se rappellera sans doute que c'est à Molière qu'il doit ses premiers encouragements. "")",1.31,Substitution
98,"('#despreaux', ""Demandez-moi plutôt ce qu'il a fait. La pension est rétablie ; Et sa majesté vient encor, Dans une bourse en broderie, D'y joindre deux cents louis d'or, Qu'elle envoie au vieillard, Sophocle de notre âge. Mon neveu, qui m'avait là-bas accompagné Avec plaisir s'est chargé du message ; À Paris il est retourné ;  Et dans quelques instants, Corneille qui l'ignore, Du monarque bienfaisant Va recevoir un présent Qui tous les deux les honore."")","('#antoine', ""Madelon, il me vient une idée.  Ne déposons pas ces fleurs dans son cabinet, comme c'était notre intention : faisons mieux. Il parle bas à Madelon."")",0.83,Substitution
99,,"('#madelon', 'Tu as raison, mon ami.... Ils tressent des fleurs.')",1.0,Deletion
100,,"('#mignard', ""C'est lui ! C'est lui !  Dites-moi, mes enfants, ai-je bien réussi ?  AIR : Il est, il est, il est toujours le même. "")",1.0,Deletion
101,"('#moliere', 'Il vous honore aussi ; le trait est généreux Et montre bien ce que vous êtes !')","('#antoine', ""Vraiment c'est bien lui-même :  Joyeuse humeur."")",1.2,Substitution
102,,"('#madelon', ""Et c'tair plein de douceur."")",1.0,Deletion
103,"('#mignard', 'Ce Despréaux qui fait trembler tant de poètes, Il est bonhomme, au fonds.')","('#antoine', 'On devine son coeur,  Ce coeur que chacun aime.')",1.37,Substitution
104,"('#chapelle', 'Cet acte courageux Vaut mieux que de bons vers, et me plaît davantage.')","('#madelon', 'Sa bouche me sourit.')",1.52,Substitution
105,"('#despreaux', ""Cela ne devrait pas s'appeller du courage. J'ai dit la vérité."")",,1.0,Insertion
106,"('#mignard', 'Métier fort dangereux !')","('#lulli', ""Ses yeux sont pleins d'esprit. "")",1.66,Substitution
107,,"('#tous', ""C'est lui ! C'est lui ! Vraiment c'est bien lui-même !"")",1.0,Deletion
108,"('#despreaux', ""Je ne tiendrai pourtant jamais d'autre langage. Il faut dans mes discours que mon coeur se soulage. Mais à la probité toujours assujetti C'est ma seule raison qui règle mon suffrage. À l'envie, à l'intrigue, à l'esprit de parti Jamais je n'ai prêté l'oreille."")","('#lulli', ""Il n'y a rien à désirer ; vérité, chaleur, dessin pur...  Mignard !  Tu me prouves par-là qu'on ne devrait donner qu'au vrai talent le droit de peindre le génie. "")",0.88,Substitution
109,"('#mignard', 'Racine est son meilleur ami ; Mais il rend hommage à Corneille.')",,1.0,Insertion
110,"('#chapelle', ""Eh ! mais ?... n'entends-je pas Lulli ?"")",,1.0,Insertion
111,"('#mignard', ""Oui, vraiment. Le voici qui s'avance en musique."")","('#laforet', ""On dirait qu'il va parler."")",0.98,Substitution
112,"('#despreaux', 'Écoutons. Sa démarche est gravement comique.')",,1.0,Insertion
113,"('#lulli', ""« Mi star Muphti ; Ti , qui star ti ? Se ti sabir, Ti respondir ; Se non sabir, Tazir, tazir. » Hé, comment trouvez-vous ce chant là, je vous prie ? Dis-moi, caro Molière, avons-nous terminé Notre petite comédie ? Déjà pour la cérémonie, Mon ballet turc est dessiné. Entre gravement, en chantant d'une manière bouffonne. Il parle avec un accent italien très marqué."")",,1.0,Insertion
114,"('#moliere', ""Je m'attends à quelque folie."")","('#madelon', 'En voyant son image, je sens mieux encore ma reconnaissance, et je voudrais avoir un peu de son esprit pour la lui exprimer. ')",1.48,Substitution
115,"('#lulli', 'Tu pourras te vanter que Baptiste Lulli, Il aura fait pour son ami Molière Quelque chose de bien joli.')","('#lulli', 'Le grand écrivain !')",1.51,Substitution
116,"('#despreaux', ""N'allez pas nous donner de farce trop grossière."")","('#antoine', 'Quelle bienfaisance !')",1.88,Substitution
