,quinault-isis,quinault-proserpine,Cost,Operation Type
10,,"('#la-paix #suite-de-la-paix', 'Ah ! Quel bonheur charmant !')",1.0,Deletion
11,,"('#la-discorde #suite-de-la-discorde', 'Ah ! Quel affreux tourment !')",1.0,Deletion
12,"('#deux-tritons', ""C'est le Dieu des eaux qui va paraître Rangeons nous près de notre Maître Enchaînons les vents les plus terribles Que le bruit des flots cède à nos chants. Régnez Zéphirs paisibles, Ramenez le doux printemps."")","('#la-discorde', ""Orgueilleuse victoire, est-ce à toi d'entreprendre De mettre la Discorde aux fers ? À quels honneurs sans moi peux-tu jamais prétendre ?"")",1.11,Substitution
13,,"('#la-victoire', ""Ah ! Qu'il est beau de rendre La Paix à l'univers."")",1.0,Deletion
14,"('#neptune', ""Mon empire a servi de théâtre à la guerre, Publiez des exploits nouveaux C'est le même vainqueur Si fameux sur la terre Qui triomphe encor sur les eaux."")","('#la-discorde', ""Tes soins pour le vainqueur pouvaient plus loin s'étendre ? Que ne conduisais-tu le héros que tu sers, Où cent lauriers nouveaux lui sont encore offerts ? La gloire au bout du monde aurait été l'attendre."")",0.77,Substitution
15,"('#la-renommee #neptune', ""Célébrez son grand nom sur la terre et sur l'onde Qu'il ne soit pas borné par les plus vastes mers Qu'il vole jusqu'au bout du monde Qu'il dure autant que l'univers."")","('#la-victoire', ""Ah ! Qu'il est beau de rendre la paix à l'univers. Après avoir vaincu mille peuples divers, Quand on ne voit plus rien qui puisse se défendre, Ah ! Qu'il est beau de rendre la paix à l'univers. La suite de la victoire et la suite de la paix, répètent ces derniers vers."")",0.82,Substitution
16,"('#choeurs', ""Célébrez son grand nom sur la terre et sur l'onde Qu'il ne soit pas borné par les plus vastes mers Qu'il vole jusqu'au bout du monde Qu'il dure autant que l'univers."")","('#la-discorde', ""Ô ! Cruel esclavage ! Je ne verrai donc plus de sang et de carnage ? Ah ! Pour mon désespoir faut-il que le vainqueur Ait triomphé de son courage ? Faut-il qu'il ne laisse à ma rage Rien à dévorer que mon coeur ? Ô ! Cruel esclavage ! La suite de la Discorde répète ce dernier vers."")",0.82,Substitution
17,"('#calliope', 'Cessez pour quelque temps bruit terrible des armes Qui troublez le repos de cent climats divers  Ne troublez point les charmes De nos divins concerts.')","('#la-victoire', ""Au fond d'un gouffre plein d'horreur, Que sous des fers pesants la discorde gémisse. Partagez son supplice Vous qui partagez sa fureur. Et vous triste séjour, changez, que tout ressente Le pouvoir plein d'appas de la Paix triomphante. La Discorde et sa suite s'abîment dans des gouffres qui s'ouvrent sous leurs pas, et l'affreuse retraite de la Discorde se change en un palais agréable."")",0.35,Substitution
18,"('#calliope #thalie #apollon', 'Ne troublez point les charmes De nos divins concerts.')","('#la-paix #suite-de-la-paix', 'Ah quel bonheur charmant !')",0.89,Substitution
19,,"('#la-discorde #suite-de-la-discorde', 'Ah ! Quel affreux tourment !')",1.0,Deletion
20,"('#calliope', 'Recommençons nos chants, Allons les faire entendre.')","('#la-victoire #la-paix', ""Le vainqueur est comblé de gloire, On doit l'admirer à jamais : Il s'est servi de la victoire Pour faire triompher la paix. La suite de la victoire et la suite de la paix répètent ces quatre vers. La suite de la paix témoigne sa joie en dansant et en chantant."")",1.47,Substitution
21,"('#melpomene', 'Dans une auguste Cour.')",,1.0,Insertion
22,"('#thalie', ""La Paix, la douce Paix  N'ose encore descendre du céleste séjour."")","('#la-felicite #l-abondance', ""Il est temps que l'amour nous enchaîne, Il sait vaincre les plus fiers vainqueurs. Rendons-nous, la fuite est vaine, Ce dieu charme tous les coeurs : Il n'a point de bien sans peine, Mais peut-on trop payer ses douceurs. Dans les fers qu'Amour veut que l'on prenne, Tout est doux jusqu'aux plus tristes pleurs. Rendons-nous, la fuite est vaine, Ce dieu charme tous les coeurs, etc."")",1.21,Substitution
23,"('#calliope', ""La Paix, la douce Paix  N'ose encore descendre du céleste séjour."")","('#la-paix', ""On a quitté les armes. Voici le temps heureux Des plaisirs pleins de charmes, Voici le temps heureux Des plaisirs et des jeux. On ne versera plus de larmes, Tous les coeurs seront sans alarmes ; Et si l'on craint encor des tourments rigoureux Ce sera seulement dans l'empire amoureux. On a quitté les armes Voici le temps heureux Des plaisirs pleins de charmes, Voici le temps heureux Des plaisirs et des jeux. Le choeur répète ces derniers vers."")",0.94,Substitution
24,"('#calliope #thalie #apollon', 'Près du Vainqueur allons attendre son bienheureux retour.')",,1.0,Insertion
25,"('#apollon', 'Ne parlons pas toujours de la guerre cruelle, Parlons des plaisirs et des jeux. Les Muses et les Arts  Vont signaler leur zèle, Je vais favoriser leurs voeux Nous préparons une fête nouvelle Pour le Héros qui les appelle Dans cet asile heureux')","('#la-felicite', ""Que l'amour est doux à suivre ! Quel plaisir de s'enflammer ! Un jeune coeur ne commence de vivre Que du moment qu'il commence d'aimer. Malheureux qui se délivre D'un tourment qui sait charmer. On reconnaît que l'on cesse de vivre En même temps que l'on cesse d'aimer."")",0.81,Substitution
26,"('#le-choeur', 'Ne parlons pas toujours de la guerre cruelle, Parlons des plaisirs et des jeux.')","('#le-choeur', 'On a quitté les armes Voici le temps heureux Des plaisirs pleins de charmes, Voici le temps heureux Des plaisirs et des jeux.')",0.03,Substitution
27,"('#la-renommee', 'Hâtez-vous, Plaisirs, hâtez-vous De montrer vos charmes les plus doux.')","('#ceres', ""Goûtons dans ces aimables lieux Les douceurs d'une paix charmante. Les superbes géants armés contre les dieux Ne nous donnent plus d'épouvante : Ils sont ensevelis sous la masse pesante Des monts qu'ils entassaient pour attaquer les cieux Nous avons vu tomber leur chef audacieux Sous une montagne brûlante ; Jupiter la contraint de vomir à nos yeux Les restes enflammés de sa rage mourante, Jupiter est victorieux, Et tout cède à l'effort de sa main foudroyante. Goûtons dans ces aimables lieux Les douceurs d'une paix charmante."")",0.88,Substitution
28,"('#apollon #neptune #la-renommee', 'Hâtez-vous, Plaisirs, hâtez-vous De montrer vos charmes les plus doux.')","('#ceres #cyane #crinise', ""Goûtons dans ces aimables lieux Les douceurs d'une paix charmante."")",0.4,Substitution
29,,"('#ceres', ""Prenez soin d'assembler tout ce qui suit mes lois, Honorons le vainqueur d'une commune voix."")",1.0,Deletion
30,,"('#ceres #cyane #crinise', ""Honorons le vainqueur d'une commune voix. Cyané et Crinise vont de deux côtés différents appeler les divinités et les peuples de la Sicile, pour venir ensemble célébrer la victoire de Jupiter."")",1.0,Deletion
31,,"('#ceres', 'Mercure, quel dessein vous fait ici descendre ?')",1.0,Deletion
32,"('#le-choeur', 'Hâtez-vous, Plaisirs, hâtez-vous De montrer vos charmes les plus doux.')","('#mercure', ""Jupiter près de vous m'ordonne de me rendre."")",0.97,Substitution
33,"('#hierax', ""Cessons d'aimer une infidèle, Évitons la honte cruelle De servir, d'adorer qui ne nous aime plus. Achevons de briser les noeuds qu'elle a rompus. Dégageons nous, sortons d'un si funeste empire. Hélas ! Malgré moi je soupire ! Ah ! Mon coeur quelle lâcheté ! Quel charme te retient dans un honteux martyre ? Tu n'as pas craint des fers qui nous ont tant coûté As-tu peur de ta liberté ? Revenez, revenez Liberté charmante Vous n'êtes que trop diligente Lorsqu'il faut dans un coeur faire place à l'Amour; Mais que vous êtes lente Lorsqu'un juste dépit presse votre retour."")","('#ceres', ""Non, non, à vos discours je n'ose ajouter foi. Jupiter après sa victoire Songe à tenir en paix l'univers sous sa loi ; Il est trop occupé de sa nouvelle gloire, Eh ! Le moyen de croire Qu'il songe encore à moi ?"")",0.46,Substitution
34,"('#pirante', ""C'est trop entretenir Ces tristes rêveries; Venez, tournez vos pas sur ces rives fleuries Regardez ces flots argentés, Qui dans ces vallons écartés,  Font briller l'émail des prairies Interrompez vos soupirs Tout doit être ici; Ce beau séjour est l'asile Du repos et des plaisirs."")","('#mercure', ""Dans les soins les plus grands dont son âme est remplie Il se souvient toujours que vous l'avez charmé ; Il est mal-aisé qu'on oublie Ce qu'on a tendrement aimé, Il admire les dons que vous venez de faire En cent climats divers, L'abondante Sicile heureuse de vous plaire De vos riches moissons voit tous ses champs couverts : Mais la mère des dieux se plaint que la Phrygie Quelle a toujours chérie, Ne se ressente pas de vos soins bienfaisants ; Et c'est Jupiter qui vous prie D'y porter vos divins présents. Quelle gloire de voir qu'un dieu si grand implore Votre favorable secours !"")",0.14,Substitution
35,"('#hierax', ""Depuis qu'une nymphe inconstante A trahi mon amour et m'a manqué de foy Ces lieux jadis si beaux n'ont plus rien qui m'enchante; Ce que j'aime a changé, tout est changé pour moi."")","('#ceres', ""Peut-être qu'il m'estime encore, Mais il m'avait promis qu'il m'aimerait toujours. L'amour qui pour lui m'anime Devient plus fort chaque jour, Est-ce assez d'un peu d'estime Pour le prix de tant d'amour."")",0.27,Substitution
36,"('#pirante', ""La fille d'Inachus hautement vous préfère A mille autres amants de votre sort jaloux; Vous avez l'aveu de son père En faveur d'Argus votre frère, La puissante Junon se déclare pour vous."")","('#mercure', ""Il sent l'ardeur qu'un tendre amour inspire, Avec plaisir il se laisse enflammer ; Mais un amant chargé d'un grand empire N'a pas toujours le temps de bien aimer."")",0.9,Substitution
37,"('#hierax', ""Si l'ingrate m'aimait, je serais son époux. Cette nymphe légère De jour en jour diffère Un hymen qu'autrefois elle avait cru si doux. L'inconstante n'a plus l'empressement extrême De cet amour naissant qui répondait au mien. Son changement paraît en dépit d'elle même Je ne le connais que trop bien, Sa bouche quelquefois dit encor qu'elle m'aime; Mais son coeur ni ses yeux ne m'en disent plus rien."")","('#ceres', ""Quand de son coeur je devins souveraine N'avait-il pas le monde à gouverner, Et ne trouvait-il pas sans peine Du temps de reste à me donner. Je l'ai vu sous mes lois ce dieu si redoutable. Je l'ai vu plein d'empressement ; Ah ! Qu'il serait aimable, S'il aimait constamment !"")",0.14,Substitution
38,"('#pirante', ""Se peut-il qu'elle dissimule ! Après de serments, ne la croyez-vous pas ?"")","('#mercure', ""Son amour craint de trop paraître, Dans le ciel on l'observe avec des yeux jaloux."")",1.24,Substitution
39,"('#hierax', ""Je ne les crus que trop, hélas !  Ces serments qui trompent mon coeur tendre et crédule; Ce fut dans ces vallons où par mille détours, Inachus prends plaisir à prolonger son cours; Ce fut sur son charment rivage, Que sa fille volage Me promit de m'aimer toujours. Le Zéphir fut témoin, l'onde fut attentive Quand la nymphe jura de ne changer jamais, Mais le Zéphir léger et l'onde fugitive Ont enfin emporté les serments qu'elle a faits. Je la vois, l'infidèle."")","('#ceres', ""De quels dieux n'est-il pas le maître ? Ne les fait-il pas trembler tous ? Que vous l'excusez mal quand mon amour l'accuse ; S'il pouvait avoir quelque excuse, Mon coeur la trouverait mille fois mieux que vous. Allez, à ses désirs il faut que je réponde. Je quitte une paix profonde, Qui m'offre ici mille appas : Que ne quitterait-on pas Pour plaire au maître du monde ? Mercure répète ces deux derniers vers avec Cérès, et s'envole pour aller au ciel retrouver Jupiter."")",0.41,Substitution
40,,"('#ceres', ""La Phrygie a besoin de mes dons précieux, Et je laisse avec vous Proserpine en ces lieux, J'ai peine à la quitter, cette fille si chère..."")",1.0,Deletion
41,"('#pirante', 'Éclaircissez vous avec elle.')","('#arethuse', ""Je suis dans la Sicile une nymphe étrangère, Je viens vous conjurer de m'en laisser partir."")",1.09,Substitution
42,"('#io', ""M'aimez vous ? puis-je m'en flatter ?"")","('#ceres', ""Non, Arethuse, non, je n'y puis consentir."")",1.5,Substitution
43,"('#hierax', ""Cruelle, en voulez vous douter ? En vain votre inconstance éclate, En vain elle m'anime à briser tous les noeuds Je vous aime toujours ingrate, Plus que vous ne voulez Et plus que je ne veux Je crains un funeste présage, Un aigle dévorant Vient de fondre à mes yeux, Sur un oiseau qui dans ces lieux M'entretenait d'un doux ramage Différez votre hymen, Suivons l'avis des Cieux. Notre hymen me déplaît qu'à votre coeur volage: Répondez moi de vous, je vous répond des Dieux. Vous juriez autrefois Que cette onde rebelle Se ferait vers sa source une route nouvelle Plutôt qu'on ne verrait votre coeur dégagé; Voyez couler ces flots dans cette vaste plaine C'est le même penchant qui toujours les entraîne. Leurs cours ne change point et vous avez changé"")","('#arethuse', ""Alphée à mon repos a déclaré la guerre : Diane propice à mes voeux, En vain pour me cacher à ce fleuve amoureux, Fit ouvrir le sein de la terre : Il n'est point de détours dans l'ombre des enfers Que son amour n'ait découverts : Je l'ai trouvé partout, et sous des mers profondes J'ai vu ses flots brûlants suivre mes froides ondes ; Je veux le fuir encore au bout de l'univers."")",0.0,Match
44,"('#io', ""Laissez moi revenir de mes frayeurs secrètes; J'attends de votre amour cet effort généreux."")","('#ceres', ""Les soins d'un amour extrême Devraient moins vous alarmer : Vous craignez trop qu'on vous aime, Ne craignez vous point d'aimer ? Vous rougissez, Arethuse ; Votre rougeur vous accuse. Il est aisé de voir dans ce trouble fatal Le péril où l'amour en ces lieux vous expose."")",0.71,Substitution
45,"('#hierax', ""Je veux ce qui vous plaît, cruelle que vous êtes, Vous n'abusez que trop d'un amour malheureux !"")","('#arethuse', ""Le dangereux amour ! Que je lui veux de mal Du trouble qu'il me cause !"")",0.72,Substitution
46,"('#io', 'Non, je vous aime encor !')","('#ceres', 'Avec Alphée ici je veux vous arrêter.')",1.4,Substitution
47,"('#hierax', ""Quelle froideur extrême !  Inconstante, est-ce ainsi qu'on doit dire qu'on aime."")","('#arethuse', ""Eh ! De grâce, aidez-moi plutôt à l'éviter. Je crains enfin qu'il ne m'engage, Et sa constance me fait peur : Non, si je le vois davantage, Je ne réponds plus de mon coeur."")",1.25,Substitution
48,"('#io', ""C'est à tort que vous m'accusez, Vous avez vu toujours vos rivaux méprisés"")",,1.0,Insertion
49,"('#hierax', ""Le mal de mes rivaux N'égale point ma peine, La douce illusion d'une espérance vaine Ne les fait point tomber du faite du bonheur Aucun d'eux comme moi n'a perdu votre coeur; Je ne suis point accoutumé Quel tourment de cesser de plaire Lorsqu'on a fait l'essai du plaisir d'être aimé. Je ne le sens que trop Votre coeur se détache Et je ne sais qui me l'arrache"")","('#ceres', ""Aimez sans vous contraindre, Aimez à votre tour. C'est déjà ressentir l'amour Que de commencer à le craindre. Arethuse chante ces deux derniers vers avec Cérès."")",0.54,Substitution
50,"('#hierax', ""Je cherche en vain l'heureux amant Qui me dérobe un bien charmant Où j'ai cru devoir seul prétendre Je sentirais moins mon tourment Si je trouvais à qui m'en prendre Vous fuyez mes regards, Vous ne me dites rien; Il faut vous délivrer d'un fâcheux entretiens; Ma présence vous blesse et c'est trop vous contraindre."")","('#ceres', ""Je vais voir Proserpine, et partir promptement. Demeurez avec elle en un lieu si charmant Pour fuir l'amour qui vous appelle Ne cherchez plus de vains détours : Aimez un amant fidèle, On n'en trouve pas toujours Cérès va voir Proserpine avant que de partir pour aller en Phrygie."")",0.08,Substitution
51,"('#io', 'Jaloux sombre et chagrin, Partout où je vous vois, Vous ne cessez de vous plaindre Je voudrais vous aimer Autant que je le dois, Et vous me forcez à vous craindre.')","('#arethuse', ""Vaine fierté, faible rigueur, Que vous avez peu de puissance Contre l'amour et la constance ! Vaine fierté, faible rigueur, Ah ! Que vous gardez mal mon coeur ! En vain, par vos conseils je me fais violence : Je combats vainement une douce langueur : Hélas ! Vous m'engagez à faire résistance, Et vous me laissez sans défense, Au pouvoir de l'amour vainqueur ? Vaine fierté, faible rigueur, Que vous avez peu de puissance Contre l'amour et la constance ! Vaine fierté, faible rigueur, Ah ! Que vous gardez mal mon coeur ! Je vois Alphée, ô dieux ! Où sera mon asile ! Mon coeur est déjà charmé, Et ma fuite est inutile ; Hélas ! Qu'il est difficile De fuir un amant aimé ! Il approche, je tremble. Ah faut-il qu'il jouisse Du trouble honteux où je suis ? Pardonne, amour, si je le fuis, J'en ressens un cruel supplice ; Mais n'importe, je veux l'éviter si je puis."")",0.0,Match
52,"('#hierax #io', ""Non, non, il ne tient qu'à vous De rendre notre sort plus doux Non, non, il ne tient qu'à vous De rendre mon coeur plus tendre Non, non, il ne tient qu'à vous De rendre mon coeur moins jaloux."")","('#alphee', ""Arrêtez, nymphe trop sévère, Ne fuyez plus d'une course légère Les soins trop empressés de mon coeur amoureux ; N'ayez plus contre moi ni chagrin ni colère, J'ai résolu de ne vous plus déplaire, Et je vais étouffer mon amour malheureux."")",0.64,Substitution
53,,"('#arethuse', 'Alphée...')",1.0,Deletion
54,,"('#alphee', ""Alphée enfin vous arrête, inhumaine, Mais vous vous arrêtez pour voir briser sa chaîne. C'en est fait, mes fers sont rompus."")",1.0,Deletion
55,,"('#arethuse', 'Alphée, est-il bien vrai ?')",1.0,Deletion
56,"('#micene', ""Ce prince trop longtemps dans ses chagrins s'obstine On pardonne au premier transport D'un amour qui se plaint à tort Et qui sans raison se mutine. Mais à la fin on se chagrine Contre un Amour chagrin."")","('#alphee', ""N'en doutez point, cruelle, Je le reprends ce coeur trop tendre et trop fidèle, Ce coeur trop rebuté par de cruels refus."")",0.48,Substitution
57,,"('#arethuse', ""Alphée, est-il bien vrai que vous ne m'aimiez plus ?"")",1.0,Deletion
58,"('#io', ""Je veux bien te parler enfin sans artifice Ce prince infortuné s'alarme avec justice. Le maître souverain de la terre et des cieux Entreprend de plaire à mes yeux. Du coeur de Jupiter l'amour m'offre l'empire. Mercure est venu me le dire Je le vois chaque jour descendre dans ces lieux. Mon coeur autant qu'il peut  Fait toujours résistance. Et pour attaquer ma constance, Il ne fallait pas moins que le plus grand des Dieux."")","('#alphee', ""Ingrate il est trop vrai, mon coeur rompt avec peine Des noeuds qu'il a trouvé si beaux ; Mais de peur qu'il ne les reprenne Je le veux engager en des liens nouveaux. J'ai vu l'aimable Proserpine : On connaît à l'éclat de sa beauté divine Que du maître des dieux elle a reçu le jour. Rendez-lui grâce, C'est elle qui vous débarrasse De mon fâcheux amour."")",0.01,Substitution
59,,"('#arethuse', 'Si Proserpine est belle, Son coeur est fier et rigoureux : Votre chaîne nouvelle Ne vous rendra pas plus heureux.')",1.0,Deletion
60,"('#micene', ""On écoute aisément Jupiter qui soupire. C'est un amant qu'on ose mépriser. Et du plus grand des coeurs Ce glorieux empire  Est difficile à mépriser."")","('#alphee', ""N'importe je veux bien souffrir sous son empire. Vous ne m'avez déjà que trop accoutumé Au rigoureux martyre D'aimer sans être aimé. Proserpine vous aime, et j'ose au moins prétendre Que vous me servirez dans cet engagement. Vous savez si mon coeur est tendre, Vous avez éprouvé s'il aime constamment..."")",0.51,Substitution
61,,"('#arethuse', ""Non je ne veux jamais entendre Parler ni d'amour ni d'amant. Me suivrez-vous sans cesse ?"")",1.0,Deletion
62,"('#io', ""Lorsqu'on me presse de me rendre Aux attraits d'un amour nouveau, Plus le charme est puissant Et plus il serait beau De pouvoir m'en défendre. Quoi ! tu veux me quitter ? Doù vient ce soin pressant ?"")","('#alphee', ""Me fuirez-vous toujours ? L'ingrate Arethuse me laisse Sans espoir de secours ? C'est un feu nouveau qui me presse..."")",0.57,Substitution
63,,"('#arethuse', 'Me suivrez-vous sans cesse ?')",1.0,Deletion
64,,"('#alphee', 'Me fuirez-vous toujours ?')",1.0,Deletion
65,"('#micene', ""C'est pour vous seule ici que Mercure descend."")","('#proserpine', 'Cérès va nous ôter sa divine présence, Ces lieux vont perdre leurs attraits, Cérès, favorable Cérès, Faites cesser bientôt votre cruelle absence, Cérès, favorable Cérès Écoutez nos tristes regrets. Le choeur répète ces derniers vers.')",1.39,Substitution
66,"('#mercure', ""Le Dieu puissant qui lance le tonnerre  Et qui des cieux tient le sceptre en ses mains A résolu de venir sur la terre Chasser les maux qui troublent les humains. Que la terre avec soin à cet honneur réponde Échos retentissez dans ces lieux pleins d'appas, Annoncez qu'aujourd'hui pour le bonheur du monde, Jupiter descends ici-bas."")","('#ceres', ""Vous qui voulez pour moi signaler votre zèle Ne troublez point la paix de cet heureux séjour, Je presse mon départ pour hâter mon retour ; Accompagnez ma fille avec un soin fidèle. Changez vos tristes chants en de charmants concerts ; Que j'entende en partant dans le milieu des airs Éclater la gloire nouvelle Du plus grand dieu de l'univers. Cérès fait partir son char volant."")",0.15,Substitution
67,"('#choeur-des-divinites', ""Échos retentissez dans ces lieux pleins d'appas, Annoncez qu'aujourd'hui pour le bonheur du monde, Jupiter descends ici-bas."")","('#proserpine #le-choeur', ""Célébrons la victoire Du plus puissant des dieux. Qu'un trophée éternel conserve la mémoire D'un triomphe si glorieux. Célébrons la victoire Du plus puissant des dieux ; Faisons retentir jusqu'aux cieux Le bruit éclatant de sa gloire : Célébrons la victoire Du plus puissant des dieux. Ce palais va tomber ; ô dieux ! La terre s'ouvre ! Quels tremblements affreux ! L'enfer découvre Ses gouffres ténébreux. Jupiter lancez le tonnerre, Renversez par de nouveaux coups Le chef audacieux des enfants de la terre : Il veut se relever pour s'armer contre vous, Achevez d'étouffer la guerre. Jupiter : lancez le tonnerre. On danse autour d'un trophée qu'on élève à l'honneur de Jupiter, et que l'on forme du débris des armes monstrueuses des gens vaincus. Sur la fin de cette fête on entend un tremblement de terre qui fait tomber une partie du palais de Cérès. Le tonnerre tombe sur le mont Etna, qui paraît dans l'éloignement ; et ce coup achève d'accabler le chef des géants, qui s'efforçait de se relever."")",0.23,Substitution
68,"('#mercure', ""C'est ainsi que Mercure Pour abuser les Dieux jaloux Doit parler hautement à toute la nature. Mais il doit s'expliquer Autrement avec vous; C'est pour vous voir, C'est pour vous plaire, Que Jupiter descend du céleste séjour. Et les biens qu'ici bas sa présence va faire Ne seront dûs qu'à son amour."")","('#crinise', ""Jupiter a dompté les Géants pour jamais. Ce beau séjour brille de nouveaux charmes, Tout y ressent le retour de la paix : Ah ! Que le repos a d'attraits Après de mortelles alarmes."")",0.79,Substitution
69,"('#isis', ""Pourquoi du haut des cieux,  Ce Dieu veut-il descendre ?  Mes voeux sont engagés. Mon coeur a fait un choix L'amour tôt ou tard doit prétendre Que tous les coeurs se rangent sous ses lois. C'est un hommage qu'il faut rendre Mais assez de le rendre une fois."")","('#alphee', ""La paix dans ces beaux lieux m'offre en vain mille appas. L'amour en rend pour moi la douceur inutile ; Cruel amour, hélas ! Que me sert-il de voir tout le monde tranquille Si mon coeur ne l'est pas ?"")",1.03,Substitution
70,"('#mercure', ""Ce serait en aimant une contrainte étrange Qu'un coeur pour mieux choisir n'osât se dégager. Quand c'est pour Jupiter qu'on change Il n'est pas honteux de changer. Que tout l'univers se pare De ce qu'il a de plus rare Que tout brille dans ces lieux. Que la terre partage  L'éclat et la gloire des cieux. Que tout rende hommage  Au plus grand des dieux."")","('#crinise', ""Vous changez, vous quittez une nymphe inhumaine. Votre coeur ne risque rien À choisir une autre chaîne, C'est toujours un bien De changer de peine."")",0.92,Substitution
71,"('#jupiter', ""Les armes que je tiens protègent l'innocence. L'effort n'en est fâcheux qu'à l'orgueil des titans. Vous qui suivez les lois, Vivez sous ma puissance, Toujours heureux, toujours contents. Jupiter vient sur la terre. Pour la combler de bienfaits, Il est armé du tonnerre Mais c'est pour donner la paix."")","('#alphee', ""Heureux qui peut être inconstant ! Rebuté des rigueurs d'une haine éternelle, J'ai voulu la quitter cette beauté cruelle, Et j'éprouve qu'en la quittant Mon coeur est encor moins content. J'ai feint de ressentir une flamme nouvelle, J'ai fait voir à ses yeux un dépit éclatant ; Mais hélas ! Dans le même instant Je brûlais en secret, je languissais pour elle, Et je ne l'aimai jamais tant. Qu'il coûte cher d'être fidèle ! Heureux qui peut être inconstant ! Crinise et Alphée répètent ensemble ces deux derniers vers."")",0.76,Substitution
72,"('#choeurs', ""Jupiter vient sur la terre. Pour la combler de bienfaits, Il est armé du tonnerre Mais c'est pour donner la paix."")","('#crinise', ""Quelqu'un vient, gardez le silence."")",1.21,Substitution
73,"('#io', ""Où suis-je ? D'où vient ce nuage ? Les ondes de mon père et son charmant rivage Ont disparu tout_à_coup à mes yeux ! Où puis-je trouver un passage ? La jalouse reine des Cieux Me fait elle si tôt acheter l'avantage De plaire au plus puissant des Dieux ? Que vois-je ? Quel éclat se répand dans ces lieux. Jupiter paraît et les nuages qui obscurcissent le théâtre, sont illuminés et peints des couleurs les plus brillantes et les plus agréables."")","('#alphee', ""C'est Ascalaphe qui s'avance Pour quelque soin pressant il quitte les enfers : Il n'a de mon amour que trop de connaissance, Où n'ai-je point porté la honte de mes fers ?"")",0.42,Substitution
74,,"('#alphee', ""Venez goûter ici le doux air qu'on respire."")",1.0,Deletion
