dancourt-metempsychose,la-fontaine-daphne,Score
"('#mercure', ""Bacchus avec l'Amour accompagnent ses pas ;  S'ils veulent avec nous être d'intelligence,  Leurs soins ne nous nuirons pas. "")",-,0.0
"('#bacchus', ""Salut au Dieu de l'Éloquence. "")",-,0.0
"('#mercure', 'Salut au Patron des buveurs. ')",-,0.0
"('#l-amour', 'Salut à celui des voleurs. ')",-,0.0
"('#mercure', 'Salut au Dieu dont tous les coeurs,  Tôt ou tard sentent la puissance.  Quel sujet vous amène ici ? ')",-,0.0
"('#bacchus', ""L'ardeur de seconder le dessein où vous êtes. "")",-,0.0
"('#l-amour', ""Instruit du projet que vous faites,  Je prétends l'appuyer aussi.  Mais comment ferons-nous ? Çà voyons. "")",-,0.0
"('#thalie', ""Il me semble  Que tant de Dieux unis ensemble  Pour exécuter leurs projets,  N'ont pas besoin de grands apprêts.  Il faut d'abord choisir le sujet de la Paix. "")",-,0.0
"('#mercure', ""Jupiter, mon père et le sien,  Pour consacrer le nom d'une jeune Maîtresse,  Qu'il eût jadis, et dont il n'obtint rien,  Aux regards des mortels veut bien  Que l'on révèle sa faiblesse. "")",-,0.0
"('#bacchus', 'Ce sujet-là sera nouveau pour eux. ')",-,0.0
"('#l-amour', 'Ce sujet-là nous intéresse,  Et nous y figurions tous deux. ')",-,0.0
"('#mercure', 'Vous servîtes mal sa tendresse. ')",-,0.0
"('#l-amour', ""Puisqu'il le veut, révélons des secrets,  Dont jusqu'à présent nous avions fait mystère.  Je l'avoue, entre nous, j'avais peine à me taire,  Et comme les mortels les Dieux sont indiscrets.  Qui réglera la Comédie ? "")",-,0.0
"('#bacchus', 'Belle difficulté ! Thalie. ')",-,0.0
"('#mercure', 'Je serai le Musicien. ')",-,0.0
"('#bacchus', 'Que la Musique soit jolie,  Le trop beau, le trop grand ennuie :  Pour plaire il faut un petit rien,  Un Vaudeville, une heureuse folie. ')",-,0.0
"('#mercure', 'Ce soin me regarde. ')",-,0.0
"('#bacchus', ""Fort bien.  Mais que ferai-je dans la pièce ?  Car au succès je m'intéresse. "")",-,0.0
"('#mercure', 'La noce et les frais du festin. ')",-,0.0
"('#bacchus', 'Tope. ')",-,0.0
"('#mercure', ""Qu'on y boira du vin ! "")",-,0.0
"('#la-paix', 'Il faudra des Acteurs pour le chant, pour la danse. ')",-,0.0
"('#thalie', ""L'Amour en fera la dépense ;  N'a-t-il pas avec lui toujours  Les jeux, les ris, les plaisirs, les amours ? "")",-,0.0
"('#bacchus', ""J'y joindrai les gens de ma suite,  Troupe de Faunes et de Sylvains,  D'Habitants des pays lointains,  Du Ballet j'aurai la conduite. "")",-,0.0
"('#la-paix', ""Qu'on y fera de mauvais pas.  Avant la danse, au moins, ne les enivrez pas ;  Et les Acteurs parlant, qui les fera ? "")",-,0.0
"('#mercure', ""Nous-mêmes.  Il faut dans ces commencements  Descendre un peu de nos grandeurs suprêmes,  Pour mériter des applaudissements.  Jupiter et Vénus, Junon même, s'apprêtent  À seconder les jeux qu'ici nous préparons ;  Et de concert avec nous ils se prêtent  Aux spectacles galants que nous y donnerons.  Au siècle où nous sommes,  Si fertile en beaux esprits,  Les Dieux comme nous à Paris,  Sont à peine assez bons pour divertit les hommes. "")",-,0.0
"('#thalie', ""J'approuve fort un tel avis ;  Mais enfin, sous quelle figure  Prétendez-vous en ce pays  De Jupiter retracer l'aventure ? "")",-,0.0
"('#mercure', ""Comme elle se passa jadis,  Même forme, mêmes habits,  En robe seulement à la Thessalienne ;  Et voici justement un endroit pour la Scène,  Il ne peut être mieux représenté.  Vous voyez de Tempé les bosquets, la fontaine ;  Et sur le beau coteau qui termine la plaine ;  Se trouve aussi le Palais enchanté,  Où Jupiter faisait garder cette Beauté,  Que Bacchus et l'amour livrèrent à Philène. "")",-,0.0
"('#bacchus', ""On dirait en effet que c'est la vérité.  Ce lieu charmant ici semble exprès transporté. "")",-,0.0
"('#l-amour', 'Je reconnais aussi ces beaux valons sans peine. ')",-,0.0
"('#bacchus', 'Hâtons-nous donc. Commençons  Par quelque grand Monologue,  Ou par de petites Chansons.  Ce que nous avons dit servira de Prologue.  Quelque danse, et puis finissons. ')",-,0.0
"('#jupiter', ""Votre sincérité m'offense,  Mercure, je ne puis vous le dissimuler. "")",-,0.0
"('#mercure', 'Et moi, je ne puis plus me faire violence.  Si mon respect pour vous me condamne au silence,  Mon zèle me force à parler. ')",-,0.0
"('#jupiter', 'Et de quoi votre zèle ose-t-il se mêler ?  Je vous mène dans mes voyages  Pour exécuter mes messages,  Et non pas pour me contrôler. ')",-,0.0
"('#mercure', ""Je vous ai dit ce que je pense,  Et c'est à vous d'ouvrir les yeux,  Vous êtes le Maître des Dieux,  Et comme tel exempt de toute dépendance ;  Mais l'Amour vous retient trop longtemps en ces lieux.  Votre séjour doit être dans les Cieux ;  Et pendant une longue absence,  Vos affaires n'y vont pas mieux.  Junon là-haut fait la diablesse à quatre. "")",-,0.0
"('#jupiter', ""En fait-elle moins quand j'y suis ? "")",-,0.0
"('#mercure', ""Le Soleil accablé d'ennuis  De ce qu'avec Vénus Mars a passé deux nuits,  Est contre lui prêt à se battre.  L'Amour s'enivre tous les jours,  Il a chanté pouille à Minerve.  Épris d'une amoureuse verve,  Vulcain danse avec les Amours.  Dans l'Olympe jamais on ne vit tels vacarmes,  Diane est sans pudeur, la Jeunesse est sans charmes ;  Cet étrange dérangement  A gagné jusqu'au Firmament.  La révolte est partout, les Étoiles errantes  Lassées de trop courir veulent se reposer,  Les fixes osent proposer  Que pour les divertir on les rende courantes.  La Lune dans la nuit refuse d'éclairer ;  Momus ennuyé de médire,  Devient Panégyriste et quitte la satire. Les Ris sont tous prêts à pleurer ;  Et Jupiter ne songe ici qu'à folâtrer,  À faire le galant, à soupirer, à rire. "")",-,0.0
"('#jupiter', ""Je vois bien qu'il est temps de n'y plus demeurer :  Quelque charmant objet qui m'y retienne,  Il faudra que sur moi je prenne  Pour un temps de m'en séparer. "")",-,0.0
"('#mercure', ""C'est bien dit, faisons diligence,  Le temps nous presse. "")",-,0.0
"('#jupiter', ""Oh ! Patience,  Le désordre là-haut facile à réparer,  Un seul moment de ma présence  Dans l'ordre fera tout rentrer.  Mais ici je te puis parler en confidence,  Je crains quelque accident de pire conséquence. "")",-,0.0
"('#mercure', ""Hâtez-vous donc de me le déclarer ;  Dans vos sec rets en conscience,  Sans votre aveu je n'ose pénétrer. "")",-,0.0
"('#jupiter', 'Du plus charmant objet qui soit dans la nature,  Tu sais bien que je suis épris. ')",-,0.0
"('#mercure', ""Hé ! N'ai-je pas, moi-même, embarqué l'aventure ?  Mais un peu trop longtemps cette passion dure,  Et c'est de quoi je suis surpris. "")",-,0.0
"('#jupiter', 'Ma constance étonne Mercure ? ')",-,0.0
"('#mercure', ""Très fort même, je vous assure.  Prompt à vous laisser enflammer  Par le mérite des mortelles,  Je vous ai vu pour vous en faire aimer,  Prendre mille formes nouvelles ;  Mais au bout de quelques instants,  En Amant bien sensé vous faisiez mieux les choses :  Et chez vous les Métamorphoses,  Aussi bien que l'Amour ne duraient pas longtemps. "")",-,0.0
"('#jupiter', ""L'Amour ne me portait qu'une légère atteinte,  J'étais alors plus libertin qu'amant,  Et d'un trop long déguisement  J'évitais ainsi la contrainte.  Je me suis fait, serpent, cygne, taureau,  Mais honteux de telle figure,  Je me hâtais de brusque l'aventure,  Et ne changeais d'objet que pour changer de peau. "")",-,0.0
"('#mercure', ""Aujourd'hui dans celle où vous êtes,  Vous vous aimez bien mieux apparemment,  Et le plaisir que vous vous faites  De n'en sortir que lentement. "")",-,0.0
"('#jupiter', ""Je t'en fais le juge, toi-même,  Pour plaire à la beauté que j'aime,  En riche partisan je me suis travesti,  Malepeste, le bon parti !  Aux Dieux même il doit faire envie.  Je n'ai jamais rien fait de plus sage en ma vie.  À peine me suis-je montré  L'oeil brillant, le teint frais, la bourse bien garnie,  Avec moi Plutus est entré,  Les ris, les jeux nous faisaient compagnie :  Quelques moments après chacun s'est retiré.  Auprès de l'aimable bergère,  Presque seul je suis demeuré.  Une tante vieillotte, et qui lui sert de mère,  Fort bonne personne à mon gré,  Avec nous seulement pour la forme est restée. "")",-,0.0
"('#mercure', ""À tâcher de vous rendre heureux  La tante ne s'est point prêtée ? "")",-,0.0
"('#jupiter', ""Oh ! Que si fait, d'abord j'ai déclaré mes feux  Aux genoux de l'aimable nièce,  J'ai fait le soupirant, le pasteur langoureux :  Aux succès de tant de tendresse  La tante m'a paru d'abord s'intéresser ;  Moi, par égards, par politesse,  Je n'ai point voulu trop presser. "")",-,0.0
"('#mercure', 'Je ne vous connais plus, vous devenez tout autre ;  Sur un tel changement il faut se récrier ;  La tante a bien fait son métier,  Mais vous avez mal fait le vôtre. ')",-,0.0
"('#jupiter', ""Je veux un peu goûter le plaisir d'être Amant :  Autrefois de mainte Maîtresse  J'ai triomphé trop aisément ;  C'est un bonheur pour moi tout nouveau, tout charmant  D'aimer avec délicatesse. "")",-,0.0
"('#mercure', ""Vous filez le parfait amour  Auprès d'une beauté de tout point accomplie,  Et dans les plus beaux lieux qui soient en Thessalie,  Ayant fixé votre séjour,  Tout vous plaît, rien ne vous ennuie ;  Et vous vous promettez qu'un jour  Vous règnerez dans le coeur de la belle. "")",-,0.0
"('#jupiter', 'Ai-je jamais fait de cruelle ? ')",-,0.0
"('#mercure', ""Tôt ou tard vous serez content ;  Mais enfin sûr d'être aimé d'elle,  Que craignez-vous en la quittant ? "")",-,0.0
"('#jupiter', ""Qu'un autre ne le soit autant ;  C'est peu d'en être aimé, je la voudrais fidèle ;  Et c'est un point très important,  Pour moi qui veux être constant. "")",-,0.0
"('#mercure', 'Faunus vient. ')",-,0.0
"('#jupiter', 'Que veut-il ? ')",-,0.0
"('#faunus', ""Dans la forêt prochaine,  Seigneur, Junon sans suite et toute hors d'haleine,  Du Ciel en ce moment ici vient d'arriver. "")",-,0.0
"('#mercure', 'Voilà de quoi nous achever. ')",-,0.0
"('#jupiter', 'Le fâcheux contretemps ! ')",-,0.0
"('#faunus', ""Je la crois informée  Des raisons qui vous font demeurer parmi nous ;  Elle paraît diablement animée,  Et ce sera bien fait d'éviter son courroux. "")",-,0.0
"('#jupiter', ""Je sens à dire vrai, ma tendresse alarmée,  De la savoir si près d'ici. "")",-,0.0
"('#mercure', ""J'en suis pour vous fort inquiet aussi. "")",-,0.0
"('#faunus', ""Pour l'objet de votre tendresse,  Seigneur, n'ayez aucun souci,  Je doute qu'elle la connaisse ;  Comus, Plutus, Mercure et moi,  Sommes seuls de la confidence,  Et tous quatre, comme je crois,  Avons su garder le silence. "")",-,0.0
"('#jupiter', ""Puisque ma femme est en ces lieux,  C'est pour m'en éloigner une raison puissante. "")",-,0.0
"('#mercure', 'Et tout-à-fait déterminante :  Nous allons donc partir pour retourner aux Cieux. ')",-,0.0
"('#jupiter', ""Vole, part le premier, Mercure,  Et dans le céleste séjour,  Dépêche-toi d'annoncer mon retour,  Je te suivrai dans l'instant, je te jure.  Mercure s'envole."")",-,0.0
"('#faunus', ""Ce départ semble vous fâcher.  Laissez-moi faire, allez, sur ce qui vous regarde  J'aurai soin de veiller, que rien ne vous retarde. "")",-,0.0
"('#jupiter', ""Observe l'objet qui m'est cher,  C'est un dépôt que je te donne en garde. "")",-,0.0
"('#faunus', 'Junon aura beau la chercher. ')",-,0.0
"('#jupiter', ""Je sens en m'éloignant à quoi je me hasarde,  À d'autres qu'à Junon il faudra la cacher,  De quelque feu secret je la crois prévenue. "")",-,0.0
"('#faunus', 'Je vous réponds de la garder à vue. ')",-,0.0
"('#jupiter', ""En maîtresse d'homme important,  Attendant mon retour, je prétends qu'on la traite.  Je veux… "")",-,0.0
"('#faunus', ""Parlez, c'est une affaire faite. "")",-,0.0
"('#jupiter', ""Qu'elle ait Maître d'Hôtel, Écuyer, Intendant,  Force Valets, grand équipage. "")",-,0.0
"('#faunus', 'Pour une fille simple, élevée au village,  Dans le grand monde depuis peu ;  Voilà bien du fracas. ')",-,0.0
"('#jupiter', 'Grande chère et beau feu,  Je le veux. ')",-,0.0
"('#faunus', 'Soit, vous êtes bon et sage. ')",-,0.0
"('#jupiter', ""J'en ferais moins si je n'étais qu'un Dieu,  Mais comme homme en crédit, parbleu,  Il en faut faire davantage,  Afin de mieux cacher mon jeu. "")",-,0.0
"('#faunus', ""J'aperçois votre belle. "")",-,0.0
"('#jupiter', 'Il faut lui dire adieu ;  Car je ne puis lui cacher mon voyage. ')",-,0.0
"('#corine', ""Aujourd'hui de ces lieux on dit que vous partez,  Quelle raison vous en écarte ? "")",-,0.0
"('#jupiter', ""Oui, Corine, il faut que je parte,  Ici l'Amour et vous, en vain vous m'arrêtez. "")",-,0.0
"('#corine', ""L'amour sans mon aveu se sert de ma puissance,  S'il prend soin de vous arrêter. "")",-,0.0
"('#jupiter', ""Quand vous ne me marquez que de l'indifférence,  Dois-je un seul moment hésiter  À bannir de votre présence  Un amant dont l'ardeur vous gêne et vous offense,  Et que votre fierté s'obstine à maltraiter ? "")",-,0.0
"('#corine', ""Malgré les plus doux soins, la plus longue constance,  N'attendez jamais de moi  Ni faiblesse, ni complaisance.  Vous ne pourriez jamais vaincre ma résistance,  En m'offrant même votre foi. "")",-,0.0
"('#jupiter', ""Vous changerez d'humeur et de langage ;  Nous autres gens du plus sublime étage,  Sommes-nous donc des épouseurs ?  Rayez cela de vos papiers, d'ailleurs  L'hymen est moins charmant qu'un tendre badinage ;  Certains engagements ne nous sont point permis :  Qu'un grand Seigneur ait la folie  Se s'engager et faire un bail à vie !  Dans le haut rang où le Ciel nous a mis,  Trop heureuse, qui peut nous avoir pour amis. "")",-,0.0
"('#corine', ""Ces sentiments, ces superbes manières,  Ne trouveront jamais le chemin de mon coeur.  Qui s'estime trop ne plaît guères ;  Chez nous les plus simples Bergères,  N'aiment point les airs de hauteur. "")",-,0.0
"('#jupiter', ""Alors, c'est aux amants vulgaires,  À craindre une longue rigueur :  Les soins, les présents, en douceur  Changent le courroux des plus fières,  L'amour succède à la fureur.  Nous trouvons tous les jours cent maîtresses pour une,  Et nous devons notre bonheur  À l'amour moins qu'à la fortune.  Attendez-moi dans ce charmant séjour,  Et comptez que de mon retour, Je prendrai soin de hâter la journée. "")",-,0.0
"('#corine', ""De la fortune et de l'amour,  N'attendez rien même avec l'hyménée ;  Cherchez en voyageant quelque autre objet. "")",-,0.0
"('#jupiter', ""Hé bien !  Je ne veux point ici disputer davantage,  Et ne m'offense point de vous trouver trop sage ;  Mais quand je reviendrai, sans m'engager à rien,  Peut-être pourrons-nous trouver quelque moyen  En habillant l'amour comme le mariage,  De mettre votre honneur d'accord avec le mien.  Tu vois bien ce que j'appréhende,  Et ce que je te recommande.  À Faunus."")",-,0.0
"('#faunus', 'Cela se devine aisément. ')",-,0.0
"('#jupiter', 'Adieu mon cher, adieu charmante. ')",-,0.0
"('#corine', ""Jusqu'au revoir. "")",-,0.0
"('#faunus', ""L'absence d'un amant  Va vous rendre ici peu contente. "")",-,0.0
"('#corine', 'Je ne me livre pas aux chagrins aisément. ')",-,0.0
"('#faunus', 'Nous avons à peu près même tempérament ;  Quand le moindre ennui se présente,  Je le bannis dès le moment.  Quelque part où je sois point de mélancolie,  Je me livre avec joie aux plaisirs les plus doux.  Votre amant part, il fait une folie,  Vous voilà seule, à quoi nous divertirons-nous ? ')",-,0.0
"('#corine', ""À ce qu'il vous plaira. "")",-,0.0
"('#faunus', ""Mais avec votre suite :  Car pour recevoir de visite,  Néant ; à l'empêcher, je me suis engagé. "")",-,0.0
"('#corine', ""C'est donc vous que de ma conduite,  En s'éloignant on a chargé. "")",-,0.0
"('#faunus', ""Justement, c'est l'emploi que j'ai,  Trouvez bon que je m'en acquitte. "")",-,0.0
"('#corine', ""Quand moi-même j'aurais pris soin de vous choisir,  Je n'aurais pu mieux faire ; un homme de mérite,  Qui n'aime qu'à faire plaisir. "")",-,0.0
"('#faunus', ""Oui, c'est mon seul objet, mon unique désir. "")",-,0.0
"('#corine', ""Dans l'état où je suis réduite,  Une tendre pitié doit vous intéresser. "")",-,0.0
"('#faunus', ""Comment donc ! Que dois-je penser ?  Quel trouble soudain vous agite ?  Vous que le départ d'un amant  Vient de toucher si faiblement ? "")",-,0.0
"('#corine', ""L'absence d'un amant me gêne,  Je m'en défendrais vainement ;  C'est ce qui fait toute ma peine. "")",-,0.0
"('#faunus', ""Ce n'est donc pas apparemment  Celui qui part en ce moment. "")",-,0.0
"('#corine', ""Sans vouloir chercher à connaître  L'amant à qui les Dieux ont soumis ma fierté,  Laissez-moi m'affranchir de ma captivité :  Souffrez que de ces lieux je puisse disparaître,  Ce sera servir votre maître  Que de me rendre la liberté. "")",-,0.0
"('#faunus', 'Par tous vos beaux discours je ne suis point tenté. ')",-,0.0
"('#corine', ""Vous êtes insensible aux douleurs d'une amante ? "")",-,0.0
"('#faunus', ""M'en laisser émouvoir serait trop hasarder,  Sans adieu. Voilà votre tante,  Je m'en vais redoubler mes soins pour vous garder. "")",-,0.0
"('#corine', ""Je perds tous les soins que je tente,  Mérope vient, elle sait mes secrets,  Et n'est point dans mes intérêts. "")",-,0.0
"('#junon', ""Qu'avez-vous, ma chère Corine ?  Je vous trouve rêveuse, inquiète, chagrine.  Pourquoi d'un riche Amant méprisez-vous les voeux ?  Votre fierté déjà l'écarte de ces lieux,  On dit qu'un autre objet l'enchaîne. "")",-,0.0
"('#corine', ""Hé ! Pourquoi s'éloigner ! Sans me faire de peine  Il pouvait l'aimer à mes yeux. "")",-,0.0
"('#junon', 'Vous êtes donc pour lui bien peu sensible ? ')",-,0.0
"('#corine', ""On ne peut l'être moins, ma tante, assurément. "")",-,0.0
"('#junon', 'Comment, ma nièce, est-il possible ?  Il vous aime si tendrement :  Il a tant de bien en partage,  Il vous en fera part si libéralement ? ')",-,0.0
"('#corine', ""Ah ! Qu'il en fasse un autre usage.  Ses offres, ses présents, de sa part tout m'outrage.  C'est assez qu'il ait cru pouvoir impunément  M'adresser un indigne hommage,  Sans craindre mon ressentiment. "")",-,0.0
"('#junon', 'Si de retour de son voyage,  Il vous venait sincèrement  Vous demander en mariage,  Le refuseriez-vous, ma nièce ? ')",-,0.0
"('#corine', 'Absolument. ')",-,0.0
"('#junon', ""Dans l'espoir même du veuvage ? "")",-,0.0
"('#corine', ""Dût-il ne vivre qu'un moment. "")",-,0.0
"('#junon', ""Que je te sais bon gré d'un pareil mouvement !  Et quelle joie est égale à la mienne !  Dans ces bons sentiments que le Ciel t'entretienne.  Approche-toi. Viens çà. Que cet embrassement  De tes chagrins te récompense.  Il faudra pendant son absence  Faire tous nos efforts pour nous sauver d'ici. "")",-,0.0
"('#corine', ""Qu'heureusement enfin je retrouve ma tante :  C'est là l'unique espoir qui flatte mon attente. "")",-,0.0
"('#junon', ""C'est le plus grand bonheur dont je me flatte aussi. "")",-,0.0
"('#corine', ""Mais comment pourrons-nous assurer notre fuite ?  Ma chère tante, où sommes-nous ?  Des inconnus en ces lieux m'ont conduite  Malgré moi, presque malgré vous.  Ce séjour est-il prêt ? Est-il loin de Larisse ? En nous sauvant, où fuir ? Où nous cacher ?  Quel asile irons-nous chercher ? "")",-,0.0
"('#junon', ""Que notre dessein réussisse,  Je te réponds d'un asile assuré. "")",-,0.0
"('#corine', ""Nous n'y serons jamais assez tôt à mon gré. "")",-,0.0
"('#junon', ""Avant qu'il soit peu je t'y mène. "")",-,0.0
"('#corine', 'Ma tante, verrons-nous Philène ? ')",-,0.0
"('#junon', ""Philène ? Il est jeune et charmant,  J'aime à te voir l'aimer si tendrement. "")",-,0.0
"('#corine', ""Que mon absence lui fait peine !  Hélas ! Ma tante, en ce moment,  Peut-être me croit-il volage.  Son coeur souffre un cruel tourment.  Il faut que mon retour au plutôt le soulage.  Aux Autels de l'Amour nous avons fait serment  De nous aimer fidèlement.  Nous nous sommes donné nos portraits pour otage  D'un mutuel attachement.  Accordez-nous votre suffrage,  Et rendez heureux cet Amant. "")",-,0.0
"('#junon', ""Je réponds de l'événement,  Va m'attendre dans ce bocage. "")",-,0.0
"('#corine', 'Je compte sur vous, ma tante, absolument. ')",-,0.0
"('#junon', ""Enfin sous ce déguisement  Ma rivale me croit sa tante.  Je sais son secret sentiment :  Junon, tu dois être contente ;  Et ton perfide époux n'a point touché son coeur.  Elle est pourtant la victime innocente  D'une trop vive et jalouse fureur,  Si Bacchus à propos ne m'avait avertie,  Que ni lui ni l'Amour n'étaient de la partie.  Jupiter et l'Amour sont brouillés, que je crois.  Assez souvent ensemble ils ont querelle :  Profitons-en, l'occasion est belle.  Pour l'engager à travailler pour moi,  Approchez, Amour. "")",-,0.0
"('#l-amour', 'Ciel ! Est-ce Junon ? ')",-,0.0
"('#junon', ""C'est elle. "")",-,0.0
"('#l-amour', 'Dans cet équipage nouveau,  Pardonnez, si pour vous connaître,  Il a fallu quitter tout-à-fait mon bandeau.  Sous ce déguisement qui vous force à paraître ?  Pourquoi vous travestir ainsi ? ')",-,0.0
"('#junon', ""De la tante de Corine  J'ai pris l'habillement, la figure et la mine,  Afin de m'introduire ici ;  Et cependant d'abord vous m'avez reconnue. "")",-,0.0
"('#l-amour', ""Je ne suis pas si aveugle que l'on dit ;  Sans le bandeau j'ai bonne vue,  Avec le bandeau bon esprit. "")",-,0.0
"('#junon', ""J'ai, sans en avoir fait aucune expérience,  Très bonne opinion de votre habileté.  Mais que vois-je avec vous ? N'est-ce pas l'Inconstance ? "")",-,0.0
"('#l-amour', ""Elle ne m'a que rarement quitté,  Non plus que sa soeur la Folie. "")",-,0.0
"('#junon', 'Vous menez avec vous fort bonne compagnie. ')",-,0.0
"('#l-amour', ""Lui plaire est notre unique loi :  Nous le servons avec un zèle extrême :  Nous sommes les soutiens de son pouvoir suprême,  Ma soeur conseille, et j'exécute, moi. "")",-,0.0
"('#junon', ""Il a vraiment en vous deux excellents ministres.  Après cela je ne m'étonne pas  De tant d'événements sinistres  Qu'on voit là-haut comme ici-bas. "")",-,0.0
"('#l-inconstance', ""Doucement, s'il vous plaît, Déesse ;  Gardez de la mettre en courroux.  Dans le soin qui vous intéresse,  Vous pourriez bien avoir besoin de nous. "")",-,0.0
"('#junon', ""Oui, de vous, il est vrai, vous m'êtes nécessaire ;  Mais l'Inconstance ici pourrait me déranger,  À peu de frais elle peut m'obliger,  En ne se mêlant point du tout de cette affaire. "")",-,0.0
"('#l-inconstance', ""Dans cette occasion il faudrait m'engager,  Pour le moins, Déesse à me taire.  Et quand de votre Époux vous voulez vous venger,  Votre projet a besoin du mystère. "")",-,0.0
"('#l-amour', ""Il faut faire encor plus, si vous me voulez plaire,  Corine aime un jeune Berger,  Le Berger aime la Bergère.  Gardez de les faire changer ;  Respecter l'ordre que je donne :  N'approchez jamais de leur coeur,  Exécutez à la rigueur  Tout ce que l'Amour vous ordonne. "")",-,0.0
"('#l-inconstance', 'Vous serez obéi, Seigneur. ')",-,0.0
"('#l-amour', ""Voyez à vous servir combien je m'intéresse,  J'en fais mon plaisir le plus doux.  Cependant à parler franchement entre nous,  Nous nous connaissons peu, Déesse,  Et je n'ai presque point eu d'affaire avec vous. "")",-,0.0
"('#junon', ""Presque point ? Retranchez, de grâce,  Ce terme-là de vos discours,  Il n'est point du tout à sa place.  Est-il quelque vertu que la mienne n'efface ?  Je n'ai jamais fréquenté les Amours. "")",-,0.0
"('#l-amour', 'Vous avez perdu de beaux jours. ')",-,0.0
