,chevalier-amours-de-calotin,chevalier-barbons-amoureux,Cost,Operation Type
25,"('#le-baron', ""Et moi je ne crains pas en ce lieu de la voir Et s'il faut par hasard que quelque auteur la fasse, Elle ne sera pas exposée à ma face, Puisque si nous n'allons, vous, ni moi, qu'en ces lieux, Nous ne nous verrons point taquiner à nos yeux. La comédie ici me paraît aussi bonne ; Ils la font aussi bien et ne raillent personne ; Si bien qu'on la peut voir sans se mortifier."")",,1.0,Insertion
26,"('#le-marquis', ""On m'a parlé pourtant d'un certain Chevalier, Qui parfois dans ses vers."")","('#lucidor', ""Ah ! Mon cher Ragotin, que l'amour me tourmente. "")",1.64,Substitution
27,"('#le-baron', ""Il se mêle d'écrire, Mais on ne le voit point mêler de la satire ; Il ne drape personne en tout ce qu'il écrit."")",,1.0,Insertion
28,"('#le-marquis', ""C'est donc assurément qu'il n'en a pas l'esprit; Car sois certain, Baron, que s'il le pouvait faire, Il le ferait, sachant que c'est ce qui sait plaire."")","('#ragotin', ""Monsieur, je crois plutôt que le Diable vous tente,  Depuis que votre Aminte enfin vous a parlé,  Vous êtes plus chagrin qu'un homme ensorcelé :  Vous ne sauriez durer un seul moment en place,  Vous allez devenir plus sec qu'une carcasse,  Et votre Ragotin plus maigre qu'un hareng ;  Monsieur, ne courons plus en Chevalier errant,  Demeurons en repos, j'aime aussi bien qu'un autre ;  Mais courir sans manger, il y va trop du nôtre : Encor alors qu'on a bien dîné, bien dormi,  On peut faire l'amour lors en diable et demi ;  Faites-le donc ainsi, c'est la belle manière,  Sinon nous nous voyons à notre heure dernière,  Nous allons trépasser, il n'est rien plus certain,  Car vous mourez d'amour, et moi je meurs de faim. "")",0.79,Substitution
29,"('#le-chevalier', ""Une chaise, l'ami ; commence-t-on bientôt ?"")",,1.0,Insertion
30,"('#le-portier', ""Sans chaise vous pouvez vous placer comme il faut ; Vous avez là des bancs où l'on est à son aise."")",,1.0,Insertion
31,"('#le-chevalier', ""Et moi je n'en veux point, qu'on me donne une chaise."")",,1.0,Insertion
32,"('#le-portier', ""L'on y va. De l'argent, Monsieur, car je m'en vais."")",,1.0,Insertion
33,"('#le-chevalier', 'Tu te railles, mon cher, je ne paye jamais ; Apprends à me connaître.')","('#lucidor', ""Est-on jamais gourmant... mais j'aperçois mon père,  Entrons, je t'instruirai de ce qu'il faudra faire. "")",0.73,Substitution
34,"('#le-portier', ""Hé bien, avant qu'on sorte~ Si vous ne me payez, que le diable m'emporte."")",,1.0,Insertion
35,"('#le-chevalier', 'Ah ! Marquis, te voilà.')","('#boniface', ""Amour, jeune insolent, petit enfant brutal,  Qui m'embrases le coeur ainsi qu'un arsenal,  Tu ranimes mon corps d'une naissante flamme,  Pourquoi venir encor t'emparer de mon âme ?  À mon âge, amoureux ! C'est sur le tard Jacquet ;  Eh quoi, ne suis-je pas un vieillard guilleret ? Portrait : de belle humeur ? De bonne compagnie ?  Qui peut donc empêcher que je ne me marie ?  Puis-je pas être encor par l'amour enchaîné,  Beau comme Cupidon ? Mais enfin c'est l'aîné,  Car je ne puis passer, quoi que je puisse faire,  Pour autre que l'aîné, si je ne suis son père ;  De sorte que j'ai beau paraître goguenard,  Je ne passerai plus que pour un vieux pénard ;  Si faut-il toutefois que dans ce jour je harpe,  L'objet qui m'a ravi, mais le vois Policarpe,  Que diable pourrait-il venir chercher ici ? "")",1.17,Substitution
36,"('#le-marquis', ""C'est donc toi, Chevalier ; Et que faisais-tu là ?"")",,1.0,Insertion
37,"('#le-chevalier', ""Ce faquin de portier Qui se met en courroux, qui tempête et qui peste, De ce que j'ai voulu sur l'heure avoir mon reste : Hé, n'est-ce pas assez lorsque l'on paye bien ?"")","('#policarpe', ""Amour, pourquoi viens-tu me donner du souci ?  Qui t'oblige, dis-moi, d'être si téméraire,  De me venir chercher ? Mais quel remède y faire ?  Ce n'est pas d'aujourd'hui que l'amour nous apprend  Qu'il n'épargne non plus le petit que le grand,  Puisqu'il est assuré qu'aussi bien il attrape,  Le vieillard que le jeune, et qu'aucun n'en échappe,  Je me console donc de m'en voir accablé ;  Me voilà, Dieu merci, pris comme dans un blé,  Et si je ne sais pas si ce qui m'a su prendre,  Aura bien la bonté de me vouloir entendre,  Boniface, qui peut vous amener ici ? "")",0.41,Substitution
38,"('#le-marquis', ""Rend-on le reste ici lorsqu'on ne donne rien ?"")",,1.0,Insertion
39,"('#le-chevalier', 'Quoi, rien! il est content.')","('#boniface', ""C'est mon amour, et vous."")",1.61,Substitution
40,"('#le-baron', ""Je crois qu'il le peut être, Si c'est payer, que dire : Apprends à me connaître."")","('#policarpe', ""Et c'est le mien aussi."")",1.54,Substitution
41,"('#le-chevalier', ""Ah ! C'est toi, cher Baron, hé qui te croyait là ?"")","('#boniface', 'Vous êtes amoureux, ô mon cher Policarpe ? ')",1.62,Substitution
42,"('#le-baron', ""Moi, je m'y crois sans doute, et puisque m'y voilà, Bonjour."")","('#policarpe', ""L'amour nage en mon corps, comme dans l'eau la carpe."")",1.63,Substitution
43,,"('#boniface', 'Et moi, ce même amour dont je suis prisonnier,  Me trotte au corps aussi comme rats au grenier.')",1.0,Deletion
44,"('#le-marquis', 'Que fis-tu hier ?')","('#policarpe', 'Vous aimez donc bien fort ? ')",1.57,Substitution
45,"('#le-chevalier', ""Sombre et mélancolique, Pour me déchagriner, je fus voir la critique, Où je trouvai moyen de chasser mon ennui. Ce diable de Molière entraîne tout chez lui, Tout y crevait de peuple, et fort peu, je t'assure, Se purent exempter des traits de sa censure ; Il critiqua tous ceux qui l'avaient critiqué, Et se moqua de qui de lui s'était moqué. Ceux qui s'étaient raillé de l'Ecole des femmes, Se voyaient là chanter fort joliment leurs gammes. Quelqu'un de l'assemblée en paraissait content, Mais bien d'autres aussi riaient en enrageant ; Et tel criait tout haut que c'était des merveilles, Qui s'entendait dauber de façons sans pareilles. Moi qui n'en avais dit jamais ni bien, ni mal, J'envisageais cela d'un plaisir sans égal, Voyant que les objets d'une telle satire Ne savaient s'ils devaient ou se fâcher, ou rire. Ce qui plus me charma, c'est qu'en ces entretiens Il berna les auteurs, et les comédiens, Et je les voyais là faire fort bon visage, Quoi qu'au fond de leur âme ils fussent pleins de rage. Admirez cependant comme quoi cet esprit Sait nous amadouer alors qu'il nous aigrit : Pour nous montrer combien son adresse est extrême, Nous donnèrent en suivant dans le tarte à la crème ; Afin que si quelqu'un s'en était mutiné, On vit que le berneur lui-même était berné : De sorte que chacun voyant son industrie, Tourna, quoique fâché, tout en galanterie, Et demeura d'accord, que pour plaire aujourd'hui, Il faut être Molière, ou faire comme lui."")","('#boniface', 'Fort comme tous les diables.  Et vous, comme aimez-vous ? ')",1.56,Substitution
46,"('#le-marquis', 'Ah ! Comte, je te vois.')","('#policarpe', 'Mes ardeurs sont semblables. ')",1.75,Substitution
47,,"('#boniface', 'Nous voilà donc tous deux amoureux comme il faut. ')",1.0,Deletion
48,"('#le-comte', ""Ici je me transporte Pour te voir, ayant vu ta calèche à la porte, Si bien que je pourrai, contentant mon désir, Du divertissement prendre encor le plaisir. Mais avant qu'on commence ici la comédie, Il faut que je te conte une histoire jolie, Dont Molière à causé la conversation, Et digne assurément de ton attention. Dernièrement étant à la contre-critique, Je reçus là, Marquis, un plaisir angélique. Comme de notre peintre on faisait le Portrait, Et que l'on le croyait tirer là trait pour trait, Tu sauras que lui-même en cette conjoncture Était présent alors que l'on fit sa peinture ; De sorte que ce fut un charme sans égal, De voir et la copie, et son original. On prit par tous endroits son École des femmes, Où pour la critiquer, quelqu'une de ces dames Alla dans ce moment appliquer tout son choix À l'endroit de la soupe où l'on trempe les doigts ; Puis de là ces Messieurs, d'une satire extrême, Donnèrent en suivant dans la Tarte à la crème ; Et le plus enjoué qu'ils drapèrent après, Ce fut celui du Le, ce charmant Le d'Agnès. Quoi n'est-ce pas malice à nulle autre seconde, D'oser blâmer ce Le, ce délice du monde ? Ce n'est pas encor tout, ils blâmèrent l'auteur Des pièces dont il a réveillé l'auditeur, Et de cette façon dont Alain et Georgette S'appellent l'un et l'autre, et que drapa le poète. Ce qui fut plus plaisant, c'est qu'un certain d'entre eux Dit que la pièce était un poème sérieux ; Que bien loin que ce fut une pièce comique, Qu'il ne s'en pouvait voir aucune plus tragique : Les autres de ce point ne restant pas d'accord, Il leur dit là-dessus: Le petit chat est mort, Et soutient hautement que c'était tragédie, Puisque le petit chat avait perdu la vie. Ayant de notre peintre attaqué la vertu, Quelqu'un lui demanda : Molière, qu'en dis-tu Lui répondit d'abord, de son ton agréable : Admirable, morbleu ! du dernier admirable ; Et je me trouve là tellement bien tiré, Qu'avant qu'il soit huit jours, certes, j'y répondrai."")","('#policarpe', ""L'amour n'a point encor produit un feu si chaud. "")",1.51,Substitution
49,"('#le-baron', ""Mais l'on m'a dit à moi, qu'il fit à quelques dames La réponse qu'il fait à l'École des femmes, Lorsqu'il n'en riait pas assez à leur avis, Il leur dit : Moi j'en ris tout autant que je puis."")","('#guillot', 'Voici le mois de Mai que les Ânes hennissent,  Car je crois que je vois deux qui se divertissent. ')",1.04,Substitution
50,"('#le-comte', ""Tu sauras que depuis cet illustre Molière Les a tous ajustés de la bonne manière, Et cet esprit en soi qui n'a rien que de haut, A su tailler beaucoup de besogne à Boursault."")","('#boniface', ""Partons, j'entends quelqu'un qui nous pourrait troubler. "")",1.54,Substitution
51,,"('#policarpe', 'Cherchons quelque autre endroit où nous pouvoir parler. Ils sortent et Guillot demeure seul.')",1.0,Deletion
52,"('#le-chevalier', ""Moi, je sais bien où tend toute cette satire, Ces Messieurs n'ont dessein que de nous faire rire, Et quand vous les voyez se faire à qui pis pis, Ce n'est que pour avoir notre demi-louis."")","('#guillot', ""Comment donc ces vieux fous, cadets à barbe blanche,  Veulent tâter d'amour encore quelque tranche !  C'est bien à vous, ma foi, trop débiles Bardons,  De vous amouracher, froids comme des glaçons.  Ah ! Monsieur Policarpe, et monsieur Boniface,  Pour de l'amour, je crois que l'on vous en fricasse.  Cessez donc vos ardeurs, car il est peu d'objets,  Qui veuillent s'enrôler avec de tels cadets.  Et qui diable seraient les pauvres créatures,  Qui se voudraient charger de vos vieilles fressures,  Celles qui vous auraient feraient tous leurs efforts  À vous faire passer promptement chez les morts.  Messieurs les Roquentins, si vous m'en voulez croire,  Loin de faire l'amour, amusez-vous à boire :  Le bon vin, ce dit-on, est le lait des vieillards  Buvez-en votre saoul, plutôt qu'être cornards,  Car un vieillard qui prend une jeune fillette,  De syndic de cocus une charge il achète.  Le vieillard pourrait-il jamais s'en exempter,  Si le jeune homme même a peine à l'éviter ?  Non, demeurons d'accord dans cette conjoncture,  Que quiconque en échappe, est aimé de Nature. "")",0.13,Substitution
53,"('#le-portier', 'Monsieur, un gentilhomme est là qui vous demande.')",,1.0,Insertion
54,"('#le-comte', ""Marquis, pour lui parier il faut que je descende : Si je ne pouvais pas revenir en ce lieu, Je prends congé de toi jusqu'à ce soir."")",,1.0,Insertion
55,"('#le-marquis', 'Adieu.')","('#ragotin', 'Serviteur. ')",0.4,Substitution
56,"('#le-baron', 'Puisque quand il vous joue, il fait tant de merveilles, Sans doute il vous plairait, vous coupant les oreilles. Ah ! Pauvres abusés.')",,1.0,Insertion
57,"('#le-chevalier', 'Quoi ! Ne fait-il pas bien ?')",,1.0,Insertion
58,"('#le-marquis', ""Dessus cet obstiné tu ne gagneras rien ; Car en tout et partout Molière il désapprouve, Et périra plutôt que chez lui l'on le trouve."")","('#guillot', ""Dieu te gard, qui t'amène en ce lieu ? "")",1.45,Substitution
59,"('#le-chevalier', ""D'où vient que tu te veux ce plaisir dérober ?"")","('#ragotin', ""Désires-tu l'apprendre ? "")",0.73,Substitution
60,"('#le-baron', ""C'est que je n'aime pas à m'entendre dauber. Entendez-vous, Messieurs ? Finissons ce langage."")",,1.0,Insertion
61,"('#le-chevalier', ""Nous n'en parlerons pas, cher Baron, davantage; Suffit que nous sachions que cela te déplaît. La pièce d'aujourd'hui sais-tu point quelle elle est, Et quel en est l'auteur ?"")","('#guillot', ""Et je t'en prie. "")",1.57,Substitution
62,"('#le-baron', 'Chevalier.')","('#ragotin', 'Adieu.')",0.3,Substitution
63,"('#le-chevalier', 'Sans scandale, Je crois que cet auteur est un auteur de balle.')",,1.0,Insertion
64,"('#le-baron', 'Si ton opinion te le fait croire ainsi, Dis-moi, que prétends-tu venir chercher ici ?')","('#guillot', ""D'où vient que tu t'en vas quand je te le demande ? "")",0.3,Substitution
65,"('#le-chevalier', ""Ayant vu dans l'affiche une pièce nouvelle, Je viens voir ce que c'est."")",,1.0,Insertion
66,"('#le-baron', 'Elle peut être belle, Et nous bien divertir.')","('#ragotin', 'Ta curiosité paraît un peu trop grande ;  Et pourquoi me viens-tu questionner ainsi ? ')",1.22,Substitution
67,"('#le-marquis', ""Je n'en crois rien ; ma foi."")","('#guillot', 'Pour savoir ton dessein. ')",1.4,Substitution
68,"('#le-chevalier', 'Pour une comédie, hors Molière, crois-moy.')","('#ragotin', 'Tu prends trop de souci,  De quoi te mêles-tu ? ')",1.22,Substitution
69,"('#le-baron', ""Voilà de nos Messieurs dont l'âme prévenue Blâme une comédie avant que l'avoir vue. Si d'une de Molière on vous donnait l'espoir, Vous la croiriez fort belle, avant que de la voir."")",,1.0,Insertion
70,"('#le-marquis', 'On le peut, ayant vu de lui des coups de maître.')",,1.0,Insertion
71,"('#le-baron', ""Mais ne blâmez donc rien sans l'avoir vu paraître. Cet auteur n'a-t-il pas un esprit comme lui ? Et ne vous peut-il pas faire voir aujourd'hui, Quand sans sujet sur lui votre blâme se porte, Que vous ôtes des fous de parler de la sorte ?"")",,1.0,Insertion
72,"('#le-marquis', ""Comme il n'a pas encor de réputation, Ne peut-on pas errer dedans l'opinion ?"")",,1.0,Insertion
73,"('#le-baron', ""N'allez donc pas si vite où votre sens abonde."")",,1.0,Insertion
74,"('#le-chevalier', ""Mais je crois qu'ils auront aujourd'hui quelque monde, Voyant que l'on se fait plusieurs places garder."")",,1.0,Insertion
75,"('#le-marquis', 'Mais pour qui pourrait-ce être ?')","('#guillot', 'De ce que je désire. ')",1.1,Substitution
76,"('#le-baron', 'Il le faut demander. Laquais, dis-nous pour qui tu gardes cette place ?')","('#ragotin', 'Tu crois donc que je sois un homme à te le dire ? ')",0.79,Substitution
77,"('#le-laquais', ""Messieurs, c'est pour Monsieur_le_Baron de la Crasse."")",,1.0,Insertion
78,"('#le-chevalier', 'Quoi celui qui se sut si bien tondre à la Cour ?')",,1.0,Insertion
79,"('#le-laquais', 'Lui-même.')",,1.0,Insertion
80,"('#le-marquis', 'Chevalier, nous rirons en ce jour. Et celle-la, pour qui ?')","('#guillot', 'Oui, je le crois sans doute. ')",1.1,Substitution
81,"('#un-autre-laquais', 'Pour Monsieur de la Souche.')",,1.0,Insertion
82,"('#le-baron', 'Pour rire tout ton saoul, prépare-toi, ma bouche. Et ces deux autres là ? Nous allons voir beau jeu.')","('#ragotin', ""Et moi je n'en crois rien.  Tu le veux donc savoir ? "")",1.04,Substitution
83,"('#le-laquais', ""C'est pour Madame_la_Comtesse de Beaulieu, Et puis pour Monsieur_le_Marquis de Mascarille, Qui l'amène en ces lieux à cause de sa fille."")",,1.0,Insertion
84,"('#le-baron-de-la-crasse', ""Villeneuve, quelqu'un ?"")",,1.0,Insertion
85,"('#le-marquis-de-mascarille', ""Holà ! L'ami Clément ?  Ouvre-nous notre loge."")",,1.0,Insertion
86,"('#clement', 'Oui, tout présentement.')","('#guillot', 'Oui, je le voudrais bien. ')",0.88,Substitution
87,"('#le-baron-de-la-crasse', 'Dis-moi, la comédie est-elle commencée ?')","('#ragotin', ""Apprends-moi donc aussi le sujet qui t'amène. "")",1.0,Substitution
88,"('#clement', 'Non pas encor, Monsieur.')",,1.0,Insertion
89,"('#le-marquis-de-mascarille', 'Vous vous estes pressée; Madame, de venir, mais quoi, nous y voici.')",,1.0,Insertion
90,"('#la-comtesse', ""Si l'on nous fait languir, que ferons-nous ici ? Justes Dieux quel chagrin."")","('#guillot', ""Le dirai-je à deux fois, ou bien tout d'une haleine ? "")",1.52,Substitution
91,"('#le-baron-de-la-crasse', ""Cessez d'être alarmées, Les chandelles déjà sont toutes aHumées, Et l'on va commencer dans un petit moment."")",,1.0,Insertion
92,"('#le-baron', 'Nous vous attendions tous fort impatiemment, Madame_la_Comtesse.')",,1.0,Insertion
93,"('#le-chevalier', 'Ah ! Baron de la Crasse.')",,1.0,Insertion
94,"('#le-baron-de-la-crasse', ""Marquis de Mascarille, il faut que je t'embrasse."")","('#ragotin', ""Comme tu le voudras, je suis prêt d'écouter. "")",0.94,Substitution
95,"('#le-chevalier', ""Mais qui te croyait voir en ce lieu de retour, Après tous les serments qu'on te vis faire un jour ; Qu'on ne te reverrait à la Cour de ta vie ?"")","('#guillot', 'Et moi, je ne suis pas prêt à te le conter ;  Car en te le disant, je te ferais trop aise. ')",1.0,Substitution
96,"('#le-baron-de-la-crasse', 'Je ne viens en ces lieux que pour la comédie ; Pour la Cour, serviteur.')","('#ragotin', ""Selon, si ce n'est point chose qui me déplaise ;  Mais que peut-ce être encor ? "")",0.87,Substitution
