,racine-thebaide,rotrou-antigone,Cost,Operation Type
10,,"('#eteocle', ""Madame, tout va mal, et dans cette retraite La victoire est commune, ou plutôt la défaite : Le sort est bien égal, il se déclare tard, Et beaucoup sont à dore et d'une et d'autre part."")",1.0,Deletion
11,"('#eteocle', ""Madame qu'avez-vous ! et quel trouble..."")","('#jocaste', 'Maudite ambition ! Abominable peste ! Monstre altéré de sans, que ton fruit est funeste !')",0.89,Substitution
12,"('#jocaste', ""Ah ! mon fils, Quelles traces de sang vois-je sur vos habits ?  Est-ce du sang d'un frère, ou n'est-ce point du vôtre ?"")",,1.0,Insertion
13,"('#eteocle', ""Non, Madame, ce n'est ni de l'un ni de l'autre. Dans son camp jusqu'ici Polynice arrêté, Pour combattre à mes yeux ne s'est point présenté. D'Argiens seulement une troupe hardie  M'a voulu de nos murs disputer la sortie.  J'ai fait mordre la poudre à ces audacieux, Et leur sang est celui qui paraît à vos yeux."")","('#eteocle', ""Sur le désir des miens mon trône se soutient Je lui cédais l'État, mais l'État ma retient ; J'étais prêt à quitter le sceptre qu'on lui nie ; Le peuple aime mon règne et craint sa tyrannie : Je le possède aussi moins que je ne le sers ; Les honneurs qu'il me rend sont d'honorables fers. Au reste, un fondement reste à notre espérance, Si l'oracle rendu nous tient lieu d'assurance ; Thèbes lors jouira d'un paisible repos, Quand les dents du Python la semence dernière Satisfera pour tous et perdra la lumière. Telle est l'arrêt des dieux."")",0.36,Substitution
14,"('#jocaste', 'Mais que prétendiez-vous ? et quelle ardeur soudaine Vous a fait tout_à_coup descendre dans la plaine ? ')","('#creon', 'Ô rigoureuse loi !')",1.51,Substitution
15,"('#eteocle', ""Madame, il était temps que j'en usasse ainsi, Et je perdais ma gloire à demeurer ici. Le peuple à qui la faim se faisait déjà craindre, De mon peu de vigueur commençait à se plaindre,  Me reprochant déjà qu'il m'avait couronné,  Et que j'occupais mal le rang qu'il m'a donné. Il le faut satisfaire ; et quoi qu'il en arrive, Thèbes dès aujourd'hui ne sera plus captive, Je veux, en n'y laissant aucun de mes soldats,  Qu'elle soit seulement juge de nos combats :  J'ai des forces assez pour tenir la campagne, Et si quelque bonheur nos armes accompagne, L'insolent Polynice et ses fiers alliés Laisseront Thèbes libre, ou mourront à mes pieds. "")","('#eteocle', ""Le jeune Ménécée a pris ces mots sur soi : Se voyant comme il est dernier de sa race, Sur qui par conséquent tombait cette disgrâce, Il s'est soustrait de nous, et du haut de la tour, Ravi que son malheur nous prouvât son amour, Et porté d'une ardeur à nulle autre seconde, S'est immolé lui-même aux yeux de tout le monde. Heureux certes cent fois qui meurt si glorieux, Et qui se pourra seul dire victorieux !"")",0.35,Substitution
16,"('#jocaste', ""Vous pourriez d'un tel sang, ô ciel ! souiller vos armes ?  La couronne pour vous a-t-elle tant de charmes ? Si par un parricide il la fallait gagner, Ah ! mon fils, à ce prix voudriez-vous régner ? Mais il ne tient qu'à vous si l'honneur vous anime,  De nous donner la paix, sans le secours d'un crime,  Et de votre courroux triomphant aujourd'hui Contenter votre frère, et régner avec lui."")","('#creon', ""Mais plus heureux encore à qui sa mort profite Et qui se couvrira des lauriers qu'il mérite ! Quelle haine des dieux jette le sort sur lui, Et le fait trébucher pour soutenir autrui ? Fausses divinités, êtres imaginaires, Beaux abus des esprits, immortelles chimères, Que vous a fait mon sang pour vous être immolé ? Quel droit de la nature avons-nous violé ? Ai-je, autre Oedipe, entré dans le lit de ma mère ? Lui suis-je époux et fils ? Mon fils fut-il mon frère ? Voilà que les surgeons d'un sang incestueux Portent le diadème, et vous êtes pour eux ! Nous, vous nous destinez, innocentes victimes, À périr pour leur gloire et payer pour leur crimes !"")",0.0,Match
17,"('#eteocle', 'Appelez-vous régner partager ma couronne, Et céder lâchement ce que mon droit me donne ? ')","('#jocaste', 'Ô reproche honteux, que renouvelles-tu ? Assez sans toi le sort exerce ma vertu.')",1.04,Substitution
18,"('#jocaste', ""Vous le savez, mon fils, la justice et le sang  Lui donnent comme à vous sa part à ce haut rang. OEdipe en achevant sa triste destinée Ordonna que chacun régnerait son année, Et n'ayant qu'un État à mettre sous vos lois,  Voulut que tour à tour vous fussiez tous deux rois.  À ces conditions vous daignâtes souscrire. Le sort vous appela le premier à l'empire, Vous montâtes au trône, il n'en fut point jaloux, Et vous ne voulez pas qu'il y monte après vous ? "")","('#eteocle', ""Je pardonne, Créon, cette plainte insensée Aux récentes douleurs du sort de Ménécée : Je sais qu'un fils qu'on perd afflige vivement ; Mais il faut une borne à ce ressentiment, Ou la peine suivrait un semblable caprice : La guerre des États n'exclut pas la justice, Et n'excuserait pas un outrage pareil. Entrons, et m'assistez d'une heure de conseil. Ils sortent tous, excepté Hémon et Antigone."")",0.48,Substitution
19,"('#eteocle', ""Non, Madame, à l'empire il ne doit plus prétendre :  Thèbes à cet arrêt n'a point voulu se rendre, Et lorsque sur le trône il s'est voulu placer, C'est elle et non pas moi qui l'en a su chasser. Thèbes doit-elle moins redouter sa puissance,  Après avoir six mois senti sa violence ?  Voudrait-elle obéir à ce prince inhumain, Qui vient d'armer contre elle et le fer et la faim ? Prendrait-elle pour roi l'esclave de Mycène, Qui pour tous les Thébains n'a plus que de la haine,  Qui s'est au roi d'Argos indignement soumis,  Et que l'hymen attache à nos fiers ennemis ? Lorsque le roi d'Argos l'a choisi pour son gendre, Il espérait par lui de voir Thèbes en cendre, L'amour eut peu de part à cet hymen honteux,  Et la seule fureur en alluma les feux.  Thèbes m'a couronné pour éviter ses chaînes, Elle s'attend par moi de voir finir ses peines, Il la faut accuser si je manque de foi, Et je suis son captif, je ne suis pas son roi. "")","('#antigone', ""Voyez, mon cher Hémon, comme sa violence Va jusques à l'outrage et jusqu'à l'insolence. J'approuve sa douleur, mais pour quelle raison Lui fait-elle offenser toute notre maison, Et, suivant sans respect sa brutale colère, Troubler jusqu'aux enfers le repos de mon père ? Oedipe, quoi ! Tes yeux par tes mains arrachés, Tes mânes par ta mort de ton corps détachés, Ton sceptre abandonné, tout ton royaume en armes, Tes enfants divisés, nos soupirs et nos larmes, Ne peuvent faire encore qu'un innocent péché Moins de toi que du sort, ne te soit reproché ?"")",0.0,Match
20,"('#jocaste', ""Dites, dites plutôt, coeur ingrat et farouche,  Qu'auprès du diadème il n'est rien qui vous touche. Mais je me trompe encor, ce rang ne vous plaît pas, Et le crime tout seul a pour vous des appas. Hé bien ! puisqu'à ce point vous en êtes avide,  Je vous offre à commettre un double parricide,  Versez le sang d'un frère : et si c'est peu du sien, Je vous invite encore à répandre le mien. Vous n'aurez plus alors d'ennemis à soumettre, D'obstacle à surmonter ni de crime à commettre,  Et n'ayant plus au trône un fâcheux concurrent,  De tous les criminels vous serez le plus grand."")","('#hemon', ""Ce malheur est commun avec notre misère, De rougir comme vous des fautes de mon père, Qui, forçant tout respect, ose bien à vos yeux (Ces astres qui pourraient en imposer aux Dieux) Passer insolemment jusqu'à cette licence ? (L'amour a dérobé ce mot de naissance.) Mais, Madame, mon sens ne s'est point démenti, Et je ne puis tenir pour un mauvais parti, Cet esprit violent, si ma crainte n'est vaine, Pour les siens et pour soi promet beaucoup de peine ; Et je n'ose vous dire une secrète peur Que m'imprime en l'esprit cette mauvaise humeur."")",0.0,Match
21,,"('#antigone', 'Quoi ! Touchant notre hymen ?')",1.0,Deletion
22,"('#eteocle', ""Hé bien, Madame, hé bien, il faut vous satisfaire, Il faut sortir du trône et couronner mon frère : Il faut pour seconder votre injuste projet,  De son roi que j'étais devenir son sujet ;  Et pour vous élever au comble de la joie, Il faut à sa fureur que je me livre en proie, Il faut par mon trépas..."")","('#hemon', ""Ma passion, Madame, M'a bien pu sans sujet mettre ces peurs en l'âme ; Non, un si beau dessein ne peut mal succéder ; Le ciel, qui de sa main daigna nous accorder, Doit faire que l'effet à l'attente réponde ; La première faveur l'oblige à la seconde. De ma part je proteste, en ces divines mains, Qu'au moins je forcerais tous obstacles humains, Et que m'ôter à vous serait une aventure Pour qui je serais sourd à toute la nature ; Que mon père à mes voeux s'opposât mille fois, J'accepterais ce point de ce que je lui dois : Nulle raison d'État, nul respect de couronne, Ne pourraient ébranler la foi que je vous donne ; À toute autorité je fermerais les yeux, Et je ferais beaucoup de respecter les dieux."")",0.0,Match
23,"('#jocaste', ""Ah ciel ! quelle rigueur ! Que vous pénétrez mal dans le fond de mon coeur !  Je ne demande pas que vous quittiez l'empire.  Régnez toujours, mon fils, c'est ce que je désire. Mais si tant de malheurs vous touchent de pitié, Si pour moi votre coeur garde quelque amitié, Et si vous prenez soin de votre gloire même,  Associez un frère à cet honneur suprême ;  Ce n'est qu'un vain éclat qu'il recevra de vous, Votre règne en sera plus puissant et plus doux. Les peuples admirant cette vertu sublime, Voudront toujours pour prince un roi si magnanime,  Et cet illustre effort, loin d'affaiblir vos droits,  Vous rendra le plus juste et le plus grand des rois. Ou s'il faut que mes voeux vous trouvent inflexible, Si la paix à ce prix vous paraît impossible, Et si le diadème a pour vous tant d'attraits,  Au moins consolez-moi de quelque heure de paix.  Accordez cette grâce aux larmes d'une mère. Et cependant, mon fils, j'irai voir votre frère, La pitié dans son âme aura peut-être lieu, Ou du moins pour jamais j'irai lui dire adieu.  Dès ce même moment permettez que je sorte,  J'irai jusqu'à sa tente, et j'irai sans escorte, Par mes justes soupirs j'espère l'émouvoir."")","('#antigone', ""Quoique la même foi que je vous ai donnée Ma permit de parler touchant notre hyménée, L'orage prêt à choir dessus notre maison Me défend ce discours comme hors de saison ; Outre qu'ainsi qu'à vous certaine voix secrète (Comme notre génie est quelquefois prophète) D'une aveugle frayeur tout le sein me remplit, Et me parle bien plus d'un tombeau que d'un lit : Tournons donc nos pensers du côté de l'orage Qui menace l'État d'un si proche naufrage : Ce combat, cher Hémon, au moins s'est-il passé Sans la mort de mon frère, ou sans qu'il soit blessé ?"")",0.36,Substitution
24,"('#eteocle', ""Madame, sans sortir vous le pouvez revoir ; Et si cette entrevue a pour vous tant de charmes,  Il ne tiendra qu'à lui de suspendre nos armes :  Vous pouvez dès cette heure accomplir vos souhaits, Et le faire venir jusque dans ce palais. J'irai plus loin encore, et pour faire connaître, Qu'il a tort en effet de me nommer un traître,  Et que je ne suis pas un tyran odieux,  Que l'on fasse parler et le peuple et les Dieux. Si le peuple y consent, je lui cède ma place. Mais qu'il se rende enfin si le peuple le chasse, Je ne force personne, et j'engage ma foi De laisser aux Thébains à se choisir un roi. "")","('#hemon', ""Madame, c'est ici que je vous ai servie : Polynice est vivant, mais il vous dois la vie. Certes jamais lion, par un autre irrité, Au combat plus ardent ne s'est précipité, Que ce jeune lion, chef des troupes de Grèce, N'a fait voir contre nous de courage te d'adresse. Son coeur payait d'un bras dont les coups furieux À peine s'acquéraient la créance des yeux : Seul il force nos rangs, et de taille et de pointe Ne trouve armet si fort, ni lame si bien jointe, Qu'il ne fasse passage au fer qu'il a poussé, Et ne voie un soldat à ses pieds renversé : Il donne jusqu'à nous, moins effrayé du nombre Que s'il ne combattait ni voyait que son ombre ; Se jette furieux au plus fort du danger, Et prodigue son sang comme un bien étranger : Sous sa main, toujours haute te toujours occupée, Son corps semble à dessein s'offrir à mon épée : Mais, loin d'ors sur lui tenter aucun effort, J'ai paré mille coups qui lui portaient le mort : L'amitié qui vous joint, autant que la naissance,  M'a fait contre vous-même embraser sa défense : Il conserve en sa vie un bien qui vous est dû ; Bien mieux que sa valeur vous l'avez défendu ; Vous étiez son bouclier au milieu des alarmes, Et vous l'avez sauvé, seule, absente et sans armes."")",0.0,Match
25,"('#creon', ""Seigneur, votre sortie a mis tout en alarmes ; Thèbes qui croit vous perdre, est déjà toute en larmes, L'épouvante et l'horreur règnent de toutes parts, Et le peuple effrayé tremble sur ses remparts. "")","('#antigone', ""Hélas ! Joindre sa mort à mon cruel ennui Serait bien, cher Hémon, me tuer plus que lui : À moi bien plus qu'à lui vous rendiez cet office ; Vous sauviez Antigone en sauvant Polynice. En effet, et vos yeux peut-être en sont témoins,  Une étroite amitié de tous temps nous a joints, Qui passe de bien loin cet instinct ordinaire Par qui la soeur s'attache aux intérêts du frère ; Et, si la vérité se peut dire sans fard, Étéocle en mon coeur n'eut jamais tant de part : Quoiqu'un même devoir pour tous deux m'intéresse, J'ai toujours chéri l'autre avec plus de tendresse ; Jamais nos volontés ne faisaient qu'un parti ; Mais je suis toujours même, et lui s'est démenti."")",0.92,Substitution
26,,"('#page', 'Monsieur, on tient conseil, et le roi vous demande.')",1.0,Deletion
27,,"('#hemon', ""Agréez ce devoir qu'il faut que je lui rende."")",1.0,Deletion
28,"('#eteocle', ""Cette vaine frayeur sera bientôt calmée.  Madame, je m'en vais retrouver mon armée, Cependant vous pouvez accomplir vos souhaits, Faire entrer Polynice, et lui parler de paix. Créon, la reine ici commande en mon absence,  Disposez tout le monde à son obéissance,  Laissez pour recevoir et pour donner ses lois,  Votre fils Ménécée, et j'en ai fait le choix. Comme il a de l'honneur autant que de courage, Ce choix aux ennemis ôtera tout ombrage,  Et sa vertu suffit pour les rendre assurés.  Commandez-lui, Madame. Et vous, vous me suivrez. À Créon."")","('#antigone', 'Allez, mais sur tout autre opinez pour la paix ; Et soient vos bons avis suivis de bons effets. Ils sortent.')",0.46,Substitution
29,"('#creon', 'Quoi, Seigneur...')",,1.0,Insertion
30,"('#eteocle', 'Oui, Créon, la chose est résolue.')","('#polynice', ""Reste lâche et honteux de tant de compagnies Que cous vos étendards la Grèce m'a fournies, Et dernier de cent rois en ma faveur armés, Autant et plus que moi pour moi-même animés, Enfin j'ouvre l'oreille au conseil de la rage, Piqué de désespoir bien plus que de courage, Et je viens, mais plus tard que l'honneur n'eût voulu, Vous exposer enfin ce que j'ai résolu : C'est, mon père, un dessein que je devais éclore Lorsqu'aux veines des Grecs le sang bouillait encore : Les mânes indignés de tant de bons soldats Contre ma lâcheté ne murmureraient pas, Et j'aurais épargné tant d'illustres personnes Dont pour me couronner j'ai mis bas les couronnes : Mais puisque cet avis me vient de mon devoir, Quelque tard qu'il arrive, il le faut recevoir ; Et vous trouverez bon que je paye la Grèce Le sang de tant de peuple et de tant de noblesse. Vous avez, quoique sage, en ce commun malheur, (Vous ne témoignez pas votre juste douleur !) Vous avez pris, mon père, en l'intérêt d'un gendre Plus de part en effet que vous ne deviez prendre : C'est moi, chétif, c'est moi qui dedans vos états, Où vous régniez en paix sur tant de potentats, Mauvais hôte, ai porté de ces maudites terres Dessous un front d'amour des semences de guerre : Le flambeau de l'hymen qui allia chez vous  Est le tison fatal qui vous consume tous ; Vous mettez un serpent au sein de votre fille, Qui devait étouffer toute votre famille : J'ai trop, certes, j'ai trop fait voir ma lâcheté Pour tant patience et pour tant de conté : Auteur de tant de maux, je ne veux plus de grâce ; Il est temps, ou jamais, que je vous satisfasse, Et qu'un duel enfin entre mon frère et moi... Qu'avez-vous à pâlir, et d'où naît cet effroi ?"")",1.41,Substitution
31,"('#creon', 'Et vous quittez ainsi la puissance absolue ?')","('#adraste', 'Dieux ! Que proposez-vous ! Quelle horrible aventure !')",1.06,Substitution
32,"('#eteocle', ""Que je la quitte ou non ne vous tourmentez pas ;  Faites ce que j'ordonne, et venez sur mes pas. "")","('#argie', 'Eh ! Monsieur, écoutez la voix de la nature ; Songez quel est le sang que vous voulez verser ; Sans honte et sans frayeur y pouvez-vous penser ?')",0.91,Substitution
33,"('#creon', ""Qu'avez-vous fait, Madame, et par quelle conduite Forcez-vous un vainqueur à prendre ainsi la fuite ? Ce conseil va tout perdre."")","('#polynice', ""La chose est résolue, et la nature même Souscrit à cet arrêt de ma fureur extrême ; Outre qu'elle est muette où parle la raison, Elle ne s'entend pas avec la trahison ; Au contraire, elle enseigne à repousser l'injure, Et condamne surtout la fraude et la parjure. Que doit plus la nature à mon frère qu'à moi, Pour me lier les mains lorsqu'il me rompt sa foi, Et pour vouloir que j'erre et que je me retire, Quand mon année arrive et m'appelle à l'empire ?"")",0.5,Substitution
34,"('#jocaste', 'Il va tout conserver, Et par ce seul conseil Thèbes se peut sauver. ')","('#adraste-', ""Quelle rage, bon dieu, vous occupe le sein ? Ah ! Mon fils, étouffez ce damnable dessein : Si votre ambition ne va qu'à la couronne, Je dépouille pour vous l'éclat qui m'environne ; Venez prendre et donner un paisible repos Sur le trône de Lerne ou sur celui d'Argos : Là, monarque absolu, vous n'aurez point de frère Qui vous rompe de pacte et qui vous soit contraire ; Là, votre épouse et moi, devenus vois sujets, De nos fidèles soins appuierons vos projets ; Et votre autorité n'y sera divisée Par aucune puissance à la vôtre opposée."")",1.23,Substitution
35,"('#creon', ""Hé quoi, Madame, hé quoi, dans l'état où nous sommes,  Lorsqu'avec un renfort de plus de six mille hommes, La fortune promet toute chose aux Thébains, Le roi se laisse ôter la victoire des mains ?"")","('#polynice', ""Non, non, ne point régner, les dieux m'en sont témoins, Est le ressentiment qui le touche le moins, Et jamais ma couronne, entre mes mains remise, N'aurait d'autorité qui ne vous fut soumise. Mais qu'un traître viole avec impunité Le respect de l'accord entre nous arrêté, Et que j'observe après celui de la naissance, Une vertu si lâche excède ma puissance ; Il faut trop de faiblesse à pouvoir l'exercer ; On étouffe aisément qui se laisse presser. Non, ma mère elle-même, au milieu de nos armes ; Ni mes soeurs à mes pieds, les yeux baignés de larmes ; Quelque droit d'Antigone ait dessus mes esprits, Ne détourneraient pas le dessein que j'ai pris ; Ou sa vie ou la mienne, importunes sangsues, Doivent crever du sang dont elles sont repues. M'en reste-t-il à boire, et ne voudriez-vous point  Qu'à ce que j'en ai pris le vôtre encore fût joint ? Tydée, oui de tes jours j'ai la course bornée ; Des tiens, Hypomédon ; et des tiens, Capanée : Par moi, braves héros, sont veuves à la fois Vos femmes de maris, et vos villes de rois ; Et sans confusion je verrais le veuvage ! Non, non, trop de justice à ce devoir m'engage, Et trop de honte est joint à mon retardement. Adieu, vous que mon coeur aima si tendrement, Et que le ciel doué d'une vertu si rare ; Un éternel adieu peut-être nous sépare : Mais montrez votre force à dompter vos douleurs, Et ne l'obligez point à la honte des pleurs. Et vous, sage vieillard, digne d'un autre gendre, Ayez soin que la terre au moins couvre ma cendre, Et m'ouvrez le passage en l'empire des morts, Dérobant aux corbeaux le butin de mon corps : Après pour votre fille employez votre zèle, Trouvez-lui dans le Grèce une parti digne d'elle, Et que cet autre hymen lui puisse être aussi doux  Que le premier fut triste et pour elle et pour vous. Il embrasse Argie. Il sort."")",0.59,Substitution
36,,"('#argie', ""Polynice ! Mon père, arrêtez ce barbare ; Qu'il diffère un moment la mort qu'il me prépare, Et qu'il reçoive au moins l'adieu que je lui dois. Cessez, pleurs et soupirs qui m'étouffer la voix."")",1.0,Deletion
37,"('#jocaste', ""La victoire, Créon, n'est pas toujours si belle,  La honte et les remords vont souvent après elle.  Quand deux frères armés vont s'égorger entre eux, Ne les pas séparer, c'est les perdre tous deux. Peut-on faire au vainqueur une injure plus noire, Que lui laisser gagner une telle victoire ? "")","('#polynice', ""Là, si ton lâche coeur enfin se peut résoudre, Tu laisseras la vie, ou j'y mordrai la poudre, Là, ton sang ou le mien signera nitre foi ; Là, de la main des dieux Thèbes prendra son roi. Sors donc, traître ; l'honneur à ce devoir t'engage : La diligence ici doit prouver le courage, Et, depuis le défi que mes traits t'ont porté, Chaque instant qui se perd marque ta lâcheté. Ah! Qu'un fâcheux devoir de ta ville t'arrache ! Qu'un traître a peu de coeur, et qu'un perfide est lâche ! Quel emploi t'a déjà tant de fois retenu ? Il ne faut point d'apprêt à paraître tout nu."")",0.73,Substitution
38,"('#creon', 'Leur courroux est trop grand...')","('#capitaine-1er', 'En ces effets bien moins de valeur que de rage. La nature, Seigneur, dispense le courage ; Vous auriez plus de coeur si vous en aviez moins.')",1.03,Substitution
39,"('#jocaste', 'Il peut être adouci. ')",,1.0,Insertion
40,"('#creon', 'Tous deux veulent régner.')",,1.0,Insertion
41,"('#jocaste', 'Ils régneront aussi.')","('#polynice', 'Laissez juger aux dieux, ne soyez que témoins.')",1.31,Substitution
42,"('#creon', ""On ne partage point la grandeur souveraine ; Et ce n'est pas un bien qu'on quitte et qu'on reprenne."")","('#antigone', ""Polynice, avancez, portez ici la vue ; Souffrez qu'après un an votre soeur vous salue. Malheureuse, eh ! Pourquoi ne le puis-je autrement ? Quel destin entre nous met cet éloignement ? Après un si long temps la soeur revoit son frère, Et ne lui peut donner le salut ordinaire ; Un seul embrassement ne vous est pas permis ; Nous parlons séparés comme deux ennemis : Eh ! Mon frère, à quoi bon cet appareil de guerre ? À quoi ces pavillons sur votre propre terre ? Contre quel ennemi vous êtes-vous armé ? Ne trembleriez-vous pas si je l'avais nommé ? Accordez quelque chose à la loi naturelle : Le soleil s'est caché pour semblable querelle. Vous vous plaignez, armez et frappez à la fois : Est-ce de la façon qu'on demande ses droits ? Était-il d'un bon frère et d'un prince modeste De paraître d'abord en cet état funeste, Et de fouler aux pieds, sur un simple refus, Tout respect de nature et ne l'écouter plus ? Mon frère, au nom des dieux protecteurs de la Grèce, Car vers eux maintenant votre zèle s'adresse, Et vous n'en gardez plus pour les dieux des Thébains ; Au nom d'Argie encor, que j'aime et que le plains, Voyant qu'on lui prépare un si proche veuvage : Au nom d'Adraste enfin domptez ce grand courage ; Ne vous acquérez pas, par votre dureté, Un renom odieux à la postérité. Ô nature, toi-même à toi-même contraire, Vois que le fer en main un frère attend son frère. Cruel, eh ! Quel effet prétend votre courroux ? Du quel que le sang coule il coulera de vous ; L'un ne le veut verser sans la perte de l'autre ; En répandant le sien vous répandrez le vôtre ; Il ne diffère point, ce n'est qu'un même sang Que vous avez puisé dedans un même flanc."")",1.18,Substitution
43,"('#jocaste', ""L'intérêt de l'État leur servira de loi. "")",,1.0,Insertion
