,cadet-gassicourt-souper-de-moliere,chazet-dubois-moliere-chez-ninon,Cost,Operation Type
14,"('#lulli', ""Qu'as-tu donc ?  Tu parais animée. "")","('#chapelle', 'Quelques desseins ? Madame, ah ! disposez de nous. ')",1.09,Substitution
15,"('#laforet', ""C'est que, voyez-vous, nous disputions nous deux, Antoine, pour savoir qu'est-ce qui était le plus habile de Monsieur Molière ou de Monsieur Despreaux, et nous sommes convenus de nous en rapporter à vous."")","('#ninon', 'Êtes-vous libres ? ')",1.63,Substitution
16,"('#mignard', ""La question n'est pas aisée à résoudre."")",,1.0,Insertion
17,"('#lulli', ""Sur le sommet du Parnasse,  Ou siège le dieu des arts,  La gloire a plus d'une place ;  Elle offre d'égales parts.  Dans le gente satyrique  Despréaux est sans rival,  Et sur la scène comique  Molière n'a point d'égal. Pourquoi ? AIR : En revenant de la ville. "")",,1.0,Insertion
18,"('#laforet', ""Eh bien !  Nous voilà d'accord.  Je vais voir Madelon, et nous reviendrons ensemble remercier votre maître...  Sans adieu."")",,1.0,Insertion
19,"('#lulli', 'Te troublerai-je en faisant de la musique ?')",,1.0,Insertion
20,"('#mignard', ""Ce fut de la main d'une femme  Que naquit cet art enchanteur ;  L'amour avait mis dans son âme  Un rayon de feu créateur.  Si cet enfant de la tendresse  Quelque jour était oublié,  Ah ! Je sens à ma douce ivresse  Qu'il renaîtrait par l'amitié.  Au contraire, tu m'animeras...  Les arts sont frères, et ne peuvent se nuire. Quel avantage de peindre un homme célèbre !...  Un jour ceux qui n'auront pas eu le bonheur de connaître Molière, me sauront gré de leur avoir transmis son image : peut-être ils m'associeront à sa gloire, et ne diront pas : Voilà Molière !...  Sans ajouter, c'est Mignard qui l'a peint...  Le bel art ! À part, en travaillant. AIR : Les adieux de la mère républicaine, par le C. Piis, "")",,1.0,Insertion
21,"('#lulli', ""Dignus, dignus est intrare  In nostro, in nostro  In nostro docto corporo. Oui, l'air doit être grave... la mesure bien marquée....  Ces médecins dans leur épaisse fourrure ; ces apothicaires dans leur figure blême, enterrée dans une perruque noire.... tout cela marche à pas comptés, et la musique  doit avoir une cadence bien prononcée....  Sol, mi, sol, ut, ut, re, sol, fa....  C'est cela.  AIR : De la marche du Malade imaginaire. "")",,1.0,Insertion
22,"('#mignard', 'Bien, Lulli, très bien. ')","('#un-seigneur', 'Mais.... ')",1.37,Substitution
23,"('#lulli', 'Ma foi, mon ami, soit dit sans vanité, je crois que nous ne nous sommes pas trompés sur notre vocation.')",,1.0,Insertion
24,"('#mignard', ""J'ai mieux connu la mienne que ma famille. "")",,1.0,Insertion
25,"('#lulli', 'Qui voulait te faire médecin ? ')","('#ninon', 'Allons, de la franchise :  Quelque projet galant ? ')",1.48,Substitution
26,"('#laforet', 'Comment donc ?  Médecin !  Ah !  Mon_Dieu. ')",,1.0,Insertion
27,"('#lulli', ""Oui, Laforest : ne l'ai-je pas vu, pendant trois ans, suivre tous les pas d'un fameux docteur.... en us, et faire avec lui toutes les visites, le pauvre garçon!"")",,1.0,Insertion
28,"('#mignard', ""Il me dictait une ordonnance  Près du lit d'un vieux moribond ;  Il nommait cent drogues, je pense,  Afin de paraître profond,  Quand il eut assez fait parade  De ses grands mots, de son savoir,  Il prend mon papier pour le voir....  C'était le portrait du malade.  Ajoutes que j'emportais mes crayons avec moi...  Un jour...  Ah !  L'aventure est digne d'être rapportée...  Un jour...  AIR : Vaudeville des Chasseurs. "")","('#un-seigneur', ""S'il faut que je le dise,  Un certain rendez-vous ..."")",1.21,Substitution
29,,"('#ninon', 'Vous vous y trouverez ? ')",1.0,Deletion
30,"('#lulli', ""Ta vocation t'entraînait."")","('#un-seigneur', 'Mais oui. ')",1.43,Substitution
31,,"('#ninon', 'Mais non...')",1.0,Deletion
32,"('#mignard', 'Toi qui parles tant de vocation, tu as fait à la tienne une petite infidélité. ')",,1.0,Insertion
33,"('#lulli', ""Qui t'a dit cela ?"")","('#un-seigneur', 'Comment ?')",1.36,Substitution
34,,"('#ninon', 'Vous le différerez.')",1.0,Deletion
35,"('#mignard', ""Je le tiens de bonne part, et je vais le confier à Laforêt. ... afin que tout le monde le sache.  Laforêt s'approche."")","('#un-seigneur', 'Nous avons bien promis. ')",1.26,Substitution
36,"('#laforet', 'Vous me croyez donc bien indiscrète.')","('#ninon', ""Manquer à sa promesse  En amour, c'est un jeu... fausse délicatesse ! Je puis compter sur vous pour ce soir, n'est-ce pas ?  Vous hésitez... Vraiment !... Vous vous parlez tout bas ? "")",1.12,Substitution
37,,"('#chapelle', 'Peut-on vous résister ?...')",1.0,Deletion
38,"('#mignard', ""Un adroit et saint confesseur,  Ennemi de la comédie,  Vint lui conter que tout auteur  Brûle à jamais dans l'autre vie.  Lulli, pén2tré, soupira,  Et, dans une frayeur extrême,  Il a brûlé son opéra  Pour n'être pas brûlé lui-même.  Sois-le pour ceci.  Dans sa dernière maladie, il a sacrifié, par dévotion, son nouvel ouvrage.  AIR : Alain était indifférent. "")","('#ninon', ""Eh grands dieux ! Que de peine !  Ce n'est que pour un soir, messieurs, qu'on vous enchaîne."")",1.18,Substitution
39,"('#laforet', ""C'est-il bien possible ! "")","('#chapelle', 'Que ce soit pour la vie ! ')",1.08,Substitution
40,"('#lulli', ""Oui, mes amis, je l'avouerai :  Voyez jusqu'où la peur nous mène ;  À mon confesseur je livrai  Mon opéra de Polixène :  Me croyant certain de mourir,  Je craignais de paraître impie ;  Mais espérant bien en guérir,  J'en avais gardé la copie.  Même air.  Il tire un cahier de sa poche."")","('#ninon', ""Ah ! Le beau sentiment !  Pour la vie !... Achevez ?... Faites vite un serment :  D'un éternel amour donnez-moi l'assurance ;  Moi, je vais vous jurer une égale constance,  Nous mentirons tous deux... Mais c'est trop discourir : Apprenez donc pourquoi je veux vous retenir.  Au théâtre ce soir on donne un bel ouvrage,  Dont le but est moral, le ton vrai, le plan sage,  Dont chaque caractère est neuf et bien tracé,  Un ouvrage, en un mot, bien écrit, bien pensé.  Nous devons ce chef-d'oeuvre à cet auteur facile,  Vrai dans tous ses tableaux, naturel dans son style,  Dont la grâce hardie et la franche gaîté  Sont des titres sacrés à l'immortalité.  Vous le reconnaissez, n'est-ce pas ? "")",0.23,Substitution
41,"('#mignard', 'Bravo !  Lulli ; je te pardonne, mon ami, je te pardonne, et ce soir a souper je veux te réhabiliter. ')","('#tous', ""C'est Molière. "")",1.7,Substitution
42,"('#lulli', ""À souper... ?  Mais à propos, Laforêt, pourquoi tous les apprêts que j'ai vus aujourd'hui ?  Notre ami donnerait-il une fête ? "")","('#ninon', ""Son Tartuffe ce soir est soumis au parterre.  Voilà pourquoi Ninon voulait vous enchaîner.  Hé bien, vous vous laissez aisémeut entraîner ?  Vous quittez sans regret l'amour pour le génîe, Et de tristes ardeurs, pour une comédie.  On a toujours le temps de pousser un soupir,  Et l'on n'a pas toujours un chef-d'oeuvre à loisir.  Enfin, si vingt beautés flattent votre espérance,  Vous n'avez qu'un Molière à fêter dans la France.  Venez , venez ce soir.... Vous savez mes amis,  Que cet illustre auteur a beaucoup d'ennemis  Même à la cour ; il faut, ligués pour sa victoire,  Par de communs efforts , favoriser sa gloire. Croyez- moi : du Tartuffe en protégeant l'essor,  À la postérité nous gardons un trésor. "")",1.16,Substitution
43,"('#laforet', ""Sans doute, et vous l'approuverez. "")","('#un-valet', 'Monsieur de Saint-Alban. ')",1.75,Substitution
44,"('#lulli', ""Que ne me disais-tu cela, j'aurais préparé quelque chose...  Nous allons célébrer sa convalescence ? "")",,1.0,Insertion
45,"('#laforet', 'Nous allons à la noce.')",,1.0,Insertion
46,"('#mignard', 'Comment à la noce ? ')",,1.0,Insertion
47,"('#laforet', 'Molière veut marier Madelon, sa petite jardinière, à Antoine, jardinier de Monsieur Despréaux, notre voisin ; les parents y consentent, et ça sera pour demain. ')",,1.0,Insertion
48,"('#lulli', 'Ainsi donc, dans tous les temps, malade ou non, Molière fait toujours des mariages.')","('#ninon', ""L'ennemi de Molière !"")",0.4,Substitution
49,"('#mignard', ""À ses amants, sur le théâtre,  Pour dot il donne de l'esprit,  Et de son talent idolâtre  L'esprit du public applaudit ;  Mais quand sa rare bienveillance  Enrichit deux coeurs bien épris,  Le sien trouve sa récompense  Dans le coeur de ses vrais amis. Oui ; mais celui-ci ne ressemble pas aux autres.  AIR : Ainsi jadis un grand prophête. "")","('#chapelle', ""Eh quoi ! Du Président l'odieux Secrétaire ! "")",1.14,Substitution
50,"('#lulli', 'Ne vois-je point les deux futurs ? ')","('#ninon', ""Je ne l'attendais pas et je tremble..."")",1.38,Substitution
51,"('#laforet', 'Justement. ')","('#chapelle', 'Comment ! ')",0.0,Match
52,"('#mignard', 'Gentille Madelon, recevez mon compliment.')","('#ninon', ""Cet homme qui sait feindre un zèle si fervent  Est un saint imposteur dont la visite cache  Un but inquiétant. Vous savez qu'il s'attache  À perdre dans l'esprit du premier Président  Molière, et du Tartuffe est l'ennemi puissant.  Je l'entends... Vous saurez tout ce qu'il va m'apprendre ;  Au théâtre, ce soir, songez tous à vous rendre. "")",1.65,Substitution
53,,"('#chapelle', ""Oui Ninon ; voir Tartuffe, et céder à vos voeux ,  Au lieu d'un seul plaisir, c'est en rencontrer deux.  Il sort avec les deux seigneurs."")",1.0,Deletion
54,"('#madelon', 'Grand merci, Monsieur. ')","('#saint-alban', ""Un motif important auprès de vous m'amène. Madame. "")",0.61,Substitution
55,"('#lulli', ""C'est aujourd'hui le jour du bonheur !..."")",,1.0,Insertion
56,"('#madelon', ""Oui.  J'venons en témoigner notre reconnaissance à qui nous l'devons. "")","('#ninon', 'Je le crois, veuillez prendre la peine...')",1.31,Substitution
57,"('#lulli', ""Et lui présenter des fleurs, tribut ordinaire d'un jardinier. "")",,1.0,Insertion
58,"('#antoine', ""Jardinier n'est pas mon titre,  Le mien m'fais bien plus d'honneur :  Mon maître, dans une épître,  M'appelle son gouverneur.  Et pour que chacun y pense,  Aux plus bell' roses d'Auteuil,  J'mêle toujours d'préférence  Le p'tit brin de chèvrefeuille. Dites mieux, Monsieur Lulli.  AIR : Ce mouchoir, belle Raimonde.  Il prend un bouquet."")","('#saint-alban', ""Non madame, deux mots : et je pars à l'instant.  En vous Molière eucor trouve un appui constant,  M'a-t'on dit ? "")",1.31,Substitution
59,"('#mignard', 'Comment diable, Antoine, tu lis ton maître ? ')",,1.0,Insertion
60,"('#antoine', ""Sans doute, puisqu'il m'écrit."")","('#ninon', 'Il est vrai. ')",1.11,Substitution
61,"('#madelon', 'Monsieur Molière est sûrement dans sa chambre...  Viens ? ')",,1.0,Insertion
62,"('#laforet', 'Mes bons amis, Molière repose....  Vous ne voudriez pas.... ')","('#saint-alban', ""Vous l'avouez sans crainte. "")",1.45,Substitution
63,"('#antoine', 'Oh !  Non : Dieu nous garde de le troubler !  Un homme qui fait tant de bien quand il veille, doit être tranquille quand il dort.')",,1.0,Insertion
64,"('#mignard', ""Antoine est digne d'un bienfait, puisqu'il sait le sentir.  Qu'il serait à souhaiter que tout le monde connût Molière comme nous le connaissons. "")","('#ninon', 'Molière est mon ami, je le redis sans feinte...')",1.32,Substitution
65,"('#laforet', ""L'un prétend qu'il n'a pas de mérite,  L'autre dit qu'il a mauvaises moeurs,  Un autre cont'lui sollicite  Pour soutenir de plats auteurs ;  Mais se moquant d'la calomnie,  À tous leurs cris i'n répond rien :  Molièr', qui s'montre aux coups de l'envie,  Se cache pour faire le bien.  Eh !  Comment voulez-vous qu'on le connaisse ?  On invente tant de choses contre lui.  AIR : Vaudeville de l'Officier de fortune. "")","('#saint-alban', ""Quel ami ! Savez-vous quel complot odieux  Il invente aujourd'hui pour tromper tous les yeux ? "")",0.85,Substitution
66,"('#lulli', ""Cette semaine il a encore fait une belle action, que vous ignorez, j'en suis sûr."")","('#ninon', ""J'ignore tout ; parlez ?.... "")",1.29,Substitution
67,,"('#saint-alban', 'Je vais en confidence  Vous révéler ce trait ; de votre confiance  Vous verrez que cet homme est indigne à jamais. ')",1.0,Deletion
68,"('#madelon', 'Ah !  De grâce, racontez-nous-là. ')","('#ninon', 'Mais, monsieur, parlez donc ? ')",0.44,Substitution
69,"('#lulli', 'Bien volontiers.  - Un pauvre comédien, ancien camarade de Molière, vint, il y a trois jours, demander des secours pour gagner sa province...  Baron était ici.  - Combien, dit Molière, faut-il lui donner ?  - Mais, répond Baron, quatre pistoles suffiront.  — Quatre pistoles.... soit ; tenez, vous les lui remettrez pour moi ; mais en voici vingt que vous lui donnerez pour vous, et il joignit à ce présent un habit magnifique. ')","('#saint-alban', ""Connaissez ses forfaits.  Vous savez qu'il répand que notre grand Monarque  Qui, trop faible parfois, lui donna quelque marque  D'une folle amitié, permet formellement  Que l'on joue à Paris Tartuffe... "")",0.63,Substitution
70,"('#antoine', 'Que de générosité !')",,1.0,Insertion
71,"('#mignard', 'Quelle sublime leçon ! ')","('#ninon', 'Eh bien ? ')",1.11,Substitution
72,"('#laforet', ""Vous ne savez que cela, Monsieur Lully ?  Bon !  Le lendemain ce fut bien autre chose.  Un jeune homme de dix-neuf ans, nommé Racine, avait remis a Molière un poème pour avoir son avis.  L'ouvrage était mauvais...  Il me l'a lu.  — Mais Molière vit que le jeune homme pouvait mieux faire...  Aussi, en rendant le poème, il y cacha cent louis, et le plan d'une tragédie. "")","('#saint-alban', ""Il ment.  Moi-même, ainsi que vous, j'ai donné dans le piège :  Mais je connais enfin son coupable manège.  Par le courrier de Lille, à l'instant on m'écrit  Que, par le Roi, l'ouvrage est défendu, proscrit.  Vous voyez de quel tour Molière était capable !  Cessez de recevoir un homme si capable  Qui pour mieux insulter les soutiens de la foi,  Osait nous déguiser la volonté du Roi. "")",0.23,Substitution
73,"('#mignard', ""Si Racine est célèbre un jour, et cela pourrait bien être, il se rappellera sans doute que c'est à Molière qu'il doit ses premiers encouragements. "")","('#ninon', ""Non, Monsieur, je connais et j'estime Molière.  On veut le perdre ; mais la ruse est trop grossière.  L'ordre est vrai, bien donné ; le Tartuffe est permis ;  Mais cet ordre est verbal : de méchants ennemis  Le révoquent en doute et refusent d'y croire.  Molière est innocent ; je l'aime et j'en fais gloire.  Chez moi, vous le verrez à toute heure, en tout temps.  J'admire sa bonté, ses vertus, ses talents. "")",0.49,Substitution
74,"('#antoine', ""Madelon, il me vient une idée.  Ne déposons pas ces fleurs dans son cabinet, comme c'était notre intention : faisons mieux. Il parle bas à Madelon."")",,1.0,Insertion
75,"('#madelon', 'Tu as raison, mon ami.... Ils tressent des fleurs.')",,1.0,Insertion
76,"('#mignard', ""C'est lui ! C'est lui !  Dites-moi, mes enfants, ai-je bien réussi ?  AIR : Il est, il est, il est toujours le même. "")",,1.0,Insertion
77,"('#antoine', ""Vraiment c'est bien lui-même :  Joyeuse humeur."")","('#saint-alban', 'Sa bonté ! Quand sa plume injurie et déchire :  Ses vertus ! Quand son coeur pour mille attraits soupire :  Ses talents !... ')",0.97,Substitution
78,"('#madelon', ""Et c'tair plein de douceur."")",,1.0,Insertion
79,"('#antoine', 'On devine son coeur,  Ce coeur que chacun aime.')","('#ninon', ""C'est assez ; partout ils sont connus.  Ainsi, parlons plutôt de ses torts prétendus.  Dans le Tartuffe enfin , que pouvez-vous reprendre ? "")",1.63,Substitution
80,"('#madelon', 'Sa bouche me sourit.')",,1.0,Insertion
81,"('#lulli', ""Ses yeux sont pleins d'esprit. "")","('#saint-alban', ""Ce que j'y reprends ? Dieux ! Mais faut-il vous l'apprendre ?  Contre les vrais croyants, ses traits et ses bons mots..."")",1.47,Substitution
82,"('#tous', ""C'est lui ! C'est lui ! Vraiment c'est bien lui-même !"")",,1.0,Insertion
83,"('#lulli', ""Il n'y a rien à désirer ; vérité, chaleur, dessin pur...  Mignard !  Tu me prouves par-là qu'on ne devrait donner qu'au vrai talent le droit de peindre le génie. "")","('#ninon', ""Vous vous trompez : bien loin d'attaquer les dévots,  À la religion il offre son génie  Pour armer la raison contre l'hypocrisie.  Saint-Alban, revenez de votre injuste erreur :  Jugez-mieux de Molière et surtout de son coeur ;  Gardez-vous d'imiter cette foule insensée  Qui veut tuer l'esprit, enchaîner la pensée :  Devenez de Molière et le guide et l'appui :  Laissez, laissez jouer son ouvrage aujourd'hui,  Et songez que partout à bon droit on renomme  Celui qui s'avoua protecteur d'un grand homme. "")",0.53,Substitution
84,"('#laforet', ""On dirait qu'il va parler."")",,1.0,Insertion
85,"('#madelon', 'En voyant son image, je sens mieux encore ma reconnaissance, et je voudrais avoir un peu de son esprit pour la lui exprimer. ')","('#saint-alban', ""Non Madame, Tartuffe est un enfant mort-né  Qui, dès ce jour, doit être à l'oubli condamné.  Le Président le veut : votre ardente prière ,  Celle des courtisans et de la France entière  Ne me fléchiraient pas ; Tartuffe est au tombeau. "")",1.41,Substitution
86,"('#lulli', 'Le grand écrivain !')",,1.0,Insertion
87,"('#antoine', 'Quelle bienfaisance !')",,1.0,Insertion
88,"('#mignard', ""Reçois le prix mérité  Qu'aujourd'hui l'amitié te donne.  Quelle réunion de tous les talents !  De toutes les vertus ! Ah !  Je le vois !  L'admiration, l'amitié, la reconnaissance n'ont ici qu'une même pensée...  Il prend une couronne dans le panier d'Antoine. Ils se groupent autour du portrait, le couronnent et y attachent des guirlandes. AIR : Jeunes amants, cueillez des fleurs. "")","('#ninon', ""Vous croyez ? Son succès n'en sera pas moins beau.  Vainement vous voulez qu'il meure, qu'on l'oublie ; Car moi je ferai tout pour le rendre à la vie.  Oui, je veux lui donner un éclat mérité.  Sur d'illustres amis en tout temps j'ai compté ;  Je vais les réunir, et dans nn cercle immense  Que l'on pourra nommer l'Elite de la France,  Molière viendra lire avec empressement  Cet ouvrage immortel que 1'intrigne défend. "")",0.43,Substitution
89,"('#lulli', 'Prévenons la postérité  Qui déjà tresse sa couronne. ')","('#saint-alban', 'Quoi ? ')",1.54,Substitution
90,"('#tous', ""Couvrons des plus aimables fleurs,  Ornons son image chérie :  Puisse le sort, par ses faveurs,  En répandre ainsi sur sa vie.  Pendant le couplet, Molière, en robe de chambre, entre en rêvant. Il s'arrête dans le fond du théâtre, et contemple cette scène avec sensibilité."")","('#ninon', ""Pour les rassembler, je vole leur écrire.  Ce soir ici venez, et vous entendrez lire  Molière ; pour Théâtre, il aura ce Salon,  Et l'un aura joué Tartuffe chez Ninon. "")",0.35,Substitution
91,"('#moliere', ""Mes amis !  Mes enfants !  Votre attachement vous égare.  Est-ce ainsi qu'on doit idolâtrer les hommes ?  Quelle erreur ! Mais elle est douce pour moi. J'ai reçu les faveurs de la fortune, quelquefois celles de la gloire...  Elles ne valent pas celles de l'amitié.  — Eh bien! Antoine, le jour de ton bonheur est-il enfin fixé ?  Pourrais-je....  Avec satisfaction."")","('#saint-alban', ""Ah ! Vous voulez braver l'antorité suprême,  Belle Ninon ! Craignez que mon courroux extrême....  Mais elle assemblera quelques hommes puissants  Contre qui tous mes droits seront insuffisants.  Tartuffe sera lu ; dès ce soir le grand monde  Redira chaque vers, chaque mot qui nous fronde.  À la ville, à la Cour, nous serons bafoués,  Malgré notre pouvoir, publiquement joués...  Ah ! Maudits soient Tartuffe, et Ninon, et Molière ! Et puisse des auteurs, la race toute entière...  Mais cherchons les moyens d'empêcher que ce soir...  Laforêt entre."")",0.79,Substitution
92,"('#antoine', ""Pour que vous en soyez le témoin, le père de Madelon consent à ce que la cérémonie ait lieu demain, et nous venons vous prier d'assister au serment mutuel que nous avons tant de plaisir à faire. "")","('#laforet', ""Mademoiselle Ninon... Je désirons la voir Ben vite... Je venons de la part de notr' maître  Luii dire que... Monsieur?... Va-t-elle bentôt paraître ?  C'est que c'est du la part d'un auteur son ami  De Molière, "")",1.07,Substitution
93,,"('#saint-alban', 'Molière ! En vérité...')",1.0,Deletion
94,,"('#laforet', ""Mais oui,  Et c'est moi que partout on nomme sa servante. "")",1.0,Deletion
95,"('#lulli', 'Dis donc à renouveler, car vous vous aimez depuis longtemps.')","('#saint-alban', ""C'est vous dont le public depuis si longtemps vante  Les conseils que parfois vous donnez ?"")",1.13,Substitution
96,"('#madelon', ""Oui, messieurs, de sa tendresse  J'ai reçu le doux serment ;  Mais cette aimable promesse  Peut s'entendre à tout moment. AIR : On dit que le mariage. "")","('#laforet', ""Oui monsieur.  C'est moi que chaque jour, sauf un avis meilleur,  Mon cher maître consulte avant que ses ouvrages  Reçoivent du public de beaux et bons suffrages. "")",1.2,Substitution
97,,"('#saint-alban', ""Je re m'étonne plus s'ils sont aussi mauvais. "")",1.0,Deletion
98,"('#lulli', ""Sans qu'ici je te l'expose,  Tu sauras, bientôt, je crois,  Qu'amour fait plus d'une chose  Qu'il aime à faire deux fois. "")","('#laforet', ""Mauvais ! Vous voudriez, j'gage, les avoir faits. "")",1.13,Substitution
99,,"('#saint-alban', 'Grands Dieux ! ')",1.0,Deletion
100,"('#antoine', 'Votre présence sera bien agréable pour nous. ')","('#laforet', 'Je regrettons que sa dernière pièce  Soit arrêtée... Oh ! Dam ! Quel plaisir ! Quelle ivresse.  Elle eut causé ce soir !... Un maudit Saint-Alban...  Qui mène comme il veut monsieur le Président. ')",1.44,Substitution
101,"('#moliere', ""J'espère bien aussi présider à votre noce ; mais, mon ami, ne compte pas sur moi pour l'église."")",,1.0,Insertion
102,"('#antoine', 'Comment! ')","('#saint-alban', 'Comment ?... ')",0.28,Substitution
103,,"('#laforet', ""Ce Saint-Alban dévot, ou qui sait l'faire ,  En secret, a dit-on , embrouillé cette affaire  Si ben que notr' Tartuffe au moment d'etr'connu ,  Peut-être dans l'oubli, pour jamais est perdu. "")",1.0,Deletion
104,"('#madelon', 'Et... pourquoi ?')","('#saint-alban', ""C'est dommage !..."")",1.16,Substitution
105,"('#moliere', 'Ignorez-vous, mes enfanTs, que je suis excommunié ? ')","('#laforet', ""C'était une pièce de mérite !  Dans la France, il n'est pas un petit hypocrite  Qui n'eut dit : Mais c'est moi... L'on prétend, je l'croyons,  Que monsieur Saint-Alban pour de pareill' raisons  L'a fait défendre exprès ; il a cru se r'connaître....  Entre nous, convenons que çà pourrait ben être.  On voit dans cette pièce un homme ben cafard.  Sensuel par nature et dévôt avec art,  Qui contemplant ensemble, et le Ciel et les femmes,  Garde pour lui les corps et donne à Dieu les âmes.  Mais pour se vendre ainsi, que cet homme est donc sot !  On n'l'eut pas reconnu peut-êtr' s'il n'eut dit mot.  Voilà comme souvent, par abus de puissance,  Contre lui plus d'un Grand éveill' la médisance,  Et ressemble au voleur qui sur le mot : coquin  Se croyant appellé, s'empresse de dire : Hein. "")",1.52,Substitution
106,"('#antoine', 'Excommunié !')","('#saint-alban', 'Ma mie... ')",1.41,Substitution
107,"('#madelon', ""Qu'est-ce que c'est que ça."")",,1.0,Insertion
108,"('#mignard', ""Ce que c'est !...  Tous les ans, ma chère, le pape défend l'entrée de l'église aux rats, aux sorciers, aux sauterelles, au diable et aux comédiens.... à lui surtout."")",,1.0,Insertion
109,"('#madelon', 'Quel mal avez-vous donc fait ? ')","('#laforet', ""Eh qu'avez vous ? "")",0.54,Substitution
110,"('#lulli', 'Quel mal !  Quel mal !  Il a dit.... la vérité.')","('#saint-alban', 'Finissez, je vous prie,  Cette comparaison... ')",1.9,Substitution
111,"('#moliere', ""Partout l'auteur de la nature  Reçoit notre encens et nos voeux,  Et par une conduite pure  Nous saurons bien nous venger d'eux.  Donnons toujours, donnons l'exemple,  Bientôt, plus aimés, mieux connus,  Nous ferons du théâtre un temple  Et de talents et de vertus.  Laissons-là les imprécations des prêtres. AIR : Avec les jeux dans le village. "")","('#laforet', ""C'est un Grand je parie... C'est égal, poursuivons.  Vous êtes loin d' savoir  Le tour qu'à Saint-Aiban mon maîtr' jouera ce soir.  Pour que du Président il perd' la confiance,  Il faut semer entr'eux la mésintelligence.  Il faut qu'à Saint-Alban le Président demain  Reproche avec humeur ce manèg' clandestin.  Notre moyen est sûr.  Haut."")",0.55,Substitution
112,,"('#saint-alban', 'Voyons donc ce miracle ? ')",1.0,Deletion
