moliere-bourgeois-gentilhomme,quinault-fetes-amour-bacchus,Score
"('#le-maitre-de-musique', ""Vous recevez fort bien pourtant l'argent que notre homme vous donne."")",-,0.0
"('#le-maitre-a-danser', ""Assurément ; mais je n'en fais pas tout mon bonheur, et je voudrais qu'avec son bien, il eût encore quelque bon goût des choses."")",-,0.0
"('#le-maitre-de-musique', ""Je le voudrais aussi, et c'est à quoi nous travaillons tous deux autant que nous pouvons.  Mais, en tout cas il nous donne moyen de nous faire connaître dans le monde ; et il payera pour les autres, ce que les autres loueront pour lui."")",-,0.0
"('#le-maitre-a-danser', 'Le voilà qui vient. ')",-,0.0
"('#monsieur-jourdain', ""Hé bien, Messieurs ?  Qu'est-ce ?  Me ferez-vous voir votre petite drôlerie."")",-,0.0
"('#le-maitre-a-danser', 'Comment ?  Quelle petite drôlerie ?')",-,0.0
"('#monsieur-jourdain', 'Eh la...  Comment appelez-vous cela ?  Votre prologue, ou dialogue de chansons et de danse.')",-,0.0
"('#le-maitre-a-danser', 'Ah, ah.')",-,0.0
"('#le-maitre-de-musique', 'Vous nous y voyez préparés.')",-,0.0
"('#monsieur-jourdain', ""Je vous ai fait un peu attendre, mais c'est que je me fais habiller aujourd'hui comme les gens de qualité ; et mon tailleur m'a envoyé des bas de soie que j'ai pensé ne mettre jamais."")",-,0.0
"('#le-maitre-de-musique', 'Nous ne sommes ici que pour attendre votre loisir.')",-,0.0
"('#monsieur-jourdain', ""Je vous prie tous deux de ne vous point en aller, qu'on ne m'ait apporté mon habit, afin que vous me puissiez voir."")",-,0.0
"('#le-maitre-a-danser', ""Tout ce qu'il vous plaira."")",-,0.0
"('#monsieur-jourdain', ""Vous me verrez équipé comme il faut, depuis les pieds jusqu'à la tête."")",-,0.0
"('#le-maitre-de-musique', ""Nous n'en doutons point."")",-,0.0
"('#monsieur-jourdain', 'Je me suis fait faire cette indienne-ci.')",-,0.0
"('#le-maitre-a-danser', 'Elle est fort belle.')",-,0.0
"('#monsieur-jourdain', ""Mon tailleur m'a dit que les gens de qualité étaient comme cela le matin."")",-,0.0
"('#le-maitre-de-musique', 'Cela vous sied à merveille.')",-,0.0
"('#monsieur-jourdain', 'Laquais, holà, mes deux laquais.')",-,0.0
"('#premier-laquais', 'Que voulez-vous, Monsieur ?')",-,0.0
"('#monsieur-jourdain', ""Rien.  C'est pour voir si vous m'entendez bien. Que dites-vous de mes livrées ? Aux deux Maîtres."")",-,0.0
"('#le-maitre-a-danser', 'Elles sont magnifiques.')",-,0.0
"('#monsieur-jourdain', "" Voici encore un petit déshabillé pour faire le matin mes exercices. Il entr'ouvre sa robe et fait voir un haut-de-chausses étroit de velours rouge, et une camisole de velours vert, dont il est vêtu."")",-,0.0
"('#le-maitre-de-musique', 'Il est galant.')",-,0.0
"('#monsieur-jourdain', 'Laquais.')",-,0.0
"('#premier-laquais', 'Monsieur.')",-,0.0
"('#monsieur-jourdain', ""L'autre laquais."")",-,0.0
"('#second-laquais', 'Monsieur.')",-,0.0
"('#monsieur-jourdain', 'Tenez ma robe.  Me trouvez-vous bien comme cela ?')",-,0.0
"('#le-maitre-a-danser', 'Fort bien.  On ne peut pas mieux.')",-,0.0
"('#monsieur-jourdain', 'Voyons un peu votre affaire.')",-,0.0
"('#le-maitre-de-musique', ""Je voudrais bien auparavant vous faire entendre un air qu'il vient de composer pour la sérénade que vous m'avez demandée.  C'est un de mes écoliers, qui a pour ces sortes de choses un talent admirable."")",-,0.0
"('#monsieur-jourdain', ""Oui ; mais il ne fallait pas faire faire cela par un écolier ; et vous n'étiez pas trop bon vous-même pour cette besogne-là."")",-,0.0
"('#le-maitre-de-musique', ""Il ne faut pas, Monsieur, que le nom d'écolier vous abuse.  Ces sortes d'écoliers en savent autant que les plus grands maîtres, et l'air est aussi beau qu'il s'en puisse faire.  Écoutez seulement."")",-,0.0
"('#monsieur-jourdain', 'Donnez-moi ma robe pour mieux entendre... Attendez, je crois que je serai mieux sans robe...  Non, redonnez-la-moi, cela ira mieux. ')",-,0.0
"('#un-musicien', ""Je languis nuit et jour, et mon mal est extrême,  Depuis qu'à vos rigueurs vos beaux yeux m'ont soumis ;  Si vous traitez ainsi, belle Iris, qui vous aime,  Hélas ! Que pourriez-vous faire à vos ennemis ?"")",-,0.0
"('#monsieur-jourdain', 'Cette chanson me semble un peu lugubre, elle endort, et je voudrais que vous la pussiez un peu ragaillardir par-ci, par-là.')",-,0.0
"('#le-maitre-de-musique', ""Il faut, Monsieur, que l'air soit accommodé aux paroles."")",-,0.0
"('#monsieur-jourdain', ""On m'en apprit un tout à fait joli il y a quelque temps.  Attendez...  La...  Comment est-ce qu'il dit ?"")",-,0.0
"('#le-maitre-a-danser', 'Par ma foi, je ne sais.')",-,0.0
"('#monsieur-jourdain', 'Il y a du mouton dedans.')",-,0.0
"('#le-maitre-a-danser', 'Du mouton ?')",-,0.0
"('#monsieur-jourdain', ""Je croyais Janneton  Aussi douce que belle ;  Je croyais Janneton  Plus douce qu'un mouton :  Hélas ! Hélas !  Elle est cent fois, mille fois plus cruelle,  Que n'est le tigre aux bois.  Oui.  Ah. N'est-il pas joli ? Monsieur Jourdain chante."")",-,0.0
"('#le-maitre-de-musique', 'Le plus joli du monde.')",-,0.0
"('#le-maitre-a-danser', 'Et vous le chantez bien.')",-,0.0
"('#monsieur-jourdain', ""C'est sans avoir appris la musique."")",-,0.0
"('#le-maitre-de-musique', ""Vous devriez l'apprendre, Monsieur, comme vous faites la danse.  Ce sont deux arts qui ont une étroite liaison ensemble."")",-,0.0
"('#le-maitre-a-danser', ""Et qui ouvrent l'esprit d'un homme aux belles choses."")",-,0.0
"('#monsieur-jourdain', 'Est-ce que les gens de qualité apprennent aussi la musique ?')",-,0.0
"('#le-maitre-de-musique', 'Oui, Monsieur.')",-,0.0
"('#monsieur-jourdain', ""Je l'apprendrai donc.  Mais je ne sais quel temps je pourrai prendre ; car outre le maître d'armes qui me montre, j'ai arrêté encore un maître de philosophie, qui doit commencer ce matin."")",-,0.0
"('#le-maitre-de-musique', 'La philosophie est quelque chose ; mais la musique, Monsieur, la musique...')",-,0.0
"('#le-maitre-a-danser', ""La musique et la danse...  La musique et la danse, c'est là tout ce qu'il faut."")",-,0.0
"('#le-maitre-de-musique', ""Il n'y a rien qui soit si utile dans un État que la musique."")",-,0.0
"('#le-maitre-a-danser', ""Il n'y a rien qui soit si nécessaire aux hommes, que la danse."")",-,0.0
"('#le-maitre-de-musique', 'Sans la musique, un État ne peut subsister.')",-,0.0
"('#le-maitre-a-danser', 'Sans la danse, un homme ne saurait rien faire.')",-,0.0
"('#le-maitre-de-musique', ""Tous les désordres, toutes les guerres qu'on voit dans le monde, n'arrivent que pour n'apprendre pas la musique."")",-,0.0
"('#le-maitre-a-danser', ""Tous les malheurs des hommes, tous les revers funestes dont les histoires sont remplies, les bévues des politiques, et les manquements des grands capitaines, tout cela n'est venu que faute de savoir danser."")",-,0.0
"('#monsieur-jourdain', 'Comment cela ?')",-,0.0
"('#le-maitre-de-musique', ""La guerre ne vient-elle pas d'un manque d'union entre les hommes ?"")",-,0.0
"('#monsieur-jourdain', 'Cela est vrai.')",-,0.0
"('#le-maitre-de-musique', ""Et si tous les hommes apprenaient la musique, ne serait-ce pas le moyen de s'accorder ensemble, et de voir dans le Monde la paix universelle ?"")",-,0.0
"('#monsieur-jourdain', 'Vous avez raison.')",-,0.0
"('#le-maitre-a-danser', ""Lorsqu'un homme a commis un manquement dans sa conduite, soit aux affaires de sa famille, ou au gouvernement d'un État, ou au commandement d'une armée, ne dit-on pas toujours, un Tel a fait un mauvais pas dans une telle affaire ?"")",-,0.0
"('#monsieur-jourdain', 'Oui, on dit cela.')",-,0.0
"('#le-maitre-a-danser', ""Et faire un mauvais pas, peut-il procéder d'autre chose que de ne savoir pas danser ?"")",-,0.0
"('#monsieur-jourdain', 'Cela est vrai, vous avez raison tous deux.')",-,0.0
"('#le-maitre-a-danser', ""C'est pour vous faire voir l'excellence et l'utilité de la danse et de la musique."")",-,0.0
"('#monsieur-jourdain', 'Je comprends cela à cette heure.')",-,0.0
"('#le-maitre-de-musique', 'Voulez-vous voir nos deux affaires ?')",-,0.0
"('#monsieur-jourdain', 'Oui.')",-,0.0
"('#le-maitre-de-musique', ""Je vous l'ai déjà dit, c'est un petit essai que j'ai fait autrefois des diverses passions que peut exprimer la musique."")",-,0.0
"('#monsieur-jourdain', 'Fort bien.')",-,0.0
"('#le-maitre-de-musique', ""Allons, avancez.  Il faut vous figurer qu'ils sont habillés en bergers."")",-,0.0
"('#monsieur-jourdain', 'Pourquoi toujours des bergers ?  On ne voit que cela partout.')",-,0.0
"('#le-maitre-a-danser', ""Lorsqu'on a des personnes à faire parler en musique, il faut bien que pour la vraisemblance, on donne dans la bergerie.  Le chant a été de tout temps affecté aux bergers ; et il n'est guère naturel en dialogue, que des princes, ou des bourgeois, chantent leurs passions."")",-,0.0
"('#monsieur-jourdain', 'Passe, passe, Voyons.  DIALOGUE EN MUSIQUE.')",-,0.0
"('#une-musicienne #deux-musiciens', ""Un coeur, dans l'amoureux empire,  De mille soins est toujours agité,  On dit qu'avec plaisir on languit, on soupire ;  Mais, quoi qu'on puisse dire.  Il n'est rien de si doux que notre liberté."")",-,0.0
"('#premier-musicien', ""Il n'est rien de si doux que les tendres ardeurs  Qui font vivre deux coeurs  Dans une même envie : On ne peut être heureux sans amoureux désirs ; Ôtez l'amour de la vie,  Vous en êtes les plaisirs."")",-,0.0
"('#second-musicien', ""Il serait doux d'entrer sous l'amoureuse loi,  Si l'on trouvait en amour de la foi :  Mais, hélas ! Ô rigueur cruelle,  On ne voit point de bergère fidèle ;  Et ce sexe inconstant, trop indigne du jour,  Doit faire pour jamais renoncer à l'Amour."")",-,0.0
"('#premier-musicien', 'Aimable ardeur !')",-,0.0
"('#une-musicienne', 'Franchise heureuse !')",-,0.0
"('#second-musicien', 'Sexe trompeur !')",-,0.0
"('#premier-musicien', ""Que tu m'es précieuse !"")",-,0.0
"('#une-musicienne', 'Que tu plais à mon coeur !')",-,0.0
"('#second-musicien', ""Que tu me fais d'horreur !"")",-,0.0
"('#premier-musicien', 'Ah ! Quitte pour aimer, cette haine mortelle !')",-,0.0
"('#une-musicienne', 'On peut, on peut te montrer  Une bergère fidèle.')",-,0.0
"('#second-musicien', 'Hélas ! Où la rencontrer ?')",-,0.0
"('#une-musicienne', 'Pour défendre notre gloire,  Je te veux offrir mon coeur.')",-,0.0
"('#second-musicien', ""Mais, Bergère, puis-je croire  Qu'il ne sera point trompeur ?"")",-,0.0
"('#une-musicienne', 'Voyons par expérience  Qui des deux aimera mieux.')",-,0.0
"('#second-musicien', 'Qui manquera de constance,  Le puissent perdre les Dieux ! ')",-,0.0
"('#trois-musiciens', ""À des ardeurs si belles  Laissons-nous enflammer ;  Ah ! Qu'il est doux d'aimer,  Quand deux coeurs sont fidèles !"")",-,0.0
"('#monsieur-jourdain', 'Est-ce tout ?')",-,0.0
"('#le-maitre-de-musique', 'Oui.')",-,0.0
"('#monsieur-jourdain', 'Je trouve cela bien troussé, et il y a là dedans de petits dictons assez jolis.')",-,0.0
"('#le-maitre-a-danser', 'Voici, pour mon affaire, un petit essai des plus beaux mouvements et des plus belles attitudes dont une danse puisse être variée.')",-,0.0
"('#monsieur-jourdain', 'Sont-ce encore des bergers ?')",-,0.0
"('#le-maitre-a-danser', ""C'est ce qu'il vous plaira.  Allons.  Quatre Danseurs exécutent tous les mouvements différents, et toutes les sortes de pas que le Maître à danser leur commande : et cette danse fait le premier intermède. "")",-,0.0
"('#monsieur-jourdain', ""Voilà qui n'est point sot, et ces gens-là se trémoussent bien."")",-,0.0
"('#le-maitre-de-musique', ""Lorsque la danse sera mêlée avec la musique, cela fera plus d'effet encore, et vous verrez quelque chose de galant dans le petit ballet que nous avons ajusté pour vous."")",-,0.0
"('#monsieur-jourdain', ""C'est pour tantôt au moins ; et la personne pour qui j'ai fait faire tout cela, me doit faire l'honneur de venir dîner céans."")",-,0.0
"('#le-maitre-a-danser', 'Tout est prêt.')",-,0.0
"('#le-maitre-de-musique', ""Au reste, Monsieur, ce n'est pas assez, il faut qu'une personne comme vous, qui êtes magnifique, et qui avez de l'inclination pour les belles choses, ait un concert de musique chez soi tous les mercredis ou tous les jeudis."")",-,0.0
"('#monsieur-jourdain', 'Est-ce que les gens de qualité en ont ?')",-,0.0
"('#le-maitre-de-musique', 'Oui, Monsieur.')",-,0.0
"('#monsieur-jourdain', ""J'en aurai donc. Cela sera-t-il beau ?"")",-,0.0
"('#le-maitre-de-musique', ""Sans doute.  Il vous faudra trois voix, un dessus, une haute-contre, et une basse, qui seront accompagnées d'une basse de viole, d'un théorbe, et d'un clavecin pour les basses continues, avec deux dessus de violon pour jouer les ritornelles."")",-,0.0
"('#monsieur-jourdain', 'Il y faudra mettre aussi une trompette marine.  La trompette marine est un instrument qui me plaît, et qui est harmonieux.')",-,0.0
"('#le-maitre-de-musique', 'Laissez-nous gouverner les choses.')",-,0.0
"('#monsieur-jourdain', ""Au moins n'oubliez pas tantôt d'envoyer des musiciens, pour chanter à table."")",-,0.0
"('#le-maitre-de-musique', ""Vous aurez tout ce qu'il vous faut."")",-,0.0
"('#monsieur-jourdain', 'Mais surtout, que le ballet soit beau.')",-,0.0
"('#le-maitre-de-musique', 'Vous en serez content, et entre autres choses de certains menuets que vous y verrez.')",-,0.0
"('#monsieur-jourdain', 'Ah les menuets sont ma danse, et je veux que vous me les voyiez danser.  Allons, mon maître.')",-,0.0
"('#le-maitre-a-danser', ""Un chapeau, Monsieur, s'il vous plaît.  La, la, la ; La, la, la, la, la, la ; La, la, la, La, la, la ; La, la.  En cadence, s'il vous plaît.  La, la, la, la.  La jambe droite.  La, la, la.  Ne remuez point tant les épaules.  La, la, la, la, la ; La, la, la, la, la.  Vos deux bras sont estropiés.  La, la, la, la, la.  Haussez la tête.  Tournez la pointe du pied en dehors.  La, la, la.  Dressez votre corps. bis."")",-,0.0
"('#monsieur-jourdain', 'Euh ?')",-,0.0
"('#le-maitre-de-musique', 'Voilà qui est le mieux du monde.')",-,0.0
"('#monsieur-jourdain', ""À propos.  Apprenez-moi comme il faut faire une révérence pour saluer une marquise ; j'en aurai besoin tantôt."")",-,0.0
"('#le-maitre-a-danser', 'Une révérence pour saluer une Marquise ?')",-,0.0
"('#monsieur-jourdain', ""Oui.  Une Marquise qui s'appelle Dorimène."")",-,0.0
"('#le-maitre-a-danser', 'Donnez-moi la main.')",-,0.0
"('#monsieur-jourdain', ""Non.  Vous n'avez qu'à faire, je le retiendrai bien."")",-,0.0
"('#le-maitre-a-danser', ""Si vous voulez la saluer avec beaucoup de respect, il faut faire d'abord une révérence en arrière, puis marcher vers elle avec trois révérences en avant, et à la dernière vous baisser jusqu'à ses genoux."")",-,0.0
"('#monsieur-jourdain', 'Faites un peu.  Bon.')",-,0.0
"('#premier-laquais', ""Monsieur, voilà votre maître d'armes qui est là."")",-,0.0
"('#monsieur-jourdain', ""Dis-lui qu'il entre ici pour me donner leçon.  Je veux que vous me voyiez faire. "")",-,0.0
"('#le-maitre-d-armes', ""Allons, Monsieur, la révérence.  Votre corps droit.  Un peu penché sur la cuisse gauche.  Les jambes point tant écartées.  Vos pieds sur une même ligne.  Votre poignet à l'opposite de votre hanche.  La pointe de votre épée vis-à-vis de votre épaule.  Le bras pas tout à fait si étendu.  La main gauche à la hauteur de l'oeil.  L'épaule gauche plus quartée.  La tête droite.  Le regard assuré.  Avancez.  Le corps ferme.  Touchez-moi l'épée de quarte, et achevez de même.  Une, deux. Remettez-vous.  Redoublez de pied ferme.  Un saut en arrière.  Quand vous portez la botte, Monsieur, il faut que l'épée parte la première, et que le corps soit bien effacé.  Une, deux.  Allons, touchez-moi l'épée de tierce, et achevez de même.  Avancez.  Le corps ferme.  Avancez.  Partez de là.  Une, deux.  Remettez-vous.  Redoublez.  Un saut en arrière.  En garde, Monsieur, en garde.  Le maître d'armes, lui pousse deux ou trois bottes, en lui disant, En garde."")",-,0.0
"('#monsieur-jourdain', 'Euh ?')",-,0.0
"('#le-maitre-de-musique', 'Vous faites des merveilles.')",-,0.0
"('#le-maitre-d-armes', ""Je vous l'ai déjà dit, tout le secret des armes ne consiste qu'en deux choses, à donner, et à ne point recevoir ; et comme je vous fis voir l'autre jour par raison démonstrative, il est impossible que vous receviez, si vous savez détourner l'épée de votre ennemi de la ligne de votre corps ; ce qui ne dépend seulement que d'un petit mouvement du poignet ou en dedans, ou en dehors."")",-,0.0
"('#monsieur-jourdain', ""De cette façon donc un homme, sans avoir du coeur, est sûr de tuer son homme, et de n'être point tué."")",-,0.0
"('#le-maitre-d-armes', ""Sans doute.  N'en vîtes-vous pas la démonstration ?"")",-,0.0
"('#monsieur-jourdain', 'Oui.')",-,0.0
"('#le-maitre-d-armes', ""Et c'est en quoi l'on voit de quelle considération nous autres nous devons être dans un État, et combien la science des armes l'emporte hautement sur toutes les autres sciences inutiles, comme la danse, la musique, la..."")",-,0.0
"('#le-maitre-a-danser', ""Tout beau, Monsieur le tireur d'armes.  Ne parlez de la danse qu'avec respect."")",-,0.0
"('#le-maitre-de-musique', ""Apprenez, je vous prie, à mieux traiter l'excellence de la musique."")",-,0.0
"('#le-maitre-d-armes', 'Vous êtes de plaisantes gens, de vouloir comparer vos sciences à la mienne !')",-,0.0
"('#le-maitre-de-musique', ""Voyez un peu l'homme d'importance !"")",-,0.0
"('#le-maitre-a-danser', 'Voilà un plaisant animal, avec son plastron !')",-,0.0
"('#le-maitre-d-armes', 'Mon petit maître à danser, je vous ferais danser comme il faut.  Et vous, mon petit musicien, je vous ferais chanter de la belle manière.')",-,0.0
"('#le-maitre-a-danser', 'Monsieur le batteur de fer, je vous apprendrai votre métier.')",-,0.0
"('#monsieur-jourdain', ""Êtes-vous fou de l'aller quereller, lui qui entend la tierce et la quarte, et qui sait tuer un homme par raison démonstrative ?"")",-,0.0
"('#le-maitre-a-danser', 'Je me moque de sa raison démonstrative, et de sa tierce et de sa quarte.')",-,0.0
"('#monsieur-jourdain', 'Tout doux, vous dis-je.')",-,0.0
"('#le-maitre-d-armes', 'Comment ?  Petit impertinent.')",-,0.0
"('#monsieur-jourdain', ""Eh mon Maître d'armes."")",-,0.0
"('#le-maitre-a-danser', 'Comment ?  Grand cheval de carrosse.')",-,0.0
"('#monsieur-jourdain', 'Eh mon Maître à danser.')",-,0.0
"('#le-maitre-d-armes', 'Si je me jette sur vous...')",-,0.0
"('#monsieur-jourdain', 'Doucement.')",-,0.0
"('#le-maitre-a-danser', 'Si je mets sur vous la main...')",-,0.0
"('#monsieur-jourdain', 'Tout beau.')",-,0.0
"('#le-maitre-d-armes', ""Je vous étrillerai d'un air..."")",-,0.0
"('#monsieur-jourdain', 'De grâce.')",-,0.0
"('#le-maitre-a-danser', ""Je vous rosserai d'une manière..."")",-,0.0
"('#monsieur-jourdain', 'Je vous prie.')",-,0.0
"('#le-maitre-de-musique', 'Laissez-nous un peu lui apprendre à parler.')",-,0.0
"('#monsieur-jourdain', 'Mon_Dieu, arrêtez-vous.')",-,0.0
"('#monsieur-jourdain', 'Holà, Monsieur le Philosophe, vous arrivez tout à propos avec votre philosophie.  Venez un peu mettre la paix entre ces personnes-ci.')",-,0.0
"('#le-maitre-de-philosophie', ""Qu'est-ce donc ?  Qu'y a-t-il, Messieurs ?"")",-,0.0
"('#monsieur-jourdain', ""Ils se sont mis en colère pour la préférence de leurs professions, jusqu'à se dire des injures, et en vouloir venir aux mains."")",-,0.0
"('#le-maitre-de-philosophie', ""Hé quoi, Messieurs, faut-il s'emporter de la sorte ?  Et n'avez-vous point lu le docte traité que Sénèque a composé, de la colère ?  Y a-t-il rien de plus bas et de plus honteux, que cette passion, qui fait d'un homme une bête féroce ?  Et la raison ne doit-elle pas être maîtresse de tous nos mouvements ?"")",-,0.0
"('#le-maitre-a-danser', ""Comment, Monsieur, il vient nous dire des injures à tous deux, en méprisant la danse que j'exerce, et la musique dont il fait profession."")",-,0.0
"('#le-maitre-de-philosophie', ""Un homme sage est au-dessus de toutes les injures qu'on lui peut dire ; et la grande réponse qu'on doit faire aux outrages, c'est la modération et la patience."")",-,0.0
"('#le-maitre-d-armes', ""Ils ont tous deux l'audace, de vouloir comparer leurs professions à la mienne."")",-,0.0
"('#le-maitre-de-philosophie', ""Faut-il que cela vous émeuve ?  Ce n'est pas de vaine gloire, et de condition, que les hommes doivent disputer entre eux ; et ce qui nous distingue parfaitement les uns des autres, c'est la sagesse, et la vertu."")",-,0.0
"('#le-maitre-a-danser', ""Je lui soutiens que la danse est une science à laquelle on ne peut faire assez d'honneur."")",-,0.0
"('#le-maitre-de-musique', 'Et moi, que la musique en est une que tous les siècles ont révérée.')",-,0.0
"('#le-maitre-d-armes', 'Et moi, je leur soutiens à tous deux que la science de tirer des armes, est la plus belle et la plus nécessaire de toutes les sciences.')",-,0.0
"('#le-maitre-de-philosophie', ""Et que sera donc la philosophie ?  Je vous trouve tous trois bien impertinents, de parler devant moi avec cette arrogance et de donner impudemment le nom de science à des choses que l'on ne doit pas même honorer du nom d'art, et qui ne peuvent être comprises que sous le nom de métier misérable de gladiateur, de chanteur et de baladin !"")",-,0.0
"('#le-maitre-d-armes', 'Allez, philosophe de chien.')",-,0.0
"('#le-maitre-de-musique', 'Allez, belître de pédant.')",-,0.0
"('#le-maitre-a-danser', 'Allez, cuistre fieffé.')",-,0.0
"('#le-maitre-de-philosophie', 'Comment ? Marauds que vous êtes...  Le Philosophe se jette sur eux, et tous trois le chargent de coups, et sortent en se battant.')",-,0.0
"('#monsieur-jourdain', 'Monsieur le Philosophe.')",-,0.0
"('#le-maitre-de-philosophie', 'Infâmes !  Coquins !  Insolents !')",-,0.0
"('#monsieur-jourdain', 'Monsieur le Philosophe.')",-,0.0
"('#le-maitre-d-armes', ""La peste l'animal !"")",-,0.0
"('#monsieur-jourdain', 'Messieurs.')",-,0.0
"('#le-maitre-de-philosophie', 'Impudents !')",-,0.0
"('#monsieur-jourdain', 'Monsieur le Philosophe.')",-,0.0
"('#le-maitre-a-danser', ""Diantre soit de l'âne bâté !"")",-,0.0
"('#monsieur-jourdain', 'Messieurs.')",-,0.0
"('#le-maitre-de-philosophie', 'Scélérats !')",-,0.0
"('#monsieur-jourdain', 'Monsieur le Philosophe.')",-,0.0
"('#le-maitre-de-musique', ""Au diable l'impertinent !"")",-,0.0
"('#monsieur-jourdain', 'Messieurs.')",-,0.0
"('#le-maitre-de-philosophie', 'Fripons !  Gueux !  Traîtres !  Imposteurs !  Ils sortent.')",-,0.0
"('#monsieur-jourdain', ""Monsieur le Philosophe, Messieurs, Monsieur le Philosophe, Messieurs, Monsieur le Philosophe.  Oh battez-vous tant qu'il vous plaira, je n'y saurais que faire, et je n'irai pas gâter ma robe pour vous séparer.  Je serais bien fou, de m'aller fourrer parmi eux, pour recevoir quelque coup qui me ferait mal. "")",-,0.0
"('#le-maitre-de-philosophie', 'Venons à notre leçon.')",-,0.0
"('#monsieur-jourdain', ""Ah !  Monsieur, je suis fâché des coups qu'ils vous ont donnés."")",-,0.0
"('#le-maitre-de-philosophie', ""Cela n'est rien.  Un philosophe sait recevoir comme il faut les choses, et je vais composer contre eux une satire du style de Juvénal, qui les déchirera de la belle façon.  Laissons cela.  Que voulez-vous apprendre ?"")",-,0.0
"('#monsieur-jourdain', ""Tout ce que je pourrai, car j'ai toutes les envies du monde d'être savant, et j'enrage que mon père et ma mère ne m'aient pas fait bien étudier dans toutes les sciences, quand j'étais jeune."")",-,0.0
"('#le-maitre-de-philosophie', 'Ce sentiment est raisonnable : Nam sine doctrina vita est quasi mortis imago.  Vous entendez cela, et vous savez le latin sans doute.')",-,0.0
"('#monsieur-jourdain', 'Oui, mais faites comme si je ne le savais pas.  Expliquez-moi ce que cela veut dire.')",-,0.0
"('#le-maitre-de-philosophie', 'Cela veut dire que sans la science, la vie est presque une image de la mort.')",-,0.0
"('#monsieur-jourdain', 'Ce latin-là a raison.')",-,0.0
"('#le-maitre-de-philosophie', ""N'avez-vous point quelques principes, quelques commencements des sciences ?"")",-,0.0
"('#monsieur-jourdain', 'Oh oui, je sais lire et écrire.')",-,0.0
"('#le-maitre-de-philosophie', 'Par où vous plaît-il que nous commencions ?  Voulez-vous que je vous apprenne la Logique ?')",-,0.0
"('#monsieur-jourdain', ""Qu'est-ce que c'est que cette Logique ?"")",-,0.0
"('#le-maitre-de-philosophie', ""C'est elle qui enseigne les trois opérations de l'esprit."")",-,0.0
