,barante-arlequin-misanthrope,biancolelli-ecole-galante,Cost,Operation Type
10,"('#colombine', ""Tu n'es pas glorieux, à ce que je vois."")",,1.0,Insertion
11,"('#arlequin', ""Oh, ma foi, si tous les sots rougissaient de l'être, on ne rencontrerait dans les rues que des visages d'écarlate."")",,1.0,Insertion
12,"('#colombine', 'Parlons un peu raison.')",,1.0,Insertion
13,"('#arlequin', ""Parlons plutôt un langage que tout le monde entende : mais s'il s'agit d'argumenter, me voilà sur mes bancs.  Allons."")","('#arlequin', ""Il ne m'est pas possible : A toutes tes beautés mon coeur est trop sensible ; Et certaine raison m'oblige fortement à marquer pour l'hymen beaucoup d'empressement. Non mon coeur je ne puis différer, ou je meure, Et si je m'en croyais, ce serait tout à l'heure ; Va, va, n'affecte point ces dehors spécieux, Tu le veux, comme moi, je le vois à tes yeux. Adieu, tout de ce pas, je vais chez le Notaire, Cette cérémonie est ici nécessaire, Pourtant si tu voulais je m'en passerais bien."")",1.36,Substitution
14,"('#colombine', 'Vous êtes un sot, dites-vous ?')",,1.0,Insertion
15,"('#arlequin', 'Concedo majorem.')",,1.0,Insertion
16,"('#colombine', ""Or est-il qu'il y a plusieurs pièces où vous faites l'homme d'esprit : donc pour être un sot vous ne laissez pas de pouvoir fort bien jouer le Misanthrope."")","('#argentine', ""Puisque vous le pouvez, Monsieur n'en faites rien."")",1.16,Substitution
17,"('#arlequin', ""Nego consequentiam, et retorqueo argumentum.  Vous êtes une salope : il y a des pièces où vous faites la femme d'importance : Ergo vous n'êtes pas une salope.  Voilà un beau raisonnement !"")","('#arlequin', ""Non, je veux que demain tu partages ma couche L'hymen est un morceau qu'on prend de broc en bouche, Le plutôt est le mieux, point de réflexion, Lorsque l'on veut former une longue union. Donne-moi deux baisers."")",1.68,Substitution
18,"('#colombine', ""Mais ne fais-tu pas l'apothicaire dans l'Empereur de la lune ?"")","('#argentine', 'Vraiment, je suis trop sage.')",1.57,Substitution
19,"('#arlequin', ""Il est vrai qu'il faut un esprit bien profond, pour mettre adroitement un lavement bien en place !"")",,1.0,Insertion
20,"('#colombine', ""Ne fais-tu pas l'Avocat, le Procureur, le Baron, le Marquis ?"")","('#arlequin', 'Je rabattrai cela sur notre mariage.')",1.7,Substitution
21,"('#arlequin', ""Et parmi les avocats, les procureurs, les barons, les marquis, n'y a-t-il point de sots ?  Tiens, ma pauvre Colombine, ne nous abusons point.  Feuilletons toutes les Annales arlequiniques, repassons sur les faits et gestes de tous les Arlequins du monde, je te défie de trouver un misanthrope.  Nous sommes de bons petits hommes, qui faisons gracieusement une culbute, nous soupirons tendrement pour une belle marmitonne comme toi, nous faisons éloquemment le panégyrique d'une bonne soupe, et déployons avec énergie la cherté du vin et du fromage de Milan.  Mais n'en demande pas davantage : c'est là le non plus ultra de notre savoir faire."")","('#argentine', ""Les hommes, ce dit-on, en rabattent assez, Prés de nous cependant ils font les empressez, Débitent galamment un amoureux langage, Et pour nous obtenir mettent tout en usage ; Quand ils sont une fois les maîtres du Logis, En moins de quinze jours ils sont bien refroidis. Nous ne les voyons plus attachez à nous plaire, A peine peuvent-ils fournir le nécessaire, Les époux sont ma foi d'étranges animaux !"")",0.45,Substitution
22,"('#colombine', ""Trêve de modestie.  Je te réponds moi que tu te tireras fort bien du rôle qu'on t'a donné. "")","('#arlequin', ""Les hommes d'aujourd'hui ne sont pas tous égaux, Tu ne te plaindras point, mon aimable Argentine, Toujours bon vin en Cave, et bon pot en Cuisine : Je te laisse, mon coeur, pour un petit moment."")",0.93,Substitution
23,"('#arlequin', ""Il faudrait pour ma sûreté que ces Messieurs m'en répondissent solidairement avec toi.  Mais supposons que je veuille jouer cette pièce, qui l'annoncera ?  Tu sais bien qu'Octave ne veut pas s'en mêler, et qu'aujourd'hui une pièce ne saurait réussir si elle n'est annoncée, et si l'auteur ne vient demander humblement quartier aux auditeurs, les prévenir sur les défauts, et les prier de ne chercher pas plus d'esprit et de raison dans la prose que de rime et de mesure dans les vers."")","('#argentine', ""J'ai tout à craindre hélas ! De cet empressement, Je ne puis le souffrir, et malgré mon envie Il veut que dès demain le noeud d'hymen nous lie ; Il croit se faire aimer, mais son espoir est vain, Je ne puis consentir à lui donner la main ; Que demande Pierrot ? "")",0.53,Substitution
24,"('#colombine', ""Est-ce là ce qui t'embarrasse.  Je l'annoncerai, moi."")","('#pierrot', ""Bonjour la brune-blonde, Il faut auprès de vous que mon coeur se débonde ; Si vous le souhaitez je ferai vôtre Amant, Et je m'en vais vous faire un petit compliment. Je commence, écoutez. Le feu de ma tendresse Allumé par les yeux de ma belle Maîtresse... Cela fait que l'amour... Ne m'interrompez pas, Cela fait donc tout juste... Un autre en pareil cas Pourrait bien se brouiller ; mais je ne suis pas bête. Ors donc je vous dirai, que si vous êtes prête, Je suis tout disposé, vous n'avez qu'à parler... Dame ! Je voudrais bien avec vous m'enrôler."")",1.09,Substitution
25,,"('#argentine', ""Je veux feindre un moment d'applaudir à sa flamme ; Vous m'aimez donc Pierrot ?"")",1.0,Deletion
26,"('#arlequin', ""En ce cas, j'en augure bien ; car on ne parvient aujourd'hui que par le canal des femmes."")",,1.0,Insertion
27,"('#colombine', ""Quelque liberté que donne notre théâtre de grossir les traits et de changer les idées ; vous savez bien, Messieurs, qu'il y a une extrême différence entre un arlequin et un philosophe.  Ainsi, si vous nous trouvez dans quelques endroits un peu au-dessus de notre jeu ordinaire, n'en accusez que le désir ardent que nous avons de vous plaire : c'est lui qui nous a fait choisir le plan de Satire que nous allons vous donner, dans lequel nous avons néanmoins si bien mêlé toutes les gentillesses du Théâtre Italien, que si le goût du siècle était un peu moins difficile, nous oserions nous flatter d'y avoir mis de quoi contenter tout le monde.  Heureux si nous avions pu atteindre à ce but qui doit être la seule fin de la comédie, de corriger les moeurs en divertissant l'esprit ; plus heureux encore, si à la fin de notre pièce, que nous vous supplions d'écouter jusqu'au bout, vous nous donnez des marques que vous sortez contents."")","('#pierrot', ""Qui vraiment, ma chère âme, Quand je ne vous vois pas je suis absent de vous ; Quand je m'emporte un peu, je me mets en courroux. En un mot je vous aime, et vous n'avez qu'à dire, Je suis un drôle, allez, je vous ferai bien rire."")",0.72,Substitution
28,"('#arlequin', ""Bien entendu, qu'en ceci, La femme est comprise aussi. Bonjour camarade.  Ah !  De tout mon coeur !  Je suis votre très humble serviteur.  Votre valet de toute mon âme.  Ma foi il n'est point de pire animal que l'homme, et il n'en est pas de moins humain.  Hé quoi, ces pauvres petites bêtes ne me disent pas le moindre mot : je ne vois point ici de ces esprits aigres, qui se font un point d'honneur de ne convenir jamais.  Je vis à ma fantaisie, et les lions qui sont Seigneurs hauts Justiciers et Magistrats en dernier ressort de ces bois, n'exigent point de moi que j'aille me morfondre sur leur escalier, ou m'ennuyer dans leur anti-chambre.  Je ne suis point éclaboussé par un parvenu, qui à la faveur d'une métamorphose qu'il a peine à concevoir lui-même, se trouve dans un Carrosse que son père menait jadis.  Je n'essuie rien de la polissonnerie des petits Maîtres, et ne suis point obligé de me récrier sur les fadaises d'un mauvais plaisant de qualité, qui fait vingt fois par jour passer en revue cinq ou six mauvais contes qu'il a pillés dans l'Espiègle ou dans le Tombeau de la mélancolie.  Je ne vais point faire ma Cour à un Grand de nouvelle édition, qui embarrassé de sa personne, et plus droit qu'un échalas, semble avoir perdu l'usage des mouvements de son corps ; qui jette à peine les yeux sur la foule d'adulateurs qui l'environne, et croirait m'honorer beaucoup, s'il pouvait prendre sur sa paralytique gravité un mouvement de Pagode pour faire voir qu'il m'a remarqué.  Je ne prête point ici une attention de trois heures au récit burlesque des promesses d'un fanfaron qui ne s'est jamais montré aux ennemis que par la croupe de son Cheval.  Nulle complaisance ne m'engage de répondre aux mines enfantines d'une beauté surannée qui oublie qu'elle n'a pas une dent dans la bouche, sur laquelle Carmeline n'ait une hypothèque spéciale.  Je me promène seul, et ne gobe point la nuée de poudre, qu'excite dans la grande allée des Tuileries, le superflu du manteau des coquettes à taille équivoque.  Je n'y vois point de ces Marquises de contrebande qui en gourgandine et en petites mules, portent répandue sur toute leur personne une idée d'occasion prochaine.  Enfin je suis ici à couvert des impertinences dont Paris est rempli, et je trouve que ce n'est qu'avec les animaux qu'on se défait de la férocité qu'on a contractée avec les hommes.  Oui, mes chers camarades, c'est avec vous seuls qu'on peut vivre en repos.  Je hais les hommes, je les déteste, ils sont faux, doubles, hypocrites, méprisables. Oui, si j'en trouvais quelqu'une, je me ferais un plaisir de la traiter comme elle mérite.  Je la... Hoime ! Il aperçoit Colombine."")","('#argentine', ""Que vos expressions charment mon tendre coeur ! Je ne m'en défends point, vous êtes mon vainqueur, Et je n'ai pu vous voir sans vous rendre les armes."")",0.53,Substitution
29,"('#colombine', ""Ah, Monsieur, que je suis heureuse de trouver une figure d'homme dans un lieu où je ne vois que des bêtes !"")","('#pierrot', ""On me l'a toujours dit ; que j'avais bien des charmes, Je suis un beau garçon ; pour la taille, je crois Qu'on n'en saurait trouver de mieux bâti que moi.  Elle en tient pour le coup. Bas."")",1.3,Substitution
30,"('#arlequin', ""Figure d'homme ?  Elle est toute jolie.  Je me défie furieusement de moi-même."")","('#argentine', ""Non, il n'est pas possible Qu'en vous voyant si beau je paraisse insensible : On ne peut résister à de puissants appas."")",0.94,Substitution
31,"('#colombine', 'Monsieur, ne pourriez-vous point me dire des nouvelles de ce que je cherche ?')","('#pierrot', ""Elle va se pâmer, je pense, entre mes bras. Eh, Ventrebleu, pourquoi suis-je un fi beau brin d'homme. Ça, je vois bien qu'il faut vous acquitter la somme, Et vous ne voulez point des lettres de répit, Embrassez-moi ma fille, et sans faire grand bruit..."")",1.3,Substitution
32,"('#arlequin', 'Tenons bon.')",,1.0,Insertion
33,"('#colombine', 'Il me tourne le dos.  Que je suis malheureuse !')",,1.0,Insertion
34,"('#arlequin', 'La charmante pleureuse !  Que je crains pour le Misanthrope !')","('#pierrot', 'Ah ! Je me suis mépris, et cela me chagrine : Au lieu de toi, je dois embrasser Argentine, Je vais recommencer pour te faire plaisir.')",1.07,Substitution
35,"('#colombine', 'Monsieur, ne me rebutez pas, je vous en conjure.')","('#arlequin', ""Il n'en est pas besoin, modère ce désir. Hé bien, je vous y prends, Madame la carogne, Et vous, que faites-vous ici Monsieur l'ivrogne ? "")",0.77,Substitution
36,"('#arlequin', 'Non...  Ce sexe est fait pour tromper tout le monde.')",,1.0,Insertion
37,"('#colombine', ""Ah, craignez-vous quelque chose d'une malheureuse qui implore votre secours ?"")","('#pierrot', ""Tu m'as interrompu, que je suis malheureux ! Ta prétendue, et moi je badinions tous deux. Je me dégourdissais de la belle manière, Va t'en pour un moment, crois-moi, laisse-moi faire."")",1.59,Substitution
38,"('#arlequin', 'Vous êtes plus à craindre pour moi que toutes les bêtes de ces bois.')","('#argentine', ""Vous êtes trop jaloux, c'est là tour mon souci, Et vous ne deviez pas venir sitôt ici."")",1.23,Substitution
39,"('#colombine', ""Mais qu'appréhendez-vous ?"")","('#arlequin', ""Je conviens que j'ai tort, et je devais attendre Le joli dénouement d'un entretien si tendre. Vous voulez donc toujours m'en donner à garder, A vôtre opinion la mienne doit céder, Sur le point d'occuper la couche maritale, Vous donnez une entorse à la foi conjugale ?"")",1.21,Substitution
40,,"('#pierrot', ""Puisqu'il demeure ici, sans faire du fracas, Mène-moi dans ta Chambre, il ne le saura pas."")",1.0,Deletion
41,,"('#argentine', ""J'y consens."")",1.0,Deletion
42,"('#arlequin', 'Mais que demandez-vous ?')","('#arlequin', 'Ah ! Tout doux, et vous Monsieur le drille Décampez au plutôt.')",1.54,Substitution
43,"('#colombine', ""Que vous ayez la bonté de m'écouter et de me répondre."")","('#pierrot', 'Lâche-moi cette fille, Va, je te la rendrai dans un petit moment.')",1.39,Substitution
44,"('#arlequin', ""Dites : car c'est une folie de vouloir empêcher une femme de parler."")",,1.0,Insertion
45,"('#colombine', 'Il y a huit jours, Monsieur, que je suis sortie de Paris, pour chercher un scélérat, un parjure, un perfide...')","('#arlequin', ""Morbleu, craignez l'effet de mon emportement ; Apprenez que demain j'épouse cette belle, Que je veux qu'elle soit toujours sage, et fidèle."")",0.95,Substitution
46,"('#arlequin', ""Quoi, ma mie, vous partez exprès de Paris, pour chercher un malhonnête homme ?  Hé fi, vous n'y pensez pas ?  Si j'avais à chercher un perfide, un parjure, un scélérat, sans aucun frais de quête j'irais tout droit à Paris."")",,1.0,Insertion
47,"('#colombine', ""N'insultez point une malheureuse ; et si vous êtes insensible à mes maux, ne les rendez pas plus cuisants par vos railleries."")","('#argentine', ""Bon cela ne se peut, Arlequin, croyez-moi, Gardez de m'imposer une si dure loi. Fi donc vous vous feriez berner de tout le monde : Un Mari trop jaloux mérite qu'on le fronde, La sagesse est un monstre, et les femmes ont soin De ne le regarder ni de près, ni de loin."")",0.78,Substitution
48,"('#arlequin', 'Hé bien, la Belle enfant, quelle est la cause de votre douleur ?')","('#arlequin', 'Que faites-vous ici ?')",1.13,Substitution
49,"('#colombine', 'Monsieur, il y a environ quatre ans que ma mère est veuve.')",,1.0,Insertion
50,"('#arlequin', 'Tant mieux pour elle et tant pis pour vous.')",,1.0,Insertion
51,"('#colombine', ""Comme mon père n'avait pas laissé beaucoup de bien, elle fut obligée de se servir de ses meubles pour gagner sa vie."")",,1.0,Insertion
52,"('#arlequin', ""C'est un expédient dont bien des femmes s'avisent."")",,1.0,Insertion
53,"('#colombine', ""Je veux dire, qu'elle meubla une maison où venaient loger beaucoup de gens de qualité, et surtout grand nombre d'Étrangers."")",,1.0,Insertion
54,"('#arlequin', ""C'est-à-dire souvent, grand nombre de dupes."")",,1.0,Insertion
55,"('#colombine', ""Ma mère qui n'avait que moi d'enfant, me donnait la meilleure éducation qu'il lui était possible, et tâchait de m'inspirer les airs d'une personne de condition."")",,1.0,Insertion
56,"('#arlequin', 'Éducation bien conditionnée.')",,1.0,Insertion
57,"('#colombine', ""À vous dire le vrai je me suis toujours senti une furieuse inclination d'être grande Dame."")","('#pierrot', ""Moi, j'attends que tu sortes. Pour rester en ces lieux j'ai des raisons bien fortes."")",1.18,Substitution
58,,"('#arlequin', 'Veux-tu te retirer, ou je te romps les bras.')",1.0,Deletion
59,"('#arlequin', 'La pauvre petite !')","('#pierrot', ""Hé bien, je reviendrai quand tu n'y seras pas."")",1.55,Substitution
60,"('#colombine', ""Je n'avais que douze ans, quand ma mère fit tirer mon horoscope.  On dit que ma beauté ferait ma fortune ; et on assure même que j'ai dans la main une couronne bien marquée."")",,1.0,Insertion
61,"('#arlequin', 'Pronostic pour la tête du futur.')",,1.0,Insertion
62,"('#colombine', 'Parmi les étrangers qui logeaient chez nous, il y avait un jeune Prince Allemand fait à peindre et beau comme les amours ; nous apprenions à chanter du même Maître, et lisions des Romans ensemble.')","('#argentine', ""Vos manières Monsieur, ne font que me déplaire ! De tous ces vains soupçons songez à vous défaite, Je vous l'ai déjà dit, vous devez profiter Des leçons qu'Argentine a voulu vous dicter. Je veux goûter en paix les douceurs de la vie, Folâtrer, badiner au gré de mon envie, Adieu souvenez-vous, et soyez convaincu, Que quand on est jaloux, on est bien-tôt cocu. Elle rentre."")",0.99,Substitution
63,"('#arlequin', ""Suite du pronostic.  C'est ici le voyage de l'Île d'Amour ?  Et bien, comment vous embarquâtes-vous ?"")",,1.0,Insertion
64,"('#colombine', ""Un jour que nous étions dans le jardin, il me fit une déclaration d'amour toute prise du troisième tome de Cyrus."")","('#arlequin', ""Franchement ce discours n'est point énigmatique, Elle veut m'encorner malgré ma rhétorique, Mais je ne serai point sujet au grand malheur Qui de tant de maris fait naître la douleur, Et je prendrai morbleu, de si bonnes mesures, Que ma femme à mon front ne fera point d'injures. "")",1.32,Substitution
65,"('#arlequin', ""L'habile homme !"")",,1.0,Insertion
66,"('#colombine', ""Dame, comme j'avais les idées fraîches aussi bien que lui, je le payai sur le champ en même monnaie."")",,1.0,Insertion
67,"('#arlequin', ""La belle présence d'esprit !"")",,1.0,Insertion
68,"('#colombine', ""Depuis ce temps-là, il ne me quittait presque plus, il s'ennuyait partout où je n'étais point, et me disait cent fois le jour qu'il m'aimait plus que lui-même."")",,1.0,Insertion
69,"('#arlequin', 'Et votre mère vous prêtait ses meubles ?')",,1.0,Insertion
70,"('#colombine', 'Oh !  Elle se défia de cette grande familiarité, elle savait par expérience...  Enfin elle me défendit de le voir, et me mit en pension chez une de mes tantes.')","('#octave', ""Se peut-il, cher ami, que ton coeur à son tout Refuse de se rendre au pouvoir de l'amour ? Tu fais gloire en tous lieux de ton indifférence ; Ah ! c'est faire au beau sexe une sensible offense Que de marquer pour lui si peu d'empressement, Et de voir sans l'aimer l'objet le plus charmant. Crains donc, pour te punir, que le fils de Cythère Ne te livre aux effets de sa juste colère, Et que ce fier vainqueur renversant tes projets Sur ton coeur dédaigneux ne lance tous ses traits."")",1.08,Substitution
71,"('#arlequin', 'De sorte que vous ne vîtes plus le godelureau, vous ne sûtes plus de ses nouvelles ?')",,1.0,Insertion
72,"('#colombine', ""Bon !  À quoi nous aurait donc servi le Maître à chanter ?  Le Prince le mit si bien dans nos intérêts, qu'il me donnait tous les jours un billet de sa part, et lui en reportait la réponse."")","('#leandre', ""Pourquoi me blâmes-tu ? Ta remontrance est vaine, Je cède avec plaisir au penchant qui m'entraîne, Content de mon état, satisfait de mon sort, J'ignore les effets d'un amoureux transport. Un paisible repos est le bien où j'aspire, Un coeur qui le possède a tout ce qu'il désire ; Est-ce un charme ? dis-moi, de languir sans espoir, D'adorer un objet que l'on a peine à voir, De pousser des regrets, de répandre des larmes, De ressentir toujours de mortelles alarmes ; L'amour m'accablerait sous ses funestes coups, Et me ferait former mille soupçons jaloux ? Inquiet, agité, je craindrais que ma belle, Malgré ma tendre ardeur ne devint infidèle, Chaque instant ne ferait que redoubler mon mal.  Je verrais avec peine un trop heureux rival ! Ami je vis en paix, rien ne trouble ma vie : Au calme de mon coeur tu dois porter envie, Puisque rien n'est égal à ma félicité, Laisse-moi m'applaudir de ma tranquillité."")",0.98,Substitution
73,"('#arlequin', 'Il est vrai que ces Messieurs les Maîtres à chanter ont un précieux tendre pour les Amants persécutés.')","('#octave', ""Non c'est injustement que tu veux te défendre D'un doux engagement ; et d'un commerce tendre : Chacun doit, cher ami, se laisser enflammer Et nul n'échappe enfin au Dieu qui fait aimer."")",0.82,Substitution
74,"('#colombine', ""Ce n'est pas tout.  Comme le Prince ne pouvait me voir chez ma tante, le Maître à chanter obtint qu'elle me permettrait d'aller à un Concert où il y avait beaucoup de gens de Qualité."")",,1.0,Insertion
75,"('#arlequin', 'Vous y fûtes sous le bon plaisir de la bonne tante ?')",,1.0,Insertion
76,"('#colombine', ""Oui, j'y fus avec une fille du voisinage ; mais au lieu de Concert nous ne trouvâmes que le Prince : j'entrai dans la chambre où il était, pendant que le Musicien entretenait notre voisine."")",,1.0,Insertion
77,"('#arlequin', 'Ouf !  Maudit ménétrier !  Hé bien, hé bien, que fîtes-vous là ?')",,1.0,Insertion
78,"('#colombine', ""Oh Dame, Monsieur, quand on s'aime bien, qu'un Maître à danser conduit l'intrigue, et qu'on a une si belle occasion de vérifier les prédictions...  Je songeai à mon Horoscope, et mon jeune Prince me fit une Promesse de Mariage."")","('#leandre', ""Inutiles efforts pour soumettre mon âme, Aux tyranniques lois d'une volage femme ! Et qui par un esprit, faible, capricieux, Reçoit tous les objets qui lui frappent les yeux. De ce sexe enchanteur l'approche est trop fatale : Une femme est toujours d'une humeur inégale, Aujourd'hui ses transports font des plus violents, On la trouve demain au milieu des galants, Affectant d'imiter les airs d'une coquette Badiner avec eux, répondre à la fleurette, Et pour donner du lustre à ses trompeurs appas Inspirer une ardeur qu'elle ne ressent pas. "")",0.53,Substitution
79,"('#arlequin', 'Voilà le dénouement.')",,1.0,Insertion
80,"('#colombine', 'Nous nous vîmes encore plusieurs fois chez le Musicien sous le même prétexte de Concert.')",,1.0,Insertion
81,"('#arlequin', 'Eh, que ces Concerts déconcertent de jolies filles !  Mais enfin ?')",,1.0,Insertion
82,"('#colombine', ""Mais enfin, il y a aujourd'hui six jours que j'appris par un bruit de Ville, que le Prince avait disparu.  Je vous laisse à penser si cette nouvelle me perça le coeur ; mais sans m'amuser à pleurer, je pris tout ce que j'avais d'argent, et quelques pierreries que ma mère m'avait données, et je montai à Cheval, résolue de chercher mon infidèle par tout le monde, et de le suivre jusqu'aux extrémités de la terre."")","('#arlequin', ""Messieurs mes écoliers quel nouveau soin vous presse ? Venez-vous dans ces lieux chercher quelque Maîtresse ? Vous étés faits d'un air à ne pas en manquer, Et je vous crois tous deux d'âge à prévariquer ; Du temps que vous étiez sujets à ma férule J'étais, vous le savez, d'une humeur ridicule, Je vous interdisais les plaisirs amoureux ; Mais pour lors vous n'étiez que des petits morveux : Je crois que maintenant une telle défense, Ne ferait qu'augmenter votre concupiscence, Et je puis affirmer, sans passer pour menteur, Que vous en savez plus que vôtre précepteur."")",0.49,Substitution
83,"('#arlequin', 'Voilà un beau dessein.')",,1.0,Insertion
84,"('#colombine', ""Ah, Monsieur, je le trouverai, ou je mourrai à la peine, il y a deux ans que je l'aime."")","('#octave', ""Je fais ce que je puis pour convaincre Léandre ; Mais à tous mes discours il ne veut rien comprendre, Et persistant toujours dans sa frivole erreur, Du plus charmant plaisir il conçoit de l'horreur ? Pour lui le mot d'amour est un obscur langage, Et je ne vis jamais un garçon si sauvage."")",1.04,Substitution
85,"('#arlequin', 'Comment donc, deux ans ?  Et je ne croyais pas que depuis feue Artémise de constante mémoire, aucune femme eût aimé plus de vingt-quatre heures.')",,1.0,Insertion
86,"('#colombine', ""Je l'aimerai jusqu'à la mort."")",,1.0,Insertion
87,"('#arlequin', ""Cela n'est pas bien sûr.  Mais aussi, n'est-ce point la Principauté que vous courez plutôt que l'Amant ?  Ce que les femmes de ce temps-ci ne mettent pas en amour, elles le dépensent bien et au-delà en ambition."")","('#leandre', ""Je ne sais ce que c'est : pour tout indifférent  J'avouerai qu'en amour je suis fort ignorant."")",1.23,Substitution
88,"('#colombine', ""Quelle injure vous faites à la sincérité de mes sentiments !  Oui, quand mon amant serait le dernier des hommes, je ne l'en aimerais pas moins."")","('#arlequin', ""Je veux par mes leçons le rendre plus habile : Laissez-le moi, dans peu vous le verrez docile ; Je consens de tout perdre, et de passer pour fou, S'il n'est dans quelque temps plus tendre qu'un matou."")",0.88,Substitution
89,"('#arlequin', ""Une fille qui n'aime, ni par ambition ni par intérêt ?  Quelle merveille !  Voilà mon fait.  Mettons-nous bien dans son esprit.  Mademoiselle, je vous plains, et vous offre tout ce qui dépend de moi.  Venez vous reposer, nous tâcherons de savoir des nouvelles de ce que vous cherchez."")","('#octave', ""Ami, pour un moment d'ici je me retire ; Le Seigneur Arlequin aura soin de t'instruire, Malgré ta fermeté, bien-tôt sur ton esprit Ses savantes leçons auront quelque crédit."")",0.63,Substitution
