dancourt-deroute-pharaon,dancourt-desolation-des-joueuses,Score
"('#belise', ""Les Dames sont priées : qu'on mette au bas de chaque lettre, par apostille, que le rôt sera de chez la Guerbois, le vin de Darboulin, le fruit, de la rue des Lombards ; et que j'essaie un nouveau cuisinier dont les ragoûts seront autant de chefs-d'oeuvre."")",-,0.0
"('#marton', 'Je vais faire exécuter tout cela moi-même à la lettre.')",-,0.0
"('#belise', 'Voilà une fille tout-à-fait entendue.')",-,0.0
"('#bartolin', 'Ma foi, ma chère soeur, vous devenez tout-à-fait folle.')",-,0.0
"('#belise', ""Qu'est-ce à dire, Monsieur Bartolin ?"")",-,0.0
"('#bartolin', ""Là, parlons doucement.  Vous êtes veuve d'un riche Marchand qui vous a laissé plus de trente mille écus de bons effets et une fille unique ; il ne tenait qu'à vous de faire valoir les uns dans votre commerce, et de marier la fille avantageusement pour vous et pour elle, puisque Valère qui a plus de vingt-cinq mille livres de rente, vous a fait offrir par son oncle de la prendre sans aucune dot.  Vous négligez une occasion si favorable."")",-,0.0
"('#belise', ""Pour m'en assurer une meilleure."")",-,0.0
"('#bartolin', 'Vous quittez votre magasin.')",-,0.0
"('#belise', ""Pour prendre un Hôtel, le troc n'est pas si mauvais que vous vous l'imaginez, Monsieur."")",-,0.0
"('#bartolin', ""Il est extravagant, Madame la Marchande ; l'Hôtel vous ruinera, et le magasin aurait continué de vous enrichir."")",-,0.0
"('#belise', ""Le magasin m'aurait ruiné, le jeu fera ma fortune et la vôtre, si vous le voulez ; il n'y rien aujourd'hui de plus solide que le produit du Lansquenet et du Pharaon."")",-,0.0
"('#bartolin', ""Quelle solidité !  Les jeux seront défendus demain, aujourd'hui peut-être, il ne vous restera que la honte d'avoir entrepris une chose que tous vos amis, vos parents, et votre fille-même seront en droit de vous reprocher éternellement."")",-,0.0
"('#belise', 'En vérité, Monsieur mon frère, vous avez bonne grâce de me tenir un pareil discours dans le cas où vous êtes.  Je quitte mon magasin pour donner à jouer, vous avez quitté votre Étude pour devenir Agioteur ; vous croyez faire votre fortune avec du papier ; moi, je compte de faire la mienne avec des cartes.')",-,0.0
"('#bartolin', ""L'événement vous corrigera de cette espérance, mais il vous corrigera trop tard."")",-,0.0
"('#belise', ""Je pense plus mal de vous encore, et je vous crois incorrigible, c'est une étrange passion que l'avarice."")",-,0.0
"('#bartolin', ""C'en est une abominable que celle du jeu."")",-,0.0
"('#belise', ""Oui, quand on hasarde en louant.  Mais cent écus par jour sont bons à prendre, Monsieur mon frère, et il n'y a point de magasin ni d'agiotage qui vaille cela"")",-,0.0
"('#bartolin', ""Vous n'en avez guère de reste au bout de l'année ?"")",-,0.0
"('#belise', ""Et qu'importe, je fais figure, je vis, je me réjouis, les dupes paient tout, mon fond ne s'altère point.  Il n'y a que les sots qui vivent de leurs rentes, les habiles gens vivent de celles d'autrui.  Quand vous saurez mes raisons, peut-être ne vous paraîtrai-je pas si condamnable."")",-,0.0
"('#bartolin', 'Expliquez-les-moi donc, je vous prie, et nous verrons...')",-,0.0
"('#belise', ""Cela serait trop long à déduire, elles s'éclaireront d'elles-mêmes, mais voici Monsieur_le_Baron de Garbatacase."")",-,0.0
"('#bartolin', ""Qu'est-ce que ce Monsieur_le_Baron ?  Serait-ce ce gentilhomme étranger ?"")",-,0.0
"('#belise', ""C'est lui-même, il est assez bien fait, comme vous voyez."")",-,0.0
"('#bartolin', 'Oui, mais il porte une vilaine balafre sur le visage.')",-,0.0
"('#belise', ""C'est une blessure qu'il a reçue l'année dernière du siège de Corfou.  C'est un homme de guerre et de cabinet, prenez bien garde à ne lui pas manquer de respect, au moins."")",-,0.0
"('#bartolin', ""Sa physionomie n'en imprime guère, et c'est encore, je crois, plus qu'il n'en mérite."")",-,0.0
"('#garbatacase', 'Bondi, Madame, bondi, comé se porta vo signorie ?')",-,0.0
"('#belise', 'Fort à votre service, Monsieur_le_Baron, voilà mon frère que je vous présente.')",-,0.0
"('#garbatacase', 'Vostro fratello, Madame.')",-,0.0
"('#belise', ""Si, Signor : il aura l'honneur de souper avec nous."")",-,0.0
"('#garbatacase', ""Ah !  Veramente mi fara un grand piacer, son schiavo hiumilissimo de sua persona et toute la familia, bella prestanza d'home, phisionomia gratiosa, Monsou e aparamenté un home de robe, un Conseiller de la Cita ou de la Province."")",-,0.0
"('#bartolin', ""Ni l'un, ni l'autre, Monsieur, je vis de mon bien."")",-,0.0
"('#garbatacase', ""Ah !  Quel gousto, quel bel métier dy far niente !  Sarai ben contento d'effer comé vo Signoria mon cher Mousou : ma jai tanté cosé à far, de cosi grandés occupations qué non o casi pas il tempo de magniar, de bévir, de dormir, et de vivre à parlar propriamenté."")",-,0.0
"('#bartolin', ""J'entends, Monsieur, j'entends, vous n'avez quasi le temps que de jouer, n'est-ce pas ?"")",-,0.0
"('#garbatacase', ""É la verità : mà je ne joue que par complaisance, je suis né per la societa, per far plaisir à tout il mondo, per occupar les fénéans de qualità, les oisifs de la bourgeoisie, et les Dames sur tout, sono piou a ellé qu'à moi-même."")",-,0.0
"('#bartolin', 'Cela est tout-à fait louable.  Voilà un maître fripon, si je ne me trompe.')",-,0.0
"('#belise', ""Je vous l'avais bien dit, mon frère, que Monsieur était un homme de grand mérite."")",-,0.0
"('#garbatacase', 'My fatté rougir doui, Madama sempré gratiosa, sempré obligeante : ma vi diro que sta matina o intéso una cosa qui mi fa péna.')",-,0.0
"('#belise', 'Vous avez entendu quelque chose qui vous fait peine.')",-,0.0
"('#garbatacase', 'Si Signora.')",-,0.0
"('#belise', 'Et que pourrait-ce être ?')",-,0.0
"('#garbatacase', 'Si dicé nel la cità qué lés jeux dy hasard le lansquenet, le Pharaon, la Bassette seront défendous.')",-,0.0
"('#bartolin', ""Je vous le disais tout à l'heure, ma soeur."")",-,0.0
"('#belise', 'Voilà une très fâcheuse nouvelle.')",-,0.0
"('#garbatacase', 'Si si Signorà per populo, per la canailla, ma non per mi qui suis un home de distinction, un home de permission, les défenses ne sont pas faites pour les personnes qui savent se permette-ré-tout.')",-,0.0
"('#belise', 'Non, non assurément, cela ne vous regarde pas.')",-,0.0
"('#garbatacase', ""Je suis tranquille là-dessus, et je vas en attendant la partie, travailler al mié despêches ; mà si pourtant il arriva quelque difficultà, que j'en sois averti, Madama, il ne faut pas se laisser surprendre.  Adio Signor, Adieu, Adieu, Madama."")",-,0.0
"('#bartolin', ""Monsieur_le_Baron de Garbatacase n'est pas si sûr de son fait qu'il veut le paraître, ma soeur, je crains les suites de votre société."")",-,0.0
"('#belise', 'Vous êtes un pauvre homme, mon frère.')",-,0.0
"('#marton', 'Vos ordres sont donnés, Madame, vous ferez grande chère, et vous aurez bonne compagnie ; mais on vient de me donner là-bas un papier qui troublera la fête peut-être.')",-,0.0
"('#belise', ""Qu'est-ce que c'est que ce papier ?"")",-,0.0
"('#marton', ""Du griffonnage, Madame : Quelque bagatelle apparemment, car cela est fort mal écrit.  L'homme qui l'a apporté, a dit seulement que c'était une Lettre de Change de mille écus, je pense, que l'on tirait sur vous et sur M.  le Baron, pour avoir donné à jouer sans permission ; et que si vous continuiez, on continuerait à en tirer d'autres à mesure qu'on le trouverait à propos ; que ces Lettres de change-là étaient payables à vue par provision, et qu'on nous mettrait au Châtelet faute de paiement."")",-,0.0
"('#bartolin', ""Voilà justement ce que j'avais prévu."")",-,0.0
"('#belise', ""Voyez un peu ce que c'est que ce papier, Monsieur Bartolin."")",-,0.0
"('#bartolin', ""Et c'est, c'est... une bonne amende de mille écus, à quoi vous êtes solidairement condamnée avec votre Monsieur_le_Baron."")",-,0.0
"('#belise', ""Le Baron condamné à l'amende, il ne la paiera point."")",-,0.0
"('#bartolin', ""Oh !  Pour cela je n'en doute point, et vous pourrez bien la payer toute seule."")",-,0.0
"('#marton', 'Voilà une belle occasion, Monsieur.')",-,0.0
"('#belise', ""Oui, voyez un peu ce qu'il y a à faire à cela, mon frère : pour moi, je vais avertir Monsieur_le_Baron, afin qu'il prenne ses mesures, et qu'il soutienne avec vigueur l'incontestabilité des droits qu'il a."")",-,0.0
"('#bartolin', ""Allez, ma soeur, il les soutiendra mal, sue ma parole.  Hé bien, Lisette, voilà ta prétendue fortune un peu dérangée, à ce qu'il me semble ; et si ma soeur est bien conseillée, tu retourneras au Magasin, ou à la Boutique."")",-,0.0
"('#marton', ""Elle aura bien de la peine à quitter un Hôtel pour reprendre son enseigne de la Picarde.  Pour moi, mon parti est pris, cela ne me gênera point, et j'aime encore mieux la Boutique que le Châtelet."")",-,0.0
"('#bartolin', 'Tu as de fort bon sens.')",-,0.0
"('#marton', ""Franchement, Monsieur, je n'ai jamais guère donné dans tout cela, mais j'y trouvais mon compte : il y a plus de fatigue à remuer des paquets de toile, que des sixains de cartes, et cela faisait que je m'accommodais facilement au goût de Madame."")",-,0.0
"('#bartolin', ""Il faut cependant ; autant qu'il se pourra, prévenir, ou arrêter, la suite de ces procédures.  Je vais tâcher d'y donner ordre ?"")",-,0.0
"('#marton', 'Je ne sais ce que cela veut dire, mais je ne suis point trop fâchée de cet inconvénient.  Madame en enragera, mais Mademoiselle sa fille en sera charmée.  La voici, prenons ouvertement ses intérêts, et travaillons de concert avec elle pour faire réussir son mariage avec Valère.')",-,0.0
"('#celide', 'Ah !  Ma chère Marton, que je suis ravie.')",-,0.0
"('#marton', 'Hé !  De quoi donc, Mademoiselle ?')",-,0.0
"('#celide', ""De ce que je viens d'apprendre.  Les Jeux sont défendus, ma chère enfant : on dit qu'on ne parle d'autre chose dans tout Paris, et je voudrais de tout mon coeur, je te l'avoue, que cette nouvelle fût bien confirmée."")",-,0.0
"('#marton', ""Elle ne l'est que trop, et l'on vient d'en donner avis à Madame votre mère en papier timbré."")",-,0.0
"('#celide', 'Je ne me sens pas de joie, ma pauvre Marton.')",-,0.0
"('#marton', ""Je suis assez comme vous, mais je n'oserais le témoigner à Madame."")",-,0.0
"('#celide', ""Le jeu ne me déplairait peut-être point si fort, si l'on jouait ailleurs que chez ma mère ; mais que cette maison sois une Académie ouverte à toutes sortes de gens, que tout ce qu'il y a de fainéants et d'extravagants, pour ne rien dire de plus fâcheux, soient les bienvenus dans ce logis ; que dans mon cabinet, à ma toilette même, je sois éternellement obsédée de mille figures désagréables, à qui je n'ose dire vous me fatiguez, parce que ce sont des dupes qui perdent sottement leur argent avec ma mère : en vérité, c'est un supplice dont je serai bien aise d'être débarrassée."")",-,0.0
"('#marton', ""Valère vous en débarrassera, c'est un fort joli homme, Mademoiselle ; et il faut qu'il vous aime bien tendrement pour ne s'être point rebuté du parti qu'avait pris Madame votre mère, et du refus qu'elle fît à la personne qui vous demanda pour lui il y a quelques jours."")",-,0.0
"('#celide', ""Je ne sais : mais il me semble que dans l'état où sont les choses, si la nouvelle est bien vraie, il devait être le premier à m'en informer, et ne pas tant attendre à se rendre ici."")",-,0.0
"('#marton', ""Nous l'y verrons bientôt, sur ma parole, Monsieur votre oncle, qui sort dans le moment, et qui a bon esprit, n'aura pas manqué de passer chez lui, il est dans ses intérêts, et le regarde déjà comme son neveu."")",-,0.0
"('#celide', 'Le voici, ma chère Marton.')",-,0.0
"('#marton', ""Ne vous disais-je pas bien, qu'il ne tarderait pas à venir."")",-,0.0
"('#valere', ""Hé bien !  Adorable Célide, puis-je espérer que le changement dont on parle aujourd'hui dans Paris, fera changer en ma faveur l'esprit et le coeur de Madame votre mère ?  Et croyez-vous qu'elle me pardonne à présent de n'être pas joueur de profession ?"")",-,0.0
"('#celide', ""Je ne sais qu'en penser, Valère."")",-,0.0
"('#marton', ""Oh !  Je n'en doute point du tout, moi ; la déroute des Jeux vous donne beau jeu à vous, et Madame ne saurait plus condamner vos sentiments, puisque les voilà justifiés par Arrêt."")",-,0.0
"('#celide', ""Je vous réponds de mon coeur, Valère ; mais je ne vous réponds pas de ma mère ; je vous ai déjà dit les raisons qui jusqu'ici, je crois, l'ont rendue contraire à notre engagement.  Elle m'a parlé tant de fois, et si avantageusement, d'un certain neveu du Baron."")",-,0.0
"('#marton', 'Qui !  Ce petit freluquet qui se fait appeler Monsieur_le_Comte ?')",-,0.0
"('#celide', ""De lui-même, Marton, je la soupçonne de m'avoir destinée pour lui, dans la pensée qu'il est homme de grosse condition, et dans l'espérance d'une fortune considérable que son oncle et lui doivent faire au jeu."")",-,0.0
"('#valere', ""Ce sont deux aventuriers tombés des nues, des Chevaliers de l'industrie, que l'on ne connaît que par le jeu, et qui ne subsistent que par-là comme mille autres de leur caractère."")",-,0.0
"('#marton', ""Voilà bien des Chevaliers à l'Hôpital.  Que de banqueroutes !  Mais laissons-là les réflexions, s'il vous plaît, et songeons sérieusement aux moyens de tirer Madame votre mère de l'entêtement qu'elle a pour l'oncle et pour le neveu."")",-,0.0
"('#valere', ""Cela ne sera peut-être pas tout à fait impossible ; j'ai depuis quelques jours à mon service un maître fripon, que je crois reconnaître ; il ne s'est point fait mon valet sans quelque dessein, et il pourrait bien nous être utile dans cette affaire."")",-,0.0
"('#marton', ""Le voici qui vient tout à propos, comme si vous l'aviez mandé."")",-,0.0
"('#valere', 'Oh çà, Frontin, il faut me rendre un service, mon ami.')",-,0.0
"('#frontin', ""Fort volontiers, je suis tout à vous.  Depuis le peu de temps que j'ai l'honneur de vous servir, je vous ai pris en affection, je suis fort content de vous ; expliquez-moi votre affaire, que je vois si elle n'est point trop difficile, et si je me ferai prier ou non."")",-,0.0
"('#celide', ""Ah !  Mon pauvre garçon, tâche à suivre ce qu'on te dira, et sois assuré d'une parfaite reconnaissance."")",-,0.0
"('#frontin', 'Voilà de douces paroles qui me disposent.')",-,0.0
"('#celide', 'Et voilà vingt pistoles dans ma bourse qui te détermineront peut-être.')",-,0.0
"('#frontin', 'Votre affaire ira bien, voilà un heureux présage.')",-,0.0
"('#valere', ""Oh !  Ce n'est point l'argent qui le gouverne, vous ne le connaissez pas si bien que moi, Madame, et il ne tient qu'à lui d'en avoir autant qu'homme de France."")",-,0.0
"('#frontin', ""Comment diantre !  M'aurait-il reconnu ?"")",-,0.0
"('#valere', 'Demandez-lui si je me trompe.')",-,0.0
"('#frontin', 'Monsieur...')",-,0.0
"('#valere', ""Hé !  Allons, allons, parlons franchement mon ami : je suis bon Prince, comme tu vois, je me connais en gens, et toute ta science ne se borne point à bien faire un message, à savoir peigner une perruque.  Hé !  Plaît-il ?  Qu'en penses-tu, Marton ?"")",-,0.0
"('#marton', ""Je lui trouve quelque chose de grand, quelque chose d'illustre dans la physionomie."")",-,0.0
"('#frontin', ""Ma physionomie est fort heureuse.  J'enrage, me voilà découvert."")",-,0.0
"('#valere', 'Nous nous sommes vus quelque part, assurément, rappelle un peu tes idées, je suis sûr des miennes, moi.  Tu ne te nommais pas Frontin, dans ce temps-là ; tu es un adroit, un virtuose.')",-,0.0
"('#frontin', 'Tout est perdu... Monsieur, je ne me remets pas...')",-,0.0
"('#marton', ""Hé !  Mort de ma vie, tu fais bien des façons pour avouer la chose.  Est-ce un si grand crime que l'industrie ?  Et n'y a-t-il pas aujourd'hui mille honnêtes gens qui s'en mêlent ?"")",-,0.0
"('#frontin', ""Hé bien, Monsieur, puisqu'il faut vous dire les choses, je vous avoue ingénument que je me suis autrefois mêlé de quelques petites bagatelles, mais je vous assure que j'ai tout oublié : je ne vous conseille pas de jouer de moitié avec moi, je vous ferais perdre infailliblement, Mademoiselle... Il veut rendre la bourse."")",-,0.0
"('#valere', ""Non, non, garde la bourse, on ne te l'a pas donnée pour être de moitié ; c'est déjà quelque chose, de t'être autrefois mêlé de la bagatelle, et il n'est pas que tu n'en saches assez pour ce qu'il nous faut."")",-,0.0
"('#frontin', ""Puisque vous devinez si bien les choses, Monsieur, je ne vous nierai point quelques-unes de ces petites bagatelles : quelques Décrets mal purgés, quelques petites bouderies que la Justice et moi nous avons eues ensemble, m'ont fait résoudre à me cacher sous l'habit de domestique auprès quelque honnête personne, qui eût soin de moi, et qui m'honorât de sa protection, en cas de besoin."")",-,0.0
"('#valere', ""Tu peux t'assurer de tout cela, si tu me sers sans me trahir.  Ne connais-tu point un certain Baron de Garbatacase, par hasard ?  Les illustres de même métier se connaissent ordinairement."")",-,0.0
"('#frontin', 'Le Baron de Garbatacase !  Je ne me remets point cela.')",-,0.0
"('#valere', ""Rêve un peu, tâche à rappeler ta mémoire, c'est le meilleur de tes amis, peut-être."")",-,0.0
"('#celide', 'Vous rêvez, Valère, de vous imaginer que ce Baron-là soit de la connaissance et des amis de votre valet.')",-,0.0
"('#valere', ""Non, non, cette pensée n'est pas sans fondement, et je vous réponds qu'il n'y a pas deux ans que Frontin était un homme autant d'importance, que le personnage à qui nous avons affaire."")",-,0.0
"('#frontin', ""Ah !  Monsieur, c'est à Lyon que vous m'avez vu sans doute ; car je n'ai presque fait jamais l'homme de qualité que dans cette Ville-là."")",-,0.0
"('#valere', ""Que vous disais-je ?  Hé bien !  Crois-tu connaître celui que je t'ai nommé ?"")",-,0.0
"('#frontin', ""Ce nom-là, Monsieur, a assez de l'air de quelques-unes de nos Seigneuries Ultramontaines.  Il y a beaucoup de Commanderies de notre Ordre du côté des Alpes ; mais il me semble que je n'ai pas encore ouï parler de ce Seigneur-là."")",-,0.0
"('#marton', ""Il faudrait lui faire voir les gens en question ; il connaîtra quelqu'un d'eux, peut-être."")",-,0.0
"('#frontin', ""Hom.  Je pourrais bien les voir sans les connaître, car nous changeons de personnage dans le monde.  Tantôt on est Marquis, tantôt Chevalier, puis Marchand, Abbé quelquefois, Financier souvent ; dans la dernière affaire qui m'est arrivée, je passais pour un Procureur, le croiriez-vous ?"")",-,0.0
"('#marton', 'Tu étais un fripon bien mal déguisé.')",-,0.0
"('#valere', 'Çà voyons, comment ferons-nous ?')",-,0.0
"('#frontin', 'Si vous pouviez me faire jouer avec votre homme, ne fut-ce que quelques parties de Piquet seulement, pour peu que nous travaillions ensemble tête à tête, je vous dirai bientôt de quoi il est capable, de quelle école il est sorti, et en quoi il excelle, et quelque chose de plus encore, peut-être.')",-,0.0
"('#valere', 'Me réponds-tu de cela ?')",-,0.0
"('#frontin', 'Oui morbleu, je vous en réponds, nous nous connaissons en habiles joueurs, mieux que les brocanteurs ne se connaissent en tableaux.')",-,0.0
"('#marton', 'Quelle perfection !  Cela est admirable.')",-,0.0
"('#valere', 'Viens, suis-moi, tu prendras celui de mes habits qui te conviendra le mieux, et nous concerterons ensemble les moyens de te mettre aux prises avec le Baron.')",-,0.0
"('#celide', 'Le voici, je pense, avec ma mère.')",-,0.0
"('#valere', 'Ne le reconnais-tu point, dis ?')",-,0.0
"('#frontin', ""Et comment diantre le reconnaître, il n'a que la moitié de son visage."")",-,0.0
"('#valere', 'Ne perdons point de temps, songeons à notre affaire.')",-,0.0
"('#belise', 'Voilà, Monsieur_le_Baron, la situation où sont les choses')",-,0.0
"('#garbatacase', 'No é bonà stà scituationé, ma bisogna pillar un poco di patience, et di veder le cours des affaires.')",-,0.0
"('#belise', 'Oui, mais ces affaires-là vont vite, à ce que dit Monsieur Bartolin.')",-,0.0
"('#marton', ""Et quand on s'amuse à les voir courir, elles attrapent les regardants quelquefois."")",-,0.0
"('#belise', 'Croyez-moi, Monsieur, ne négligez rien ; représentez vos droits, faites-les valoir.')",-,0.0
"('#garbatacase', ""No é tempo encorà, Madame, non é rempo ; é pericoloso di commettersi, la politica est le parti qu'un galant homme deve prendre, con la joustitia."")",-,0.0
"('#marton', ""Mais la jousticia, elle n'a point de politicà, Monsieur, è une brutale qui va toujours son train."")",-,0.0
"('#garbatacase', 'Qué faté a questo ?  Quelle manière de si far jousticià de la joustitià habbi sempré la spadà a la mano, lasciamo far al tempo.')",-,0.0
"('#belise', ""Oui, mais ces lettres de change de mille écus, que l'on tire sur vous et sur moi, et qui sont payables à vue ?"")",-,0.0
"('#garbatacase', ""Pagar Signora, pagar, nô fare rebellion ; al contrario de la politessà de l'accortise vi prometto que quel argent ritornera con l'usura."")",-,0.0
"('#belise', ""Je n'y vois guère d'apparence."")",-,0.0
"('#garbatacase', 'Si mutarono li tempi, et si la persécution persevera faremo viagi, andaremo tutti in Angliterrà.')",-,0.0
"('#belise', 'En Angleterre, Monsieur.')",-,0.0
"('#garbatacase', 'Si Signora, e païs excellente per la residenza.')",-,0.0
"('#belise', ""Je n'en serais pas fâchée, je suis assez dans le goût des voyages.  Vous viendrez avec nous, ma fille."")",-,0.0
"('#celide', 'Vous êtes la maîtresse, Madame.')",-,0.0
"('#marton', 'Le joli pèlerinage.')",-,0.0
"('#garbatacase', 'E à proposito, in queste conjonturé, di pillar di précaution, me ne vo cercar un Banquier, Per far passar la mer à mes fonds, li viagio si fara sur le vostri, madame, et les comptes si farono quando sarémo arrivari à Londres.')",-,0.0
"('#marton', 'Adio, adunqué, signor bon viaggio.')",-,0.0
"('#belise', ""Hé bien, ma fille, voilà un terrible coup, à quoi je ne m'attendais guères, tout est perdu ; voilà notre fortune ruinée, ma chère enfant !"")",-,0.0
"('#celide', 'Comment donc, Madame ?')",-,0.0
"('#belise', ""Heureusement il nous reste la ressource des voyages, comme Monsieur_le_Baron l'a parfaitement imaginée."")",-,0.0
"('#marton', ""C'est un homme de bon esprit, il en a jusqu'au bout des doigts."")",-,0.0
"('#celide', ""Voilà de terribles ressources, Madame, et je vous avoue qu'elles me font trembler."")",-,0.0
"('#belise', 'Et pourquoi donc, Mademoiselle ?  Rien ne forme tant les jeunes personnes que les voyages.')",-,0.0
"('#marton', 'Assurément ; ne vous mènerez-vous point faire une petite campagne en Hongrie ?')",-,0.0
"('#belise', ""Pourquoi non ; s'il y avait de l'argent à gagner ?  Nous irons d'abord en Angleterre, ma fille."")",-,0.0
"('#celide', 'En Angleterre, Madame ?')",-,0.0
"('#marton', 'Passer la mer comme des hirondelles ?')",-,0.0
"('#celide', 'Mais, avez-vous bien songé, Madame ?')",-,0.0
"('#belise', ""Ces choses-là n'ont pas besoin de réflexions, et j'ai ouï dire toute ma vie que l'Angleterre était au Pérou pour un habile joueur, comme Monsieur_le_Baron, la plupart de ces Milords ne savent que faire de leur argent."")",-,0.0
"('#celide', 'Ah !  Juste Ciel !  Que je suis malheureuse ?')",-,0.0
"('#belise', ""Quand nous aurons épuisé l'Angleterre, nous passerons en Hollande, il y a encore de bonnes bourses en ce pays-là."")",-,0.0
"('#marton', 'Assurément ; et si vous ruinez la Hollande, je vous conseille de ne pas aller plus loin, et de revenir à Paris tout au plus vite.')",-,0.0
"('#belise', ""Moi, je n'y remettrai les pieds de ma vie, que le Lansquenet et le Pharaon n'y soient rétablis dans tout leur éclat."")",-,0.0
"('#marton', 'Voilà Madame_la_Comtesse qui fera le voyage avec vous, si vous voulez.')",-,0.0
"('#la-comtesse', ""Bonjour, ma chère ; qu'est-ce donc que ceci.  Où est tout notre monde aujourd'hui.  Quels paresseux !  Le Chevalier Toppe n'est point encore venu ?  Où est Monsieur l'Abbé Quinze et le Và, ma Mignonne, et le petit Caissier ?  Je ne le vois point ; il faut que la Marquise et la Conseillère soient malades, puisqu'elles ne sont pas arrivées des premières."")",-,0.0
"('#celide', 'Je suis dans un étrange accablement, Marton.')",-,0.0
"('#marton', 'Allez vous reposer dans votre cabinet, je vous avertirai quand Valère et son valet seront ici.')",-,0.0
"('#la-comtesse', ""Dans quelle inaction tout me paraît ici !  Le jeu n'est point encore rangé, il n'y a nuls préparatifs pour la grosse partie que nous devons avoir."")",-,0.0
"('#belise', 'Hé !  Madame_la_Comtesse, quel contretemps de plaisanterie ?')",-,0.0
"('#la-comtesse', ""Je ne plaisante point du tout ; vraiment ; je ne vins point hier, ne m'en faites point de reproches, je ne sortis point de la journée, je ne vis personne ; je m'étais purgée par précaution, pour évacuer les mauvaises humeurs que ma mauvaise fortune m'a fait faire ; et mon Apothicaire, qui est un fort habile homme, m'a bien assurée que ma médecine me purgerait aussi de mon malheur.  Oh !  Je suis sûre de gagner aujourd'hui tout ce que je voudrai."")",-,0.0
"('#marton', 'Prendre médecine pour gagner, la sage précaution !')",-,0.0
"('#la-comtesse', ""Je me porte à merveille, et je brûle d'impatience de commencer la partie, pour voir si le remède aura opéré."")",-,0.0
"('#marton', 'Vous vous êtes purgée un peu trop tard, Madame.')",-,0.0
