,la-fontaine-daphne,quinault-atys,Cost,Operation Type
22,"('#promethee', ""Leur coeur en est tout plein ; ce n'est qu'ambition, Colère, désespoir, crainte, ou joie excessive. Machine, on veut voir vos ressorts ; Quittez tous ces trompeurs dehors. Les nouveaux hommes, qui paraissaient de véritables statues, quittent une partie de l'habit qui les enveloppe, et se font voir tels qu'ils sont dans l'intérieur, l'un représentant l'ambition, l'autre, la colère, la crainte, le désespoir, la joie excessive, etc. En cet état ils dansent en confusion et d'une manière aussi impétueuse et aussi vive que l'autre était grave et peu animée."")","('#atys', ""Le soleil peint nos champs des plus vives couleurs, Il a séché les pleurs Que sur l'émail des prés a répandu l'aurore ; Et ses rayons nouveaux ont déjà fait éclore Mille nouvelles fleurs."")",0.78,Substitution
23,"('#momus', 'Je la trouvais trop lente, et la voilà trop vive.')","('#idas', ""Vous veillez lorsque tout sommeille ; Vous nous éveillez si matin, Que vous ferez croire à la fin Que c'est l'amour qui vous éveille."")",1.34,Substitution
24,"('#minerve', 'Laissez-moi régler ces transports.')",,1.0,Insertion
25,"('#venus', ""Mon fils, par de secrètes causes, Peut encor mieux que vous les calmer à son tour : Rien n'a d'empire sur l'Amour, L'Amour en a sur toutes choses. Le plus magnifique don Qu'aux mortels on puisse faire, C'est l'amour."")","('#atys', ""Non, tu dois mieux juger du parti que je prends. Mon coeur veut fuir toujours les soins et les mystères ; J'aime l'heureuse paix des coeurs indifférents ; Si leurs plaisirs ne sont pas grands, Au moins leurs peines sont légères."")",0.34,Substitution
26,"('#minerve', ""C'est la raison. Le don le plus nécessaire Aux hôtes de ce séjour, C'est la raison."")","('#idas', ""Tôt ou tard l'amour est vainqueur, En vain les plus fiers s'en défendent, On ne peut refuser son coeur À de beaux yeux qui le demandent. Atys, ne feignez plus, je sais votre secret. Ne craignez rien, je suis discret. Dans un bois solitaire et sombre, L'indifférent Atys se croyait seul, un jour ; Sous un feuillage épais où je rêvais à l'ombre, Je l'entendis parler d'amour."")",1.12,Substitution
27,"('#venus', ""C'est l'amour."")","('#atys', ""Si je parle d'amour, c'est contre son empire, J'en fais mon plus doux entretien."")",0.77,Substitution
28,"('#amour', ""L'effet en jugera : servez-vous de vos armes, Et moi j'emploierai mes charmes."")",,1.0,Insertion
29,"('#minerve', ""Que vous vous tourmentez, mortels ambitieux, Désespérés et furieux, Ennemis du repos, ennemis de vous-mêmes ! A modérer vos voeux mettez tous vos plaisirs : Régnez sur vos propres désirs ; C'est le plus beau des diadèmes. Les hommes qui s'étaient arrêtés quelques moments pour ouïr Minerve, attendent à peine qu'elle a achevé, et ne laissent pas, malgré ses conseils, témoigner toujours la même fureur et le même emportement. L'Amour leur faisant signe qu'il veut parler, ils s'arrêtent."")","('#idas', ""Tel se vante de n'aimer rien, Dont le coeur en secret soupire. J'entendis vos regrets, et je les sais si bien Que si vous en doutez je vais vous les redire. Amants qui vous plaignez, vous êtes trop heureux : Mon coeur de tous les coeurs est le plus amoureux, Et tout près d'expirer je suis réduit à feindre ; Que c'est un tourment rigoureux De mourir d'amour sans se plaindre ! Amants qui vous plaignez, vous êtes trop heureux."")",0.0,Match
30,"('#amour', ""De vos sages discours voyez quel est le fruit Je ne dirai qu'un mot. Aimez. On obéit : Vous le voyez. Aux hommes. À ce mot, ceux qui dansaient en confusion et en tumulte dansent deux à deux comme personnes qui s'aiment."")","('#atys', ""Idas, il est trop vrai, mon coeur n'est que trop tendre, L'amour me fait sentir ses plus funestes coups. Qu'aucun autre que toi n'en puisse rien apprendre."")",0.69,Substitution
31,,"('#sangaride #doris', 'Allons, allons, accourez tous, Cybèle va descendre.')",1.0,Deletion
32,"('#venus', ""Amour, qu'il est doux de te suivre !"")","('#sangaride', 'Que dans nos concerts les plus doux, Son nom sacré se fasse entendre.')",1.46,Substitution
33,"('#jupiter', 'Vivez, nouveaux humains.')","('#atys', ""Sur l'univers entier son pouvoir doit s'étendre."")",1.86,Substitution
34,,"('#sangaride', 'Les dieux suivent ses lois et craignent son courroux.')",1.0,Deletion
35,,"('#atys #sangaride #idas #doris', 'Quels honneurs ! Quels respects ne doit-on point lui rendre ? Allons, allons, accourez tous, Cybèle va descendre.')",1.0,Deletion
36,"('#choeur-des-dieux', 'Vivez, nouveaux humains.')","('#sangaride', ""Écoutons les oiseaux de ces bois d'alentour, Ils remplissent leurs chants d'une douceur nouvelle. On dirait que dans ce beau jour, Ils ne parlent que de Cybèle."")",1.75,Substitution
37,"('#venus', ""Laissez-vous enflammer. Que vaut la peine de vivre, Sans le doux plaisir d'aimer ?"")","('#atys', ""Si vous les écoutez, ils parleront d'amour. Un roi redoutable, Amoureux, aimable, Va devenir votre époux ; Tout parle d'amour pour vous."")",0.63,Substitution
38,"('#choeur', ""Que vaut la peine de vivre, Sans le doux plaisir d'aimer ?"")","('#sangaride', ""Il est vrai, je triomphe, et j'aime ma victoire. Quand l'amour fait régner, est-il un plus grand bien ? Pour vous, Atys, vous n'aimez rien, Et vous en faites gloire."")",0.77,Substitution
39,"('#momus', ""D'où vient que si mal assortie Cette belle a fait choix d'un vieillard pour amant ?"")",,1.0,Insertion
40,"('#amour', ""C'est l'effet merveilleux d'un secret sentiment Que j'appelle sympathie."")","('#atys', ""L'amour fait trop verser de pleurs ; Souvent ses douceurs sont mortelles : Il ne faut regarder les belles Que comme on voit d'aimables fleurs. J'aime les roses nouvelles, J'aime à les voir s'embellir, Sans leurs épines cruelles, J'aimerais à les cueillir."")",1.32,Substitution
41,"('#venus', ""Le démon opposé n'a pas moins de pouvoir. Souvent nous haïssons ce qui devrait nous plaire."")","('#sangaride', ""Quand le péril est agréable, Le moyen de s'en alarmer ? Est-ce un grand mal de trop aimer Ce que l'on trouve aimable ? Peut-on être insensible aux plus charmants appas ?"")",0.87,Substitution
42,"('#jupiter', ""Tel dieu sait l'avenir, qui n'a pas su prévoir Quels maux ce démon lui va faire. Mais un jour un prince viendra Qui plaira plus qu'il ne voudra. Le Destin parmi nous lui garde un rang insigne, Et je lui veux accorder, Afin qu'il en soit plus digne, L'art de savoir commander. Mars lui promet en apanage La grandeur d'âme et de courage."")","('#atys', ""Non vous ne me connaissez pas. Je me défends d'aimer autant qu'il m'est possible ; Si j'aimais, un jour, par malheur, Je connais bien mon coeur Il serait trop sensible. Mais il faut que chacun s'assemble près de vous, Cybèle pourrait nous surprendre."")",0.72,Substitution
43,"('#minerve', 'Moi, la vertu.')","('#atys #idas', 'Allons, allons, accourez tous, Cybèle va descendre.')",1.52,Substitution
44,"('#venus', ""Moi, l'agrément."")",,1.0,Insertion
45,"('#amour', ""Et moi le don d'aimer et d'être heureux amant."")","('#sangaride', 'Atys est trop heureux.')",1.18,Substitution
46,"('#venus #l-amour #minerve', ""Amour et la Raison s'accorderont pour faire Qu'aux coeurs comme aux esprits ce prince plaise un jour"")","('#doris', ""L'amitié fut toujours égale entre vous deux, Et le sang d'assez près vous lie : Quel que soit son bonheur, lui portez-vous envie ? Vous, qu'aujourd'hui l'hymen avec de si beaux noeuds Doit unir au roi de Phrygie ?"")",0.19,Substitution
47,"('#choeur', 'Heureux qui par raison doit plaire ! Plus heureux qui plaît par amour !')","('#sangaride', 'Atys, est trop heureux. Souverain de son coeur, maître de tous ses voeux, Sans crainte, sans mélancolie, Il jouit en repos des beaux jours de sa vie ; Atys ne connaît point les tourments amoureux, Atys est trop heureux.')",0.68,Substitution
48,,"('#doris', ""Quel mal vous fait l'amour ? Votre chagrin m'étonne."")",1.0,Deletion
49,"('#chloris #aminte #nymphes', ""Allons dans cette prairie : C'est un tranquille séjour ; Jamais les larmes d'amour N'y baignent l'herbe fleurie ; Les moutons y sont en paix, Et les loups n'y font jamais D'outrage à la bergerie."")","('#sangaride', ""Je te fie un secret qui n'est su de personne. Je devrais aimer un amant Qui m'offre une couronne ; Mais, hélas ! Vainement Le devoir me l'ordonne, L'amour, pour mon tourment, En ordonne autrement."")",0.67,Substitution
50,"('#chloris', 'Viens, ma soeur.')","('#doris', ""Aimeriez-vous Atys, lui dont l'indifférence Brave avec tant d'orgueil l'amour et sa puissance ?"")",1.99,Substitution
51,"('#aminte', 'Je te suis.')","('#sangaride', ""J'aime, Atys, en secret, mon crime, est sans témoins. Pour vaincre mon amour, je mets tout en usage, J'appelle ma raison, j'anime mon courage ; Mais à quoi servent tous mes soins ? Mon coeur en souffre davantage, Et n'en aime pas moins."")",1.63,Substitution
52,"('#chloris', ""Viens goûter une vie Dont le calme est digne d'envie. Notre Nymphe a banni de ces lieux si charmants Ce peuple d'importuns que l'on appelle amants. La voici."")","('#doris', ""C'est le commun défaut des belles. L'ardeur des conquêtes nouvelles Fait négliger les coeurs qu'on a trop tôt charmés, Et les indifférents sont quelquefois aimés Aux dépens des amants fidèles. Mais vous vous exposez à des peines cruelles."")",0.64,Substitution
53,"('#aminte', ""Que d'appas, de beautés, et de grâces ! Dirait-on pas que l'air s'embellit à ses traces ?"")","('#sangaride', ""Toujours aux yeux d'Atys je serai sans appas ; Je le sais, j'y consens, je veux, s'il est possible, Qu'il soit encor plus insensible ; S'il me pouvait aimer, que deviendrais-je ? Hélas ! C'est mon plus grand bonheur qu'Atys ne m'aime pas. Je prétends être heureuse, au moins, en apparence ; Au destin d'un grand roi je me vais attacher."")",1.07,Substitution
54,"('#daphne', ""Amour, n'approche point de nos ombrages doux, De nos prés, de nos fontaines ; Laisse en repos ces lieux ; assez d'autres que nous Se feront un plaisir de connaître tes peines."")","('#sangaride #doris', ""Un amour malheureux dont le devoir s'offense, Se doit condamner au silence ; Un amour malheureux qu'on nous peut reprocher, Ne saurait trop bien se cacher."")",0.42,Substitution
55,"('#daphne', ""Chloris, n'est-ce pas la ta soeur que tu m'amènes ?"")","('#atys', ""On voit dans ces campagnes Tous nos phrygiens s'avancer."")",1.52,Substitution
56,,"('#doris', 'Je vais prendre soin de presser Les nymphes nos compagnes.')",1.0,Deletion
57,,"('#atys', 'Sangaride, ce jour est un grand jour pour vous.')",1.0,Deletion
58,"('#chloris', 'Je vous la viens offrir. Nous cherchions en ces lieux Ce que Flore a pour vous de dons plus précieux.')","('#sangaride', ""Nous ordonnons tous deux la fête de Cybèle, L'honneur est égal entre nous."")",1.36,Substitution
59,"('#daphne', ""Cherchons, cherchons des fleurs ; l'âge nous y convie : Parons-nous de bouquets pendant notre printemps : Les plaisirs ont chacun leur temps, Comme les saisons de la vie Daphné, ayant achevé ces paroles, se baisse pour cueillir des fleurs, et les Nymphes de la suite en font autant ; pendant quoi un choeur de bergers, demeuré par respect derrière le théâtre, répète ces mots."")","('#atys', 'Ce jour même, un grand roi doit être votre époux Je ne vous vis jamais si contente et si belle ; Que le sort du roi sera doux !')",1.01,Substitution
60,"('#choeur-de-bergers', 'Cherchons, cherchons des fleurs ; Daphné nous y convie.')","('#sangaride', ""L'indifférent Atys n'en sera point jaloux."")",1.66,Substitution
61,"('#daphne', ""J'entends de nos bergers le concert plein d'appas. Qu'ils chantent, je le veux, mais qu'ils n'approchent pas."")","('#atys', ""Vivez tous deux contents, c'est ma plus chère envie ; J'ai pressé votre hymen, j'ai servi vos amours. Mais enfin ce grand jour, le plus beau de vos jours, Sera le dernier de ma vie."")",1.38,Substitution
62,"('#choeur-de-bergers', 'Cherchons, cherchons des fleurs ; Daphné nous y convie Il en renaît sous ses pas.')","('#sangaride', 'Ô dieux !')",1.58,Substitution
63,"('#daphne', 'Déployons nos trésors.')","('#atys', ""Ce n'est qu'à vous que je veux révéler Le secret désespoir où mon malheur me livre ; Je n'ai que trop su feindre, il est temps de parler ; Qui n'a plus qu'un moment à vivre, N'a plus rien à dissimuler."")",1.69,Substitution
64,,"('#sangaride', 'Je frémis, ma crainte est extrême ; Atys, par quel malheur faut-il vous voir périr ?')",1.0,Deletion
65,,"('#atys', 'Vous me condamnerez vous-même, Et vous me laisserez mourir.')",1.0,Deletion
66,"('#chloris', ""J'ai cueilli les plus belles."")","('#sangaride', ""J'armerai, s'il le faut, tout le pouvoir suprême..."")",1.5,Substitution
67,"('#aminte', 'Et moi, les plus nouvelles.')",,1.0,Insertion
68,"('#meroe', 'Moi, les plus vives en couleur.')",,1.0,Insertion
69,"('#daphne', ""Et vous ? Quel mauvais choix vous avez fait, ma soeur ! Vous nous direz, pour votre peine, Une chanson contre l'Amour. Cependant je veux que ma Cour Jure de lui porter une éternelle haine ; Jurez la première, Clymène !"")","('#atys', ""Non, rien ne me peut secourir, Je meurs d'amour pour vous, je n'en saurais guérir ;"")",0.84,Substitution
70,,"('#sangaride', 'Quoi ? Vous ?')",1.0,Deletion
71,"('#clymene', ""Tout serment De n'avoir jamais d'amant Est chose fort incertaine ; Il en est peu que l'on tienne Plus d'un jour, plus d'un moment : Tout serment De n'avoir jamais d'amant Est chose fort incertaine."")","('#atys', 'Il est trop vrai.')",1.42,Substitution
72,,"('#sangaride', ""Vous m'aimez ?"")",1.0,Deletion
73,"('#daphne', 'Je veux que vous juriez ; dites donc après moi : Amour,')","('#atys', ""Je vous aime. Vous me condamnerez vous-même, Et vous me laisserez mourir. J'ai mérité qu'on me punisse, J'offense un rival généreux, Qui par mille bienfaits a prévenu mes voeux : Mais je l'offense en vain, vous lui rendez justice ; Ah ! Que c'est un cruel supplice D'avouer qu'un rival est digne d'être heureux ! Prononcez mon arrêt, parlez sans vous contraindre."")",0.69,Substitution
74,"('#clymene', 'Amour,')","('#sangaride', 'Hélas !')",0.0,Match
75,"('#daphne', 'Si jamais sous ta loi Je respire,')","('#atys', ""Vous soupirez ? Je vois couler vos pleurs ? D'un malheureux amour plaignez-vous les douleurs ?"")",1.4,Substitution
76,"('#clymene', 'Si jamais sous ta loi Je respire,')","('#sangaride', 'Atys, que vous seriez à plaindre Si vous saviez tous vos malheurs !')",1.69,Substitution
77,"('#daphne', 'Je consens de mourir.')","('#atys', 'Si je vous perds, et si je meurs, Que puis-je encore avoir à craindre ?')",0.75,Substitution
78,,"('#sangaride', ""C'est peu de perdre en moi ce qui vous a charmé, Vous me perdez, Atys, et vous êtes aimé."")",1.0,Deletion
79,,"('#atys', ""Aimé ! Qu'entends-je ? Ô ciel ! Quel aveu favorable !"")",1.0,Deletion
80,"('#clymene', ""Mourir ? c'est beaucoup dire."")","('#sangaride', 'Vous en serez plus misérable.')",1.23,Substitution
81,"('#daphne', 'Je consens de mourir, si jamais je soupire.')","('#atys', ""Mon malheur en est plus affreux, Le bonheur que je perds doit redoubler ma rage ; Mais n'importe, aimez-moi, s'il se peut, d'avantage, Quand j'en devrais mourir cent fois plus malheureux."")",0.97,Substitution
82,,"('#sangaride', ""Si vous cherchez la mort, il faut que je vous suive ; Vivez, c'est mon amour qui vous en fait la loi."")",1.0,Deletion
83,"('#clymene', 'Je consens de mourir, si jamais je soupire.')","('#atys', 'Hé comment ! Hé pourquoi Voulez-vous que je vive, Si vous ne vivez pas pour moi ?')",0.83,Substitution
84,,"('#atys #sangaride', ""Si l'hymen unissait mon destin et le vôtre, Que ses noeuds auraient eu d'attraits ! L'amour fit nos coeurs l'un pour l'autre, Faut-il que le devoir les sépare à jamais ?"")",1.0,Deletion
85,,"('#atys', 'Devoir impitoyable ! Ah quelle cruauté !')",1.0,Deletion
86,,"('#sangaride', ""On vient, feignez encor, craignez d'être écouté."")",1.0,Deletion
87,,"('#atys', ""Aimons un bien plus durable Que l'éclat de la beauté : Rien n'est plus aimable Que la liberté."")",1.0,Deletion
88,,"('#atys', ""Mais déjà de ce mont sacré Le sommet paraît éclairé D'une splendeur nouvelle. Sangaride s'avançant vers la montagne. La déesse descend, allons au devant d'elle."")",1.0,Deletion
89,"('#daphne', 'Clymène, acquittez-vous ; accompagnons ses sons, Et que nos pas animent nos chansons. Daphné et les personnes de sa suite se prennent alors par la main, et Clymène chante cette gavotte que toute la troupe danse, la répétant après elle : ')","('#atys #sangaride', 'Commençons, commençons De célébrer ici sa fête solennelle, Commençons, commençons Nos jeux et nos chansons. Le choeur répète ces deux derniers vers.')",0.25,Substitution
90,"('#clymene', ""L'autre jour sur l'herbe tendre Je m'assis près de Philandre : Il me conta ses tourments ; Ma mère alors me querelle. « Petite fille, dit-elle, N'écoutez point les amants. Ils sont indiscrets, volages, Téméraires, et peu sages ; Ils font mille faux serments : Ils sont jaloux, ils sont traîtres, Et tyrans quand ils sont maîtres, N'écoutez point les amants. » Écoutez ma chansonnette, Et l'écho qui la répète, Et ces rossignols charmants : Leur musique est sans pareille ; Mais ne prêtez point l'oreille Au ramage des amants."")","('#atys #sangaride', 'Il est temps que chacun fasse éclater son zèle. Venez, reine des dieux, venez, Venez, favorable Cybèle. Les choeurs répètent ces deux derniers vers.')",0.89,Substitution
91,"('#daphne', 'Méroé, poursuivez nos divertissements.')","('#atys', 'Quittez votre cour immortelle, Choisissez ces lieux fortunés Pour votre demeure éternelle.')",0.82,Substitution
92,,"('#les-choeurs', 'Venez, reine des dieux, venez.')",1.0,Deletion
93,,"('#sangaride', 'La terre sous vos pas va devenir plus belle Que le séjour des dieux que vous abandonnez.')",1.0,Deletion
94,,"('#les-choeurs', 'Venez, favorable Cybèle.')",1.0,Deletion
95,,"('#atys #sangaride', 'Venez voir les autels qui vous sont destinés.')",1.0,Deletion
96,"('#meroe', ""J'ai vu le temps qu'une jeune fillette Pouvait, sans peur, aller au bois seulette. Maintenant, maintenant les bergers sont loups : Je vous dis, je vous dis : « Filles, gardez-vous. »"")","('#atys #sangaride #idas #doris #choeurs', 'Écoutez un peuple fidèle Qui vous appelle, Venez, reine des dieux, venez, Venez, favorable Cybèle.')",1.1,Substitution
97,"('#apollon', ""Voici Tempé, cette vallée Dont on vante partout l'ombrage et les beautés ; Et voilà les flots argentés Qu'y fait couler le dieu Penée. Plus loin vers ces sommets mon empire s'étend. N'y veux-tu pas venir, Momus ? On nous attend."")","('#cybele', ""Venez tous dans mon temple, et que chacun révère Le sacrificateur dont je vais faire choix : Je m'expliquerai par sa voix, Les voeux qu'il m'offrira seront sûrs de me plaire. Je reçois vos respects ; j'aime à voir les honneurs Dont vous me présentés un éclatant hommage, Mais l'hommage des coeurs Est ce que j'aime davantage. Vous devez vous animer D'une ardeur nouvelle, S'il faut honorer Cybèle, Il faut encor plus l'aimer. Cybèle portée par son char volant, se va rendre dans son temple. Tous les phrygiens s'empressent d'y aller, et répètent les quatre derniers vers que la déesse a prononcés."")",0.17,Substitution
98,,"('#les-choeurs', ""Nous devons nous animer D'une ardeur nouvelle, S'il faut honorer Cybèle, Il faut encor plus l'aimer."")",1.0,Deletion
99,"('#momus', ""Demeurons encore où nous sommes : Ai-je pu voir en un instant Toutes les sottises des hommes ? Par vos puissants efforts, invincible Apollon, On ne craint plus ici les fureurs de Python. Les habitants de ces rivages DeVÉNUS plus heureux, n'en seront pas plus sages : Le temps de la sottise est celui du bonheur."")","('#celaenus', ""N'avancez pas plus loin, ne suivez point mes pas ; Sortez. Toi ne me quitte pas. Atys, il faut attendre ici que la déesse Nomme un grand sacrificateur."")",0.78,Substitution
100,"('#apollon', 'Mais que dis-tu de ma victoire ?')","('#atys', 'Son choix sera pour vous, seigneur ; Quelle tristesse semble avoir surpris votre coeur ?')",1.19,Substitution
101,,"('#celaenus', ""Les rois les plus puissants connaissent l'importance D'un si glorieux choix : Qui pourra l'obtenir étendra sa puissance Partout où de Cybèle on révère les lois."")",1.0,Deletion
102,"('#momus', ""Elle vous a comblé d'honneur, Et rien n'égale votre gloire."")","('#atys', ""Elle honore aujourd'hui ces lieux de sa présence, C'est pour vous préférer aux plus puissants des rois."")",0.45,Substitution
103,"('#apollon', ""Que le fils de VÉNUS cesse de se vanter Qu'ainsi que nous il sait porter Un carquois, un arc, et des flèches ; C'est un enfant qui fait des brèches Dans les coeurs aisés à dompter. Il remporte toujours des victoires faciles ; Je défais des serpents qui dépeuplent des villes."")","('#celaenus', ""Mais quand j'ai vu tantôt la beauté qui m'enchante, N'as-tu point remarqué comme elle était tremblante ?"")",1.24,Substitution
104,"('#momus', ""Vous méprisez celui qui tient tout sous sa loi. Si l'Amour vous entend ?"")","('#atys', ""À nos jeux, à nos chants, j'étais trop appliqué, Hors la fête, seigneur, je n'ai rien remarqué."")",1.25,Substitution
105,"('#apollon', 'Et que crains-tu pour moi ?')","('#celaenus', ""Son trouble m'a surpris. Elle t'ouvre son âme ; N'y découvres-tu point quelque secrète flamme ? Quelque rival caché ?"")",1.05,Substitution
106,"('#momus', ""Parlez bas, c'est un dieu ; s'il venait à paraître ?"")","('#atys', 'Seigneur, que dites-vous ?')",1.44,Substitution
107,"('#apollon', ""Un dieu ! c'est un enfant : quitte ce vain souci."")","('#celaenus', ""Le seul nom de rival allume mon courroux. J'ai bien peur que le ciel n'ait pu voir sans envie Le bonheur de ma vie, Et si j'étais aimé mon sort serait trop doux. Ne t'étonnes point tant de voir la jalousie Dont mon âme est saisie, On ne peut bien aimer sans être un peu jaloux."")",1.36,Substitution
108,"('#momus', 'Qui donne à Jupiter un maître, Vous en pourrait donner aussi.')","('#atys', ""Seigneur, soyez content, que rien ne vous alarme ; L'hymen va vous donner la beauté qui vous charme, Vous serez son heureux époux."")",1.57,Substitution
109,"('#cupidon', ""Quel est l'orgueilleux qui me brave ? Quel téméraire ose attaquer l'Amour ? Ah ! je vous reconnais : vous serez mon esclave Avant la fin du jour. Ces paroles dites, Cupidon s'en revole dans les airs. "")","('#celaenus', ""Tu peux me rassurer, Atys, je te veux croire, C'est son coeur que je veux avoir, Dis-moi s'il est en mon pouvoir ?"")",0.92,Substitution
