,quinault-thesee,rousseaujb-jason,Cost,Operation Type
18,"('#venus #mars', ""Qu'il passe, au gré de ses désirs, De la gloire aux plaisirs, Des plaisirs à la gloire. Venez, aimables dieux, venez tous dans sa cour. Mêlez aux chants de victoire Les douces chansons d'amour. Bacchus et Cérès suivis de moissonneurs, de sylvains et de bacchantes, ramènent les amours, les Grâces, les plaisirs, et les jeux."")",,1.0,Insertion
19,"('#le-choeur-des-graces', ""Mêlons aux chants de victoire Les douces chansons d'amour."")",,1.0,Insertion
20,"('#bacchus #ceres', ""Que tout le reste de la terre Porte envie au bonheur de ces lieux pleins d'attraits."")","('#la-paix', ""Laissons-les s'égarer dans leurs vagues projets, Et goûtons les douceurs d'un repos plein d'attraits."")",0.67,Substitution
21,"('#choeur #graces', ""Que tout le reste de la terre Porte envie au bonheur de ces lieux pleins d'attraits."")",,1.0,Insertion
22,"('#mars #venus', 'Au milieu de la guerre Goûtons les plaisirs de la paix.')",,1.0,Insertion
23,"('#le-choeur-graces', ""Au milieu de la guerre Goûtons les plaisirs de la paix. La troupe des moissonneurs commence une danse agréable, et environne Cérès dans le temps qu'elle chante."")","('#pan #la-paix', ""Préparons des fêtes nouvelles: Rappelons en ces lieux l'amour et les plaisirs; Et par des chansons immortelles Signalons le bonheur qui s'offre à nos desirs. Le choeur répète ces quatre derniers vers ; la suite de la Paix et celle de Pan forment une entrée, au milieu de laquelle deux bergers chantent séparément les deux couplets qui suivent."")",0.36,Substitution
24,"('#ceres', ""Trop heureux qui moissonne Dans les champs des amours ! Amants que rien ne vous étonne, L'espérance est un grand secours : Quand on vient à cueillir les fruits que l'amour donne, On est riche à jamais, et content pour toujours, Trop heureux qui moissonne Dans les champs des amours. Bacchus chante au milieu des sylvains et des bacchantes qui dansent."")","('#premier-berger', ""Tôt ou tard l'amour nous engage. C'est un juste tribut qu'on doit à ce vainqueur; Quand la raison nous dit que nous avons un coeur, L'amour nous en apprend l'usage."")",0.84,Substitution
25,"('#bacchus', ""Pour les plus fortunés, pour les plus malheureux, Dans l'empire amoureux, Le dieu du vin est nécessaire : S'il prend part aux plaisirs c'est pour les redoubler ; Il charme les chagrins des cours qu'on désespère : Bacchus a de quoi consoler De tous les maux qu'amour peut faire. La troupe qui suit Cérès, et la troupe des suivants de Bacchus se réunissent, et expriment ensemble leur joie par une danse, que les autres dieux accompagnent de leurs chants ; et tous enfin se retirent pour faire place, et pour prendre part au magnifique divertissement qui va paraître."")","('#second-berger', ""En vain, pour fuir l'amour, un coeur veut se contraindre : C'est un feu qu'on ne peut calmer; Et tout ce qu'on fait pour l'éteindre, Ne sert souvent qu'à l'allumer.."")",0.52,Substitution
26,"('#mars #venus', ""Qu'il passe au gré de ses désirs De la gloire aux plaisirs, Des plaisirs à la gloire ; Venez, aimables dieux, venez tous, dans sa cour : Mêlez aux chants de victoire Les douces chansons d'amour."")","('#la-paix', ""Retraçons aujourd'hui la célèbre entreprise Qui conduisit Jason sur les bords de Colchos Et montrons ce que peut la vertu d'un héros, Lorsque le ciel la favorise."")",1.07,Substitution
27,"('#le-choeur-des-graces', ""Mêlons aux chants de victoire Les douces chansons d'amour."")",,1.0,Insertion
28,"('#bacchus #ceres', ""Que tout le reste de la terre Porte envie au bonheur de ces lieux pleins d'attraits."")","('#le-choeur', ""Charmants plaisirs jeux pleins d'appas, Venez, rassemblez-vous dans ces heureux climats."")",0.2,Substitution
29,"('#choeur-des-graces', ""Que tout le reste de la terre Porte envie au bonheur de ces lieux pleins d'attraits."")",,1.0,Insertion
30,"('#mars #venus', 'Au milieu de la guerre, Goûtons les plaisirs de la paix.')",,1.0,Insertion
31,"('#le-choeur-des-graces', 'Au milieu de la guerre, Goûtons les plaisirs de la paix.')",,1.0,Insertion
32,"('#le-choeur-des-combattants', ""Avançons, avançons ; que rien ne nous étonne ; Frappons, perçons, frappons ; qu'on n'épargne personne ; Il faut périr, il faut périr ; Il faut vaincre, ou mourir."")",,1.0,Insertion
33,"('#aegle', ""Quel que soit mon destin, il faut ici l'attendre, Minerve, c'est à vous que je viens recourir. Divinité qui devez prendre Le soin de nous défendre, Hâtez-vous de nous secourir."")",,1.0,Insertion
34,"('#le-choeur-des-combattants', 'Il faut vaincre, ou mourir.')",,1.0,Insertion
35,"('#aegle', ""Ô ciel ! ô juste ciel ! Vous est-il doux d'entendre Ces cris pleins de fureur que je ne puis souffrir ? Dieux ! Aimez-vous à voir tant de sang se répandre ?"")",,1.0,Insertion
36,"('#le-choeur-des-combattants', 'Il faut périr, il faut périr, Il faut vaincre ou mourir.')",,1.0,Insertion
37,"('#aegle', ""Est-ce aux athéniens, est-ce au parti contraire, Que l'avantage est demeuré ? Dis-moi pour qui le sort s'est enfin déclaré. Ton silence me désespère."")","('#orphee', ""C'est trop garder un timide silence Nos Grecs, si longtemps abusés, Ne souffrent plus qu'avec impatience Cet indigne repos où vous les réduisez. De la riche Toison ils cherchent la conquête; Colchos garde en ses murs ce dépôt précieux Le ciel nous y conduit : leur troupe est toute prête ; Et vous seul retardez ce dessein glorieux."")",0.44,Substitution
38,"('#cleone', ""Pardonnez à la peur qui me force à me taire. Mes yeux troublés d'effroi n'ont rien considéré : Thésée est le dieu tutélaire Qui me donne en ce temple un refuge assuré : Je ne sais rien de plus, et j'ai cru beaucoup faire De gagner en tremblant cet asile sacré."")","('#jason', ""Au milieu des horreurs d'une guerre effroyable, Dois-je accabler encore un roi trop déplorable, Qui nous a comblés de bienfaits ? Le Scythe sur ces bords a porté t'épouvante D'un combat furieux nous voyons les apprêts. Ce prince espère en nous remplissons son attente ; Combattons pour ses intérêts, Et que de notre zèle une preuve éclatante Puisse autoriser nos projets."")",0.2,Substitution
39,"('#aegle', ""Au milieu des clameurs, au travers du carnage, Thésée a jusqu'ici conduit mes pas errants : Son généreux courage A fait ses premiers soins de m'ouvrir un passage Entre deux effroyables rangs De morts et de mourants. N'as-tu point admiré l'ardeur noble et guerrière Dont il court au péril et s'expose au trépas ? Ah qu'un jeune héros dans l'horreur des combats Couvert de sang, et de poussière, Aux yeux d'une princesse fière A de charmants appas !"")","('#orphee', ""Pour nous engager à vous croire, Cessez de prendre un vain détour Le voile pompeux de la gloire Sert souvent à cacher l'amour. Aux rives de Lemnos une reine charmante A long-temps arrêté vos pas; Et lorsqu'un sort heureux répond à notre attente, La beauté de Médée amuse votre bras. Ah quand la gloire nous appelle Est-il temps de languir dans une amour nouvelle? N'en suspendrez-vous point le cours trop odieux ?a Tant d'illustres guerriers n'ont-ils quitté la Grèce, Que pour venir être en ces lieux Les témoins de votre faiblesse ?"")",0.0,Match
40,,"('#jason', 'Hélas')",1.0,Deletion
41,,"('#orphee', 'Vous soupirez?')",1.0,Deletion
42,"('#cleone', ""Thésée est aimable, il vous aime ; Tout cède à sa valeur extrême ; Vous pouvez sans rougir souffrir à votre tour Que jusqu'à votre cour il porte sa victoire. Il n'est rien de si beau que les noeuds de l'amour Quand ils sont formés par la gloire."")","('#jason', ""Tu connais mes malheurs Vainement je voudrais te cacher mes douleurs. Hypsipyle m'aimait mon coeur brûlait pour elle Les jours les plus heureux n'étaient faits que pour nous. Fatal devoir, gloire cruelle, Que je serais heureux sans vous ! Il fallut la quitter, cette reine si belle. La perte d'un bonheur que je trouvais si doux, Porte à mon coeur les plus sensibles coups Plus mon sort eut d'attraits, plus ma peine est mortelle. Trop cruel souvenir d'un bonheur qui n'est plus, N'offrez plus à mon coeur votre douceur passée Éloignez-vous, fuyez de ma triste pensée ; Pourquoi m'entretenir des biens que j'ai perdus ? Je guérirais des maux dont j'ai l'âme blessée, Si de mes esprits prévenus Votre image était effacée : Trop cruel souvenir d'un bonheur qui n'est plus, N'offrez plus à mon coeur votre douceur passée."")",0.23,Substitution
43,"('#aegle #cleone', ""Il n'est rien de si beau que les noeuds de l'amour Quand ils sont formés par la gloire."")",,1.0,Insertion
44,"('#le-choeur-des-combattants', 'Il faut périr, il faut périr, Il faut vaincre, ou mourir.')",,1.0,Insertion
45,"('#aegle', ""Le ciel ne veut-il point mettre fin à nos peines ? Éclaircis-nous, Arcas, quel est le sort d'Athènes ?"")","('#orphee', ""Tandis qu'en cette cour vous prodiguez vos voeux, Croirai-je qu'Hypsipyle occupe encor votre âme?"")",1.01,Substitution
46,"('#arcas', ""Le combat dure encor, il est sanglant, affreux, Et le succès en est douteux. Le roi m'a commandé de prendre Le soin de l'avertir s'il fallait vous défendre, Et ce n'est que pour vous qu'il est touché d'effroi..."")",,1.0,Insertion
47,"('#aegle', 'Thésée est-il avec le roi ?')",,1.0,Insertion
48,"('#arcas', ""Des plus fiers ennemis il écarte la foule, On reconnaît sa trace aux flots du sang qui coule : Une grêle de traits ne l'a point retenu."")",,1.0,Insertion
49,"('#aegle', ""Ô dieux ! ... Mon secret est connu ; Je crains devant Arcas d'en faire trop entendre, Cléone, s'il se peut, obtiens qu'il aille apprendre Ce que Thésée est devenu. Elle dit ce qui suit à Cléone."")","('#jason', ""Écoute le secret de ma nouvelle flamme, Et plains mon destin rigoureux ; En perdant la Toison, le roi perd sa puissance. Pour prévenir les coups du sort, Médée a de son art employé l'assistance. Que peut contre elle un inutile effort ? Et quelle valeur indomptable De ses enchantements pourrait forcer le cours ? Pour vaincre son art redoutable L'Amour, le seul .Amour m'offre ici son secours. Cependant conçois-tu l'excès de ma tristesse ? À de feintes ardeurs j'immole ma tendresse Malgré moi je trahis un objet plein d'appas. Ah ! C'est une rigueur extrême D'être réduit à quitter ce qu'on aime Pour s'attacher à ce qu'on n'aime pas !"")",0.28,Substitution
50,"('#cleone', ""Laissons aller la princesse, Prier en paix la déesse. Arcas, je veux voir en ce jour Jusqu'où va pour moi ton amour."")","('#orphee', 'Je vois paraître la princesse.')",0.75,Substitution
51,"('#arcas', 'Peux-tu douter de ma tendresse ?')",,1.0,Insertion
52,"('#cleone', ""J'en doute encor, je le confesse. Tu m'as fait des serments cent fois Que tu suivrais toujours mes lois, Et qu'il te serait doux de mourir pour me plaire ; Mais la plupart des amants Sont sujets à faire Bien des faux serments."")",,1.0,Insertion
53,"('#arcas', ""Tu n'as qu'à commander, tu seras satisfaite."")",,1.0,Insertion
54,"('#cleone', ""Cherche Thésée, et suis ses pas Jusqu'à sa victoire parfaite, Ou jusqu'à son trépas."")","('#jason', 'Cours rassembler nos Grecs ; je te suis, laisse-nous.')",0.47,Substitution
55,"('#arcas', ""D'où vient qu'en sa faveur ton âme s'inquiète ?"")","('#jason', ""Princesse, où vous exposez-vous ? Ah ! Fuyez un séjour d'horreur et de tristesse."")",1.4,Substitution
56,"('#cleone', ""Si tu veux que je t'aime, Arcas, Fais ce que je souhaite, Et ne réplique pas."")",,1.0,Insertion
57,"('#arcas', ""Pour un autre que moi Cléone s'intéresse ? Prétends-tu que je sois un amant qui me presse De me charger d'un soin à mon amour fatal ? C'est un plaisir charmant de servir sa maîtresse, Mais c'est un chagrin sans égal De servir son rival. L'ordre du roi m'engage À prendre soin de vous."")","('#medee', ""Je ne viens point, par un indigne effroi Arrêter en ces lieux l'ardeur qui vous anime ; Partez, volez, courez servir le Roi : Aux héros tels que vous, c'est un soin légitime. Plus votre coeur est magnanime, Et plus il est digne de moi."")",0.0,Match
58,"('#cleone', ""L'ennemi jusqu'ici n'ose porter sa rage. Tout le monde est aux mains, veux-tu seul fuir les coups ?"")","('#jason', ""Ne puis-je obéir à ma gloire Qu'en quittant l'objet que je sers ? Tous les honneurs de la victoire Pourront-ils me payer des douceurs que je perds ?"")",1.3,Substitution
59,"('#arcas', ""Ce grand empressement me donne de l'ombrage."")",,1.0,Insertion
60,"('#cleone', ""La valeur à mes yeux a des charmes bien doux, Et le moindre soupçon m'outrage : Je ne veux point avoir d'époux Qui soit jaloux, Ni d'amant qui soit sans courage."")","('#medee', ""Vous m'aimez, votre ardeur, m'est chère Je frémis des périls où vous allez courir Mais le devoir l'ordonne, il lui faut obéir, Et l'amour doit se taire. Adieu, Jason, évitez-moi Je sens redoubler mes alarmes ; Fuyez de dangereuses larmes ; Je crains pour vous le trouble où je me vois."")",0.19,Substitution
61,"('#arcas', ""Faut-il qu'un étranger ait pour toi tant d'appas ?"")",,1.0,Insertion
62,"('#cleone', ""Je te l'ai déjà dit, et je te le répète, Si tu veux que je t'aime, Arcas Fais ce que je souhaite, Et ne réplique pas."")",,1.0,Insertion
63,"('#arcas', ""Hé bien, je suivrai ton envie, J'en veux faire toujours ma loi ; La peur de te déplaire est mon plus grand effroi : Je crains peu d'exposer ma vie, Je ne puis hasarder rien qui ne soit à toi."")","('#jason #medee', ""Ah ! Quelle peine extrême De quitter ce qu'on aime ! Que mon sort serait doux, S'il ne fallait jamais me séparer de vous."")",1.0,Substitution
64,"('#le-choeur-des-combattants', ""Avançons, avançons ; que rien ne nous étonne ; Frappons, perçons, frappons, qu'on n'épargne personne ; Il faut périr, il faut périr, Il faut vaincre, ou mourir."")","('#combattants', ""Courons, courons où l'honneur nous appelle, Remplissons tout de sang et de terreur ; Que le trépas, le carnage et l'horreur Nous ouvrent les chemins d'une gloire immortelle."")",0.2,Substitution
65,"('#la-grande-pretresse', 'Prions, prions la déesse De nous dégager Du danger Qui nous presse Prions, prions la déesse.')","('#medee', 'Que de cris furieux Se font entendre dans ces lieux !')",1.82,Substitution
66,"('#la-pretresse #aegle #cleone', 'Prions, prions, la déesse.')",,1.0,Insertion
67,"('#le-choeur-des-combattants', 'Mourez, mourez, perfides cours, Tombez sous les coups des vainqueurs.')","('#combattants', 'Que notre ardeur se renouvelle, Sous nos funestes traits, tombez, audacieux.')",0.07,Substitution
68,"('#la-grande-pretresse', 'Dieux ! Quelle barbarie !')","('#medee', 'Ô dieux ! Ô justes Dieux ! Quelle rage cruelle !')",0.92,Substitution
69,"('#aegle', 'Entendrons-nous toujours ces horribles clameurs ?')",,1.0,Insertion
70,"('#la-pretresse #aegle #cleone', 'Dieux ! Quelle barbarie !')",,1.0,Insertion
71,"('#le-choeur-des-combattants', 'Mourez, mourez, perfides cours, Tombez sous les coups des vainqueurs.')","('#combattants', 'Que notre ardeur se renouvelle Sous nos funestes traits, tombez, audacieux !')",0.07,Substitution
72,"('#un-combattant', 'Sauve un malheureux qui te prie. Ah je meurs ! Ah je meurs !')","('#medee', ""Quelle horreur ! Quelle triste image ! Mon coeur se sent glacer d'effroi. Peut-être en cet instant mon amant ou le Roi... Ô ciel détourne un si cruel présage ! C'est à toi seul que j'ai recours, Mon art de leurs destins ne peut changer le cours, Je mets mon seul espoir en ta bonté suprême, Conserve-moi tout ce que j'aime ; Juste ciel ! Prends soin de leurs jours, J'implore ton secours. Mais tout redouble ici mon désespoir extrême."")",0.14,Substitution
73,"('#la-pretresse #aegle #cleone', 'Dieux ! Quelle barbarie !')",,1.0,Insertion
74,"('#un-combattant', 'Ah je meurs ! Ah je meurs ! Sauve un malheureux qui te prie.')",,1.0,Insertion
75,"('#le-choeur-des-combattants', 'Mourez, mourez, perfides cours, Tombez sous les coups des vainqueurs.')","('#combattants', ""Périssez tous, périssez tous, Cédez à l'effort de nos coups."")",0.0,Match
76,,"('#le-roi', ""Le calme va bientôt succéder à l'orage ; Nous triomphons, ma fille, et le Scythe est soumis. Jason poursuit encore un reste d'ennemis, Qui ne saurait longtemps occuper son courage : Vous allez revoir ce vainqueur, Moins satisfait de sa victoire Que sensible à la gloire D'avoir su toucher votre coeur."")",1.0,Deletion
77,"('#la-grande-pretresse', 'Ô Minerve ! Arrêtez la cruelle furie Qui désole notre patrie : Écartez loin de nous la guerre et ses horreurs ; Ciel ! Épargnez le sang, contentez-vous de pleurs,')","('#jason', ""Vos ennemis, livrés au destin de la guerre, De leur perfide sang ont fait rougir la terre. Leur roi seul échappé de ce désordre affreux, Traînait de ses soldats les débris malheureux Nos Grecs n'ont songé qu'à le suivre ; Je l'ai joint dans ce bois et sa mort vous délivre D'un ennemi si dangereux."")",0.1,Substitution
78,"('#la-pretresse #aegle #cleone', 'Ciel ! Épargnez le sang, contentez-vous de pleurs.')","('#le-roi', ""Après ce grand exploit, est-il en ma puissance De payer vos rares bienfaits ? Prescrivez en la récompense; Et quel_que_soit le prix qu'exigent vos souhaits, Soyez sûr des effets de ma reconnaissance. Et vous, peuples, chantez l'invincible héros Qui vous assure un plein repos."")",0.82,Substitution
79,"('#le-choeur-des-combattants', 'Liberté, liberté. Victoire, victoire, victoire. Courons, courons tous à la gloire. Combattons avec fermeté. Défendons notre liberté. Liberté, liberté. Emportons la victoire. Victoire, victoire, victoire. Liberté, liberté. Victoire, victoire, victoire.')","('#le-roi #medee', 'Pour célébrer sa gloire, Réunissons nos voix La paix et la victoire Sont les fruits glorieux de ses fameux exploits.')",0.28,Substitution
80,"('#le-roi', ""Les mutins sont vaincus, leurs chefs sont immolés, Leur vaine espérance est détruite. Tous les peuples voisins qu'ils avaient appelés Sont dans nos fers, ou sont en fuite."")","('#le-choeur', 'Pour célébrer sa gloire, Réunissons nos voix La paix et la victoire Sont les fruits glorieux de ses fameux exploits.')",1.14,Substitution
81,"('#la-grande-pretresse', 'Rendons grâces aux dieux.')",,1.0,Insertion
82,"('#ensemble', 'Rendons grâces aux dieux.')","('#jason #medee', ""Il est temps de bannir les larmes, Jouissons d'un sort plein de charmes. Le ciel rend nos voeux satisfaits : Tout cède à l'effort de nos armes. Après de mortelles alarmes, Qu'il est doux de s'aimer en paix !"")",1.23,Substitution
83,"('#la-grande-pretresse', ""Puisque le juste ciel à nos voeux est propice, Allons, empressons-nous d'offrir un sacrifice À la divinité qui protège ces lieux. Rendons grâces aux dieux."")","('#suivantes-de-medee', ""Les Dieux ont pour nous Fait éclater leur puissance, Nos voisins jaloux Sont soumis sans résistance ; De leur courroux Ne craignons plus les atteintes ; Un sort plus doux Finit le cours de nos plaintes ; Que de plaisirs Vont s'offrir à nos désirs !"")",0.17,Substitution
84,"('#tous-ensemble', 'Rendons grâces aux dieux.')",,1.0,Insertion
85,"('#le-roi', ""Cessez, charmante, AEglé, de répandre des larmes, Commençons après tant d'alarmes À jouir d'un destin plus doux : Puisque je vois mon trône affermi par les armes, J'y veux joindre de nouveaux charmes En le partageant avec vous."")","('#le-choeur', 'La paix va régner sur la terre : Vivons heureux, profitons des beaux jours : Les funestes cris de la guerre Vont faire place aux doux chants des amours.')",0.33,Substitution
86,"('#aegle', 'Avec moi ! Vous ! Seigneur !')",,1.0,Insertion
87,"('#le-roi', ""Que votre trouble cesse. C'est peut-être, un peu tard vouloir plaire à vos yeux, Je ne suis plus au temps de l'aimable jeunesse, Mais je suis, roi, belle princesse, et roi victorieux. Faites grâce à mon âge en faveur de ma gloire, Voyez le prix du rang qui vous est destiné : La vieillesse sied bien sur un front couronné, Quand on y voit briller l'éclat de la victoire. Parlez charmante AEglé, parlez à votre tour."")","('#jason', ""Laisse-moi respirer, malheureuse contrainte, Funeste effet d'une odieuse feinte, Triste remords qui vient me déchirer, Laisse-moi respirer. Quelle honte, grands Dieux ! Ah ! Quel supplice extrême ! Je feins de haïr ce que j'aime, Et d'adorer ce que je hais. Je trahis Hypsipyle, et Médée, et moi-même : Quelle honte, grands Dieux ! Ah ! Quel supplice extrême ! Mais quoi ? Ce riche don que je m'étais promis, Sans ce secours ne peut m'être permis Tout m'annonce une mort affreuse. Que dis-je ? Ah ! Bannissons une terreur honteuse, Ce prix serait trop acheté, S'il fallait l'obtenir par une indignité. Ma feinte à la Princesse a trop fait d'injustice N'abusons plus de sa crédulité. Je vais, par un aveu dépouillé d'artifice, Faire éclater la vérité. Mais quels concerts se font entendre ? Quelle Divinité dans ces lieux va descendre ?"")",0.82,Substitution
88,"('#aegle', ""Depuis que j'ai perdu mon père Vos soins ont prévenu mes voeux dans votre cour. Je dois vous respecter, Seigneur, je vous révère..."")",,1.0,Insertion
89,"('#le-roi', ""Vous parlez de respect quand je parle d'amour."")",,1.0,Insertion
90,"('#aegle', 'Mais votre foi, Seigneur, à Médée est promise ?')",,1.0,Insertion
91,"('#le-roi', ""Je sais que lorsqu'on la méprise On s'expose aux fureurs de ses ressentiments. Toute la nature est soumise À ses affreux commandements, L'enfer la favorise, Elle confond les éléments, Le ciel même est troublé par ses enchantements. Mais j'ai fait élever en secret dans Trézene Un fils qui peut m'ôter de peine : Je veux qu'en épousant Medée au lieu de moi, Il dégage ma foi."")","('#venus', ""Vénus s'intéresse à ton sort, Garde-toi d'écouter le dangereux transport Où ton coeur s'abandonne. L'Amour veut par tes soins être victorieux, Tu dois suivre ce qu'il ordonne, La vertu des mortels est d'obéir aux Dieux."")",0.32,Substitution
92,"('#aegle', ""Mais si malgré vos soins, Médée ambitieuse, Ne s'attache qu'au rang que vous me présentez ?"")","('#jason', ""C'en est trop, déesse charmante, Je vais, sans balancer, répondre à votre attente."")",0.83,Substitution
93,"('#le-roi', ""Que vous êtes ingénieuse À trouver des difficultés ! Que Médée en fureur, s'arme, menace, tonne, Il faut que ma main vous couronne Quand il m'en coûterait et l'empire, et le jour. Un grand cour qui se sent animé par l'amour Ne doit jamais trouver de péril qui l'étonne. J'atteste Minerve à vos yeux, J'atteste le maître des cieux, Et sa foudroyante justice..."")","('#le-roi', ""Prince il faut m'acquitter de ce que je vous dois. La princesse vous a su plaire, De mon trône, affermi par vos fameux exploits Recevez le juste salaire : Je veux que l'hymen en ce jour Soit le prix de votre victoire ; Joignez aux honneurs de la gloire Les douceurs de l'amour."")",0.14,Substitution
94,"('#aegle', ""Tout est prêt pour le sacrifice Chacun s'avance dans ces lieux, Rendons grâces aux dieux."")",,1.0,Insertion
95,"('#la-grande-pretresse', 'Cet empire puissant que votre soin conserve Vient reconnaître ici votre divin secours, Favorable Minerve ! Protégez-nous toujours.')",,1.0,Insertion
96,"('#le-choeur-des-pretresses', 'Favorable Minerve ! Protégez-nous toujours.')",,1.0,Insertion
97,"('#la-grande-pretresse', 'Le péril était redoutable : Mais vous nous inspirez un courage indomptable Qui de notre malheur a détourné le cours, Ô Pallas favorable ! Protégez-nous toujours.')","('#jason', ""Quel prix d'une flamme si belle ? Que mon destin a de douceur ! Après un tel bienfait, m'est-il permis, Seigneur, De me flatter d'une grâce nouvelle ? Nos Grecs ont partagé mes soins et mes travaux: Ils doivent partager votre reconnaissance ; Daignez encore à ces héros Accorder une récompense."")",0.7,Substitution
