,campistron-achille,quinault-isis,Cost,Operation Type
19,"('#jupiter', ""Il ne manque aux apprêts de la fête nouvelle, Que Mercure a fait préparé, Que le choix du Héros qu'on y doit célébrer, Le soin de le choisir auprès de vous m'appelle. Renouvelez dans vos jeux Le souvenir de l'invincible Achille, Et rappelez dans une Cour tranquille,  L'Histoire et les combats de ce guerrier fameux."")","('#apollon', 'Ne parlons pas toujours de la guerre cruelle, Parlons des plaisirs et des jeux. Les Muses et les Arts  Vont signaler leur zèle, Je vais favoriser leurs voeux Nous préparons une fête nouvelle Pour le Héros qui les appelle Dans cet asile heureux')",0.12,Substitution
20,"('#melpomene #thalie #terpsicore', ""Renouvelons dans vos jeux, Le souvenir de l'invincible Achille, Et rappelons dans une Cour tranquille. L'Histoires et les combats de ce guerrier fameux."")","('#le-choeur', 'Ne parlons pas toujours de la guerre cruelle, Parlons des plaisirs et des jeux.')",0.97,Substitution
21,"('#jupiter', ""Consacrez tous vos jeux au plus grand Roi du monde, Formez sur lui tous les Portraits De vos Héros les plus parfaits, Sa valeur, sa bonté, sa sagesse profonde, Vous prêteront d'inimitables traits."")","('#la-renommee', 'Hâtez-vous, Plaisirs, hâtez-vous De montrer vos charmes les plus doux.')",0.63,Substitution
22,,"('#apollon #neptune #la-renommee', 'Hâtez-vous, Plaisirs, hâtez-vous De montrer vos charmes les plus doux.')",1.0,Deletion
23,,"('#le-choeur', 'Hâtez-vous, Plaisirs, hâtez-vous De montrer vos charmes les plus doux.')",1.0,Deletion
24,"('#le-choeur', ""Consacrons tous nos jeux au plus grand Roi du monde Sa valeur, sa bonté, sa sagesse profonde Nous prêterons d'inimitables traits, Consacrons tous nos jeux au plus grand Roi du monde."")","('#hierax', ""Cessons d'aimer une infidèle, Évitons la honte cruelle De servir, d'adorer qui ne nous aime plus. Achevons de briser les noeuds qu'elle a rompus. Dégageons nous, sortons d'un si funeste empire. Hélas ! Malgré moi je soupire ! Ah ! Mon coeur quelle lâcheté ! Quel charme te retient dans un honteux martyre ? Tu n'as pas craint des fers qui nous ont tant coûté As-tu peur de ta liberté ? Revenez, revenez Liberté charmante Vous n'êtes que trop diligente Lorsqu'il faut dans un coeur faire place à l'Amour; Mais que vous êtes lente Lorsqu'un juste dépit presse votre retour."")",0.95,Substitution
25,"('#patrocle', ""Non, je ne saurais plus me taire, Je vous dois un conseil sincère. Ne rougissez-vous point d'un indigne repos ? Quand les Grecs agités de mortelles alarmes, Implorent à genoux le secours de vos armes, Contre Hector, après vous, le plus grand des Héros. Tantôt ce guerrier terrible, Des Grecs épouvantés, embrase les vaisseaux ; Tantôt son bras invincible,  Fait rougir de leur sang et la terre et les eaux, Il court de victoire en victoire, Chaque jour, le bruit de la gloire,  Va remplir l'univers et vole jusqu'à vous, Des honneurs qu'il obtient, n'êtes vous point jaloux ?"")","('#pirante', ""C'est trop entretenir Ces tristes rêveries; Venez, tournez vos pas sur ces rives fleuries Regardez ces flots argentés, Qui dans ces vallons écartés,  Font briller l'émail des prairies Interrompez vos soupirs Tout doit être ici; Ce beau séjour est l'asile Du repos et des plaisirs."")",0.24,Substitution
26,"('#achille', ""Je vois avec plaisir les pertes de la Grèce,  La valeur d'Hector m'a vengé,  Le fier Agamemnon connaîtra sa faiblesse,  Et se repentira de m'avoir outragé."")","('#hierax', ""Depuis qu'une nymphe inconstante A trahi mon amour et m'a manqué de foy Ces lieux jadis si beaux n'ont plus rien qui m'enchante; Ce que j'aime a changé, tout est changé pour moi."")",0.81,Substitution
27,"('#patrocle', ""De quoi sert à ce Roi coupable D'avoir osé vous ravir Briséis ? Son attentat reçoit un digne prix,  Et pour lui Briséis paraît inexorable, Quand un rival puissant vient troubler nos amours, Si l'objet de nos voeux lui résiste toujours, Est-il de plus douce vengeance Que de voir ce rival aimer sans espérance ?"")","('#pirante', ""La fille d'Inachus hautement vous préfère A mille autres amants de votre sort jaloux; Vous avez l'aveu de son père En faveur d'Argus votre frère, La puissante Junon se déclare pour vous."")",0.38,Substitution
28,"('#achille', ""Connais mieux les raisons de mon juste courroux, Ce n'est point seulement par un dépit jaloux, Que je refuse aux Grecs un secours nécessaire, Ils ont marqué trop de mépris pour moi,  Ils m'ont laissé subir la violente loi  De leur chef téméraire. Non, jamais leurs malheurs ne sauraient m'émouvoir. Leurs vaisseaux embrasés, leurs troupes fugitives ; Leur camp détruit, tout leurs Rois sans pouvoir, Leurs corps épars sur ces sanglantes rives Szraient encor des objets impuissants,  Pour surprendre un moment la fureur que je sens."")","('#hierax', ""Si l'ingrate m'aimait, je serais son époux. Cette nymphe légère De jour en jour diffère Un hymen qu'autrefois elle avait cru si doux. L'inconstante n'a plus l'empressement extrême De cet amour naissant qui répondait au mien. Son changement paraît en dépit d'elle même Je ne le connais que trop bien, Sa bouche quelquefois dit encor qu'elle m'aime; Mais son coeur ni ses yeux ne m'en disent plus rien."")",0.3,Substitution
29,,"('#pirante', ""Se peut-il qu'elle dissimule ! Après de serments, ne la croyez-vous pas ?"")",1.0,Deletion
30,"('#patrocle', ""Eh bien ! D'un oeil content regardez nos alarmés, Mais quand vous nous méritez tous,  Du moins accordez-moi ces armes Que Vulcain prépara pour vous ; J'irai combattre Hector, et me combler de gloire,  Je remporterai la victoire,  Ou j'expirerai sous ces coups."")","('#hierax', ""Je ne les crus que trop, hélas !  Ces serments qui trompent mon coeur tendre et crédule; Ce fut dans ces vallons où par mille détours, Inachus prends plaisir à prolonger son cours; Ce fut sur son charment rivage, Que sa fille volage Me promit de m'aimer toujours. Le Zéphir fut témoin, l'onde fut attentive Quand la nymphe jura de ne changer jamais, Mais le Zéphir léger et l'onde fugitive Ont enfin emporté les serments qu'elle a faits. Je la vois, l'infidèle."")",0.56,Substitution
31,,"('#pirante', 'Éclaircissez vous avec elle.')",1.0,Deletion
32,"('#achille', ""Qu'oses-tu proposer, Dieux ! Que viens-je d'entendre ? Je commence à trembler pour la première fois. Quand je songe au combat que tu veux entreprendre."")","('#io', ""M'aimez vous ? puis-je m'en flatter ?"")",1.3,Substitution
33,"('#patrocle', ""Au nom d'une amitié qui fut toujours si tendre, Permettez-moi d'imiter vos exploits.  Je connais les périls où mon dessein m'engage, Tout semble m'annoncer les fers ou le trépas ;  Mais si j'en crois mon courage, Ce superbe ennemi ne triomphera pas."")","('#hierax', ""Cruelle, en voulez vous douter ? En vain votre inconstance éclate, En vain elle m'anime à briser tous les noeuds Je vous aime toujours ingrate, Plus que vous ne voulez Et plus que je ne veux Je crains un funeste présage, Un aigle dévorant Vient de fondre à mes yeux, Sur un oiseau qui dans ces lieux M'entretenait d'un doux ramage Différez votre hymen, Suivons l'avis des Cieux. Notre hymen me déplaît qu'à votre coeur volage: Répondez moi de vous, je vous répond des Dieux. Vous juriez autrefois Que cette onde rebelle Se ferait vers sa source une route nouvelle Plutôt qu'on ne verrait votre coeur dégagé; Voyez couler ces flots dans cette vaste plaine C'est le même penchant qui toujours les entraîne. Leurs cours ne change point et vous avez changé"")",0.29,Substitution
34,"('#achille', ""D'une vaine terreur je n'ai plus l'âme atteinte, Va combattre ; le Ciel prendra soin de ton sort, Puisque ton coeur est sans crainte,  Ton bras ne sera que trop fort."")","('#io', ""Laissez moi revenir de mes frayeurs secrètes; J'attends de votre amour cet effort généreux."")",0.87,Substitution
35,,"('#hierax', ""Je veux ce qui vous plaît, cruelle que vous êtes, Vous n'abusez que trop d'un amour malheureux !"")",1.0,Deletion
36,"('#patrocle', ""Je cours assurer ma mémoire, J'ai tous les sentiments et les soins des Héros, Non, les jours les plus doux passés dans le repos  Ne valent pas un jour marqué part la victoire."")","('#io', 'Non, je vous aime encor !')",1.27,Substitution
37,,"('#hierax', ""Quelle froideur extrême !  Inconstante, est-ce ainsi qu'on doit dire qu'on aime."")",1.0,Deletion
38,,"('#io', ""C'est à tort que vous m'accusez, Vous avez vu toujours vos rivaux méprisés"")",1.0,Deletion
39,"('#achille', ""Patrocle va combattre ? Et j'ai pu consentir Qu'il courût aux dangers qui menacent sa vie ? Ah ! Je devais l'empêcher de partir,  Hélas de quels regrets sa mort serait suivie ? Si le sort irrité pour accabler mon coeur Le faisait expirer sous le fer d'un vainqueur. Prévenez justes Dieux, mon désespoir funeste !  Cet ami généreux, est le seul qui me reste,  Conservez ses jours par pitié ! On m'a privé de l'objet que j'adore,  Ce serait trop d'horreur de me priver encore  De l'objet de mon amitié."")","('#hierax', ""Le mal de mes rivaux N'égale point ma peine, La douce illusion d'une espérance vaine Ne les fait point tomber du faite du bonheur Aucun d'eux comme moi n'a perdu votre coeur; Je ne suis point accoutumé Quel tourment de cesser de plaire Lorsqu'on a fait l'essai du plaisir d'être aimé. Je ne le sens que trop Votre coeur se détache Et je ne sais qui me l'arrache"")",0.08,Substitution
40,"('#diomede', ""Ne répondrez-vous point aux désirs de la Grèce ? Il faut qu'en sa faveur votre colère cesse,  Elle ne peut sans vous triompher des Troyens ;  En vain nous assiégeons leur Ville,  Nos Dieux sont moins forts que les siens. Sa prise est réservée à la valeur d'Achille,"")","('#hierax', ""Je cherche en vain l'heureux amant Qui me dérobe un bien charmant Où j'ai cru devoir seul prétendre Je sentirais moins mon tourment Si je trouvais à qui m'en prendre Vous fuyez mes regards, Vous ne me dites rien; Il faut vous délivrer d'un fâcheux entretiens; Ma présence vous blesse et c'est trop vous contraindre."")",0.54,Substitution
41,"('#achille', ""De quel emploi vous chargez-vous ? N'espérez pas de fléchir mon courroux, Diomède je veux achever ma vengeance,  Vos Rois et vos Peuples ingrats, Auraient encor pour moi la même indifférence. S'ils n'avaient besoin de mon bras."")","('#io', 'Jaloux sombre et chagrin, Partout où je vous vois, Vous ne cessez de vous plaindre Je voudrais vous aimer Autant que je le dois, Et vous me forcez à vous craindre.')",0.37,Substitution
42,"('#diomede', 'Quoi ! Leur prompt repentir ne peut vous satisfaire ?')","('#hierax #io', ""Non, non, il ne tient qu'à vous De rendre notre sort plus doux Non, non, il ne tient qu'à vous De rendre mon coeur plus tendre Non, non, il ne tient qu'à vous De rendre mon coeur moins jaloux."")",1.32,Substitution
43,"('#achille', ""Ils ont pris trop de soin d'attirer ma colère."")",,1.0,Insertion
44,"('#diomede', 'Mais, pouvez-vous aimer un si triste séjour, Et languir en ces lieux dans une vie obscure ? Vous ! À qui les Destins promettaient chaque jour Quelque glorieuse aventure.')","('#micene', ""Ce prince trop longtemps dans ses chagrins s'obstine On pardonne au premier transport D'un amour qui se plaint à tort Et qui sans raison se mutine. Mais à la fin on se chagrine Contre un Amour chagrin."")",0.74,Substitution
45,"('#achille', ""Malgré mes cruels déplaisirs,  Le Déesse de Cythère  En faveur de Thétis ma mère Interrompt mes regrets, et suspend mes soupirs. Cette charmante déesse Vient en ces lieux tous les jours,  Je vois avec elle sans cesse Les grâces, les plaisirs, les jeux et les amours ;  Leur présence est d'un grand secours Contre la plume sombre tristesse."")","('#io', ""Je veux bien te parler enfin sans artifice Ce prince infortuné s'alarme avec justice. Le maître souverain de la terre et des cieux Entreprend de plaire à mes yeux. Du coeur de Jupiter l'amour m'offre l'empire. Mercure est venu me le dire Je le vois chaque jour descendre dans ces lieux. Mon coeur autant qu'il peut  Fait toujours résistance. Et pour attaquer ma constance, Il ne fallait pas moins que le plus grand des Dieux."")",0.25,Substitution
46,"('#diomede', ""C'est pour servir nos ennemis Qn'on prend ces soins mortels à votre gloire, Songez que de vous seul dépend notre victoire,  Et que tout notre sort en vos mains est remis, Faut-il que votre coeur se livre À l'amour de vains plaisir ? Quelque douceur que l'on goûte à les suivre, Un héros doit former de plus nobles désirs."")","('#micene', ""On écoute aisément Jupiter qui soupire. C'est un amant qu'on ose mépriser. Et du plus grand des coeurs Ce glorieux empire  Est difficile à mépriser."")",0.55,Substitution
47,"('#achille', ""La Déesse paraît et déjà sa présence Donne à ces lieux mille beautés, J'admire ses bienfaits, j'admire sa puissance, Trop heureux de jouir sur les bords écartés Des plaisirs innocents qui me l'ont présentée."")","('#io', ""Lorsqu'on me presse de me rendre Aux attraits d'un amour nouveau, Plus le charme est puissant Et plus il serait beau De pouvoir m'en défendre. Quoi ! tu veux me quitter ? Doù vient ce soin pressant ?"")",0.25,Substitution
48,,"('#micene', ""C'est pour vous seule ici que Mercure descend."")",1.0,Deletion
49,"('#venus', ""J'abandonne les Cieux, je descends sur la Terre : Pour finir de tes maux le déplorable cours, En vain l'injuste sort t'a déclaré la guerre, Espère tout de mon secours. Vous, Divinités aimables, Du plus grand des héros charmés le triste coeur,  Et faites succéder à sa vive douleur Les plaisirs les plus agréables. La Danse de ce Divertissement a été faite par Monsieur de Lestang."")","('#mercure', ""Le Dieu puissant qui lance le tonnerre  Et qui des cieux tient le sceptre en ses mains A résolu de venir sur la terre Chasser les maux qui troublent les humains. Que la terre avec soin à cet honneur réponde Échos retentissez dans ces lieux pleins d'appas, Annoncez qu'aujourd'hui pour le bonheur du monde, Jupiter descends ici-bas."")",0.4,Substitution
50,"('#une-des-graces', ""Grand héros, le Ciel vous est propice, Vos vertus se font rendre justice, Tout conspire aujourd'hui. À finir votre ennui."")","('#choeur-des-divinites', ""Échos retentissez dans ces lieux pleins d'appas, Annoncez qu'aujourd'hui pour le bonheur du monde, Jupiter descends ici-bas."")",0.71,Substitution
51,"('#un-plaisir', ""Si l'Amour a causé vos alarmes, Ses faveurs en auront plus de charmes ; Préparez votre coeur Au plus parfait bonheur. La Danse de ce Divertissement a été faite par Monsieur de Lestang."")","('#mercure', ""C'est ainsi que Mercure Pour abuser les Dieux jaloux Doit parler hautement à toute la nature. Mais il doit s'expliquer Autrement avec vous; C'est pour vous voir, C'est pour vous plaire, Que Jupiter descend du céleste séjour. Et les biens qu'ici bas sa présence va faire Ne seront dûs qu'à son amour."")",0.55,Substitution
52,"('#deux-graces #un-plaisir', ""Quel mortel osa jamais prétendre Les soins qu'ici nous venons vous rendre ? Qu'il veut le mériter N'a qu'à vous imiter."")","('#isis', ""Pourquoi du haut des cieux,  Ce Dieu veut-il descendre ?  Mes voeux sont engagés. Mon coeur a fait un choix L'amour tôt ou tard doit prétendre Que tous les coeurs se rangent sous ses lois. C'est un hommage qu'il faut rendre Mais assez de le rendre une fois."")",0.92,Substitution
53,"('#une-des-graces', ""C'est pour vous que Vénus nous appelle,  Profitez de notre ardeur fidèle,  Vous aurez en ces lieux Tous les plaisirs des Dieux."")","('#mercure', ""Ce serait en aimant une contrainte étrange Qu'un coeur pour mieux choisir n'osât se dégager. Quand c'est pour Jupiter qu'on change Il n'est pas honteux de changer. Que tout l'univers se pare De ce qu'il a de plus rare Que tout brille dans ces lieux. Que la terre partage  L'éclat et la gloire des cieux. Que tout rende hommage  Au plus grand des dieux."")",0.49,Substitution
54,"('#un-plaisir', ""C'est en vain que la haine et l'envie Sont d'accord pour troubler votre vie,  Par notre heureux secours Vous en triompherez toujours."")","('#jupiter', ""Les armes que je tiens protègent l'innocence. L'effort n'en est fâcheux qu'à l'orgueil des titans. Vous qui suivez les lois, Vivez sous ma puissance, Toujours heureux, toujours contents. Jupiter vient sur la terre. Pour la combler de bienfaits, Il est armé du tonnerre Mais c'est pour donner la paix."")",0.88,Substitution
55,"('#deux-graces #un-plaisir', 'Puissiez-vous par nos soins favorables Ne passer que des jours agréables ! Est-il rien de si doux Que de vivre avec nous ?')","('#choeurs', ""Jupiter vient sur la terre. Pour la combler de bienfaits, Il est armé du tonnerre Mais c'est pour donner la paix."")",1.21,Substitution
56,"('#arcas', 'Ô déplorable coup du sort !')",,1.0,Insertion
57,"('#achille', 'Je frémis parle !')",,1.0,Insertion
58,"('#arcas', 'Patrocle est mort,')",,1.0,Insertion
59,"('#achille', 'Ciel ! Quelle affreuse nouvelle ! Laissez-moi, fuyez de ces lieux, Vos appas, vos concerts, et tous les soins des Dieux Ne sauraient plus calmer ma tristesse mortelle.')",,1.0,Insertion
60,"('#achille #arcas', ""Courons venger cet ami que je perds, Que de sang et de morts tous ces champs soient couverts Que son fier vainqueur périsse ! Je dois à l'amitié ce juste sacrifice. Mânes de ce guerrier dont je pleure le sort,  Je vous promet une prompte vengeance,  J'en atteste des Dieux la suprême puissance,  Je cours chercher Hector, je cours hâter sa mort. Dans l'éternelle nuit son ombre va vous suivre. Ou moi-même aujourd'hui je cesserai de vivre,"")","('#io', ""Où suis-je ? D'où vient ce nuage ? Les ondes de mon père et son charmant rivage Ont disparu tout_à_coup à mes yeux ! Où puis-je trouver un passage ? La jalouse reine des Cieux Me fait elle si tôt acheter l'avantage De plaire au plus puissant des Dieux ? Que vois-je ? Quel éclat se répand dans ces lieux. Jupiter paraît et les nuages qui obscurcissent le théâtre, sont illuminés et peints des couleurs les plus brillantes et les plus agréables."")",0.36,Substitution
61,"('#diomede', ""Puisqu'Achille combat, nous allons triompher Notre victoire est certaine; Cessez de le haïr, hâtez-vous d'étouffer Le malheureux amour qui cause votre haine, Vous devez rendre à ce héros Le charmant objet de sa flamme."")","('#jupiter', ""Vous voyez Jupiter; Que rien ne vous étonne. C'est pour tromper Junon et ses regards jaloux Qu'un nuage vous environne; Belle nymphe, rassurez-vous Je vous aime et pour vous le dire, Je sors avec plaisir de mon suprême empire. La foudre est dans mes mains, Les Dieux me font la cour, Je tiens tout l'Univers sous mon obéissance; Mais si je prétends en ce jour Engager votre coeur à m'aimer à son tour, Je fonde moins mon espérance Sur la grandeur de ma puissance Que sur l'excès de mon amour."")",0.19,Substitution
62,"('#agamemnon', ""Ah ! S'il faut à ce prix assurer son repos, Dieux ! Qu'il en coûtera de tourments à mon âme !"")","('#io', ""Que sert-il qu'ici-bas votre amour me choisisse ? L'honneur me vient trop tard, j'ai formé d'autres noeuds Il fallait que ce bien pour combler tous nos voeux, Ne me coûtât point d'injustice, Et ne fit point de malheureux"")",0.64,Substitution
63,"('#diomede', ""Si vous pouviez fléchir la cruelle beauté, Dont votre coeur est enchanté, J'excuserais une injustice Qui finirait votre sort rigoureux; Mais je dois condamner un funeste caprice, Qui vous rend, tout ensemble injuste et malheureux."")","('#jupiter', ""C'est une assez grande gloire Pour votre premier vainqueur, D'être encore dans votre mémoire Et de me disputer si longtemps votre coeur."")",0.83,Substitution
64,"('#agamemnon', ""Il est vrai que j'attaque un coeur inexorable, Je ne puis fléchir sa rigueur ; Mais, comptez-vous pour rien la flatteuse douceur De rendre un rival misérable ?"")","('#io', ""La gloire doit forcer mon coeur à se défendre. Si vous sortez du Ciel pour chercher les douceurs D'une amour tendre, Vous pouvez aisément attaquer d'autres coeurs Qui feront gloire de se rendre."")",0.0,Match
65,"('#diomede', ""Le malheur d'un rival flatte-t-il votre ennui, Quand vous êtes encor plus malheureux que lui ? Rappelez votre courage,  Que la raison vous dégage De vos fatales amours"")","('#jupiter', ""Il n'est rien dans les Cieux il n'est rien ici-bas De si charment que vos appas; Rien ne peut me toucher d'une flamme si forte; Belle Nymphe vous l'emportez Sur les autres beautés, Autant que Jupiter l'emporte Sur les autres Divinités ! Verrez-vous tant d'amour avec indifférence ? Quel trouble vous saisit ? Où tournez vous vos pas ?"")",0.36,Substitution
66,"('#agamemnon', ""Que peut la raison le triste et vain secours Contre les traits vainqueurs d'une beauté cruelle ? Quand l'amour à nos yeux vient l'offrir tous les jours, Avec quelques grâces nouvelles. Ranimons toutefois mon courage abattu, C'est nourrir trop longtemps une vaine tendresse, Surmontons ma faiblesse,  Par un dernier effort digne de ma vertu."")","('#io', ""Mon coeur en votre présence Fait trop peu de résistance  Contentez-vous, hélas ! D'étonner ma constance, Et n'en triomphez pas."")",0.19,Substitution
67,,"('#jupiter', 'Et pourquoi craignez vous Jupiter qui vous aime ?')",1.0,Deletion
68,,"('#io', 'Je crains tout, je me crains moi-même.')",1.0,Deletion
69,,"('#jupiter', 'Quoi ! voulez vous me fuir')",1.0,Deletion
70,,"('#io', ""C'est mon dernier espoir."")",1.0,Deletion
71,,"('#jupiter', 'Écoutez mon amour.')",1.0,Deletion
72,,"('#io', 'Écoutez mon devoir.')",1.0,Deletion
73,"('#diomede', ""Achille est triomphant, je le vois qui s'avance Suivi de nos soldats, charmés de sa valeur."")","('#jupiter', 'Vous avez un coeur libre et qui peut de défendre')",1.64,Substitution
74,,"('#io', 'Non, vous ne laissez pas mon coeur en mon pouvoir')",1.0,Deletion
75,,"('#jupiter', ""Quoi ! vous ne voulez pas m'entendre"")",1.0,Deletion
76,"('#agamemnon', 'Éloignons-nous, évitons sa présence, Je ne saurais encore répondre de mon coeur.')","('#io', ""Je n'ai que trop de peine à ne le pas vouloir. Laissez-moi..."")",0.94,Substitution
77,,"('#jupiter', 'Quoi si tôt.')",1.0,Deletion
78,"('#le-choeur', 'Guerrier terrible, Soyez toujours invincible, Que vos exploits Fassent trembler tous les rois. Ciel équitable, Sois lui toujours favorable Que son bonheur Soit égal à sa valeur ! Guerrier terrible Soyez toujours invincible ; Que vos exploits Fassent trembler tous les Rois. Quelle allégresse ! Quel triomphe pour la Grèce ! Ses ennemis  Lui seront bientôt soumis. Guerrier terrible Soyez toujours invincible ; Que vos exploits Fassent trembler tous les Rois. La Danse de ce divertissement a été faite par Mr. Pécourt.')","('#io', 'Je devais moins attendre; Que ne fuyais-je hélas ! Avant que de vous voir.')",1.45,Substitution
79,,"('#jupiter', ""L'amour pour moi me sollicite Et je vois que vous me quittez"")",1.0,Deletion
80,,"('#io', ""Le devoir veut que je vous quitte, Et je sens que vous m'arrêtez"")",1.0,Deletion
81,,"('#mercure', 'Iris est ici-bas et Junon elle-même  Pourrait vous suivre dans ces lieux.')",1.0,Deletion
82,"('#capitaines-grecs', ""Venez tous, à l'envie, secondez notre ardeur Honorez votre heureux défenseur, Célébrez sa victoire, Chantez sa valeur et sa gloire, Que tous nos rois Charmés de ses exploits, Soient soumis à ses lois !"")","('#jupiter', ""Pour la nymphe que j'aime Je crains ses transports furieux."")",1.17,Substitution
83,,"('#mercure', 'Sa vengeance serait funeste, Si votre amour était surpris.')",1.0,Deletion
84,,"('#jupiter', ""Va, prends soin d'arrêter Iris, Mon amour prendra soin du reste."")",1.0,Deletion
85,"('#le-choeur', ""Suivons, suivons sans cesse Ce héros, ce fameux vainqueur C'est à son bras que la Grèce  Doit sa force et son bonheur. Chantons la valeur et sa gloire Du héros qui nous a sauvé Qu'ils jouissent après sa victoire Des honneurs éclatants à lui seul réservés. Chantons la valeur et la gloire Du héros qui nous a sauvé. De ses heureux travaux chérissons la mémoire, Consacrons-lui des jours qu'il nous a conservés. Chantons la valeur et la gloire Du héros qui nous a sauvé."")","('#mercure', ""Arrêtez, belle Iris, différez un moment D'accomplir en ces lieux ce que Junon désire."")",1.47,Substitution
86,,"('#iris', ""Vous m'arrêtez vainement Et vous n'aurez rien à me dire."")",1.0,Deletion
