,corneillep-medee,corneillet-medee,Cost,Operation Type
10,"('#jason', ""Et que fit Hypsipyle, Que pousser les éclats d'un courroux inutile ? Elle jeta des cris, elle versa des pleurs, Elle me souhaita mille et mille malheurs, Dit que j'étais sans foi, sans coeur, sans conscience, Et lasse de le dire, elle prit patience. Médée en son malheur en pourra faire autant : Qu'elle soupire, pleure, et me nomme inconstant ; Je la quitte à regret, mais je n'ai point d'excuse Contre un pouvoir plus fort qui me donne à Créuse."")","('#bellone', ""Vous résistez en vain, tremblez, fiers Ennemis, Au grand roi que je sers, je vous rendrai soumis.  Chez vous plus que jamais, par l'effroi de ses armes, Je porterai les plus rudes alarmes : Et mille triomphes divers,  Feront de son grand nom retentir l'univers."")",0.12,Substitution
11,,"('#le-choeur', ""Par mille triomphes divers, Faisons de son grand nom retentir l'univers."")",1.0,Deletion
12,"('#pollux', ""Créuse est donc l'objet qui vous vient d'enflammer ? Je l'aurais deviné sans l'entendre nommer. Jason ne fit jamais de communes maîtresses ; Il est né seulement pour charmer les princesses, Et haïrait l'amour, s'il avait sous sa loi Rangé de moindres coeurs que des filles de roi. Hypsipyle à Lemnos, sur le Phase Médée, Et Créuse à Corinthe, autant vaut, possédée, Font bien voir qu'en tous lieux, sans le secours de Mars, Les sceptres sont acquis à ses moindres regards."")","('#la-gloire', ""Pour seconder vos soins, laissez faire la Gloire, Ce héros me chérit, et je l'aimai toujours. On verra durer nos amours, Quand même il n'aura plus besoin de la Victoire. Non, non, ses ennemis jaloux, Ne pourront jamais rien, contre des noeuds si doux."")",0.18,Substitution
13,,"('#le-choeur', 'Non, non, ses ennemis jaloux,  Ne pourront jamais rien, contre des noeuds si doux.')",1.0,Deletion
14,"('#jason', ""Aussi je ne suis pas de ces amants vulgaires : J'accommode ma flamme au bien de mes affaires ; Et sous quelque climat que me jette le sort, Par maxime d'état je me fais cet effort. Nous voulant à Lemnos rafraîchir dans la ville, Qu'eussions-nous fait, Pollux, sans l'amour d'Hypsipyle ? Et depuis à Colchos, que fit votre Jason, Que cajoler Médée, et gagner la toison ? Alors, sans mon amour, qu'eût fait votre vaillance ? Eût-elle du dragon trompé la vigilance ? Ce peuple que la terre enfantait tout armé, Qui de vous l'eût défait, si Jason n'eût aimé ? Maintenant qu'un exil m'interdit ma patrie, Créuse est le sujet de mon idolâtrie ; Et j'ai trouvé l'adresse, en lui faisant la cour, De relever mon sort sur les ailes d'Amour."")","('#la-victoire', ""Le bruit des tambours, des trompettes, Ne viendra plus troubler vos jeux, Bergers, reprenez vos musettes, Chantez l'amour, chantez ses feux, La guerre et ses dangers affreux, N'approchent point de vos douces retraites :  Le plus grand des héros, vous y fait vivre heureux. Il vaincra tant de fois, sur la terre et sur l'onde, Que ses ennemis terrassés, Malgré tous leurs projets, seront enfin forcez De souffrir le repos qu'il veut donner au monde."")",0.42,Substitution
15,"('#pollux', ""Que parlez-vous d'exil ? La haine de Pélie..."")",,1.0,Insertion
16,"('#jason', ""Me fait, tout mort qu'il est, fuir de sa Thessalie."")","('#le-choeur', ""Il vaincra tant de fois, sur la terre et sur l'onde, Que ses ennemis terrassés, Malgré tous leurs projets, seront enfin forcés  De souffrir le repos qu'il veut donner au monde."")",1.31,Substitution
17,,"('#berger', ""Dans le bel âge, Si l'on n'est volage, Les tendres coeurs Goûtent peu de douceurs.  L'ardeur d'une flamme constante Est bientôt languissante, Veut-on d'agréables amours? Il faut changer toujours. Dans le bel âge, Si l'on n'est volage, Les tendres coeurs Goûtent peu de douceurs."")",1.0,Deletion
18,,"('#deux-bergeres', ""Voir nos moutons dans la verte prairie, Bondir sur l'herbette fleurie,  Sans craindre la fureur des loups, C'est pour nous un plaisir extrême ; Mais voir souvent ce que l'on aime, C'est encore un plaisir plus doux."")",1.0,Deletion
19,"('#pollux', 'Il est mort !')",,1.0,Insertion
20,"('#jason', ""Écoutez, et vous saurez comment Son trépas seul m'oblige à cet éloignement. Après six ans passés, depuis notre voyage, Dans les plus grands plaisirs qu'on goûte au mariage, Mon père, tout caduc, émouvant ma pitié, Je conjurai Médée, au nom de l'amitié..."")","('#le-choeur', ""Le bruit des tambours, des trompettes, Ne viendra plus troubler nos jeux. Prenons nos pipeaux, nos musettes, Chantons l'amour, chantons ses feux; La guerre et ses dangers affreux, N'approchent point de nos douces retraites, Le plus grand des héros, nous y fait vivre heureux. Il vaincra tant de fois, sur la terre et sur l'onde, Que ses ennemis terrassés, Malgré tous leurs projets, seront enfin forcés De souffrir le repos qu'il veut donner au monde. Après le choeur, le Palais s'en retourne d'où il est venu ; le tourbillon se renferme et remonte au Ciel."")",0.31,Substitution
21,"('#pollux', ""J'ai su comme son art, forçant les destinées, Lui rendit la vigueur de ses jeunes années : Ce fut, s'il m'en souvient, ici que je l'appris, D'où soudain un voyage en Asie entrepris Fait que, nos deux séjours divisés par Neptune, Je n'ai point su depuis quelle est votre fortune ; Je n'en fais qu'arriver."")","('#medee', ""Pour flatter mes ennuis, que ne puis-je te croire !  Tout le voudrait, mon repos et ma gloire ; Mais en vain à douter je trouve des appas,  Jason est un ingrat, Jason est un parjure ; L'amour que j'ai pour lui, me le dit, m'en assure,  Et l'amour ne se trompe pas."")",0.52,Substitution
22,,"('#nerine', ""Un mouvement jaloux vous le peint infidèle Mais d'injustes soupçons troublent votre repos ; Créüse est destinée au souverain d'Argos. Sur quel espoir Jason brûlerait-il pour elle ?"")",1.0,Deletion
23,"('#jason', ""Apprenez donc de moi Le sujet qui m'oblige à lui manquer de foi. Malgré l'aversion d'entre nos deux familles, De mon tyran Pélie elle gagne les filles, Et leur feint de ma part tant d'outrages reçus, Que ces faibles esprits sont aisément déçus. Elle fait amitié, leur promet des merveilles, Du pouvoir de son art leur remplit les oreilles ; Et pour mieux leur montrer comme il est infini, Leur étale surtout mon père rajeuni. Pour épreuve elle égorge un bélier à leurs vues, Le plonge en un bain d'eaux et d'herbes inconnues, Lui forme un nouveau sang avec cette liqueur, Et lui rend d'un agneau la taille et la vigueur. Les soeurs crient miracle, et chacune ravie Conçoit pour son vieux père une pareille envie, Veut un effet pareil, le demande, et l'obtient ; Mais chacune a son but. Cependant la nuit vient : Médée, après le coup d'une si belle amorce, Prépare de l'eau pure et des herbes sans force, Redouble le sommeil des gardes et du roi : La suite au seul récit me fait trembler d'effroi. À force de pitié ces filles inhumaines De leur père endormi vont épuiser les veines : Leur tendresse crédule, à grands coups de couteau, Prodigue ce vieux sang, et fait place au nouveau ; Le coup le plus mortel s'impute à grand service ; On nomme piété ce cruel sacrifice, Et l'amour paternel qui fait agir leurs bras Croirait commettre un crime à n'en commettre pas. Médée est éloquente à leur donner courage : Chacune toutefois tourne ailleurs son visage ; Une secrète horreur condamne leur dessein, Et refuse leurs yeux à conduire leur main."")","('#medee', ""Je sais qu'Oronte est prêt d'arriver en ces lieux ; Il vient rempli d'un espoir glorieux : Mais à le recevoir si Corinthe s'apprête, Ce n'est point son hymen qui le fait souhaiter. Il s'élève contre elle une affreuse tempête,  Son secours la peut écarter."")",0.19,Substitution
24,"('#pollux', ""À me représenter ce tragique spectacle, Qui fait un parricide et promet un miracle, J'ai de l'horreur moi-même, et ne puis concevoir Qu'un esprit jusque-là se laisse décevoir."")","('#nerine', ""Acaste contre vous arme la Thessalie. La cruelle mort de Pélie Vous rend l'objet de sa fureur. Si Créon ne vous abandonne,  De la guerre en ces lieux il va porter l'horreur ; Et lorsqu'en ce péril, comme l'amour l'ordonne, Jason veut de Créüse acquérir la faveur, Faut-il que ce soin vous étonne ?"")",0.72,Substitution
25,"('#jason', ""Ainsi mon père Aeson recouvra sa jeunesse. Mais oyez le surplus. Ce grand courage cesse ; L'épouvante les prend ; Médée en raille, et fuit. Le jour découvre à tous les crimes de la nuit ; Et pour vous épargner un discours inutile, Acaste, nouveau roi, fait mutiner la ville, Nomme Jason l'auteur de cette trahison, Et pour venger son père, assiège ma maison. Mais j'étais déjà loin, aussi bien que Médée ; Et ma famille enfin à Corinthe abordée, Nous saluons Créon, dont la bénignité Nous promet contre Acaste un lieu de sûreté. Que vous dirai-je plus ? Mon bonheur ordinaire M'acquiert les volontés de la fille et du père ; Si bien que de tous deux également chéri, L'un me veut pour son gendre, et l'autre pour mari. D'un rival couronné les grandeurs souveraines, La majesté d'Aegée, et le sceptre d'Athènes, N'ont rien, à leur avis, de comparable à moi, Et banni que je suis, je leur suis plus qu'un roi. Je vois trop ce bonheur, mais je le dissimule ; Et bien que pour Créuse un pareil feu me brûle, Du devoir conjugal je combats mon amour, Et je ne l'entretiens que pour faire ma cour. Acaste cependant menace d'une guerre Qui doit perdre Créon et dépeupler sa terre ; Puis, changeant tout_à_coup ses résolutions, Il propose la paix sous des conditions. Il demande d'abord et Jason et Médée : On lui refuse l'un, et l'autre est accordée ; Je l'empêche, on débat, et je fais tellement, Qu'enfin il se réduit à son bannissement. De nouveau je l'empêche, et Créon me refuse ; Et pour m'en consoler, il m'offre sa Créuse. Qu'eussé-je fait, Pollux, en cette extrémité Qui commettait ma vie avec ma loyauté ? Car sans doute, à quitter l'utile pour l'honnête, La paix allait se faire aux dépens de ma tête ; Le mépris insolent des offres d'un grand roi Aux mains d'un ennemi livrait Médée et moi. Je l'eusse fait pourtant, si je n'eusse été père. L'amour de mes enfants m'a fait l'âme légère ; Ma perte était la leur ; et cet hymen nouveau Avec Médée et moi les tire du tombeau : Eux seuls m'ont fait résoudre, et la paix s'est conclue."")","('#medee', ""Qu'il soit abandonné de Créüse et du roi, S'il lui faut un appui, ne l'a-t-il pas en moi ? Quand de Colchos il prit la fuite, Maître de la riche Toison, Mon père eut beau s'armer contre ma trahison, Quel fut l'effet de sa poursuite ?"")",0.13,Substitution
26,,"('#nerine', 'Quoi, vous résoudre à fuir toujours ?')",1.0,Deletion
27,,"('#medee', ""La fuite, l'exil, la mort même, Tout est doux avec ce qu'on aime."")",1.0,Deletion
28,,"('#nerine', 'Jason pour vos enfants cherche ici du secours.')",1.0,Deletion
29,"('#pollux', ""Bien que de tous côtés l'affaire résolue Ne laisse aucune place aux conseils d'un ami, Je ne puis toutefois l'approuver qu'à demi. Sur quoi que vous fondiez un traitement si rude, C'est montrer pour Médée un peu d'ingratitude : Ce qu'elle a fait pour vous est mal récompensé. Il faut craindre après tout son courage offensé ; Vous savez mieux que moi ce que peuvent ses charmes."")","('#medee', ""Qu'il le cherche, mais qu'il me craigne. Un dragon assoupi, de fiers taureaux domptez, Ont à ses yeux suivi mes volontés. S'il me vole son coeur, si la princesse y règne, De plus grands efforts feront voir, Ce qu'est Médée et son pouvoir. "")",0.23,Substitution
30,"('#jason', ""Ce sont à sa fureur d'épouvantables armes ; Mais son bannissement nous en va garantir."")","('#nerine', ""Forcez vos ennuis au silence, Un courroux violent ne doit jamais parler. On perd la plus sûre vengeance Si l'on ne sait dissimuler."")",0.66,Substitution
31,"('#pollux', ""Gardez d'avoir sujet de vous en repentir."")","('#medee', ""Forçons nos, vos ennuis au silence,  Un courroux violent ne doit jamais parler. On perd la plus sûre vengeance Si l'on ne sait dissimuler."")",1.03,Substitution
32,,"('#medee', ""D'où vous vient cet air sombre, et qu'allez-vous m'apprendre ? Créon nous voudrait-il bannir de ses États ? "")",1.0,Deletion
33,"('#jason', ""Quoi qu'il puisse arriver, ami, c'est chose faite."")","('#jason', ""Créon redoute Acaste, et ne s'explique pas ; Mais contre nous quoiqu'on puisse entreprendre, Du moins pour nos enfants j'ai su fléchir les Dieux. S'il faut d'un fier destin suivre la loi cruelle, Ils trouveront un asile en ces lieux ; La Princesse les doit retenir auprès d'elle."")",1.6,Substitution
34,,"('#medee', ""C'est être généreuse."")",1.0,Deletion
35,"('#pollux', ""La termine le ciel comme je le souhaite ! Permettez cependant qu'afin de m'acquitter J'aille trouver le roi pour l'en féliciter."")","('#jason', ""Elle me laisse voir Que nous pouvons espérer d'avantage. Sur son père elle a tout pouvoir Et j'attends tout du zèle où sa bonté l'engage."")",0.74,Substitution
36,"('#jason', ""Je vous y conduirais, mais j'attends ma princesse, Qui va sortir du temple."")","('#medee', ""L'ardeur que vous montrez à lui faire la cour..."")",1.47,Substitution
37,"('#pollux', ""Adieu : l'amour vous presse, Et je serais marri qu'un soin officieux Vous fît perdre pour moi des temps si précieux."")","('#jason', ""Ignorez-vous d'un père où va le tendre amour ?"")",1.05,Substitution
38,"('#jason', ""Depuis que mon esprit est capable de flamme, Jamais un trouble égal n'a confondu mon âme : Mon coeur, qui se partage en deux affections, Se laisse déchirer à mille passions. Je dois tout à Médée, et je ne puis sans honte Et d'elle et de ma foi tenir si peu de conte : Je dois tout à Créon, et d'un si puissant roi Je fais un ennemi, si je garde ma foi : Je regrette Médée, et j'adore Créuse ; Je vois mon crime en l'une, en l'autre mon excuse ; Et dessus mon regret mes désirs triomphants Ont encore le secours du soin de mes enfants. Mais la princesse vient : l'éclat d'un tel visage Du plus constant du monde attirerait l'hommage, Et semble reprocher à ma fidélité D'avoir osé tenir contre tant de beauté."")","('#medee', ""Pour nous la rendre favorable, Vos soins trop assidus devraient vous alarmer. Une douce habitude est facile à former ; Et voir souvent ce qui paraît aimable, C'est flatter le penchant qui nous porte à l'aimer."")",0.49,Substitution
39,,"('#jason', 'Quoi vous me soupçonnez ?')",1.0,Deletion
40,,"('#medee', 'Jason doit me connaître ; Il me coûte assez cher pour ne le perdre pas.')",1.0,Deletion
41,,"('#jason', 'Ah ! que me dites-vous ?')",1.0,Deletion
42,,"('#medee', 'Ce que je crains.')",1.0,Deletion
43,"('#jason', ""Que votre zèle est long, et que d'impatience Il donne à votre amant, qui meurt en votre absence !"")","('#jason', ""Hélas !  Que ne puis-je faire paraître Ce que mon coeur pour vous sera jusqu'au trépas !"")",0.83,Substitution
44,"('#creuse', ""Je n'ai pas fait pourtant au ciel beaucoup de voeux : Ayant Jason à moi, j'ai tout ce que je veux."")","('#medee', ""Que de tristes soucis, malgré ses doux appas, Dans un coeur bien touché l'injuste amour fait naître !"")",1.24,Substitution
45,,"('#medee', 'De trop cuisants remords accablent les ingrats ; Jason ne le voudra pas être.')",1.0,Deletion
46,"('#jason', ""Et moi, puis-je espérer l'effet d'une prière Que ma flamme tiendrait à faveur singulière ? Au nom de notre amour, sauvez deux jeunes fruits Que d'un premier hymen la couche m'a produits ; Employez-vous pour eux, faites auprès d'un père Qu'ils ne soient point compris en l'exil de leur mère : C'est lui seul qui bannit ces petits malheureux, Puisque dans les traités il n'est point parlé d'eux."")","('#jason', ""Quittez ces détours superflus. Pour m'assurer du Roi, je voyais la Princesse. Mais si c'est un soin qui vous blesse, Parlez, je ne la verrai plus."")",0.24,Substitution
47,,"('#medee', ""Non, Jason, cherchez à lui plaire. Dans les rigueurs d'un sort trop inhumain Son secours nous est nécessaire."")",1.0,Deletion
48,"('#creuse', ""J'avais déjà parlé de leur tendre innocence, Et vous y servirai de toute ma puissance, Pourvu qu'à votre tour vous m'accordiez un point Que jusques à tantôt je ne vous dirai point."")","('#jason', ""Pour nous le rendre plus certain, Dirai-je ce qu'il faudrait faire ? Cette robe superbe où par tout nous voyons, Du soleil votre aïeul éclater les rayons, Par son brillant a touché son envie, Ses yeux m'en ont paru surpris. Nous verrions sa faveur d'un prompt effet suivie,  Si de ses soins vous en faisiez le prix."")",0.2,Substitution
49,"('#jason', ""Dites, et quel qu'il soit, que ma reine en dispose."")",,1.0,Insertion
50,"('#creuse', 'Si je puis sur mon père obtenir quelque chose, Vous le saurez après : je ne veux rien pour rien.')","('#medee', ""Vous le voulez, je la donne sans peine ; Mais du ciel irrité quel_que_soit le courroux, Songez que si je puis me répondre de vous, Je n'ai point à craindre sa haine."")",0.68,Substitution
51,"('#cleone', 'Vous pourrez au palais suivre cet entretien. On ouvre chez Médée, ôtez-vous de sa vue : Vos présences rendraient sa douleur plus émue ; Et vous seriez marris que cet esprit jaloux Mêlât son amertume à des plaisirs si doux.')","('#jason', ""Que je serais heureux, si j'étais moins aimé ! Médée avec ardeur dans mon sort s'intéresse, Je lui dois toute ma tendresse ; D'une autre cependant je me trouve charmé ; Et malgré moi j'adore la Princesse. Que je serais heureux, si j'étais moins aimé !"")",0.12,Substitution
52,,"('#arcas', ""Si vous l'abandonnez, songez-vous à la rage Où la mettra son désespoir ?"")",1.0,Deletion
53,"('#medee', ""Souverains protecteurs des lois de l'hyménée, Dieux garants de la foi que Jason m'a donnée, Vous qu'il prit à témoins d'une immortelle ardeur Quand par un faux serment il vainquit ma pudeur, Voyez de quel mépris vous traite son parjure, Et m'aidez à venger cette commune injure : S'il me peut aujourd'hui chasser impunément, Vous êtes sans pouvoir ou sans ressentiment. Et vous, troupe savante en noires barbaries, Filles de l'Achéron, pestes, larves, furies, Fières soeurs, si jamais notre commerce étroit Sur vous et vos serpents me donna quelque droit, Sortez de vos cachots avec les mêmes flammes Et les mêmes tourments dont vous gênez les âmes ; Laissez-les quelque temps reposer dans leurs fers : Pour mieux agir pour moi faites trêve aux enfers ; Apportez-moi du fond des antres de Mégère La mort de ma rivale, et celle de son père ; Et si vous ne voulez mal servir mon courroux, Quelque chose de pis pour mon perfide époux : Qu'il coure vagabond de province en province, Qu'il fasse lâchement la cour à chaque prince ; Banni de tous côtés, sans bien et sans appui, Accablé de frayeur, de misère, d'ennui, Qu'à ses plus grands malheurs aucun ne compatisse ; Qu'il ait regret à moi pour son dernier supplice ; Et que mon souvenir jusque dans le tombeau Attache à son esprit un éternel bourreau. Jason me répudie ! Et qui l'aurait pu croire ? S'il a manqué d'amour, manque-t-il de mémoire ? Me peut-il bien quitter après tant de bienfaits ? M'ose-t-il bien quitter après tant de forfaits ? Sachant ce que je puis, ayant vu ce que j'ose, Croit-il que m'offenser ce soit si peu de chose ? Quoi ! Mon père trahi, les éléments forcés, D'un frère dans la mer les membres dispersés, Lui font-ils présumer mon audace épuisée ? Lui font-ils présumer qu'à mon tour méprisée, Ma rage contre lui n'ait par où s'assouvir, Et que tout mon pouvoir se borne à le servir ? Tu t'abuses, Jason, je suis encore moi-même. Tout ce qu'en ta faveur fit mon amour extrême, Je le ferai par haine ; et je veux pour le moins Qu'un forfait nous sépare, ainsi qu'il nous a joints ; Que mon sanglant divorce, en meurtres, en carnage, S'égale aux premiers jours de notre mariage, Et que notre union, que rompt ton changement, Trouve une fin pareille à son commencement. Déchirer par morceaux l'enfant aux yeux du père N'est que le moindre effet qui suivra ma colère ; Des crimes si légers furent mes coups d'essai : Il faut bien autrement montrer ce que je sais ; Il faut faire un chef-d'oeuvre, et qu'un dernier ouvrage Surpasse de bien loin ce faible apprentissage. Mais pour exécuter tout ce que j'entreprends, Quels dieux me fourniront des secours assez grands ? Ce n'est plus vous, enfers, qu'ici je sollicite : Vos feux sont impuissants pour ce que je médite. Auteur de ma naissance, aussi bien que du jour, Qu'à regret tu dépars à ce fatal séjour, Soleil, qui vois l'affront qu'on va faire à ta race, Donne-moi tes chevaux à conduire en ta place ; Accorde cette grâce à mon désir bouillant : Je veux choir sur Corinthe avec ton char brûlant ; Mais ne crains pas de chute à l'univers funeste : Corinthe consumé garantira le reste ; De mon juste courroux les implacables voeux Dans ses odieux murs arrêteront tes feux ; Créon en est le prince, et prend Jason pour gendre : C'est assez mériter d'être réduit en cendre, D'y voir réduit tout l'isthme, afin de l'en punir, Et qu'il n'empêche plus les deux mers de s'unir."")","('#jason', ""Je sais la grandeur de l'outrage, Je manque à la foi qui m'engage, Et vois tout ce que je dois voir ; Mais un fier ascendant asservit mon courage. En vain je cherche à n'y point consentir ; Des grandes passions c'est le sort qui décide. Je rougis, je me hais d'être ingrat et perfide,  Et je ne puis m'en garantir."")",0.21,Substitution
54,"('#medee', ""Eh bien ? Nérine, à quand, à quand cet hyménée ? En ont-ils choisi l'heure ? En sais-tu la journée ? N'en as-tu rien appris ? N'as-tu point vu Jason ? N'appréhende-t-il rien après sa trahison ? Croit-il qu'en cet affront je m'amuse à me plaindre ? S'il cesse de m'aimer, qu'il commence à me craindre ; Il verra, le perfide, à quel comble d'horreur De mes ressentiments peut monter la fureur."")","('#arcas', ""Dans ce que peut Médée, oserai-je vous dire Que vous ne sauriez trop redouter son courroux ? Si sur votre âme encor la gloire a quelque empire, Voyez ce qu'elle veut de vous."")",0.35,Substitution
55,"('#nerine', ""Modérez les bouillons de cette violence, Et laissez déguiser vos douleurs au silence. Quoi ! Madame, est-ce ainsi qu'il faut dissimuler ? Et faut-il perdre ainsi des menaces en l'air ? Les plus ardents transports d'une haine connue Ne sont qu'autant d'éclairs avortés dans la nue, Qu'autant d'avis à ceux que vous voulez punir, Pour repousser vos coups, ou pour les prévenir. Qui peut, sans s'émouvoir, supporter une offense, Peut mieux prendre à son point le temps de sa vengeance ; Et sa feinte douceur, sous un appas mortel, Mène insensiblement sa victime à l'autel."")","('#jason', ""Que me peut demander la Gloire, Quand l'Amour s'est rendu le maître de mon coeur ? Dans le triste combat, où si j'ose la croire, L'avantage cruel de demeurer vainqueur, Doit me coûter tout mon bonheur, Que peut me demander la Gloire ?  Si je traite Médée avec trop de rigueur, Un objet tout charmant trouve de la douceur À me céder une illustre victoire : Je touche au doux moment d'en être possesseur. Serments de ma première ardeur, Devoirs que je trahis, sortez de ma mémoire, Et ne m'opposez plus vos chimères d'honneur : Que me peut demander la gloire, Quand l'Amour s'est rendu le maître de mon coeur ?"")",0.0,Match
56,,"('#le-choeur-de-corinthiens', ""Disparaissez, inquiètes alarmes ; Vaines terreurs, fuyez, éloignez-vous. Le secours d'un héros vient se joindre à nos armes, Nos plus fiers ennemis trembleront devant nous. Disparaissez, inquiètes alarmes, Vaines terreurs, fuyez, éloignez-vous."")",1.0,Deletion
57,"('#medee', ""Tu veux que je me taise et que je dissimule ! Nérine, porte ailleurs ce conseil ridicule : L'âme en est incapable en de moindres malheurs, Et n'a point où cacher de pareilles douleurs. Jason m'a fait trahir mon pays et mon père, Et me laisse au milieu d'une terre étrangère, Sans support, sans amis, sans retraite, sans bien, La fable de son peuple, et la haine du mien : Nérine, après cela tu veux que je me taise ! Ne dois-je point encore en témoigner de l'aise, De ce royal hymen souhaiter l'heureux jour, Et forcer tous mes soins à servir son amour ?"")","('#creon', ""L'allégresse en ces lieux, ne peut être plus grande... Mon peuple voit Oronte, et son secours promis Doit étonner nos ennemis. Rendons lui les honneurs que son rang nous demande."")",0.36,Substitution
58,"('#nerine', ""Madame, pensez mieux à l'éclat que vous faites : Quelque juste qu'il soit, regardez où vous êtes ; Considérez qu'à peine un esprit plus remis Vous tient en sûreté parmi vos ennemis."")","('#oronte', ""Seigneur, la Thessalie attaquant vos États, Pour vous de mon secours je craindrais la faiblesse, Si ma seule valeur répondait de mon bras ; Mais quand pour mariter les voeux de la Princesse, L'honneur de la servir m'attire en votre cour, J'ose tout espérer de l'ardeur qui me presse. Que ne peut point un coeur animé par l'amour ?"")",0.49,Substitution
59,"('#medee', ""L'âme doit se roidir plus elle est menacée, Et contre la fortune aller tête baissée, La choquer hardiment, et sans craindre la mort, Se présenter de front à son plus rude effort. Cette lâche ennemie a peur des grands courages, Et sur ceux qu'elle abat redouble ses outrages."")","('#creon', ""Prince, je sais que l'amour a des charmes, Qui font les soins des jeunes coeurs ; Mais la guerre aujourd'hui, par ses tristes alarmes, En doit suspendre les douceurs. Vous brûlez pour ma fille, avant qu'elle se donne, Il faut affermir ma couronne :  Jason la soutiendra, si vous le secondez."")",0.69,Substitution
60,"('#nerine', ""Que sert ce grand courage où l'on est sans pouvoir ?"")","('#oronte', ""Après l'heureux succès de la Toison conquise, Sa valeur dans cette entreprise, Assure les exploits que vous en attendez."")",1.2,Substitution
61,"('#medee', 'Il trouve toujours lieu de se faire valoir.')","('#jason', ""Les vôtres sont certains, un grand prix vous anime, Et rien n'est impossible à qui peut l'acquérir."")",1.72,Substitution
62,"('#nerine', ""Forcez l'aveuglement dont vous êtes séduite, Pour voir en quel état le sort vous a réduite. Votre pays vous hait, votre époux est sans foi : Dans un si grand revers que vous reste-t-il ?"")","('#creon', ""Voyez nos peuples accourir,  Et souffrez que leur joie auprès de vous s'exprime."")",0.8,Substitution
63,"('#medee', ""Moi : Moi, dis-je, et c'est assez."")","('#un-corinthien', 'Courez aux champs de Mars, volez, jeune héros. Ouvrez-nous le chemin qui conduit à la gloire . Nos coeurs ont trop langui dans le sein du repos : Pour nous mener à la victoire,  Courez aux champs de Mars, volez, jeune héros.')",1.93,Substitution
64,"('#nerine', 'Quoi ! Vous seule, madame ?')","('#le-choeur', 'Courez aux champs de Mars, volez, jeune héros. Ouvrez-nous le chemin qui conduit à la gloire . Nos coeurs ont trop langui dans le sein du repos : Pour nous mener à la Victoire, Courez aux champs de Mars, volez, jeune Héros.')",1.85,Substitution
65,"('#medee', ""Oui, tu vois en moi seule et le fer et la flamme, Et la terre, et la mer, et l'enfer, et les cieux, Et le sceptre des rois, et la foudre des dieux."")","('#oronte', ""Courons, volons, d'un courage intrépide, Sur la foi de l'amour, affrontons les hasards : Ce Dieu peut tout ; puisqu'il nous sert de guide, La Victoire en tous lieux suivra mes étendards. Les Corinthiens font un essai de Lutte. Les Argiens font une danse galante."")",0.86,Substitution
