,dufresny-regnard-chinois,regnard-coquette,Cost,Operation Type
10,,"('#bagatelle', 'Ne lui dirai-je pas aussi de nous faire des culottes ?  La mienne est toute déchirée entre les jambes, et ma chemise passe, révérence parler, par... ')",1.0,Deletion
11,"('#thalie', ""Ne vous souvenez-vous pas que ce n'est plus moi qui le panse ?  Vous en avez donné la charge aux auteurs ; et depuis ce temps aussi, le pauvre animal, hélas !  Les os lui percent la peau."")","('#colombine', 'Taisez-vous, petit sot, et faites ce que je vous dis.')",1.2,Substitution
12,,"('#isabelle', 'Hé bien, cousine, as-tu bientôt mis la dernière main à ton visage ? ')",1.0,Deletion
13,,"('#colombine', ""Dis-moi, je te prie, comment me trouves-tu aujourd'hui ? "")",1.0,Deletion
14,"('#apollon', ""C'est sa faute.  Pourquoi se laisse-t-il monter par le premier venu ?"")","('#isabelle', 'À charmer. ')",1.53,Substitution
15,,"('#colombine', ""J'ai beau arranger mes traits, il me semble qu'il y en a toujours quelqu'un qui se révolte contre mon économie. "")",1.0,Deletion
16,,"('#isabelle', ""Je t'assure que tu es d'un air à faire payer contribution à tous les coeurs de la ville. "")",1.0,Deletion
17,"('#thalie', ""Il est vrai que c'est la monture banale de tous les regrattiers du Parnasse ; il n'y a pas jusqu'aux femmes qui le font trotter en vers alexandrins ; et je ne sais pas quel diable de train elles le font aller ; mais il ne revient jamais à l'écurie qu'il ne soit crevé de coups d'éperon."")","('#colombine', ""Je sais bien, sans vanité, que j'ai quelque agrément ; mais avec un peu de beauté, et trois ou quatre mouches sur le nez, une fille ne va pas loin dans le siècle où nous sommes.  Il faut de cela pour plaire ... Et pour attraper un époux, qui est le point difficile.  Nous commençons tout doucement à monter en graine, et nous sommes assez fortes pour bien soutenir une thèse en mariage.  Elle se touche le front. "")",1.07,Substitution
18,"('#apollon', ""Puisqu'on a mis Pégase sur le pied d'un cheval de louage, c'est aux auteurs qui le louent à le nourrir."")",,1.0,Insertion
19,"('#thalie', ""Et comment voulez-vous que les auteurs nourrissent un cheval ?  Les pauvres diables ont bien de la peine à se nourrir eux-mêmes.  Voyez-vous, dans le temps où nous sommes, on n'engraisse guère à mâcher du laurier."")","('#isabelle', ""J'en tombe d'accord.  Crois-tu, cousine, que j'aie le coeur plus dur que toi ?  Je sens quelquefois qu'une fille n'est pas née pour vivre seule ; je t'avouerai même que j'emploie tout mon esprit pour attirer quelque amant dans le filet conjugal.  Mais les hommes sont des pestes de poissons rusés qui viennent badiner autour de l'appât, et qui mordent rarement à l'hameçon.  Le mariage se décrie de jour en jour ; je crois, pour moi, que nous allons voir la fin du monde. "")",1.29,Substitution
20,"('#apollon', ""Ils m'ont promis qu'ils ne feraient plus que de bonnes pièces : il faut espérer qu'ils seront plus gras cet hiver."")","('#colombine', ""Que tu es folle !  Quoique le mariage ne soit plus guère à la mode, les hommes ont beau faire, ils ne sauraient se passer de nous.  Leur répugnance pour le mariage vient de la simplicité des filles qui ne savent pas jouer leur rôle.  L'homme est un animal qui veut être trompé. "")",1.62,Substitution
21,"('#thalie', ""Il est vrai que les auteurs et les comédiens sont du naturel des bécasses ; ils n'engraissent point que le froid ne leur ait donné sur la queue.  Franchement, ces messieurs-là nous barbouillent terriblement dans le monde ; car le public croit que c'est vous et moi qui leur inspirons toutes les sottises qu'ils mettent sur le théâtre."")","('#isabelle', ""Je ne m'applique nuit et jour à autre chose.  Je relève, avec art, les agréments que la nature m'a donnés : je joins à quelque brillant d'esprit les talents de la poésie et de la musique : pour mes manières, elles sont douces et insinuantes ; et, avec tout cela, point d'épouseurs. "")",0.61,Substitution
22,"('#apollon', ""Le public a tort.  Mais, à propos de sottises, qu'est-ce qu'une certaine pièce que les comédiens italiens ont affichée ?  La Comédie des Comédiens Chinois ?  Cette troupe-là est toujours magnifique en titres."")","('#colombine', 'Mais que prétendent donc tous ces petits messieurs-là ? ')",1.81,Substitution
23,"('#thalie', ""C'est pour l'ordinaire le plus beau de leurs pièces ; et, à vous parler franchement, je crois que celle-ci ne sera point meilleure que les autres : ce n'est pas que, si on se donne la peine de l'écouter jusqu'à la fin, ce qui est assez rare, on pourra peut-être s'y divertir."")","('#isabelle', ""C'est ce que je ne conçois pas.  On sait bien qu'il y a de certaines avances qui accrochent quelquefois.  Mais vous en aurez menti, messieurs les soupirants ; et si j'accorde quelque faveur, ce ne sera, ma foi, que par-devant notaire, et en vertu d'un bon parchemin bien signé. "")",0.94,Substitution
24,"('#apollon', 'Apparemment que le dernier acte est le meilleur de tous.')",,1.0,Insertion
25,"('#thalie', ""Je ne crois pas pour cela qu'il soit bon ; il peut être meilleur que les autres, et ne pas valoir grand'chose.  Mais comme les comédiens s'y disent un peu leurs vérités, et se donnent par-ci par-là quelque petit coup d'étrille, il pourra être du goût du public, qui mord à la grappe quand il entend dauber un comédien."")","('#colombine', ""Cependant ce n'est pas une chose si difficile que tu le penses, d'engager un homme.  Savoir risquer un billet dans son temps, marcher sur le pied à l'un, tendre la main à l'autre, se brouiller avec celui-ci, se raccommoder avec celui-là : crois-moi, avec ce petit manège-là, il faut, bon gré, mal gré, que quelque bête donne dans les toiles. "")",0.61,Substitution
26,,"('#isabelle', ""Il me semble que tu copies assez bien une coquette d'après nature.  Prends-y garde, au moins : on ne fait plus guère de fortune à ce métier-là. "")",1.0,Deletion
27,"('#apollon', ""Il est naturel de se réjouir des coups de dent que reçoivent ceux qui nous ont mordus, et je suis bien aise que les comédiens commencent à se rendre justice, et à tourner contre eux-mêmes les traits dont ils ont piqué les autres ; car enfin il n'y a point de profession qui ait échappé à leur satire ; procureurs, médecins, magistrats."")","('#colombine', ""Bon !  Il n'y a plus que les sottes qui se persuadent d'attraper des hommes par des airs composés.  Cousine, le monde m'en a plus appris qu'à toi, et je te suis caution qu'une fille n'est piquante qu'autant qu'elle a pris sel dans la coquetterie. "")",0.45,Substitution
28,,"('#isabelle', ""Vraiment !  Ce ne sont pas là les maximes de ma mère, qui me prône tous les jours que la coquetterie est l'antipode du mariage ; et j'ai ouï dire cent fois à mon oncle qu'une fille coquette ressemble à ces vins pétillants dont tout le monde veut tâter, et dont personne ne veut acheter pour son ordinaire. "")",1.0,Deletion
29,"('#thalie', ""Vraiment, ils ont bien fait pis ; ils n'ont pas même respecté les empereurs romains ni les maîtres danser."")","('#colombine', ""Voilà-t-il pas mes contes de grand'mères, qui condamnent dans leurs enfants les plaisirs que l'âge leur refuse !  Je veux, moi, te donner des conseils pour le mariage, plus courts et plus faciles : et afin que tu les retiennes mieux, je vais te les lire en vers. "")",1.42,Substitution
30,"('#la-muse', 'Il y a une petite fille qui demande à parler à Apollon.')",,1.0,Insertion
31,"('#la-petite-fille', ""N'est-ce pas vous, monsieur, qui êtes le seigneur de ce village-là, et qui vous appelez Apollon ?"")",,1.0,Insertion
32,"('#apollon', ""Oui, belle mignonne.  Qu'y a-t-il pour votre service ?"")","('#isabelle', ""En vers, ma petite !  Ah !  C'est ma folie. "")",1.66,Substitution
33,"('#thalie', 'Voilà un tendron qui ne serait pas mauvais pour remeubler le Parnasse, à la place de quelque Muse surannée.')","('#colombine', ""Une fille qui veut se faire  Un époux parmi ses amants,  Doit changer à tous les moments  Et de visage et de manière ;  Tantôt, d'un air modeste, elle entre dans un coeur,  Sous un faux semblant de sagesse ;  Et tantôt, rallumant un feu de belle humeur,  Elle y porte à la fois la joie et la tendresse ;  Elle sait finement, par un mélange heureux,  Délaver la douceur avecque la rudesse ;  Du frein ou de l'épron usant avec adresse,  Suivant que l'animal est vif ou paresseux. N'en perds pas une syllabe.  Portrait d'une Coquette, ou la vraie morale d'une Fille à marier. Elle lit. "")",1.3,Substitution
34,,"('#isabelle', 'Je ne sais pas comment sera le reste, mais le début est fort vif. ')",1.0,Deletion
35,"('#la-petite-fille', ""Je me suis échappée de chez nous pour vous faire une prière.  J'aime la Comédie italienne à la folie, et ma bonne maman ne veut pas m'y mener."")","('#colombine', ""Pour conserver les coeurs qu'elle a su préparer,  Elle tient toujours la balance  Entre la crainte et l'espérance,  Laissant un pauvre amant doucement s'enferrer.  Si quelqu'un, rebuté de son trop long martyre,  Cherche à s'échapper du filet,  Par de fausses bontés alors on le retire :  On écrit, et Dieu sait le style du billet !  Un roi ne paierait pas tout ce qu'on lui promet :  On se désespère, on soupire ;  Trac, l'oiseau rentre au trébuchet.  Rien ne se démentira.  Elle continue de lire. "")",0.96,Substitution
36,,"('#isabelle', ""Au trébuchet !  Un mari ne se prend pas comme un oiseau ; il faut bien d'autres piéges. "")",1.0,Deletion
37,"('#thalie', ""C'est une folle.  Il faut y aller sans elle ; vous ne serez pas la première."")","('#colombine', ""Je te dis qu'en amour ils sont si niais, qu'une fille qui sait un peu son métier en va duper trente à la fois. Lui parle-t-on d'amour...  Elle poursuit sa lecture. "")",1.43,Substitution
38,,"('#isabelle', 'Encore ? ')",1.0,Deletion
39,,"('#colombine', ""Lui parle-t-on d'amour, vante-t-on ses appas,  Elle impose silence en faisant la novice ;  Elle fait expliquer ceux qui n'en parlent pas,  Et sait se démonter à visse :  D'un rire obéissant son visage est paré ;  Le robinet des pleurs s'ouvre et ferme à son gré ;  Et, dispensant ainsi la rigueur, la tendresse,  Crois-moi, cousine, en cet état,  C'est jouer de malheur, après tant de souplesse,  Si quelque dupe enfin ne tâte du contrat. Voici le dernier.  Dame !  Il entre bien des ingrédients dans la composition d'une coquette."")",1.0,Deletion
40,,"('#isabelle', ""Savante comme tu l'es, tu devrais te mettre à montrer le coquettisme en ville : tu serais bientôt riche. "")",1.0,Deletion
41,,"('#colombine', ""Je n'y gagnerais pas de l'eau : toutes les filles savent cela.  Dans le fond, on n'a que de bonnes intentions.  Et quel reproche peut faire un homme quand une fille ne le trompe qu'en vue de mariage ? "")",1.0,Deletion
42,,"('#bagatelle', 'Mademoiselle, voilà monsieur le comte Octave. ')",1.0,Deletion
43,,"('#colombine', ""Qu'il entre."")",1.0,Deletion
44,"('#apollon', ""Votre mère a tort, ma belle enfant, de vous priver du plaisir le plus agréable et le plus innocent qu'il y ait aujourd'hui."")","('#isabelle', ""Je te laisse avec lui ; car apparemment c'est un épouseur : et ma mère m'attend. "")",1.35,Substitution
45,"('#thalie', ""Assurément.  Si j'étais mère, j'aimerais mieux que ma fille allât tout un hiver à la Comédie, qu'une fois au bois de Boulogne pendant la sève du mois de mai."")","('#colombine', ""Bon !  Ta mère t'attend : va, va, elle est la maîtresse, elle attendra tant qu'elle voudra : demeure ici ; tu en apprendras plus avec moi en un quart d'heure, que tu ne feras en toute ta vie avec ta mère.  C'est une façon de mari. "")",0.99,Substitution
46,,"('#isabelle', ""Tu l'aimeras donc ? "")",1.0,Deletion
47,"('#la-petite-fille', 'Oh !  Monsieur, je ne suis pas encore assez grande pour aller au bois de Boulogne ; je ne vais encore que sur le rempart.')","('#colombine', ""Que tu es sotte !  Ne t'ai-je pas dit cent fois que j'aime tout le monde sans aimer personne.  Mon père m'a défendu de le voir, parce qu'il me destine à un bailli du Maine, qui doit arriver dans peu.  Ne suis-je pas bien malheureuse !  Car imagine-toi ce que c'est qu'un bailli, et un bailli du Maine !  Mais voici Octave."")",0.93,Substitution
48,,"('#octave', ""Malgré la rigueur de votre père, je viens vous assurer, mademoiselle, que je perdrai plutôt la vie que l'espérance d'être un jour votre époux. "")",1.0,Deletion
49,,"('#mezzetin', ""Oui, mademoiselle, nous avons résolu cela : et s'il ne vous épouse, je vous épouserai, moi."")",1.0,Deletion
50,,"('#isabelle', 'Cousine, voilà un gibier à trébuchet. ')",1.0,Deletion
51,"('#apollon', ""La comédie forme l'esprit, élève le coeur, ennoblit les sentiments : c'est le miroir de la vie humaine, qui fait voir le vice dans toute son horreur, et représente la vertu avec tout son éclat.  Le théâtre est l'école de la politesse, le rendez-vous des beaux esprits, le piédestal des gens de qualité.  Une petite dose de comédie, prise à propos, rend l'esprit des dames plus enjoué, le coeur plus tendre, l'oeil plus vif et les manières plus engageantes.  C'est le lieu où le beau sexe brille avec le plus d'éclat."")","('#colombine', ""Vous savez, Monsieur_le_Comte, quels sont mes sentiments pour vous : cela vous doit suffire.  Ne parlons point d'amour, si ce n'est en chansons.  Vous chantez bien : voilà ma cousine qui accompagne parfaitement du clavecin : je veux vous entendre ensemble. "")",0.96,Substitution
52,,"('#octave', ""Mais, mademoiselle, chanter dans l'état où je suis ; pénétré de douleur, désespéré... "")",1.0,Deletion
53,,"('#colombine', ""Bon, bon !  Si vous n'avez pas la force de chanter, vous soupirerez : c'est la langue la plus familière aux amants.  Allons, qu'on approche le clavecin.  Mezzetin, prenez bien garde que mon père ne vienne. "")",1.0,Deletion
54,,"('#isabelle', ""Tu me mets là, cousine, à une rude épreuve. Octave chante ; Isabelle l'accompagne. "")",1.0,Deletion
55,,"('#trafiquet', ""Holà, quelqu'un, Pierrot, Pierrot !"")",1.0,Deletion
56,,"('#pierrot', ""Me voilà, me voilà, monsieur.  Vous criez plus fort qu'un fiacre mal graissé."")",1.0,Deletion
57,,"('#trafiquet', ""Avec qui diable es-tu donc ?  Il faut toujours t'appeler vingt fois. "")",1.0,Deletion
58,"('#la-petite-fille', 'Oh !  Je prétends bien y briller comme une autre quand je serai grande.')","('#pierrot', ""Je suis avec l'amour. "")",1.3,Substitution
59,,"('#trafiquet', 'Oh, oh !  Voilà du nouveau.  Tu es donc amoureux ? ')",1.0,Deletion
60,,"('#pierrot', ""Je ne dors ni ne veille ; je sens toujours là un tintamarre, comme s'il y avait un régiment de lutins. "")",1.0,Deletion
61,,"('#trafiquet', ""Il faut entendre patience. Mais que vois-je ?  C'est Octave !  Hé !  Que faites-vous donc ici, s'il vous plaît ?  Ne vous avais-je pas prié de n'y plus venir ? Apercevant Octave. Octave et Mezzetin font une révérence. "")",1.0,Deletion
62,,"('#pierrot', ""Puisque monsieur vous l'a défendu, pourquoi y revenez-vous ? "")",1.0,Deletion
63,"('#apollon', 'Mais quelle raison votre mère a-t-elle pour ne pas vous mener aux Italiens ?')","('#trafiquet', 'Est-ce que vous prétendez, mon petit monsieur, épouser ma fille malgré moi ?  Octave et Mezzetin font une autre révérence.')",1.44,Substitution
64,,"('#pierrot', ""Monsieur, n'allez pas souffrir cela ; on vous prendrait pour un insensé. "")",1.0,Deletion
65,,"('#trafiquet', ""Mais, monsieur, encore une fois, je n'ai que faire de vos révérences : répondez à ce que je vous demande. Octave et Mezzetin sortent, après avoir fait encore une révérence. "")",1.0,Deletion
66,,"('#trafiquet', ""Vous ferez bien, messieurs de la révérence, de ne regarder ma porte qu'avec une lunette ; je vous saluerais d'une manière...  Quelle plaisante conversation !  Toujours des révérences ! "")",1.0,Deletion
67,,"('#pierrot', ""Va, va, tu n'as qu'à y revenir ; je te ferai danser un branle de sortie sans violons."")",1.0,Deletion
68,"('#la-petite-fille', ""Elle dit qu'il y a quelquefois des paroles un peu libres ; mais ce qui me fait endêver, c'est qu'elle ne laisse pas d'y aller tous les jours."")","('#trafiquet', ""Et vous, mademoiselle l'impertinente, ne vous ai-je pas défendu de le voir ?  Savez-vous que quand je commande, je veux être obéi ?  Colombine et Isabelle font une révérence. "")",1.3,Substitution
69,,"('#pierrot', 'Elles ont appris à danser du même maître. ')",1.0,Deletion
70,,"('#trafiquet', ""Ne t'ai-je pas dit que je ne voulais pas que tu songeasses davantage à cet homme-là pour être ton époux ? Colombine et Isabelle font encore une révérence."")",1.0,Deletion
71,,"('#pierrot', ""Fi !  Ce n'est pas là votre fait. "")",1.0,Deletion
72,"('#thalie', ""Il y a tout plein de mères de ce naturel-là ; ce sont des affamées qui n'en veulent que pour elles."")","('#trafiquet', ""Écoutez, ne m'échauffez pas les oreilles ; il y a des maisons à Paris où l'on réduit les filles désobéissantes.  Merci de ma vie !  Colombine et Isabelle sortent en faisant une grande révérence. "")",1.33,Substitution
73,"('#apollon', ""Je ne sais pas quels peuvent être ces mots libertins qui effarouchent tant la maman.  Pour moi, je n'y vois que des mots tout pleins de sel, qui, à la vérité, sont quelquefois à double entente ; mais les plus belles pensées du monde ont deux faces : tant pis pour ceux qui ne les prennent que du mauvais côté ; c'est une vraie marque de leur esprit corrompu et vicieux.  Mais ne vous a-t-elle pas dit quelques uns de ces vilains mots-là ?"")","('#pierrot', 'Ma foi, monsieur, il faut dire la vérité ; voilà des filles bien civiles. ')",1.61,Substitution
74,"('#la-petite-fille', ""Oh, dame !  Elle ne les dit devant moi qu'à bâtons rompus : elle dit seulement que les Italiens sont des drôles qui nomment toutes les choses par leurs noms.  Par exemple, elle dit qu'ils appellent un homme marié... d'un certain mot que je n'oserais dire."")","('#trafiquet', ""Mais que veulent donc dire toutes ces cérémonies-là ?  Voilà une nouvelle manière de répondre.  Allons, allons, il faut faire cesser tout ce manége-là.  J'attends aujourd'hui un gendre qui me vient du Bas-Maine ; je veux envoyer savoir s'il est venu.  Pierrot !  Ah, monsieur le maraud !  Je crois que vous voulez rire aussi.  Si je prends un bâton...  Quoi !  Tu t'en mêles aussi ?  Pierrot fait une révérence en fille.  Pierrot fait une autre révérence. "")",0.79,Substitution
75,,"('#pierrot', ""Mais, monsieur, est-ce que vous voulez m'empêcher d'être civil ?  Qu'est-ce que vous me voulez ? "")",1.0,Deletion
76,"('#thalie', 'Cocu, peut-être ?')","('#trafiquet', 'Je veux que tu passes chez monsieur Fesse-Mathieu, pour le prier de venir ici ; et que tu ailles de là dans la rue de la Huchette, savoir si le messager du Mans est arrivé. ')",1.48,Substitution
77,,"('#pierrot', 'Bon, bon, bon, monsieur.  Vous attendez donc quelque panier de volaille ? ')",1.0,Deletion
78,,"('#trafiquet', ""J'attends le bailli de Laval, qui vient pour être mon gendre. "")",1.0,Deletion
79,,"('#pierrot', 'Quoi !  Tout de bon ?  Un homme du Maine pour être le mari de votre fille ? ')",1.0,Deletion
80,"('#la-petite-fille', ""Vous l'avez dit."")","('#trafiquet', 'Assurément. ')",0.58,Substitution
81,,"('#pierrot', ""Fi !  Monsieur, n'en faites rien ; il ne vient que des chapons de ce pays-là. Scènes italiennes. "")",1.0,Deletion
82,"('#apollon', 'Et votre mère se scandalise de ce mot-là ?')","('#colombine', ""Une bougie ?  Est-ce que tu n'entends pas que je demande une bougie pour cacheter une lettre ?"")",1.92,Substitution
83,"('#la-petite-fille', ""Assurément.  Oh, dame !  C'est qu'elle dit que c'est une injure qui regarde autant mon papa que les autres."")","('#pierrot', ""Pardonnez-moi... mais... c'est que... en vérité... mademoiselle ; je m'en vais... "")",1.36,Substitution
84,"('#thalie', ""C'est que votre mère ne sait pas sa langue.  Dans le nouveau dictionnaire, imprimé à Paris, ces mots-là sont synonymes, cocu marié, marié cocu, cela s'appelle jus vert, vert jus."")",,1.0,Insertion
85,"('#la-petite-fille', ""Pour moi je n'entends point de mal là-dessous ; mais quoi qu'il en soit, je vous prie, monsieur Apollon, vous qui êtes le maître des comédiens, de leur dire qu'ils ne mettent plus de ces vilains mots-là, afin que les filles y puissent aller, et que ma mère n'ait plus de prétexte de me laisser au logis, tandis qu'elle va à la Comédie.  Écoutez, c'est l'intérêt des comédiens que nous allions à leurs pièces : ce sont de jolies filles comme moi qui font venir les garçons à la Comédie."")","('#colombine', ""Pour moi, je ne sais plus quelle maladie a attaqué le cerveau de cet animal-là : il ne voit plus, il n'entend plus ; il a assurément quelque chose de brouillé dans son timbre. Tu veux donc que je cachette une lettre avec un manchon ?  Je te demande une bougie, m'entends-tu ? Je crois qu'il me fera perdre l'esprit.  Oh, oh !  Voilà une nouvelle folie que je ne lui connaissais pas encore.  Depuis quand as-tu perdu la parole ?  Parle, réponds ; dis donc à qui tu en as. Pierrot apporte un manchon.  Pierrot fait encore des mines. "")",0.64,Substitution
86,"('#thalie', ""Oh !  Pour cela, mademoiselle a raison : une femelle dans une loge attire les mâles de bien loin ; c'est l'appât dans la souricière."")","('#pierrot', ""Je n'oserais ; je sens là un tourbillon, un étouffement de la nature... heurtant contre l'amour.  Tenez, voilà une lettre qui vous dira tout cela. "")",1.15,Substitution
87,"('#apollon', ""Je vous assure, la belle, que désormais les mères seront contentes, et que je vais de ce pas vous mener avec moi chez les Italiens, où j'assemblerai les comédiens, et je leur ordonnerai de rayer de leurs comédies tous les mots trop éveillés, et notamment tous les cocus qu'il y aura."")","('#colombine', ""Que signifie donc cette cérémonie-ci ?  Je trouve cela assez plaisant.  Voyons donc ce que dit cette lettre. Comme il n'y a point d'animal dans le monde qui n'aime quelque autre animal, c'est ce qui fait que je vous aime.  Autre chose ne peut vous dire votre très humble serviteur et fidèle amant, Pierrot. Mon très humble serviteur et fidèle amant, Pierrot.  Ah, ah !  Voilà donc où le bât vous blesse, monsieur l'amoureux !  En vérité, je suis ravie d'avoir fait une pareille conquête.  Elle lit. "")",0.93,Substitution
88,"('#thalie', ""Ne vous avisez pas de cela, monsieur.  Si les comédiens rayaient de leurs comédies tous les cocus, ils balafreraient peut-être le père de mademoiselle, et pour lors ils auraient sur le dos deux personnes au lieu d'une."")","('#pierrot', ""Hé !  Mademoiselle, je sais bien que mon mérite n'est pas capable de mériter ;... mais, d'un autre côté,... voilà que l'occasion,... votre beauté... Je ne suis pas bien riche ; mais, ma foi, je suis un bon garçon. "")",0.99,Substitution
89,"('#la-petite-fille', ""Ah !  Que vous me faites de plaisir !  L'hôtel de Bourgogne va regorger de monde ; et je vais annoncer ce changement-là à ma mère, et à toutes les femmes et filles du quartier."")","('#colombine', ""J'entends cela le mieux du monde ; mais je vous prie, monsieur Pierrot, d'étouffer un peu vos hoquets de tendresse, et d'aller porter cette lettre à monsieur de la Maltotière."")",1.27,Substitution
90,,"('#pierrot', 'Ah !  Petit cocodrille !  Ouf ! ')",1.0,Deletion
91,"('#thalie', 'Donnez-vous-en bien de garde.  Pour une femme qui aime la réforme, il y en a mille qui ne la sauraient souffrir ; et au lieu de faire venir du monde, vous désachalanderiez le théâtre.')","('#colombine', ""La conquête de Pierrot n'est pas bien illustre : je sens néanmoins une secrète joie de voir que rien ne m'échappe.  Quelque sévérité qu'affectent les femmes, elles ne sont jamais fâchées de s'entendre dire qu'on les aime. "")",0.89,Substitution
92,,"('#le-laquais', 'Mademoiselle, voilà monsieur le conseiller Nigaudin. ')",1.0,Deletion
93,"('#l-auteur', ""Non, monsieur, vous ne jouerez pas ma pièce aujourd'hui, et je vais vous le faire défendre par la Muse de la comédie."")","('#colombine', ""En vérité, monsieur Nigaudin, j'ai lieu de louer votre diligence : nous ne devons partir pour la Comédie que dans deux heures, et je suis ravie de pouvoir pendant ce temps-là profiter de votre conversation."")",1.09,Substitution
94,"('#le-comedien', ""Il n'y a Muse qui tienne : la dépense est faite, l'argent reçu à la porte ; il faut sauter le bâton."")","('#nigaudin', ""Mademoiselle, quand il s'agira de venir vous offrir ses hommages, on n'obtiendra point de défaut contre moi : en cas de rendez-vous auprès des dames, je ne me laisse jamais contumacer, et je me rends bien vite à l'ajournement personnel. "")",0.94,Substitution
95,,"('#colombine', ""Ah, monsieur !  Que vous dites les choses galamment !  Vous avez un tour aisé et naturel dans les expressions, que les autres n'ont point ; et il semble toujours que vous demandiez le coeur, quelque indifférente chose que vous puissiez dire. "")",1.0,Deletion
96,"('#l-auteur', ""Ah !  Mademoiselle Tlialie, miséricorde !  Ils veulent représenter aujourd'hui ma comédie malgré moi, et j'ai vu entrer plus de cent personnes dans le parterre qui la trouvent déjà mauvaise."")","('#nigaudin', ""Moi, mademoiselle ! Je ne vous demande rien ; vous me prenez donc pour un escroc ?  Il est vrai que nous autres gens de robe, la plupart, nous avons la belle élocution à commandement.  Tout franc, mademoiselle, les gens d'épée n'ont point le boute-dehors comme nous. "")",0.78,Substitution
97,"('#thalie', 'Cent personnes !  Pourvu que le reste la trouve bonne, les rieurs seront encore de votre côté.')","('#colombine', ""Fi !  Ne me parlez point des gens d'épée ; ils n'auraient jamais rien à vous dire, s'ils ne vous étourdissaient de leurs bonnes fortunes, et s'ils ne vous faisaient le calcul du nombre des bouteilles qu'ils ont vidées.  Pour moi, je ne conçois pas bien la manie de la plupart des femmes d'aujourd'hui ; on ne saurait leur plaire, si l'on ne revient de Flandre ou d'Allemagne, et si l'on ne rapporte à leurs pieds un coeur tout persillé de poudre à canon. "")",1.54,Substitution
98,"('#l-auteur', 'Je ne demande que huitaine pour tout délai.')","('#nigaudin', ""Ma foi, il y a bien de l'entêtement ; car, entre nous, il n'y a point de gens qui tiennent une procédure si irrégulière auprès des dames que les gens de guerre : ils sont brusques et entreprenants sur le fait des faveurs, et n'observent jamais les délais fixés par l'ordonnance de l'amour. "")",1.05,Substitution
99,,"('#colombine', ""Il est vrai qu'on n'est point en sûreté contre leurs entreprises ; et quand ils sont chez les dames, ils s'imaginent être dans un quartier d'hiver à vivre à discrétion. "")",1.0,Deletion
100,"('#thalie', 'Mais dans huit jours, croyez-vous en être quitte à meilleur marché ?')","('#nigaudin', ""À propos de quartier d'hiver, mademoiselle, il me semble qu'ils sont venus cette année quinze jours plus tôt pour moi. "")",1.58,Substitution
101,,"('#colombine', 'Pourquoi donc, monsieur ? ')",1.0,Deletion
102,"('#l-auteur', ""Assurément : j'attends des amis de la campagne, qui m'ont promis de rire, même aux plus faibles endroits."")","('#nigaudin', ""J'avais hypothèque spéciale sur votre coeur, sans ce visage d'épetier qui est arrivé, et qui se prétend privilégié sur la chose : mais, ventrebleu !  Nous verrons. "")",0.89,Substitution
