diderot-est-il-bon-est-il-mechant,diderot-piece-prologue,Score
"('#madame-de-vertillac', ""Qui le leur dispute ?  Je commence à vieillir et je me flattais de passer le reste de mes jours, avec des gens aimables ; et me voilà condamnée à entendre un vieux grand-père, radoter des sièges et des batailles ; une belle-mère m'excéder de la litanie des grandes passions qu'elle a inspirées, sans en avoir jamais partagé aucune, cela va sans dire ; et du matin au soir deux fanatiques bigotes de soeurs se haïr, s'injurier, s'arracher les yeux sur des questions de religion auxquelles elles ne comprennent pas plus que leurs chiens.  Et puis un grand benêt de magistrat, plein de morgue, idolâtre de sa figure, qui vous raconte, en tirant son jabot et ses manchettes, et en grasseyant, des histoires de la ville ou du palais qui m'intéresseront encore moins que lui ; et vous me croyez femme à supporter le ton familier et goguenard de son frère le militaire.  Point d'assemblée ; point de bal ; je gage qu'on n'use pas là deux sizains de cartes dans toute une année.  Tenez, mon amie ; la seule pensée de cette vie et de ces personnages me fait soulever le coeur."")",-,0.0
"('#madame-de-chepy', ""Mais il s'agit du bonheur de votre fille."")",-,0.0
"('#madame-de-vertillac', 'Et du mien aussi, ne vous déplaise.')",-,0.0
"('#madame-de-chepy', 'Et vous avez pensé que votre fille perdrait ici sa passion.')",-,0.0
"('#madame-de-vertillac', ""Je m'attends bien qu'ils s'écriront, qu'ils se jureront une constance éternelle, et que ces belles protestations iront et reviendront par la poste un mois, deux mois, mettons un an : mais l'amour ne tient pas contre l'absence.  Un peu plutôt, un peu plus tard ; il se présentera un homme aimable qu'on rebutera d'abord ; qui me conviendra, et qui finira par lui convenir."")",-,0.0
"('#madame-de-chepy', 'Et par faire son malheur.')",-,0.0
"('#madame-de-vertillac', ""Malheureuse par l'un ou par l'autre, qu'importe."")",-,0.0
"('#madame-de-chepy', 'Il importe beaucoup que ce soit de sa faute et non de la vôtre.')",-,0.0
"('#madame-de-vertillac', ""Mais laissons cela ; nous aurons le temps de traiter cette affaire plus à fond.  Je vous supplie seulement de ne pas achever d'entêter ma fille ; je vous connais ; vous en seriez bien capable.  Et mon petit Hardouin, dites-moi ; le voyez-vous."")",-,0.0
"('#madame-de-chepy', 'Rarement.')",-,0.0
"('#madame-de-vertillac', ""Qu'en faites-vous ?"")",-,0.0
"('#madame-de-chepy', ""Rien qui vaille.  Il court le monde.  Il pourchasse trois ou quatre femmes à la fois.  Il fait des soupers.  Il joue.  Il s'endette ; il fréquente chez les grands, et perd son tems et son talent peut-être un peu plus agréablement que la pluspart des gens de lettres."")",-,0.0
"('#madame-de-vertillac', 'Où loge-t-il ?')",-,0.0
"('#madame-de-chepy', 'Est-ce que vous vous y intéresseriez encore ?')",-,0.0
"('#madame-de-vertillac', ""J'en ai peur.  Je comptais lui trouver, sinon une réputation faite, du moins en bon train."")",-,0.0
"('#madame-de-chepy', 'Si vous désirez le voir, il sera ici dans un moment, et je crois, pour toute la journée.')",-,0.0
"('#madame-de-vertillac', ""Tant mieux.  J'ai à lui parler d'une affaire qui me tient fort à coeur.  Ne connaît-il pas ce marquis...  Ce grand flandrin de marquis, à qui il ne manquait qu'un ridicule, celui de la bigoterie, et qui va le dos courbé, la tête penchée comme un homme qui médite les années éternelles, avec un énorme bréviaire sous le bras ?..."")",-,0.0
"('#madame-de-chepy', 'Le Marquis de Tourvelle ?')",-,0.0
"('#madame-de-vertillac', 'Lui-même.')",-,0.0
"('#madame-de-chepy', ""Je l'ignore. Ici Mademoiselle Beaulieu entre avec le laquais."")",-,0.0
"('#madame-de-vertillac', ""Je vais prendre un peu de repos dont j'ai grand besoin ; m'habiller et revenir.  Vous me donnerez votre marchande de mode, et votre coiffeur, n'est-ce pas ?  Vous voilà fraîche comme la rose, et je compte bien qu'un de ces matins vous me confierez le secret de se bien porter et de ne point vieillir.  Au plaisir de vous revoir...  Mais ne m'avez-vous pas dit que je pouvais vous être utile ?  À quoi."")",-,0.0
"('#madame-de-vertillac', 'Vous le saurez.  Ne tardez pas de revenir.')",-,0.0
"('#madame-de-chepy', 'Elle est un peu folle ; et elle en fait les rôles à ravir.  Et vous, dans quelle pièce avez-vous joué.')",-,0.0
"('#mademoiselle-beaulieu', 'Dans le Bourgeois Gentilhomme, la Pupille, le Philosophe sans le savoir, Cénie, le Philosophe marié.')",-,0.0
"('#madame-de-chepy', 'Et dans celle-ci, que faisiez-vous.')",-,0.0
"('#mademoiselle-beaulieu', 'Finette.')",-,0.0
"('#madame-de-chepy', ""Vous rappelleriez-vous un endroit...  Un certain endroit où Finette fait l'apologie des femmes."")",-,0.0
-,"('#madame-de-chepy', ""Picard, écoutez-moi. Je vous défends d'ici à huit jours d'aller chez votre femme ; entendez-vous ?"")",0.0
-,"('#picard', ""Huit jours !  C'est bien long."")",0.0
-,"('#madame-de-chepy', ""En effet, c'est fort pressé d'aller faire un gueux de plus ; comme si l'on en manquait."")",0.0
-,"('#picard', ""Si l'on nous ôte la douceur de caresser nos femmes, qu'est-ce qui nous consolera de la dureté de nos maîtres ?\n"")",0.0
-,"('#madame-de-chepy', ""Et vous, Flamand, retenez bien ce que je vais vous dire...  Mademoiselle, la Saint-Jean n'est-elle pas dans huit jours ?"")",0.0
-,"('#mademoiselle-beaulieu', ""Non, Madame, c'est dans quatre."")",0.0
-,"('#madame-de-chepy', ""Miséricorde !  Je n'ai pas un moment à perdre...  Si d'ici à quatre jours (le terme est court), je découvre que vous ayez mis le pied au cabaret, je vous chasse.  Il faut que je vous aie tous sous ma main, et que je ne vous trouve pas hors d'état de faire un pas et de dire un mot.  Songez qu'il n'en serait pas cette fois comme de vendredi dernier.  L'opéra fini, nous descendons, Madame de Blalves et moi ; nous voilà sous le vestibule : on appelle, on crie; personne ne vient.  L'un est je ne sais où ; l'autre est mort-ivre ; et, sans un galant homme qui nous prit en pitié, je ne sais ce que nous serions devenues."")",0.0
-,"('#picard', 'Madame, est-ce là tout ?')",0.0
-,"('#madame-de-chepy', ""Vous, Picard, allez chez le tapissier, le décorateur, les musiciens ; soyez de retour en un clin d'oeil ; et, s'il se peut, amenez-moi tous ces gens-là.  Vous, Flamand...  Quelle heure est-il ?"")",0.0
-,"('#flamand', 'Il est midi.')",0.0
-,"('#madame-de-chepy', 'Midi !  Il ne sera pas encore levé.  Courez chez lui...  Allez donc...')",0.0
-,"('#flamand', 'Qui, lui ?')",0.0
-,"('#madame-de-chepy', ""Oh !  Que cela est bête !...  Monsieur Hardouin.  Dites-lui qu'il vienne, qu'il vienne sur-le-champ, que je l'attends, et que c'est pour chose importante."")",0.0
-,"('#madame-de-chepy', 'Beaulieu, par hasard, sauriez-vous lire ?')",0.0
-,"('#mademoiselle-beaulieu', 'Oui, madame.')",0.0
-,"('#madame-de-chepy', ""N'avez-vous jamais joué la comédie ?"")",0.0
-,"('#mademoiselle-beaulieu', ""Plusieurs fois.  C'est la folie de ma province."")",0.0
-,"('#madame-de-chepy', 'Vous déclameriez donc un peu ?')",0.0
-,"('#mademoiselle-beaulieu', 'Un peu.')",0.0
-,"('#madame-de-chepy', 'Dans quelle pièce avez-vous joué ?')",0.0
-,"('#mademoiselle-beaulieu', 'Dans le Bourgeois gentilhomme, la Pupille, Cénie, le Philosophe marié.')",0.0
-,"('#madame-de-chepy', 'Et que faisiez-vous dans celle-ci ?')",0.0
-,"('#mademoiselle-beaulieu', 'Finette.')",0.0
-,"('#madame-de-chepy', ""Vous rappelleriez-vous l'endroit... là, un endroit où Finette..."")",0.0
-,"('#mademoiselle-beaulieu', ""Fait l'apologie des femmes ?"")",0.0
-,"('#madame-de-chepy', 'Précisément.')",0.0
"('#mademoiselle-beaulieu', 'Je le crois.')","('#mademoiselle-beaulieu', 'Je le crois.')",0.9999999403953552
"('#madame-de-chepy', 'Récitez-le.')","('#madame-de-chepy', 'Dites-le.')",0.5343821048736572
"('#mademoiselle-beaulieu', ""Soit, mais telles que nous sommes, Avec tous nos défauts, nous gouvernons les hommes, Même les plus huppés ; et nous sommes l'écueil Où viennent échouer la sagesse et l'orgueil. Vous ne nous opposez que d'impuissantes armes. Vous avez la raison, et nous avons les charmes. Le brusque philosophe, en ses sombres humeurs, Vainement contre nous élève ses clameurs ; Ni son air renfrogné, ni ses cris, ni ses rides, Ne peuvent le sauver de nos yeux homicides. Comptant sur sa science et ses réflexions Il se croit à l'abri de nos séductions ; Une belle paraît, lui sourit et l'agace ? Crac.  Au premier assaut, elle emporte la place."")","('#mademoiselle-beaulieu', ""Soit. Mais, telles que nous sommes, Avec tous nos défauts nous gouvernons les hommes, Même les plus huppés, et nous sommes l'écueil Où viennent échouer la sagesse et l'orgueil. Vous ne nous opposez que d'impuissantes armes ; Vous avez la raison, et nous avons les charmes. Le brusque philosophe, en ses sombres humeurs, Vainement contre nous élève ses clameurs; Ni son air renfrogné, ni ses cris, ni ses rides, Ne peuvent le sauver de nos yeux homicides. Comptant sur sa science et ses réflexions, Il se croit à l'abri de nos séductions : Une belle paraît, lui sourit et l'agace ; Crac... au premier assaut, elle emporte la place."")",0.9966973066329956
"('#madame-de-chepy', 'Mais pas mal.  Point du tout mal.')","('#madame-de-chepy', 'Mais pas mal ; point du tout mal.')",0.9650282263755798
"('#mademoiselle-beaulieu', 'Est-ce que madame se proposerait de faire jouer une pièce ?')","('#mademoiselle-beaulieu', 'Est-ce que madame se proposerait de faire jouer une pièce ?')",1.0000001192092896
"('#madame-de-chepy', 'Tout juste.')","('#madame-de-chepy', 'Tout juste.')",0.9999999403953552
"('#mademoiselle-beaulieu', 'Oserais-je lui en demander le titre ?')","('#mademoiselle-beaulieu', 'Oserai-je, Madame, vous en demander le titre ?')",0.8803178668022156
"('#madame-de-chepy', ""Le titre ?  Je ne le sais pas.  Elle n'est pas faite."")","('#madame-de-chepy', ""Le titre !  Je ne le sais pas.  Elle n'est pas faite."")",0.9488323926925659
"('#mademoiselle-beaulieu', 'On la fait apparemment.')","('#mademoiselle-beaulieu', 'On la fait apparemment.')",1.000000238418579
"('#madame-de-chepy', 'Non, je cherche un auteur.')","('#madame-de-chepy', 'Non.  Je cherche un auteur.')",0.9874681234359741
"('#mademoiselle-beaulieu', ""Madame ne sera embarrassée que du choix ; elle en a cinq ou six autour d'elle."")","('#mademoiselle-beaulieu', ""Madame ne sera embarrassée que du choix ; elle en a cinq ou six autour d'elle."")",1.0
"('#madame-de-chepy', ""Si vous saviez combien ces animaux-là sont quinteux !  Chacun d'eux aura sa défaite."")","('#madame-de-chepy', ""Si vous saviez combien ces animaux-là sont quinteux.  Chacun d'eux aura sa défaite."")",0.9869351983070374
"('#mademoiselle-beaulieu', ""Mais j'avais ouï dire que c'était une chose difficile à faire qu'une pièce."")","('#mademoiselle-beaulieu', ""Mais j'avais ouï dire que c'était une chose difficile à faire qu'une pièce."")",1.0
"('#madame-de-chepy', 'Oui ; comme on les faisait autrefois.')","('#madame-de-chepy', 'Oui, comme on les faisait autrefois.')",0.963627815246582
"('#madame-de-chepy', ""Et vous revenez, sans m'amener personne ?"")","('#madame-de-chepy', ""Et vous revenez sans m'amener personne ?"")",0.9867982268333435
"('#picard', 'Ahi !  Ahi !')","('#picard', 'Ahi !  Ahi !')",1.0
"('#madame-de-chepy', ""Ahi !  Ahi !  il s'agit bien de cela.  Mes ouvriers ?"")","('#madame-de-chepy', ""Ahi !  Ahi !  Il s'agit bien de cela.  Mes ouvriers ?"")",0.9947611689567566
"('#picard', ""Je ne les ai pas vus.  Il y a quatre marches à la porte de ce maudit tapissier.  J'ai voulu les enjamber toutes quatre à la fois ; le pied m'a tourné ; je me suis donné une bonne entorse.  Ahi !  Ahi !"")","('#picard', ""Je ne les ai pas vus.  Il y a quatre marches à la porte du tapissier ; j'ai voulu les enjamber toutes quatre à la fois ; le pied m'a tourné et je me suis donné une bonne entorse.  Ahi ! ahi !"")",0.9670447111129761
"('#madame-de-chepy', ""Peste soit du sot, et de son entorse.  Qu'on fasse venir Valdejou, et qu'il voie à cela."")","('#madame-de-chepy', ""Peste soit du sot et de son entorse.  Qu'on fasse venir Valdajou, et qu'il voie à cela."")",0.9765678644180298
"('#madame-de-chepy', ""Ces contrariétés-là ne sont faites que pour moi.  Au lieu de se donner une entorse aujourd'hui, que ne se cassait-il la jambe dans quatre jours !  Cela prend toujours mal son temps."")","('#madame-de-chepy', ""Ces contrariétés-là ne sont faites que pour moi.  Au lieu de se donner une entorse aujourd'hui, que ne se cassait-il la jambe dans quatre jours !"")",0.9631145000457764
"('#mademoiselle-beaulieu', ""Mais puisque Madame n'a point de pièce et qu'elle ne sait pas même, si elle en aura une, il me semble..."")","('#mademoiselle-beaulieu', ""Mais puisque Madame n'a point de pièce, et qu'elle ne sait pas même si elle en aura une, il me semble."")",0.9763698577880859
"('#madame-de-chepy', ""Il vous semble !  Il vous semble !  Il me semble à moi qu'il faudrait se taire.  Je n'aime pas qu'on me raisonne.  Je sais toujours ce que je fais."")","('#madame-de-chepy', ""Il vous semble !  Il me semble qu'il faudrait se taire ; je n'aime pas qu'on me raisonne.  Je sais toujours ce que je fais."")",0.9564754962921143
"('#mademoiselle-beaulieu', 'Et ce que vous dites.')","('#mademoiselle-beaulieu', 'Et ce que vous dites.')",1.0
"('#flamand', ""Madame, je viens...  C'est, je crois, de chez Monsieur Hardouin...  Oui, Hardouin...  Là, au coin de la rue...  Au coin de la rue qu'elle m'a dite...  Il demeure diablement haut ; et son escalier était diablement difficile à grimper...  un petit escalier étroit.  À chaque marche on touche à la muraille ou la rampe...  J'ai cru que je n'arriverais jamais...  J'arrive pourtant...  « Parlez donc, mademoiselle ; cette porte n'est-ce pas celle de Monsieur, de Monsieur ?...  Qui, Monsieur », me répond une petite voisine... jolie, pardieu, très jolie ; « un monsieur qui fait des vers ?...  Oui, des vers...  Frappez, mais frappez fort, il est rentré tard, et je crois qu'il dort. » En se dandinant comme un homme ivre."")","('#flamand', ""Madame, je viens...  C'est, je crois, de chez Monsieur Hardouin...  Oui, Monsieur Hardouin...  Là, au coin de la rue... de la rue qu'elle m'a dite...  Il demeure diablement haut, et son escalier était diablement difficile à grimper...  Un petit escalier étroit. À chaque marche on touche la muraille et la rampe...  J'ai cru que je n'arriverais jamais...  J'arrive pourtant...  Parlez donc, mademoiselle, cette porte, n'est-elle pas celle de monsieur ?  Qui, monsieur ? me répond une petite voisine... Jolie, pardieu, très jolie !  Un monsieur qui fait des bouteilles...  Des vers, vous voulez dire ?...  Des vers, des bouteilles, qu'importe...  Oui, c'est là : frappez ; mais frappez fort.  Il est rentré tard, et je crois qu'il dort. En se dandinant comme un homme ivre."")",0.9857615232467651
"('#madame-de-chepy', 'Maudite brute, archibrute, finiras-tu ton bavardage.  Viendra-t-il ?  Ne viendra-t-il pas.')","('#madame-de-chepy', 'Maudite brute, archibrute, finiras-tu ton bavardage ?  Viendra-t-il ?  Ne viendra-t-il pas ?')",0.959324300289154
"('#flamand', ""Mais, madame, il n'est pas encore éveillé.  Il faut d'abord que je l'éveille...  Je me dispose à donner un grand coup de pied dans sa porte...  et voilà la tête qui part la première ; la porte jetée en dedans ; moi, Flamand, étendu à la renverse ; le faiseur de vers s'élançant de son lit, en chemise, écumant de rage, sacrant, jurant et jurant avec une grâce !  Au demeurant bon homme, il me relève...  Mon ami, ne t'es-tu point blessé.  Voyons ta tête."")","('#flamand', ""Mais, madame, il n'est pas encore éveillé ; il faut d'abord que je l'éveille.  Je me dispose à donner un grand coup de pied... et voilà la tête qui part la première, et la porte jetée en dedans, et moi étendu à la renverse...  Et voilà le faiseur de bouteilles ou de vers qui s'élance de son lit, en chemise, écumant de rage, sacrant, jurant... avec une grâce !  Au demeurant, bon homme, il me relève...  Mon ami, ne t'es-tu point blessé ?...  Voyons ta tête."")",0.9667120575904846
"('#madame-de-chepy', ""Finis, finis, finis.  Que t'a-t-il dit ?  Que lui as-tu dit ?"")","('#madame-de-chepy', ""Finis, finis, finis.  Que t'a-t-il dit ?  Que lui as-tu dit ?"")",1.0
"('#flamand', ""Est-ce que madame ne pourrait pas faire ses questions l'une après l'autre.  Tant de questions à la fois, cela me brouille."")","('#flamand', ""Est-ce que madame ne pourrait pas faire ses questions l'une après l'autre ?...  Je lui ai dit que madame... Madame... comme vous vous appelez... là, votre nom."")",0.7991414070129395
"('#madame-de-chepy', ""Je n'y tiens plus."")","('#flamand', ""Est-ce que madame ne pourrait pas faire ses questions l'une après l'autre ?...  Je lui ai dit que madame... Madame... comme vous vous appelez... là, votre nom."")",1.0
"('#flamand', 'Je lui ai dit que Madame...  Madame...  Comme vous vous appelez...  Là, votre nom...')","('#flamand', ""Est-ce que madame ne pourrait pas faire ses questions l'une après l'autre ?...  Je lui ai dit que madame... Madame... comme vous vous appelez... là, votre nom."")",1.0
"('#madame-de-chepy', 'Sortez, vilain ivrogne.')","('#madame-de-chepy', 'Sortez, vilain ivrogne.')",0.9999998807907104
"('#flamand', ""Moi, Flamand, un ivrogne !...  Parce que je rencontre mon compère, celui qui a tenu le dernier enfant de ma femme...  Oui, de ma femme...  Il est bien d'elle...  Et puis voilà un autre compère, le compère La Haye...  Comment résister à deux compères ?  À deux compères."")","('#flamand', ""Moi, Flamand, un ivrogne !...  Parce que je rencontre mon compère, celui qui a tenu le dernier enfant de ma femme...  Oui, de ma femme...  Il est bien d'elle...  Et puis voilà un autre compère, le compère Lahaye...  Comment résister à deux compères ?"")",0.960002064704895
"('#madame-de-chepy', 'Je les chasserai tous.  Cela est décidé.')","('#madame-de-chepy', 'Je les chasserai tous, cela est décidé.')",0.9897769689559937
"('#flamand', ""Si madame est si difficile ; elle n'en gardera point."")","('#flamand', ""Si madame est si difficile, elle n'en gardera point."")",0.9870264530181885
"('#madame-de-chepy', ""L'un s'éclope ; l'autre s'enivre et se fend la tête.  Qu'on est à plaindre de ne pouvoir s'en passer !"")","('#madame-de-chepy', ""L'un s'éclope, l'autre s'enivre et se fend la tête.  Qu'on est malheureux de ne pouvoir s'en passer !"")",0.9619014859199524
"('#flamand', ""Hé, madame, le voilà...  Je le reconnais : c'est lui ; Monsieur...  Monsieur le faiseur de vers, n'est-ce pas ?...  C'est, ma foi, bien heureux."")","('#flamand', ""Hé !  Madame, le voilà... je le reconnais... c'est lui... c'est, ma foi, bienheureux."")",0.6466395854949951
"('#madame-de-chepy', ""Mademoiselle, si vous n'avez pas la charité de lui donner le bras, il ne sortira jamais d'ici."")","('#madame-de-chepy', ""Mademoiselle, si vous n'avez pas la bonté de lui donner le bras, il ne sortira jamais d'ici."")",0.9439178705215454
"('#monsieur-hardouin', 'Si ma porte eût résisté, il était mort.')","('#monsieur-hardouin', ""Si ma porte n'avait pas cédé il était mort."")",0.745140552520752
"('#flamand', 'Allons, mademoiselle, obéissez à votre maîtresse.  Donnez-moi le bras...  Comme il est rond !...  Comme il est ferme !...')","('#flamand', 'Allons, mademoiselle, obéissez à votre maîtresse.  Donnez-moi le bras.  Comme il est rond !  Comme il est ferme !...')",0.993310809135437
"('#monsieur-hardouin', 'Il a la tête dure et le coeur tendre.')","('#monsieur-hardouin', 'Il a la tête dure et le coeur tendre.')",1.0
"('#flamand', 'Madame, puisque mademoiselle fait tout ce que vous lui dites...')","('#flamand', 'Madame, puisque mademoiselle fait tout ce que vous lui dites...')",0.9999999403953552
"('#madame-de-chepy', 'Tirez, tirez, insolent.')","('#madame-de-chepy', 'Tirez, tirez, insolent.')",0.9999999403953552
"('#monsieur-hardouin', 'Est-ce de votre part que ce laquais est venu ?')","('#monsieur-hardouin', 'Est-ce de votre part que ce laquais est venu ?')",0.9999998211860657
"('#madame-de-chepy', 'Oui.')","('#madame-de-chepy', 'Oui.')",0.9999998211860657
"('#monsieur-hardouin', ""Si je l'ai deviné, ce n'est pas de sa faute ; car il ne savait à qui il était ; d'où il venait, ce qu'il voulait."")","('#monsieur-hardouin', ""Ce n'est pas de sa faute si je l'ai deviné ; car il ne savait à qui il était, d'où il venait, ce qu'il voulait."")",0.9758864641189575
"('#madame-de-chepy', 'Puis comptez sur ces maroufles-là !')","('#madame-de-chepy', 'Puis fiez-vous à ces maroufles-là.')",0.7339522838592529
"('#monsieur-hardouin', ""Il m'a fait grand tort.  Je dormais si bien, et j'en avais si grand besoin.  Il était près de cinq heures, quand je suis rentré, après la journée la plus ennuyeuse et la plus fatigante.  Imaginez la lecture d'un drame détestable, comme ils sont tous ; la compagnie la plus triste, un souper maussade, et qui ne finissait point ; et un breland cher où j'ai perdu la possibilité, et essuyé la mauvaise humeur de gagnants dépités à chaque coup de n'avoir pas gagné davantage."")","('#monsieur-hardouin', ""Il m'a fait grand tort.  Je dormais si bien, et j'en avais si grand besoin !  Il était près de cinq heures quand je suis rentré, après la journée la plus ennuyeuse et la plus fatigante.  Imaginez donc la lecture d'un drame détestable, comme ils sont tous, la compagnie la plus triste, un souper maussade, et qui ne finissait point, et un brelan cher où j'ai perdu la possibilité, et essuyé la mauvaise humeur des gagnants, fâchés à tout coup de ne pas gagner davantage."")",0.9827950596809387
"('#madame-de-chepy', ""C'est bien fait ; que ne veniez-vous ici."")","('#madame-de-chepy', ""C'est bien fait ; que ne veniez-vous ici ?"")",0.9232035875320435
"('#monsieur-hardouin', ""M'y voilà ; et toutes mes disgrâces seront bientôt oubliées, si je puis vous être de quelque utilité.  De quoi s'agit-il ?"")","('#monsieur-hardouin', ""M'y voilà ; et toutes mes disgrâces seront bientôt oubliées, si je puis vous être de quelque utilité ; de quoi s'agit-il ?"")",0.9920990467071533
"('#madame-de-chepy', 'De me rendre le plus important service.  Vous connaissez Madame de Malves.')","('#madame-de-chepy', 'De me rendre le plus important service.  Vous connaissez Madame de Malves ?')",0.9772409200668335
"('#monsieur-hardouin', ""Non pas personnellement ; mais on lui accorde d'une voix assez unanime de la finesse dans l'esprit, de la gaité douce, du goût, de la connaissance dans les beaux arts, un grand usage du monde, et un jugement sûr et exquis."")","('#monsieur-hardouin', ""Non pas personnellement ; mais on lui accorde d'une voix unanime de la finesse dans l'esprit, de la gaieté douce, du goût, de la connaissance dans les beaux-arts, un grand usage du monde, et un jugement sûr et exquis."")",0.9839053750038147
"('#madame-de-chepy', ""Voilà les qualités qu'elle a pour tout le monde et dont je fais cas assurément ; mais je prise encore davantage celles qu'elle tient en réserve pour ses amis."")","('#madame-de-chepy', ""Voilà les qualités qu'elle a pour tout le monde, et dont je fais grand cas assurément ; mais j'estime encore plus celles qu'elle tient en réserve pour ses amis."")",0.9428650140762329
"('#monsieur-hardouin', 'Je vis avec quelques-uns qui la disent mère indulgente, bonne épouse et excellente amie.')","('#monsieur-hardouin', 'Je vis avec quelques-uns qui la disent mère tendre, excellente épouse et très bonne amie.')",0.9271979331970215
