,campistron-achille,la-fontaine-daphne,Cost,Operation Type
24,"('#melpomene #thalie #terpsicore', 'Hélas ! Ne saurions-nous rien faire Digne de paraître à ses yeux ?')","('#amour', ""L'effet en jugera : servez-vous de vos armes, Et moi j'emploierai mes charmes."")",1.38,Substitution
25,"('#mercure', ""Terminez vos regrets que votre douleur cesse. Dans vôtre sort Jupiter s'intéresse, Et veut ici revoir, dès ce même moment Un spectacle charmant, Ou'un changement favorable Redonne à ces tristes lieux Tout ce qu'ils ont est d'aimable?' C'est l'ordre irrévocable Du souverain des Dieux. Ce lieu désert se détruit reprend tout d'un coup sa première magnificence."")","('#minerve', ""Que vous vous tourmentez, mortels ambitieux, Désespérés et furieux, Ennemis du repos, ennemis de vous-mêmes ! A modérer vos voeux mettez tous vos plaisirs : Régnez sur vos propres désirs ; C'est le plus beau des diadèmes. Les hommes qui s'étaient arrêtés quelques moments pour ouïr Minerve, attendent à peine qu'elle a achevé, et ne laissent pas, malgré ses conseils, témoigner toujours la même fureur et le même emportement. L'Amour leur faisant signe qu'il veut parler, ils s'arrêtent."")",0.18,Substitution
26,"('#melpomene', 'Vous, secourables Génies,  Nécessaire à nos jeux,  Hâtez-vous, secondez nos voeux ; Venez, et prêtez-nous vos grâces infinies.')","('#amour', ""De vos sages discours voyez quel est le fruit Je ne dirai qu'un mot. Aimez. On obéit : Vous le voyez. Aux hommes. À ce mot, ceux qui dansaient en confusion et en tumulte dansent deux à deux comme personnes qui s'aiment."")",0.55,Substitution
27,,"('#venus', ""Amour, qu'il est doux de te suivre !"")",1.0,Deletion
28,"('#melpomeme #terpsicore', ""Animez d'une ardeur nouvelle Venez remplir nos desseins, Et faites que nos plaisirs Doivent leur charme à votre zèle."")","('#jupiter', 'Vivez, nouveaux humains.')",1.13,Substitution
29,,"('#choeur-des-dieux', 'Vivez, nouveaux humains.')",1.0,Deletion
30,"('#choeur-de-genies', ""Animez d'une ardeur nouvelle Nous venons remplir vos désirs,  Nous nous flattons que vos plaisirs  Devront leur charme à notre zèle."")","('#venus', ""Laissez-vous enflammer. Que vaut la peine de vivre, Sans le doux plaisir d'aimer ?"")",0.16,Substitution
31,,"('#choeur', ""Que vaut la peine de vivre, Sans le doux plaisir d'aimer ?"")",1.0,Deletion
32,,"('#momus', ""D'où vient que si mal assortie Cette belle a fait choix d'un vieillard pour amant ?"")",1.0,Deletion
33,"('#thalie', 'Vous qui savez si bien, par une heureuse adresse Calmer les noirs chagrins, bannir les soins fâcheux, Favorisez mes soeurs, et mêlez dans leur quelques traits de votre allégresse.')","('#amour', ""C'est l'effet merveilleux d'un secret sentiment Que j'appelle sympathie."")",0.87,Substitution
34,,"('#venus', ""Le démon opposé n'a pas moins de pouvoir. Souvent nous haïssons ce qui devrait nous plaire."")",1.0,Deletion
35,,"('#jupiter', ""Tel dieu sait l'avenir, qui n'a pas su prévoir Quels maux ce démon lui va faire. Mais un jour un prince viendra Qui plaira plus qu'il ne voudra. Le Destin parmi nous lui garde un rang insigne, Et je lui veux accorder, Afin qu'il en soit plus digne, L'art de savoir commander. Mars lui promet en apanage La grandeur d'âme et de courage."")",1.0,Deletion
36,,"('#minerve', 'Moi, la vertu.')",1.0,Deletion
37,,"('#venus', ""Moi, l'agrément."")",1.0,Deletion
38,"('#melpomene #thalie #terpsicore', ""Que nos jeux vont avoir de charmes ! Tous nos chants vont inciter l'Amour. Venez tous, rendez-lui les armes,  Il est doux dans cet heureux séjour. Que nos jeux vont avoir de charmes ! Tous nos chants vont inspirer l'Amour. Ce n'est plus le temps des alarmes,  Les Plaisirs sont enfin de retour. Que nos jeux vont avoir de charmes ! Tous nos chants vont inspirer l'Amour."")","('#amour', ""Et moi le don d'aimer et d'être heureux amant."")",0.79,Substitution
39,"('#mercure', 'Jupiter va paraître,  Redoublez vos efforts pour plaire à votre Maître.')","('#venus #l-amour #minerve', ""Amour et la Raison s'accorderont pour faire Qu'aux coeurs comme aux esprits ce prince plaise un jour"")",1.0,Substitution
40,"('#le-choeur', 'Jupiter va paraître. Redoublons nos efforts pour plaire à notre Maître. Dans ce moment Jupiter paraît dans son char.')","('#choeur', 'Heureux qui par raison doit plaire ! Plus heureux qui plaît par amour !')",1.11,Substitution
41,"('#jupiter', ""Il ne manque aux apprêts de la fête nouvelle, Que Mercure a fait préparé, Que le choix du Héros qu'on y doit célébrer, Le soin de le choisir auprès de vous m'appelle. Renouvelez dans vos jeux Le souvenir de l'invincible Achille, Et rappelez dans une Cour tranquille,  L'Histoire et les combats de ce guerrier fameux."")","('#chloris #aminte #nymphes', ""Allons dans cette prairie : C'est un tranquille séjour ; Jamais les larmes d'amour N'y baignent l'herbe fleurie ; Les moutons y sont en paix, Et les loups n'y font jamais D'outrage à la bergerie."")",1.13,Substitution
42,,"('#chloris', 'Viens, ma soeur.')",1.0,Deletion
43,,"('#aminte', 'Je te suis.')",1.0,Deletion
44,"('#melpomene #thalie #terpsicore', ""Renouvelons dans vos jeux, Le souvenir de l'invincible Achille, Et rappelons dans une Cour tranquille. L'Histoires et les combats de ce guerrier fameux."")","('#chloris', ""Viens goûter une vie Dont le calme est digne d'envie. Notre Nymphe a banni de ces lieux si charmants Ce peuple d'importuns que l'on appelle amants. La voici."")",0.73,Substitution
45,"('#jupiter', ""Consacrez tous vos jeux au plus grand Roi du monde, Formez sur lui tous les Portraits De vos Héros les plus parfaits, Sa valeur, sa bonté, sa sagesse profonde, Vous prêteront d'inimitables traits."")","('#aminte', ""Que d'appas, de beautés, et de grâces ! Dirait-on pas que l'air s'embellit à ses traces ?"")",0.89,Substitution
46,"('#le-choeur', ""Consacrons tous nos jeux au plus grand Roi du monde Sa valeur, sa bonté, sa sagesse profonde Nous prêterons d'inimitables traits, Consacrons tous nos jeux au plus grand Roi du monde."")","('#daphne', ""Amour, n'approche point de nos ombrages doux, De nos prés, de nos fontaines ; Laisse en repos ces lieux ; assez d'autres que nous Se feront un plaisir de connaître tes peines."")",0.97,Substitution
47,,"('#daphne', ""Chloris, n'est-ce pas la ta soeur que tu m'amènes ?"")",1.0,Deletion
48,,"('#chloris', 'Je vous la viens offrir. Nous cherchions en ces lieux Ce que Flore a pour vous de dons plus précieux.')",1.0,Deletion
49,"('#patrocle', ""Non, je ne saurais plus me taire, Je vous dois un conseil sincère. Ne rougissez-vous point d'un indigne repos ? Quand les Grecs agités de mortelles alarmes, Implorent à genoux le secours de vos armes, Contre Hector, après vous, le plus grand des Héros. Tantôt ce guerrier terrible, Des Grecs épouvantés, embrase les vaisseaux ; Tantôt son bras invincible,  Fait rougir de leur sang et la terre et les eaux, Il court de victoire en victoire, Chaque jour, le bruit de la gloire,  Va remplir l'univers et vole jusqu'à vous, Des honneurs qu'il obtient, n'êtes vous point jaloux ?"")","('#daphne', ""Cherchons, cherchons des fleurs ; l'âge nous y convie : Parons-nous de bouquets pendant notre printemps : Les plaisirs ont chacun leur temps, Comme les saisons de la vie Daphné, ayant achevé ces paroles, se baisse pour cueillir des fleurs, et les Nymphes de la suite en font autant ; pendant quoi un choeur de bergers, demeuré par respect derrière le théâtre, répète ces mots."")",0.27,Substitution
50,,"('#choeur-de-bergers', 'Cherchons, cherchons des fleurs ; Daphné nous y convie.')",1.0,Deletion
51,,"('#daphne', ""J'entends de nos bergers le concert plein d'appas. Qu'ils chantent, je le veux, mais qu'ils n'approchent pas."")",1.0,Deletion
52,,"('#choeur-de-bergers', 'Cherchons, cherchons des fleurs ; Daphné nous y convie Il en renaît sous ses pas.')",1.0,Deletion
53,,"('#daphne', 'Déployons nos trésors.')",1.0,Deletion
54,,"('#chloris', ""J'ai cueilli les plus belles."")",1.0,Deletion
55,,"('#aminte', 'Et moi, les plus nouvelles.')",1.0,Deletion
56,,"('#meroe', 'Moi, les plus vives en couleur.')",1.0,Deletion
57,"('#achille', ""Je vois avec plaisir les pertes de la Grèce,  La valeur d'Hector m'a vengé,  Le fier Agamemnon connaîtra sa faiblesse,  Et se repentira de m'avoir outragé."")","('#daphne', ""Et vous ? Quel mauvais choix vous avez fait, ma soeur ! Vous nous direz, pour votre peine, Une chanson contre l'Amour. Cependant je veux que ma Cour Jure de lui porter une éternelle haine ; Jurez la première, Clymène !"")",1.1,Substitution
58,"('#patrocle', ""De quoi sert à ce Roi coupable D'avoir osé vous ravir Briséis ? Son attentat reçoit un digne prix,  Et pour lui Briséis paraît inexorable, Quand un rival puissant vient troubler nos amours, Si l'objet de nos voeux lui résiste toujours, Est-il de plus douce vengeance Que de voir ce rival aimer sans espérance ?"")","('#clymene', ""Tout serment De n'avoir jamais d'amant Est chose fort incertaine ; Il en est peu que l'on tienne Plus d'un jour, plus d'un moment : Tout serment De n'avoir jamais d'amant Est chose fort incertaine."")",0.88,Substitution
59,,"('#daphne', 'Je veux que vous juriez ; dites donc après moi : Amour,')",1.0,Deletion
60,,"('#clymene', 'Amour,')",1.0,Deletion
61,,"('#daphne', 'Si jamais sous ta loi Je respire,')",1.0,Deletion
62,,"('#clymene', 'Si jamais sous ta loi Je respire,')",1.0,Deletion
63,,"('#daphne', 'Je consens de mourir.')",1.0,Deletion
64,,"('#clymene', ""Mourir ? c'est beaucoup dire."")",1.0,Deletion
65,,"('#daphne', 'Je consens de mourir, si jamais je soupire.')",1.0,Deletion
66,,"('#clymene', 'Je consens de mourir, si jamais je soupire.')",1.0,Deletion
67,,"('#daphne', 'Clymène, acquittez-vous ; accompagnons ses sons, Et que nos pas animent nos chansons. Daphné et les personnes de sa suite se prennent alors par la main, et Clymène chante cette gavotte que toute la troupe danse, la répétant après elle : ')",1.0,Deletion
68,"('#achille', ""Connais mieux les raisons de mon juste courroux, Ce n'est point seulement par un dépit jaloux, Que je refuse aux Grecs un secours nécessaire, Ils ont marqué trop de mépris pour moi,  Ils m'ont laissé subir la violente loi  De leur chef téméraire. Non, jamais leurs malheurs ne sauraient m'émouvoir. Leurs vaisseaux embrasés, leurs troupes fugitives ; Leur camp détruit, tout leurs Rois sans pouvoir, Leurs corps épars sur ces sanglantes rives Szraient encor des objets impuissants,  Pour surprendre un moment la fureur que je sens."")","('#clymene', ""L'autre jour sur l'herbe tendre Je m'assis près de Philandre : Il me conta ses tourments ; Ma mère alors me querelle. « Petite fille, dit-elle, N'écoutez point les amants. Ils sont indiscrets, volages, Téméraires, et peu sages ; Ils font mille faux serments : Ils sont jaloux, ils sont traîtres, Et tyrans quand ils sont maîtres, N'écoutez point les amants. » Écoutez ma chansonnette, Et l'écho qui la répète, Et ces rossignols charmants : Leur musique est sans pareille ; Mais ne prêtez point l'oreille Au ramage des amants."")",0.13,Substitution
69,,"('#daphne', 'Méroé, poursuivez nos divertissements.')",1.0,Deletion
70,,"('#meroe', ""J'ai vu le temps qu'une jeune fillette Pouvait, sans peur, aller au bois seulette. Maintenant, maintenant les bergers sont loups : Je vous dis, je vous dis : « Filles, gardez-vous. »"")",1.0,Deletion
71,"('#patrocle', ""Eh bien ! D'un oeil content regardez nos alarmés, Mais quand vous nous méritez tous,  Du moins accordez-moi ces armes Que Vulcain prépara pour vous ; J'irai combattre Hector, et me combler de gloire,  Je remporterai la victoire,  Ou j'expirerai sous ces coups."")","('#apollon', ""Voici Tempé, cette vallée Dont on vante partout l'ombrage et les beautés ; Et voilà les flots argentés Qu'y fait couler le dieu Penée. Plus loin vers ces sommets mon empire s'étend. N'y veux-tu pas venir, Momus ? On nous attend."")",0.15,Substitution
72,,"('#momus', ""Demeurons encore où nous sommes : Ai-je pu voir en un instant Toutes les sottises des hommes ? Par vos puissants efforts, invincible Apollon, On ne craint plus ici les fureurs de Python. Les habitants de ces rivages DeVÉNUS plus heureux, n'en seront pas plus sages : Le temps de la sottise est celui du bonheur."")",1.0,Deletion
73,"('#achille', ""Qu'oses-tu proposer, Dieux ! Que viens-je d'entendre ? Je commence à trembler pour la première fois. Quand je songe au combat que tu veux entreprendre."")","('#apollon', 'Mais que dis-tu de ma victoire ?')",0.76,Substitution
74,,"('#momus', ""Elle vous a comblé d'honneur, Et rien n'égale votre gloire."")",1.0,Deletion
75,"('#patrocle', ""Au nom d'une amitié qui fut toujours si tendre, Permettez-moi d'imiter vos exploits.  Je connais les périls où mon dessein m'engage, Tout semble m'annoncer les fers ou le trépas ;  Mais si j'en crois mon courage, Ce superbe ennemi ne triomphera pas."")","('#apollon', ""Que le fils de VÉNUS cesse de se vanter Qu'ainsi que nous il sait porter Un carquois, un arc, et des flèches ; C'est un enfant qui fait des brèches Dans les coeurs aisés à dompter. Il remporte toujours des victoires faciles ; Je défais des serpents qui dépeuplent des villes."")",0.47,Substitution
76,,"('#momus', ""Vous méprisez celui qui tient tout sous sa loi. Si l'Amour vous entend ?"")",1.0,Deletion
77,"('#achille', ""D'une vaine terreur je n'ai plus l'âme atteinte, Va combattre ; le Ciel prendra soin de ton sort, Puisque ton coeur est sans crainte,  Ton bras ne sera que trop fort."")","('#apollon', 'Et que crains-tu pour moi ?')",0.85,Substitution
78,,"('#momus', ""Parlez bas, c'est un dieu ; s'il venait à paraître ?"")",1.0,Deletion
79,"('#patrocle', ""Je cours assurer ma mémoire, J'ai tous les sentiments et les soins des Héros, Non, les jours les plus doux passés dans le repos  Ne valent pas un jour marqué part la victoire."")","('#apollon', ""Un dieu ! c'est un enfant : quitte ce vain souci."")",1.68,Substitution
80,,"('#momus', 'Qui donne à Jupiter un maître, Vous en pourrait donner aussi.')",1.0,Deletion
81,"('#achille', ""Patrocle va combattre ? Et j'ai pu consentir Qu'il courût aux dangers qui menacent sa vie ? Ah ! Je devais l'empêcher de partir,  Hélas de quels regrets sa mort serait suivie ? Si le sort irrité pour accabler mon coeur Le faisait expirer sous le fer d'un vainqueur. Prévenez justes Dieux, mon désespoir funeste !  Cet ami généreux, est le seul qui me reste,  Conservez ses jours par pitié ! On m'a privé de l'objet que j'adore,  Ce serait trop d'horreur de me priver encore  De l'objet de mon amitié."")","('#cupidon', ""Quel est l'orgueilleux qui me brave ? Quel téméraire ose attaquer l'Amour ? Ah ! je vous reconnais : vous serez mon esclave Avant la fin du jour. Ces paroles dites, Cupidon s'en revole dans les airs. "")",0.28,Substitution
82,"('#diomede', ""Ne répondrez-vous point aux désirs de la Grèce ? Il faut qu'en sa faveur votre colère cesse,  Elle ne peut sans vous triompher des Troyens ;  En vain nous assiégeons leur Ville,  Nos Dieux sont moins forts que les siens. Sa prise est réservée à la valeur d'Achille,"")","('#momus', ""Que cet enfant est fier ! Voyez comme il menace ! Ne le prendrait-on pas pour l'aîné des Titans ? Je plains le dompteur de serpents ; Il ne fait pas sûr en sa place. Tandis que Momus dit ces paroles, Daphné avec ses compagnes, par une curiosité de jeunes filles, avance un peu la tête sur le théâtre, et fait quelques pas dans la scène pour voir ces deux étrangers. Apollon la voit un moment ; aussitôt l'Amour, qui est demeuré dans l'air, fait son coup, et Daphné avec sa troupe s'enfuit encore une fois."")",0.21,Substitution
83,,"('#apollon', ""Ah ! Qu'ai je vu, Momus ! Que de traits éclatants ! Que de jeunesse, que de grâce !"")",1.0,Deletion
84,,"('#momus', 'Elle fuit.')",1.0,Deletion
85,,"('#apollon', 'Mille amours avec elle ont paru.')",1.0,Deletion
86,,"('#momus', ""Mille amours ? C'est beaucoup ; je n'en ai pas tant vu. Vous aimez ; vous voyez d'un autre oeil que le nôtre : De quelques qualités qu'un objet soit pourvu, L'amant y voit toujours ou plus_ou_moins qu'un autre."")",1.0,Deletion
87,"('#achille', ""De quel emploi vous chargez-vous ? N'espérez pas de fléchir mon courroux, Diomède je veux achever ma vengeance,  Vos Rois et vos Peuples ingrats, Auraient encor pour moi la même indifférence. S'ils n'avaient besoin de mon bras."")","('#apollon', ""Déesse, tu me fuis ? T'ai-je déjà déplu ? C'est pourtant Apollon qui t'aime, qui t'adore. Je n'en puis plus, je sens un feu qui me dévore : Reviens, charmant objet ! Et vous, Olympe, cieux, Je vous dis d'éternels adieux ; Je vous méprise, je vous laisse : Qu'êtes-vous près de ma déesse ? Tout votre éclat vaut-il un seul trait de ses yeux ? Ne la verrai-je plus ? Faut-il que cette belle Emporte mes plaisirs et mon coeur avec elle ? Demeurons sur ces bords, je ne les puis laisser."")",0.2,Substitution
88,,"('#momus', 'Passerons-nous pour dieux ?')",1.0,Deletion
89,,"('#apollon', 'Et pour qui donc passer')",1.0,Deletion
90,"('#diomede', 'Quoi ! Leur prompt repentir ne peut vous satisfaire ?')","('#momus', ""Pour mortels, car les dieux, par leur grandeur suprême Ne font souvent qu'embarrasser : On les craint plus qu'on ne les aime. Les vrais amants doivent toujours Sous un maître commun vivre d'égale sorte : Ou monarques ou dieux, n'entrez chez vos amours Qu'après avoir laissé vos grandeurs à la porte"")",1.06,Substitution
91,"('#achille', ""Ils ont pris trop de soin d'attirer ma colère."")","('#apollon', ""Je te croirai ; changeons de nom : Je m'appelle Tharsis, satrape de Lycie."")",1.74,Substitution
92,"('#diomede', 'Mais, pouvez-vous aimer un si triste séjour, Et languir en ces lieux dans une vie obscure ? Vous ! À qui les Destins promettaient chaque jour Quelque glorieuse aventure.')","('#momus', ""Et moi, son suivant Télamon Que si sur mon chemin quelque Nymphe jolie Se rencontre en passant, je prétends bien aussi La cajoler, m'approcher d'elle, Non pas en amoureux transi : Je vous veux servir de modèle Et cependant, allons conquérir votre belle."")",0.59,Substitution
93,"('#achille', ""Malgré mes cruels déplaisirs,  Le Déesse de Cythère  En faveur de Thétis ma mère Interrompt mes regrets, et suspend mes soupirs. Cette charmante déesse Vient en ces lieux tous les jours,  Je vois avec elle sans cesse Les grâces, les plaisirs, les jeux et les amours ;  Leur présence est d'un grand secours Contre la plume sombre tristesse."")","('#venus', ""Qu'est devenu mon fils ? Mortels, le savez-vous ? Je souffre, je languis, je meurs en son absence : Si l'Amour ne me suit, rien ne me semble doux. Heureux les lieux qu'anime sa présence ! Heureux tout l'Univers qui me doit sa naissance ! Qu'est devenu l'Amour ? Échos, le savez-vous ? Quel nouveau coeur aujourd'hui de ses coups Éprouve la puissance ? Qu'est devenu l'Amour ? Échos, le savez-vous ? Je souffre, je languis, je meurs en son absence. Ce récit fait, l'Amour se vient jeter dans le giron de sa mère."")",0.42,Substitution
94,,"('#venus', ""Ah ! Mon fils, d'où viens-tu ?"")",1.0,Deletion
95,"('#diomede', ""C'est pour servir nos ennemis Qn'on prend ces soins mortels à votre gloire, Songez que de vous seul dépend notre victoire,  Et que tout notre sort en vos mains est remis, Faut-il que votre coeur se livre À l'amour de vains plaisir ? Quelque douceur que l'on goûte à les suivre, Un héros doit former de plus nobles désirs."")","('#amour', ""De blesser Apollon. Je l'ai rendu pour Daphné tout de flamme ; Tandis qu'un autre trait, par un autre poison, Fait que pour lui Daphné n'a que haine dans l'âme."")",0.35,Substitution
96,"('#achille', ""La Déesse paraît et déjà sa présence Donne à ces lieux mille beautés, J'admire ses bienfaits, j'admire sa puissance, Trop heureux de jouir sur les bords écartés Des plaisirs innocents qui me l'ont présentée."")","('#venus', ""Amour, tu sais dompter les coeurs et les esprits. Que la terre et les cieux célèbrent de mon fils La dernière victoire ! Mortels et dieux, chantez sa gloire. Allez de toutes parts, courez, Amours et Ris ; Faites connaître de mon fils Le doux et le suprême empire : Ne laissez rien qui ne soupire. Allez de toutes parts, courez, Amours et Jeux ; Rendez l'Univers amoureux Aux dieux et aux hommes : Pour obéir à ce commandement de Vénus, on chante et on danse sur la terre, et dans la gloire, qui est au fond du théâtre : sur la terre, des personnes de toutes conditions, et dans la gloire, des enfants qui représentent les Amours, les Jeux et les Ris. La danse achevée, Vénus, dont le char est entouré d'enfants chante ces paroles : "")",0.1,Substitution
97,"('#venus', ""J'abandonne les Cieux, je descends sur la Terre : Pour finir de tes maux le déplorable cours, En vain l'injuste sort t'a déclaré la guerre, Espère tout de mon secours. Vous, Divinités aimables, Du plus grand des héros charmés le triste coeur,  Et faites succéder à sa vive douleur Les plaisirs les plus agréables. La Danse de ce Divertissement a été faite par Monsieur de Lestang."")","('#penee', 'Dieux tributaires de mon onde, Je veux, par les beautés de ce moite séjour, Arrêter quelque temps deux princes à ma Cour ; Que votre zèle me seconde !')",0.11,Substitution
98,,"('#fleuves', 'Commandez.')",1.0,Deletion
99,"('#une-des-graces', ""Grand héros, le Ciel vous est propice, Vos vertus se font rendre justice, Tout conspire aujourd'hui. À finir votre ennui."")","('#penee', ""Que le Sort vous a rendus heureux ! Hyménée et l'Amour fréquentent vos rivages : Vos grottes quelquefois leur prêtent des ombrages : Ces dieux me méprisent tous deux."")",0.67,Substitution
100,"('#un-plaisir', ""Si l'Amour a causé vos alarmes, Ses faveurs en auront plus de charmes ; Préparez votre coeur Au plus parfait bonheur. La Danse de ce Divertissement a été faite par Monsieur de Lestang."")","('#apidame', ""Laissez agir le temps ; il peut tout auprès d'eux. A peine a-t-il encor fait passer la princesse Des appas de l'enfance à ceux de la jeunesse : Deux soleils ont à peine éclairé son printemps."")",0.66,Substitution
101,"('#deux-graces #un-plaisir', ""Quel mortel osa jamais prétendre Les soins qu'ici nous venons vous rendre ? Qu'il veut le mériter N'a qu'à vous imiter."")","('#penee', 'Combien de coeurs depuis ce temps Ont en vain soupiré pour elle ! Ah ! si Tharsis pouvait la rendre moins cruelle !')",1.28,Substitution
102,"('#une-des-graces', ""C'est pour vous que Vénus nous appelle,  Profitez de notre ardeur fidèle,  Vous aurez en ces lieux Tous les plaisirs des Dieux."")","('#sperchee', 'Consultez la Sibylle Ismèle : Les dieux peut-être par sa voix Obligeront Daphné de suivre votre choix')",1.15,Substitution
103,,"('#penee', ""Hélas ! Jamais Daphné n'aimera que les bois."")",1.0,Deletion
104,"('#un-plaisir', ""C'est en vain que la haine et l'envie Sont d'accord pour troubler votre vie,  Par notre heureux secours Vous en triompherez toujours."")","('#amphrise', ""Ces plaisirs passeront : tout passe dans la vie ; De différents désirs elle est entre-suivie ; On y change d'humeur, on y change d'envie ; On y veut goûter de tout. Le plus libre enfin se lie ; Tôt ou tard on s'y résout."")",0.81,Substitution
105,"('#deux-graces #un-plaisir', 'Puissiez-vous par nos soins favorables Ne passer que des jours agréables ! Est-il rien de si doux Que de vivre avec nous ?')","('#apidame', ""Il faut peu pour changer ces âmes si sévères ; L'exemple à ce doux noeud les amène toujours. Des bergers chantant leurs amours, Dans les bras de l'hymen voir mener des bergères, Et leurs folâtres jeux sur les vertes fougères, Apprivoisent les coeurs, qui, deVÉNUS plus doux, S'accoutument aux mots d'amour, d'amant, d'époux ; Des mots on en vient au mystère."")",0.73,Substitution
106,,"('#penee', ""J'approuve vos raisons ; et Daphné, pour me plaire, Doit faire en mon palais les honneurs de ce jour. On y va célébrer l'hymen du jeune Amphrise Il s'engage avecque Florise ; La fête arrêtera ces princes à ma Cour : Allons en prendre soin. Daphné vient, et Clymène ; Entrons dans la grotte prochaine."")",1.0,Deletion
107,"('#arcas', 'Ô déplorable coup du sort !')",,1.0,Insertion
108,"('#achille', 'Je frémis parle !')","('#daphne', 'Ah, Clymène ! Plains-moi.')",0.98,Substitution
109,,"('#clymene', 'Princesse, vous pleurez ; puis-je savoir pourquoi ?')",1.0,Deletion
110,"('#arcas', 'Patrocle est mort,')",,1.0,Insertion
