quinault-cadmus-hermione,quinault-persee,Score
"('#premier-africain', ""Quand l'Amour vous l'ordonne, Souffrons les rigueurs, Chérissons les langueurs, Il n'exempte personne De ses traits vainqueurs ; Quel péril nous étonne ? Laissons trembler les faibles coeurs."")",-,0.0
"('#arbas #africains', ""Suivons, suivons l'Amour, laissons-nous enflammer, Ah ! Ah ! Ah ! qu'il est doux d'aimer !"")",-,0.0
"('#deuxieme-africain', ""Deux amants peuvent feindre Quand ils sont d'accord ; Plus l'Amour trouve à craindre, Plus il fait d'effort ; On a beau le contraindre, Il en est le plus fort."")",-,0.0
"('#arbas #africains', ""Suivons, suivons l'Amour, laissons-nous enflammer, Ah ! Ah ! Ah ! Qu'il est doux d'aimer !"")",-,0.0
"('#arbas #africains', ""On n'a rien de charmant Aisément, Et sans alarmes : Mais tout plaît, en aimant, Il n'est point de tourment Qui n'ai des charmes ; Suivons, suivons l'Amour, laissons-nous enflammer, Ah ! Ah ! Ah ! Qu'il est doux d'aimer ! Après l'entrée, Hermione se lève de la place où elle était assise près du géant, qui la suit et l'arrête dans le temps qu'elle se veut retirer."")",-,0.0
"('#le-geant', ""Il est temps de finir ma peine Après tant d'injustes refus. Où voulez-vous aller ? Vous fuyez, inhumaine ?"")",-,0.0
"('#hermione', ""J'étAis pour voir ici quelques danses Africaines, Les Africains ne dansent plus ?"")",-,0.0
"('#le-geant', ""Rien ne doit plus m'être contraire : Mars est pour moi, c'est votre père, C'est lui qui veut unir votre coeur et le mien."")",-,0.0
"('#hermione', ""Je suis soeur de l'Amour, et Vénus est ma mère, S'ils ne sont pas pour vous, les contez-vous pour rien ?"")",-,0.0
"('#le-geant', ""Il faut que votre destinée Suive l'ordre du Dieu dont vous tenez le jour ; Et toujours l'hyménée Ne prends pas l'avis de l'Amour. Vous craignez les raisons dont je puis vous confondre ? Vous ne m'écoutez pas ? Voulez-vous m'éviter ?"")",-,0.0
"('#hermione', ""Quand on n'a rien à répondre, À quoi sert-il d'écouter ?"")",-,0.0
"('#le-geant', ""Je vous suivrai partout malgré votre colère, Sans cesse à vos regards je veux me présenter ; Et si ce n'est pas pour vous plaire, Ce sera pour vous tourmenter."")",-,0.0
"('#cadmus', ""C'est trop l'abandonner à ce cruel supplice : Il est temps d'éclater, Et d'oser tout tenter Contre tant d'injustice."")",-,0.0
"('#premier-prince-tyrien', ""C'est exposer vos jours à d'horribles hasards, Vous aurez à dompter l'affreux dragon de Mars."")",-,0.0
"('#deuxieme-prince-tyrien', 'Il faut semer ses dents, et voir soudain la Terre En former des soldats pour vous faire la guerre.')",-,0.0
"('#les-deux-princes-tyriens', 'Voyez à quels dangers vous allez vous offrir.')",-,0.0
"('#cadmus', ""Je ne vois qu'Hermione, et je la vois souffrir : Tout cède à cette horreur extrême ; Il est moins affreux de mourir Que de voir souffrir ce qu'on aime. Rien ne me peut épouvanter : Malgré tant de périls, l'Amour veut que j'espère."")",-,0.0
"('#junon', ""Où vas-tu téméraire ? Où cours-tu te précipiter ? C'est l'épouse et la soeur du maître du tonerre, La mère du Dieu de la guerre, C'est Junon qui vient t'arrêter."")",-,0.0
"('#pallas', ""Va, Cadmus, que rien ne t'étonne, Va, ne crains ni Junon, ni le Dieu des Combats : Ose secourir Hermione, Tu vois dans ton parti la guerrière Pallas, Cours aux plus grands dangers, je vais suivre tes pas, C'est Jupiter qui me l'ordonne."")",-,0.0
"('#junon', ""Pallas pour les amants se déclare en ce jour ; Qui l'aurait jamais osé croire ?"")",-,0.0
"('#pallas', ""Qui peut être contre l'Amour Quand il s'accorde avec la gloire ?"")",-,0.0
"('#junon', 'Évite un courroux dangereux.')",-,0.0
"('#pallas', ""Profite d'un avis fidèle."")",-,0.0
"('#junon', 'Fuis un trépas affreux.')",-,0.0
"('#pallas', 'Cherche dans les périls une gloire immortelle.')",-,0.0
"('#cadmus', ""Entre deux déïtés qui suspendent mes voeux, Je n'ose résister à pas une des deux, Mais je suis l'Amour qui m'appelle."")",-,0.0
"('#junon', 'Je poursuivrai tes jours.')",-,0.0
"('#pallas', 'Je vole à ton secours. Junon et Pallas sont enlevées sur leurs chars.')",-,0.0
"('#arbas', ""Charite, il est trop vrai, Cadmus veut entreprendre De remettre Hermione en pleine liberté : Il l'a dit au tyran, et je viens de l'entendre !"")",-,0.0
"('#charite', ""Et que dit le géant ? N'est-il point irrité ?"")",-,0.0
"('#arbas', ""Il rit de sa témérité, Mon maître doit voir la Princesse Avant d'attaquer le dragon furieux qui veille pour garder ces lieux ; Et l'Amour qui pour toi me presse Veut que je vienne aussi te faire mes adieux. En te voyant, belle Charite, J'avais cru que l'Amour fût un plaisir charmant ; Mais lorsqu'il faut que je te quitte, J'éprouve qu'il n'est point un plus cruel tourment. La douleur me saisit, je ne puis plus rien dire ; Quand je pleure, quand je soupire, Tu ris, et rien n'émeut ton coeur indifférent ?"")",-,0.0
"('#charite', ""Tu fais la grimace en pleurant, Je ne puis m'empêcher de rire."")",-,0.0
"('#arbas', ""La pitié, tout au moins, devrait bien t'engager À prendre quelque part à mes ennuis extrêmes."")",-,0.0
"('#charite', ""S'il est bien vrai que tu m'aimes, Pourquoi veux-tu m'affliger ?"")",-,0.0
"('#arbas', ""Pour soulager mon coeur du chagrin qui le presse, Te coûterait-il tant de l'affliger un peu ?"")",-,0.0
"('#charite', ""C'est un poison que la tristesse, L'Amour n'est plus plaisant dès qu'il n'est plus un jeu."")",-,0.0
"('#arbas', ""On console un amant des rigueurs de l'absence Par des tendres adieux."")",-,0.0
"('#charite', ""Quand il faut se quitter, un peu d'indifférence Console encore mieux."")",-,0.0
"('#arbas', ""Tu me l'avais bien dit, qu'il était impossible Que ton barbare coeur perdit sa dureté."")",-,0.0
"('#charite', ""Au moins si tu te plains de me voir insensible, Tu dois être content de ma sincérité ; Puisqu'enfin pour te satisfaire Je ne puis pleurer avec toi ; Si tu voulais me plaire Tu rirais avec moi."")",-,0.0
"('#arbas', ""C'est trop railler de mon martyre, Le dépit m'en doit délivrer ; N'est-on pas bien fou de pleurer Pour qui n'en fait que rire ?"")",-,0.0
"('#charite', ""Guéris-toi, si tu peux, J'approuve ta colère ; Quand on désespère Un coeur amoureux ; C'est par un dépit heureux Qu'il faut se tirer d'affaire."")",-,0.0
"('#charite #arbas', ""Quand on désespère Un coeur amoureux ; C'est par un dépit heureux Qu'il faut se tirer d'affaire."")",-,0.0
"('#arbas', 'Mais la nourrice vient, il me faut éloigner.')",-,0.0
"('#charite', ""Tu sais que tu lui plais, la veux-tu dédaigner ? C'est une conquête assez belle."")",-,0.0
"('#arbas', 'Si je lui plais, tant pis pour elle.')",-,0.0
"('#la-nourrice', ""Quoi ! Dès que je parais, tu fuis au même instant ? Lorsqu'on a des amis, est-ce ainsi qu'on les quitte ?"")",-,0.0
"('#arbas', ""Le temps presse, et Cadmus m'attend."")",-,0.0
"('#la-nourrice', ""Quand tu parlais seul à Charite, Le temps ne te pressait pas tant : Quel charme a-t-elle qui t'attire ? Qu'ai-je qui te fait en aller ?"")",-,0.0
"('#arbas', ""J'avais à lui parler, Je n'ai rien à te dire. Je dois suivre Cadmus, nous partons de ce lieu."")",-,0.0
"('#la-nourrice', 'Me dire adieu, du moins, est une bienséance Dont rien ne te dispense.')",-,0.0
"('#arbas', 'Je te dis donc adieu.')",-,0.0
"('#la-nourrice', ""Il me quitte, l'ingrat, il me fuit, l'infidèle ! Ne crains pas que je te rappelle ! Va, cours, je te laisse partir : Va, je n'ai plus pour toi qu'une haine mortelle : Puisses-tu rencontrer la mort la plus cruelle, Puisse le dragon t'engloutir."")",-,0.0
"('#charite', ""Crois-moi, modère L'éclat de ta colère ; Un dépit qui fait tant de bruit Fait trop d'honneur à qui nous fuit."")",-,0.0
"('#la-nourrice', ""Ah ! Vraiment je vous trouve bonne ? Est-ce à vous, peite Mignonne, De reprendre ce que je dis ? Attendez l'âge Où l'on est sage, Pour donner des avis."")",-,0.0
"('#charite', ""Je suis jeune, je le confesse, Trouves-tu ce défaut si digne de mépris ? N'a-t-on point de bons sens qu'en perdant la jeunesse ? Il serait bien cher à ce prix."")",-,0.0
"('#la-nourrice', ""Le temps doit mûrir les esprits, Et c'est le fruit de la vieillesse."")",-,0.0
"('#charite', ""Il n'est pas sûr que la sagesse Suive toujours les cheveux gris."")",-,0.0
"('#la-nourrice', ""Je souffre peu que l'on me blesse : Par des discours piquants Prétends-tu m'insulter sans cesse ?"")",-,0.0
"('#charite', 'Je respecte trop tes vieux ans.  Mais Cadmus, et la Princesse, Viennent dans ces lieux ; Ne troublons pas leurs adieux.')",-,0.0
"('#cadmus', ""Je vais partir, belle Hermione, Je vais exécuter ce que l'Amour m'ordonne, Malgré le péril qui m'attend : Je veux vous délivrer, ou me perdre moi-même ; Je vous vois, je vous dit enfin que je vous aime, C'est assez pour mourir content."")",-,0.0
"('#hermione', ""Ah ! Cadmus, pourquoi m'aimez-vous ? Pourquoi vouloir chercher une mort trop certaine ? Eh ! Que peut la valeur humaine Contre le dieu Mars en courroux ? Voyez en quels périls votre Amour nous entraîne ! J'aurais mieux aimer votre haine : Ah ! Cadmus, pourquoi m'aimez-vous ?"")",-,0.0
"('#cadmus', ""Vous m'aimez, il suffit, ne soyez point en peine ? Mon destin, tel qu'il soit, ne peut être que doux."")",-,0.0
"('#hermione', ""Vivons pour nous aimer, et cesser de poursuivre Le funeste dessein que vous avez formé : Il doit être bien doux de vivre, Lorsqu'on aime, et qu'on est aimé."")",-,0.0
"('#cadmus', ""Sous une injuste loi je vous vois asservie ; Serait-ce vous aimer que le pouvoir souffrir ? Lorsque pour ce qu'on aime on s'expose à périr, La plus affreuse mort a de quoi faire envie."")",-,0.0
"('#hermione', ""Mais vous ne songez pas qu'il y va de la vie : Faut-il que pour mes jours vous soyez sans effroi ? Je vivrais sous l'injuste loi Où mon cruel destin me livre. Mais si vous périssez pour moi, Je ne pourrai pas vous survivre."")",-,0.0
"('#cadmus', ""J'ai besoin de secours, voulez-vous m'accabler ? Ah ! Princesse, est-il temps de me faire trembler ?"")",-,0.0
"('#hermione', 'Soyez sensible à mes alarmes !')",-,0.0
"('#cadmus', 'Je ne sens que trop vos douleurs.')",-,0.0
"('#hermione', 'Partirez-vous malgré mes pleurs ?')",-,0.0
"('#cadmus', 'Il faut aller tarir la source de vos larmes.')",-,0.0
"('#hermione', ""Quoi, vous m'allez quitter ?"")",-,0.0
"('#cadmus', 'Je vais vous secourir.')",-,0.0
"('#hermione', 'Ah ! vous allez périr ! Vous cherchez une mort horrible ; Mon amour me dit trop que vous perdrez le jour.')",-,0.0
"('#cadmus', ""L'Amour que j'ai pour vous ne croit rien d'impossible : Il me flatte en partant d'un bienheureux retour."")",-,0.0
"('#hermione #cadmus', 'Croyez en mon amour,')",-,0.0
"('#hermione', ""Vous n'écoutez point ma tendresse, Rien ne vous retient ?"")",-,0.0
"('#cadmus', 'Le temps presse.')",-,0.0
"('#hermione #cadmus', ""Au nom des plus beaux noeuds que l'Amour ait formés, Vivez, si vous m'aimez."")",-,0.0
"('#cadmus', 'Espérons.')",-,0.0
"('#hermione', ""Tout me désespère. Que je me veux de mal d'avoir trop sçû vous plaire !"")",-,0.0
"('#hermione #cadmus', ""Qu'un tendre amour coûte d'ennuis !"")",-,0.0
"('#hermione', 'Vous fuyez ?')",-,0.0
"('#cadmus', 'Il le faut.')",-,0.0
"('#hermione', 'Demeurez ?')",-,0.0
"('#cadmus', ""Je ne puis, Je m'affaiblis plus je diffère ; Il faut m'arracher de ce lieu."")",-,0.0
"('#hermione', 'Ah ! Cadmus !')",-,0.0
"('#cadmus', 'Hermione !')",-,0.0
"('#hermione #cadmus', 'Adieu.')",-,0.0
"('#hermione', ""Amour, vois quels maux tu nous fais, Où sont les biens que tu promets ; N'as-tu point pitié de nos peines ? Tes rigueurs les plus inhumaines Seront-elles toujours pour les plus tendres coeurs ? Pour qui, cruel Amour, gardes-tu tes douceurs ?"")",-,0.0
"('#l-amour', ""Calme tes déplaisirs, dissipe tes alarmes, L'Amour vient essuyer tes larmes, Il n'abandonne pas ceux qui suivent ses lois. Souviens-toi que tout m'est possible : Que rien à mon abord ne demeure insensible ? Que pour la divertir tout s'anime à ma voix ? Cessez de vous plaindre De souffrir en aimant ; Amants, vous devez ne rien craindre, Si vous souffrez, votre prix est charmant. Après des rigueurs inhumaines On aime sans peines, On rit des jaloux ; Un bien plein de charmes Qui coûte des larmes, En devient plus doux. Tout doit rendre hommage À l'Empire amoureux ; Il faut tôt ou tard qu'on s'engage, Sans rien aimer on ne peut être heureux. Après des rigueurs inhumaines, etc... Amours, venez semer mille fleurs sous ses pas. Des statues d'or sont animées par l'Amour et sautent de leur piédestaux pour danser. L'Amour descend et vient chanter au milieu des statues animées. Second couplet. L'amour reprend sa place sur le nuage qui l'a apporté, les statues se remettent sur leurs piédestaux, tandis que dix petits amours d'or, qui tiennent des corbeilles pleines de fleurs, sont à leur tour animés par l'Amour, et viennent par son ordre jeter des fleurs en volant autour d'Hermione."")",-,0.0
"('#hermione', ""Laissez-moi ma douleur, j'y trouve des appas. Dans l'horreur d'un péril extrême, Est-ce là le secours que l'on me doit offrir ? Peut-être ce que j'aime Est tout prêt de périr."")",-,0.0
"('#l-amour', 'Je vais le secourir.')",-,0.0
"('#premier-prince-tyrien', 'Tu détournes bien tes regards ?')",-,0.0
"('#deuxieme-prince-tyrien', 'As-tu peur du dragon de Mars ?')",-,0.0
"('#arbas', 'La défiance est nécessaire, Il est bon de prévoir un fâcheux accident, On ne doit point marcher ici en téméraire.')",-,0.0
"('#premier-prince-tyrien', ""C'est très bien fait d'être prudent."")",-,0.0
"('#arbas', ""Je suis hardi quand il faut l'être ; Si quelqu'un en doutait, il pourrait le connaître."")",-,0.0
"('#deuxieme-prince-tyrien', ""Qui voudrait s'attaquer à toi ?"")",-,0.0
"('#premier-prince-tyrien', 'On te croit vaillant sur ta foi. Mais la couleur de ton visage Répond mal à ta valeur !')",-,0.0
"('#arbas', ""Est-ce par la couleur Que l'on doit juger du courage ?"")",-,0.0
"('#deuxieme-prince-tyrien', 'Que tes sens paraissent troublés ! Tu trembles ?')",-,0.0
"('#arbas', ""C'est qu'il vous le semble : Chacun croit que l'on lui ressemble, C'est peut-être vous qui tremblez ? Que maudit soit l'Amour funeste Qui nous fait tant souffrir dans ce malheureux jour ! On se soulage quand on peste, Et l'on ne saurait trop pester contre l'Amour."")",-,0.0
"('#les-deux-princes #arbas', ""Gardons-nous bien d'avoir envie D'être jamais amoureux : De tous les maux de la vie L'Amour est le plus dangereux."")",-,0.0
"('#premier-prince-tyrien', ""Cadmus veut essayer de rendre Mars propice, C'est ici qu'il prétend offrir un sacrifice."")",-,0.0
"('#deuxieme-prince-tyrien', 'Pour des soins différents il faut nous séparer.')",-,0.0
"('#les-deux-princes-tyriens', 'Allons nous préparer.')",-,0.0
