,regnard-arlequin-bonnes-fortunes,regnard-filles-errantes,Cost,Operation Type
45,"('#le-vicomte', ""Hé, fi, Madame !  Que faites-vous là ?  Cela n'est point honnête. "")","('#colombine', ""Je vous dirai, mon frère, que sitôt que vous fûtes parti, il vint un jeune cavalier, le plus civil du inonde, demander à loger dans notre hôtellerie : pour ne pas paraître moins civile que lui, je lui fis toutes les honnêtetés dont j'étais capable.  Aussi pourquoi me laissez-vous seule ? Elle pleure en disant ces derniers mots."")",0.89,Substitution
46,"('#la-veuve', ""Une, deux, trois robes de chambre, c'est-à-dire trois maîtresses.  Ah, traître !  C'est donc ainsi que tu me joues ?  Tu dis que tu n'aimes que moi."")","('#pierrot', ""Je vous l'ai toujours dit, monsieur ; il faut de la compagnie aux filles, quand ce ne serait qu'un manche à balai."")",1.14,Substitution
47,"('#le-vicomte', ""Madame, je n'en puis plus. "")",,1.0,Insertion
48,"('#la-veuve', ""Voilà l'effet de tes serments !... "")","('#mezzetin', 'Hé bien ?')",1.44,Substitution
49,"('#le-vicomte', 'Madame, je vais tout rendre, si je ne sors. ')","('#colombine', ""Sitôt qu'il fut arrivé, il me pria, mais le plus honnêtement du monde, de lui donner une chambre.  Pour lui faire plaisir, je le menai moi-même, par civilité, dans la belle chambre qui est de plain-pied à la cour."")",1.44,Substitution
50,"('#la-veuve', 'Scélérat ! ')",,1.0,Insertion
51,"('#le-vicomte', 'Madame, je ne réponds plus de la discrétion de mon derrière. ')",,1.0,Insertion
52,"('#la-veuve', ""N'as-tu point de honte ?... "")","('#pierrot', 'Par civilité ?')",1.14,Substitution
53,"('#le-vicomte', ""Il ne tient plus qu'à un petit filet. "")","('#colombine', ""Par civilité.  Mais il ne voulut point y demeurer, appréhendant qu'elle ne fût malsaine, à cause de l'humidité."")",1.7,Substitution
54,,"('#mezzetin', 'Il avait raison.')",1.0,Deletion
55,"('#la-veuve', ""Non, je ne veux plus de commerce avec toi ; rends-moi ma robe de chambre.  Elle lui veut arracher sa robe de chambre : ils se battent ; le Vicomte la décoiffe ; une de ses jupes tombe, et elle s'en va. "")","('#colombine', ""Voyant qu'il faisait difficulté de rester dans cette chambre-là, et qu'il était si civil, je le conduisis dans une autre, qui donne sur la rue, au-dessus de l'écurie."")",0.83,Substitution
56,"('#isabelle', ""En vérité, vous êtes bien folle de farcir votre tête de vos sottes imaginations d'amour et de mariage. Est-ce là le parti que doit prendre une cadette, et ne devriez-vous pas avoir renoncé au monde ? "")","('#pierrot', 'Par civilité ?')",1.8,Substitution
57,"('#colombine', 'Mon_Dieu, ma soeur, cela est bien aisé à dire ; mais vous ne parleriez pas comme vous faites, si vous sentiez ce que je sens. ')","('#colombine', ""Par civilité.  Il me témoigna encore qu'il ne pourrait pas y coucher, à cause qu'étant fatigué et ayant besoin de repos, les chevaux pourraient interrompre son sommeil pendant la nuit."")",1.55,Substitution
58,,"('#mezzetin', 'Ouais !  Voilà un homme bien difficile à coucher.')",1.0,Deletion
59,"('#isabelle', ""Et que sentez-vous donc, s'il vous plaît ?  Vraiment, je vous trouve une jolie mignonne, pour sentir quelque chose !  Et que sentirai-je donc, moi qui suis votre aînée ?  Est-ce que l'on m'entend plaindre des envies que cause I'état de fille ?  Vous êtes encore une plaisante morveuse ! "")","('#pierrot', 'Peut-être pas tant que vous pensez.')",1.47,Substitution
60,"('#colombine', ""Plaisante morveuse !  Mon_Dieu !  Je ne suis pas si morveuse que je le parais, et il y aurait déjà longtemps que je serais femme si mon père avait voulu ; car on m'a dit qu'on pouvait l'être à douze ans. "")","('#colombine', ""Je trouvai qu'il n'avait pas mauvaise raison ; car quand on repose, comme vous savez, on n'est pas bien aise d'être interrompu.  Voyant donc qu'il avait besoin de repos, et qu'il continuait toujours avec les manières les plus civiles du monde, je me crus obligée de le mettre dans un lieu éloigné du bruit : vous savez que ma chambre est au bout du jardin ; je l'y menai,"")",1.07,Substitution
61,"('#isabelle', ""Mais savez-vous bien ce que c'est qu'un mari, pour parler comme vous faites ? "")",,1.0,Insertion
62,"('#colombine', ""Bon !  Si je ne le savais pas, est-ce que j'en voudrais avoir un ? "")",,1.0,Insertion
63,"('#isabelle', 'Hé !  Qui vous a donc appris de si belles choses ? ')","('#pierrot', 'Par civilité ?')",1.38,Substitution
64,"('#colombine', ""Cela ne s'apprend-il pas tout seul ?  Quand je songe que je serai mariée, je suis si aise, si aise !  Oh !  Il faut que ce soit quelque chose de fort joli que le mariage, puisque la pensée seule fait tant de plaisir. "")","('#colombine', ""Assurément.  Est-ce que tu ne l'aurais pas fait à ma place, dis, Pierrot ?"")",1.2,Substitution
65,"('#isabelle', ""Vous vous trompez fort à votre calcul, si vous vous figurez tant de plaisir dans le mariage.  Le beau régal qu'un mari qui gronde toujours !  Les soins des domestiques, l'incommodité d'une grossesse : non, quand il n'y aurait que la peur d'avoir des enfants, je renoncerais au mariage pour toute ma vie. "")","('#pierrot', ""Sans doute, et j'enragerais qu'un autre fût plus civil que moi."")",0.78,Substitution
66,"('#colombine', ""La peur d'avoir des enfants !  Bon !  On dit que c'est pour cela qu'il faut se marier. "")",,1.0,Insertion
67,"('#isabelle', 'Bon Dieu !  Quelle petitesse de raisonnement !  Que votre esprit est à rez-de-chaussée ! ')",,1.0,Insertion
68,"('#colombine', 'Mais vous, ma saur, qui êtes si raisonnable, est-ce que vous ne voulez pas vous marier ? ')","('#mezzetin', 'Voilà du civil qui pourrait bien nous mener au criminel.')",1.84,Substitution
69,"('#isabelle', ""Oh !  Ce n'est pas de même, moi ; je suis votre aînée, et la raison qui veut que vous ne vous mariiez pas, veut que je me marie.  Vous n'êtes point propre au mariage ; ce n'est point un jeu d'enfant. "")",,1.0,Insertion
70,"('#colombine', ""Et moi, je vous dis que j'y suis aussi propre que vous.  Je supporterai fort bien toutes les fatigues du ménage ; et quoique je sois jeune, si j'étais mariée présentement, je suis sûre que je n'en mourrais pas. "")","('#colombine', ""Il trouva que ma chambre l'accommodait assez, et me fit entendre qu'il serait ravi d'y rester.  Je lui dis aussitôt que, puisque cet endroit lui plaisait, j'y ferais mettre un lit pour lui à côté du mien."")",0.69,Substitution
71,,"('#pierrot', 'Par civilité ?')",1.0,Deletion
72,"('#isabelle', ""En vérité, il faut que j'aie bien de la bonté de souffrir tous les travers de votre esprit.  Tout ce que je puis faire encore pour vous, c'est de vous conseiller de bannir de votre cerveau toutes vos idées matrimoniales, et de croire qu'il n'y a personne assez dépourvu de bon sens pour vouloir se charger de votre peau. "")","('#colombine', ""Comment l'entendez-vous donc ?  Mais comme il est extrêmement honnête, il refusa l'offre que je lui faisais, de peur de m'incommoder, et dit qu'il ne souffrirait point que ma chambre fût embarrassée pour l'amour de lui, et qu'il coucherait plutôt dans l'écurie que de me causer la moindre incommodité."")",0.29,Substitution
73,,"('#pierrot', 'Oh !  Dans une écurie !  Le pauvre jeune homme !  Cela me fait pitié.')",1.0,Deletion
74,"('#colombine', ""Hé !  La la, cette charge-là n'est pas si pesante et ne fait pas peur à tout le monde : il n'y a pas encore huit jours que je trouvai dans une boutique, au Palais, un monsieur de condition, qui me dit que j'étais bien à son gré, et qu'il serait bien aise de m'épouser. "")","('#colombine', ""Son honnêteté me fendit le coeur : une fille n'est pas de bois ; et voyant que ma chambre lui plaisait si fort, je lui dis...  Mais vous allez vous fâcher."")",0.76,Substitution
75,"('#isabelle', 'Et que lui répondîtes-vous ? ')","('#mezzetin', 'Non, non...')",1.62,Substitution
76,"('#colombine', ""Je lui dis que j'étais encore bien petite pour cela ; mais que l'année qui vient, j'espérais d'être plus grande. "")",,1.0,Insertion
77,"('#isabelle', ""Vous serez plus grande et plus folle.  Vous ne voyez donc pas qu'il se moquait de vous, et que vous vous donnez un ridicule dans le monde ?  Allez, vous devriez mourir de honte."")",,1.0,Insertion
78,"('#colombine', 'Ne voilà-t-il pas ?  Vous me grondez toujours.  Vous voulez bien vous marier, vous, et vous ne voulez pas que je me marie.  Est-ce que je ne suis pas fille comme vous ? ')","('#colombine', 'Je lui dis...  Me promettez-vous que vous ne vous mettrez pas en colère ?')",0.81,Substitution
79,"('#isabelle', ""Une petite fille qui n'a pas quinze ans, donner à corps perdu au travers du mariage ! "")","('#pierrot', 'Ouf !  Gare la civilité !')",1.51,Substitution
80,"('#colombine', ""Mon_Dieu !  Je vous dis, encore une fois, que j'ai plus d'âge qu'il ne faut ; mais puisque vous me trouvez trop jeune, faisons une chose ; vous avez quatre années plus que moi, donnez-m'en deux ; cela ne gâtera rien ni pour l'une, ni pour l'autre. "")",,1.0,Insertion
81,"('#isabelle', ""Allez, allez ; vous ne savez ce que vous dites. Vous me croyez bien embarrassée de trois ou quatre années que j'ai plus que vous ; mais je veux bien que vous sachiez que pour dix ans de moins je ne voudrais pas être faite comme vous, ni de corps, ni d'esprit."")","('#colombine', ""Je lui dis qu'il n'avait qu'à se coucher dans mon lit."")",1.5,Substitution
82,"('#pierrot', ""Qu'est-ce donc, mesdemoiselles ?  Voilà bien du bruit : il me semble que vous vous flattez comme chiens et chats.  Est-ce que vous ne sauriez vous égratigner plus doucement ? "")","('#pierrot', 'Par civilité ?  Ma foi, monsieur, vous avez là une soeur bien élevée.')",1.33,Substitution
83,"('#colombine', ""Pierrot, c'est ma soeur qui se fiche : elle veut qu'il n'y ait de mari que pour elle. "")","('#mezzetin', ""Oh !  Ma soeur sait vivre ; ce n'est pas là un grand malheur...  Tu allas coucher dans une autre chambre ?"")",1.38,Substitution
84,"('#pierrot', 'Ho !  La goulue ! ')",,1.0,Insertion
85,"('#isabelle', ""Viens çà, Pierrot ; toi qui es un homme d'esprit, et qui sais le monde, n'est-il pas du dernier bourgeois de marier plus d'une fille dans une maison, et ne devrais-je pas déjà l'être ? "")","('#colombine', ""Bon !  Je n'en fus pas la maîtresse : il ne voulut jamais permettre que je m'incommodasse pour l'amour de lui ; il dit qu'il serait au désespoir de m'avoir découchée, et..."")",1.0,Substitution
86,,"('#pierrot', 'Que voilà un garçon bien honnête !')",1.0,Deletion
87,,"('#mezzetin', ""Comment donc !  Qu'est-ce que cela veut dire ?"")",1.0,Deletion
88,"('#pierrot', ""Cela est vrai, et je dis tous les jours à votre père, que, s'il ne vous marie au plus tôt, vous lui ferez quelque stratagème. "")","('#colombine', ""Il me dit qu'il y avait longtemps qu'il m'aimait, qu'il voulait être mon mari ; et il m'en donna sa promesse, que j'ai encore."")",1.27,Substitution
89,"('#colombine', ""Mon pauvre Pierrot, toi qui es si joli, est-ce qu'il faut que je demeure toute ma vie fille ? "")","('#mezzetin', ""Ah, malheureuse !  Faut-il, juste ciel !...  Mais tu n'échapperas pas à ma vengeance, et..."")",0.88,Substitution
90,"('#pierrot', ""Bon !  Est-ce que cela se peut ?  Voyez-vous, mademoiselle, il faut marier les filles quand elles sont jeunes.  Ce gibier-là ne se garde pas : la mouche s'y met.  À Isabelle. "")","('#pierrot', 'Allez, monsieur, un bon mariage raccommodera tout cela.')",1.0,Substitution
91,,"('#colombine', ""Je ne vois pas qu'il y ait un grand mal de coucher avec son mari."")",1.0,Deletion
92,"('#isabelle', 'Mais aussi, est-il juste que je cède mes droits à ma cadette ? ')",,1.0,Insertion
93,"('#pierrot', ""Il est vrai que vous n'êtes encore qu'un embryon, et j'en ai vu dans des bouteilles de bien plus grandes que vous. "")",,1.0,Insertion
94,"('#colombine', ""Je conviens, Pierrot, que je suis encore petite ; mais si tu savais ce que j'ai déjà "")",,1.0,Insertion
95,"('#isabelle', 'Petite fille, vous plaît-il de vous taire ? ')",,1.0,Insertion
96,"('#pierrot', ""Hé ! Pardi, laissez-la dire.  Hé bien donc, qu'avez-vous ?  À Colombine. "")","('#mezzetin', 'Il faut tâcher de remédier à tout ceci. Entrez dans cette hôtellerie-là, et prenez garde de dire que vous me connaissez. À Colombine.')",0.45,Substitution
97,"('#colombine', ""J'ai... mais je n'oserais le dire."")",,1.0,Insertion
98,"('#isabelle', 'Vous avez raison, car vous allez dire une sottise. ')","('#pierrot', ""Ma foi, je n'en saurais revenir : voilà une fille bien civile.  Donner jusqu'à la moitié de son lit à un garçon ; la pauvre enfant !  La pauvre enfant ! Il y a ici quelques scènes italiennes."")",1.55,Substitution
99,"('#pierrot', 'Eh !  Palsangué, laissez-la donc parler : vous lui rembourrez les paroles dans le ventre. ')","('#le-valet', ""Parbleu !  Monsieur, je ne puis plus aller ; j'ai les fesses tout écorchées.  La peste soit du voyage !  On vous envoie solliciter un procès, et vous allez voir l'armée. Ghérardi jouait ce rôle à visage découvert."")",1.28,Substitution
100,"('#colombine', 'Me te moqueras-tu point de moi ? ')",,1.0,Insertion
101,"('#pierrot', 'Eh !  Non, non : dites. ')",,1.0,Insertion
102,"('#colombine', ""J'ai de la gorge, Pierrot, puisque tu le veux savoir. "")","('#monsieur-croquignolet', ""C'est que j'ai le coeur martial."")",1.86,Substitution
103,,"('#le-valet', ""Je crois que monsieur Croquignolet votre père et madame Croquignolet votre mère vont être bien surpris, quand ils verront arriver dans leur boutique monsieur Mathurin Blaise Croquignolet, leur fils l'avocat, qui vient de Flandre."")",1.0,Deletion
104,"('#pierrot', 'Oh !  Voyons cela, voyons. ')","('#monsieur-croquignolet', 'Oh !  Je le crois.')",1.36,Substitution
105,"('#colombine', ""Oh, nenni, nenni ; je ne la montre pas encore : j'attends qu'elle soit plus venue. "")","('#le-valet', 'Tous les badauds du quartier vont venir fondre dans votre boutique, pour savoir de vous des nouvelles du combat.')",1.65,Substitution
106,"('#isabelle', ""Il n'y a plus moyen de tenir à vos impertinences : je vous laisse ; et si je faisais bien, j'avertirais mon père de mettre ordre à votre conduite. "")",,1.0,Insertion
107,"('#pierrot', 'Elle est bien rudanière. ')","('#monsieur-croquignolet', ""Cela est assez drôle, da !  À un jeune praticien comme moi d'avoir déjà vu une bataille contradictoire, et d'en être revenu sain et entier."")",1.76,Substitution
108,"('#colombine', ""Oh !  Va, va, je ne m'en soucie pas.  Elle veut faire la madame, et me traiter comme une petite fille ; mais nous verrons.  Oh !  Çà, çà, Pierrot, il faut que tu me fasses un plaisir. "")","('#le-valet', ""Oh !  Parbleu, monsieur, vous pouvez aller à toutes les occasions du monde comme à celle-là, je vous suis garant que vous n'y serez jamais blessé."")",0.92,Substitution
109,,"('#monsieur-croquignolet', 'Il y faisait pourtant chaud.')",1.0,Deletion
110,"('#pierrot', 'Je ne demande pas mieux.  Ne suis-je pas fait pour faire plaisir aux filles ? ')",,1.0,Insertion
111,"('#colombine', 'Il faut que tu me portes cette lettre à ce monsieur que je trouvai dernièrement au Palais. ')","('#le-valet', 'Cela est vrai ; mais vous preniez le frais sur le mont Pagnotte, à trois bonnes portées du canon.')",1.75,Substitution
112,"('#pierrot', 'Une lettre ! ')",,1.0,Insertion
113,"('#colombine', ""Oui.  Est-ce qu'il y a du mal à cela ?  Puisque je sais écrire, pourquoi n'écrirais-je pas ? "")","('#monsieur-croquignolet', ""Je n'y allais pas pour m'y faire tuer.  Quelque niais !...  Cela n'aurait pas été honnête à moi d'y mourir, et j'aurais enragé le reste de ma vie si j'étais mort là comme un sot."")",0.9,Substitution
114,"('#pierrot', 'Ah !  Vous avez raison. ')",,1.0,Insertion
115,"('#colombine', ""C'est un homme de grande condition, et on l'appelle monsieur le Vicomte. "")","('#le-valet', ""Oh !  Vous avez raison.  Mais, monsieur, gagnons pays, s'il vous plaît ; allons vite chez votre père, visiter son vin de Bourgogne ; car je sens que j'ai besoin de forces."")",1.27,Substitution
116,"('#pierrot', ""Oh !  Si c'est un vicomte, je ne dis plus rien. "")","('#monsieur-croquignolet', ""Oh !  Je n'ai garde de descendre chez mon père."")",1.43,Substitution
117,,"('#le-valet', ""Et d'où vient ?"")",1.0,Deletion
118,"('#colombine', ""Tu lui diras que je m'ennuie bien fort de ne pas le voir, et qu'il ne manque pas de me venir trouver aujourd'hui.  M'entends-tu ? "")","('#monsieur-croquignolet', ""On m'a mandé à l'armée que ma grande soeur Toinon avait la petite vérole, et je ne serais pas bien aise d'en être marqué."")",1.38,Substitution
119,"('#pierrot', ""Hé !  Oui, oui, j'entends bien, je ne suis pas sourd.  La petite masque !  C'est une belle chose que la nature !  Cela songe au mariage dès la coquille.  Il y a ici plusieurs scènes italiennes. "")","('#le-valet', ""C'est, morbleu, bien fait de conserver votre teint ; et il serait fâcheux qu'un jeune homme que le canon a respecté fût exposé au caprice d'une maladie aussi insolente.  Entrons donc dans la première hôtellerie.  Je crois que voilà notre affaire... Holà ! Il frappe à la porte d'Arlequin."")",1.2,Substitution
120,"('#brocantin', 'Quel ouvrage faites-vous là, vous ? ')","('#isabelle', 'Bonjour, messieurs : que vous plaît-il ?')",0.89,Substitution
121,"('#colombine', ""C'est une pente de mon lit ; mais je crains de la faire trop petite ; on n'y pourra jamais coucher deux. "")","('#le-valet', ""Allons, ma fille, une chambre, du feu et grand'chère.  Je m'arrête volontiers où il y a bon vin et jolie servante."")",1.43,Substitution
122,,"('#isabelle', ""Messieurs, vous allez avoir tout ce qu'il vous faut : on ne manque de rien chez nous."")",1.0,Deletion
123,,"('#monsieur-croquignolet', 'Allons, ma fille, viens me débotter. Il présente son pied botté à Isabelle.')",1.0,Deletion
124,,"('#isabelle', ""Vous débotter !  Pardi, monsieur, cherchez vos débotteuses ; ce n'est pas là mon affaire."")",1.0,Deletion
125,"('#brocantin', ""Est-il besoin, s'il vous plaît, que vous couchiez avec quelqu'un ? "")","('#monsieur-croquignolet', ""Est-ce que tu n'es pas aussi le valet d'écurie ?"")",1.45,Substitution
126,,"('#le-valet', ""Monsieur, voilà une dondon qui me paraît assez résolue ; mais il me semble qu'elle vous saboule un peu."")",1.0,Deletion
