,dancourt-metempsychose,dufresny-adieux-des-officiers,Cost,Operation Type
50,"('#bacchus', 'Hâtons-nous donc. Commençons  Par quelque grand Monologue,  Ou par de petites Chansons.  Ce que nous avons dit servira de Prologue.  Quelque danse, et puis finissons. ')",,1.0,Insertion
51,"('#jupiter', ""Votre sincérité m'offense,  Mercure, je ne puis vous le dissimuler. "")",,1.0,Insertion
52,"('#mercure', 'Et moi, je ne puis plus me faire violence.  Si mon respect pour vous me condamne au silence,  Mon zèle me force à parler. ')",,1.0,Insertion
53,"('#jupiter', 'Et de quoi votre zèle ose-t-il se mêler ?  Je vous mène dans mes voyages  Pour exécuter mes messages,  Et non pas pour me contrôler. ')",,1.0,Insertion
54,"('#mercure', ""Je vous ai dit ce que je pense,  Et c'est à vous d'ouvrir les yeux,  Vous êtes le Maître des Dieux,  Et comme tel exempt de toute dépendance ;  Mais l'Amour vous retient trop longtemps en ces lieux.  Votre séjour doit être dans les Cieux ;  Et pendant une longue absence,  Vos affaires n'y vont pas mieux.  Junon là-haut fait la diablesse à quatre. "")","('#mars', ""Mon devoir m'arrache d'auprès de vous, charmante Vénus, il faut vous quitter dans le temps que votre coeur commençait à s'ébranler pour moi ; quel contretemps ! "")",0.52,Substitution
55,"('#jupiter', ""En fait-elle moins quand j'y suis ? "")",,1.0,Insertion
56,"('#mercure', ""Le Soleil accablé d'ennuis  De ce qu'avec Vénus Mars a passé deux nuits,  Est contre lui prêt à se battre.  L'Amour s'enivre tous les jours,  Il a chanté pouille à Minerve.  Épris d'une amoureuse verve,  Vulcain danse avec les Amours.  Dans l'Olympe jamais on ne vit tels vacarmes,  Diane est sans pudeur, la Jeunesse est sans charmes ;  Cet étrange dérangement  A gagné jusqu'au Firmament.  La révolte est partout, les Étoiles errantes  Lassées de trop courir veulent se reposer,  Les fixes osent proposer  Que pour les divertir on les rende courantes.  La Lune dans la nuit refuse d'éclairer ;  Momus ennuyé de médire,  Devient Panégyriste et quitte la satire. Les Ris sont tous prêts à pleurer ;  Et Jupiter ne songe ici qu'à folâtrer,  À faire le galant, à soupirer, à rire. "")","('#venus', ""Hélas, je suis bien plus à plaindre que vous !  J'ai tout à craindre de votre inconstance ; et une campagne endurcit bien le coeur d'un guerrier."")",0.9,Substitution
57,"('#jupiter', ""Je vois bien qu'il est temps de n'y plus demeurer :  Quelque charmant objet qui m'y retienne,  Il faudra que sur moi je prenne  Pour un temps de m'en séparer. "")",,1.0,Insertion
58,"('#mercure', ""C'est bien dit, faisons diligence,  Le temps nous presse. "")","('#le-tambour', ""Il faut, s'il vous plaît, abréger vos dialogues ; vous n'avez que le temps de venir payer votre hôtesse. Bellone a déjà endossé son habit de postillon, elle sera ici dans un moment avec votre chaise de poste. "")",1.01,Substitution
59,"('#jupiter', ""Oh ! Patience,  Le désordre là-haut facile à réparer,  Un seul moment de ma présence  Dans l'ordre fera tout rentrer.  Mais ici je te puis parler en confidence,  Je crains quelque accident de pire conséquence. "")","('#mars', ""Va voir s'il ne manque rien à mon équipage, et laisse-moi profiter de quelques moments que la gloire veut bien accorder à ma tendresse. "")",0.6,Substitution
60,"('#mercure', ""Hâtez-vous donc de me le déclarer ;  Dans vos sec rets en conscience,  Sans votre aveu je n'ose pénétrer. "")",,1.0,Insertion
61,"('#jupiter', 'Du plus charmant objet qui soit dans la nature,  Tu sais bien que je suis épris. ')",,1.0,Insertion
62,"('#mercure', ""Hé ! N'ai-je pas, moi-même, embarqué l'aventure ?  Mais un peu trop longtemps cette passion dure,  Et c'est de quoi je suis surpris. "")",,1.0,Insertion
63,"('#jupiter', 'Ma constance étonne Mercure ? ')",,1.0,Insertion
64,"('#mercure', ""Très fort même, je vous assure.  Prompt à vous laisser enflammer  Par le mérite des mortelles,  Je vous ai vu pour vous en faire aimer,  Prendre mille formes nouvelles ;  Mais au bout de quelques instants,  En Amant bien sensé vous faisiez mieux les choses :  Et chez vous les Métamorphoses,  Aussi bien que l'Amour ne duraient pas longtemps. "")","('#le-tambour', ""Votre équipage est complet, il ne vous manque rien que de l'argent ; mais, madame Vénus y pourvoira.  À propos, pendant que je suis dans le magasin de Vulcain, je vais vous choisir deux bons éperons de longueur, car je me souviens que votre cheval est toujours rétif quand il faut sortir de Paris. "")",0.87,Substitution
65,"('#jupiter', ""L'Amour ne me portait qu'une légère atteinte,  J'étais alors plus libertin qu'amant,  Et d'un trop long déguisement  J'évitais ainsi la contrainte.  Je me suis fait, serpent, cygne, taureau,  Mais honteux de telle figure,  Je me hâtais de brusque l'aventure,  Et ne changeais d'objet que pour changer de peau. "")",,1.0,Insertion
66,"('#mercure', ""Aujourd'hui dans celle où vous êtes,  Vous vous aimez bien mieux apparemment,  Et le plaisir que vous vous faites  De n'en sortir que lentement. "")",,1.0,Insertion
67,"('#jupiter', ""Je t'en fais le juge, toi-même,  Pour plaire à la beauté que j'aime,  En riche partisan je me suis travesti,  Malepeste, le bon parti !  Aux Dieux même il doit faire envie.  Je n'ai jamais rien fait de plus sage en ma vie.  À peine me suis-je montré  L'oeil brillant, le teint frais, la bourse bien garnie,  Avec moi Plutus est entré,  Les ris, les jeux nous faisaient compagnie :  Quelques moments après chacun s'est retiré.  Auprès de l'aimable bergère,  Presque seul je suis demeuré.  Une tante vieillotte, et qui lui sert de mère,  Fort bonne personne à mon gré,  Avec nous seulement pour la forme est restée. "")","('#mars', ""Tes discours m'importunent ; retire-toi. "")",0.92,Substitution
68,"('#mercure', ""À tâcher de vous rendre heureux  La tante ne s'est point prêtée ? "")","('#le-tambour', 'À voir les cérémonies que votre cheval fait pour sortir des portes, on croirait que le pauvre animal ressent la moitié de la tendresse que vous avez pour madame. ')",1.02,Substitution
69,"('#jupiter', ""Oh ! Que si fait, d'abord j'ai déclaré mes feux  Aux genoux de l'aimable nièce,  J'ai fait le soupirant, le pasteur langoureux :  Aux succès de tant de tendresse  La tante m'a paru d'abord s'intéresser ;  Moi, par égards, par politesse,  Je n'ai point voulu trop presser. "")",,1.0,Insertion
70,"('#mercure', 'Je ne vous connais plus, vous devenez tout autre ;  Sur un tel changement il faut se récrier ;  La tante a bien fait son métier,  Mais vous avez mal fait le vôtre. ')",,1.0,Insertion
71,"('#jupiter', ""Je veux un peu goûter le plaisir d'être Amant :  Autrefois de mainte Maîtresse  J'ai triomphé trop aisément ;  C'est un bonheur pour moi tout nouveau, tout charmant  D'aimer avec délicatesse. "")","('#mars', 'Hé, laisse-nous en paix. ')",1.34,Substitution
72,"('#mercure', ""Vous filez le parfait amour  Auprès d'une beauté de tout point accomplie,  Et dans les plus beaux lieux qui soient en Thessalie,  Ayant fixé votre séjour,  Tout vous plaît, rien ne vous ennuie ;  Et vous vous promettez qu'un jour  Vous règnerez dans le coeur de la belle. "")","('#le-tambour', ""Vous souvient-il du tour qu'il vous joua en revenant de Flandres, comme nous sortions de cette hôtellerie... là... où vous devîntes amoureux de la servante ? "")",0.87,Substitution
73,"('#jupiter', 'Ai-je jamais fait de cruelle ? ')","('#mars', 'Te tairas-tu maraud ? ')",0.98,Substitution
74,,"('#le-tambour', 'Il faut les laisser seuls : le jour du départ on a mille choses à se dire.  Mais voilà Bellone, dépêchez-vous. Vers Mars.')",1.0,Deletion
75,"('#mercure', ""Tôt ou tard vous serez content ;  Mais enfin sûr d'être aimé d'elle,  Que craignez-vous en la quittant ? "")","('#bellone', ""Partez, partez, Mars, il est temps ;  Les plaisirs du printemps  Sont indignes de vous ; allez porter la guerre. Aux deux bouts de la terre.  Laissez en paix, au moins pendant six mois,  Nos ménages bourgeois,  C'est le seul bien que vous leur puissiez faire,  Rien n'est si doux  Pour un jaloux  Que votre absence :  Mais vos adieux,  En récompense,  Sont bien dangereux. "")",0.93,Substitution
76,"('#jupiter', ""Qu'un autre ne le soit autant ;  C'est peu d'en être aimé, je la voudrais fidèle ;  Et c'est un point très important,  Pour moi qui veux être constant. "")","('#vulcain', ""Le ciel soit loué !  Voilà Bellone qui va délivrer ma maison de ce grand pendard de Mars.  C'est le plus grand maraud !  Cependant, parce qu'il a de la bravoure, et que je suis naturellement poltron, j'ai mille complaisances pour lui.  Il me prend pourtant envie de venger mon front sur le sien.  Mais, non, c'est un brutal qui n'entend pas raillerie, différons la vengeance jusqu'à ce qu'il soit parti.  Il aime tendrement ma femme, et je ne puis mieux me venger de lui, qu'en rossant ce qu'il aime.  Pour le présent, le plus sûr est de travailler comme si de rien n'était.  Il lève son marteau. Vulcain frappe sur son enclume dans le temps que Mars et Vénus parlent ensemble."")",0.9,Substitution
77,"('#mercure', 'Faunus vient. ')",,1.0,Insertion
78,"('#jupiter', 'Que veut-il ? ')",,1.0,Insertion
79,"('#faunus', ""Dans la forêt prochaine,  Seigneur, Junon sans suite et toute hors d'haleine,  Du Ciel en ce moment ici vient d'arriver. "")",,1.0,Insertion
80,"('#mercure', 'Voilà de quoi nous achever. ')",,1.0,Insertion
81,"('#jupiter', 'Le fâcheux contretemps ! ')",,1.0,Insertion
82,"('#faunus', ""Je la crois informée  Des raisons qui vous font demeurer parmi nous ;  Elle paraît diablement animée,  Et ce sera bien fait d'éviter son courroux. "")","('#un-amour', ""Vive la prudence  Du grand dieu Vulcain :  Il voit qu'on l'offense,  Et va toujours son train.  Suivez cet usage,  Mortels indiscrets,  Dans votre ménage  Vous aurez la paix  Vive la prudence  Du grand dieu Vulcain :  Il voit qu'on l'offense,  Et va toujours son train. "")",0.69,Substitution
83,"('#jupiter', ""Je sens à dire vrai, ma tendresse alarmée,  De la savoir si près d'ici. "")",,1.0,Insertion
84,"('#mercure', ""J'en suis pour vous fort inquiet aussi. "")",,1.0,Insertion
85,"('#faunus', ""Pour l'objet de votre tendresse,  Seigneur, n'ayez aucun souci,  Je doute qu'elle la connaisse ;  Comus, Plutus, Mercure et moi,  Sommes seuls de la confidence,  Et tous quatre, comme je crois,  Avons su garder le silence. "")","('#venus', ""Petit mari ? Moutonnet, mignon, tu fais plus de bruit aujourd'hui qu'à l'ordinaire. Vulcain tourne la tête sans rien dire et frappe toujours. "")",1.26,Substitution
86,"('#jupiter', ""Puisque ma femme est en ces lieux,  C'est pour m'en éloigner une raison puissante. "")",,1.0,Insertion
87,"('#mercure', 'Et tout-à-fait déterminante :  Nous allons donc partir pour retourner aux Cieux. ')",,1.0,Insertion
88,"('#jupiter', ""Vole, part le premier, Mercure,  Et dans le céleste séjour,  Dépêche-toi d'annoncer mon retour,  Je te suivrai dans l'instant, je te jure.  Mercure s'envole."")","('#vulcain', ""C'est que je frappe de rage. Il continue de frapper."")",1.67,Substitution
89,"('#faunus', ""Ce départ semble vous fâcher.  Laissez-moi faire, allez, sur ce qui vous regarde  J'aurai soin de veiller, que rien ne vous retarde. "")","('#venus', 'Mon petit fils, frappe donc plus doucement, si tu veux épargner ma tête.')",1.15,Substitution
90,"('#jupiter', ""Observe l'objet qui m'est cher,  C'est un dépôt que je te donne en garde. "")","('#vulcain', ""Tu n'épargnes guères la mienne, toi, carogne. Il frappe encore."")",1.11,Substitution
91,"('#faunus', 'Junon aura beau la chercher. ')",,1.0,Insertion
92,"('#jupiter', ""Je sens en m'éloignant à quoi je me hasarde,  À d'autres qu'à Junon il faudra la cacher,  De quelque feu secret je la crois prévenue. "")",,1.0,Insertion
93,"('#faunus', 'Je vous réponds de la garder à vue. ')",,1.0,Insertion
94,"('#jupiter', ""En maîtresse d'homme important,  Attendant mon retour, je prétends qu'on la traite.  Je veux… "")",,1.0,Insertion
95,"('#faunus', ""Parlez, c'est une affaire faite. "")",,1.0,Insertion
96,"('#jupiter', ""Qu'elle ait Maître d'Hôtel, Écuyer, Intendant,  Force Valets, grand équipage. "")",,1.0,Insertion
97,"('#faunus', 'Pour une fille simple, élevée au village,  Dans le grand monde depuis peu ;  Voilà bien du fracas. ')",,1.0,Insertion
98,"('#jupiter', 'Grande chère et beau feu,  Je le veux. ')",,1.0,Insertion
99,"('#faunus', 'Soit, vous êtes bon et sage. ')","('#mars', ""En vérité, monsieur Vulcain, vous n'avez guères de considération pour les femmes."")",1.2,Substitution
100,"('#jupiter', ""J'en ferais moins si je n'étais qu'un Dieu,  Mais comme homme en crédit, parbleu,  Il en faut faire davantage,  Afin de mieux cacher mon jeu. "")",,1.0,Insertion
101,"('#faunus', ""J'aperçois votre belle. "")","('#vulcain', 'Ni vous pour les maris, monsieur Mars. Il frappe toujours.')",1.74,Substitution
102,"('#jupiter', 'Il faut lui dire adieu ;  Car je ne puis lui cacher mon voyage. ')",,1.0,Insertion
103,"('#corine', ""Aujourd'hui de ces lieux on dit que vous partez,  Quelle raison vous en écarte ? "")","('#mars', 'Mais vraiment, vous ne songez pas que vous donnez des vapeurs à madame ?')",1.39,Substitution
104,"('#jupiter', ""Oui, Corine, il faut que je parte,  Ici l'Amour et vous, en vain vous m'arrêtez. "")",,1.0,Insertion
105,"('#corine', ""L'amour sans mon aveu se sert de ma puissance,  S'il prend soin de vous arrêter. "")","('#vulcain', 'Si je lui donne des vapeurs, vous prenez bien soin de les guérir, vous. Il frappe encore.')",0.99,Substitution
106,"('#jupiter', ""Quand vous ne me marquez que de l'indifférence,  Dois-je un seul moment hésiter  À bannir de votre présence  Un amant dont l'ardeur vous gêne et vous offense,  Et que votre fierté s'obstine à maltraiter ? "")","('#mars', 'Par la sambleu, si vous ne cessez de frapper...')",1.45,Substitution
107,"('#corine', ""Malgré les plus doux soins, la plus longue constance,  N'attendez jamais de moi  Ni faiblesse, ni complaisance.  Vous ne pourriez jamais vaincre ma résistance,  En m'offrant même votre foi. "")","('#vulcain', ""Monsieur Mars, je vous demande pardon, mais ma besogne presse, et j'ai une nouvelle baguette de Vulcain de commande, que je dois livrer aujourd'hui aux comédiens."")",1.57,Substitution
108,"('#jupiter', ""Vous changerez d'humeur et de langage ;  Nous autres gens du plus sublime étage,  Sommes-nous donc des épouseurs ?  Rayez cela de vos papiers, d'ailleurs  L'hymen est moins charmant qu'un tendre badinage ;  Certains engagements ne nous sont point permis :  Qu'un grand Seigneur ait la folie  Se s'engager et faire un bail à vie !  Dans le haut rang où le Ciel nous a mis,  Trop heureuse, qui peut nous avoir pour amis. "")","('#mars', ""Quand je serai parti, vous forgerez tant qu'il vous plaira."")",0.92,Substitution
109,"('#corine', ""Ces sentiments, ces superbes manières,  Ne trouveront jamais le chemin de mon coeur.  Qui s'estime trop ne plaît guères ;  Chez nous les plus simples Bergères,  N'aiment point les airs de hauteur. "")","('#vulcain', ""Monsieur, notre grand débit se fait avec les officiers.  Sitôt que vous les aurez emmenés à l'armée, il faudra mettre les baguettes de Vulcain aux vieilles ferrailles."")",1.54,Substitution
110,,"('#mars', ""Ce serait dommage de laisser inutile un instrument qui va chercher l'or jusques dans les entrailles de la terre."")",1.0,Deletion
111,"('#jupiter', ""Alors, c'est aux amants vulgaires,  À craindre une longue rigueur :  Les soins, les présents, en douceur  Changent le courroux des plus fières,  L'amour succède à la fureur.  Nous trouvons tous les jours cent maîtresses pour une,  Et nous devons notre bonheur  À l'amour moins qu'à la fortune.  Attendez-moi dans ce charmant séjour,  Et comptez que de mon retour, Je prendrai soin de hâter la journée. "")","('#vulcain', ""Les baguettes qui ne font que chercher l'or sont contrefaites, les véritables l'attirent ; et j'en connais une qui en trois mois a fait venir plus de vingt mille écus à l'hôtel de Bourgogne.  Mais vous me faites perdre ici mon temps mal à propos.  J'ai trop la vogue pour m'amuser à parler gratis, et avec les Parisiens il faut battre le fer quand il est chaud.  Tous ce que je puis faire pour adoucir le bruit des marteaux, c'est de chanter en travaillant.  Il frappe toujours."")",0.03,Substitution
112,"('#corine', ""De la fortune et de l'amour,  N'attendez rien même avec l'hyménée ;  Cherchez en voyageant quelque autre objet. "")",,1.0,Insertion
113,"('#jupiter', ""Hé bien !  Je ne veux point ici disputer davantage,  Et ne m'offense point de vous trouver trop sage ;  Mais quand je reviendrai, sans m'engager à rien,  Peut-être pourrons-nous trouver quelque moyen  En habillant l'amour comme le mariage,  De mettre votre honneur d'accord avec le mien.  Tu vois bien ce que j'appréhende,  Et ce que je te recommande.  À Faunus."")","('#mars', ""Madame, puisqu'il nous empêche de parler bas, il mériterait bien que vous me fissiez une déclaration d'amour, si haut qu'il l'entende. "")",0.53,Substitution
114,"('#faunus', 'Cela se devine aisément. ')",,1.0,Insertion
115,"('#jupiter', 'Adieu mon cher, adieu charmante. ')",,1.0,Insertion
116,"('#corine', ""Jusqu'au revoir. "")",,1.0,Insertion
117,"('#faunus', ""L'absence d'un amant  Va vous rendre ici peu contente. "")",,1.0,Insertion
118,"('#corine', 'Je ne me livre pas aux chagrins aisément. ')",,1.0,Insertion
119,"('#faunus', 'Nous avons à peu près même tempérament ;  Quand le moindre ennui se présente,  Je le bannis dès le moment.  Quelque part où je sois point de mélancolie,  Je me livre avec joie aux plaisirs les plus doux.  Votre amant part, il fait une folie,  Vous voilà seule, à quoi nous divertirons-nous ? ')","('#vulcain', ""Si ma femme a la rage  De le dire si haut,  Je repousse l'outrage  À grands coups de marteau,  Je frapperai tant... tant... Il veut frapper Mars. "")",1.48,Substitution
120,"('#corine', ""À ce qu'il vous plaira. "")","('#mars', 'Plaît-il ?')",1.39,Substitution
121,"('#faunus', ""Mais avec votre suite :  Car pour recevoir de visite,  Néant ; à l'empêcher, je me suis engagé. "")","('#vulcain', ""Sur mon ouvrage,  Que je n'entendrai rien  De tout votre entretien. "")",1.12,Substitution
122,"('#corine', ""C'est donc vous que de ma conduite,  En s'éloignant on a chargé. "")",,1.0,Insertion
123,"('#faunus', ""Justement, c'est l'emploi que j'ai,  Trouvez bon que je m'en acquitte. "")",,1.0,Insertion
124,"('#corine', ""Quand moi-même j'aurais pris soin de vous choisir,  Je n'aurais pu mieux faire ; un homme de mérite,  Qui n'aime qu'à faire plaisir. "")",,1.0,Insertion
125,"('#faunus', ""Oui, c'est mon seul objet, mon unique désir. "")",,1.0,Insertion
126,"('#corine', ""Dans l'état où je suis réduite,  Une tendre pitié doit vous intéresser. "")",,1.0,Insertion
