,schelandre-tyr-sidon-i,schelandre-tyr-sidon-ii,Cost,Operation Type
10,"('#leonte', ""Mais c'est un préjugé..."")","('#meliane', ""Mais sa modeste humeur, n'est-ce pas un bon frein ?"")",1.49,Substitution
11,"('#phulter', ""Qui n'a rien de certain."")","('#almodice', ""Comment s'abstiendrait-il, ne le pouvant vous-même ?"")",1.53,Substitution
12,"('#leonte', 'Voulez-vous que du sort les erres je refuse ?')","('#meliane', ""Pourrai-je à moins de frais témoigner que je l'aime ?"")",1.06,Substitution
13,,"('#almodice', ""La fille plus que l'homme appette ce plaisir."")",1.0,Deletion
14,,"('#meliane', ""La fille mieux que l'homme apaise un tel désir."")",1.0,Deletion
15,,"('#almodice', 'Tous deux sont maitrisés de naturelle rage.')",1.0,Deletion
16,"('#phulter', 'Non, mais que prudemment votre conseil en use, Et que, sans triompher de ces légers succès, Nous réservions la joie à la fin du procès.')","('#meliane', ""Parlez-vous d'une louve, ou d'une fille sage ? Toutes sont d'une chair sujette à caution. Moi-même, décrépite, ai cette passion, Et comment la jeunesse en serait-elle exempte ? Enfin la plus sévère et la plus suffisante Consentirait au mal (la prenant sur le vert), Pourvu qu'elle crut bien qu'il demeurât couvert. Las ! Madame, plutôt se darde le tonnerre Sur mes cheveux grisons, et m'engouffre sous terre, Qu'il avienne par moi quelque faute de vous : Par moi, je parle ainsi, car seule d'entre tous J'ai reçu et caché vos secrets en fiance, Espérant voir la paix naître en votre alliance. Pour ce vous ai-je aidé."")",0.37,Substitution
17,"('#leonte', 'Je ne vous vois jamais en humeur trouble-fête.')",,1.0,Insertion
18,"('#phulter', 'Je ne vous vois jamais un tel lutteur en tête.')",,1.0,Insertion
19,"('#leonte', ""Tant plus ai-je d'honneur en l'allant aborder."")","('#meliane', ""Quoi donc ? Pour l'avenir Voulez-vous au besoin vos bienfaits retenir ? Me refuserez-vous, ô ma mère, m'amie, De convier ici le soulas de ma vie ? Je ne veux que le voir."")",0.7,Substitution
20,,"('#almodice', ""J'aurais perdu mes pas, Puisque j'ai commencé, si je n'achevais pas. Je m'en vais le trouver, mais gardez la barrière."")",1.0,Deletion
21,,"('#belcar', 'Marche à ta malencontre, infernale courrière. Ma reine, Dieu vous gard[e].')",1.0,Deletion
22,"('#phulter', 'Mais tant plus de sujet de ne rien hasarder.')","('#meliane', 'Mon prince, que les cieux Secondent vos desseins toujours de mieux en mieux.')",1.66,Substitution
23,"('#leonte', ""De l'excès de prudence un brave coeur se moque, Il faut, c'est trop attendre, il faut que je le choque, Ce grand entrepreneur, cet homme tant vanté De bonheur, de courage, et de capacité, Belcar, à qui mon père, un vrai foudre de guerre, N'a jamais su ravir un seul pouce de terre, À qui j'ai destiné les effets de mon bras, Jaloux de son honneur dès mon âge plus bas. C'est où tend le désir de mon âme échauffée, Qu'un si digne ennemi me fournisse un trophée, Qu'en funestes cyprès transformant ses lauriers, J'enrichisse mon nom de ses exploits guerriers ; Ou, si le destin veut que d'une mort vaillante Je rende à ce combat sa gloire plus brillante, Je ne saurai choisir une plus brave main Pour m'adoucir le coup du trépas inhumain. Bref, voilà l'espérance où mon humeur se baigne ; Des villes, des trésors, que j'en perde ou j'en gagne, Il m'est indifférent ; mon seul but est l'honneur, Ainsi que le plaisir est celui du veneur. Vois-je pas un héraut qui vers nous s'achemine ? C'est pour nous défier, il m'en porte la mine. Parlez, mon grand ami, ne soyez étonné."")","('#belcar', ""Ah ! Ce n'est pas du ciel, mais de votre largesse, Que j'attends mes plaisirs, ma gloire et ma richesse ; Pour être bienheureux, belle, votre Belcar Préfère vos faveurs aux douceurs du nectar."")",0.18,Substitution
24,,"('#meliane', 'Si mes faveurs avaient pour vous cette puissance, Tous vos souhaits seraient en votre obéissance ; Jugez quelle faveur je vous puis refuser, Moi qui tiens à faveur de vous favoriser. Que demandez-vous plus, mon cher coeur ? Je vous aime, Je vous aime surtout, je dis plus que moi-même.')",1.0,Deletion
25,"('#le-herault', ""Je ne le fus jamais, prince heureux et bien né, Car j'ai trop d'assurance au chef qui me commande. Belcar expressément, ô Léonte, vous mande Qu'alors qu'il refusait vos désirs pleins de vent, Il reculait un peu pour sauter plus avant ; Maintenant il vous offre, en bataille rangée, La palme qui doit être au vainqueur adjugée ; Que demain, s'il vous plait, dès que l'astre du jour Effacera le teint aux étoiles d'autour, Vous fassiez battre aux champs et vous mettiez en montre Pour à moitié chemin lui venir à rencontre."")","('#belcar', ""Discours plus gracieux que l'obligeante voix Dont Vénus entretient les grâces quelquefois. L'accord mélodieux des bandes emplumées Qui, dans le vert naissant des nouvelles ramées, Chantent l'épithalame et les amours divers De tout ce que Nature anime en l'univers, Ne se peut comparer à la douce parole Qui de ces lys du sein par ces oeillets s'envole. Belles fleurs de bien dire, à la source du ris, Prêtez à mon souci votre gai coloris Comme vous contentez mon oeil et mon oreille, Permettez à ma bouche une faveur pareille : Souffrez qu'en vos odeurs, comme une mouche à miel, Je suce l'ambrosie et la manne du ciel ; Si nous ne respirons vous et moi qu'une vie, Qu'entre mille baisers notre haleine s'allie."")",0.04,Substitution
26,,"('#meliane', ""Tout beau, mon cher ami ! Souvent ces doux appas Nous attirent un mal que l'on ne prévoit pas. Retranchons ce plaisir, quoi qu'il nous soit licite, Craignant que plus avant notre amour il n'incite."")",1.0,Deletion
27,"('#leonte', ""Dis-lui que ses délais ont déjà rabattu Du splendide renom qui dorait sa vertu. Il est encor matin : qu'il marche dès cette heure ; Il faut avant la nuit ou qu'il fuie ou qu'il meure. Va donc, dépêche-toi, nous n'avons que tarder."")","('#belcar', ""Si ce refus, Madame, était de votre crû ( Chose que, sans mentir, à peine j'eusse cru ) Je le supporterais comme un léger supplice De ma témérité dont vous êtes complice, ( Car je mériterais d'être plus maltraité Si je n'avais pour moi votre excès de bonté, ) Je tiens telle faveur si loin de m'être due Que je suis criminel de l'avoir prétendue : Ce rebut est donc juste, et celle qui le fait. Mais, sachant quelle cause a produit cet effet, Une langue hypocrite, en qui ma foi trahie N'eut fondé nul soupçon si je ne l'eusse ouïe, Quel homme ne serait estimé trop souffrant S'il ne se courrouçait, telle injure s'offrant ? Permettez, s'il vous plaît, Madame, que je die Que je suis méfiant de quelque tragédie. Le présage en soit faux ! Mais j'ai crainte qu'un jour Ce squelette vivant nous face un mauvais tour. On se devrait servir d'une femme en tel age Non pour un chaste hymen, mais pour maquerellage : Car, si le vice même avoit forme de chair, En ceste affreuse vieille on le pourrait cercher. Aussi (comme on le dict) le tissu de sa vie Est tout d'ambition, d'avarice et d'envie."")",0.69,Substitution
28,"('#le-herault', 'Je retourne au galop.')",,1.0,Insertion
29,"('#leonte', ""Sus, allez commander Que l'on sonne à cheval, qu'avec ordre on s'avance, Qu'on arrange nos gros en toute diligence. Suivez de point en point le plan par nous tracé ; J'irai dès que j'aurai mon harnais endossé."")","('#meliane', ""Non, ne vous fâchez point ; ce qu'elle m'en a dit A bien quelque raison, mais n'a pas grand crédit, Car mieux qu'elle ne croit à mes sens je commande : Or bien, je me soumets selon votre demande, Faites la mienne aussi, mon coeur, apaisez-vous."")",0.55,Substitution
30,"('#abdolomin', ""Ô filles de la nuit, inexorables parques, Qui, des moindres pasteurs et des plus grands monarques Filant les ans divers sur eux exécutés, Les éternels destins dans le ciel projetés, D'où vient, malignes soeurs, que vos funestes forces Retranchent tout_à_coup des plus jeunes les forces ; De ceux le plus souvent moissonnent le printemps Qui devraient et voudraient respirer plus longtemps, Et ceux qui, saouls des biens, las des maux de ce monde, N'ont autre ambition qu'une fosse profonde, On les voit tous courbés, malsains et mal plaisants, Traîner à contre-coeur le fardeau de leurs ans ? Ô mort ! Que tardes-tu que tu ne viens dissoudre Cette inutile chair en sa première poudre ? Que me peut-il rester à dévider ici De repos, de travail, de joie ou de souci ? Ai-je quelque plaisir ? Sens-je quelque amertume Que l'usage commun ne me tourne en coutume ? N'ai-je point assez vu les détours et retours De la reine sans yeux qui domine en nos jours Au gré du vent muable et de l'onde flottante ? Peut-elle plus forger sur sa boule inconstante Un sort doux ou fâcheux que je n'ai éprouvé ? Ou bien, si quelque choc m'est encor réservé, Que je ne prévois point (car son ire attisée De malheurs tous nouveaux ne peut être épuisée), Ravi-moi, douce mort, et rends d'un coup de faux Invisible ma cendre à ses derniers assauts. Ha ! Si, comme l'on croit, et facile et glissante Était à tous venants d'Averne la descente, Le mortel ici-bas braverait les malheurs Et n'attendrait jamais des extrêmes douleurs. « On ne doit de tout point appeler misérable Qui peut prendre à propos un trépas honorable. » Si les secrets chaînons qui jusqu'à ce jourd'hui Ont accroché mon âme en son fragile étui Se pouvaient élargir sans l'expresse ouverture Du grand maître qui tient l'empire de nature, Jà dès maintes moissons s'étendraient en repos Sous la poudreuse tombe et mes maux et mes os. « Vivre à qui veut mourir n'est pas moins un martyre Que mourir est fâcheux à qui vivre désire » Humains infortunés, las ! D'où vient que toujours Vos plus ardents souhaits rencontrent à rebours, Et que ceux d'entre vous auxquels semblent mieux rire Les plus âpres desseins où leur travail aspire Enfin n'y trouvent pas, en étant possesseurs, Ce qu'ils s'y promettaient de biens et de douceurs ? Car, tant que vous vivez, vos âmes non contentes Ne conçoivent, chétifs, que nouvelles attentes, Et parmi tant d'objets dont l'amour vous époint, Vous prisez toujours plus ce que vous n'avez point. Mais le plus vain désir dont s'abusent tant d'hommes, C'est dans l'ambition des grandeurs où nous sommes, Rois gênés de soucis, qui parmi nos honneurs Sommes toujours en butte aux chagrins et frayeurs. Ô cent fois plus heureux ceux qui passent leurs âges À guider un troupeau sur l'émail des herbages ! Si leur sceptre n'est d'or, mais de frêne ébranché ; Si leur corps n'est de pourpre, ains de toile caché ; Si pour mets plus exquis ils ont leur panetière, Leur hutte pour palais, la paille pour litière, Pour leur suite un matin ; si leur nom n'est connu Qu'en un chétif hameau dont leur tige est venu, Aussi sont-ils exempts de la mordante envie ; Leur âme en bas état est d'honneur assouvie ; Ils dorment en repos, sans crainte et sans soupçons ; On n'espionne pas leurs humeurs et façons ; Ils n'ont à contenter tant d'avides sangsues Qui briguent dans les cours des pensions indues ; Ils sont pleiges d'eux seuls, et ne sont obligés De répondre en autrui du droit des mal-jugés ; Ils n'ont soin des méfaits dont ils ne sont pas cause, Le fardeau d'un État sur leur dos ne fait pause, Ils ne sont appelés, par blâmes différents, Si paisibles, couards ; si justiciers, tyrans. « Plus un mortel est grand, plus grande est sa ruine Quand le sort impiteux contre lui se mutine ; Plus grands sont ses malheurs, plus aussi ses péchés Sont du babil piquant d'un vulgaire toucher. » Misérable maîtrise, ou plutôt servitude, Qui nous fait grisonner par son inquiétude ! Ô dangereux bandeau, dont tout homme chargé Outrage ses voisins ou s'en voit outragé, Si bien que l'un répugne à l'âme juste et sage, L'autre pousse en fureur un généreux courage ! Depuis qu'un vieil ami du vainqueur Macédon Mit en mes simples mains le sceptre de Sidon, Combien ai-je tâché d'ombrager mes contrées Sous l'aile de la paix, si longtemps désastrées ! Paix, la fille du ciel, la mère des vertus, Le juste cavesson des mutins abattus, Nourrice des bons arts, saint noeud de concordance, Trésor de tout bonheur, et corne d'abondance ; Paix qui, peuplant la terre en dépit de la mort, Rend herbeux et désert le charontide port : Ô paix ! Mon cher désir, qu'ai-je fait pour t'atteindre Et pour ce grand brasier dans mon terroir éteindre ? Qu'ai-je fait pour changer nos douleurs en soulas, Nos corselets en socs, en faux nos coutelas ! J'en atteste aujourd'hui les majestés suprêmes."")","('#belcar', ""Ô baisers ravissants, non moins puissants que doux ? Mars, si vous l'assailliez au plus chaud de la guerre, Jetterait sa colère et ses armes à terre ; Vos charmes sont si forts qu'ils pourraient arrêter Un trait demi-lâché du bras de Jupiter."")",0.33,Substitution
31,,"('#meliane', ""J'entends quelque rumeur. C'est ma soeur, ce me semble, Elle rentre tout court, nous ayant vus ensemble."")",1.0,Deletion
32,"('#balorte', ""Sire, tout l'univers, vos adversaires mêmes, Vous le confesseront, et que par piété Vous mettiez en avant un trop libre traité ; Voire quittant du vôtre, encore que pour l'heure D'entre ses régions vous teniez la meilleure."")","('#cassandre', ""Doncques, ce grand soupçon, qui, toujours me gênant, Me balançait en doute, est failli maintenant ; J'ai vu (las ! J'ai trop vu) cette maudite paire Se flatter librement d'une voix haute et claire Et s'entre-mignarder de baisers amoureux : Ah ! Que de mon martyre ils triomphent heureux ! Que ferai-je, pauvrette ? Où prendrai-je la voie Qui par moins de douleur au Cocyte m'envoie, Sous l'ombrage muet des myrtes et cyprès, Où des forçats d'amour les éternels regrets Ramentoivent les coups de fortune ennemie ? Car pourrais-je encor vivre avec cette infamie Qu'à mes justes désirs tout espoir soit ôté Pour ma cadette en âge aussi bien qu'en beauté ? Qu'ai-je aperçu, bons dieux ? Une fille sans crainte Baiser son Adonis entre ses bras éteinte ! J'en rougis pour toi-même, ô louve sans pudeur, Et d'une telle audace admire la grandeur. Quoi ? Si je voulais être à vous nuire aussi prompte, Comme de mes soucis vous faites peu de compte, Ha ! Que je pourrai bien, malavisés amants, Détruire vos desseins jusques aux fondements, En décelant au roi (ce que je devrais faire) Votre amour clandestine aux lois d'honneur contraire : Mais folle, hélas ! Je crains de perdre quant et toi Mon ennemi, que j'aime autant et plus que moi, Tant je porte respect à celui qui me tue ! Car j'ouvrirais mon flanc d'une lame pointue, Je m'étreindrais le col d'un funeste cordeau, Je sauterais d'un roc en un abîme d'eau, Plutôt que de tramer, au péril de sa vie, Ce lacs où le dépit contre toi me convie. Ô que l'on dit bien vrai ! Fortune vient aider Ceux qui sont sans vergogne âpres à demander ; Amour haït les couards ; la reine d'Amathonte Ne départit jamais ses faveurs à la honte : Qui sait si de ce pas, mes larmes essuyant, Rassemblant les rayons de mon oeil attrayant, Parant mon teint de lys et de roses mêlées. Avec tant de douceurs, qui jadis étalées Captivaient et forçaient par leurs appas vainqueurs, Mêmes sans y penser, les plus farouches coeurs ; Si, dis-je, m'accostant de l'objet qui m'enflamme, Je lui faisais sentir les désirs de mon âme, Même en le suppliant, il serait si cruel Que de me refuser un plaisir mutuel ? Les amants d'aujourd'hui ne sont pas si fidèles Qu'ils ne reçoivent bien deux différentes belles : « L'homme en toute sa vie aime le changement. » Ah ! Cassandre, où es-tu ? Ce rêver seulement Montre ta fin prochaine. Et quoi ! Sur un peut-être, Voudrais-tu bien trahir ton honneur, ton bon maître ? « L'homme cherche toujours ce qu'il voit malaisé ; Le difficile accès rend un château prisé, L'offre d'un bien sans peine en fait perdre l'envie. » Las ! Que ferai-je donc ? Puisque toute ma vie N'est plus qu'une langueur sans espoir de guérir, Pourquoi tout d'un beau coup ne me fais-je mourir ? « Le trépas le plus bref, c'est le plus tolérable. » Chaste soeur d'Apollon, soyez-moi secourable."")",0.3,Substitution
33,,"('#almodice', ""Cette fille s'afflige, et, sans dire de quoi, Souvent pour lamenter se dérobe de moi."")",1.0,Deletion
