,racine-thebaide,racine-thebaide-64,Cost,Operation Type
10,"('#eteocle', ""Non, Madame, ce n'est ni de l'un ni de l'autre. Dans son camp jusqu'ici Polynice arrêté, Pour combattre à mes yeux ne s'est point présenté. D'Argiens seulement une troupe hardie  M'a voulu de nos murs disputer la sortie.  J'ai fait mordre la poudre à ces audacieux, Et leur sang est celui qui paraît à vos yeux."")","('#eteocle', ""Non Madame, ce n'est ni de l'un ni de l'autre, Poynice à mes yeux ne s'est point présenté, Et l'on s'est peu battu d'un et d'autre côté. Seulement quelques grecs d'un insolent courage, M'ayant osé d'abord disputé le passage, J'ai fait mordre la poudre à ces audacieux, Et leur sang est celui qui paraît à vos yeux."")",0.0,Match
11,"('#jocaste', 'Mais que prétendiez-vous ? et quelle ardeur soudaine Vous a fait tout_à_coup descendre dans la plaine ? ')","('#jocaste', ""Mais pourquoi donc sortir avec votre armée, Quel est ce mouvement qui m'a tant alarmée ?"")",0.43,Substitution
12,"('#eteocle', ""Madame, il était temps que j'en usasse ainsi, Et je perdais ma gloire à demeurer ici. Le peuple à qui la faim se faisait déjà craindre, De mon peu de vigueur commençait à se plaindre,  Me reprochant déjà qu'il m'avait couronné,  Et que j'occupais mal le rang qu'il m'a donné. Il le faut satisfaire ; et quoi qu'il en arrive, Thèbes dès aujourd'hui ne sera plus captive, Je veux, en n'y laissant aucun de mes soldats,  Qu'elle soit seulement juge de nos combats :  J'ai des forces assez pour tenir la campagne, Et si quelque bonheur nos armes accompagne, L'insolent Polynice et ses fiers alliés Laisseront Thèbes libre, ou mourront à mes pieds. "")","('#eteocle', ""Madame, il était temps que j'en usasse ainsi, Et je perdais ma gloire à demeurer ici. Je n'ai que trop langui derrière une muraille, Je brûlais de me voir en un champ de bataille, Lorsque l'on peut paraître au milieu des hasards, Un grand coeur est honteux de garder des remparts. J'étais las d'endurer que le fier Polynice Me reprochât tout haut cet indigne exercice, Et criât aux Thébains afin de les gagner, Que je laissais aux fers ceux qui me font régner. Le peuple à qui la faim se faisait déjà craindre, De mon peu de vigueur commençait à se plaindre, Ma reprochant déjà qu'il m'avait couronné, Et que j'occupais mal le rang qu'il m'a donné. Il le faut satisfaire, et quoi qu'il en arrive, Thèbes dès aujourd'hui ne sera plus captive, Je veux, en n'y laissant aucun de mes soldats, Qu'elle soit seulement juge de nos combats. J'ai des forces assez pour tenir la campagne, Et si quelque bonheur nos armes accompagne, L'insolent Polynice et ses grecs orgueilleux, Laisseront Thèbes libre, ou mouront à ses yeux."")",0.0,Match
13,"('#jocaste', ""Vous pourriez d'un tel sang, ô ciel ! souiller vos armes ?  La couronne pour vous a-t-elle tant de charmes ? Si par un parricide il la fallait gagner, Ah ! mon fils, à ce prix voudriez-vous régner ? Mais il ne tient qu'à vous si l'honneur vous anime,  De nous donner la paix, sans le secours d'un crime,  Et de votre courroux triomphant aujourd'hui Contenter votre frère, et régner avec lui."")","('#jocaste', ""Vous préserve le Ciel d'une telle victoire, Thèbes ne veut point voir une action si noire, Laissez là à son salut et n'y songez jamais ; La guerre vaut bien mieux que cette affreuse paix. Dure-t-elle à jamais cette cruelle guerre, Dont le flambeau fatal désole cette terre. Prolongez nos malheurs, augmentez-les toujours, Plutôt qu'un si grand crime en arrête le cours. Vous-même d'un tel sang souilleriez vous vos armes ? La couronne pour vous a-t-elle tant de charmes ? Si par un parricide il la fallait gagner Ah ! Mon fils à ce prix voudriez vous régner ? Mais il ne tient qu'à vous si l'honneur vous anime, De nous donner la paix, sans le secours d'un crime, Vous pouvez-vous montrer généreux tout à fait, Contenter votre frère, et régner en effet."")",0.0,Match
14,"('#eteocle', 'Appelez-vous régner partager ma couronne, Et céder lâchement ce que mon droit me donne ? ')","('#eteocle', 'Appelez-vous régner partager ma couronne, Quand le sang, et le peuple me la donne ?')",0.0,Match
15,"('#jocaste', ""Vous le savez, mon fils, la justice et le sang  Lui donnent comme à vous sa part à ce haut rang. OEdipe en achevant sa triste destinée Ordonna que chacun régnerait son année, Et n'ayant qu'un État à mettre sous vos lois,  Voulut que tour à tour vous fussiez tous deux rois.  À ces conditions vous daignâtes souscrire. Le sort vous appela le premier à l'empire, Vous montâtes au trône, il n'en fut point jaloux, Et vous ne voulez pas qu'il y monte après vous ? "")","('#jocaste', ""Vous savez bien, mon fils, que le choix et le sang Lui donnent comme à vous sa part à ce haut rang. Oedipe en achevant sa triste destinée Ordonna que chacun régnerait son année, Et n'ayant qu'un État à mettre sous vos lois, Il voulut que tous deux vous fussiez les Rois. À ces conditions vous voulûtes souscrire, Le sort vous appela le premier à l'Empire, Vous montâtes au trône, il n'en fut point jaloux, Et vous ne voulez pas qu'il y monte après vous ?"")",0.0,Match
16,"('#eteocle', ""Non, Madame, à l'empire il ne doit plus prétendre :  Thèbes à cet arrêt n'a point voulu se rendre, Et lorsque sur le trône il s'est voulu placer, C'est elle et non pas moi qui l'en a su chasser. Thèbes doit-elle moins redouter sa puissance,  Après avoir six mois senti sa violence ?  Voudrait-elle obéir à ce prince inhumain, Qui vient d'armer contre elle et le fer et la faim ? Prendrait-elle pour roi l'esclave de Mycène, Qui pour tous les Thébains n'a plus que de la haine,  Qui s'est au roi d'Argos indignement soumis,  Et que l'hymen attache à nos fiers ennemis ? Lorsque le roi d'Argos l'a choisi pour son gendre, Il espérait par lui de voir Thèbes en cendre, L'amour eut peu de part à cet hymen honteux,  Et la seule fureur en alluma les feux.  Thèbes m'a couronné pour éviter ses chaînes, Elle s'attend par moi de voir finir ses peines, Il la faut accuser si je manque de foi, Et je suis son captif, je ne suis pas son roi. "")","('#eteocle', ""Il est vrai, je promis, ce que voulut mon père, Pour un trône est-il rien qu'on refuse de faire ? On promet tout, Madame, afin d'y parvenir, Mais on ne songe après qu'à s'y bien maintenir. J'étais alors sujet, et dans l'obéissance, Et je tiens aujourd'hui la suprême puissance : Ce que je fis alors ne m'est plus une loi, Le devoir d'un sujet n'est pas celui d'un Roi. D'abord que sur sa tête il reçoit la Couronne, Un roi sort à l'instant de sa propre personne, L'intérêt du public doit devenir le sien, Il doit tout à l'État, et ne se doit rien."")",0.0,Match
17,,"('#jocaste', ""Au moins doit-il, mon fils, quelque choses à sa gloire, Dont le soin ne doit pas sortir de sa mémoire, Et quand ce nouveau rang l'affranchirait des lois, Au moins doit il tenir sa parole à des Rois."")",1.0,Deletion
18,,"('#eteocle', ""Polynice à ce titre aurait tort de prétendre, Thèbes sous son pouvoir n'a point voulu se rendre, Et lorsque sur le trône il s'est voulu placer, C'est elle et non pas moi qui l'en a su chasser. Thèbes doit-elle moins redouter sa puissance, Après avoir six mois senti sa violence ? Voudrait-elle obéir à ce prince inhumain Qui vient d'armer contre elle et le fer et la faim ? Prendrait-elle pour Roi l'esclave de Mycène Qui pour tous les Thébains n'a plus que de la haine, Qui s'est au Roi d'Argos indignement soumis, Et que l'hymen attache à nos fiers ennemis ? Lorsque le roi d'Argos l'a choisi pour son gendre, Il espérait par lui de voir Thèbes en cendre, L'amour eut peu de part à cet hymen honteux, Et la seule fureur en alluma les feux. Thèbes m'a couronné pour éviter ses chaînes ; Elle s'attend par moi de voir finir ses peines, Il la faut accuser si je manque de foi, Et je suis son captif, je ne suis pas son Roi."")",1.0,Deletion
19,"('#jocaste', ""Dites, dites plutôt, coeur ingrat et farouche,  Qu'auprès du diadème il n'est rien qui vous touche. Mais je me trompe encor, ce rang ne vous plaît pas, Et le crime tout seul a pour vous des appas. Hé bien ! puisqu'à ce point vous en êtes avide,  Je vous offre à commettre un double parricide,  Versez le sang d'un frère : et si c'est peu du sien, Je vous invite encore à répandre le mien. Vous n'aurez plus alors d'ennemis à soumettre, D'obstacle à surmonter ni de crime à commettre,  Et n'ayant plus au trône un fâcheux concurrent,  De tous les criminels vous serez le plus grand."")","('#jocaste', ""Dites, dites plutôt, coeur ingrat et farouche, Qu'auprès du diadème il n'est rien qui vous touche ; Mais je me trompe encor, ce rang ne vous plaît pas, Et le crime tout seul a pour vous des appas. Hé ! Bien, puisqu'à ce point vous en êtes avide, Je vous offre à commettre un double parricide, Versez le sang d'un frère : et si c'est peu du sien, Je vous invite encore à répandre le mien. Vous n'aurez plus alors d'ennemis à soumettre, D'obstacle à surmonter ni de crime à commettre, Et n'ayant plus au trône un fâcheux concurrent, De tous les criminels vous serez le plus grand."")",0.0,Match
20,"('#eteocle', ""Hé bien, Madame, hé bien, il faut vous satisfaire, Il faut sortir du trône et couronner mon frère : Il faut pour seconder votre injuste projet,  De son roi que j'étais devenir son sujet ;  Et pour vous élever au comble de la joie, Il faut à sa fureur que je me livre en proie, Il faut par mon trépas..."")","('#eteocle', ""Hé bien, Madame, hé bien, il faut vous satisfaire, Il faut sortir du trône et couronner mon frère, Il faut pour seconder votre injuste projet, De son roi que j'étais devenir son sujet. Et pour vous élever au comble de la joie, Il faut à sa fureur que je me livre en proie, Il faut par mon trépas..."")",0.0,Match
21,"('#jocaste', ""Ah ciel ! quelle rigueur ! Que vous pénétrez mal dans le fond de mon coeur !  Je ne demande pas que vous quittiez l'empire.  Régnez toujours, mon fils, c'est ce que je désire. Mais si tant de malheurs vous touchent de pitié, Si pour moi votre coeur garde quelque amitié, Et si vous prenez soin de votre gloire même,  Associez un frère à cet honneur suprême ;  Ce n'est qu'un vain éclat qu'il recevra de vous, Votre règne en sera plus puissant et plus doux. Les peuples admirant cette vertu sublime, Voudront toujours pour prince un roi si magnanime,  Et cet illustre effort, loin d'affaiblir vos droits,  Vous rendra le plus juste et le plus grand des rois. Ou s'il faut que mes voeux vous trouvent inflexible, Si la paix à ce prix vous paraît impossible, Et si le diadème a pour vous tant d'attraits,  Au moins consolez-moi de quelque heure de paix.  Accordez cette grâce aux larmes d'une mère. Et cependant, mon fils, j'irai voir votre frère, La pitié dans son âme aura peut-être lieu, Ou du moins pour jamais j'irai lui dire adieu.  Dès ce même moment permettez que je sorte,  J'irai jusqu'à sa tente, et j'irai sans escorte, Par mes justes soupirs j'espère l'émouvoir."")","('#jocaste', ""Ah ciel ! Quelle rigueur ! Que vous pénétrez mal dans le fond de mon coeur ! Je ne demande pas que vous quittiez l'Empire, Régnez toujours, mon fils, c'est ce que je désire. Mais si tant de malheurs vous touchent de pitié, Si pour moi votre coeur garde quelque amitié ; Et si vous prenez soin de votre gloire même, Associez un frère à cet honneur suprême ; Ce n'est qu'un vain éclat qu'il recevra de vous, Votre règne en sera plus puissant et plus doux. Les peuples admirant cette vertu sublime, Voudront toujours pour Prince un Roi si magnanime, Et cet illustre effort, loin d'affaiblir vos droits, Vous rendra le plus juste et le plus grand des Rois. Ou s'il faut que mes voeux vous trouvent inflexible, Si la paix à ce prix vous paraît impossible, Et que le diadème ait pour vous tant d'attraits, Au moins consolez-moi de quelque heure de paix, Accordez quelque trêve à ma douleur amère, Et cependant, mon fils, j'irai voir votre frère, La pitié dans son âme aura peut-être lieu, Ou du moins pour jamais j'irai lui dire adieu. Dès ce même moment permettez que je sorte, J'irai jusqu'à sa tente, et j'irai sans escorte, Dans cette occasion rien ne peut m'émouvoir."")",0.0,Match
22,"('#eteocle', ""Madame, sans sortir vous le pouvez revoir ; Et si cette entrevue a pour vous tant de charmes,  Il ne tiendra qu'à lui de suspendre nos armes :  Vous pouvez dès cette heure accomplir vos souhaits, Et le faire venir jusque dans ce palais. J'irai plus loin encore, et pour faire connaître, Qu'il a tort en effet de me nommer un traître,  Et que je ne suis pas un tyran odieux,  Que l'on fasse parler et le peuple et les Dieux. Si le peuple y consent, je lui cède ma place. Mais qu'il se rende enfin si le peuple le chasse, Je ne force personne, et j'engage ma foi De laisser aux Thébains à se choisir un roi. "")","('#eteocle', ""Madame, sans sortir vous le pouvez bien voir. Et si cette entrevue a pour vous tant de charmes, Il ne tiendra qu'à lui de suspendre nos armes, Vous pouvez dès cette heure accomplir vos souhaits, Et le faire venir jusque dans ce palais. Je ferai plus encore, et pour faire connaître, Qu'il a tort en effet de me nommer un traître, Et que je ne suis pas un tyran odieux, Que l'on fasse parler et le peuple et les Dieux. Si le peuple le veux, je lui cède ma place, Mais qu'il se rende aussi si le peuple le chasse, Je ne force personne, et j'engage ma foi De laisser aux Thébains à se choisir un roi."")",0.0,Match
23,"('#creon', ""Seigneur, votre sortie a mis tout en alarmes ; Thèbes qui croit vous perdre, est déjà toute en larmes, L'épouvante et l'horreur règnent de toutes parts, Et le peuple effrayé tremble sur ses remparts. "")","('#creon', ""Seigneur, votre sortie a mis tout en alarmes, Thèbes qui croit vous perdre est déjà toute en larmes, L'épouvante et l'horreur règnent de toutes parts, Et le peuple effrayé tremble sur ses remparts."")",0.0,Match
24,"('#eteocle', ""Cette vaine frayeur sera bientôt calmée.  Madame, je m'en vais retrouver mon armée, Cependant vous pouvez accomplir vos souhaits, Faire entrer Polynice, et lui parler de paix. Créon, la reine ici commande en mon absence,  Disposez tout le monde à son obéissance,  Laissez pour recevoir et pour donner ses lois,  Votre fils Ménécée, et j'en ai fait le choix. Comme il a de l'honneur autant que de courage, Ce choix aux ennemis ôtera tout ombrage,  Et sa vertu suffit pour les rendre assurés.  Commandez-lui, Madame. Et vous, vous me suivrez. À Créon."")","('#eteocle', ""Cette vaine frayeur sera bientôt calmée. Madame, je m'en vais retrouver mon armée, Cependant vous pouvez accomplir vos souhaits, Faire entrer Polynice, et lui parler de paix. Créon, la Reine ici commande en mon absence, Disposez tout le monde à son obéissance, Laissez pour recevoir et pour donner ses lois, Votre fils Ménécée, et j'en ai fait le choix. Comme il a de l'honneur autant que de courage, Ce choix aux ennemis ôtera tout ombrage, Et sa vertu suffit pour les rendre assurés. Commandez-lui, Madame. Et vous, vous me suivrez. À Créon."")",0.0,Match
25,"('#creon', 'Quoi, Seigneur...')","('#creon', 'Quoi, Seigneur...')",0.0,Match
26,"('#eteocle', 'Oui, Créon, la chose est résolue.')","('#eteocle', 'Oui, Créon, la chose est résolue.')",0.0,Match
27,"('#creon', 'Et vous quittez ainsi la puissance absolue ?')","('#creon', 'Et vous quittez ainsi la puissance absolue ?')",0.0,Match
28,"('#eteocle', ""Que je la quitte ou non ne vous tourmentez pas ;  Faites ce que j'ordonne, et venez sur mes pas. "")","('#eteocle', ""Que je la quitte ou non ne vous tourmentez pas, Faites ce que j'ordonne, et venez sur mes pas."")",0.0,Match
29,"('#creon', ""Qu'avez-vous fait, Madame, et par quelle conduite Forcez-vous un vainqueur à prendre ainsi la fuite ? Ce conseil va tout perdre."")","('#creon', ""Qu'avez-vous fait, Madame, et par quelle conduite Forcez-vous un vainqueur à prendre ainsi la fuite ? Ce conseil va tout perdre."")",0.0,Match
30,"('#jocaste', 'Il va tout conserver, Et par ce seul conseil Thèbes se peut sauver. ')","('#jocaste', 'Il va tout conserver, Et par ce seul conseil Thèbes se peut sauver.')",0.0,Match
31,"('#creon', ""Hé quoi, Madame, hé quoi, dans l'état où nous sommes,  Lorsqu'avec un renfort de plus de six mille hommes, La fortune promet toute chose aux Thébains, Le roi se laisse ôter la victoire des mains ?"")","('#creon', ""Hé quoi, Madame, hé quoi, dans l'état où nous sommes, Lorsqu'avec un renfort de plus de six mille hommes, La fortune promet toute chose aux Thébains, Le Roi se laisse ôter la victoire des mains ?"")",0.0,Match
32,"('#jocaste', ""La victoire, Créon, n'est pas toujours si belle,  La honte et les remords vont souvent après elle.  Quand deux frères armés vont s'égorger entre eux, Ne les pas séparer, c'est les perdre tous deux. Peut-on faire au vainqueur une injure plus noire, Que lui laisser gagner une telle victoire ? "")","('#jocaste', ""La victoire Créon n'est pas toujours si belle, La honte et les remords vont souvent après elle, Quand deux frères armés vont s'égorger entre eux, Ne les pas séparer, c'est les perdre tous deux. Peut-on faire au vainqueur une injure plus noire, Que lui laisser gagner une telle victoire ?"")",0.0,Match
33,"('#creon', 'Leur courroux est trop grand...')","('#creon', 'Leur courroux est trop grand...')",0.0,Match
34,"('#jocaste', 'Il peut être adouci. ')","('#jocaste', 'Il peut être adouci.')",0.0,Match
35,"('#creon', 'Tous deux veulent régner.')","('#creon', 'Tous deux veulent régner.')",0.0,Match
36,"('#jocaste', 'Ils régneront aussi.')","('#jocaste', 'Ils régneront aussi.')",0.0,Match
37,"('#creon', ""On ne partage point la grandeur souveraine ; Et ce n'est pas un bien qu'on quitte et qu'on reprenne."")","('#creon', ""On ne partage point la grandeur souveraine ; Et ce n'est pas un bien qu'on quitte et qu'on reprenne."")",0.0,Match
38,"('#jocaste', ""L'intérêt de l'État leur servira de loi. "")","('#jocaste', ""L'intérêt de l'État leur servira de loi."")",0.0,Match
39,"('#creon', ""L'intérêt de l'État est de n'avoir qu'un roi, Qui d'un ordre constant gouvernant ses provinces, Accoutume à ces lois et le peuple et les princes. Ce règne interrompu de deux rois différents, En lui donnant deux rois lui donne deux tyrans.  Par un ordre souvent l'un à l'autre contraire, Un frère détruirait ce qu'aurait fait un frère. Vous les verriez toujours former quelque attentat, Et changer tous les ans la face de l'État. Ce terme limité que l'on veut leur prescrire,  Accroît leur violence en bornant leur empire. Tous deux feront gémir les peuples tour à tour. Pareils à ces torrents qui ne durent qu'un jour, Plus leur cours est borné, plus ils font de ravage, Et d'horribles dégâts signalent leur passage. "")","('#creon', ""L'intérêt de l'État est de n'avoir qu'un roi, Qui d'un ordre constant gouvernant ses provinces, Accoutume à ses lois et le peuple et les princes. Ce règne interrompu de deux Rois différents, En lui donnant deux Rois lui donne deux tyrans. Vous les verriez toujours l'un à l'autre contraire, Détruire aveuglément ce qu'aurait fait un frère, L'un sur l'autre former quelque attentat, Et changer tous les ans la face de l'État. Ce terme limité qu'on veut leur prescrire, Accroît leur violence en bornant leur Empire. Tous deux feront gémir les peuples tour à tour, Pareils à ces torrents qui ne durant qu'un jour, Plus leur cours est borné, plus ils font de ravage, Et par de grands dégâts signalent leur passage."")",0.0,Match
40,"('#jocaste', ""On les verrait plutôt par de nobles projets, Se disputer tous deux l'amour de leurs sujets. Mais avouez, Créon, que toute votre peine C'est de voir que la paix rend votre attente vaine, Qu'elle assure à mes fils le trône où vous tendez,  Et va rompre le piège où vous les attendez. Comme après leur trépas le droit de la naissance Fait tomber en vos mains la suprême puissance, Le sang qui vous unit aux deux princes mes fils, Vous fait trouver en eux vos plus grands ennemis :  Et votre ambition qui tend à leur fortune, Vous donne pour tous deux une haine commune ; Vous inspirez au roi vos conseils dangereux, Et vous en servez un pour les perdre tous deux."")","('#jocaste', ""On les verrait plutôt par de nobles projets, Se disputer tous deux l'amour de leurs sujets. Mais avouez, Créon, que toute votre peine, C'est de voir que la paix rend votre attente vaine, Et qu'en vous éloignant du trône où vous tendez, Elle rend pour jamais vos desseins avortés. Comme après mes enfants le droit de la naissance, Fait tomber en vos mains la suprême puissance, Le sang qui vous unit aux deux princes mes fils, Vous fait trouver en eux vos plus grands ennemis : Et votre ambition qui tend à leur fortune, Vous donne pour tous deux une haine commune ; Vous inspirez au roi vos conseils dangereux, Et vous en servez un pour les perdre tous deux."")",0.0,Match
41,"('#creon', ""Je ne me repais point de pareilles chimères,  Mes respects pour le roi sont ardents et sincères, Et mon ambition est de le maintenir Au trône où vous croyez que je veux parvenir. Le soin de sa grandeur est le seul qui m'anime. Je hais ses ennemis, et c'est là tout mon crime ;  Je ne m'en cache point, mais à ce que je vois, Chacun n'est pas ici criminel comme moi."")","('#creon', ""Je ne me repais point de pareilles chimères, Mes respects pour le Roi sont ardents et sincères, Et mon ambition est de le maintenir Au trône où vous croyez que je veux parvenir. Le soin de sa grandeur est le seul qui m'anime, Je hais ses ennemis, et c'est là tout mon crime ; Je ne m'en cache point, mais à ce que je vois, Chacun n'est pas ici criminel comme moi."")",0.0,Match
42,"('#jocaste', ""Je suis mère, Créon, et si j'aime son frère, La personne du roi ne m'en est pas moins chère ; De lâches courtisans peuvent bien le haïr,  Mais une mère enfin ne peut pas se trahir. "")","('#jocaste', ""Tant que pour ennemi le Roi n'aura qu'un frère, Sa personne, Créon, me sera toujours chère ; De lâches courtisans peuvent bien le haïr, Mais une mère enfin ne peut pas se trahir."")",0.0,Match
43,"('#antigone', 'Vos intérêts ici sont conformes aux nôtres, Les ennemis du roi ne sont pas tous les vôtres ; Créon, vous êtes père, et dans ces ennemis, Peut-être songez-vous que vous avez un fils.  On sait de quelle ardeur Hémon sert Polynice. ')","('#antigone', 'Vos intérêts ici sont conformes aux nôtres, Les ennemis du Roi ne sont pas tous les vôtres ; Créon, vous êtes père, et dans ces ennemis, Peut-être songez-vous que vous avez un fils ; On sait de quelle ardeur Hémon sert Polynice.')",0.0,Match
44,"('#creon', ""Oui, je le sais, Madame, et je lui fais justice, Je le dois en effet distinguer du commun ; Mais c'est pour le haïr encor plus que pas un. Et je souhaiterais dans ma juste colère,  Que chacun le haït comme le hait son père. "")","('#creon', ""Oui, je le sais, Madame, et je lui fais justice ; Je le dois en effet distinguer du commun ; Mais c'est pour le haïr encor plus que pas un ; Et je souhaiterais dans ma juste colère, Que chacun le haït comme le hait son père."")",0.0,Match
45,"('#antigone', ""Après tout ce qu'a fait la valeur de son bras, Tout le monde en ce point ne vous ressemble pas."")","('#antigone', ""Après tout ce qu'a fait la valeur de son bras, Tout le monde en ce point ne vous ressemble pas."")",0.0,Match
46,"('#creon', ""Je le vois bien, Madame, et c'est ce qui m'afflige ; Mais je sais bien à quoi sa révolte m'oblige,  Et tous ces beaux exploits qui le font admirer, C'est ce qui me le fait justement abhorrer. La honte suit toujours le parti des rebelles, Leurs grandes actions sont les plus criminelles; Ils signalent leur crime en signalant leur bras,  Et la gloire n'est point où les rois ne sont pas. "")","('#creon', ""Je le vois bien, Madame, et c'est ce qui m'afflige ; Mais je sais bien à quoi sa révolte m'oblige, Et tous ces beaux exploits qui le font admirer, C'est ce qui me le fait justement abhorrer. La honte suit toujours le parti des rebelles, Leurs grandes actions sont les plus criminelles ; Ils signalent leur crime en signalant leur bras, Et la gloire n'est point où les rois ne sont pas."")",0.0,Match
47,"('#antigone', 'Écoutez un peu mieux la voix de la nature.')","('#antigone', 'Écoutez un peu mieux la voix de la Nature.')",0.0,Match
48,"('#creon', ""Plus l'offenseur m'est cher, plus je ressens l'injure."")","('#creon', ""Plus l'offenseur m'est cher, plus je ressens l'injure."")",0.0,Match
49,"('#antigone', 'Mais un père à ce point doit-il être emporté ? Vous avez trop de haine.')","('#antigone', 'Mais un père à ce point doit-il être emporté ? Vous avez trop de haine.')",0.0,Match
50,"('#creon', ""Et vous trop de bonté.  C'est trop parler, Madame, en faveur d'un rebelle."")","('#creon', ""Et vous trop de bonté. C'est trop parler, Madame, en faveur d'un rebelle."")",0.0,Match
51,"('#antigone', ""L'innocence vaut bien que l'on parle pour elle."")","('#antigone', ""L'innocence vaut bien que l'on parle pour elle."")",0.0,Match
