,quinault-alceste,quinault-proserpine,Cost,Operation Type
12,"('#la-nymphe-de-la-seine', ""Naïades, Dieux des Bois, Nymphes, que tout s'assemble,  Qu'on entende nos chants après tant de soupirs. "")","('#la-discorde', ""Orgueilleuse victoire, est-ce à toi d'entreprendre De mettre la Discorde aux fers ? À quels honneurs sans moi peux-tu jamais prétendre ?"")",1.09,Substitution
13,"('#choeur', ""Qu'il est doux d'accorder ensemble  La Gloire, et les Plaisirs. "")","('#la-victoire', ""Ah ! Qu'il est beau de rendre La Paix à l'univers."")",0.42,Substitution
14,"('#la-nymphe-des-tuileries', ""L'art d'accord avec la Nature  Sert l'Amour dans ces lieux charmants :  Ces Eaux qui font rêver par un si doux murmure,  Ces Tapis où les Fleurs forment tant d'ornements,  Ces Gazons, ces Lits de verdure,  Tout n'est fait que pour les Amants."")","('#la-discorde', ""Tes soins pour le vainqueur pouvaient plus loin s'étendre ? Que ne conduisais-tu le héros que tu sers, Où cent lauriers nouveaux lui sont encore offerts ? La gloire au bout du monde aurait été l'attendre."")",0.75,Substitution
15,,"('#la-victoire', ""Ah ! Qu'il est beau de rendre la paix à l'univers. Après avoir vaincu mille peuples divers, Quand on ne voit plus rien qui puisse se défendre, Ah ! Qu'il est beau de rendre la paix à l'univers. La suite de la victoire et la suite de la paix, répètent ces derniers vers."")",1.0,Deletion
16,"('#la-nymphe-de-la-marne', ""L'onde se presse  D'aller sans cesse  Jusqu'au bout de son cours :  S'il faut qu'un coeur suive une pente,  En est-il qui soit plus charmante  Que le doux penchant des Amours ?  On danse."")","('#la-discorde', ""Ô ! Cruel esclavage ! Je ne verrai donc plus de sang et de carnage ? Ah ! Pour mon désespoir faut-il que le vainqueur Ait triomphé de son courage ? Faut-il qu'il ne laisse à ma rage Rien à dévorer que mon coeur ? Ô ! Cruel esclavage ! La suite de la Discorde répète ce dernier vers."")",1.03,Substitution
17,"('#la-gloire #la-nymphe-de-la-seine', 'Que tout retentisse,  Que tout réponde à nos voix. ')","('#la-victoire', ""Au fond d'un gouffre plein d'horreur, Que sous des fers pesants la discorde gémisse. Partagez son supplice Vous qui partagez sa fureur. Et vous triste séjour, changez, que tout ressente Le pouvoir plein d'appas de la Paix triomphante. La Discorde et sa suite s'abîment dans des gouffres qui s'ouvrent sous leurs pas, et l'affreuse retraite de la Discorde se change en un palais agréable."")",1.17,Substitution
18,"('#la-nymphe-de-la-tuileries', 'Que tout fleurisse  Dans nos jardins et dans nos bois. ')","('#la-paix #suite-de-la-paix', 'Ah quel bonheur charmant !')",1.33,Substitution
19,"('#la-nymphe-de-la-marne', ""Que le Chant des Oiseaux s'unisse  Avec le doux son des Hautbois. "")","('#la-discorde #suite-de-la-discorde', 'Ah ! Quel affreux tourment !')",1.47,Substitution
20,"('#tous-ensemble', ""Que tout retentisse,  Que tout réponde à nos voix :  Que le Chant des Oiseaux s'unisse  Avec le doux son des hautbois. Que tout retentisse,  Que tout réponde à nos voix.  On danse."")","('#la-victoire #la-paix', ""Le vainqueur est comblé de gloire, On doit l'admirer à jamais : Il s'est servi de la victoire Pour faire triompher la paix. La suite de la victoire et la suite de la paix répètent ces quatre vers. La suite de la paix témoigne sa joie en dansant et en chantant."")",0.7,Substitution
21,"('#choeur', ""Quel coeur sauvage  Ici ne s'engage ?  Quel coeur sauvage  Ne sent point l'amour ?  Nous allons voir les Plaisirs de retour ;  Ne manquons pas d'en faire un doux usage :  Pour rire un peu, l'on n'est pas moins sage.  Ah, quel dommage  De fuir ce rivage !  Ah, quel dommage  De perdre un beau jour !  Nous allons voir les Plaisirs de retour ;  Ne manquons pas d'en faire un doux usage :  Pour rire un peu, l'on n'est pas moins sage.  On danse."")","('#la-felicite #l-abondance', ""Il est temps que l'amour nous enchaîne, Il sait vaincre les plus fiers vainqueurs. Rendons-nous, la fuite est vaine, Ce dieu charme tous les coeurs : Il n'a point de bien sans peine, Mais peut-on trop payer ses douceurs. Dans les fers qu'Amour veut que l'on prenne, Tout est doux jusqu'aux plus tristes pleurs. Rendons-nous, la fuite est vaine, Ce dieu charme tous les coeurs, etc."")",0.0,Match
22,"('#choeurs', 'Revenez, Plaisirs exilés,  Volez de toutes parts, volez.  Les Plaisirs volent, et viennent préparer des Divertissements.')","('#la-paix', ""On a quitté les armes. Voici le temps heureux Des plaisirs pleins de charmes, Voici le temps heureux Des plaisirs et des jeux. On ne versera plus de larmes, Tous les coeurs seront sans alarmes ; Et si l'on craint encor des tourments rigoureux Ce sera seulement dans l'empire amoureux. On a quitté les armes Voici le temps heureux Des plaisirs pleins de charmes, Voici le temps heureux Des plaisirs et des jeux. Le choeur répète ces derniers vers."")",0.91,Substitution
23,,"('#la-felicite', ""Que l'amour est doux à suivre ! Quel plaisir de s'enflammer ! Un jeune coeur ne commence de vivre Que du moment qu'il commence d'aimer. Malheureux qui se délivre D'un tourment qui sait charmer. On reconnaît que l'on cesse de vivre En même temps que l'on cesse d'aimer."")",1.0,Deletion
24,"('#choeur', 'Vivez, vivez, heureux époux. ')","('#le-choeur', 'On a quitté les armes Voici le temps heureux Des plaisirs pleins de charmes, Voici le temps heureux Des plaisirs et des jeux.')",1.29,Substitution
25,"('#licas', 'Votre Ami le plus cher, épouse la Princesse  La plus charmante de la Grèce :  Lorsque chacun les suit, Seigneur, les fuyez-vous ? ')","('#ceres', ""Goûtons dans ces aimables lieux Les douceurs d'une paix charmante. Les superbes géants armés contre les dieux Ne nous donnent plus d'épouvante : Ils sont ensevelis sous la masse pesante Des monts qu'ils entassaient pour attaquer les cieux Nous avons vu tomber leur chef audacieux Sous une montagne brûlante ; Jupiter la contraint de vomir à nos yeux Les restes enflammés de sa rage mourante, Jupiter est victorieux, Et tout cède à l'effort de sa main foudroyante. Goûtons dans ces aimables lieux Les douceurs d'une paix charmante."")",1.07,Substitution
26,"('#choeur', 'Vivez, vivez, heureux Époux. ')","('#ceres #cyane #crinise', ""Goûtons dans ces aimables lieux Les douceurs d'une paix charmante."")",1.05,Substitution
27,"('#licas', ""Vous paraissez troublé des cris qui retentissent ?  Quand deux Amants heureux s'unissent  Le coeur du grand Alcide en serait-il jaloux ? "")","('#ceres', ""Prenez soin d'assembler tout ce qui suit mes lois, Honorons le vainqueur d'une commune voix."")",1.01,Substitution
28,,"('#ceres #cyane #crinise', ""Honorons le vainqueur d'une commune voix. Cyané et Crinise vont de deux côtés différents appeler les divinités et les peuples de la Sicile, pour venir ensemble célébrer la victoire de Jupiter."")",1.0,Deletion
29,"('#choeur', 'Vivez, vivez, heureux Époux. ')",,1.0,Insertion
30,"('#licas', 'Seigneur, vous soupirez, et gardez le silence ? ')","('#ceres', 'Mercure, quel dessein vous fait ici descendre ?')",0.98,Substitution
31,"('#alcide', 'Ah ! Licas, laisse-moi partir en diligence. ')",,1.0,Insertion
32,"('#licas', 'Quoi ! Dès ce même jour presser votre départ ? ')","('#mercure', ""Jupiter près de vous m'ordonne de me rendre."")",1.07,Substitution
33,"('#alcide', ""J'aurai beau me presser, je partirai trop tard.  Ce n'est point avec toi que je prétends me taire ;  Alceste est trop aimable, elle a trop su me plaire ;  Un autre en est aimé, rien ne flatte mes voeux :  C'en est fait, Admète l'épouse,  Et c'est dans ce moment qu'on les unit tous deux.  Ah ! Qu'une âme jalouse  Éprouve un tourment rigoureux !  J'ai peine à l'exprimer moi-même :  Figure-toi, si tu le peux,  Quelle est l'horreur extrême  De voir ce que l'on aime,  Au pouvoir d'un Rival heureux. "")","('#ceres', ""Non, non, à vos discours je n'ose ajouter foi. Jupiter après sa victoire Songe à tenir en paix l'univers sous sa loi ; Il est trop occupé de sa nouvelle gloire, Eh ! Le moyen de croire Qu'il songe encore à moi ?"")",0.17,Substitution
34,"('#licas', ""L'Amour est-il plus fort qu'un Héros indomptable ? L'Univers n'a point eu de Monstre redoutable  Que vous n'ayez pu surmonter. "")","('#mercure', ""Dans les soins les plus grands dont son âme est remplie Il se souvient toujours que vous l'avez charmé ; Il est mal-aisé qu'on oublie Ce qu'on a tendrement aimé, Il admire les dons que vous venez de faire En cent climats divers, L'abondante Sicile heureuse de vous plaire De vos riches moissons voit tous ses champs couverts : Mais la mère des dieux se plaint que la Phrygie Quelle a toujours chérie, Ne se ressente pas de vos soins bienfaisants ; Et c'est Jupiter qui vous prie D'y porter vos divins présents. Quelle gloire de voir qu'un dieu si grand implore Votre favorable secours !"")",1.27,Substitution
35,"('#alcide', ""Eh, crois-tu que l'Amour soit moins à redouter ?  Le plus grand coeur a sa faiblesse.  Je ne puis me sauver de l'ardeur qui me presse  Qu'en quittant ce fatal Séjour :  Contre d'aimables charmes  La valeur est sans armes,  Et ce n'est qu'en fuyant qu'on peut vaincre l'Amour. "")","('#ceres', ""Peut-être qu'il m'estime encore, Mais il m'avait promis qu'il m'aimerait toujours. L'amour qui pour lui m'anime Devient plus fort chaque jour, Est-ce assez d'un peu d'estime Pour le prix de tant d'amour."")",0.53,Substitution
36,"('#licas', ""Vous devez vous forcer, au moins à voir la Fête  Qui déjà dans ce Port, vous paraît toute prête.  Votre fuite à présent ferait un trop grand bruit ;  Différez jusqu'à la nuit. "")","('#mercure', ""Il sent l'ardeur qu'un tendre amour inspire, Avec plaisir il se laisse enflammer ; Mais un amant chargé d'un grand empire N'a pas toujours le temps de bien aimer."")",1.14,Substitution
37,"('#alcide', 'Ah Licas ! Quelle nuit ! Ah quelle nuit funeste ! ')",,1.0,Insertion
38,"('#licas', 'Tout le reste du jour voyez encore Alceste. ')",,1.0,Insertion
39,"('#alcide', ""La voir encore !... Hé bien différons mon départ,  Je vous l'avais bien dit, je partirai trop tard.  Je vais la voir aimer un Époux qui l'adore,  Je verrai dans leurs yeux un tendre empressement :  Que je vais payer chèrement  Le plaisir de la voir encore ! "")","('#ceres', ""Quand de son coeur je devins souveraine N'avait-il pas le monde à gouverner, Et ne trouvait-il pas sans peine Du temps de reste à me donner. Je l'ai vu sous mes lois ce dieu si redoutable. Je l'ai vu plein d'empressement ; Ah ! Qu'il serait aimable, S'il aimait constamment !"")",0.44,Substitution
40,"('#ensemble', ""L'Amour a bien des maux, mais le plus grand de tous,  C'est le tourment d'être jaloux. "")","('#mercure', ""Son amour craint de trop paraître, Dans le ciel on l'observe avec des yeux jaloux."")",0.34,Substitution
41,,"('#ceres', ""De quels dieux n'est-il pas le maître ? Ne les fait-il pas trembler tous ? Que vous l'excusez mal quand mon amour l'accuse ; S'il pouvait avoir quelque excuse, Mon coeur la trouverait mille fois mieux que vous. Allez, à ses désirs il faut que je réponde. Je quitte une paix profonde, Qui m'offre ici mille appas : Que ne quitterait-on pas Pour plaire au maître du monde ? Mercure répète ces deux derniers vers avec Cérès, et s'envole pour aller au ciel retrouver Jupiter."")",1.0,Deletion
42,"('#straton', ""Licas, j'ai deux mots à te dire. "")","('#ceres', ""La Phrygie a besoin de mes dons précieux, Et je laisse avec vous Proserpine en ces lieux, J'ai peine à la quitter, cette fille si chère..."")",1.41,Substitution
43,"('#licas', ""Que veux-tu ? Parle je t'entends. "")","('#arethuse', ""Je suis dans la Sicile une nymphe étrangère, Je viens vous conjurer de m'en laisser partir."")",1.24,Substitution
44,,"('#ceres', ""Non, Arethuse, non, je n'y puis consentir."")",1.0,Deletion
45,"('#straton', ""Nous sommes amis de tout temps ;  Céphise, tu le sais, me tient sous son empire,  Tu suis partout ses pas : qu'est-ce que tu prétends ? "")","('#arethuse', ""Alphée à mon repos a déclaré la guerre : Diane propice à mes voeux, En vain pour me cacher à ce fleuve amoureux, Fit ouvrir le sein de la terre : Il n'est point de détours dans l'ombre des enfers Que son amour n'ait découverts : Je l'ai trouvé partout, et sous des mers profondes J'ai vu ses flots brûlants suivre mes froides ondes ; Je veux le fuir encore au bout de l'univers."")",0.38,Substitution
46,"('#licas', 'Je prétends rire. ')",,1.0,Insertion
47,"('#straton', 'Pourquoi veux-tu troubler deux coeurs qui sont contents ? ')",,1.0,Insertion
48,"('#licas', ""Je prétends rire.  Tu peux à ton gré t'enflammer ;  Chacun a sa façon d'aimer ;  Qui voudra soupirer, soupire,  Je prétends rire. "")","('#ceres', ""Les soins d'un amour extrême Devraient moins vous alarmer : Vous craignez trop qu'on vous aime, Ne craignez vous point d'aimer ? Vous rougissez, Arethuse ; Votre rougeur vous accuse. Il est aisé de voir dans ce trouble fatal Le péril où l'amour en ces lieux vous expose."")",0.72,Substitution
49,"('#straton', ""J'aime, et je suis aimé ; laisse en paix nos amours. "")",,1.0,Insertion
50,"('#licas', ""Rien ne doit t'alarmer, s'il est bien vrai qu'on t'aime ;  Un rival rebuté donne un plaisir extrême. "")","('#arethuse', ""Le dangereux amour ! Que je lui veux de mal Du trouble qu'il me cause !"")",0.48,Substitution
51,"('#straton', ""Un Rival tel qu'il soit importune toujours. "")",,1.0,Insertion
52,"('#licas', ""Je vois ton amour sans colère,  Tu devrais en user ainsi :  Puisque Céphise t'a su plaire,  Pourquoi ne veux-tu pas qu'elle me plaise aussi ? "")","('#ceres', 'Avec Alphée ici je veux vous arrêter.')",1.49,Substitution
53,"('#straton', ""À quoi sert-il d'aimer ce qu'il faut que l'on quitte ?  Tu ne peux demeurer longtemps dans cette Cour. "")","('#arethuse', ""Eh ! De grâce, aidez-moi plutôt à l'éviter. Je crains enfin qu'il ne m'engage, Et sa constance me fait peur : Non, si je le vois davantage, Je ne réponds plus de mon coeur."")",0.93,Substitution
54,"('#licas', ""Moins on a de moments à donner à l'Amour.  Et plus il faut qu'on en profite. "")","('#ceres', ""Aimez sans vous contraindre, Aimez à votre tour. C'est déjà ressentir l'amour Que de commencer à le craindre. Arethuse chante ces deux derniers vers avec Cérès."")",1.05,Substitution
55,"('#straton', ""J'aime depuis deux ans avec fidélité :  Je puis croire sans vanité,  Que tu ne dois pas être un Rival qui m'alarme. "")","('#ceres', ""Je vais voir Proserpine, et partir promptement. Demeurez avec elle en un lieu si charmant Pour fuir l'amour qui vous appelle Ne cherchez plus de vains détours : Aimez un amant fidèle, On n'en trouve pas toujours Cérès va voir Proserpine avant que de partir pour aller en Phrygie."")",0.77,Substitution
56,"('#licas', ""J'ai pour moi la nouveauté ;  En amour c'est un grand charme. "")","('#arethuse', ""Vaine fierté, faible rigueur, Que vous avez peu de puissance Contre l'amour et la constance ! Vaine fierté, faible rigueur, Ah ! Que vous gardez mal mon coeur ! En vain, par vos conseils je me fais violence : Je combats vainement une douce langueur : Hélas ! Vous m'engagez à faire résistance, Et vous me laissez sans défense, Au pouvoir de l'amour vainqueur ? Vaine fierté, faible rigueur, Que vous avez peu de puissance Contre l'amour et la constance ! Vaine fierté, faible rigueur, Ah ! Que vous gardez mal mon coeur ! Je vois Alphée, ô dieux ! Où sera mon asile ! Mon coeur est déjà charmé, Et ma fuite est inutile ; Hélas ! Qu'il est difficile De fuir un amant aimé ! Il approche, je tremble. Ah faut-il qu'il jouisse Du trouble honteux où je suis ? Pardonne, amour, si je le fuis, J'en ressens un cruel supplice ; Mais n'importe, je veux l'éviter si je puis."")",1.68,Substitution
57,"('#straton', ""Céphise m'a promis un coeur tendre et constant. "")","('#alphee', ""Arrêtez, nymphe trop sévère, Ne fuyez plus d'une course légère Les soins trop empressés de mon coeur amoureux ; N'ayez plus contre moi ni chagrin ni colère, J'ai résolu de ne vous plus déplaire, Et je vais étouffer mon amour malheureux."")",1.4,Substitution
58,"('#licas', ""Céphise m'en promet autant. "")","('#arethuse', 'Alphée...')",1.04,Substitution
59,,"('#alphee', ""Alphée enfin vous arrête, inhumaine, Mais vous vous arrêtez pour voir briser sa chaîne. C'en est fait, mes fers sont rompus."")",1.0,Deletion
60,"('#straton', ""Ah si je le croyais !... Mais tu n'es pas croyable. "")","('#arethuse', 'Alphée, est-il bien vrai ?')",0.73,Substitution
61,"('#licas', ""Crois-moi, fais ton profit d'un reste d'amitié,  Sers-toi d'un avis charitable  Que je te donne par pitié. "")","('#alphee', ""N'en doutez point, cruelle, Je le reprends ce coeur trop tendre et trop fidèle, Ce coeur trop rebuté par de cruels refus."")",1.05,Substitution
62,,"('#arethuse', ""Alphée, est-il bien vrai que vous ne m'aimiez plus ?"")",1.0,Deletion
63,"('#straton', ""Le mépris d'une volage  Doit être un assez grand mal,  Et c'est un nouvel outrage  Que la pitié d'un Rival.  Elle vient l'Infidèle,  Pour chanter dans les Jeux dont je prends soin ici. "")","('#alphee', ""Ingrate il est trop vrai, mon coeur rompt avec peine Des noeuds qu'il a trouvé si beaux ; Mais de peur qu'il ne les reprenne Je le veux engager en des liens nouveaux. J'ai vu l'aimable Proserpine : On connaît à l'éclat de sa beauté divine Que du maître des dieux elle a reçu le jour. Rendez-lui grâce, C'est elle qui vous débarrasse De mon fâcheux amour."")",0.26,Substitution
64,"('#licas', ""Je te laisse avec elle,  Il ne tiendra qu'à toi d'être mieux éclairci. "")",,1.0,Insertion
65,"('#cephise', 'Dans ce beau jour, quelle humeur sombre  Fais-tu voir à contretemps ? ')",,1.0,Insertion
66,"('#straton', ""C'est que je ne suis pas du nombre  Des Amants qui sont contents. "")",,1.0,Insertion
67,"('#cephise', ""Un ton grondeur et sévère  N'est pas un grand agrément ;  Le chagrin n'avance guère  Les affaires d'un Amant. "")","('#arethuse', 'Si Proserpine est belle, Son coeur est fier et rigoureux : Votre chaîne nouvelle Ne vous rendra pas plus heureux.')",1.25,Substitution
68,"('#straton', ""Licas vient de me faire entendre  Que je n'ai plus ton coeur, qu'il doit seul y prétendre,  Et que tu ne vois plus mon amour qu'à regret ! "")","('#alphee', ""N'importe je veux bien souffrir sous son empire. Vous ne m'avez déjà que trop accoutumé Au rigoureux martyre D'aimer sans être aimé. Proserpine vous aime, et j'ose au moins prétendre Que vous me servirez dans cet engagement. Vous savez si mon coeur est tendre, Vous avez éprouvé s'il aime constamment..."")",0.81,Substitution
69,"('#cephise', 'Licas est peu discret... ')",,1.0,Insertion
70,"('#straton', ""Ah je m'en doutais bien qu'il voulait me surprendre. "")",,1.0,Insertion
71,"('#cephise', ""Licas est peu discret  D'avoir dit mon secret. "")","('#arethuse', ""Non je ne veux jamais entendre Parler ni d'amour ni d'amant. Me suivrez-vous sans cesse ?"")",1.25,Substitution
72,"('#straton', ""Comment ! Il est donc vrai ! Tu n'en fais point d'excuse ?  Tu me trahis ainsi sans en être confuse ? "")",,1.0,Insertion
73,"('#cephise', 'Tu te plains sans raison ;  Est-ce une trahison,  Quand on te désabuse ? ')","('#alphee', ""Me fuirez-vous toujours ? L'ingrate Arethuse me laisse Sans espoir de secours ? C'est un feu nouveau qui me presse..."")",1.02,Substitution
74,"('#straton', 'Que je suis étonné de voir ton changement ! ')",,1.0,Insertion
75,"('#cephise', ""Si je change d'Amant  Qu'y trouves-tu d'étrange ?  Est-ce un sujet d'étonnement  De voir une fille qui change ? "")",,1.0,Insertion
76,"('#straton', 'Après deux ans passés dans un si doux lien,  Devais-tu jamais prendre une chaîne nouvelle ? ')","('#arethuse', 'Me suivrez-vous sans cesse ?')",0.77,Substitution
77,"('#cephise', ""Ne comptes-tu pour rien  D'être deux ans fidèle ? "")","('#alphee', 'Me fuirez-vous toujours ?')",0.71,Substitution
78,"('#straton', ""Par un espoir doux et trompeur,  Pourquoi m'engageais-tu dans un amour si tendre ?  Fallait-il me donner ton coeur,  Puisque tu voulais le reprendre ? "")",,1.0,Insertion
79,"('#cephise', ""Quand je t'offris mon coeur, c'était de bonne foi ;  Que n'empêches-tu qu'on te l'ôte ?  Est-ce ma faute  Si Licas me plaît plus que toi ? "")","('#proserpine', 'Cérès va nous ôter sa divine présence, Ces lieux vont perdre leurs attraits, Cérès, favorable Cérès, Faites cesser bientôt votre cruelle absence, Cérès, favorable Cérès Écoutez nos tristes regrets. Le choeur répète ces derniers vers.')",1.5,Substitution
80,"('#straton', 'Ingrate, est-ce le prix de ma persévérance ? ')",,1.0,Insertion
81,"('#cephise', ""Essaye un peu de l'inconstance :  C'est toi qui le premier m'appris à m'engager :  Pour récompense  Je te veux apprendre à changer. "")","('#ceres', ""Vous qui voulez pour moi signaler votre zèle Ne troublez point la paix de cet heureux séjour, Je presse mon départ pour hâter mon retour ; Accompagnez ma fille avec un soin fidèle. Changez vos tristes chants en de charmants concerts ; Que j'entende en partant dans le milieu des airs Éclater la gloire nouvelle Du plus grand dieu de l'univers. Cérès fait partir son char volant."")",0.93,Substitution
82,"('#straton #cephise', 'Il faut aimer toujours.  Il faut changer toujours.  Les plus douces amours  Sont les amours fidèles :  Sont les amours nouvelles :  Il faut aimer toujours.  Il faut changer toujours. ')","('#proserpine #le-choeur', ""Célébrons la victoire Du plus puissant des dieux. Qu'un trophée éternel conserve la mémoire D'un triomphe si glorieux. Célébrons la victoire Du plus puissant des dieux ; Faisons retentir jusqu'aux cieux Le bruit éclatant de sa gloire : Célébrons la victoire Du plus puissant des dieux. Ce palais va tomber ; ô dieux ! La terre s'ouvre ! Quels tremblements affreux ! L'enfer découvre Ses gouffres ténébreux. Jupiter lancez le tonnerre, Renversez par de nouveaux coups Le chef audacieux des enfants de la terre : Il veut se relever pour s'armer contre vous, Achevez d'étouffer la guerre. Jupiter : lancez le tonnerre. On danse autour d'un trophée qu'on élève à l'honneur de Jupiter, et que l'on forme du débris des armes monstrueuses des gens vaincus. Sur la fin de cette fête on entend un tremblement de terre qui fait tomber une partie du palais de Cérès. Le tonnerre tombe sur le mont Etna, qui paraît dans l'éloignement ; et ce coup achève d'accabler le chef des géants, qui s'efforçait de se relever."")",1.38,Substitution
83,"('#licomede', ""Straton, donne ordre qu'on s'apprête  Pour commencer la Fête.  STRATON se retire."")",,1.0,Insertion
84,"('#licomede', ""Enfin, grâce au dépit, je goûte la douceur  De sentir le repos de retour dans mon coeur.  J'étais à préférer au Roi de Thessalie ;  Et si pour sa gloire, on publie  Qu'Apollon autrefois lui servit de Pasteur,  Je suis Roi de Scyros, et Thétis est ma soeur.  J'ai su me consoler d'un hymen qui m'outrage,  J'en ordonne les Jeux avec tranquillité.  Qu'aisément le dépit dégage  Des fers d'une ingrate Beauté :  Et qu'après un long esclavage,  Il est doux d'être en liberté. "")","('#crinise', ""Jupiter a dompté les Géants pour jamais. Ce beau séjour brille de nouveaux charmes, Tout y ressent le retour de la paix : Ah ! Que le repos a d'attraits Après de mortelles alarmes."")",0.03,Substitution
85,"('#cephise', ""Il n'est pas sûr toujours de croire l'apparence :  Un coeur bien pris, et bien touché,  N'est pas aisément détaché,  Ni sitôt guéri que l'on pense ;  Et l'amour est souvent caché  Sous une feinte indifférence. "")","('#alphee', ""La paix dans ces beaux lieux m'offre en vain mille appas. L'amour en rend pour moi la douceur inutile ; Cruel amour, hélas ! Que me sert-il de voir tout le monde tranquille Si mon coeur ne l'est pas ?"")",0.53,Substitution
86,,"('#crinise', ""Vous changez, vous quittez une nymphe inhumaine. Votre coeur ne risque rien À choisir une autre chaîne, C'est toujours un bien De changer de peine."")",1.0,Deletion
