,crebillon-catilina,voltaire-rome-sauvee,Cost,Operation Type
10,"('#lentulus', ""Ah ! Je te reconnais à ce noble langage : Rome même est trop peu pour un si grand courage ; Remplis ton sort, fais voir à l'univers jaloux Qu'il ne devait avoir d'autres maîtres que nous. Adieu, Catilina. Probus vient : je te laisse."")","('#aurelie', ""Je le souhaite au moins. Mais me tromperiez-vous ? Peut-on cacher son coeur aux coeurs qui sont à nous ? En vous justifiant, vous redoublez ma crainte. Dans vos yeux égarés trop d'horreur est empreinte. Ciel ! que fera mon père, alors que dans ces lieux Ces funestes apprêts viendront frapper ses yeux ? Souvent les noms de fille, et de père, et de gendre, Lorsque Rome a parlé, n'ont pu se faire entendre. Notre hymen lui déplut, vous le savez assez : Mon bonheur est un crime à ses yeux offensés. On dit que Nonnius est mandé de Préneste. Quels effets il verra de cet hymen funeste ! Cher époux, quel usage affreux, infortuné, Du pouvoir que sur moi l'amour vous a donné ! Vous avez un parti ; mais Cicéron, mon père, Caton, Rome, les dieux, sont du parti contraire. Peut-être Nonnius vient vous perdre aujourd'hui."")",0.41,Substitution
11,"('#catilina', ""Va ; dis à Céthégus qu'il tienne sa promesse : L'un et l'autre en secret daignez voir Manlius, Et faites observer Fulvie et Curius."")","('#catilina', 'Non, il ne viendra point ; ne craignez rien de lui.')",1.3,Substitution
12,,"('#aurelie', 'Comment ?')",1.0,Deletion
13,"('#probus', ""Eh quoi ! Seigneur, c'est vous que votre vigilance A conduit le premier aux autels que j'encense ! Saviez-vous que Tullie y dût porter ses pas ?"")","('#catilina', ""Aux murs de Rome il ne pourra se rendre Que pour y respecter et sa fille et son gendre. Je ne puis m'expliquer, mais souvenez-vous bien Qu'en tout son intérêt s'accorde avec le mien. Croyez, quand il verra qu'avec lui je partage De mes justes projets le premier avantage, Qu'il sera trop heureux d'abjurer devant moi Les superbes tyrans dont il reçut la loi. Je vous ouvre à tous deux, et vous devez m'en croire, Une source éternelle et d'honneur et de gloire."")",0.63,Substitution
14,"('#catilina', ""Je le sais, cependant je ne l'y cherche pas ; Votre intérêt, Probus, est tout ce qui m'amène, Et mon coeur à vous seul veut confier sa peine. César, que Cicéron appuyait au sénat, César est désormais sûr du pontificat ; Il l'emporte sur vous, et son audace extrême Veut soumettre à ses lois la religion même. J'ai cru de Cicéron, qui vous est allié, Que mon parti pour vous serait fortifié, Ou qu'il choisirait mieux du moins votre adversaire ; Mais ses trésors ont fait ce que je n'ai pu faire : C'est ainsi qu'aujourd'hui se gouvernent les lois. Ce sénat, le modèle et le tuteur des rois, Qui fit à l'univers admirer sa justice, Qui punissait de mort un soupçon d'avarice, Qui puisait ses décrets dans le conseil des dieux, Vend ce qu'à la vertu réservaient nos aïeux. Je vois avec douleur que cet affront vous blesse."")","('#aurelie', ""La gloire est bien douteuse, et le péril certain. Que voulez-vous ? Pourquoi forcer votre destin ? Ne vous suffit-il pas, dans la paix, dans la guerre, D'être un des souverains sous qui tremble la terre ? Pour tomber de plus haut, où voulez-vous monter ? Les noirs pressentiments viennent m'épouvanter. J'ai trop chéri le joug où je me suis soumise. Voilà donc cette paix que je m'étais promise, Ce repos de l'amour que mon coeur a cherché ! Les dieux m'en ont punie, et me l'ont arraché. Dès qu'un léger sommeil vient fermer mes paupières, Je vois Rome embrasée, et des mains meurtrières, Des supplices, des morts, des fleuves teints de sang ; De mon père au sénat je vois percer le flanc ; Vous-même, environne d'une troupe en furie, Sur des monceaux de morts exhalant votre vie ; Des torrents de mon sang répandus par vos coups, Et votre épouse enfin mourante auprès de vous. Je me lève, je fuis ces images funèbres ; Je cours, je vous demande au milieu des ténèbres : Je vous retrouve, hélas ! et vous me replongez Dans l'abîme des maux qui me sont présagés."")",0.0,Match
15,"('#probus', ""Eh ! Ce n'est pas moi seul, Seigneur, qu'il intéresse ; Il rejaillit sur vous encor plus que sur moi, Vous qu'un vil orateur fait plier sous sa loi ; Vous qui jusqu'à ce jour, armé d'un front terrible, Des cours audacieux fûtes le moins flexible ; Qui d'un sénat tremblant à votre fier aspect Forciez d'un seul regard l'insolence au respect : À sa voix aujourd'hui plus soumis qu'un esclave, Enfin à votre tour vous souffrez qu'on vous brave ; Et vous abandonnez le soin de l'univers À des hommes sans nom qui mettent Rome aux fers. Eh ! Que m'importe à moi que le sénat m'outrage, Que la corruption mette à prix son suffrage ? L'univers ne perd rien à mon abaissement, Mon nom ni mes vertus n'en font pas l'ornement ; Les dieux ne m'ont point fait pour le régir en maître : Vous seul... mais désormais méritez-vous de l'être Avec une valeur qui n'oserait agir, Et ce front outragé qui ne sait que rougir ? Quoi ! Pour vous engager à sauver la patrie Faudra-t-il qu'avec moi tout un peuple s'écrie : « La mort nous a ravi Marius et Sylla ; Qu'ils revivent en toi, règne, Catilina ? »"")","('#catilina', ""Allez, Catilina ne craint point les augures ; Et je veux du courage, et non pas des murmures, Quand je sers et l'état, et vous, et mes amis."")",0.58,Substitution
16,"('#catilina', ""Probus, ne tentez point une indigne victoire. Les crimes du sénat ne souillent point ma gloire ; Je frémis comme vous de tout ce que j'y vois, De l'abus du pouvoir, et du mépris des lois ; J'admire en vous surtout cette âme bienfaisante Que l'approche des dieux rend si compatissante : Mais parmi tant d'objets cités pour m'émouvoir Vous en oubliez un."")","('#aurelie', ""Ah ! Cruel ! Est-ce ainsi que l'on sert son pays ? J'ignore à quels desseins ta fureur s'est portée ; S'ils étaient généreux, tu m'aurais consultée : Nos communs intérêts semblaient te l'ordonner : Si tu feins avec moi, je dois tout soupçonner. Tu te perdras : déjà ta conduite est suspecte A ce consul sévère, et que Rome respecte."")",0.1,Substitution
17,,"('#catilina', 'Cicéron respecté ! Lui, mon lâche rival !')",1.0,Deletion
18,"('#probus', 'Quel est-il ?')","('#martian', 'Seigneur, Cicéron vient près de ce lieu fatal ; Par son ordre bientôt le sénat se rassemble : Il vous mande en secret.')",1.65,Substitution
19,,"('#aurelie', 'Catilina, je tremble A cet ordre subit, à ce funeste nom.')",1.0,Deletion
20,"('#catilina', ""Mon devoir. À combien de désirs il faut que l'on s'arrache, Si l'on veut conserver une vertu sans tache ! L'outrage n'est suivi d'aucun ressentiment Dès que le bien public s'oppose au châtiment ; Ses intérêts sacrés sont notre loi suprême, Et s'immoler pour eux c'est vivre pour soi-même. Considérez ce temple orné de mes aïeux, Que Rome a cru devoir placer parmi vos dieux ; Le sang qu'ils prodiguaient pour cette auguste mère N'a laissé dans son sein qu'un fils qui la révère ; Et, tout muets qu'ils sont, ces marbres généreux Ne m'en disent pas moins qu'il faut l'être autant qu'eux. Rome ne me doit rien, et je lui dois la vie."")","('#catilina', ""Mon épouse trembler au nom de Cicéron ! Que Nonnius séduit le craigne et le révère ; Qu'il déshonore ainsi son rang, son caractère ; Qu'il serve, il en est digne, et je plains son erreur : Mais de vos sentiments j'attends plus de grandeur. Allez, souvenez-vous que vos nobles ancêtres Choisissaient autrement leurs consuls et leurs maîtres. Quoi ! Vous femme et Romaine, et du sang d'un Néron, Vous seriez sans orgueil et sans ambition ? Il en faut aux grands coeurs."")",0.0,Match
21,"('#probus', ""Ainsi vous souffrirez qu'elle soit asservie ; Qu'un peuple qui vous a nommé son protecteur Soit réduit à chercher un autre défenseur. En vain, fondant sur vous sa plus chère espérance, Rome vous élevait à la toute-puissance : J'entrevois dans le coeur d'un fier patricien Les faiblesses de coeur d'un obscur plébéien ; Et c'est Catilina qui seul ici protège Un reste de sénat impur et sacrilège, Un tas d'hommes nouveaux proscrits par cent décrets, Que l'orgueilleux Sylla dédaigna pour sujets ! Disparu dans l'abîme où son orgueil le plonge, Les grandeurs du sénat ont passé comme un songe : Non, ce n'est plus ce corps digne de nos autels, Où les dieux opinaient à côté des mortels ; De ce corps avili Minerve s'est bannie À l'aspect de leur luxe et de leur tyrannie ; On ne voit que l'or seul présider au sénat, Et de profanes voix fixer le consulat. Enfin Rome n'est plus, sans le secours d'un maître ; Et qui d'eux plus que vous serait digne de l'être ? César semble promettre un heureux avenir, Que peut-être moins jeune il osera ternir : Lucullus n'est plus rien, et son rival Pompée N'a pour lui qu'un bonheur où Rome s'est trompée. Crassus, plein de désirs indignes d'un grand coeur, Borne à de vils trésors les soins de sa grandeur : Cicéron, ébloui du feu de son génie... Mais je veux respecter le père de Tullie. Pour Caton, je n'y vois qu'un courage insensé, Un faste de vertu qu'on a trop encensé. Le reste n'est point fait pour prétendre à l'empire ; C'est à vous seul, Seigneur, que j'ose le prédire. Quelle gloire pour vous, en domptant les romains, De pouvoir vous vanter au reste des humains Que, sans avoir des dieux emprunté le tonnerre, Un seul homme a changé la face de la terre !"")","('#aurelie', ""Tu crois le mien timide ; La seule cruauté te paraît intrépide. Tu m'oses reprocher d'avoir tremblé pour toi. Le consul va paraître ; adieu, mais connais-moi : Apprends que cette épouse à tes lois trop soumise, Que tu devais aimer, que ta fierté méprise, Qui ne peut te changer, qui ne peut t'attendrir, Plus Romaine que toi, peut t'apprendre à mourir."")",0.17,Substitution
22,"('#catilina', 'Ministre des autels, que me proposez-vous ?')",,1.0,Insertion
23,"('#probus', ""La gloire de bien faire, et le salut de tous ; Ce qu'un grand coeur, flatté de cet honneur suprême, Aurait dû dès longtemps se proposer lui-même."")","('#catilina', 'Que de chagrins divers il faut que je dévore ! Cicéron que je vois est moins à craindre encore.')",0.98,Substitution
24,"('#catilina', ""Ah, Probus ! Je l'avoue, une si noble ardeur Porte des traits de feu jusqu'au fond de mon coeur ; Je sens que malgré moi mes scrupules vous cèdent."")","('#ciceron', 'Suivez mon ordre, allez ; de ce perfide coeur Je prétends, sans témoin, sonder la profondeur. La crainte quelquefois peut ramener un traître.')",0.24,Substitution
25,,"('#catilina', ""Quoi ! C'est ce plébéien dont Rome a fait son maître !"")",1.0,Deletion
26,"('#probus', ""Hé bien ! Qu'à ce remords de prompts effets succèdent : D'armes et de soldats remplissons tous ces lieux Où le sénat impie ose troubler mes dieux ; Dans un sang ennemi..."")","('#ciceron', ""Avant que le sénat se rassemble à ma voix, Je viens, Catilina, pour la dernière fois, Apporter le flambeau sur le bord de l'abîme Où votre aveuglement vous conduit par le crime."")",0.61,Substitution
27,,"('#catilina', 'Qui ? Vous ?')",1.0,Deletion
28,"('#probus', ""Mais j'aperçois Tullie."")","('#ciceron', 'Moi.')",1.27,Substitution
29,"('#catilina', ""Ne vous éloignez point, cher Probus, je vous prie : J'ai besoin de conseil dans le trouble où je suis ; Et je vous rejoindrai bientôt, si je le puis. Probus se retire dans le fond du théâtre."")","('#catilina', ""C'est ainsi que votre inimitié..."")",1.46,Substitution
30,"('#catilina', ""Quoi ! Madame, aux autels vous devancez l'aurore ! Eh ! Quel soin si pressant vous y conduit encore ? Qu'il m'est doux cependant de revoir vos beaux yeux, Et de pouvoir ici rassembler tous mes dieux !"")","('#ciceron', ""C'est ainsi que s'explique un reste de pitié. Vos cris audacieux, votre plainte frivole, Ont assez fatigué les murs du Capitole. Vous feignez de penser que Rome et le sénat Ont avili dans moi l'honneur du consulat. Concurrent malheureux à cette place insigne, Votre orgueil l'attendait, mais en étiez-vous digne ? La valeur d'un soldat, le nom de vos aïeux, Ces prodigalités d'un jeune ambitieux, Ces jeux et ces festins qu'un vain luxe prépare, Étaient-ils un mérite assez grand, assez rare, Pour vous faire espérer de dispenser des lois Au peuple souverain qui règne sur les rois ? A vos prétentions j'aurais cédé peut-être, Si j'avais vu dans vous ce que vous deviez être. Vous pouviez de l'état être un jour le soutien : Mais pour être consul, devenez citoyen. Pensez-vous affaiblir ma gloire et ma puissance, En décriant mes soins, mon état, ma naissance ? Dans ces temps malheureux, dans nos jours corrompus, Faut-il des noms à Rome ? Il lui faut des vertus. Ma gloire (et je la dois à ces vertus sévères) Est de ne rien tenir des grandeurs de mes pères. Mon nom commence en moi : de votre honneur jaloux, Tremblez que votre nom ne finisse dans vous."")",0.33,Substitution
31,,"('#catilina', ""Vous abusez beaucoup, magistrat d'une année, De votre autorité passagère et bornée."")",1.0,Deletion
32,"('#tullie', ""Si ce sont là les dieux à qui tu sacrifies, Apprends qu'ils ont toujours abhorré les impies, Et que si leur pouvoir égalait leur courroux La foudre deviendrait le moindre de leurs coups."")","('#ciceron', ""Si j'en avais usé, vous seriez dans les fers, Vous, l'éternel appui des citoyens pervers ; Vous qui, de nos autels souillant les privilèges, Portez jusqu'aux lieux saints vos fureurs sacrilèges ; Qui comptez tous vos jours, et manquez tous vos pas Par des plaisirs affreux ou des assassinats ; Qui savez tout braver, tout oser, et tout feindre : Vous enfin, qui sans moi seriez peut-être à craindre. Vous avez corrompu tous les dons précieux Que, pour un autre usage, ont mis en vous les dieux ; Courage, adresse, esprit, grâce, fierté sublime, Tout, dans votre âme aveugle, est l'instrument du crime. Je détournais de vous des regards paternels, Qui veillaient au destin du reste des mortels. Ma voix, que craint l'audace, et que le faible implore, Dans le rang des Verrès ne vous mit point encore ; Mais, devenu plus fier par tant d'impunité, Jusqu'à trahir l'État vous avez attenté. Le désordre est dans Rome, il est dans l'Etrurie ; On parle de Préneste, on soulève l'Ombrie ; Les soldats de Sylla, de carnage altérés, Sortent de leur retraite aux meurtres préparés ; Mallius en Toscane arme leurs mains féroces ; Les coupables soutiens de ces complots atroces Sont tous vos partisans déclarés ou secrets ; Partout le noeud du crime unit vos intérêts. Ah ! Sans qu'un jour plus grand éclaire ma justice, Sachez que je vous crois leur chef ou leur complice ; Que j'ai partout des yeux, que j'ai partout des mains ; Que malgré vous encore il est de vrais Romains ; Que ce cortège affreux d'amis vendus au crime Sentira comme vous l'équité qui m'anime. Vous n'avez vu dans moi qu'un rival de grandeur, Voyez-y votre juge, et votre accusateur, Qui va dans un moment vous forcer de répondre Au tribunal des lois qui doivent vous confondre ; Des lois qui se taisaient sur vos crimes passés, De ces lois que je venge, et que vous renversez."")",0.54,Substitution
33,"('#catilina', ""Tullie, expliquez-moi ce que je viens d'entendre ; Ma gloire et mon amour craignent de s'y méprendre ; Et si nous n'étions seuls, malgré ce que je vois, Je ne croirais jamais que l'on s'adresse à moi."")","('#catilina', ""Je vous ai déjà dit, seigneur, que votre place Avec Catilina permet peu cette audace ; Mais je veux pardonner des soupçons si honteux, En faveur de l'état que nous servons tous deux : Je fais plus, je respecte un zèle infatigable, Aveugle, je l'avoue, et pourtant estimable. Ne me reprochez plus tous mes égarements, D'une ardente jeunesse impétueux enfants ; Le sénat m'en donna l'exemple trop funeste. Cet emportement passe, et le courage reste. Ce luxe, ces excès, ces fruits de la grandeur, Sont les vices du temps, et non ceux de mon coeur. Songez que cette main servit la république ; Que soldat en Asie, et juge dans l'Afrique, J'ai, malgré nos excès et nos divisions, Rendu Rome terrible aux yeux des nations. Moi je la trahirais ! Moi qui l'ai su défendre !"")",0.56,Substitution
