,moliere-amants-magnifiques,quinault-fetes-amour-bacchus,Cost,Operation Type
38,"('#clitidas', ""Ma conjecture est fondée.  Je lui vois reculer beaucoup le choix de son époux, et je veux éclaircir un peu cette petite affaire-là.  Vous savez que je suis auprès d'elle en quelque espèce de faveur, que j'y ai les accès ouverts, et qu'à force de me tourmenter je me suis acquis le privilège de me mêler à la conversation, et parler à tort et à travers de toutes choses.  Quelquefois cela ne me réussit pas, mais quelquefois aussi cela me réussit.  Laissez-moi faire, je suis de vos amis, les gens de mérite me touchent, et je veux prendre mon temps pour entretenir la Princesse de..."")","('#autre-gascon', ""Eh, cadedis, Monseu, boyez qui l'on peut être, Un livret, je bous prie, au Baron Dasbarat ; Je pense, mordi, que le fat N'a pas l'honneur dé mé connaître."")",0.76,Substitution
39,"('#sostrate', ""Ah !  De grâce, quelque bonté que mon malheur t'inspire, garde-toi bien de lui rien dire de ma flamme.  J'aimerais mieux mourir que de pouvoir être accusé par elle de la moindre témérité, et ce profond respect où ses charmes divins..."")","('#le-suisse', ""Monsieur le donneur de papieir, Que veul dir sty façon de fifre ? Moi l'écorchair tout mon gozieir A crieir,  Sans que je pouvre afoir ein lifre: Pardi, mon foi, Monsieur, je pense sous l'être ifre. Le Donneur de livres fatigué par les quatre importuns, se retire en colère."")",0.36,Substitution
40,"('#clitidas', 'Taisons-nous, voici tout le monde.')",,1.0,Insertion
41,"('#aristione', ""Prince, je ne puis me lasser de le dire, il n'est point de spectacle au monde qui puisse le disputer en magnificence à celui que vous venez de nous donner. Cette fête a eu des ornements qui l'emportent sans doute sur tout ce que l'on saurait voir, et elle vient de produire à nos yeux quelque chose de si noble, de si grand et de si majestueux, que le Ciel même ne saurait aller au delà, et je puis dire assurément qu'il n'y a rien dans l'univers qui s'y puisse égaler."")","('#vieux-bourgeois-babillard', ""De tout ceci franc et net, Je suis mal satisfait, Et cela sans doute est laid. Que notre fille  Si bien faite et si gentille De tant d'amoureux l'objet, N'ait pas à son souhait Un livre de Ballet Pour lire le sujet Du divertissement qu'on fait, Et que toute notre famille Si proprement s'habille, Pour être placée au sommet De la Salle, où l'on met  Les gens de l'entriguet. De tout ceci franc et net Je suis mal satisfait, Et cela sans doute est laid."")",0.41,Substitution
42,"('#timocles', ""Ce sont des ornements dont on ne peut pas espérer que toutes les fêtes soient embellies, et je dois fort trembler, Madame, pour la simplicité du petit divertissement que je m'apprête à vous donner dans le bois de Diane."")","('#vieille-bourgeois-babillarde', ""Il est vrai que c'est une honte, Le sang au visage me monte. Et ce jetteur de vers qui manquent au capital L'entends fort mal, C'est un brutal. Un vrai cheval, Franc animal, De faire si peu de Comte D'une fille qui fait l'ornement principal Du quartier du Palais-Royal, Et que ces jours passés un Comte Fut prendre la première au bal. Il l'entend mal, C'est un brutal, Un vrai cheval Franc animal."")",0.53,Substitution
43,"('#aristione', ""Je crois que nous n'y verrons rien que de fort agréable, et certes il faut avouer que la campagne a lieu de nous paraître belle, et que nous n'avons pas le temps de nous ennuyer dans cet agréable séjour qu'ont célébré tous les poètes sous le nom de Tempé.  Car enfin, sans parler des plaisirs de la chasse que nous y prenons à toute heure, et de la solennité des jeux Pythiens que l'on y célèbre tantôt, vous prenez soin l'un et l'autre de nous y combler de tous les divertissements qui peuvent charmer les chagrins des plus mélancoliques.  D'où vient, Sostrate, qu'on ne vous a point vu dans notre promenade ?"")","('#hommes-du-bel-air #femmes-du-bel-air', ""Ah quel bruit !  Quel fracas ! Que cahos ! Quel mélange ! Quelle confusion ! Quelle cohue étrange ! Quel désordre !  Quel embarras ! On y sèche, L'on y tient pas."")",1.3,Substitution
44,"('#sostrate', ""Une petite indisposition, Madame, m'a empêché de m'y trouver."")",,1.0,Insertion
45,"('#iphicrate', ""Sostrate est de ces gens, Madame, qui croient qu'il ne sied pas bien d'être curieux comme les autres, et il est beau d'affecter de ne pas courir où tout le monde court."")",,1.0,Insertion
46,"('#sostrate', ""Seigneur, l'affectation n'a guère de part à tout ce que je fais, et sans vous faire compliment, il y avait des choses à voir dans cette fête, qui pouvaient m'attirer, si quelque autre motif ne m'avait retenu."")",,1.0,Insertion
47,"('#aristione', 'Et Clitidas a-t-il vu cela ?')",,1.0,Insertion
48,"('#clitidas', 'Oui, Madame, mais du rivage.')",,1.0,Insertion
49,"('#aristione', 'Et pourquoi du rivage ?')",,1.0,Insertion
50,"('#clitidas', ""Ma foi !  Madame, j'ai craint quelqu'un des accidents qui arrivent d'ordinaire dans ces confusions.  Cette nuit, j'ai songé de poisson mort, et d'oeufs cassés, et j'ai appris du Seigneur Anaxarque que les oeufs cassés et le poisson mort signifient malencontre."")",,1.0,Insertion
51,"('#anaxarque', ""Je remarque une chose, que Clitidas n'aurait rien à dire s'il ne parlait de moi."")",,1.0,Insertion
52,"('#clitidas', ""C'est qu'il y a tant de choses à dire de vous, qu'on n'en saurait parler assez."")",,1.0,Insertion
53,"('#anaxarque', ""Vous pourriez prendre d'autres matières, puisque je vous en ai prié."")",,1.0,Insertion
54,"('#clitidas', ""Le moyen, ne dites-vous pas que l'ascendant est plus fort que tout ; et s'il est écrit dans les astres que je sois enclin à parler de vous, comment voulez-vous que je résiste à ma destinée ?"")","('#le-gascon', 'Bentre, je fuis à bout.')",1.32,Substitution
55,"('#anaxarque', 'Avec tout le respect, Madame, que je vous dois, il y a une chose qui est fâcheuse dans votre Cour que tout le monde y prenne liberté de parler, et que le plus honnête homme y soit exposé aux railleries du premier méchant plaisant.')",,1.0,Insertion
56,"('#clitidas', ""Je vous rends grâce de l'honneur."")",,1.0,Insertion
57,"('#aristione', ""Que vous êtes fou de vous chagriner de ce qu'il dit !"")","('#autre-gascon', ""J'enrage, Dieu me damne."")",0.94,Substitution
58,"('#clitidas', ""Avec tout le respect que je dois à Madame, il y a une chose qui m'étonne dans l'astrologie, comment des gens qui savent tous les secrets des Dieux, et qui possèdent des connaissances à se mettre au-dessus de tous les hommes, aient besoin de faire leur cour, et de demander quelque chose."")",,1.0,Insertion
59,"('#anaxarque', 'Vous devriez gagner un peu mieux votre argent, et donner à Madame de meilleures plaisanteries.')",,1.0,Insertion
60,"('#clitidas', ""Ma foi !  On les donne telles qu'on peut.  Vous en parlez fort à votre aise, et le métier de plaisant n'est pas comme celui d'astrologue.  Bien mentir et bien plaisanter sont deux choses fort différentes, et il est bien plus facile de tromper les gens que de les faire rire."")",,1.0,Insertion
61,"('#aristione', ""Eh !  Qu'est-ce donc que cela veut dire ?"")","('#le-suisse', 'Ah que lui faire foif dans sty fal de cians.')",1.72,Substitution
62,,"('#le-gascon', 'Je murs.')",1.0,Deletion
63,,"('#autre-gascon', 'Je perds la tramontane.')",1.0,Deletion
64,"('#clitidas', ""Paix !  Impertinent que vous êtes.  Ne savez-vous pas bien que l'astrologie est une affaire d'État, et qu'il ne faut point toucher à cette corde-là ?  Je vous l'ai dit plusieurs fois, vous vous émancipez trop, et vous prenez de certaines libertés qui vous joueront un mauvais tour : je vous en avertis ; vous verrez qu'un de ces jours on vous donnera du pied au cul, et qu'on vous chassera comme un faquin.  Taisez-vous, si vous êtes sage."")","('#le-suisse', 'Mon foi, moi le foudrais être hors de dedans.')",1.58,Substitution
65,"('#aristione', 'Où est ma fille ?')",,1.0,Insertion
66,"('#timocles', ""Madame, elle s'est écartée, et je lui ai présenté une main qu'elle a refusé d'accepter."")",,1.0,Insertion
67,"('#aristione', ""Princes, puisque l'amour que vous avez pour Ériphile, a bien voulu se soumettre aux lois que j'ai voulu vous imposer, puisque j'ai su obtenir de vous que vous fussiez rivaux sans devenir ennemis, et qu'avec pleine soumission aux sentiments de ma fille, vous attendez un choix dont je l'ai faite seule maîtresse ; ouvrez-moi tous deux le fond de votre âme, et me dites sincèrement quel progrès vous croyez l'un et l'autre avoir fait sur son coeur."")","('#vieux-bourgeois-babillard', ""Allons, ma vie, Suivez mes pas, Je vous en prie,  Et ne me quittez pas ;  On fait de nous trop peu de cas,  Et je fuis las De ce tracas; Tout ce fatras, Cet embarras, Me pèse pas trop sur les bras ; S'il me prend jamais envie De retourner de ma vie À Ballet ni Comédie, Je veux bien qu'on m'estropie. Allons, ma mie, Suivez mes pas,\t Je vous en prie, Et ne me quittez pas, On fait de nous trop peu de cas."")",0.9,Substitution
68,"('#timocles', ""Madame, je ne suis point pour me flatter, j'ai fait ce que j'ai pu pour toucher le coeur de la princesse Ériphile, et je m'y suis pris, que je crois, de toutes les tendres manières dont un amant se peut servir.  Je lui ai fait des hommages soumis de tous mes voeux ; j'ai montré des assiduités ; j'ai rendu des soins chaque jour ; j'ai fait chanter ma passion aux voix les plus touchantes, et l'ai exprimer en vers aux plumes les plus délicates ; je me suis plaint de mon martyre en des termes passionnés ; j'ai fait dire à mes yeux aussi bien qu'à ma bouche le désespoir de mon amour ; j'ai poussé à ses pieds, des soupirs languissants ; j'ai même répandu des larmes, mais tout cela inutilement, et je n'ai point connu qu'elle ait dans l'âme aucun ressentiment de mon ardeur."")","('#vieille-bourgeois-babillarde', ""Allons, mon Mignon, mon fils, Regagnons notre logis, Et sortons de ce taudis Où l'on ne peut être assis ; Ils seront bien ébaubis? Quand ils nous verront partis / Trop de confusion règne dans cette salle, Et j'aimerais mieux être au milieu de la Halle : Si jamais je reviens à semblable régale, Je veux bien recevoir des soufflets plus de six. Allons, mon mignon, mon fils, Regagnons notre logis, Et sortons de ce taudis, Où l'on ne peut être assis. Le Donneur de livres revient avec les quatre imprimeurs qui l'ont suivi, ce qui oblige encore ceux qui sont placés dans les balcons de s'écrier."")",0.85,Substitution
69,"('#aristione', 'Et vous, Prince ?')",,1.0,Insertion
70,"('#iphicrate', ""Pour moi, Madame, connaissant son indifférence et le peu de cas qu'elle fait des devoirs qu'on lui rend, je n'ai voulu perdre auprès d'elle ni plaintes, ni soupirs, ni larmes.  Je sais qu'elle est toute soumise à vos volontés, et que ce n'est que de votre main seule qu'elle voudra prendre un époux.  Aussi n'est-ce qu'à vous que je m'adresse pour l'obtenir, à vous plutôt qu'à elle que je rends tous mes soins et tous mes hommages.  Et plût au Ciel, Madame, que vous eussiez pu vous résoudre à tenir sa place ; que vous eussiez voulu jouir des conquêtes que vous lui faites, et recevoir pour vous les voeux que vous lui renvoyez."")","('#tous-ensemble', ""À moi, Monsieur, à moi de grâce, à moi, Monsieur, Un livre, s'il vous plaît à votre serviteur."")",0.79,Substitution
71,"('#aristione', ""Prince, le compliment est d'un amant adroit, et vous avez entendu dire qu'il fallait cajoler les mères pour obtenir les filles ; mais ici, par malheur, tout cela devient inutile, et je me suis engagée à laisser le choix entier à l'inclination de ma fille."")","('#polymnie', ""Élevez vos concerts Au dessus du chant ordinaire ; Songez que vous avez à plaire Au plus grand ROI de l'Univers. Le grand titre de Roi n'est que sa moindre gloire, Il est encor plus grand par les travaux guerriers ; Et sa propre valeur a cueilli les lauriers Dont il est couronné des mains de la Victoire. Suivez la noble ardeur  Qu'il vous inspire ; Tout ce qu'on voit dans son Empire Se doit sentir de sa grandeur. Melpomène qui préside à la tragédie et Euterpe qui a inventé l'Harmonie pastorale s'avancent sur deux nuages. Melpomène paraît au milieu de plusieurs trophées d'armes ; et Euterpe environnée de festons et de couronnes de fleurs. Elles sont précédées de deux symphonies opposées, dont l'une est très forte, et l'autre extrêmement douce, et qui forment une espèce de combat, tandis que les deux muses viennent se placer aux deux côtés de Polymnie pour la prier d'embellir les divertissements qu'elles veulent préparer."")",0.57,Substitution
72,"('#iphicrate', ""Quelque pouvoir que vous lui donniez pour ce choix, ce n'est point compliment, Madame, que ce que je vous dis.  Je ne recherche la princesse Ériphile, que parce qu'elle est votre sang ; je la trouve charmante par tout ce qu'elle tient de vous, et c'est vous que j'adore en elle."")",,1.0,Insertion
73,"('#aristione', 'Voilà qui est fort bien.')",,1.0,Insertion
74,"('#iphicrate', 'Oui, Madame, toute la terre voit en vous des attraits et des charmes que je...')","('#melpomene', 'Joignez à mes chants magnifiques, La pompe de vos ornements.')",0.73,Substitution
75,"('#aristione', ""De grâce, Prince, ôtons ces charmes et ces attraits : vous savez que ce sont des mots que je retranche des compliments qu'on veut me faire.  Je souffre qu'on me loue de ma sincérité, qu'on dise que je suis une bonne princesse, que j'ai de la parole pour tout le monde, de la chaleur pour mes amis, et de l'estime pour le mérite et la vertu, je puis tâter de tout cela ; mais pour les douceurs de charmes et d'attraits, je suis bien aise qu'on ne m'en serve point, et quelque vérité qui s'y pût rencontrer, on doit faire quelque scrupule d'en goûter la louange, quand on est mère d'une fille comme la mienne."")","('#euterpe', 'Joignez à mes concerts rustiques, Vos agréments Les plus charmants.')",1.09,Substitution
76,"('#iphicrate', ""Ah !  Madame, c'est vous qui voulez être mère malgré tout le monde, il n'est point d'yeux qui ne s'y opposent, et si vous le vouliez la princesse Ériphile ne serait que votre soeur."")",,1.0,Insertion
77,"('#aristione', ""Mon_Dieu, Prince, je ne donne point dans tous ces galimatias où donnent la plupart des femmes ; je veux être mère, parce que je le suis, et ce serait en vain que je ne le voudrais pas être.  Ce titre n'a rien qui me choque, puisque, de mon consentement, je me suis exposée à le recevoir, c'est un faible de notre sexe, dont grâce au Ciel, je suis exempte, et je ne m'embarrasse point de ces grandes disputes d'âge, sur quoi nous voyons tant de folles.  Revenons à notre discours.  Est-il possible que jusqu'ici vous n'ayez pu connaître où penche l'inclination d'Ériphile ?"")","('#melpomene', ""Votre secours m'est nécessaire, Je cherche à divertir le plus Auguste Roi Qui méritât jamais de tenir sous sa loi Tout ce que le Soleil éclaire."")",0.71,Substitution
78,"('#iphicrate', 'Ce sont obscurités pour moi.')",,1.0,Insertion
79,"('#timocles', ""C'est pour moi un mystère impénétrable."")",,1.0,Insertion
80,"('#aristione', ""La pudeur peut-être l'empêche de s'expliquer à vous et à moi, servons-nous de quelque autre pour découvrir le secret de son coeur.  Sostrate, prenez de ma part cette commission, et rendez cet office à ces princes, de savoir adroitement de ma fille vers qui des deux ses sentiments peuvent tourner."")","('#melpomene #euterpe', ""C'est à moi, c'est à moi, De prétendre à lui plaire,"")",1.02,Substitution
81,"('#sostrate', ""Madame, vous avez cent personnes dans votre Cour, sur qui vous pourriez mieux verser l'honneur d'un tel emploi, et je me sens mal propre à bien exécuter ce que vous souhaitez de moi."")","('#melpomene', ""C'est moi dont la voix éclatante A droit de célébrer les exploits les plus grands, Les nobles récits que je chante Sont les plus dignes jeux des fameux conquérants."")",0.87,Substitution
82,"('#aristione', ""Votre mérite, Sostrate, n'est point borné aux seuls emplois de la guerre, vous avez de l'esprit, de la conduite, de l'adresse, et ma fille fait cas de vous."")",,1.0,Insertion
83,"('#sostrate', 'Quelque autre mieux que moi, Madame,...')",,1.0,Insertion
84,"('#aristione', 'Non, non, en vain vous vous en défendez.')",,1.0,Insertion
85,"('#sostrate', ""Puisque vous le voulez, Madame, il vous faut obéir, mais je vous jure que dans toute votre Cour, vous ne pouviez choisir personne qui ne fût en état de s'acquitter beaucoup mieux que moi d'une telle commission."")",,1.0,Insertion
86,"('#aristione', ""C'est trop de modestie, et vous vous acquitterez toujours bien de toutes les choses dont on vous chargera.  Découvrez doucement les sentiments d'Ériphile, et faites-la ressouvenir qu'il faut se rendre de bonne heure dans le bois de Diane."")","('#euterpe', ""C'est un doux amusement Que d'aimables chansonnettes ; Les douceurs n'en sont pas faites Pour les bergers seulement. Les tendres chansonnettes Que l'on chante à l'ombre des bois Sur les Musettes, Ne sont pas quelques fois Des jeux indignes des grands Rois."")",0.56,Substitution
87,"('#iphicrate', ""Vous pouvez croire que je prends part à l'estime que la Princesse vous témoigne."")","('#polymnie', ""Il faut entre mes soeurs que mon soin se partage : Préparez tour à tour vos plus aimables jeux ; Pour vous accorder, je m'engage À vous seconder toutes deux."")",0.54,Substitution
88,"('#timocles', ""Vous pouvez croire que je suis ravi du choix que l'on a fait de vous."")",,1.0,Insertion
89,"('#iphicrate', 'Vous voilà en état de servir vos amis.')",,1.0,Insertion
90,"('#timocles', ""Vous avez de quoi rendre de bons offices aux gens qu'il vous plaira."")",,1.0,Insertion
91,"('#iphicrate', 'Je ne vous recommande point mes intérêts.')",,1.0,Insertion
92,"('#timocles', 'Je ne vous dis point de parler pour moi.')",,1.0,Insertion
93,"('#sostrate', ""Seigneurs, il serait inutile, j'aurais tort de passer les ordres de ma commission, et vous trouverez bon que je ne parle ni pour l'un, ni pour l'autre."")",,1.0,Insertion
94,"('#iphicrate', 'Je vous laisse agir comme il vous plaira.')",,1.0,Insertion
95,"('#timocles', 'Vous en userez comme vous voudrez.')",,1.0,Insertion
96,"('#iphicrate', ""Clitidas se ressouvient bien qu'il est de mes amis : je lui recommande toujours de prendre mes intérêts auprès de sa maîtresse, contre ceux de mon rival."")",,1.0,Insertion
97,"('#clitidas', ""Laissez-moi faire : il y a bien de la comparaison de lui à vous, et c'est un prince bien bâti pour vous le disputer."")",,1.0,Insertion
98,"('#iphicrate', 'Je reconnaîtrai ce service.')","('#euterpe', 'Commencez de répondre à mon impatience.')",1.43,Substitution
99,"('#timocles', ""Mon rival fait sa cour à Clitidas ; mais Clitidas sait bien qu'il m'a promis d'appuyer contre lui les prétentions de mon amour."")",,1.0,Insertion
100,"('#clitidas', ""Assurément, et il se moque de croire l'emporter sur vous ; voilà auprès de vous un beau petit morveux de prince."")",,1.0,Insertion
101,"('#timocles', ""Il n'y a rien que je ne fasse pour Clitidas."")",,1.0,Insertion
102,"('#clitidas', ""Belles paroles de tous côtés.  Voici la Princesse ; prenons mon temps pour l'aborder."")","('#melpomene', ""Vos premiers soins sont dûs à ce que j'entreprends."")",0.84,Substitution
103,"('#cleonice', 'On trouvera étrange, Madame, que vous vous soyez ainsi écartée de tout le monde.')",,1.0,Insertion
104,"('#eriphile', ""Ah !  Qu'aux personnes comme nous qui sommes toujours accablées de tant de gens, un peu de solitude est parfois agréable, et qu'après mille impertinents entretiens, il est doux de s'entretenir avec ses pensées !  Qu'on me laisse ici promener toute seule."")",,1.0,Insertion
105,"('#cleonice', ""Ne voudriez-vous pas, Madame, voir un petit essai de la disposition de ces gens admirables qui veulent se donner à vous ?  Ce sont des personnes, qui par leurs pas, leurs gestes, et leurs mouvements expriment aux yeux toutes choses, et on appelle cela pantomimes.  J'ai tremblé à vous dire ce mot, et il y a des gens dans votre Cour qui ne me le pardonneraient pas."")","('#polymnie', ""Terminez tous vos différents. Souffrez qu'en sa faveur aujourd'hui je commence, Je réserve pour vous mes travaux les plus grands. Polymnie dit ces deux vers à Melpomène."")",0.16,Substitution
106,"('#eriphile', ""Vous avez bien la mine, Cléonice, de me venir ici régaler d'un mauvais divertissement ; car, grâce au Ciel vous ne manquez pas de vouloir produire indifféremment tout ce qui se présente à vous, et vous avez une affabilité qui ne rejette rien.  Aussi est-ce à vous seule qu'on voit avoir recours toutes les muses nécessitantes ; vous êtes la grande protectrice du mérite incommodé, et tout ce qu'il y a de vertueux indigents au monde va débarquer chez nous."")",,1.0,Insertion
107,"('#cleonice', ""Si vous n'avez pas envie de les voir, Madame, il ne faut que les laisser là."")",,1.0,Insertion
108,"('#eriphile', 'Non, non, voyons-les, faites-les venir.')",,1.0,Insertion
109,"('#cleonice', 'Mais peut-être, Madame, que leur danse sera méchante.')",,1.0,Insertion
110,"('#eriphile', 'Méchant, ou non, il la faut voir ; ce ne serait avec vous que reculer la chose, et il vaut mieux en être quitte.')",,1.0,Insertion
111,"('#cleonice', ""Ce ne sera ici, Madame, qu'une danse ordinaire, une autre fois..."")",,1.0,Insertion
112,"('#eriphile', ""Point de préambule, Cléonice, qu'ils dansent."")","('#les-trois-muses', ""Que notre accord est doux ! Que tout ce qui nous fuit s'accorde comme nous."")",0.96,Substitution
113,"('#eriphile', ""Voilà qui est admirable !  Je ne crois pas qu'on puisse mieux danser qu'ils dansent, et je suis bien aise de les avoir à moi."")",,1.0,Insertion
114,"('#cleonice', ""Et moi, Madame, je suis bien aise que vous ayez vu que je n'ai pas si méchant goût que vous avez pensé."")",,1.0,Insertion
