,la-fontaine-climene,cahusac-l-algerien,Cost,Operation Type
41,"('#euterpe', 'Ne vous semble-t-il pas que nos bois reverdissent, Depuis que nous chantons un si charmant objet ?')","('#apollon', 'Thalie !... Ah ! Quel bonheur !... Hâtez-vous de nous dire ?...')",0.73,Substitution
42,,"('#melpomene', ""Le Ciel nous le rendrait !... Eh ! Peut-on l'espérer ?..."")",1.0,Deletion
43,,"('#thalie', 'À vos tristes regrets cessez de vous livrer.')",1.0,Deletion
44,,"('#melpomene', 'Ah ! Thalie !... Il vivrait !...')",1.0,Deletion
45,"('#terpsichore', 'Oiseaux, hommes et dieux, que tous chantres choisissent Désormais, en leurs sons, Clymène pour sujet !')","('#thalie', 'Grâce aux Dieux il respire.')",1.14,Substitution
46,,"('#clio', 'Mais comment savez-vous ce changement heureux ?')",1.0,Deletion
47,,"('#thalie', ""Dans les yeux des Français qui craindraient moins pour eux, Il m'était aisé de le lire. Nous le verrons bientôt arriver dans ces lieux."")",1.0,Deletion
48,,"('#melpomene', 'Eh ! Le moyen de vous en croire.')",1.0,Deletion
49,"('#euterpe', ""Pour elle le printemps s'est habillé de roses."")","('#thalie', ""D'un peuple qui l'adore, il va combler les voeux ; J'en suis sûre. J'ai vu la gloire."")",1.55,Substitution
50,"('#terpsichore', 'Pour elle les zéphirs en parfument les airs.')","('#la-renommee', ""Je vole à l'Univers annoncer ce bonheur."")",0.85,Substitution
51,"('#euterpe', ""Et les oiseaux pour elle y joignent leurs concerts. Régnez, belle, régnez sur tant d'aimables choses."")","('#thalie', ""Non demeurez. Vous m'êtes nécessaire. Par un spectacle à son honneur... Le projet est hardi ; mais il est séducteur... N'importe. À ce héros mon dessein pourra plaire... En rêvant."")",0.59,Substitution
52,,"('#la-satire', 'Sans doute. Le dessein est un peu téméraire ; Mais pour signaler votre ardeur...')",1.0,Deletion
53,,"('#thalie', ""Je m'attendais à ce propos moqueur ; Je sais que votre ton injuste, atrabilaire, Marqué toujours au coin de la colère , Retarde les progrès, inspire la terreur ; Vous ne corrigez point, votre art est de déplaire."")",1.0,Deletion
54,,"('#apollon', ""Tout est pour son chagrin une vaste matière De fiel, de critique et d'aigreur,"")",1.0,Deletion
55,"('#terpsichore', ""Aimez, Clymène, aimez ; rendez quelqu'un heureux : Votre règne en aura plus d'appas pour vous-même."")","('#thalie', ""L'orgueil n'a point de part à ce projet flatteur, Pour ce Roi bienfaisant c'est un zèle sincère. Il est comme les Dieux, tout ce qui part du coeur A le droit de le satisfaire."")",0.8,Substitution
56,,"('#clio', 'Nous vous seconderons.')",1.0,Deletion
57,,"('#uranie', 'Courons tout préparer.')",1.0,Deletion
58,"('#euterpe', ""En ce nombre d'amants qui voulez-vous qu'elle aime ?"")","('#melpomene', ""Un même zèle ET m'anime et m'inspire ; Mes spectacles pompeux que l'Univers admire, Plus dignes d'un Héros..."")",1.08,Substitution
59,,"('#thalie', ""Cessez de l'espérer : Votre talent est de faire pleurer, Et le mien est de faire rire, La joie anime l'air que la France respire, Dans ces jours de bonheur on doit me préférer. Mais vous n'y perdrez rien. Je vous destine un rôle Qui vous conviendra fort, il est taillé pour vous."")",1.0,Deletion
60,,"('#melpomene', 'Mais je le jouerai mal.')",1.0,Deletion
61,"('#terpsichore', 'Acanthe.')","('#thalie', 'Fort bien sur ma parole.')",1.71,Substitution
62,"('#euterpe', 'Et pourquoi lui ?')","('#melpomene', 'Eh ! Quel est-il ?')",0.77,Substitution
63,,"('#thalie', ""C'est un rôle de folle ; Vous allez nous effacer tous."")",1.0,Deletion
64,"('#terpsichore', ""C'est le plus amoureux. Sire, êtes-vous content ?"")",,1.0,Insertion
65,"('#apollon', 'Assez. Que Melpomène Sur un ton qui nous touche introduise Clymène. Vous, Thalie, il vous faut contrefaire un amant Qui ne veut point borner son amoureux tourment.')","('#melpomene', 'Moi jouer une folle !.... En vérité Thalie... Mon état... ma grandeur...')",0.74,Substitution
66,,"('#thalie', ""J'ai tout fait pour le mieux, Croyez-moi, le grand sérieux N'est qu'une espèce de foliE."")",1.0,Deletion
67,"('#melpomene', 'Mes soeurs, je suis Clymène.')","('#apollon', ""Aurai-je un rôle aussi ? Car je brûle d'envie..."")",1.61,Substitution
68,,"('#thalie', 'Il est tout prêt.')",1.0,Deletion
69,"('#thalie', 'Et moi, je suis Acanthe.')","('#les-muses', 'Et moi ?')",1.3,Substitution
70,"('#apollon', 'Fort bien nous écoutons remplissez notre attente.')","('#thalie', 'Chacune aura le sien.')",1.27,Substitution
71,"('#climene', ""Acanthe, vous perdez votre temps et vos soins. Voulez-vous qu'on vous aime, aimez-nous un peu moins. Otez ce mot d'amour, c'est ce qu'on vous conseille."")","('#la-satire', ""Pour moi je n'en veux point."")",1.56,Substitution
72,"('#acanthe', ""Que je l'ôte ! Est-il rien de si doux à l'oreille ? Quoi ! De vous adorer Acanthe cesserait ! Contre sa passion il vous obéirait ! Ah ! Laissez-lui du moins son tourment pour salaire. Suis-je si dangereux ? Hélas! non ; si j'espère, Ce n'est plus d'être aimé ; tant d'heur ne m'est point dû : Je l'avais jusqu'ici follement prétendu. Mourir en vous aimant est toute mon envie :  Mon amour m'est plus cher mille fois que la vie. Laissez-moi mon amour, Madame, au nom des dieux."")","('#thalie', 'Ah ! Muse je vous prie. Je veux faire pour vous un effort de génie. Je vais vous transformer en un homme de bien.')",0.63,Substitution
73,,"('#la-satire', 'Je ne me prête point à cette fantaisie.')",1.0,Deletion
74,"('#climene', 'Toujours ce mot ! Toujours !')","('#thalie', ""Cela ne vous engage à rien, C'est un rôle de Comédie. Allez vous préparer, secondez mon ardeur"")",1.64,Substitution
75,"('#acanthe', ""Vous est-il odieux ? Que de belles voudraient n'en entendre point d'autre ! Il charme également votre sexe et le nôtre : Seule vous le fuyez ; mais ne s'est-il point vu Quelque temps où peut-être il vous a moins déplu ?"")","('#thalie', ""Vous restez, tendre Polymnie, Le Ciel nous rend un Roi qui fait notre bonheur. Que vos chants, que les sons d'une aimable harmonie Célèbrent dans ces lieux cette insigne faveur. On entend un bruit confus d'instruments semblable à celui d'un Orchestre qui accorde."")",0.67,Substitution
76,"('#climene', ""L'amour, je le confesse, a traversé ma vie :  C'est ce qui, malgré moi, me rend son ennemie. Après un tel aveu, je ne vous dirai pas Que votre passion est pour moi sans appas, Et que d'aucun plaisir je ne me sens touchée Lorsqu'à tant de respect je la vois attachée. Aussi peu vous dirai-je, Acanthe, écoutez bien, Que par vos qualités vous ne méritez rien ; Je les sais, je les vois, j'y trouve de quoi plaire : Que sert-il d'affecter le titre de sévère ? Je ne me vante pas d'être sage à ce point, Qu'un mérite amoureux ne m'embarrasse point. Vouloir bannir l'amour, le condamner, s'en plaindre, Ce n'est pas le haïr, Acanthe, c'est le craindre. Des plus sauvages coeurs il flatte le désir. Vous ne l'ôterez point sans m'ôter du plaisir : Nous y perdrons tous deux quand je vous le conseille, Je me fais violence, et prête encor l'oreille. Ce mot renferme en soi je ne sais quoi de doux, Un son qui ne déplaît à pas une de nous ; Mais trop de mal le suit."")","('#isabelle', ""Belle Clarice enfin vous déciderez-vous ? Un peu plus de gaîté dans vos regards éclate. Le fort d'Hassan deviendra-t-il plus doux ? À son égard cessez-vous d'être ingrate ?"")",0.71,Substitution
77,"('#acanthe', ""Je m'en charge, Madame : Ce mal est pour moi seul; j'en garantis votre âme."")","('#clarice', ""Chère Isabelle, Hassan attaque en vain mon coeur ; Mais malgré mon indifférence, Je sais qu'il est mon bienfaiteur, Et j'écoute avec complaisance L'amitié, la reconnaissance Qui me parlent en sa faveur. Ses sentiments pour moi peuvent seuls me déplaire."")",0.98,Substitution
78,"('#climene', ""Qui vous croirait, Acanthe, aurait un bon garant. Mais non, je connais trop qu'Amour n'est qu'un tyran, Un ennemi public, un démon, pour mieux dire."")","('#isabelle', ""Ils auraient dû vous paraître odieux, Si le sort pour vous trop contraire Vous eût livré aux lois d'un maître impérieux ; Mais grâces au destin l'honneur le plus sévère N'a point à rougir en ces lieux. Hassan dans son sérail s'est montré comme un père Compatissant et généreux, Et chaque jour son amitié sincère Rassemble ici les plaisirs et les jeux."")",0.8,Substitution
79,,"('#clarice', ""Les plaisirs les plus vifs perdent le don de plaire, Lorsque le coeur n'a plus de goût pour eux."")",1.0,Deletion
80,"('#acanthe', ""Il ne l'est pas pour vous, cela vous doit suffire : Jamais il ne vous peut avoir causé d'ennui : Vous en prenez un autre assurément pour lui. S'il a quelques douceurs, elles sont pour les belles, Et pour nous les soucis et les peines cruelles. Vous n'éprouvez jamais ni dédain ni froideur : Quant à nous, c'est souvent le prix de notre ardeur. Trop de zèle nous nuit."")","('#isabelle', ""Hassan en sa saveur a bien des avantages ; Ils vaincront votre cruauté : Vous le savez, des Turcs il brave les usages, L'orgueil dans son pays ne l'a point arrêté. En Europe ses longs voyages Ont adouci ses moeurs, poli sa probité, Que le séjour d'Alger eut pu rendre sauvages ; Il n'a du Musulman que la simplicité ; Il s'est défait de sa sombre rudesse, Il a su du Français saisir l'urbanité La gaîté, la délicatesse, Et n'a point sa folie et sa légèreté. Sa figure, il est vrai, n'est rien moins qu'agréable."")",0.16,Substitution
81,"('#climene', ""Et pourquoi donc, Acanthe, Ne modérez-vous pas cette ardeur violente ? Aimez-vous mieux souffrir contre mon propre gré, Que si, m'obéissant, vous étiez bien traité ? Je vous rendrais heureux."")","('#clarice', ""Par ce défaut léger peut-on être arrêté ? Un homme est toujours bien dès qu'il est estimable Les qualités du coeur, un esprit sociable, De ce sexe sont la beauté. Je les vois dans Hassan, et je lui rends justice ; S'il la rendait à vos attraits, S'il vous offrait des voeux qu'il m'offre par caprice, Nous ferions tous trois satisfaits."")",0.52,Substitution
82,"('#acanthe', ""Selon votre manière, Du bonheur d'un ami, d'un parent ou d'un frère ; Que sais-je ? De chacun : car vous savez qu'on peut Faire ainsi des heureux autant que l'on en veut."")","('#isabelle', ""Je l'avoue avec confiance, Si, comme Hassan l'assure, il allait dans la France Fixer avec nous son destin ; Sans en rougir j'accepterais sa main, Et je la chérirais plus que son opulence. Mon coeur est encor libre ...."")",0.86,Substitution
83,"('#climene', ""Non, non, j'aurais pour vous beaucoup plus de tendresse. Vous verriez à quel point Clymène s'intéresse Pour tout ce qui vous touche."")","('#clarice', ""Et le mien ne l'est pas : Voilà la source de mes peines. J'aurais moins à souffrir si mes faibles appas Ne l'avaient pas mis dans mes chaînes : Je vous surprends.... mais lisez dans mon coeur : D'Oberval à Marseille en devint le vainqueur, Presqu'au premier instant qu'il parut à ma vue, Son âme en me voyant à son tour fut émue : Ce que nous ressentions se peignait dans nos yeux, La sympathie agissait sur notre âme ; Il me fit l'aveu de ses feux ; Je ne lui cachai point le progrès de ma flamme, Nous nous aimions enfin, et nous étions heureux."")",0.77,Substitution
84,"('#acanthe', 'Et pour moi-même aussi ?')","('#isabelle', ""Mais avec tant de soin pourquoi cacher ces noeuds ? D'Oberval est aimable, et je suis peu surprise..."")",1.49,Substitution
85,,"('#clarice', ""Hélas ! Vous le savez, je dépends de Dorise, Soeur de mon père, il avait en mourant, Ordonné qu'à ses lois je resterais soumise, Elle vit d_Oberval, il lui parut charmant. L'amour d'une rivale est toujours un tourment, Celle qu'on craint le moins peut faire une infidèle ; J'aimais, et je tremblais d'aimer un inconstant ; Dorise à mes regards était encor trop belle ; Mais par de nouveaux soins d_Oberval chaque jour Calmait ma jalousie, et ma frayeur mortelle, Et par bonheur ces soins si chers à mon amour, Dorise les prenait pour elle."")",1.0,Deletion
86,"('#climene', 'Quelle distinction mettez-vous en ceci ?')","('#isabelle', ""C'est donc là cet amant qu'elle croit voir toujours, Et dont elle parle sans cesse ?"")",1.08,Substitution
87,"('#acanthe', ""Très grande. Mais laissons à part la différence Aussi bien je craindrais de commettre une offense, Si j'avais entrepris de prouver contre vous Qu'autre chose est d'aimer nos qualités ou nous. Je vous dirai pourtant que mon amour extrême A pour premier objet votre personne même : Tout m'en semble charmant ; elle est telle qu'il faut. Mais, pour vos qualités, j'y trouve du défaut."")","('#clarice', ""C'est lui-même, et je vois assez par ses discours Que l'absence et l'amour redoublent tous les jours Ses visions, et sa faiblesse : Cependant d_Oberval fut contraint de partir, Et sans doute son inconstance Loin de nous sut le retenir : Souvent pour dissiper l'ennui de son absence, Nous nous promenions sur la mer : Ce jour qui nous fut si funeste, Vous voulûtes nous suivre, un corsaire d'Alger Surprit notre Vaisseau. Vous savez tout le reste."")",0.26,Substitution
88,"('#climene', ""Dites-nous quel il est, afin qu'on s'en corrige."")","('#isabelle', ""Des malheurs que le sort a déployés sur nous, Votre amitié me dédommage. Nos fers sont d'ailleurs assez doux : Hassan nous acheta ; c'est le Turc le plus sage Et le plus affable de tous."")",1.99,Substitution
89,"('#acanthe', ""Vous n'aimez point l'Amour ; vous le haïssez, dis-je ; Ce dieu près de votre âme a perdu tout crédit."")","('#clarice', ""Il est vrai ; mais en vain il m'offre son hommage, L'amour contre ses soins oppose d'autres traits : Il a gravé dans mon coeur une image. Que l'absence ou le temps n'effaceront jamais."")",0.8,Substitution
90,"('#climene', ""Je ne hais point l'Amour, je vous l'ai déjà dit : Je le crains seulement, et serais plus contente Si vous vouliez changer votre ardeur véhémente, En faire une amitié, quelque chose entre deux ; Un peu plus que ce n'est quand un coeur est sans feux, Moins aussi que l'état où le vôtre se trouve."")","('#isabelle', 'Je plaignais vos chagrins sans savoir vos secrets, Et maintenant je les partage : Pardonnez mon erreur ; mais depuis quelque temps Vos ennuis me semblaient moins grands ; Vous marquiez pour ces lieux bien moins de répugnance, Et tous ces heureux changements Je les attribuais à la reconnaissance.')",0.11,Substitution
91,"('#acanthe', ""Tout de bon, voulez-vous que j'en fasse l'épreuve ? Que demain j'aime moins, et moins le jour d'après, Diminuant toujours, encor que vos attraits Augmentent en pouvoir ? Le voulez-vous, Madame?"")","('#clarice', ""Je l'avouerai, de secrets mouvements Font passer dans mon coeur une joie inconnue ; Depuis cinq ou six jours ma douleur diminue... Vous le dirai-je ?... En de certains moments J'éprouve ces ravissements, Ce trouble, ces transports que m'inspirait la vue Du plus cher de tous les amants. Mon âme s'ouvre à des pressentiments, Et ma gaîté semble être revenue."")",0.47,Substitution
92,,"('#dorise', ""Félicitez Dorise toutes deux ; D'Oberval est ici, la chose est confirmé."")",1.0,Deletion
93,,"('#isabelle', 'Voilà de ses erreurs.')",1.0,Deletion
94,"('#climene', ""Oui, puisque je l'ai dit."")","('#dorise', ""Je l'ai vu dans ces lieux..."")",0.88,Substitution
95,,"('#clarice', 'Eh quoi ! Dans ces jardins ?')",1.0,Deletion
96,"('#acanthe', ""L'avez-vous dit dans l'âme ?"")","('#dorise', 'Oui, mon âme est charmée.')",0.7,Substitution
97,,"('#clarice', 'Ô Ciel ! Mon coeur me dit que Dorise a raison.')",1.0,Deletion
98,,"('#isabelle', 'Dans ces jardins un homme ! Et d_Oberval encore ! Elle extravague.')",1.0,Deletion
99,"('#climene', 'Il faut bien.')","('#clarice', 'Hélas !')",0.87,Substitution
100,"('#acanthe', 'Songez-y ; voyez si votre esprit Pourra voir ce déchet sans un secret dépit. Peu de femmes feraient des voeux pareils aux vôtres.')","('#dorise', ""Cette affreuse prison Ne me sépare plus d'un amant que j'adore. Isabelle... Clarice... Il est toujours charmant ; Oui d_Oberval est un amant unique ; Je n'en saurais douter, il est tendre, constant, Et c'est son amour seul qui l'amène en Afrique... Mais soyez donc sensible au plaisir que je sens. À Clarice."")",1.08,Substitution
101,,"('#clarice', 'Je le partagerais sans_doute ; Mais des obstacles trop puissants...')",1.0,Deletion
102,,"('#isabelle', 'La chose est impossible, et choque le bon sens, Un Français au sérail ! Quelle folie !')",1.0,Deletion
103,"('#climene', ""Acanthe, je suis femme aussi bien que les autres ; Mais je connais l'Amour, c'est assez : j'ai raison D'en combattre en mon coeur l'agréable poison. Voulez-vous procurer tant de mal à Clymène ? Vous l'aimez, dites-vous, et vous cherchez sa peine ! N'allez point m'alléguer que c'est plaisir pour nous. Loin, bien loin tels plaisirs ; le repos est plus doux / Mon coeur s'en défendra ; je vous permets de croire Que je remporterai malgré moi la victoire."")","('#dorise', ""Écoute. Tout le jour tu me contredis ; Tu taxes tout ce que je dis D'illusion, de rêverie : Tu te crois raisonnable, et tu t'en applaudis ; Mais ton bon sens, ou plutôt ta manie, Donne un fond de tristesse à ce que tu prédis ; Désespérer de tout est ta vertu chérie. Va, reçois de moi cet avis : Un excès de raison est pis que la folie."")",0.16,Substitution
104,,"('#clarice', ""Peut-être qu'en effet...  Mais l'avez-vous bien vu ? De lui toujours préoccupée, Cent fois croyant le voir, vous vous êtes trompée... Dans le fond, de Dorise il est fort bien connu Il se pourrait... À Isabelle. À Dorise."")",1.0,Deletion
105,,"('#dorise', ""Tu peux m'en croire : L'amour nous donne de bons yeux. Hassan et lui s'entretenaient tous deux."")",1.0,Deletion
106,,"('#isabelle', 'Hassan et lui !... Nouvelle histoire. Chez ses femmes un Turc qui mène les galants ! De Paris cette mode arrivera peut-être.')",1.0,Deletion
107,,"('#clarice', 'Laissez-la dire...')",1.0,Deletion
108,,"('#isabelle', ""Eh quoi ! Vous pouvez l'écouter ?"")",1.0,Deletion
