,chevalier-amours-de-calotin,palaprat-le-muet,Cost,Operation Type
30,"('#le-marquis', ""Tu te moques, Baron, sache que cet esprit Ne cherche qu'à nous plaire en tout ce qu'il écrit, Et que tu passeras, si l'on te voit crédule Jusqu'à t'en offenser, pour homme ridicule; Comme il est approuvé de tous les gens d'honneur, Ton approbation doit se joindre à la leur."")","('#frontin', ""Ah, voyons un peu, quand un homme de robe, un de nos Sénateurs par exemple, aura été au logis, comment lui feras-tu entendre ?  Fort bien, fort bien, vive, Simon. Et un homme d'épée là, un cavalier du bel air ?  Fort mal, fort mal. Ce n'est pas ainsi que je t'ai dit ; fi !  On dirait à ton action que ce serait un Archer du Prévôt qui l'aurait demandé, et non pas un homme de condition.  Voici comment il t'y faut prendre ; oui-da , oui-da, cela n'est pas déjà trop mal : et lorsqu'une femme de qualité aura été au logis ?  Souviens-toi bien de ce que tu m'as vu faire ; je te l'ai montré. Oh, fi, fi !  Que diantre faites-tu ?  Voila des révérences des crieuses de vieux chapeaux.  Regarde moi bien, remarque ces airs, ce penchant de tête, ce tour de corps, allons à toi. Eh, pas mal, pas mal cela viendra avec un peu d'exercice ; en voilà assez pour le coup, retire toi, je ne veux point que mon Maître te voie encore : il ne t'a jamais vu,mais il te reconnaîtrait à l'habit, quand il en sera temps je t'irai quérir ; adieu. Simon copie un homme de robe. Simon copie un homme d'épée. Il lui montre et Simon l'imite. Ce que Simon fait déplaît à Frontin.  Simon riche de l'imiter."")",0.18,Substitution
31,,"('#simon', 'Serviteur.')",1.0,Deletion
32,,"('#frontin', ""Voila un drôle qui n'est pas encore stylé, si par hasard..."")",1.0,Deletion
33,,"('#simon', ""À propos, Frontin  je savais bien que j'avais quelque chose à te demander."")",1.0,Deletion
34,,"('#frontin', 'Et quoi ?')",1.0,Deletion
35,,"('#simon', 'Dis-moi, je te prie, les muets rient-ils ?')",1.0,Deletion
36,,"('#frontin', 'Eh, vraiment oui, les muets rient, imbécile.')",1.0,Deletion
37,,"('#simon', ""C'est assez,je te remercie."")",1.0,Deletion
38,"('#le-baron', ""Moi je l'approuverais ? Qu'un sort le plus étrange M'accable, si plutôt de lui je ne me venge."")","('#frontin', ""Je crains bien de l'avoir choisi un peu sot, si ma fourberie venait à être découverte...  Encore ? "")",0.56,Substitution
39,"('#le-marquis', 'Mais dis-moi donc comment tu prétends te venger?')","('#simon', ""Et dis-moi un peu, je te prie, comment rient les muets ?  Je n'en ai jamais vu rire ?"")",1.32,Substitution
40,"('#le-baron', ""En n'allant plus chez lui, pour le faire enrager. Lorsque je n'irai plus, qu'est-ce qu'il pourra dire De moi ?"")","('#frontin', ""Ah !  Voici une belle question, et comment veux-tu qu'ils rient, nigaud ?  Ils rient comme les autres hommes ; peste soit du questionneur, il a tant fait que voici mon Maître.  Tu ne peux éviter à présent qu'il ne te voie, au moins prends bien garde à toi."")",1.03,Substitution
41,,"('#timante', 'Ah !  Te voila, Frontin.')",1.0,Deletion
42,,"('#frontin', 'Oui, Monsieur, il y a même longtemps.')",1.0,Deletion
43,,"('#timante', ""J'attendais l'heure que la Comtesse m'a donnée.  Voila donc ce muet dont tu m'as parlé ? Ouais il marque entendre ce qu'on dit. Simon fait la révérence."")",1.0,Deletion
44,,"('#frontin', ""Oh, point, Monsieur, c'est que les bons muets au mouvement des lèvres comprennent ce qu'on veut dire. Voilà-t'il pas ?  Il a compris ce que je vous ai dit. Simon fait une inclination de tête. "")",1.0,Deletion
45,,"('#timante', 'Il me semble pourtant que ce drôle-là...')",1.0,Deletion
46,,"('#frontin', 'Oh, je vous le garantis muet, et des plus muets qui se fassent.')",1.0,Deletion
47,"('#le-marquis', ""C'est le moyen d'attirer sa satire ; Et s'il vient à savoir le dessein que tu fais, Tu te feras jouer plus qu'on ne fut jamais. Évite, si tu peux, d'en faire la sorte, Si tu ne veux sur toi voir une Comédie : Je suis certain qu'après tu t'en repentirais."")","('#timante', ""Je le crois, fais-lui signe de se retirer, sache seulement ou il sera après souper pour l'aller quérir et le mener à la personne à qui j'en dois faire un présent."")",0.47,Substitution
48,,"('#frontin', ""Ce n'est donc pas pour vous, que vous le voulez, Monsieur ?"")",1.0,Deletion
49,,"('#timante', ""Non, je te dirai pour qui c'est, j'ai maintenant d'autres choses dans l'esprit."")",1.0,Deletion
50,,"('#frontin', ""Hé bien, Monsieur, malgré l'affront qu'on vous fit hier, vous voulez encore revoir la Comtesse ?"")",1.0,Deletion
51,,"('#timante', 'Je ne sais.')",1.0,Deletion
52,,"('#frontin', ""Voila pourtant cette même porte qu'on vous ferma hier au nez."")",1.0,Deletion
53,,"('#timante', 'Hélas ! ')",1.0,Deletion
54,,"('#frontin', 'Et que vous vîtes ouvrir un moment aptes à votre rival.')",1.0,Deletion
55,,"('#timante', 'La perfide.')",1.0,Deletion
56,"('#le-baron', ""Sur moi, s'il l'avait fait, je le fustigerais."")","('#frontin', ""Qui diantre ne vous eût crû ce matin ; oui, Frontin, dis que Timante est le dernier des hommes, si je revois jamais cette infidèle, si je remets le pied chez elle : que la foudre, que le Ciel, que la terre...  Et_caetera.  Un petit laquais pas plus haut que cela vient vous dire un mot à l'oreille de la part de cette infidèle, adieu mon courroux, vous êtes un homme d'une grande résolution."")",1.25,Substitution
57,,"('#timante', 'Tu ne me connais pas encore.')",1.0,Deletion
58,"('#le-marquis', ""Quelqu'autre la ferait."")","('#frontin', 'Moi ?')",1.29,Substitution
59,,"('#timante', 'Non, toi.')",1.0,Deletion
60,,"('#frontin', 'Je crois pourtant que si.')",1.0,Deletion
61,,"('#timante', ""Je n'ai pas changé de sentiment."")",1.0,Deletion
62,,"('#frontin', 'Que venez-vous donc faire ici ?')",1.0,Deletion
63,,"('#timante', ""Je ne l'a veux revoir que pour lui reprocher sa perfidie."")",1.0,Deletion
64,,"('#frontin', 'Oh, oh.')",1.0,Deletion
65,,"('#timante', 'Que pour rompre avec elle.')",1.0,Deletion
66,,"('#frontin', 'Malle peste !')",1.0,Deletion
67,,"('#timante', 'Et ne la revoir jamais après cela.')",1.0,Deletion
68,,"('#frontin', 'Tudieu !')",1.0,Deletion
69,"('#le-baron', ""Poisson aussi s'amuse À s'ébaudir l'esprit parfois avec sa Muse, À ce que j'ai pu voir, et loin de nous priser, Il se mêle à son tour de nous satiriser : Mais qu'il sache sur moi si quelque chose il trace Qu'il n'aura pas affaire au Baron de la Crasse, Puisque je l'en ferais diablement repentir."")","('#timante', ""Tu ne le crois point.  Tu le verras.  Elle me fait rappeler.  Elle voit le tort qu'elle a ?  Elle veut se justifier : je la défie de me tromper.  Elle s'imagine qu'elle me fera croire tout ce qu'il lui plaira, mais je lui ferai bien voir qui je suis.  Hélas !  J'ai perdu pour elle les bonnes grâces de mon père, il a tourné toute son affection du côté de mon frère, je risque tout pour elle ; mais assurément je ne serai plus fa dupe."")",0.25,Substitution
70,"('#le-marquis', ""Ce qu'ils en font n'est rien que pour nous divertit, Tu t'emportes à tort."")","('#frontin', ""Tenez, Monsieur, plus vous raisonnerez, plus vous pesterez contre cette jeune jeune veuve, plus je croirai que vous aurez de la peine à vous dépêtrer d'elle.  Vous savez que je ne suis pas nouveau en ces sortes d'affaires, je sais qu'en amour ce n'est que soupçons, brouilleries, raccommodements ; aujourd'hui guerre, demain trêve, puis on refait la paix.  Dans un dépit bien fondé, comme le vôtre, la raison dit fort juste ce qu'on devrait faire, mais il arrive toujours qu'on fait le contraire de ce qu'a dit la raison."")",0.89,Substitution
71,,"('#timante', 'Va, va, je saurai bien accorder mon amour avec ma raison, mon conseil est pris.')",1.0,Deletion
72,,"('#frontin', ""Eh, Monsieur il y a longtemps que l'amour et la raison son brouillés ensemble, ils ne prennent plus conseil l'un de l'autre."")",1.0,Deletion
73,,"('#timante', 'Tu crois donc que je serai assez lâche pour souffrir son injuste préférence ?')",1.0,Deletion
74,"('#le-baron', ""Vous aimez la méthode De vous souffrir railler toujours sur chaque mode: Qu'un Molière sans cesse en vos habillements Vous fasse les objets de tous ces bernements ; Et que quand nous avons quelques modes jolies, Il les fasse passer toutes pour des folies. Oui, vous aimez cela, car pour vous voir berner, Vous n'avez pas assez d'argent pour luy donner. Quand je vous dis : Allons à l'Hôtel de Bourgogne, Vous recevez ces mots ainsi qu'une vergogne Et me dites d'abord : Moi rarement je vais À l'Hôtel de Bourgogne, à l'Hôtel du Marais, Ma satisfaction n'est jamais plus entière Qu'alors que je me vois chez l'illustre Molière."")","('#frontin', ""Pardonnez moi, Monsieur, je crois que vous vous plaindrez, que vous vous lamenterez, mais je crois aussi que puisqu'elle vous fait rappeler, elle compte à coup sûr qu'elle vous apaisera."")",0.63,Substitution
75,"('#le-marquis', ""Des divertissements c'est aussi le seul but."")","('#timante', 'Elle ?')",1.53,Substitution
76,,"('#frontin', 'Oui, elle.')",1.0,Deletion
77,,"('#timante', ""N'est-il pas certain que l'on me refusa hier cette porte ?"")",1.0,Deletion
78,,"('#frontin', 'Cela est vrai.')",1.0,Deletion
79,,"('#timante', 'Ne vis-tu pas entrer un moment après chez elle ce Capitaine_de_vaisseaux, qui ne la quitte point depuis quelques jours ?')",1.0,Deletion
80,,"('#frontin', ""J'en tombe d'accord."")",1.0,Deletion
81,,"('#timante', 'Eh bien, que pourra-t-elle me dire ? ')",1.0,Deletion
82,"('#le-baron', ""Hors Molière, pour vous il n'est point de salut, Tous les autres auteurs vous sont insupportables, Les Corneilles auprès sont auteurs détestables, Ce qu'ils mettent au jour est par trop sérieux, Et bien loin de vous plaire, ils vous sont ennuyeux Peut-on voir, dites-vous, une pièce parfaite, Comme celle où l'on voit Alain avec Georgette ? Mais raisonnant ainsi, messeigneurs les benêts, C'est passer pour autant d'Alains et de Georgets."")","('#frontin', ""Je ne sais ; mais ce sera elle qui le dira, et vous qui l'écouterez.  Tenez, Monsieur, figurez-vous qu'elle est présentement devant vous avec tous ses charmes, et qu'elle se justifie, que sa bouche vous parle ; que vous oyez le son de sa voix, et que ses yeux vous regardent ; n'est-il pas vrai, qu'elle a raison ?"")",0.5,Substitution
83,,"('#timante', 'Hélas !')",1.0,Deletion
84,"('#le-marquis', ""Mais, Baron, tu te vas ériger en folâtre, Si l'on te voit blâmer ce foudre de théâtre, Cet auteur si fertile en ouvrages puissants, Qu'on le nomme en tous lieux la merveille du temps ; Et pour te faire voir sa valeur infinie, Il tire quatre parts dedans sa Compagnie : Enfin c'est un esprit au dessus de l'humain."")","('#frontin', ""Avec cela, si elle s'avise de laisser tomber quelques feintes larmes, en conscience, croyez-vous tenir un seul moment devant elle ?"")",1.31,Substitution
85,,"('#timante', ""Je t'avoue que j'aurai besoin de toutes mes forces."")",1.0,Deletion
86,,"('#frontin', 'Voulez-vous en croire votre valet ?')",1.0,Deletion
87,,"('#timante', 'Hé bien ?')",1.0,Deletion
88,"('#le-baron', ""Je sais qu'il fait venir l'eau dedans le moulin, Et même que sans craindre être au rang des profanes Il vous y fait passer joliment pour des ânes. Dieu me damne, Marquis, ce célèbre garçon Sait dauber le prochain de la bonne façon."")","('#frontin', ""Ne la voyez point, vous y êtes encore à temps : personne ne vous a vu entrer ; en tout cas c'est ici que logent tous les gens de qualités de Messine qui viennent à Naples, vous direz que vous alliez voir le Marquis_de_Sardan, aussi, bien cette salle sépare son appartement de celui de la Comtesse.  Allons, courage, prenez une bonne résolution, n'irritez pas davantage Monsieur votre père, il est si en colère de ce que vous refusez la fille du Marquis, qu'il est résolu de donner cette même fille avec tout son bien à votre frère le Chevalier : n'est-ce pas dommage qu'une personne comme lui hérite d'un bien si considérable, et d'un si beau nom comme le vôtre. Le bel honneur que fera à votre famille un mélancolique, un atrabilaire, un rêveur qu'on ne saurait faire parler qu'avec des machines, et de qui l'on ne saurait arracher quatre paroles de fuite ; un imbécile enfin que votre père ne vous préférerait jamais, si votre désobéissance ne l'avait poussé à bout."")",0.53,Substitution
89,,"('#timante', 'Je le veux bien, retournons-nous en sur nos pas. ')",1.0,Deletion
90,,"('#frontin', ""Mais si vous voulez vous en retourner, c'est par là qu'il faut aller, et non pas par là : vous vous approchez toujours de la porte de la Comtesse."")",1.0,Deletion
91,"('#le-marquis', ""Ton obstination, cher Baron, est extrême. Sais-tu que la satyre est la cause qu'on l'aime ? Comme il sait étaler nos défauts à nos yeux, Nous pouvons, les voyant, nous en corriger mieux. Ainsi quand ce savant prononce une parole, Ce doit être pour nous une éternelle école."")","('#timante', ""Hélas !  Je ne sais ce que je fais, ni ce que je veux, ni ce que je dis ; je vois qu'elle me fait le plus sensible de tous les outrages, je le vois, je le sais, je le sens, cependant je meurs d'amour, et je ne sais à quoi me résoudre."")",0.83,Substitution
92,"('#le-baron', ""Ce grand maître d'école a beaucoup d'écoliers Dont il sait, les raillant, attraper les deniers ; Et tandis que le monde est sa dupe et sa buse, En lui-même il se dit : prends-les, je les amuse. Pour moi, je vous promets qu'il ne m'y prendra pas ; Si l'on m'y peut trouver, qu'on m'y casse les bras."")","('#frontin', ""Quel pauvre homme.  Mais j'entends votre père, il parle assurément au Chevalier, cachons-nous dans ce coin, il ne nous verront point.  Écoutons ce qu'il lui dit, nous en tirerons peut-être quelque avantage."")",0.82,Substitution
93,"('#le-marquis', ""Pour moi, je suis ravi lorsque je vois paraître Un esprit qui s'efforce à se faire connaître. S'il nous raille, il nous sait railler si galamment, Que ce nous est à tous un divertissement. Mais je suis sûr qu'à tort on se le persuade, Que cette vision vient d'un esprit malade, Et que jamais Molière en traitant son sujet, Ne fit dessein d'avoir la Cour pour son objet ; Et tant que je pourrai je verrai ce grand homme."")","('#le-baron', ""Venez,venez, mon fils, votre frère s'est rendu indigne de mon affection, je l'ai tournée toute vers vous, et avec une belle fille je vais vous faire jouir de dix milles livres de rente ; Timante n'aura pas un fol de mon bien, vous êtes toute ma consolation : vous ne répondez rien, mon fils ?  Je vois bien que votre silence est une marque de votre respect, et je suis transporté d'aise de voir en vous un consentement si parfait à tout ce que je souhaite.  Mais je voudrais vous voir plus gai, votre mélancolie m'afflige, vous la perdrez sans doute devant la fille que je vous destine ; elle est jeune, elle est belle, et son père est mon ancien ami, vous allez voir l'accueil qu'ils nous fera.  N'allez pas au moins être si triste devant lui ; mais le voici tout à propos. Le Chevalier s'enfuit dès que le Marquis paraît."")",0.11,Substitution
94,,"('#le-baron', ""Vous avez toujours prévenu mes désirs, Marquis, et il semble que vous veniez au devant de moi, comme si vous aviez su que j'allais chez vous."")",1.0,Deletion
95,,"('#le-marquis', ""L'amitié qui nous joint justifie assez notre empressement."")",1.0,Deletion
96,"('#le-baron', ""Moi, si je le vais voir, je veux bien qu'on m'assomme ; Vous aimez qu'on vous berne en donnant votre argent, Et moi je n'aime pas que l'on m'en fasse autant."")","('#le-baron', ""Je vous amène mon fils le Chevalier, c'est un fils obéissant celui-ci, qui n'a jamais été gâté par Frontin, et qui par sa soumission me console de toutes les extravagances de son frère : approchez, mon fils... Chevalier... qu'est-il devenu ?"")",1.03,Substitution
97,,"('#frontin', ""Voila son fils l'obéissant."")",1.0,Deletion
98,,"('#le-baron', 'Hélas !  Chevalier.')",1.0,Deletion
99,,"('#frontin', 'Il est déjà bien loin.')",1.0,Deletion
100,"('#le-marquis', ""Baron, sur ce sujet n'ayons point de querelle; Mais je crains qu'on ne voie une pièce nouvelle Sur ta façon d'agir, si l'on la peut savoir."")","('#le-baron', ""Il faut sans doute qu'il lui ait pris soudainement quelque faiblesse, il y a quelques jours qu'il est d'une langueur et d'un abattement qui m'afflige, mais la vue d'une jolie personne lui fera revenir ses forces : nous pouvons toujours les accorder dès ce soir, quitte pour différer les noces de quelques jours, si son indisposition continue.  Mais tenons les choses secrètes pour nous garantir des fourberies de Frontin qui m'a déjà débauché Timante, et qui pourrait encore gâter le bon naturel du Chevalier dont je suis sûr que je ferai tout ce que je vendrai : un agneau n'est pas plus doux, c'est tout le contraire de ce pendard ce Timante ; aussi va-t-il servir d'exemple de la manière dont on doit punir les fils désobéissants."")",0.29,Substitution
101,,"('#le-marquis', ""En vérité, Baron, il faut que je vous aime autant comme je fais pour consentir à ce mariage avec votre second fils, et le procédé de Timante suffisait pour me rebuter d'une alliance que j'ai toujours ardemment souhaitée."")",1.0,Deletion
102,,"('#le-baron', 'Votre fille au moins voudra bien accepter le Chevalier en la place de Timante ?')",1.0,Deletion
103,"('#le-baron', ""Et moi je ne crains pas en ce lieu de la voir Et s'il faut par hasard que quelque auteur la fasse, Elle ne sera pas exposée à ma face, Puisque si nous n'allons, vous, ni moi, qu'en ces lieux, Nous ne nous verrons point taquiner à nos yeux. La comédie ici me paraît aussi bonne ; Ils la font aussi bien et ne raillent personne ; Si bien qu'on la peut voir sans se mortifier."")","('#le-marquis', ""Je suis assuré que ma fille n'aura pas d'autre volonté que la mienne, et vous savez que depuis que je perdis sa soeur aînée dans l'enfance par ce funeste accident qui me fit quitter le séjour de Messine pour venir demeurer à Naples, toute ma consolation a été de trouver en celle qui me reste un naturel complaisant, et porté à tout ce que je veux : mais entrons chez moi nous y causerons plus en liberté."")",0.12,Substitution
104,,"('#le-baron', ""Entrez, je reviens vous trouver dans un moment, je vais voir ce qui est arrivé au Chevalier.  Ce pauvre garçon dès le lendemain de son arrivée m'a toujours paru tout languissant et tout malade."")",1.0,Deletion
105,,"('#le-baron', 'Qui est là ?')",1.0,Deletion
106,,"('#frontin', 'Ne bougez, vous dis-je.')",1.0,Deletion
107,,"('#le-baron', 'Qui est là ?')",1.0,Deletion
108,,"('#frontin', ""C'est moi, c'est moi, qu'est-ce ?"")",1.0,Deletion
109,,"('#le-baron', ""Ha coquin, c'est toi !"")",1.0,Deletion
110,,"('#frontin', ""Je vous demande pardon, je ne vous ai pas d'abord reconnu."")",1.0,Deletion
111,,"('#le-baron', 'Que faisais-tu là ? ')",1.0,Deletion
112,,"('#frontin', 'Je dormais, Monsieur.')",1.0,Deletion
113,,"('#le-baron', 'Tu dormais ?')",1.0,Deletion
114,,"('#frontin', 'Oui, Monsieur.')",1.0,Deletion
115,"('#le-marquis', ""On m'a parlé pourtant d'un certain Chevalier, Qui parfois dans ses vers."")","('#le-baron', ""Je t'ai pourtant oui parler ?"")",1.04,Substitution
116,,"('#frontin', ""C'est, Monsieur...  C'est qu'il y a des gens qui parlent en dormant, et je suis de race."")",1.0,Deletion
117,,"('#le-baron', 'Pourquoi viens-tu dormir là ?')",1.0,Deletion
118,,"('#frontin', ""J'attendais Marine."")",1.0,Deletion
119,,"('#le-baron', 'Ou Timante.')",1.0,Deletion
120,"('#le-baron', ""Il se mêle d'écrire, Mais on ne le voit point mêler de la satire ; Il ne drape personne en tout ce qu'il écrit."")","('#frontin', 'Oh non, Monsieur.  Je vous jure que je ne suis ici que pour mon compte, ne suis-je pas du bois dont on fait les gens à bonne fortune ?')",1.37,Substitution
121,"('#le-marquis', ""C'est donc assurément qu'il n'en a pas l'esprit; Car sois certain, Baron, que s'il le pouvait faire, Il le ferait, sachant que c'est ce qui sait plaire."")","('#le-baron', ""Ce maraud !  Oh bien, que tu sois ici pour toi ou pour ton Maître, cela m'est indifférent, aptes ce qu'il a refusé, je n'ai que faire de lui, qu'il fasse ce qu'il voudra."")",0.57,Substitution
122,,"('#frontin', 'Il vous aime pourtant beaucoup.')",1.0,Deletion
123,,"('#le-baron', 'Un peu moins que sa Comtesse.  Mais écoute, je sais par expérience que tu es un maître fourbe.')",1.0,Deletion
124,,"('#frontin', 'Ah !  Monsieur, quelle injure me faites-vous là ?')",1.0,Deletion
125,,"('#le-baron', ""Tu m'as débauché Timante."")",1.0,Deletion
126,,"('#frontin', 'Moi, Monsieur !')",1.0,Deletion
127,,"('#le-baron', 'Toi-même.')",1.0,Deletion
128,,"('#frontin', 'Ha, Monsieur !')",1.0,Deletion
129,"('#le-chevalier', ""Une chaise, l'ami ; commence-t-on bientôt ?"")","('#le-baron', 'Je consens que tu achevés de le peRdre.')",0.96,Substitution
130,,"('#frontin', 'Eh, Monsieur, mon Maître...')",1.0,Deletion
131,"('#le-portier', ""Sans chaise vous pouvez vous placer comme il faut ; Vous avez là des bancs où l'on est à son aise."")","('#le-baron', ""Je ne compte plus sur lui ; mais au moins prends bien garde à ne te point mêler de son frère.  Je ne doute point que tu n'aies ouï ce que je viens de dire ici au Marquis_de_Sardan, je te déclare que si le Chevalier refuse de m'obéir, sans m'informer d'où cela pourrait venir, je m'en prendrai à toi."")",1.86,Substitution
132,,"('#frontin', 'À moi, Monsieur ?')",1.0,Deletion
133,"('#le-chevalier', ""Et moi je n'en veux point, qu'on me donne une chaise."")","('#le-baron', ""Oui, à toi.  Écoute, de deux fils que j'ai, je te laisse disposer de l'un, il est bien juste que tu me laisses disposer de l'autre."")",1.31,Substitution
134,"('#le-portier', ""L'on y va. De l'argent, Monsieur, car je m'en vais."")","('#frontin', 'Eh, Monsieur, croyez-vous.....')",1.4,Substitution
135,"('#le-chevalier', 'Tu te railles, mon cher, je ne paye jamais ; Apprends à me connaître.')","('#le-baron', ""Si tu es sage, prends-y bien garde.  Tu sais combien de friponneries tu m'as faites, et que j'ai en mains de quoi te faite pendre, je ne t'en dis pas davantage."")",0.78,Substitution
136,,"('#frontin', 'Il a par ma foi quelque raison.  Cependant ils machinent là une terrible affaire contre mon Maître.')",1.0,Deletion
137,,"('#frontin', ""Eh bien, Monsieur, vous l'avez ouï: vous voila déshérité si nous ne songeons à apaiser votre père."")",1.0,Deletion
138,,"('#timante', ""Ce n'est pas la perte des biens qui me touche : je ne suis sensible qu'à sa colère ; je l'ai encourue, et pour qui ?  Pour une infidèle."")",1.0,Deletion
139,"('#le-portier', ""Hé bien, avant qu'on sorte~ Si vous ne me payez, que le diable m'emporte."")","('#frontin', ""Vous avez raison, Monsieur, croyez-moi, retirons-nous d'ici."")",1.05,Substitution
140,,"('#timante', ""Allons...  Mais il me semble qu'on ouvre."")",1.0,Deletion
