,corneillep-andromede,quinault-isis,Cost,Operation Type
11,,"('#calliope', 'Cessez pour quelque temps bruit terrible des armes Qui troublez le repos de cent climats divers  Ne troublez point les charmes De nos divins concerts.')",1.0,Deletion
12,,"('#calliope #thalie #apollon', 'Ne troublez point les charmes De nos divins concerts.')",1.0,Deletion
13,,"('#calliope', 'Recommençons nos chants, Allons les faire entendre.')",1.0,Deletion
14,,"('#melpomene', 'Dans une auguste Cour.')",1.0,Deletion
15,,"('#thalie', ""La Paix, la douce Paix  N'ose encore descendre du céleste séjour."")",1.0,Deletion
16,,"('#calliope', ""La Paix, la douce Paix  N'ose encore descendre du céleste séjour."")",1.0,Deletion
17,"('#melpomene', ""Soleil, j'y vole ; attends-moi donc, de grâce."")","('#calliope #thalie #apollon', 'Près du Vainqueur allons attendre son bienheureux retour.')",1.02,Substitution
18,"('#soleil', ""Viens, je t'attends, et te fais place. Mélpomène vole dans le char du soleil, et y ayant pris place auprès de lui, ils unissent leurs voix, et chantent cet air à la louange du roi. Le dernier vers de chaque couplet est répété par le choeur de la musique."")","('#apollon', 'Ne parlons pas toujours de la guerre cruelle, Parlons des plaisirs et des jeux. Les Muses et les Arts  Vont signaler leur zèle, Je vais favoriser leurs voeux Nous préparons une fête nouvelle Pour le Héros qui les appelle Dans cet asile heureux')",0.92,Substitution
19,,"('#le-choeur', 'Ne parlons pas toujours de la guerre cruelle, Parlons des plaisirs et des jeux.')",1.0,Deletion
20,"('#melpomene #soleil', 'Cieux, écoutez ; écoutez, mers profondes ; Et vous, antres et bois, Affreux déserts, rochers battus des ondes, Redites après nous d\'une commune voix : "" Louis est le plus jeune et le plus grand des rois. "" La majesté qui déjà l\'environne Charme tous ses François ; Il est lui seul digne de sa couronne ; Et quand même le ciel l\'aurait mise à leur choix, Il serait le plus jeune et le plus grand des rois. C\'est à vos soins, reine, qu\'on doit la gloire De tant de grands exploits ; Ils sont partout suivis de la victoire ; Et l\'ordre merveilleux dont vous donnez ses lois Le rend et le plus jeune et le plus grand des rois.')","('#la-renommee', 'Hâtez-vous, Plaisirs, hâtez-vous De montrer vos charmes les plus doux.')",1.07,Substitution
21,"('#soleil', ""Voilà ce que je dis sans cesse Dans tout mon large tour. Mais c'est trop retarder le jour ; Allons, muse, l'heure me presse, Et ma rapidité Doit regagner le temps que sur cette province, Pour contempler ce prince, Je me suis arrêté. Le Soleil part avec rapidité, et enlève Melpomène avec lui dans son char pour aller publier ensemble la même chose au reste de l'univers."")","('#apollon #neptune #la-renommee', 'Hâtez-vous, Plaisirs, hâtez-vous De montrer vos charmes les plus doux.')",0.77,Substitution
22,"('#cassiope', ""Généreux inconnu, qui chez tous les monarques Portez de vos vertus les éclatantes marques, Et dont l'aspect suffit à convaincre nos yeux Que vous sortez du sang ou des rois ou des dieux, Puisque vous avez vu le sujet de ce crime Que chaque mois expie une telle victime, Cependant qu'en ce lieu nous attendrons le roi, Soyez-y juste juge entre les dieux et moi. Jugez de mon forfait, jugez de leur colère ; Jugez s'ils ont eu droit d'en punir une mère, S'ils ont dû faire agir leur haine au même instant."")","('#le-choeur', 'Hâtez-vous, Plaisirs, hâtez-vous De montrer vos charmes les plus doux.')",0.66,Substitution
23,"('#persee', ""J'en ai déjà jugé, reine, en vous imitant ; Et si de vos malheurs la cause ne procède Que d'avoir fait justice aux beautés d'Andromède, Si c'est là ce forfait digne d'un tel courroux, Je veux être à jamais coupable comme vous. Mais comme un bruit confus m'apprend ce mal extrême, Ne le puis-je, madame, apprendre de vous-même, Pour mieux renouveler ce crime glorieux Où soudain la raison est complice des yeux ?"")","('#hierax', ""Cessons d'aimer une infidèle, Évitons la honte cruelle De servir, d'adorer qui ne nous aime plus. Achevons de briser les noeuds qu'elle a rompus. Dégageons nous, sortons d'un si funeste empire. Hélas ! Malgré moi je soupire ! Ah ! Mon coeur quelle lâcheté ! Quel charme te retient dans un honteux martyre ? Tu n'as pas craint des fers qui nous ont tant coûté As-tu peur de ta liberté ? Revenez, revenez Liberté charmante Vous n'êtes que trop diligente Lorsqu'il faut dans un coeur faire place à l'Amour; Mais que vous êtes lente Lorsqu'un juste dépit presse votre retour."")",0.0,Match
24,"('#cassiope', 'écoutez : la douleur se soulage à se plaindre ; Et quelques maux qu\'on souffre ou que l\'on aie à craindre, Ce qu\'un coeur généreux en montre de pitié Semble en notre faveur en prendre la moitié. Ce fut ce même jour qui conclut l\'hyménée De ma chère Andromède avec l\'heureux Phinée : Nos peuples, tous ravis de ces illustres noeuds, Sur les bords de la mer dressèrent force jeux ; Elle en donnait les prix. Dispensez ma tristesse De vous dépeindre ici la publique allégresse ; On décrit mal la joie au milieu des malheurs, Et sa plus douce idée est un sujet de pleurs. Ô jour, que ta mémoire encore m\'est cruelle ! Andromède jamais ne me parut si belle ; Et voyant ses regards s\'épandre sur les eaux Pour jouir et juger d\'un combat de vaisseaux : "" telle, dis-je, Vénus sortit du sein de l\'onde, Et promit à ses yeux la conquête du monde, Quand elle eut consulté sur leur éclat nouveau Les miroirs vagabonds de son flottant berceau. "" À ce fameux spectacle on vit les Néréides Lever leurs moites fronts de leurs palais liquides, Et pour nouvelle pompe à ces nobles ébats À l\'envi de la terre étaler leurs appas. Elles virent ma fille ; et leurs regards à peine Rencontrèrent les siens sur cette humide plaine, Que par des traits plus forts se sentant effacer, éblouis et confus je les vis s\'abaisser, Examiner les leurs, et sur tous leurs visages En chercher d\'assez vifs pour braver nos rivages. Je les vis se choisir jusqu\'à cinq et six fois, Et rougir aussitôt nous comparant leur choix ; Et cette vanité qu\'en toutes les familles On voit si naturelle aux mères pour leurs filles, Leur cria par ma bouche : "" en est-il parmi vous, Ô nymphes ! Qui ne cède à des attraits si doux ? Et pourrez-vous nier, vous autres immortelles, Qu\'entre nous la nature en forme de plus belles ? "" Je m\'emportais sans doute, et c\'en était trop dit : Je les vis s\'en cacher de honte et de dépit ; J\'en vis dedans leurs yeux les vives étincelles : L\'onde qui les reçut s\'en irrita pour elles ; J\'en vis enfler la vague, et la mer en courroux Rouler à gros bouillons ses flots jusques à nous. C\'eût été peu des flots : la soudaine tempête, Qui trouble notre joie et dissipe la fête, Enfante en moins d\'une heure et pousse sur nos bords Un monstre contre nous armé de mille morts. Nous fuyons, mais en vain ; il suit, il brise, il tue ; Chaque victime est morte aussitôt qu\'abattue. Nous ne voyons qu\'horreur, que sang de toutes parts ; Son haleine est poison, et poison ses regards : Il ravage, il désole et nos champs et nos villes, Et contre sa fureur il n\'est aucuns asiles. Après beaucoup d\'efforts et de voeux superflus, Ayant souffert beaucoup, et craignant encore plus, Nous courons à l\'oracle en de telles alarmes ; Et voici ce qu\'Ammon répondit à nos larmes : "" pour apaiser Neptune, exposez tous les mois Au monstre qui le venge une fille à son choix, Jusqu\'à ce que le calme à l\'orage succède ; Le sort vous montrera Celle qu\'il agréera : Différez cependant les noces d\'Andromède."" Comme dans un grand mal un moindre semble doux, Nous prenons pour faveur ce reste de courroux. Le monstre disparu nous rend un peu de joie : On ne le voit qu\'aux jours qu\'on lui livre sa proie. Mais ce remède enfin n\'est qu\'un amusement : Si l\'on souffre un peu moins, on craint également ; Et toutes nous tremblons devant une infortune Qui toutes nous menace avant qu\'en frapper une. La peur s\'en renouvelle au bout de chaque mois ; J\'en ai cru de frayeur déjà mourir cinq fois. Déjà nous avons vu cinq beautés dévorées, Mais des beautés, hélas ! Dignes d\'être adorées, Et de qui tous les traits, pleins d\'un céleste feu, Ne cédaient qu\'à ma fille, et lui cédaient bien peu : Comme si choisissant de plus belle en plus belle, Le sort par ces degrés tâchait d\'approcher d\'elle, Et que pour élever ses traits jusques à nous, Il essayât sa force et mesurât ses coups. Rien n\'a pu jusqu\'ici toucher ce dieu barbare ; Et le sixième choix aujourd\'hui se prépare : On le va faire au temple ; et je sens malgré moi Des mouvements secrets redoubler mon effroi. Je fis hier à Vénus offrir un sacrifice, Qui jamais à mes voeux ne parut si propice ; Et toutefois mon coeur, à force de trembler, Semble prévoir le coup qui le doit accabler. Vous donc, qui connaissez et mon crime et sa peine, Dites-moi s\'il a pu mériter tant de haine, Et si le ciel devait tant de sévérité Aux premiers mouvements d\'un peu de vanité.')","('#pirante', ""C'est trop entretenir Ces tristes rêveries; Venez, tournez vos pas sur ces rives fleuries Regardez ces flots argentés, Qui dans ces vallons écartés,  Font briller l'émail des prairies Interrompez vos soupirs Tout doit être ici; Ce beau séjour est l'asile Du repos et des plaisirs."")",0.26,Substitution
25,"('#persee', ""Oui, madame, il est juste ; et j'avouerai moi-même Qu'en le blâmant tantôt j'ai commis un blasphème. Mais vous ne voyez pas, dans votre aveuglement, Quel grand crime il punit d'un si grand châtiment. Les nymphes de la mer ne lui sont pas si chères Qu'il veuille s'abaisser à suivre leurs colères ; Et quand votre mépris en fit comparaison, Il voyait mieux que vous que vous aviez raison. Il venge, et c'est de là que votre mal procède, L'injustice rendue aux beautés d'Andromède. Sous les lois d'un mortel votre choix l'asservit ! Cette injure est sensible aux dieux qu'elle ravit, Aux dieux qu'elle captive ; et ces rivaux célestes S'opposent à des noeuds à sa gloire funestes, En sauvent les appas qui les ont éblouis, Punissent vos sujets qui s'en sont réjouis. Jupiter, résolu de l'ôter à Phinée, Exprès par son oracle en défend l'hyménée. À sa flamme peut-être il veut la réserver ; Ou s'il peut se résoudre enfin à s'en priver, À quelqu'un de ses fils sans doute il la destine ; Et voilà de vos maux la secrète origine. Faites cesser l'offense, et le même moment Fera cesser ici son juste châtiment."")","('#hierax', ""Depuis qu'une nymphe inconstante A trahi mon amour et m'a manqué de foy Ces lieux jadis si beaux n'ont plus rien qui m'enchante; Ce que j'aime a changé, tout est changé pour moi."")",0.76,Substitution
26,"('#cassiope', ""Vous montrez pour ma fille une trop haute estime, Quand pour la mieux flatter vous me faites un crime, Dont la civilité me force de juger Que vous ne m'accusez qu'afin de m'obliger. Si quelquefois les dieux pour des beautés mortelles Quittent de leur séjour les clartés éternelles, Ces mêmes dieux aussi, de leur grandeur jaloux, Ne font pas chaque jour ce miracle pour nous ; Et quand pour l'espérer je serais assez folle, Le roi, dont tout dépend, est homme de parole ; Il a promis sa fille, et verra tout périr Avant qu'à se dédire il veuille recourir. Il tient cette alliance et glorieuse et chère : Phinée est de son sang, il est fils de son frère."")","('#pirante', ""La fille d'Inachus hautement vous préfère A mille autres amants de votre sort jaloux; Vous avez l'aveu de son père En faveur d'Argus votre frère, La puissante Junon se déclare pour vous."")",0.01,Substitution
27,"('#persee', 'Reine, le sang des dieux vaut bien celui des rois... Mais nous en parlerons encore quelque autre fois. Voici le roi qui vient.')","('#hierax', ""Si l'ingrate m'aimait, je serais son époux. Cette nymphe légère De jour en jour diffère Un hymen qu'autrefois elle avait cru si doux. L'inconstante n'a plus l'empressement extrême De cet amour naissant qui répondait au mien. Son changement paraît en dépit d'elle même Je ne le connais que trop bien, Sa bouche quelquefois dit encor qu'elle m'aime; Mais son coeur ni ses yeux ne m'en disent plus rien."")",1.37,Substitution
28,,"('#pirante', ""Se peut-il qu'elle dissimule ! Après de serments, ne la croyez-vous pas ?"")",1.0,Deletion
29,"('#cephee', ""N'en parlons plus, Phinée, Et laissons d'Andromède aller la destinée. Votre amour fait pour elle un inutile effort : Je la dois comme une autre au triste choix du sort. Elle est cause du mal, puisqu'elle l'est du crime : Peut-être qu'il la veut pour dernière victime, Et que nos châtiments deviendraient éternels, S'ils ne pouvaient tomber sur les vrais criminels."")","('#hierax', ""Je ne les crus que trop, hélas !  Ces serments qui trompent mon coeur tendre et crédule; Ce fut dans ces vallons où par mille détours, Inachus prends plaisir à prolonger son cours; Ce fut sur son charment rivage, Que sa fille volage Me promit de m'aimer toujours. Le Zéphir fut témoin, l'onde fut attentive Quand la nymphe jura de ne changer jamais, Mais le Zéphir léger et l'onde fugitive Ont enfin emporté les serments qu'elle a faits. Je la vois, l'infidèle."")",0.57,Substitution
30,,"('#pirante', 'Éclaircissez vous avec elle.')",1.0,Deletion
31,"('#phinee', ""Est-ce un crime en ces lieux, seigneur, que d'être belle ?"")","('#io', ""M'aimez vous ? puis-je m'en flatter ?"")",0.96,Substitution
32,"('#cephee', 'Elle a rendu par là sa mère criminelle.')",,1.0,Insertion
33,"('#phinee', ""C'est donc un crime ici que d'avoir de bons yeux Qui sachent bien juger d'un tel présent des cieux ?"")","('#hierax', ""Cruelle, en voulez vous douter ? En vain votre inconstance éclate, En vain elle m'anime à briser tous les noeuds Je vous aime toujours ingrate, Plus que vous ne voulez Et plus que je ne veux Je crains un funeste présage, Un aigle dévorant Vient de fondre à mes yeux, Sur un oiseau qui dans ces lieux M'entretenait d'un doux ramage Différez votre hymen, Suivons l'avis des Cieux. Notre hymen me déplaît qu'à votre coeur volage: Répondez moi de vous, je vous répond des Dieux. Vous juriez autrefois Que cette onde rebelle Se ferait vers sa source une route nouvelle Plutôt qu'on ne verrait votre coeur dégagé; Voyez couler ces flots dans cette vaste plaine C'est le même penchant qui toujours les entraîne. Leurs cours ne change point et vous avez changé"")",1.01,Substitution
34,"('#cephee', ""Qui veut en bien juger n'a point le privilège D'aller jusqu'au blasphème et jusqu'au sacrilège."")",,1.0,Insertion
35,"('#cassiope', ""Ce blasphème, seigneur, de quoi vous m'accusez..."")","('#io', ""Laissez moi revenir de mes frayeurs secrètes; J'attends de votre amour cet effort généreux."")",1.8,Substitution
36,"('#cephee', ""Madame, après les maux que vous avez causés, C'est à vous à pleurer, et non à vous défendre. Voyez, voyez quel sang vous avez fait répandre ; Et ne laissez paraître en cette occasion Que larmes, que soupirs, et que confusion. Je vous le dis encore, elle la crut trop belle ; Et peut-être le sort l'en veut punir en elle : Dérober Andromède à cette élection, C'est dérober sa mère à sa punition."")","('#hierax', ""Je veux ce qui vous plaît, cruelle que vous êtes, Vous n'abusez que trop d'un amour malheureux !"")",0.45,Substitution
37,,"('#io', 'Non, je vous aime encor !')",1.0,Deletion
38,"('#phinee', ""Déjà cinq fois, seigneur, à ce choix exposée, Vous voyez que cinq fois le sort l'a refusée."")","('#hierax', ""Quelle froideur extrême !  Inconstante, est-ce ainsi qu'on doit dire qu'on aime."")",1.56,Substitution
39,"('#cephee', ""Si le courroux du ciel n'en veut point à ses jours, Ce qu'il a fait cinq fois il le fera toujours."")","('#io', ""C'est à tort que vous m'accusez, Vous avez vu toujours vos rivaux méprisés"")",1.72,Substitution
40,"('#phinee', ""Le tenter si souvent, c'est lasser sa clémence : Il pourra vous punir de trop de confiance : Vouloir toujours faveur, c'est trop lui demander, Et c'est un crime enfin que de tant hasarder. Mais quoi ? N'est-il, seigneur, ni bonté paternelle, Ni tendresse du sang qui vous parle pour elle ?"")","('#hierax', ""Le mal de mes rivaux N'égale point ma peine, La douce illusion d'une espérance vaine Ne les fait point tomber du faite du bonheur Aucun d'eux comme moi n'a perdu votre coeur; Je ne suis point accoutumé Quel tourment de cesser de plaire Lorsqu'on a fait l'essai du plaisir d'être aimé. Je ne le sens que trop Votre coeur se détache Et je ne sais qui me l'arrache"")",0.22,Substitution
41,"('#cephee', ""Ah ! Ne m'arrachez point mon sentiment secret. Phinée, il est tout vrai, je l'expose à regret. J'aime que votre amour en sa faveur me presse ; La nature en mon coeur avec lui s'intéresse ; Mais elle ne saurait mettre d'accord en moi Les tendresses d'un père et les devoirs d'un roi ; Et par une justice à moi-même sévère, Je vous refuse en roi ce que je veux en père."")","('#hierax', ""Je cherche en vain l'heureux amant Qui me dérobe un bien charmant Où j'ai cru devoir seul prétendre Je sentirais moins mon tourment Si je trouvais à qui m'en prendre Vous fuyez mes regards, Vous ne me dites rien; Il faut vous délivrer d'un fâcheux entretiens; Ma présence vous blesse et c'est trop vous contraindre."")",0.0,Match
42,"('#phinee', ""Quelle est cette justice, et quelles sont ces lois Dont l'aveugle rigueur s'étend jusques aux rois ?"")","('#io', 'Jaloux sombre et chagrin, Partout où je vous vois, Vous ne cessez de vous plaindre Je voudrais vous aimer Autant que je le dois, Et vous me forcez à vous craindre.')",1.47,Substitution
43,"('#cephee', ""Celles que font les dieux, qui, tous rois que nous sommes, Punissent nos forfaits ainsi que ceux des hommes, Et qui ne nous font part de leur sacré pouvoir Que pour le mesurer aux règles du devoir. Que diraient mes sujets si je me faisais grâce, Et si, durant qu'au monstre on expose leur race, Ils voyaient, par un droit tyrannique et honteux, Le crime en ma maison, et la peine sur eux ?"")","('#hierax #io', ""Non, non, il ne tient qu'à vous De rendre notre sort plus doux Non, non, il ne tient qu'à vous De rendre mon coeur plus tendre Non, non, il ne tient qu'à vous De rendre mon coeur moins jaloux."")",1.31,Substitution
44,"('#phinee', 'Heureux sont les sujets, heureuses les provinces Dont le sang peut payer pour celui de leurs princes !')","('#micene', ""Ce prince trop longtemps dans ses chagrins s'obstine On pardonne au premier transport D'un amour qui se plaint à tort Et qui sans raison se mutine. Mais à la fin on se chagrine Contre un Amour chagrin."")",1.18,Substitution
45,"('#cephee', ""Mais heureux est le prince, heureux sont ses projets, Quand il se fait justice ainsi qu'à ses sujets ! Notre oracle, après tout, n'excepte point ma fille : Ses termes généraux comprennent ma famille ; Et ne confondre pas ce qu'il a confondu, C'est se mettre au-dessus du dieu qui l'a rendu."")","('#io', ""Je veux bien te parler enfin sans artifice Ce prince infortuné s'alarme avec justice. Le maître souverain de la terre et des cieux Entreprend de plaire à mes yeux. Du coeur de Jupiter l'amour m'offre l'empire. Mercure est venu me le dire Je le vois chaque jour descendre dans ces lieux. Mon coeur autant qu'il peut  Fait toujours résistance. Et pour attaquer ma constance, Il ne fallait pas moins que le plus grand des Dieux."")",0.2,Substitution
46,"('#persee', ""Seigneur, s'il m'est permis d'entendre votre oracle, Je crois qu'à sa prière il donne peu d'obstacle ; Il parle d'Andromède, il la nomme, il suffit, Arrêtez-vous pour elle à ce qu'il vous en dit : La séparer longtemps d'un amant si fidèle, C'est tout le châtiment qu'il semble vouloir d'elle. Différez son hymen sans l'exposer au choix. Le ciel assez souvent, doux aux crimes des rois, Quand il leur a montré quelque légère haine, Répand sur leurs sujets le reste de leur peine."")","('#micene', ""On écoute aisément Jupiter qui soupire. C'est un amant qu'on ose mépriser. Et du plus grand des coeurs Ce glorieux empire  Est difficile à mépriser."")",0.09,Substitution
47,"('#cephee', ""Vous prenez mal l'oracle ; et pour l'expliquer mieux, Sachez... Mais quel éclat vient de frapper mes yeux ? D'où partent ces longs traits de nouvelles lumières ?"")","('#io', ""Lorsqu'on me presse de me rendre Aux attraits d'un amour nouveau, Plus le charme est puissant Et plus il serait beau De pouvoir m'en défendre. Quoi ! tu veux me quitter ? Doù vient ce soin pressant ?"")",0.92,Substitution
48,"('#persee', ""Du ciel qui vient d'ouvrir ses luisantes barrières, D'où quelque déité vient, ce semble, ici-bas Terminer elle-même entre vous ces débats."")","('#micene', ""C'est pour vous seule ici que Mercure descend."")",1.51,Substitution
49,"('#cassiope', ""Ah ! Je la reconnais, la déesse d'Éryce ; C'est elle, c'est Vénus, à mes voeux si propice : Je vois dans ses regards mon bonheur renaissant. Peuple, faites des voeux, tandis qu'elle descend."")","('#mercure', ""Le Dieu puissant qui lance le tonnerre  Et qui des cieux tient le sceptre en ses mains A résolu de venir sur la terre Chasser les maux qui troublent les humains. Que la terre avec soin à cet honneur réponde Échos retentissez dans ces lieux pleins d'appas, Annoncez qu'aujourd'hui pour le bonheur du monde, Jupiter descends ici-bas."")",0.25,Substitution
50,"('#le-choeur', ""Reine de Paphe et d'Amathonte, Mère d'amour, et fille de la mer, Peux-tu voir sans un peu de honte Que contre nous elle ait voulu s'armer, Et que du même sein qui fut ton origine Sorte notre ruine ? Peux-tu voir que de la même onde Il ose naître un tel monstre après toi ? Que d'où vint tant de bien au monde Il vienne enfin tant de mal et d'effroi, Et que l'heureux berceau de ta beauté suprême Enfante l'horreur même ? Venge l'honneur de ta naissance Qu'on a souillé par un tel attentat ; Rends-lui sa première innocence, Et tu rendras le calme à tout l'état ; Et nous dirons enfin que d'où le mal procède Part aussi le remède."")","('#choeur-des-divinites', ""Échos retentissez dans ces lieux pleins d'appas, Annoncez qu'aujourd'hui pour le bonheur du monde, Jupiter descends ici-bas."")",0.77,Substitution
51,"('#cassiope', ""Peuple, elle veut parler : silence à la déesse ; Silence, et préparez vos coeurs à l'allégresse. Elle a reçu nos voeux, et les daigne exaucer ; écoutez-en l'effet qu'elle va prononcer."")","('#mercure', ""C'est ainsi que Mercure Pour abuser les Dieux jaloux Doit parler hautement à toute la nature. Mais il doit s'expliquer Autrement avec vous; C'est pour vous voir, C'est pour vous plaire, Que Jupiter descend du céleste séjour. Et les biens qu'ici bas sa présence va faire Ne seront dûs qu'à son amour."")",0.32,Substitution
52,"('#venus', ""Ne tremblez plus, mortels ; ne tremble plus, ô mère ! On va jeter le sort pour la dernière fois, Et le ciel ne veut plus qu'un choix Pour apaiser de tout point sa colère. Andromède ce soir aura l'illustre époux Qui seul est digne d'elle, et dont seule elle est digne. Préparez son hymen, où, pour faveur insigne, Les dieux ont résolu de se joindre avec vous."")","('#isis', ""Pourquoi du haut des cieux,  Ce Dieu veut-il descendre ?  Mes voeux sont engagés. Mon coeur a fait un choix L'amour tôt ou tard doit prétendre Que tous les coeurs se rangent sous ses lois. C'est un hommage qu'il faut rendre Mais assez de le rendre une fois."")",0.49,Substitution
53,"('#phinee', ""Souffrez que sans tarder je porte à ma Princesse, Seigneur, l'heureux arrêt qu'a donné la déesse."")","('#mercure', ""Ce serait en aimant une contrainte étrange Qu'un coeur pour mieux choisir n'osât se dégager. Quand c'est pour Jupiter qu'on change Il n'est pas honteux de changer. Que tout l'univers se pare De ce qu'il a de plus rare Que tout brille dans ces lieux. Que la terre partage  L'éclat et la gloire des cieux. Que tout rende hommage  Au plus grand des dieux."")",1.14,Substitution
54,"('#cephee', ""Allez, l'impatience est trop juste aux amants."")","('#jupiter', ""Les armes que je tiens protègent l'innocence. L'effort n'en est fâcheux qu'à l'orgueil des titans. Vous qui suivez les lois, Vivez sous ma puissance, Toujours heureux, toujours contents. Jupiter vient sur la terre. Pour la combler de bienfaits, Il est armé du tonnerre Mais c'est pour donner la paix."")",1.03,Substitution
55,"('#cassiope', ""Suivons-la dans le ciel par nos remerciements ; Et d'une voix commune adorant sa puissance, Montrons à ses faveurs notre reconnaissance."")","('#choeurs', ""Jupiter vient sur la terre. Pour la combler de bienfaits, Il est armé du tonnerre Mais c'est pour donner la paix."")",0.97,Substitution
