,moliere-divertissement-chambord,moliere-monsieur-pourceaugnac,Cost,Operation Type
24,,"('#eraste', ""Au moins, Madame, souvenez-vous de votre rôle ; et pour mieux couvrir notre jeu, feignez, comme on vous a dit, d'être la plus contente du monde des résolutions de votre père."")",1,Deletion
25,,"('#julie', ""S'il ne tient qu'à cela, les choses iront à merveille."")",1,Deletion
26,,"('#eraste', 'Mais, belle Julie, si toutes nos machines venaient à ne pas réussir ?')",1,Deletion
27,,"('#julie', 'Je déclarerai à mon père mes véritables sentiments.')",1,Deletion
28,,"('#eraste', ""Et si, contre vos sentiments il s'obstinait à son dessein ?"")",1,Deletion
29,,"('#julie', 'Je le menacerais de me jeter dans un convent.')",1,Deletion
30,,"('#eraste', 'Mais si, malgré tout cela, il voulait vous forcer à ce mariage ?')",1,Deletion
31,,"('#julie', 'Que voulez-vous que je vous dise ?')",1,Deletion
32,,"('#eraste', 'Ce que je veux que vous me disiez ?')",1,Deletion
33,,"('#julie', 'Oui.')",1,Deletion
34,,"('#eraste', ""Ce qu'on dit quand on aime bien."")",1,Deletion
35,,"('#julie', 'Mais quoi ?')",1,Deletion
36,,"('#eraste', ""Que rien ne pourra vous contraindre, et que malgré tous les efforts d'un père, vous me promettez d'être à moi."")",1,Deletion
37,,"('#julie', ""Mon_Dieu, Éraste, contentez-vous de ce que je fais maintenant, et n'allez point tenter sur l'avenir les résolutions de mon coeur ; ne fatiguez point mon devoir par les propositions d'une fâcheuse extrémité, dont peut-être n'aurons-nous pas besoin ; et s'il y faut venir, souffrez au moins que j'y sois entraînée par la suite des choses."")",1,Deletion
38,,"('#eraste', 'Eh bien...')",1,Deletion
39,,"('#sbrigani', 'Ma foi, voici notre homme, songeons à nous.')",1,Deletion
40,,"('#nerine', 'Ah comme il est bâti !')",1,Deletion
41,,"('#monsieur-de-pourceaugnac', ""Hé bien, quoi ?  Qu'est-ce ?  Qu'y a-t-il ?  Au diantre soit la sotte ville, et les sottes gens qui y sont : Ne pouvoir faire un pas sans trouver des nigauds qui vous regardent et se mettent à rire !  Eh !  Messieurs les badauds, faites vos affaires, et laissez passer les personnes sans leur rire au nez.  Je me donne au diable, si je ne baille un coup de poing au premier que je verrai rire."")",1,Deletion
42,,"('#sbrigani', ""Qu'est-ce que c'est, Messieurs ?  Que veut dire cela ?  À qui en avez-vous ?  Faut-il se moquer ainsi des honnêtes étrangers qui arrivent ici ?"")",1,Deletion
43,,"('#monsieur-de-pourceaugnac', 'Voilà un homme raisonnable, celui-là.')",1,Deletion
44,,"('#sbrigani', ""Quel procédé est le vôtre ?  Et qu'avez-vous à rire ?"")",1,Deletion
45,,"('#monsieur-de-pourceaugnac', 'Fort bien.')",1,Deletion
46,,"('#sbrigani', 'Monsieur a-t-il quelque chose de ridicule en soi ?')",1,Deletion
47,,"('#monsieur-de-pourceaugnac', 'Oui.')",1,Deletion
48,,"('#sbrigani', 'Est-il autrement que les autres ?')",1,Deletion
49,,"('#monsieur-de-pourceaugnac', 'Suis-je tordu, ou bossu ?')",1,Deletion
50,,"('#sbrigani', 'Apprenez à connaître les gens.')",1,Deletion
51,,"('#monsieur-de-pourceaugnac', ""C'est bien dit."")",1,Deletion
52,,"('#sbrigani', ""Monsieur est d'une mine à respecter."")",1,Deletion
53,,"('#monsieur-de-pourceaugnac', 'Cela est vrai.')",1,Deletion
54,,"('#sbrigani', 'Personne de condition.')",1,Deletion
55,,"('#monsieur-de-pourceaugnac', 'Oui, gentilhomme limousin.')",1,Deletion
56,,"('#sbrigani', ""Homme d'esprit."")",1,Deletion
57,,"('#monsieur-de-pourceaugnac', 'Qui a étudié en droit.')",1,Deletion
58,,"('#sbrigani', ""Il vous fait trop d'honneur de venir dans votre ville."")",1,Deletion
59,,"('#monsieur-de-pourceaugnac', 'Sans doute.')",1,Deletion
60,,"('#sbrigani', ""Monsieur n'est point une personne à faire rire."")",1,Deletion
61,,"('#monsieur-de-pourceaugnac', 'Assurément.')",1,Deletion
62,,"('#sbrigani', 'Et quiconque rira de lui, aura affaire à moi.')",1,Deletion
63,,"('#monsieur-de-pourceaugnac', 'Monsieur, je vous suis infiniment obligé.')",1,Deletion
64,,"('#sbrigani', 'Je suis fâché, Monsieur, de voir recevoir de la sorte une personne comme vous, et je vous demande pardon pour la ville.')",1,Deletion
65,,"('#monsieur-de-pourceaugnac', 'Je suis votre serviteur.')",1,Deletion
66,,"('#sbrigani', ""Je vous ai vu ce matin, Monsieur, avec le coche, lorsque vous avez déjeuné ; et la grâce avec laquelle vous mangiez votre pain, m'a fait naître d'abord de l'amitié pour vous ; et comme je sais que vous n'êtes jamais venu en ce pays, et que vous y êtes tout neuf, je suis bien aise de vous avoir trouvé pour vous offrir mon service à cette arrivée, et vous aider à vous conduire parmi ce peuple, qui n'a pas parfois pour les honnêtes gens toute la considération qu'il faudrait."")",1,Deletion
67,,"('#monsieur-de-pourceaugnac', ""C'est trop de grâce que vous me faites."")",1,Deletion
68,,"('#sbrigani', ""Je vous l'ai déjà dit ; du moment que je vous ai vu, je me suis senti pour vous de l'inclination."")",1,Deletion
69,,"('#monsieur-de-pourceaugnac', 'Je vous suis obligé.')",1,Deletion
70,,"('#sbrigani', ""Votre physionomie m'a plu."")",1,Deletion
71,,"('#monsieur-de-pourceaugnac', ""Ce m'est beaucoup d'honneur."")",1,Deletion
72,,"('#sbrigani', ""J'y ai vu quelque chose d'honnête."")",1,Deletion
73,,"('#monsieur-de-pourceaugnac', 'Je suis votre serviteur.')",1,Deletion
74,,"('#sbrigani', ""Quelque chose d'aimable."")",1,Deletion
75,,"('#monsieur-de-pourceaugnac', 'Ah, ah.')",1,Deletion
76,,"('#sbrigani', 'De gracieux.')",1,Deletion
77,,"('#monsieur-de-pourceaugnac', 'Ah, ah.')",1,Deletion
78,,"('#sbrigani', 'De doux.')",1,Deletion
79,,"('#monsieur-de-pourceaugnac', 'Ah, ah.')",1,Deletion
80,,"('#sbrigani', 'De majestueux.')",1,Deletion
81,,"('#monsieur-de-pourceaugnac', 'Ah, ah.')",1,Deletion
82,,"('#sbrigani', 'De franc.')",1,Deletion
83,,"('#monsieur-de-pourceaugnac', 'Ah, ah.')",1,Deletion
84,,"('#sbrigani', 'Et de cordial.')",1,Deletion
85,,"('#monsieur-de-pourceaugnac', 'Ah, ah.')",1,Deletion
86,,"('#sbrigani', 'Je vous assure que je suis tout à vous.')",1,Deletion
87,,"('#monsieur-de-pourceaugnac', ""Je vous ai beaucoup d'obligation."")",1,Deletion
88,,"('#sbrigani', ""C'est du fond du coeur que je parle."")",1,Deletion
89,,"('#monsieur-de-pourceaugnac', 'Je le crois.')",1,Deletion
90,,"('#sbrigani', ""Si j'avais l'honneur d'être connu de vous, vous sauriez que je suis un homme tout à fait sincère."")",1,Deletion
91,,"('#monsieur-de-pourceaugnac', ""Je n'en doute point."")",1,Deletion
92,,"('#sbrigani', 'Ennemi de la fourberie.')",1,Deletion
93,,"('#monsieur-de-pourceaugnac', ""J'en suis persuadé."")",1,Deletion
94,,"('#sbrigani', ""Et qui n'est pas capable de déguiser ses sentiments."")",1,Deletion
95,,"('#monsieur-de-pourceaugnac', ""C'est ma pensée."")",1,Deletion
96,,"('#sbrigani', ""Vous regardez mon habit qui n'est pas fait comme les autres ; mais je suis originaire de Naples, à votre service, et j'ai voulu conserver un peu et la manière de s'habiller, et la sincérité de mon pays."")",1,Deletion
97,,"('#monsieur-de-pourceaugnac', ""C'est fort bien fait.  Pour moi j'ai voulu me mettre à la mode de la Cour pour la campagne."")",1,Deletion
98,,"('#sbrigani', ""Ma foi, cela vous va mieux qu'à tous nos courtisans."")",1,Deletion
99,,"('#monsieur-de-pourceaugnac', ""C'est ce que m'a dit mon tailleur ; l'habit est propre et riche, et il fera du bruit ici."")",1,Deletion
100,,"('#sbrigani', ""Sans doute.  N'irez-vous pas au Louvre ?"")",1,Deletion
101,,"('#monsieur-de-pourceaugnac', 'Il faudra bien aller faire ma Cour.')",1,Deletion
102,,"('#sbrigani', 'Le Roi sera ravi de vous voir.')",1,Deletion
103,,"('#monsieur-de-pourceaugnac', 'Je le crois.')",1,Deletion
104,,"('#sbrigani', 'Avez-vous arrêté un logis [?]')",1,Deletion
105,,"('#monsieur-de-pourceaugnac', ""Non, j'allais en chercher un."")",1,Deletion
106,,"('#sbrigani', ""Je serai bien aise d'être avec vous pour cela, et je connais tout ce pays-ci."")",1,Deletion
107,,"('#eraste', ""Ah qu'est-ce ci ?  Que vois-je ?  Quelle heureuse rencontre !  Monsieur de Pourceaugnac !  Que je suis ravi de vous voir !  Comment ?  Il semble que vous ayez peine à me reconnaître !"")",1,Deletion
108,,"('#monsieur-de-pourceaugnac', 'Monsieur, je suis votre serviteur.')",1,Deletion
109,,"('#eraste', ""Est-il possible que cinq ou six années m'aient ôté de votre mémoire ?  Et que vous ne reconnaissiez pas le meilleur ami de toute la famille des Pourceaugnac ?"")",1,Deletion
110,,"('#monsieur-de-pourceaugnac', 'Pardonnez-moi.  Ma foi, je ne sais qui il est. À Sbrigani.')",1,Deletion
111,,"('#eraste', ""Il n'y a pas un Pourceaugnac à Limoges que je ne connaisse depuis le plus grand jusques au plus petit ; je ne fréquentais qu'eux dans le temps que j'y étais, et j'avais l'honneur de vous voir presque tous les jours."")",1,Deletion
112,,"('#monsieur-de-pourceaugnac', ""C'est moi qui l'ai reçu, Monsieur."")",1,Deletion
113,,"('#eraste', 'Vous ne vous remettez point mon visage ?')",1,Deletion
114,,"('#monsieur-de-pourceaugnac', 'Si fait.  Je ne le connais point. À Sbrigani.')",1,Deletion
115,,"('#eraste', ""Vous ne vous ressouvenez pas que j'ai eu le bonheur de boire avec vous je ne sais combien de fois ?"")",1,Deletion
116,,"('#monsieur-de-pourceaugnac', ""Excusez-moi.  Je ne sais ce que c'est. À Sbrigani."")",1,Deletion
117,,"('#eraste', 'Comment appelez-vous ce traiteur de Limoges qui fait si bonne chère ?')",1,Deletion
118,,"('#monsieur-de-pourceaugnac', 'Petit-Jean ?')",1,Deletion
119,,"('#eraste', ""Le voilà.  Nous allions le plus souvent ensemble chez lui nous réjouir.  Comment est-ce que vous nommez à Limoges ce lieu où l'on se promène ?"")",1,Deletion
120,,"('#monsieur-de-pourceaugnac', 'Le Cimetière des Arènes ?')",1,Deletion
121,,"('#eraste', ""Justement : c'est où je passais de si douces heures à jouir de votre agréable conversation.  Vous ne vous remettez pas tout cela ?"")",1,Deletion
122,,"('#monsieur-de-pourceaugnac', ""Excusez-moi, je me le remets.  Diable emporte si je m'en souviens ! À Sbrigani."")",1,Deletion
123,,"('#sbrigani', 'Il y a cent choses comme cela qui passent de la tête.')",1,Deletion
124,,"('#eraste', 'Embrassez-moi donc, je vous prie, et resserrons les noeuds de notre ancienne amitié.')",1,Deletion
125,,"('#sbrigani', 'Voilà un homme qui vous aime fort.')",1,Deletion
126,,"('#eraste', 'Dites-moi un peu des nouvelles de toute la parenté : comment se porte Monsieur votre... là...  Qui est si honnête homme ?')",1,Deletion
127,,"('#monsieur-de-pourceaugnac', 'Mon frère le consul ?')",1,Deletion
128,,"('#eraste', 'Oui.')",1,Deletion
129,,"('#monsieur-de-pourceaugnac', 'Il se porte le mieux du monde.')",1,Deletion
130,,"('#eraste', ""Certes j'en suis ravi.  Et celui qui est de si bonne humeur ?  Là...  Monsieur votre... ?"")",1,Deletion
131,,"('#monsieur-de-pourceaugnac', ""Mon cousin l'assesseur ?"")",1,Deletion
132,,"('#eraste', 'Justement.')",1,Deletion
133,,"('#monsieur-de-pourceaugnac', 'Toujours gai et gaillard.')",1,Deletion
134,,"('#eraste', ""Ma foi !  J'en ai beaucoup de joie.  Et Monsieur votre oncle ?  Le... ?"")",1,Deletion
135,,"('#monsieur-de-pourceaugnac', ""Je n'ai point d'oncle."")",1,Deletion
136,,"('#eraste', 'Vous aviez pourtant en ce temps-là...')",1,Deletion
137,,"('#monsieur-de-pourceaugnac', ""Non, rien qu'une tante."")",1,Deletion
138,,"('#eraste', ""C'est ce que je voulais dire, Madame votre tante : comment se porte-t-elle ?"")",1,Deletion
139,,"('#monsieur-de-pourceaugnac', 'Elle est morte depuis six mois.')",1,Deletion
140,,"('#eraste', 'Hélas la pauvre femme !  Elle était si bonne personne.')",1,Deletion
141,,"('#monsieur-de-pourceaugnac', 'Nous avons aussi mon neveu le chanoine qui a pensé mourir de la petite vérole.')",1,Deletion
142,,"('#eraste', ""Quel dommage ç'aurait été !"")",1,Deletion
143,,"('#monsieur-de-pourceaugnac', 'Le connaissez-vous aussi ?')",1,Deletion
144,,"('#eraste', 'Vraiment si je le connais !  Un grand garçon bien fait.')",1,Deletion
145,,"('#monsieur-de-pourceaugnac', 'Pas des plus grands.')",1,Deletion
146,,"('#eraste', 'Non, mais de taille bien prise.')",1,Deletion
147,,"('#monsieur-de-pourceaugnac', 'Eh oui.')",1,Deletion
148,,"('#eraste', 'Qui est votre neveu...')",1,Deletion
149,,"('#monsieur-de-pourceaugnac', 'Oui.')",1,Deletion
150,,"('#eraste', 'Fils de votre frère et de votre soeur...')",1,Deletion
151,,"('#monsieur-de-pourceaugnac', 'Justement.')",1,Deletion
152,,"('#eraste', ""Chanoine de l'église de...  Comment l'appelez-vous ?"")",1,Deletion
153,,"('#monsieur-de-pourceaugnac', 'De Saint-Etienne.')",1,Deletion
154,,"('#eraste', 'Le voilà, je ne connais autre.')",1,Deletion
155,,"('#monsieur-de-pourceaugnac', 'Il dit toute la parenté.')",1,Deletion
156,,"('#sbrigani', 'Il vous connaît plus que vous ne croyez.')",1,Deletion
157,,"('#monsieur-de-pourceaugnac', 'À ce que je vois, vous avez demeuré longtemps dans notre ville ?')",1,Deletion
158,,"('#eraste', 'Deux ans entiers.')",1,Deletion
159,,"('#monsieur-de-pourceaugnac', ""Vous étiez donc là quand mon cousin l'élu, fit tenir son enfant à Monsieur notre gouverneur ?"")",1,Deletion
160,,"('#eraste', ""Vraiment oui, j'y fus convié des premiers."")",1,Deletion
161,,"('#monsieur-de-pourceaugnac', 'Cela fut galant.')",1,Deletion
162,,"('#eraste', 'Très galant.')",1,Deletion
163,,"('#monsieur-de-pourceaugnac', ""C'était un repas bien troussé."")",1,Deletion
164,,"('#eraste', 'Sans doute.')",1,Deletion
165,,"('#monsieur-de-pourceaugnac', ""Vous vîtes donc aussi la querelle que j'eus avec ce gentilhomme périgordin ?"")",1,Deletion
166,,"('#eraste', 'Oui.')",1,Deletion
167,,"('#monsieur-de-pourceaugnac', 'Parbleu !  Il trouva à qui parler.')",1,Deletion
168,,"('#eraste', 'Ah ah.')",1,Deletion
169,,"('#monsieur-de-pourceaugnac', 'Il me donna un soufflet, mais je lui dis bien son fait.')",1,Deletion
170,,"('#eraste', ""Assurément.  Au reste, je ne prétends pas que vous preniez d'autre logis que le mien."")",1,Deletion
171,,"('#monsieur-de-pourceaugnac', ""Je n'ai garde de..."")",1,Deletion
172,,"('#eraste', 'Vous moquez-vous ?  Je ne souffrirai point du tout que mon meilleur ami soit autre part que dans ma maison.')",1,Deletion
173,,"('#monsieur-de-pourceaugnac', 'Ce serait vous...')",1,Deletion
174,,"('#eraste', ""Non, le diable m'emporte, vous logerez chez moi."")",1,Deletion
175,,"('#sbrigani', ""Puisqu'il le veut obstinément, je vous conseille d'accepter l'offre."")",1,Deletion
176,,"('#eraste', 'Où sont vos hardes ?')",1,Deletion
177,,"('#monsieur-de-pourceaugnac', 'Je les ai laissées, avec mon valet où je suis descendu.')",1,Deletion
178,,"('#eraste', ""Envoyons-les quérir par quelqu'un."")",1,Deletion
179,,"('#monsieur-de-pourceaugnac', ""Non, je lui ai défendu de bouger, à moins que j'y fusse moi-même, de peur de quelque fourberie."")",1,Deletion
180,,"('#sbrigani', ""C'est prudemment avisé."")",1,Deletion
181,,"('#monsieur-de-pourceaugnac', 'Ce pays-ci est un peu sujet à caution.')",1,Deletion
182,,"('#eraste', ""On voit les gens d'esprit en tout."")",1,Deletion
183,,"('#sbrigani', 'Je vais accompagner Monsieur, et le ramènerai où vous voudrez.')",1,Deletion
184,,"('#eraste', ""Oui, je serai bien aise de donner quelques ordres, et vous n'avez qu'à revenir à cette maison-là."")",1,Deletion
185,,"('#sbrigani', ""Nous sommes à vous tout à l'heure."")",1,Deletion
186,,"('#eraste', 'Je vous attends avec impatience.')",1,Deletion
187,,"('#monsieur-de-pourceaugnac', ""Voilà une connaissance où je ne m'attendais point."")",1,Deletion
188,,"('#sbrigani', ""Il a la mine d'être honnête homme."")",1,Deletion
189,,"('#eraste', ""Ma foi, Monsieur de Pourceaugnac, nous vous en donnerons de toutes les façons ; les choses sont préparées, et je n'ai qu'à frapper."")",1,Deletion
190,,"('#eraste', ""Je crois, Monsieur, que vous êtes le médecin à qui l'on est venu parler de ma part."")",1,Deletion
191,,"('#l-apothicaire', ""Non, Monsieur, ce n'est pas moi qui suis le médecin ; à moi n'appartient pas cet honneur, et je ne suis qu'apothicaire, apothicaire indigne, pour vous servir."")",1,Deletion
192,,"('#eraste', 'Et Monsieur le médecin est-il à la maison ?')",1,Deletion
193,,"('#l-apothicaire', 'Oui, il est là embarrassé à expédier quelques malades, et je vais lui dire que vous êtes ici.')",1,Deletion
194,,"('#eraste', ""Non, ne bougez, j'attendrai qu'il ait fait ; c'est pour lui mettre entre les mains certain parent que nous avons, dont on lui a parlé, et qui se trouve attaqué de quelque folie, que nous serions bien aises qu'il pût guérir avant que de le marier."")",1,Deletion
195,,"('#l-apothicaire', ""Je sais ce que c'est, je sais ce que c'est, et j'étais avec lui quand on lui a parlé de cette affaire.  Ma foi, ma foi, vous ne pouviez pas vous adresser à un médecin plus habile ; c'est un homme qui sait la médecine à fond, comme je sais ma Croix-de-Pardieu ; et qui, quand on devrait crever, ne démordrait pas d'un iota des règles des Anciens.  Oui, il suit toujours le grand chemin, le grand chemin, et ne va point chercher midi à quatorze heures ; et pour tout l'or du monde, il ne voudrait point avoir guéri une personne avec d'autres remèdes que ceux que la Faculté permet."")",1,Deletion
196,,"('#eraste', ""Il fait fort bien ; un malade ne doit point vouloir guérir, que la Faculté n'y consente."")",1,Deletion
197,,"('#l-apothicaire', ""Ce n'est pas parce que nous sommes grands amis, que j'en parle ; mais il y a plaisir, il y a plaisir d'être son malade ; et j'aimerais mieux mourir de ses remèdes, que de guérir de ceux d'un autre : car quoi qui puisse arriver, on est assuré que les choses sont toujours dans l'ordre ; et quand on meurt sous sa conduite, vos héritiers n'ont rien à vous reprocher."")",1,Deletion
198,,"('#eraste', ""C'est une grande consolation pour un défunt."")",1,Deletion
199,,"('#l-apothicaire', ""Assurément ; on est bien aise au moins d'être mort méthodiquement.  Au reste, il n'est pas de ces médecins qui marchandent les maladies : c'est un homme expéditif, qui aime à dépêcher ses malades ; et quand on a à mourir, cela se fait avec lui le plus vite du monde."")",1,Deletion
200,,"('#eraste', ""En effet, il n'est rien tel que de sortir promptement d'affaire."")",1,Deletion
201,,"('#l-apothicaire', ""Cela est vrai, à quoi bon tant barguigner et tant tourner autour du pot ?  Il faut savoir vitement le court ou le long d'une maladie."")",1,Deletion
202,,"('#eraste', 'Vous avez raison.')",1,Deletion
203,,"('#l-apothicaire', ""Voilà déjà trois de mes enfants dont il m'a fait l'honneur de conduire la maladie, qui sont morts en moins de quatre jours, et qui, entre les mains d'un autre, auraient langui plus de trois mois."")",1,Deletion
204,,"('#eraste', ""Il est bon d'avoir des amis comme cela."")",1,Deletion
205,,"('#l-apothicaire', 'Sans doute.  Il ne me reste plus que deux enfants dont il prend soin comme des siens ; il les traite et gouverne à sa fantaisie, sans que je me mêle de rien ; et le plus souvent, quand je reviens de la ville, je suis tout étonné que je les trouve saignés ou purgés par son ordre.')",1,Deletion
206,,"('#eraste', 'Voilà des soins fort obligeants.')",1,Deletion
207,,"('#l-apothicaire', 'Le voici, le voici, le voici qui vient.')",1,Deletion
208,,"('#le-paysan', ""Monsieur, il n'en peut plus, et il dit qu'il sent dans la tête les plus grandes douleurs du monde."")",1,Deletion
209,,"('#premier-medecin', ""Le malade est un sot, d'autant plus que, dans la maladie dont il est attaqué, ce n'est pas la tête, selon Galien, mais la rate, qui lui doit faire mal."")",1,Deletion
210,,"('#le-paysan', ""Quoi que c'en soit, Monsieur, il a toujours avec cela son cours de ventre depuis six mois."")",1,Deletion
211,,"('#premier-medecin', ""Bon, c'est signe que le dedans se dégage.  Je l'irai visiter dans deux ou trois jours ; mais s'il mourait avant ce temps-là, ne manquez pas de m'en donner avis, car il n'est pas de la civilité qu'un médecin visite un mort."")",1,Deletion
212,,"('#la-paysanne', 'Mon père, Monsieur, est toujours malade de plus en plus.')",1,Deletion
213,,"('#premier-medecin', ""Ce n'est pas ma faute : je lui donne des remèdes, que ne guérit-il ?  Combien a-t-il été saigné de fois ?"")",1,Deletion
214,,"('#la-paysanne', 'Quinze, Monsieur, depuis vingt jours.')",1,Deletion
215,,"('#premier-medecin', 'Quinze fois saigné ?')",1,Deletion
216,,"('#la-paysanne', 'Oui.')",1,Deletion
217,,"('#premier-medecin', 'Et il ne guérit point ?')",1,Deletion
218,,"('#la-paysanne', 'Non, Monsieur.')",1,Deletion
219,,"('#premier-medecin', ""C'est signe que la maladie n'est pas dans le sang.  Nous le ferons purger autant de fois, pour voir si elle n'est pas dans les humeurs, et si rien ne nous réussit, nous l'envoyerons aux bains."")",1,Deletion
220,,"('#l-apothicaire', 'Voilà le fin cela, voilà le fin de la médecine.')",1,Deletion
