andrieux-moliere-et-ses-amis,cadet-gassicourt-souper-de-moliere,Score
"('#chapelle', ""Tu dis comme ton maître !... Il veut me gâter !... Oui ! Me rendre sobre comme lui !  Il est toujours au lait ! C'est un triste breuvage ! Un poète !... du lait ! Fi donc ! Fi ! Quel travers ! Ce n'est que dans le vin, qu'on trouve les bons vers. Ma dernière chanson ! elle est vraiment charmante. Tiens ; veux-tu que je te la chante ? Ton maître n'a point fait de vers plus délicats. Il prélude."")",-,0.0
"('#laforet', ""Vous, égaler mon maître ? Ah! ne l'espérez pas. Vous y brûleriez tous vos livres.' Je m'y connais, allez , et j'ai le sens commun. Il fait de meilleurs vers a jeun, Que vous tous, quand vous êtes yvres."")",-,0.0
"('#chapelle', ""Eh ! Ne te fâche pas ; je sais tout ce qu'il vaut ; Oui ; qu'il devienne ivrogne ; il sera sans défaut."")",-,0.0
"('#laforet', ""Comme vous, n'est-ce pas ?"")",-,0.0
"('#chapelle', ""Mais à propos, ma bonne, N'est-il encor venu personne Me demander ici ?"")",-,0.0
"('#laforet', 'Pourquoi faire ?')",-,0.0
"('#chapelle', ""Entre nous, Si j'arrive sitôt, c'est que j'ai rendez-vous Avec certaine dame ; elle est de mes amies, Toute jeune, et des plus jolies. Tu la feras entrer en grand secret..."")",-,0.0
"('#laforet', 'Nenni. Nous attendons ce soir messieurs Mignard, Lulli, Despréaux, Lafontaine, et vous enfin. Mon maître Avec ses bons amis uniquement veut être.')",-,0.0
"('#chapelle', 'Mais cette dame-ci...')",-,0.0
"('#laforet', ""N'entrera pas, ma foi. Voyez donc ! On ne peut être maître chez soi. Étant seul avec vous, monsieur comptait vous lire Cette pièce qu'il vient d'achever pour le roi : Le Bourgeois Gentilhomme !... Attendez-vous à rire ; Il m'en a déjà lu des passages, à moi ! Il vous met là-dedans des mots qui sont si drôles, Il arrange si bien ses scènes et ses rôles, Qu'on croirait bien souvent que c'est tout de bon, dà !... Je ne sais pas où diable il trouve tout cela."")",-,0.0
"('#chapelle', ""Comment donc ? Laforêt... mais tu deviens savante ? Il te lit quelquefois ce qu'il fait."")",-,0.0
"('#laforet', ""Je m'en vante ! Il ne met rien au jour que je n'aie approuvé, Et même il vous dira qu'il s'en est bien trouvé. Vous verrez le Bourgeois !... Nicole la servante !... Mais enfin avec vous c'est assez babiller. Il faut à mon souper que j'aille travailler. Adieu monsieur Chapelle."")",-,0.0
"('#chapelle', 'Adieu, ma bonne amie. Au moins, tu laisseras entrer ma compagnie.')",-,0.0
"('#laforet', 'Je ne crois pas cela.')",-,0.0
"('#chapelle', ""C'est moi qui t'en réponds..."")",-,0.0
"('#laforet', 'La bonne caution !....')",-,0.0
"('#chapelle', 'Tu verras.')",-,0.0
"('#laforet', 'Nous verrons. Elle sort.')",-,0.0
"('#chapelle', ""La pauvre Laforêt ne sait pas qui j'amène, Et Molière lui-même est loin de le penser ; Mais il ressent dans l'âme une secrète peine Dont je veux le débarrasser. Il se tourmente ! Il s'inquiète ! Isabelle est un peu coquette ; Il faut l'avouer franchement ; Mais elle l'aime au fonds, et très sincèrement. Doit-il, sur un soupçon, se brouiller avec elle ? À la prière de la belle, Moi, je me suis chargé du raccommodement. Ce soir sous un déguisement Elle compte ici le surprendre ! Nous verrons !... mais en ce moment Il vient !... Il parle seul ! Je voudrais bien l'entendre."")",-,0.0
"('#moliere', 'Pour le coup, je vous tiens, et vous serez tancés, Messieurs les courtisans, coeurs faux, intéressés, Qui sous des dehors agréables, Êtes cent fois plus méprisables Que mon pauvre Bourgeois dont les airs peu sensés Ne couvrent pas du moins des vices haïssables.')",-,0.0
"('#chapelle', 'Qui diantre à ce front soucieux, À cet air de mélancolie Prendrait cet homme sérieux Pour un faiseur de comédie ?')",-,0.0
"('#moliere', ""Nous aurons, pour finir, un ballet turc ; Lulli Sera bouffon, sous l'habit de muphti. L'imagination est tant soit peu fantasque ; Mais elle fera rire ; il faut bien quelquefois, Comme disait maître François, Habiller la raison en masque, Surtout quand on la veut faire entrer chez les rois. Ah ! te voilà !... Bonsoir Chapelle. Pardon ; je ne te voyais pas. . Apercevant Chapelle."")",-,0.0
"('#chapelle', ""Tu t'occupais, je crois, de ta pièce nouvelle ?"")",-,0.0
"('#moliere', ""Il est vrai ; j'y songeais et j'en parlais tout bas. Demain matin je veux vous en faire lecture, Vous en demander vos avis ; Car vous restez ce soir; vous me l'avez promis."")",-,0.0
"('#chapelle', ""Moi ? De tout mon coeur, je t'assure. Puis, je compte si bien enivrer nos amis, Qu'ils demandent un lit plutôt qu'une voiture."")",-,0.0
"('#moliere', ""On m'a conté, comme un de tes exploits nouveaux, Que tu fis l'autre jour trop boire Despréaux ?"")",-,0.0
"('#chapelle', ""C'était pour me venger ; toujours prompt à médire Ce Boileau des buveurs me faisait la satire, Et gravement me pérorait. Je l'ai tout doucement conduit au cabaret. Là, tout en l'écoutant et sans le contredire, Je lui versais à boire, et mon homme à la fin, Toujours grondant, buvant, et se donnant carrière, Se coiffa le cerveau de la bonne manière,  En déclamant contre le vin."")",-,0.0
"('#moliere', ""C'est la mode à présent !... Voilà comme vous êtes !..."")",-,0.0
"('#chapelle', ""Toi-même je t'ai vu quelquefois en goguettes."")",-,0.0
"('#moliere', ""Mais jamais jusqu'au point de perdre la raison."")",-,0.0
"('#chapelle', ""Va ; tout homme la perd, chacun à sa façon. Le vin est mon penchant ; le tien c'est la tendresse. Isabelle est l'écueil fatal à ta sagesse."")",-,0.0
"('#moliere', 'Isabelle !')",-,0.0
"('#chapelle', ""Oui ; la petite Béjart. Vous boudez maintenant, chacun de votre part ; Mais elle en est fâchée, et tu l'es autant qu'elle."")",-,0.0
"('#moliere', ""Non, non ; je suis guéri , crois-moi, Et je n'aime plus Isabelle."")",-,0.0
"('#chapelle', 'Allons donc ; sois de bonne foi ; Isabelle est charmante, et toujours applaudie ; Elle est pour ton théâtre un sujet excellent ; - Dans ta dernière comédie Elle a fait preuve de talent !')",-,0.0
"('#moliere', 'Certain duc espagnol va toujours chez sa mère !')",-,0.0
"('#chapelle', ""C'est là ce qui t'occupe !... Eh ! Mais quelle chimère Vas-tu te mettre dans l'esprit ? Chez madame Béjart où l'on se divertit La bonne compagnie abonde Et ce seigneur y va comme tout le beau monde."")",-,0.0
"('#moliere', 'La mère le reçoit ; la fille lui sourit.')",-,0.0
"('#chapelle', ""Pourquoi non ?... Cela te chagrine ! Pour te plaire, faut-il qu'elle fasse la mine ?"")",-,0.0
"('#moliere', 'Elle est coquette.')",-,0.0
"('#chapelle', ""Un peu ; doit-on s'en étonner ? C'est un tort de son âge, et qu'on peut pardonner. Pourquoi donc t'affliger ?.... La sotte fantaisie ! Tu nous as tant fait rire aux dépens des jaloux, Et tu serais toi-même atteint de jalousie ! Je le vois aux soupçons dont ton âme est saisie ; L'amour fait d'un grand homme, un homme comme nous."")",-,0.0
"('#moliere', ""Ah ! Si j'étais enclin à cette frénésie, Isabelle souvent tourmenterait ma vie ! Je ne le vois que trop, et je crois qu'il vaut mieux Éviter des chagrins..."")",-,0.0
"('#chapelle', ""Ma foi, mon cher Molière, Tu prends la chose aussi d'un ton trop sérieux. Traitons l'amour gaîment, et tenons-nous joyeux. Tâche de m'imiter; ma vie est régulière ;  Moi, je m'enivre tous les jours ; De belle en belle je cours ; Le changement me réveille ; Je suis volage en amours Et fidèle à la bouteille..."")",-,0.0
"('#moliere', 'Allons ; je prendrai soin de me régler sur toi. Ta morale est fort douce.')",-,0.0
"('#chapelle', ""Et c'est la véritable. Tu te crois plus sage que moi ; Mais..."")",-,0.0
"('#moliere', ""Grâce au ciel, voici quelqu'un de raisonnable. Bonsoir à notre cher Mignard."")",-,0.0
"('#mignard', ""Je crains d'arriver un peu tard. J'étais à l'atelier ; quand je m'y sens en veine, J'y dois à mes pinceaux les moments les plus doux ; J'y reste avec plaisir et j'en sors avec peine, Si ce n'est pour chercher des amis tels que vous."")",-,0.0
"('#moliere', 'Nos convives encor ne sont pas venus tous. Sans doute ils ne tarderont guère.')",-,0.0
"('#mignard', ""Ta santé se soutient, j'espère ?"")",-,0.0
"('#moliere', ""Oui, je suis beaucoup mieux ; j'ai repris mes travaux ; ** Mais voici l'ami Despréaux."")",-,0.0
"('#chapelle', 'Le fléau, la terreur de quiconque rimaille, Grand prévôt du Parnasse.....')",-,0.0
"('#despreaux', 'Eh ! Bonsoir, mes amis.')",-,0.0
"('#moliere', 'Bonsoir. Que dit-on à Paris ?')",-,0.0
"('#despreaux', ""Je n'en viens pas. J'arrive de Versailles."")",-,0.0
"('#chapelle', ""Ah ? Tu te mêles donc d'être aussi courtisan ?"")",-,0.0
"('#despreaux', ""Je viens de faire une visite À madame de Montespan ; J'ai vu le roi chez elle....."")",-,0.0
"('#chapelle', 'Et sans doute, bien vite, Saisissant le moment favorable au succès Tu viens de demander quelque grâce nouvelle ?')",-,0.0
"('#despreaux', ""Justement. Car j'étais allé là tout exprès. . J'ai fait une demande importante."")",-,0.0
"('#mignard', 'Laquelle ? .')",-,0.0
"('#despreaux', ""Comme le dit l'ami Chapelle, Profitant de l'occasion, J'ai supplié, mais avec grande instance, Sa majesté d'avoir la complaisance De supprimer ma pension, de vouloir bien m'ôter trois mille francs de rente."")",-,0.0
"('#chapelle', 'Vraiment !... La faveur est plaisante !')",-,0.0
"('#mignard', 'On ne fait pas souvent au roi * Pareille demande, je croi.')",-,0.0
"('#despreaux', ""Aussi l'ai-je surpris, et s'est-il mis à rire 9 D'un air tout rempli de bonté. Qu'est ceci, Despréaux ? est-ce un trait de satyre ? M'a dit le roi ; Non , mais c'en est un, Sire, De justice et de probité. Tout le Parnasse est attristé ; D'un commis ignorant sottise sans pareille ! On vient, Sire, de supprimer La pension de Corneille. Et moi qu'auprès de lui j'ose à peine nommer, Moi qui n'ai point son sublime génie, Je reste sur la liste ? Oh ! non, je vous supplie ; Cela ne se peut pas, foi d'honnête rimeur ; La pension me fait sûrement grand honneur ; Mais avant qu'à Corneille on retranche la sienne, Pour être juste, Sire, il faut m'ôter la mienne."")",-,0.0
"('#moliere', ""Bien. Qu'a dit le roi, s'il vous plaît ?"")",-,0.0
"('#despreaux', ""Demandez-moi plutôt ce qu'il a fait. La pension est rétablie ; Et sa majesté vient encor, Dans une bourse en broderie, D'y joindre deux cents louis d'or, Qu'elle envoie au vieillard, Sophocle de notre âge. Mon neveu, qui m'avait là-bas accompagné Avec plaisir s'est chargé du message ; À Paris il est retourné ;  Et dans quelques instants, Corneille qui l'ignore, Du monarque bienfaisant Va recevoir un présent Qui tous les deux les honore."")",-,0.0
"('#moliere', 'Il vous honore aussi ; le trait est généreux Et montre bien ce que vous êtes !')",-,0.0
"('#mignard', 'Ce Despréaux qui fait trembler tant de poètes, Il est bonhomme, au fonds.')",-,0.0
"('#chapelle', 'Cet acte courageux Vaut mieux que de bons vers, et me plaît davantage.')",-,0.0
"('#despreaux', ""Cela ne devrait pas s'appeller du courage. J'ai dit la vérité."")",-,0.0
"('#mignard', 'Métier fort dangereux !')",-,0.0
"('#despreaux', ""Je ne tiendrai pourtant jamais d'autre langage. Il faut dans mes discours que mon coeur se soulage. Mais à la probité toujours assujetti C'est ma seule raison qui règle mon suffrage. À l'envie, à l'intrigue, à l'esprit de parti Jamais je n'ai prêté l'oreille."")",-,0.0
"('#mignard', 'Racine est son meilleur ami ; Mais il rend hommage à Corneille.')",-,0.0
"('#chapelle', ""Eh ! mais ?... n'entends-je pas Lulli ?"")",-,0.0
"('#mignard', ""Oui, vraiment. Le voici qui s'avance en musique."")",-,0.0
"('#despreaux', 'Écoutons. Sa démarche est gravement comique.')",-,0.0
"('#lulli', ""« Mi star Muphti ; Ti , qui star ti ? Se ti sabir, Ti respondir ; Se non sabir, Tazir, tazir. » Hé, comment trouvez-vous ce chant là, je vous prie ? Dis-moi, caro Molière, avons-nous terminé Notre petite comédie ? Déjà pour la cérémonie, Mon ballet turc est dessiné. Entre gravement, en chantant d'une manière bouffonne. Il parle avec un accent italien très marqué."")",-,0.0
"('#moliere', ""Je m'attends à quelque folie."")",-,0.0
"('#lulli', 'Tu pourras te vanter que Baptiste Lulli, Il aura fait pour son ami Molière Quelque chose de bien joli.')",-,0.0
"('#despreaux', ""N'allez pas nous donner de farce trop grossière."")",-,0.0
"('#lulli', ""Je serai, je vous le promets, Un superbe muphti ; je me fais faire exprès Une barbe des mieux fournies ; La casaque trainante, à manches élargies ; Un grand turban pointu ; puis, pour son ornement, J'allume tout autour douze rangs de bougies ; L'illumination marchera gravement ; La voyez-vous d'ici ? L'effet sera charmant ; Et puis, je chanterai, sur le ton des prières : « Mahameta, per Giourdina, Mi pregar sera è mattina. » Il chante."")",-,0.0
"('#chapelle', 'Quoi ! Tu comptes jouer toi-même ?')",-,0.0
"('#lulli', 'Assurément Ici Laforêt entre.')",-,0.0
"('#chapelle', 'Baptiste, mon ami, que diront tes confrères, Les secrétaires du roi ? Leur vanité va se plaindre de toi.')",-,0.0
"('#lulli', ""Hé, tout comme ils voudront; il ne m'importe guère ; J'amuserai le maître , et s'ils étaient sincères, Ils conviendraient tous , par ma foi Que, s'ils savaient le faire, ils feraient comme moi."")",-,0.0
"('#moliere', ""Il dit vrai.—Du souper l'heure, est je crois, prochaine ; Il ne nous manque plus que le bon Lafontaine."")",-,0.0
"('#laforet', 'Il est là bas, dans le jardin , Allant, venant le long de notre treille ; Dans sa distraction , dont rien ne le réveille, Il suit au hasard son chemin.')",-,0.0
"('#despreaux', ""Eh ! oui, la poésie est son unique affaire ; Il néglige le reste ; indolent et distrait, « Il se lève au matin sans savoir pourquoi faire ; Il se promène, il va sans dessein, sans objet ; Et se couche le soir sans savoir d'ordinaire Ce que dans le jour il a fait. » "")",-,0.0
"('#mignard', 'Parbleu ! Voilà bien son portrait !')",-,0.0
"('#chapelle', ""Ajoutez-y la façon singulière Dont il est ; l'habit mal attaché, Le rabat sans devant derrière Et les bas à l'envers..."")",-,0.0
"('#moliere', ""Oui ; c'est là sa manière. Dans son extérieur il n'est point recherché ; Ce sont de petits soins dont il est peu touché ; Mais sous l'apparence grossière Un esprit divin est caché."")",-,0.0
"('#despreaux', ""Ah ! Divin , en effet ; vous dites vrai, Molière. Mais je pense qu'aujourd'hui Du malheureux Fouquet la disgrâce soudaine Doit affliger notre cher La Fontaine. Il perd un généreux appui !..."")",-,0.0
"('#moliere', ""Eh ! Bien pour adoucir ou partager sa peine, Allons tous au devant de lui. Ta soirée est riante et fraîche ce me semble ; Nous pourrons au jardin nous promener ensemble, Tandis que Laforêt prépare ce qu'il faut Pour le souper."")",-,0.0
"('#mignard', 'Allons.')",-,0.0
"('#laforet', 'Monsieur Chapelle, un mot. Tous sortent, excepté Chapelle et Laforêt.')",-,0.0
"('#chapelle', 'Que veux-tu, Laforêt ?')",-,0.0
"('#laforet', ""Il faut que je vous dise Qu'on est arrivé."")",-,0.0
"('#chapelle', 'Qui ?')",-,0.0
"('#laforet', 'Les dames dont tantôt  Vous me parliez ici ; toutes deux sont là haut, Dans ma chambre ; la fille à présent se déguise...')",-,0.0
"('#chapelle', ""Tu leur as donc permis d'entrer ?"")",-,0.0
"('#laforet', ""Certainement ; Et si vous m'aviez dit, dès le premier moment, Qui c'était !"")",-,0.0
"('#chapelle', ""J'ai voulu t'en donner la surprise. J'ai besoin de les voir...."")",-,0.0
"('#laforet', ""Vous n'avez qu'à monter."")",-,0.0
"('#chapelle', ""L'Amour est du complot ; Bacchus le favorise ; Sur un succès heureux j'ose presque compter."")",-,0.0
"('#laforet', ""J'augure bien aussi, moi, de son entremise. À leurs projets je suis d'humeur à m'y prêter ; On veut faire la paix ; ma foi ! J'en suis ravie ! Mon pauvre maître avait tant de chagrin !... Labrie, Lesbin, allons, ici qu'on mette le couvert  De la glace et du vin ! .... j'aurai soin du dessert ! .... Mais quelqu'un vient ! ... ma surprise est extrême ! Eh ! c'est monsieur Lafontaine lui-même. Tandis que ces messieurs le cherchent au jardin, Il en sera sorti par un autre chemin. Pendant ce petit monologue de Laforêt, on apporte la table et le souper."")",-,0.0
"('#la-fontaine', ""Mon élégie est faite, et mon âme affligée, En exhalant ces vers, s'est au moins soulagée !"")",-,0.0
"('#laforet', 'Par où donc avez-vous passé ? Monsieur !... Peut-on sans vous distraire ?')",-,0.0
"('#la-fontaine', ""Devait-il éprouver la fortune contraire, Celui que si longtemps elle avait caressé ? Ce grand Sur-intendant, lui qu'admirait la France, Voit tomber tout d'un coup son honneur, sa puissance ! Un jour, un seul jour l'a perdu. Le vent frappe et détruit l'arbre qui lui résiste ; L'humble roseau plie et subsiste, Par sa faiblesse défendu."")",-,0.0
"('#laforet', 'Je sais ce qui le rend si triste ; Il plaint Monsieur Fouquet ; il en a bien sujet.')",-,0.0
"('#la-fontaine', ""Vous parlez de Monsieur Fouquet ? Qu'en dit-on? que fait-il? souffrez que je réclame..."")",-,0.0
"('#laforet', 'Eh ! quoi donc ?...')",-,0.0
"('#la-fontaine', ""Vous prenez à lui de l'intérêt ; Auriez-vous à la cour quelque crédit, Madame ?"")",-,0.0
"('#laforet', 'Moi ?... Moi ?... Mais je suis Laforêt. Regardez-donc.')",-,0.0
"('#la-fontaine', ""Ah !... Ah !... c'est vrai. Dans sa détresse Je dois me souvenir de ce qu'il fit pour moi, Et lui rendre aujourd'hui tendresse pour tendresse. Si je puis le servir, oh ! Dieu ! Quelle allégresse ! On a souvent besoin d'un plus petit que soi. Mais que tenter ? Que faire ? Espérance trop vaine ! Dans le monde je ne puis rien, Moi qui n'ai ni crédit ni bien, Moi qui suis, quoi ? Jean La Fontaine... J'aurai beau m'efforcer et prendre de la peine ; J'ai bien, la volonté ;. mais je n'ai nul moyen... Que ce faible talent que j'obtins en partage Paye au moins son tribut au malheur d'un ami !  Il fait assez d'ingrats !..... La fortune volage Ne peut me détacher de cet objet chéri ; Je lui donne des vers, ne pouvant davantage... Il retombe dans sa rêverie."")",-,0.0
"('#despreaux', ""Ah ! Le voici lui-même !... Où s'était-il caché ?"")",-,0.0
"('#chapelle', 'Tu nous as fait courir.')",-,0.0
"('#la-fontaine', ""Vraiment ?... J'en suis fâché, De quelqu'autre côté j'étais allé sans doute. De Paris jusqu'ici j'ai fait à pied la route; J'ai passé ma journée à composer des vers, Une triste élégie où ma plaintive muse De son cher bienfaiteur déplore le revers ; L'ouvrage est assez bon, si l'orgueil ne m'abuse."")",-,0.0
"('#despreaux', 'Montrez-le ; nous verrons.')",-,0.0
"('#la-fontaine', ""Non, ce n'est pas l'instant D'occuper vos esprits d'un objet attristant ; Moi-même j'ai plutôt besoin de me distraire, Et je veux être à vous entièrement ce soir, Mes amis !"")",-,0.0
"('#chapelle', ""C'est bien dit ; pourquoi broyer du noir Et s'affliger, lorsque l'on peut mieux faire ?"")",-,0.0
"('#lulli', ""Je suis pour qu'on s'amuse."")",-,0.0
"('#mignard', ""Et moi j'en dis autant, Nous voyons, grâce au ciel, Molière mieux portant ! Quel bonheur pour la comédie !"")",-,0.0
"('#despreaux', 'Ajoutez-y pour ses amis , Pour son siècle et pour son pays , Dont il est le plus beau génie.')",-,0.0
"('#chapelle', ""Ma foi, je suis de ton avis. . C'est notre maître, à tous ; sous sa plaisanterie Que de raison souvent et de philosophie ! Le chef-d'oeuvre le plus divin Qui soit jamais éclos du cerveau d'un humain, C'est Tartuffe."")",-,0.0
"('#la-fontaine', ""Messieurs, j'ai lu ces jours passés, Le prophète Baruch ; je goûte sa manière ; Dites-moi donc un peu, si vous le connaissez ?"")",-,0.0
"('#despreaux', 'Oui.')",-,0.0
"('#la-fontaine', ""Croyez-vous qu'il eût plus d'esprit que Molière ? ; Ou bien Molière en a-t-il plus que lui ?"")",-,0.0
"('#despreaux', ""Mon cher Monsieur de La Fontaine, Vous avez mis un bas à l'envers aujourd'hui."")",-,0.0
"('#la-fontaine', 'Mais répondez-moi donc.')",-,0.0
"('#despreaux', ""Non ; ce n'est pas la peine."")",-,0.0
"('#chapelle', 'Laisse-là ton Baruch...... Le bonhomme, ma foi, Souvent dans ses propos est moins sensé que moi.')",-,0.0
"('#moliere', 'Me voici, mes amis ; allons, que la soirée À la joie, au plaisir, soit toute consacrée.')",-,0.0
"('#laforet', 'Messieurs, le souper est tout prêt, Et vous pouvez vous mettre à table')",-,0.0
"('#chapelle', 'Tu songes à notre projet ?')",-,0.0
"('#laforet', ""Laissez faire. J'attends le moment favorable."")",-,0.0
"('#lulli', ""Mettons-nous donc à table, et restons-y longtemps. Ils s'asseyent à table dans l'ordre suivant, en commençant par la droite : Molière, Chapelle, Mignard, Lulli, Despreaux, La Fontaine."")",-,0.0
"('#chapelle', ""D'être ici réunis nous sommes tous contents. Je vous porte d'abord une santé; c'est celle Du maître de la maison."")",-,0.0
"('#mignard', 'De tout mon coeur,')",-,0.0
"('#despreaux', 'Verse, Chapelle,')",-,0.0
"('#lulli', 'Verse tout plein.')",-,0.0
"('#la-fontaine', 'Je ne dirai pas : non.')",-,0.0
"('#chapelle', 'À Molière !')",-,0.0
"('#tous', 'À Molière !')",-,0.0
"('#mignard', 'Ah ! Si nous pouvions boire, Ensemble, aussi longtemps que durera sa gloire !')",-,0.0
"('#moliere', ""Je ne vous ferai pas raison, Mes amis ; car le lait est ma seule boisson. Mais de vos voeux qu'il apprécie, Mon coeur ému vous remercie. Vous allez tout-à-fait me rendre la santé !"")",-,0.0
"('#chapelle', ""S'il ne faut que de la gaîté, L'amitié la plus tendre, un peu d'ivrognerie..."")",-,0.0
"('#lulli', 'À me griser ce soir je suis bien résolu.')",-,0.0
"('#la-fontaine', ""Quand on est entre amis, on peut boire sans craindre On n'a rien à cacher ; le coeur est tout à nu ; On peut penser tout haut, et se parler sans feindre."")",-,0.0
"('#moliere', ""Vivons toujours de la sorte entre nous, Mes bons amis, et malheur aux jaloux Que notre union peut surprendre ! Nous sommes faits pour nous entendre, Pour nous estimer, nous chérir, Pour jouir franchement des succès l'un de l'autre."")",-,0.0
"('#chapelle', ""Oui, vers un noble but ensemble on peut courir. Si mon ouvrage est bon, doit-il gâter le vôtre ? De la gloire d'autrui ce qu'on pourrait ôter, À la sienne jamais on ne peut l'ajouter. C'est vainement qu'on y travaille."")",-,0.0
"('#lulli', ""Sans doute ; chacun a sa taille ; Il faut savoir s'en contenter."")",-,0.0
"('#la-fontaine', ""C'est un pays fort grand que le Parnasse ; Chacun y peut trouver sa place ; Le tout est de la mériter."")",-,0.0
"('#despreaux', ""Ces poètes fameux nos maîtres, nos modèles, Furent des amis vrais, fidèles ; À Virgile, à Tibulle, Horace était lié ; Si nous ne ressemblons à ces grands personnages Par les talents, par les ouvrages, Ressemblons leur par l'amitié."")",-,0.0
"('#moliere', 'Assuré de votre tendresse , Je dois vous demander des avis éclairés ; Demain matin, vous entendrez, Mes amis, ma nouvelle pièce, Le Bourgeois-Gentilhomme, et vous la jugerez. Mais sur-tout point de complaisance.')",-,0.0
"('#despreaux', ""Oh ! Ce n'est pas là mon défaut, Tu le sais ; tu seras critiqué comme il faut. On attend cet ouvrage avec impatience."")",-,0.0
"('#la-fontaine', 'On parle aussi beaucoup du nouvel opéra De notre ami Lulli.')",-,0.0
"('#lulli', ""Bientôt on le jouera. Ah ! Per Dio ! c'est là, de la musique. Vous l'entendrez ; c'est un chef-d'oeuvre unique, Enfin c'est du Lulli ; c'est tout dire, cela. Vous mourrez de plaisir d'entendre mon Armide."")",-,0.0
"('#chapelle', ""Et comment ? Tu l'as donc refaite depuis peu ? On nous avait conté qu'un conseil trop rigide T'avait persuadé de la jeter au feu ?"")",-,0.0
"('#lulli', ""Au feu ? Mon bon ami ! J'aurais brûlé ma gloire ! Mais tu ne sais donc pas l'histoire ?"")",-,0.0
"('#chapelle', ""Non. Qu'est-ce !"")",-,0.0
"('#lulli', 'Hé ! Carino ! Je vais te la conter.')",-,0.0
"('#chapelle', ""Soit. Mais commence-là par boire, Et nous boirons aussi, nous, pour mieux t'écouter."")",-,0.0
"('#lulli', ""Tu sais que par la maladie J'ai manqué l'autre hiver de n'être plus en vie. Il vint un homme noir, tout auprès de mon lit, Me parler doucement; voici comme il me dit : Mon bon ami, pensez qu'il est bien nécessaire De faire voir à tous que vous êtes fâché. De tout le mal que vous avez pu faire ; Se mêler d'opéra, c'est un très grand péché ; Le bon Dieu, voyez-vous ? s'en offense et s'en pique. Il veut que pour lui seul on fasse la musique, On m'a conté que vous êtes l'auteur D'un opéra nouveau, superbe et magnifique, Mon bon ami, c'est un malheur ; Ce qui s'est fait est fait, et je dissimule ; Mais du moins, il n'est pas encor représenté ; Donnez-le moi ; que je le brûle, Afin que vous mouriez avec tranquillité."")",-,0.0
"('#chapelle', ""Eh ! bien ? Tu l'as donné ?"")",-,0.0
"('#lulli', 'Sans doute. Pouvais-je refuser ?')",-,0.0
"('#chapelle', ""Voilà ce qu'on m'a dit, Et j'avais donc raison. "")",-,0.0
