,cubieres-palmezeaux-mort-de-moliere-3a,cubieres-palmezeaux-mort-de-moliere-4a,Cost,Operation Type
10,"('#chapelle', ""Il n'y faut rien changer :"")","('#chapelle', ""Il n'y faut rien changer."")",0.0,Match
11,"('#moliere', 'Pas un mot ?')","('#moliere', 'Pas un mot ? ')",0.0,Match
12,"('#chapelle', 'Pas un mot.')","('#chapelle', 'Pas un mot.')",0.0,Match
13,"('#moliere', ""Eh bien, je suis sincère : À la vôtre non plus je ne vois rien à faire ; Mais pour d'autres raisons."")","('#moliere', ""Eh bien, je suis sincère,  À la vôtre non plus je ne vois rien à faire ;  Mais pour d'autres raisons."")",0.0,Match
14,"('#chapelle', 'Comment ! Expliquez-vous.')","('#chapelle', 'Comment ! Expliquez-vous ?')",0.0,Match
15,"('#moliere', ""Je m'en garderai bien. À vous mettre en courroux Vous ne tarderiez pas ; et Dieu merci, ma femme Se fâche assez souvent."")","('#moliere', ""Je m'en garderai bien. À vous mettre en courroux  Vous ne tarderiez pas ; et Dieu merci, ma femme  Se fâche assez souvent. "")",0.0,Match
16,"('#chapelle', ""Il est vrai que Madame N'est pas douce ; mais moi, je m'amuse de tout. De moi-même je ris quelquefois ; c'est mon goût. Boire la nuit, dormir la grasse matinée, À rien ne réfléchir, vivre au jour la journée, En deux mots me voilà. Sans projet ni chagrin J'entends tout, je vois tout avec un front serein ; Parlez donc franchement. Est-ce que mon ouvrage Vous a paru mauvais ? Et de votre suffrage Me faudrait-il passer tout à fait ?"")","('#chapelle', ""Il est vrai que Madame  N'est pas douce ; mais moi, je m'amuse de tout.  De moi-même je ris quelquefois ; c'est mon goût.  Boire la nuit, dormir la grâce matinée,  À rien ne réfléchir, vivre au jour la journée,  En deux mots me voilà. Sans projet ni chagrin,  J'entends tout, je vois tout, avec un front serein ;  Parlez donc franchement. Est-ce que mon ouvrage  Vous a paru mauvais ? Et de votre suffrage  Me faudrait-il passer tout à fait ? "")",0.0,Match
17,"('#moliere', ""Tout à fait. « Franchement il est bon à mettre au cabinet ». Je me cite moi-même, en parlant de la sorte. Pardonnez ; mais, ma foi ! La vérité m'emporte, Et puis, vous le savez, je ne suis point flatteur. Votre style n'a rien de ce feu créateur, Qui distingua toujours les sublimes poètes : Il est semé d'éclairs, de clinquant, de bluettes ; Il éblouit souvent et n'échauffe jamais."")","('#moliere', ""Tout à fait.  Franchement il est bon à mettre au cabinet.  Je me cite moi-même, en parlant de la sorte, Pardonnez ; mais, ma foi ! La vérité m'emporte. Et puis, vous le savez je ne suis point flatteur Votre style n'a rien de ce feu créateur,  Qui distingua toujours les sublimes poètes :  Il est semé d'éclairs, de clinquant, de bluettes ;  Il éblouit, souvent, et n'échauffe jamais. "")",0.0,Match
18,"('#chapelle', ""Je n'ai pas, comme vous, l'art de peindre à grands traits, J'en conviens ; cependant il faut être équitable. Votre genre peut-être est le seul véritable. Si j'en crois néanmoins de célèbres auteurs, De plus d'une manière on corrige les mours, Et, sans vous ressembler ou marcher sur vos traces, J'ai pu, tout comme vous, sacrifier aux grâces."")","('#chapelle', ""Je n'ai pas, comme vous, l'art de peindre à grands traits,  J'en conviens ; cependant il faut être équitable.  Votre genre peut-être est le seul véritable :  Si j'en crois néanmoins de célèbres auteurs,  De plus d'une manière on corrige les mours ;  Et, sans vous ressembler, ou marcher sur vos traces,  J'ai pu, tout comme vous, sacrifier aux grâces. "")",0.0,Match
19,"('#moliere', ""D'accord ; et puisqu'enfin vous ne me croyez pas, Voulez-vous essayer, pour sortir d'embarras, Un moyen des plus sûrs ? À ma bonne servante Je lis tous mes écrits. Elle n'est point savante, Elle n'a point d'esprit ; mais un jugement sain."")","('#moliere', ""D'accord ; et puisqu'enfin vous ne me croyez pas,  Voulez-vous essayer, pour sortir d'embarras,  Un moyen des plus sûrs ? À ma bonne servante  Je lis tous mes écrits. Elle n'est point savante,  Elle n'a point d'esprit, mais un jugement sain. "")",0.0,Match
20,"('#chapelle', 'Consulter Laforêt ! Quel bizarre dessein !')","('#chapelle', 'Consulter Laforêt ! Quel bizarre dessein ! ')",0.0,Match
21,"('#moliere', ""Mon ami, la nature est son guide fidèle, Et, pour plaire toujours, il faut n'écouter qu'elle. Je vais, si vous voulez, lui lire un acte ou deux De votre Comédie."")","('#moliere', ""Mon ami, la nature est son guide fidèle ; Et pour plaire toujours, il faut n'écouter qu'elle.  Je vais, si vous voulez, lui lire un acte ou deux  De votre comédie."")",0.0,Match
22,"('#chapelle', 'Il serait hasardeux De tenter cette épreuve : elle est accoutumée À ce qui vient de vous, et votre renommée, Quand vous la consultez, lui fait trouver tout bien. Ne peut-on réussir par un autre moyen.')","('#chapelle', 'Il serait hasardeux  De tenter cette épreuve : elle est accoutumée  À ce qui vient de vous ; et votre renommée,  Quand vous la consultez, lui fait trouver tout bien.  Ne peut-on réussir par un autre moyen ?')",0.0,Match
23,"('#moliere', 'Disons-lui que la pièce est de moi.')","('#moliere', 'Disons-lui que la pièce est de moi. ')",0.0,Match
24,"('#chapelle', ""Cette ruse Me plaît infiniment, et je n'ai plus d'excuse."")","('#chapelle', ""Cette ruse  Me plaît infiniment, et je n'ai plus d'excuse. "")",0.0,Match
25,"('#moliere', 'Laforêt ! Laforêt !')","('#moliere', 'Laforêt ! Laforêt ! ')",0.0,Match
26,"('#laforet', ""Qu'est-ce ?"")","('#laforet', ""Qu'est-ce ?"")",0.0,Match
27,"('#moliere', 'Tenez-vous là . Je vais lire une pièce.')","('#moliere', 'Mettez-vous-là.  Je vais lire une pièce. ')",0.0,Match
28,"('#laforet', ""Oh ! J'aimons bien cela. Quand vous nous en montrais, je rions tant ! J'écoute Déjà de tout mon coeur. Alle est de vous ?"")","('#laforet', ""Oh ! J'aimons bien cela !  Quand vous nous en montrais, je rions tant! J'écoute  Déjà de tout mon coeur. Alle est de vous ? "")",0.0,Match
29,"('#moliere', 'Sans doute. Elle est nouvelle même, et je voudrais savoir Ce que vous en pensez.')","('#moliere', 'Sans doute.  Elle est nouvelle, même, et je voudrais savoir  Ce que vous en pensez. ')",0.0,Match
30,"('#laforet', 'Je grillons de la voir. Lisais.')","('#laforet', 'Je grillons de la voir.  Lisais.')",0.0,Match
31,"('#moliere', ""« L'Insouciant, Comédie en cinq Actes »."")","('#moliere', ""« L'INSOUCIANT, Comédie en cinq actes »."")",0.0,Match
32,"('#chapelle', 'Ne vous pressez pas trop : par des chutes exactes Marquez bien chaque vers.')","('#chapelle', 'Ne vous pressez pas trop : par des chutes exactes  Marquez bien chaque vers. ')",0.0,Match
33,"('#moliere', ""D'accord. À son maintien, Je vois déjà qu'au titre elle ne comprend rien. Ton Maître est-il ici ? Non, il vient de sortir. Tant pis ! Pourquoi cela ? Je venais l'avertir. Que Madame l'attend à souper. Oh ! je pense Qu'il ne s'y rendra pas : il n'est pas d'homme en France Qui soit plus invité. Chez nous, chaque matin, Trottent les billets doux. C'est un tapage, un train... Mais dans notre antichambre on a beau se morfondre, À personne jamais nous ne daignons répondre ; Et lorsque nous sortons, s'il faut ne rien celer, Nous ne savons encore où nous devons aller. Le hasard nous conduit selon sa fantaisie : Nous visitons Eglé, Célimene, Julie. Et notre seule étude est celle du plaisir. Vrais papillons, en vain on nous voudrait saisir ; Nous choisissons parfois la fleur la mieux éclose, Et nous volons toujours de l'oillet à la rose. Ton maître est singulier, à ce qu'il me paraît, Et je crois mal aisé de faire son portrait. J'espère cependant esquisser son image : Il est insouciant, on ne peut davantage, C'est-à-dire, insensible à la peine, au bonheur, Cherchant la vérité, courant après l'erreur, Et n'écoutant jamais l'amour ni la nature... » « ACTE PREMIER. SCÈNE PREMIÈRE. Lafleur, Rosette. ROSETTE. LAFLEUR. ROSETTE. LAFLEUR. ROSETTE. LAFLEUR. ROSETTE. LAFLEUR. Lisant. Laforêt, quoiqu'elle soit debout, s'endort peu à peu pendant cette lecture."")","('#moliere', ""D'accord. À son maintien, Je vois déjà qu'au titre elle ne comprend rien.  Ton maître est-il ici ? Non, il vient de sortir. Tant pis. Pourquoi cela ? Je venais l'avertir. Que madame l'attend à souper.  Oh ! Je pense Qu'il ne s'y rendra pas : il n'est pas d'homme en France Qui soit plus invité. Chez nous, chaque matin,  Trottent les billets doux. C'est un tapage, un train... Mais dans notre antichambre on a beau se morfondre, À personne jamais nous ne daignons répondre ; Et lorsque nous sortons, s'il faut ne rien celer, Nous ne savons encore où nous devons aller.  Le hasard nous conduit selon sa fantaisie :  Nous visitons Eglé, Célimène, Julie.  Et notre seule étude est celle du plaisir.  Vrais papillons, en vain on nous voudrait saisir ;  Nous choisissons par fois la fleur la mieux éclose,  Et nous volons toujours de l'oillet à la rose.  Ton maître est singulier, à ce qu'il me paraît,  Et je crois mal aisé de faire son portrait.  J'espère cependant esquisser son image :  Il est insouciant, on ne peut davantage,  C'est-à-dire insensible à la peine, au bonheur,  Cherchant la vérité, courant après l'erreur,  Et n'écoutant jamais l'amour ni la nature. » Laforêt !  Vous voyez l'effet de la lecture : Elle dort tout debout. Ah ! Ah ! Ah ! Laforêt ! « ACTE PREMIER. SCÈNE PREMIÈRE. La Fleur, Rosette. ROSETTE. LA FLEUR. ROSETTE. LA FLEUR. ROSETTE. LA FLEUR. ROSETTE. LA FLEUR. Lisant. Laforêt, quoique debout, s'endort pendant cette lecture. Molière s'interrompant en voyant Laforêt dormir et l'appelant. À Chapelle. Riant."")",0.0,Match
34,"('#moliere', ""Laforêt !  Vous voyez l'effet de la lecture : Elle dort tout debout. Ah ! ah ! ah !  Laforêt ! À Chapelle. Riant.  Appelant."")",,1.0,Insertion
35,"('#chapelle', ""J'en veux rire à mon tour ; c'est un excellent trait. Ah ! ah ! ah !  Laforêt ! Riant.  Appelant."")","('#chapelle', ""J'en veux rire à mon tour ; c'est un excellent trait.  Ah ! Ah ! Ah ! Ah ! Ah ! Ah !  Laforêt !  Riant. Appelant."")",0.0,Match
36,"('#laforet', ""Eh bien ! qu'est-ce ?"")","('#laforet', ""Eh bien ! Qu'est-ce ?"")",0.0,Match
37,"('#moliere', 'Quoi ! vous dormez debout, lorsque je lis ma pièce !')","('#moliere', 'Quoi ! Vous dormez debout, lorsque je lis ma pièce ! ')",0.0,Match
38,"('#laforet', ""Pardonnez-nous, Monsieur ; mais je n'ons rien compris À tous ces biaux discours, et je sommes d'avis Que vous jetiez au feu toutes ces fariboles. Il faut, pour m'égayer des choses qui soient drôles, Et ce Monsieur Lafleur a trop d'esprit pour moi."")","('#laforet', ""Pardonnez-nous, monsieur ; mais je n'ons rien compris  A tous ces beaux discours, et je sommes d'avis  Que vous jetiez au feu toutes ces fariboles.  Il faut, pour m'égayer, des choses qui soient drôles,  Et ce Monsieur Lafleur a trop d'esprit pour moi. "")",0.0,Match
39,"('#moliere', ""Eh bien, vous l'entendez ?"")","('#moliere', ""Eh bien, vous l'entendez ? "")",0.0,Match
40,"('#chapelle', ""Elle a raison, ma foi ! Tu n'admires donc pas l'ouvrage de ton maître ? À Laforêt."")","('#chapelle', ""Elle a raison, ma foi !  Tu n'admires donc pas l'ouvrage de ton maître ?  À Laforêt."")",0.0,Match
41,"('#laforet', 'Oh ! Pour celui-là, non.')","('#laforet', 'Oh ! Pour celui-là, non. ')",0.0,Match
42,"('#chapelle', ""Elle l'a fait paraître."")","('#chapelle', 'Elle le fait paraître. ')",0.0,Match
43,,"('#laforet', ""Ce valet qui reçoit tant de coups de bâton, Par un dieu goguenard qui lui vole son nom Et même son visage, et puis ce maître Jacques Qui change de métier en changeant de casaque ; Ce bon monsieur Jourdain, de noblesse entêté, Dont Nicole se moque avec tant de gaîté, Qui vouliont de la coeur imiter les usages : Et Covielle et Scapin voilà les personnages Qui m'amusiont toujours."")",1.0,Deletion
44,,"('#chapelle', 'Mais Rosette et Lafleur Sont de la même main.')",1.0,Deletion
45,"('#laforet', ""Encore un coup, Monsieur, excusez si j'avons Un tantinet dormi : je nous y connaissons, Et vous n'avez rien fait qui soit moins agréable."")","('#laforet', ""Eh ! Pardine, monsieur Pourquoi le répéter ? J'en sommes bien fâchée, C'est le culot qu'on trouve au fond de la nichée. Encore un coup, monsieur, excusez si j'avons Un tantinet dormi : je nous y connaissons, Et vous n'avez rien fait qui soit moins agréable. À Molière."")",0.0,Match
46,,"('#moliere', 'Dites mieux, mon enfant, qui soit plus détestable.')",1.0,Deletion
47,"('#moliere', ""Dites mieux, mon enfant, qui soit plus détestable : Mon dialogue est faux, et mes vers précieux, Entrelacés de mots prétendus gracieux, N'offrent rien à l'esprit que des billevesées, Que des phrases déjà sur le théâtre usées. De quel style surtout s'exprime mon valet ! Il parle comme un maître ; enfin tout m'en déplaît, Et déjà partageant votre fatigue extrême, Quand vous avez dormi, j'allais dormir moi-même. Le sommeil reviendrait : allez vous reposer, Seul avec mon ami je veux ici causer."")","('#chapelle', 'Ce jugement est dur : quelque facilité Brille dans un endroit que vous avez cité ; Et vos rimes surtout ont charmé mon oreille.')",0.25,Substitution
48,,"('#moliere', 'Oui, je rime si bien que Laforêt sommeille. Vous dormiriez encore, allez vous reposer, Seul avec mon ami je veux ici causer. À Laforêt.')",1.0,Deletion
49,"('#moliere', ""Eh bien, vous l'avez vu. C'est la simple nature Qui vient de vous juger. Après cette lecture Prétendez-vous encore à mon suffrage ?"")","('#moliere', ""Eh bien, vous l'avez vu. C'est la simple nature  Qui vient de vous juger. Après cette lecture  Prétendez-vous encore à mon suffrage ? "")",0.0,Match
50,"('#chapelle', ""Non. Qu'on se moque de moi je sens qu'on a raison. Vous ne l'ignorez pas, Molière ; ma paresse Ne m'a jamais permis de soigner une pièce, Et d'en approfondir l'intrigue, les tableaux : Je n'ai pas vos talents et surtout vos pinceaux."")","('#chapelle', ""Non. Qu'on se moque de moi, je sens qu'on a raison.  Vous ne l'ignorez pas, Molière, ma paresse  Ne m'a jamais permis de soigner une pièce,  Et d'en approfondir l'intrigue, les tableaux :  Je n'ai pas vos talents et surtout vos pinceaux."")",0.0,Match
51,"('#moliere', ""Vous pourriez, comme un autre, avec du temps, des peines, Arranger une intrigue et filer quelques scènes ; Mais il faudrait d'abord choisir mieux vos sujets. C'est de là seulement que dépend le succès. L'insouciant ! Quel titre ! Un pareil caractère Peut fournir tout au plus une esquisse légère. Il n'est qu'épisodique, et pour le bien traiter, C'est au fond du tableau qu'il faut le présenter. Voulez-vous réussir ? Peignez dans vos ouvrages L'homme de tous les lieux, celui de tous les âges Dessinez largement : que de tous vos portraits À Paris, comme à Londres, on admire les traits. Aux Peintres des boudoirs laissez la miniature, Et soyez, s'il se peut, grand comme la nature."")","('#moliere', ""Vous pourriez, comme un autre, avec du temps, des peines,  Arranger une intrigue et filer quelques scènes ;  Mais il faudrait d'abord choisir mieux vos sujets :  C'est de là seulement que dépend le succès.  L'Insouciant ! Quel titre ! Un pareil caractère  Peut fournir tout au plus une esquisse légère.  Il n'est qu'épisodique, et pour le bien traiter,  C'est au fond du tableau qu'il faut le présenter.  Voulez-vous réussir ? Peignez dans vos ouvrages  L'homme de tous les lieux, celui de tous les âges  Dessinez largement : que de tous vos portraits  À Paris, comme à Londres, on admire les traits.  Aux Peintres des boudoirs laissez la miniature ; Et soyez, s'il se peut, grand comme la nature. "")",0.0,Match
52,"('#chapelle', ""Je suivrais ces conseils par la raison dictés ; Mais les sujets majeurs vous les avez traités. Un caractère neuf est devenu si rare ! Les pédants, les fâcheux, l'hypocrite, l'avare, Le bourgeois gentilhomme et les tuteurs jaloux Le misanthrope enfin qui les surpasse tous, Que reste-t-il encore après de tels modèles ?"")","('#chapelle', ""Je suivrai ces conseils, par la raison dictés,  Mais les sujets majeurs vous les avez traités.  Un caractère neuf est devenu si rare !  Les pédants, les fâcheux, l'hypocrite, l'avare,  Le Bourgeois Gentilhomme et les tuteurs jaloux,  Le Misanthrope enfin, qui les surpasse tous. Que reste-t-il encore après de tels modèles ? "")",0.0,Match
53,"('#moliere', ""Ce qu'il reste ? Du beau les sources immortelles Ne s'épuisent jamais, et l'esprit créateur Moissonne où glanerait un médiocre auteur. Ai-je peint l'envieux à l'oeil cave, au teint blême, Qui se meurt des poisons qu'il distille lui-même ? Et ces nobles altiers, qui tyrans sous nos Rois, De l'humanité sainte ont usurpé les droits, Qui traînent dans les cours des noms qu'ils déshonorent, Et, pour mieux s'illustrer, l'un l'autre se dévorent ? Ai-je peint ces traitants qu'on voit avec éclat, Enfler leurs coffres-forts des trésors de l'État, Et qui meurent du luxe et martyrs et victimes ? De l'avide joueur ai-je tracé les crimes ? Ceux de l'ambitieux ? Ceux du vil séducteur, De l'adroit courtisan, de l'ingrat, du flatteur, De mille autres encor, qui brillent, disparaissent, Et, tous les cinquante ans expirent et renaissent, Pareils à ces essaims d'insectes qu'au printemps La chaleur renaissante éveille dans les champs ?"")","('#moliere', ""Ce qu'il reste ? Du beau les sources immortelles  Ne s'épuisent jamais, et l'esprit créateur  Moissonne où glanerait un médiocre auteur.  Ai-je peint l'envieux à l'oeil cave, au teint blême,  Qui se meurt des poisons qu'il distille lui-même ?  Et ces nobles altiers, qui, tyrans sous nos rois,  De l'humanité sainte ont usurpé les droits ;  Qui traînent dans les cours des noms qu'ils déshonorent, Et, pour mieux s'illustrer, l'un l'autre se dévorent ?  Ai-je peint ces traitants qu'on voit avec éclat,  Enfler leur coffre-fort des trésors de l'état,  Et qui meurent du luxe et martyrs et victimes ?  De l'avide joueur ai-je tracé les crimes ?  Ceux de l'ambitieux ? Ceux du vil séducteur,  De l'adroit courtisan, de l'ingrat, du flatteur,  De mille autres encore, qui brillent, disparaissent,  Et tous les cinquante ans expirent et renaissent,  Pareils à ces essaims d'insectes qu'au printemps  La chaleur renaissante éveille dans les champs ? "")",0.0,Match
54,"('#le-garçon-de-theatre', ""Pour répéter, Monsieur, votre nouvelle pièce, On n'attend plus que vous."")","('#le-garçon', ""Pour répéter, monsieur, votre nouvelle pièce,  On n'attend plus que vous. "")",0.0,Match
55,"('#moliere', 'Il faut que je vous laisse.')","('#moliere', 'Il faut que je vous laisse. ')",0.0,Match
56,"('#le-garçon-de-theatre', ""Du manuscrit aussi le souffleur a besoin, Et de le demander on m'a commis le soin."")","('#le-garçon', ""Du manuscrit aussi le souffleur a besoin,  Et de le demander on m'a commis le soin. "")",0.0,Match
57,"('#moliere', ""Le voilà ; je vous suis. D'après un tel message, Si vous ne m'eussiez point rapporté mon ouvrage, Vous le voyez ; parbleu j'étais joli garçon. Au Garçon de Théâtre, lui donnant le manuscrit du Malade imaginaire. À Chapelle."")","('#moliere', ""Le voilà, je vous suis.  D'après un tel message,  Si vous ne m'eussiez point rapporté mon ouvrage,  Vous le voyez, parbleu j'étais joli garçon.  À Chapelle."")",0.0,Match
58,"('#chapelle', ""Il vient de me donner une sage leçon, Je veux en profiter : oui, j'en croirai Molière, Et je condamne au feu ma Comédie entière, Quel pénible métier que celui d'écrivain ! Il vaut mieux ne rien faire et sabler du bon vin."")","('#chapelle', ""Il vient de me donner une sage leçon,  Je veux en profiter : oui, j'en croirai Molière ;  Et je condamne au feu ma comédie entière,  Quel pénible métier, que celui d'écrivain !  Il vaut mieux ne rien faire et sabler du bon vin. "")",0.0,Match
59,"('#la-moliere', ""Du bon vin ! Du bon vin ! Voilà comme vous êtes ! Boire et passer vos nuits dans les jeux, dans les fêtes ; Voilà votre méthode, et c'est, grâce à vous, Que je te touche au moment de perdre mon époux. Je le vois chaque jour dépérir et s'éteindre."")","('#la-moliere', ""Du bon vin ! Du bon vin ! Voilà comme vous êtes !  Boire et passer vos nuits dans les jeux, dans les fêtes,  Voilà votre méthode, et c'est grâces à vous,  Que je te touche au moment de perdre mon époux.  Je le vois chaque jour dépérir et s'éteindre."")",0.0,Match
60,"('#chapelle', ""Comment cela ? De moi vous auriez à vous plaindre ? Je ne le croyais pas. Molière est mon ami, Et ce noeud qui m'est cher, par le temps raffermi, Veut que vous m'expliquiez en quoi je suis coupable. Molière m'a caché..."")","('#chapelle', ""Comment cela ? De moi vous auriez à vous plaindre ?  Je ne le croyais pas. Molière est mon ami,  Et ce noeud qui m'est cher, par le temps raffermi,  Veut que vous m'expliquiez en quoi je suis coupable.  Molière m'a caché..."")",0.0,Match
