,corneillep-andromede,quinault-persee,Cost,Operation Type
15,"('#cassiope', ""Généreux inconnu, qui chez tous les monarques Portez de vos vertus les éclatantes marques, Et dont l'aspect suffit à convaincre nos yeux Que vous sortez du sang ou des rois ou des dieux, Puisque vous avez vu le sujet de ce crime Que chaque mois expie une telle victime, Cependant qu'en ce lieu nous attendrons le roi, Soyez-y juste juge entre les dieux et moi. Jugez de mon forfait, jugez de leur colère ; Jugez s'ils ont eu droit d'en punir une mère, S'ils ont dû faire agir leur haine au même instant."")","('#la-fortune', ""Effaçons du passé la mémoire importune ; J'ai toujours contre vous vainement combattu : Un auguste héros ordonne à la Fortune D'être en paix avec la Vertu."")",0.62,Substitution
16,,"('#la-vertu', ""Ah ! je le reconnais sans peine ; C'est le héros qui calme l'Univers."")",1.0,Deletion
17,"('#persee', ""J'en ai déjà jugé, reine, en vous imitant ; Et si de vos malheurs la cause ne procède Que d'avoir fait justice aux beautés d'Andromède, Si c'est là ce forfait digne d'un tel courroux, Je veux être à jamais coupable comme vous. Mais comme un bruit confus m'apprend ce mal extrême, Ne le puis-je, madame, apprendre de vous-même, Pour mieux renouveler ce crime glorieux Où soudain la raison est complice des yeux ?"")","('#la-fortune', ""Lui seul pour vous pouvait vaincre ma haine ; Il vous révère, et je le sers. Je l'aime constamment, moi qui suis si légère. Partout suivant ses voeux avec ardeur je cours. Vous paraissez toujours sévère, Et vous êtes toujours Ses plus chères amours."")",0.3,Substitution
18,"('#cassiope', 'écoutez : la douleur se soulage à se plaindre ; Et quelques maux qu\'on souffre ou que l\'on aie à craindre, Ce qu\'un coeur généreux en montre de pitié Semble en notre faveur en prendre la moitié. Ce fut ce même jour qui conclut l\'hyménée De ma chère Andromède avec l\'heureux Phinée : Nos peuples, tous ravis de ces illustres noeuds, Sur les bords de la mer dressèrent force jeux ; Elle en donnait les prix. Dispensez ma tristesse De vous dépeindre ici la publique allégresse ; On décrit mal la joie au milieu des malheurs, Et sa plus douce idée est un sujet de pleurs. Ô jour, que ta mémoire encore m\'est cruelle ! Andromède jamais ne me parut si belle ; Et voyant ses regards s\'épandre sur les eaux Pour jouir et juger d\'un combat de vaisseaux : "" telle, dis-je, Vénus sortit du sein de l\'onde, Et promit à ses yeux la conquête du monde, Quand elle eut consulté sur leur éclat nouveau Les miroirs vagabonds de son flottant berceau. "" À ce fameux spectacle on vit les Néréides Lever leurs moites fronts de leurs palais liquides, Et pour nouvelle pompe à ces nobles ébats À l\'envi de la terre étaler leurs appas. Elles virent ma fille ; et leurs regards à peine Rencontrèrent les siens sur cette humide plaine, Que par des traits plus forts se sentant effacer, éblouis et confus je les vis s\'abaisser, Examiner les leurs, et sur tous leurs visages En chercher d\'assez vifs pour braver nos rivages. Je les vis se choisir jusqu\'à cinq et six fois, Et rougir aussitôt nous comparant leur choix ; Et cette vanité qu\'en toutes les familles On voit si naturelle aux mères pour leurs filles, Leur cria par ma bouche : "" en est-il parmi vous, Ô nymphes ! Qui ne cède à des attraits si doux ? Et pourrez-vous nier, vous autres immortelles, Qu\'entre nous la nature en forme de plus belles ? "" Je m\'emportais sans doute, et c\'en était trop dit : Je les vis s\'en cacher de honte et de dépit ; J\'en vis dedans leurs yeux les vives étincelles : L\'onde qui les reçut s\'en irrita pour elles ; J\'en vis enfler la vague, et la mer en courroux Rouler à gros bouillons ses flots jusques à nous. C\'eût été peu des flots : la soudaine tempête, Qui trouble notre joie et dissipe la fête, Enfante en moins d\'une heure et pousse sur nos bords Un monstre contre nous armé de mille morts. Nous fuyons, mais en vain ; il suit, il brise, il tue ; Chaque victime est morte aussitôt qu\'abattue. Nous ne voyons qu\'horreur, que sang de toutes parts ; Son haleine est poison, et poison ses regards : Il ravage, il désole et nos champs et nos villes, Et contre sa fureur il n\'est aucuns asiles. Après beaucoup d\'efforts et de voeux superflus, Ayant souffert beaucoup, et craignant encore plus, Nous courons à l\'oracle en de telles alarmes ; Et voici ce qu\'Ammon répondit à nos larmes : "" pour apaiser Neptune, exposez tous les mois Au monstre qui le venge une fille à son choix, Jusqu\'à ce que le calme à l\'orage succède ; Le sort vous montrera Celle qu\'il agréera : Différez cependant les noces d\'Andromède."" Comme dans un grand mal un moindre semble doux, Nous prenons pour faveur ce reste de courroux. Le monstre disparu nous rend un peu de joie : On ne le voit qu\'aux jours qu\'on lui livre sa proie. Mais ce remède enfin n\'est qu\'un amusement : Si l\'on souffre un peu moins, on craint également ; Et toutes nous tremblons devant une infortune Qui toutes nous menace avant qu\'en frapper une. La peur s\'en renouvelle au bout de chaque mois ; J\'en ai cru de frayeur déjà mourir cinq fois. Déjà nous avons vu cinq beautés dévorées, Mais des beautés, hélas ! Dignes d\'être adorées, Et de qui tous les traits, pleins d\'un céleste feu, Ne cédaient qu\'à ma fille, et lui cédaient bien peu : Comme si choisissant de plus belle en plus belle, Le sort par ces degrés tâchait d\'approcher d\'elle, Et que pour élever ses traits jusques à nous, Il essayât sa force et mesurât ses coups. Rien n\'a pu jusqu\'ici toucher ce dieu barbare ; Et le sixième choix aujourd\'hui se prépare : On le va faire au temple ; et je sens malgré moi Des mouvements secrets redoubler mon effroi. Je fis hier à Vénus offrir un sacrifice, Qui jamais à mes voeux ne parut si propice ; Et toutefois mon coeur, à force de trembler, Semble prévoir le coup qui le doit accabler. Vous donc, qui connaissez et mon crime et sa peine, Dites-moi s\'il a pu mériter tant de haine, Et si le ciel devait tant de sévérité Aux premiers mouvements d\'un peu de vanité.')","('#la-vertu', ""Mes biens brillent moins que les vôtres.  Vous trouverez tant de coeurs qui n'adorent que vous ! Vous les enchantez presque tous."")",0.89,Substitution
19,"('#persee', ""Oui, madame, il est juste ; et j'avouerai moi-même Qu'en le blâmant tantôt j'ai commis un blasphème. Mais vous ne voyez pas, dans votre aveuglement, Quel grand crime il punit d'un si grand châtiment. Les nymphes de la mer ne lui sont pas si chères Qu'il veuille s'abaisser à suivre leurs colères ; Et quand votre mépris en fit comparaison, Il voyait mieux que vous que vous aviez raison. Il venge, et c'est de là que votre mal procède, L'injustice rendue aux beautés d'Andromède. Sous les lois d'un mortel votre choix l'asservit ! Cette injure est sensible aux dieux qu'elle ravit, Aux dieux qu'elle captive ; et ces rivaux célestes S'opposent à des noeuds à sa gloire funestes, En sauvent les appas qui les ont éblouis, Punissent vos sujets qui s'en sont réjouis. Jupiter, résolu de l'ôter à Phinée, Exprès par son oracle en défend l'hyménée. À sa flamme peut-être il veut la réserver ; Ou s'il peut se résoudre enfin à s'en priver, À quelqu'un de ses fils sans doute il la destine ; Et voilà de vos maux la secrète origine. Faites cesser l'offense, et le même moment Fera cesser ici son juste châtiment."")","('#la-fortune', ""Vous régnez sur un coeur qui vaut seul tous les autres. Ah ! S'il m'eût voulu suivre, il eût tout surmonté. Tout tremblait, tout cédait à l'ardeur qui l'anime. C'est vous, Vertu trop magnanime ; C'est vous qui l'avez arrêté."")",0.38,Substitution
20,"('#cassiope', ""Vous montrez pour ma fille une trop haute estime, Quand pour la mieux flatter vous me faites un crime, Dont la civilité me force de juger Que vous ne m'accusez qu'afin de m'obliger. Si quelquefois les dieux pour des beautés mortelles Quittent de leur séjour les clartés éternelles, Ces mêmes dieux aussi, de leur grandeur jaloux, Ne font pas chaque jour ce miracle pour nous ; Et quand pour l'espérer je serais assez folle, Le roi, dont tout dépend, est homme de parole ; Il a promis sa fille, et verra tout périr Avant qu'à se dédire il veuille recourir. Il tient cette alliance et glorieuse et chère : Phinée est de son sang, il est fils de son frère."")","('#la-vertu', ""Son grand coeur s'est mieux fait connaître, Il a fait sur lui-même un effort généreux : Il veut rendre le monde heureux. Il préfère au bonheur d'en devenir le maître, La gloire de montrer qu'il mérite de l'âtre."")",0.73,Substitution
21,"('#persee', 'Reine, le sang des dieux vaut bien celui des rois... Mais nous en parlerons encore quelque autre fois. Voici le roi qui vient.')","('#la-vertu #la-fortune', 'Sans cesse combattons à qui servira mieux Ce héros glorieux.')",1.44,Substitution
22,"('#cephee', ""N'en parlons plus, Phinée, Et laissons d'Andromède aller la destinée. Votre amour fait pour elle un inutile effort : Je la dois comme une autre au triste choix du sort. Elle est cause du mal, puisqu'elle l'est du crime : Peut-être qu'il la veut pour dernière victime, Et que nos châtiments deviendraient éternels, S'ils ne pouvaient tomber sur les vrais criminels."")","('#la-vertu #la-fortune #choeurs', ""Les Dieux ne l'ont donné que pour le bien du monde, Que ses travaux sont grands ! que ses destins sont beaux ! Dans une paix profonde  Il trouve une source féconde De triomphes nouveaux. Les Dieux ne l'ont donné que pour le bien du monde."")",0.56,Substitution
23,"('#phinee', ""Est-ce un crime en ces lieux, seigneur, que d'être belle ?"")","('#la-vertu', ""Que jusque dans les jeux tout nous parle de lui. Les Dieux, qui méditaient leur plus parfait ouvrage, Autrefois dans Persée en tracèrent l'image : J'obtiendrai qu'Apollon le ranime aujourd'hui."")",1.63,Substitution
24,"('#cephee', 'Elle a rendu par là sa mère criminelle.')",,1.0,Insertion
25,"('#phinee', ""C'est donc un crime ici que d'avoir de bons yeux Qui sachent bien juger d'un tel présent des cieux ?"")","('#la-vertu #la-fortune', 'Mille nouveaux concerts doivent se faire entendre : Tout promet au mérite un favorable sort. Quel bien ne doit-on pas attendre De notre heureux accord ? La suite de la Vertu et le suite de la Fortune se réunissent, et témoignent leur joie par leurs danses et par leurs chants.')",1.4,Substitution
26,"('#cephee', ""Qui veut en bien juger n'a point le privilège D'aller jusqu'au blasphème et jusqu'au sacrilège."")","('#suivante-de-la-vertu #suivante-de-la-fortune', ""Quel heureux jour pour nous ! Tout suit notre envie. Quel heureux jour pour nous ! Que notre sort est doux ! La Vertu voit en paix tous ceux qui l'ont suivie : La Fortune pour eux perd son fatal courroux. Quel heureux jour pour nous, etc. Tous nos jours seront beaux ; goûtons, goûtons la vie. Rien ne trouble nos voeux, le ciel les comble tous. Quel heureux jour pour nous, etc."")",1.42,Substitution
27,"('#cassiope', ""Ce blasphème, seigneur, de quoi vous m'accusez..."")","('#la-vertu #la-fortune #choeurs', 'Heureuse intelligence, Douce et charmante paix, Comblez notre espérance. Douce et charmante paix, Puissiez-vous durer à jamais.')",1.51,Substitution
28,"('#cephee', ""Madame, après les maux que vous avez causés, C'est à vous à pleurer, et non à vous défendre. Voyez, voyez quel sang vous avez fait répandre ; Et ne laissez paraître en cette occasion Que larmes, que soupirs, et que confusion. Je vous le dis encore, elle la crut trop belle ; Et peut-être le sort l'en veut punir en elle : Dérober Andromède à cette élection, C'est dérober sa mère à sa punition."")","('#cephee', ""Je crains que Junon ne refuse D'apaiser sa haine pour nous ; Je crains, malgré vos voeux, Que l'affreuse Méduse Ne revienne servir son funeste courroux. L'Ethiopie en vain à mes lois est soumise ; Quelle espérance m'est permise, Si le ciel contre nous veut toujours être armé ? Que me sert toute ma puissance ? Contre ce monstre affreux Mon peuple est sans défense : Qui le voit est soudain en rocher transformé ; Et si Junon, que votre orgueil offense, N'arrête sa vengeance, Je serai bientôt roi d'un peuple inanimé."")",0.07,Substitution
29,"('#phinee', ""Déjà cinq fois, seigneur, à ce choix exposée, Vous voyez que cinq fois le sort l'a refusée."")",,1.0,Insertion
30,"('#cephee', ""Si le courroux du ciel n'en veut point à ses jours, Ce qu'il a fait cinq fois il le fera toujours."")",,1.0,Insertion
31,"('#phinee', ""Le tenter si souvent, c'est lasser sa clémence : Il pourra vous punir de trop de confiance : Vouloir toujours faveur, c'est trop lui demander, Et c'est un crime enfin que de tant hasarder. Mais quoi ? N'est-il, seigneur, ni bonté paternelle, Ni tendresse du sang qui vous parle pour elle ?"")","('#cassiope', ""Heureuse épouse, heureuse mère, Trop vaine d'un sort glorieux, Je n'ai pu m'empêcher d'exciter la colère De l'épouse du Dieu de la Terre et des Cieux ! J'ai comparé ma gloire à sa gloire immortelle. La déesse punit ma fierté Criminelle ; Mais j'espère fléchir son courroux rigoureux ; J'ordonne les célèbres Jeux Qu'à l'honneur de Junon en ces lieux on prépare Mon orgueil offensa cette divinité ; Il faut que mon respect répare Le crime de ma vanité."")",0.31,Substitution
32,"('#cephee', ""Ah ! Ne m'arrachez point mon sentiment secret. Phinée, il est tout vrai, je l'expose à regret. J'aime que votre amour en sa faveur me presse ; La nature en mon coeur avec lui s'intéresse ; Mais elle ne saurait mettre d'accord en moi Les tendresses d'un père et les devoirs d'un roi ; Et par une justice à moi-même sévère, Je vous refuse en roi ce que je veux en père."")","('#cephee', ""Je vais, avec Persée, implorer l'assistance Du dieu dont il tient la naissance ; Il est fils du plus grand des Dieux. Apaisez de Junon, la colère fatale, Ce serait pour elle en ces lieux Un objet odieux Qu'un fils de sa rivale."")",0.0,Match
33,"('#phinee', ""Quelle est cette justice, et quelles sont ces lois Dont l'aveugle rigueur s'étend jusques aux rois ?"")","('#cassiope', 'Par un cruel châtiment Les Dieux vous font voir leur haine ; On les irrite aisément, On les apaise avec peine.')",1.24,Substitution
34,"('#cephee', ""Celles que font les dieux, qui, tous rois que nous sommes, Punissent nos forfaits ainsi que ceux des hommes, Et qui ne nous font part de leur sacré pouvoir Que pour le mesurer aux règles du devoir. Que diraient mes sujets si je me faisais grâce, Et si, durant qu'au monstre on expose leur race, Ils voyaient, par un droit tyrannique et honteux, Le crime en ma maison, et la peine sur eux ?"")","('#cephee', ""Les Dieux punissent la fierté, Ils n'est point de grandeur que le ciel irrité N'abaisse quand il veut, et ne réduisent en poudre, Mais un prompt repentir Peut arrêter la foudre Toute prête à partir."")",0.18,Substitution
35,,"('#merope', 'Puissions nous désarmer le ciel qui nous menace.')",1.0,Deletion
36,"('#phinee', 'Heureux sont les sujets, heureuses les provinces Dont le sang peut payer pour celui de leurs princes !')","('#cephee #cassiope #merope', ""Ô Dieux ! qui punissez l'audace ! Dieux ! redoutables ennemis ! Pardonnez à des coeurs soumis. Céphée sort."")",0.99,Substitution
37,"('#cephee', ""Mais heureux est le prince, heureux sont ses projets, Quand il se fait justice ainsi qu'à ses sujets ! Notre oracle, après tout, n'excepte point ma fille : Ses termes généraux comprennent ma famille ; Et ne confondre pas ce qu'il a confondu, C'est se mettre au-dessus du dieu qui l'a rendu."")","('#cassiope', ""Aimé et destiné pour épouser ma fille, Vous savez mes desseins pour vous, Ma soeur ; par votre hymen, il m'aurait été doux D'unir Persée à ma famille ; Mais je le veux en vain, l'Amour n'y consent pas : Aux yeux de ce héros, ma fille a trop d'appas."")",0.3,Substitution
38,"('#persee', ""Seigneur, s'il m'est permis d'entendre votre oracle, Je crois qu'à sa prière il donne peu d'obstacle ; Il parle d'Andromède, il la nomme, il suffit, Arrêtez-vous pour elle à ce qu'il vous en dit : La séparer longtemps d'un amant si fidèle, C'est tout le châtiment qu'il semble vouloir d'elle. Différez son hymen sans l'exposer au choix. Le ciel assez souvent, doux aux crimes des rois, Quand il leur a montré quelque légère haine, Répand sur leurs sujets le reste de leur peine."")","('#merope', ""Le fils de Jupiter l'adore ; Croyez-vous que je sois encore à m'en apercevoir ? J'y prends trop d'intérêt pour ne le pas savoir. Je goûtais une paix heureuse Avant que ce héros parût dans cette Cour ; Par une espérance trompeuse, Allait-il me livrer au pouvoir de l'Amour ?"")",0.14,Substitution
39,"('#cephee', ""Vous prenez mal l'oracle ; et pour l'expliquer mieux, Sachez... Mais quel éclat vient de frapper mes yeux ? D'où partent ces longs traits de nouvelles lumières ?"")",,1.0,Insertion
40,"('#persee', ""Du ciel qui vient d'ouvrir ses luisantes barrières, D'où quelque déité vient, ce semble, ici-bas Terminer elle-même entre vous ces débats."")","('#cassiope', ""Sachez bien la faiblesse où votre coeur s'engage."")",0.89,Substitution
41,"('#cassiope', ""Ah ! Je la reconnais, la déesse d'Éryce ; C'est elle, c'est Vénus, à mes voeux si propice : Je vois dans ses regards mon bonheur renaissant. Peuple, faites des voeux, tandis qu'elle descend."")","('#merope', ""Mon vainqueur encore aujourd'hui Ignore de mon coeur le funeste esclavage : Je mourrai de honte et de rage Si l'ingrat connaissait l'amour que j'ai pour lui."")",0.9,Substitution
42,"('#le-choeur', ""Reine de Paphe et d'Amathonte, Mère d'amour, et fille de la mer, Peux-tu voir sans un peu de honte Que contre nous elle ait voulu s'armer, Et que du même sein qui fut ton origine Sorte notre ruine ? Peux-tu voir que de la même onde Il ose naître un tel monstre après toi ? Que d'où vint tant de bien au monde Il vienne enfin tant de mal et d'effroi, Et que l'heureux berceau de ta beauté suprême Enfante l'horreur même ? Venge l'honneur de ta naissance Qu'on a souillé par un tel attentat ; Rends-lui sa première innocence, Et tu rendras le calme à tout l'état ; Et nous dirons enfin que d'où le mal procède Part aussi le remède."")","('#cassiope', ""De chagrin et de colère, Votre coeur est déchiré ; Vous perdez l'espoir de plaire ; Peut-on trop se défaire D'un amour désespéré. Appelez le dépit ; que votre amour lui cède ; Sortez par son secours, d'un tourment si fatal."")",0.73,Substitution
43,,"('#merope', ""Le triste secours qu'un remède Plus cruel encore que le mal !"")",1.0,Deletion
44,,"('#cassiope', ""Pour prendre soin des Jeux, il faut que je vous quitte. Par mes conseils votre douleur s'irrite."")",1.0,Deletion
45,"('#cassiope', ""Peuple, elle veut parler : silence à la déesse ; Silence, et préparez vos coeurs à l'allégresse. Elle a reçu nos voeux, et les daigne exaucer ; écoutez-en l'effet qu'elle va prononcer."")","('#cassiope #merope', ""Le temps seul peut guérir Les maux que l'amour fait souffrir. Cassiope sort."")",1.3,Substitution
46,"('#venus', ""Ne tremblez plus, mortels ; ne tremble plus, ô mère ! On va jeter le sort pour la dernière fois, Et le ciel ne veut plus qu'un choix Pour apaiser de tout point sa colère. Andromède ce soir aura l'illustre époux Qui seul est digne d'elle, et dont seule elle est digne. Préparez son hymen, où, pour faveur insigne, Les dieux ont résolu de se joindre avec vous."")","('#merope', ""Ah ! Je garderai bien mon coeur, Si je puis le reprendre. Venez, juste dépit, venez, c'est trop attendre ; Brisez des fers pleins de rigueur, Hâtez-vous de me rendre De mon premier repos la charmante douceur, Ah ! je garderai bien mon coeur, Si je puis le reprendre, Hélas ! Mon coeur soupire, et ce soupir trop tendre Va, malgré mon dépit, rappeler ma langueur ! L'amour est toujours mon vainqueur, Et je veux en vain m'en défendre, Ah ! J'ai trop engagé mon coeur ; Je ne puis le reprendre... Andromède vient voir les Jeux,  Phinée avec elle s'avance ; L'espoir de leur hymen flatte encore mes voeux  Et c'est ma dernière espérance."")",0.25,Substitution
47,"('#phinee', ""Souffrez que sans tarder je porte à ma Princesse, Seigneur, l'heureux arrêt qu'a donné la déesse."")","('#andromede #phinee', 'Croyez-moi, croyez-moi,')",1.31,Substitution
48,"('#cephee', ""Allez, l'impatience est trop juste aux amants."")","('#andromede', 'Cessez de craindre.')",1.1,Substitution
49,"('#cassiope', ""Suivons-la dans le ciel par nos remerciements ; Et d'une voix commune adorant sa puissance, Montrons à ses faveurs notre reconnaissance."")","('#phinee', 'Cessez de feindre.')",1.56,Substitution
50,"('#le-choeur', ""Ainsi toujours sur tes autels Tous les mortels Offrent leurs coeurs en sacrifice ! Ainsi le Zéphyre en tout temps Sur tes palais de Cythère et d'Éryce Fasse régner les grâces du printemps ! Daigne affermir l'heureuse paix Qu'à nos souhaits Vient de promettre ton oracle ; Et fais pour ces jeunes amants, Pour qui tu viens de faire ce miracle, Un siècle entier de doux ravissements. Dans nos campagnes et nos bois Toutes nos voix Béniront tes douces atteintes ; Et dans les rochers d'alentour, La même écho qui redisait nos plaintes Ne redira que des soupirs d'amour."")","('#andromede', 'Je veux vous aimer, je le dois.')",1.06,Substitution
51,,"('#phinee', ""Vous ne m'aimez pas, je le vois."")",1.0,Deletion
52,,"('#andromede', 'Cessez de craindre.')",1.0,Deletion
53,"('#cephee', ""C'est assez... La déesse est déjà disparue ; Ses dernières clartés se perdent dans la nue ; Allons jeter le sort pour la dernière fois. Malheureux le dernier que foudroiera son choix, Et dont en ce grand jour la perte domestique Souillera de ses pleurs l'allégresse publique ! Madame, cependant, songez à préparer Cet hymen que les dieux veulent tant honorer : Rendez-en l'appareil digne de ma puissance, Et digne, s'il se peut, d'une telle présence."")","('#phinee', 'Cessez de feindre.')",1.34,Substitution
54,"('#cassiope', ""J'obéis avec joie, et c'est me commander Ce qu'avec passion j'allais vous demander."")","('#andromede #phinee', 'Croyez-moi, croyez-moi.')",1.02,Substitution
