,corneillet-circe,quinault-cadmus-hermione,Cost,Operation Type
11,"('#l-amour', ""Vous en donnez si souvent à garder,  Qu'il est bon qu'une fois vous en soyez punie ;  Mais par LOUIS quand ma gloire est ternie,  Moi, l'Amour, n'ai-je pas tout sujet de gronder ?  Depuis le pouvoir qu'il me vole,  Dont il use comme du sien,  Je suis une vraie idole,  Qui ne semble bon à rien. "")","('#choeurs', ""Quel désordre soudain ! quel bruit affreux redoutable ! Que épouvantable fracas ! Quels gouffres s'ouvrent sous nos pas ! Le jour palît, le Ciel se trouble ; La Terre va vomir tout l'Enfer en courroux : Fuyons, fuyons, sauvons-nous, sauvons-nous. Dans cette obscurité soudaine, l'Envie sort de son antre qui s'ouvre au milieu du théâtre : elle évoque le monstrueux Serpent Python, qui paraît dans son marais bourbeux, jettant des feux par la gueule et par les yeux, qui sont la seule lumière qui éclaire le théâtre : elle appelle les Vents les plus impétueux pour seconder sa fureur, elle en fait sortir quatre de ceux qui sont renfermez dans les cavernes souterraines, et elle en fait descendre quatre autres de ceux qui forment les orages, qui tous après avoir volé et s'être croisés dans l'air, viennent se ranger autour d'elle, pour l'aider à troubler les beaux jours que le Soleil donne au monde."")",0.56,Substitution
12,"('#la-fortune', ""D'où ce chagrin vous peut-il naître,  Quand nous voyons que ce Grand Roi,  En gagnant tous les coeurs, chaque jour fait connaître... "")",,1.0,Insertion
13,"('#l-amour', ""Mais c'est par lui qu'il s'en rend maître,  Et ce n'est pas mon compte, à moi  Car enfin je voudrais qu'il me dût quelque chose ;  Mais j'ai beau parmi tous mes traits,  Pour faire que des Coeurs par mon ordre il dispose,  En aller choisir tout exprès.  D'eux-mêmes à l'envi, sans qu'on les sollicite,  Des Coeurs tout_à_coup enflammés,  Se rendent tous à son mérite,  Et sans que je m'en mêle, ils s'en trouvent charmés. "")","('#l-envie', ""C'est trop voir le Soleil briller dans sa Carrière, Les Rayons qu'il lance en tous lieux, Ont trop blessé mes yeux ; Venez, noirs ennemis de sa vive lumière, Joignons nos transports furieux. Que chacun me seconde : Paraissez, Monstre affreux. Sortez ? Vents souterrains, des antres les plus creux, Volez, Tyrans des airs, troublez la Terre et l'Onde, Répandons la terreur ; Qu'avec nous le Ciel gronde : Que l'Enfer nous réponde ; Remplissons la Terre d'horreur : Que la Nature se confonde : Jetons dans tous les coeurs du monde La jalouse fureur Qui déchire mon coeur. Et vous Monstre, armez-vous pour nuire À cet astre puissant qui vous a su produire : Il répand trop de biens, il reçoit trop de voeux. Agitez vos marais bourbeux : Excitez contre lui mille vapeurs mortelles : Déployez, étendez vos ailes, Que tous les Vents impétueux S'efforcent d'éteindre ses feux. Osons tous obscurcir ses clartés les plus belles, Osons nous opposer à son cours trop heureux : Quels traits ont crevé le Nuage ? Quel Torrent enflammé s'ouvre un brillant passage ! Tu triomphes, Soleil ? Tout cède à ton pouvoir ? Que d'honneurs tu vas recevoir ! Ah quelle rage ! Ah quelle rage ! Quel désespoir ! Quel désespoir ! L'Envie distribue des Serpents aux Vents, qui forment autour d'elle de manières de tourbillons. L'envie continue à chanter. Ces vents forment de nouveaux tourbillons, tandis que le serpent Python l'élève en l'air, par un rond qu'il fait en volant.  L'Envie continue. Des traits enflammés percent l'épaisseur des nuages, et fondent sur le Serpent Python, qui après s'être débattu quelque temps en l'Air, tombe enfin tout embrasé dans son marais bourbeux ; une pluie de feu se répand sur toute la scène, et contraint l'Envie de s'abîmer avec les quatre Vents souterrains, tandis que les Vents de l'Air s'envolent, et dans le même instant les Nuages se dissipent et le théâtre devient entièrement éclairé. L'Assemblée champêtre que la frayeur avait chassée revient, pour célébrer la Victoire du Soleil, et pour lui préparer des trophées, et des sacrifices."")",0.16,Substitution
14,"('#mars', ""Et c'est à quoi l'Amour prend garde ?  Pourvu que tout vous soit soumis,  Que vos droits soient bien affermis,  Qu'importe... "")",,1.0,Insertion
15,"('#l-amour', ""Passe encor pour ce qui me regarde ;  Mais ce qui fait tout mon ressentiment,  Et m'est une peine cruelle,  C'est que lorsque avec une Belle  J'ai fait l'union d'un Amant,  Et qu'elle en croit les noeuds serrés si fortement,  Que rien ne saurait plus l'arracher d'auprès d'elle,  Si LOUIS dans sa noble ardeur  Court où l'appelle son grand coeur,  L'Amant, quoique plein de tendresse,  Se reproche un honteux repos,  Et quitte aussitôt la Maîtresse,  Pour suivre les pas du Héros.  Elle s'en plaint, elle en soupire,  Et par sa disgrâce fait voir  La faiblesse de mon Empire. "")","('#pales', 'Chassons la crainte qui nous presse.')",1.13,Substitution
16,"('#la-renommee', ""Que n'usez-vous alors de tout votre pouvoir,  Pour rappeler ceux que la Guerre attire ? "")","('#melisse', 'Rien ne doit plus faire peur.')",1.57,Substitution
17,"('#l-amour', ""Il ne tient pas à la vouloir ;  Mais j'ai beau faire, j'ai beau dire.  Charmés de voir LOUIS, de marcher sur ses pas,  Quelque flatteur que pour eux je puisse être,  C'est un Enfant qui parle, ils ne m'écoutent pas,  Et les combats  Auprès de leur Auguste Maître,  Ont pour eux plus d'appas,  Que les plus tendres feux qu'en leurs coeurs j'ai fait naître.  Ainsi la Guerre est un malheur  Qui me rend inutile, et c'est de quoi j'enrage.  Je me trouve accablé de honte et de douleur,  Et tandis que LOUIS fait briller sa valeur,  Je joue un méchant personnage.  Mais que vois-je ? "")","('#pan', ""Le Monstre est mort, l'orage cesse, Le soleil est vainqueur."")",1.18,Substitution
18,"('#l-amour', ""La Gloire, à qui le Ciel toujours  Donna les héros à défendre.  De ce Temple où j'ai soin chaque jour de me rendre,  Je viens d'entendre vos discours.  En vain, Dieu des Guerriers, dont la fière puissance  Vous fait redouter des mortels,  Vous prétendez détruire les Autels  Que j'ai fait élever au héros de la France.  Il mérite encor plus, et n'est point comme vous  Incessamment rempli d'un aveugle courroux.  Lorsqu'il entreprend quelque guerre,  C'est pour mieux maintenir de légitimes droits,  Ou pour confondre ceux, qui méprisant les rois,  Se veulent ériger en Titans de la Terre.  Rendez-lui donc justice, et dans tous ses combats  Vous-même accompagnez es pas.  Ainsi de vos fureurs on ne pourra se plaindre,  Et secondant LOUIS, qui par tout sait charmer,  En même temps que vous vous ferez craindre,  En même temps vous vous ferez aimer.  La Fortune, je le confesse,  A sujet de se chagriner.  Elle est d'un Sexe à voir avec quelque tristesse  Que ses Adorateurs l'osent abandonner,  Mais qu'elle se fasse justice.  Ses bienfaits sont souvent suivis de trahison ;  Elle ne fait jamais de bien que par caprice,  Et le Dieu des Français n'en fait que par raison.  Il récompense le mérite,  Sans même qu'on l'en sollicite,  Et pour se rétablir, la Fortune aujourd'hui  Doit se ranger auprès de lui.  On oubliera son inconstance,  Et par un surprenant effet,  On lui croira de la prudence,  Et c'est ce qu'on n'a jamais fait.  Pour vous répondre aussi, Déesse,  Le travail est pénible à remplir votre emploi ;  Mais le charme qu'on trouve à parler d'un grand Roi,  Ne demande-t-il pas qu'on en parle sans cesse ?  Depuis que par l'ordre des Cieux  Vous publiez les merveilles  Et des hommes et des Dieux,  En avez-vous jamais rencontré de pareilles,  Ni de qui le récit vous fût si glorieux ?  Quant aux Demi-Héros qui prennent pour offense,  Que de leurs noms obscurs vous fassiez peu d'état,  À quoi bon vous charger d'actions sans éclat,  Dont jamais l'Avenir ne prendra connaissance ?  Malgré le vain orgueil dont ils sont éblouis,  Laissez-les dans la poussière,  Et donnez-vous toute entière  À publier des exploits inouïs.  Dites plus que jamais cent Héros n'ont pu faire,  Vous n'aurez qu'à nommer LOUIS,  Et dans tout l'Univers on vous croira sincère.  Vous souffrez, je le connais bien,  J'entre dans votre inquiétude.  Demeurez sans pouvoir, est un destin bien rude,  Et je plains fort l'Amour qui ne s'occupe à rien ;  Mais venez voir LOUIS, et tâchez de lui plaire.  Attachez-vous à le considérer,  À voir sa gloire, à l'admirer,  Et vous aurez assez à faire.  À la Fortune.  À la Renommée.  À l'Amour. "")","('#le-choeur', ""Le monstre est mort, l'orage cesse, Le soleil est vainqueur."")",1.34,Substitution
19,"('#l-amour', 'Je veux suivre votre conseil. ')",,1.0,Insertion
20,"('#la-fortune', 'Chacun doit déférer aux avis de la Gloire. ')",,1.0,Insertion
21,"('#la-renommee', 'Ainsi que vous je la veux croire. ')",,1.0,Insertion
22,"('#mars', 'Voyons auparavant ce Temple sans pareil. ')","('#pales', ""Qu'on lui prépare De superbes autels."")",1.07,Substitution
23,"('#la-gloire', ""Vous pouvez l'admirer ensemble,  Il mérite bien vos regards.  Mais il faut qu'en ce lieu j'assemble  Les plaisirs et les plus beaux Arts.  Par mon ordre ils s'en vont paraître,  Et par leurs Chansons et leurs Jeux  Marquer au plus grand Roi que le Ciel ait fait naître,  Ce qu'ils doivent au soin qu'il daigne prendre d'eux.  Dans le temps que Mars et les autres Divinités qui ont paru dans le Prologue, s'avancent dans le temple, pour en mieux examiner les beautés, la Musique sort d'un des côtés du Théâtre, avec un Livre de Tablature à la main. Elle est suivie des Arts, tant Libéraux que Mécaniques, que sont l'Agriculture avec un habit couvert d'Épis d'or, et tenant une Bêche ; la Navigation, vêtue d'un Taffetas de la Chine, à la manière des Matelots ; l'orfèvrerie, chargée de Chaînes d'or et de pierreries ; la Peinture, tenant une Palette et un Pinceau ; la Guerre, une Épée ; la Géométrie, un Compas ; L'astrologie, un Globe ; la Sculpture, un Ciseau. La Comédie paraît de l'autre côté, tenant un Masque, et accompagnée des Plaisirs. La Chasse, qu'on met ensemble au nombre des Plaisirs et des Arts, se fait voir la première revêtue de vert et tenant un dard. La Mascarade la suit bizarrement habillée, avec un Cornet à la main. On voit ensuite la Pêche qui tient une Ligne ; La Paume, une Raquette ; le Jeu, des Cartes ; La Bonne chère, un Flacon d'Or ; et la Danse, une Poche. Après avoir par quelques figures, et par leurs différentes actions, donné des marques de ce qu'ils représentent, la Comédie et la Musique chantent ensemble le Dialogue suivant. "")","('#melisse', ""Que l'on pare D'ornements immortels."")",1.16,Substitution
24,"('#la-comedie', ""Pour divertir LOUIS, unissons-nous ensemble,  Il est le plus grand des Mortels,  Et quand pour lui la Gloire élève des Autels.  Il faut que la Musique assemble  Ce que ses tons les plus charmants  Peuvent à mon Théâtre ajouter d'ornements. "")","('#le-choeur', ""Conservons la mémoire De sa victoire. Par mille honneurs divers, Répandons le bruit de sa gloire Jusqu'au bout de l'univers."")",0.57,Substitution
25,"('#la-musique', ""Pour ce Grand Roi qui sur la Scène  Voit si souvent tes charmes éclater,  J'aimerais assez à chanter ;  Mais j'ai si peu de voix, qu'on ne m'entend qu'à peine. "")","('#pales', ""Mais le soleil s'avance, Il se découvre aux yeux de tous."")",1.3,Substitution
26,"('#les-arts #les-plaisirs', ""Si tu nous veux souffrir, nous pourrons t'en prêter. "")",,1.0,Insertion
27,"('#la-comedie #la-musique', ""Unissons-nous pour célébrer la Gloire  Dont brille l'Auguste LOUIS. "")","('#le-choeur', 'Respectons sa présence Par un profond silence, Écoutons, taisons-nous.')",1.13,Substitution
28,"('#la-musique', 'De son éclat partout les Peuples éblouis  Consacrent son grand Nom au Temple de Mémoire. ')","('#le-soleil', ""Ce n'est point par l'éclat d'un pompeux sacrifice, Que je me plais à voir mes soins recompensés ; Pour prix de mes travaux ce me doit être assez, Que chacun en jouisse ; Je fais les plus doux de mes voeux De rendre tout le monde heureux. Dans ces lieux fortunés, les Muses vont descendre, Les jeux galants suivront leurs pas ; J'inspire les chants plein d'appas Que vous allez entendre : Tandis que je suivrai mon cours, Profitez des beaux jours. Le soleil s'élève dans les Cieux, et toute l'Assemblée champêtre forme des jeux, où les chansons sont mêlées avec les danses."")",0.61,Substitution
29,,"('#le-choeur', 'Profitons des beaux jours.')",1.0,Deletion
30,"('#la-comedie #la-musique', 'Unissons-nous pour célébrer sa gloire. ')","('#pales', 'Suivons tous la même envie.')",0.77,Substitution
31,"('#tous-ensemble', ""Vantons ce grand Nom comme eux.  Jamais Exploits si fameux  Ne firent parler l'Histoire. "")","('#le-choeur', 'Profitons des beaux jours.')",1.59,Substitution
32,"('#la-comedie #la-musique #un-art', 'Ils sont tels, que nos Neveux  Refuseront de les croire. ')",,1.0,Insertion
33,"('#tous-ensemble', 'Chantons, unissons-nous pour célébrer sa gloire. ')","('#melisse', 'Aimons, tout nous y convie.')",0.57,Substitution
34,"('#la-musique', ""Sur des Exploits moins glorieux,  On a placé parmi les Dieux  Les Héros dont le nom fut grand et redoutable.  LOUIS a droit plus qu'eux à l'immortalité ;  LOUIS qui tous les jours fait une Vérité  Des vains prodiges de la Fable. "")",,1.0,Insertion
35,"('#la-comedie #la-musique', 'Ses Ennemis, de ses armes frappés,  Sont à vanter son nom eux-mêmes occupés,  Les voyant entasser Victoire sur Victoire.')",,1.0,Insertion
36,"('#tous-ensemble', ""Vantons ce grand Nom comme eux Jamais Exploits si fameux  Ne firent parler l'Histoire. "")","('#le-choeur', 'Profitons des beaux jours.')",1.57,Substitution
37,"('#la-comedie #la-musique #un-art', 'Ils sont tels, que nos Neveux  Refusèrent de les croire. ')","('#pales #melisse', 'Les plus beaux jours de la vie Sont perdus sans les Amours.')",1.32,Substitution
38,"('#tous-ensemble', 'Chantons, unissons-nous pour célébrer sa gloire. ')","('#le-choeur', 'Profitons des beaux jours. Tandis que les Nymphes et les Dieux champêtres dansent avec les bergers et les bergères, Palès, Melisse et Pan, mêlent leurs voix avec les instruments rustiques.')",1.53,Substitution
39,"('#palemon', ""J'admire, à dire vrai, cette délicatesse.  Silla tient votre coeur charmé,  Vous n'aspirez dans l'ardeur qui vous presse,  Qu'à l'unique bonheur de vous en voir aimé ;  Et lorsque votre rang vous peut aider à plaire,  Vous vous obstinez à le taire.  Vous passez pour un Prince illustre et glorieux,  Que l'on révère dans la Thrace,  Et c'est choisir d'assez nobles Aïeux,  Que de faire Borée Auteur de votre Race.  Borée, en ces Cantons de frimas et de glace,  S'est acquis un renom qui fait bruit en tous lieux ;  Mais lorsque d'un rival l'amour vous embarrasse,  Si l'aimable Silla savait qu'entre les Dieux  Le Destin vous a donné place,  Vos desseins n'en iraient que mieux.  Laissez là d'un mortel la trompeuse apparence,  Et prenez de Glaucus la fière majesté.  Pour forcer un coeur qui balance,  L'éclat de la Divinité  Manque rarement de puissance. "")","('#pales #melisse #pan', ""Heureux qui peut plaire ! Heureux les amants ! Leurs jours sont charmants : L'Amour sait leur faire Mille doux moments. Que sert la jeunesse Aux coeurs sans tendresse ? Qui n'a point d'amour N'a pas un beau jour. En vain l'Hiver passe, En vain dans les champs Tout charme nos sens, Une âme de glace N'a point de Printemps. Il faut se défaire d'un coeur trop sévère, Qui n'a point d'Amour N'a pas un beau jour. Second couplet Archas un des Dieux des forêts chante, et tous les instruments et toutes les voix lui répondent, tandis que l'Asseemblée champêtre danse, et se joue avec des branches de chêne, dont elle forme plusieurs figures agréables."")",0.18,Substitution
40,"('#glaucus', ""Ah Palémon, crois-tu qu'on puisse avoir jamais,  Quand on est bien touché, l'âme trop délicate,  Et quelque doux penchant qui pour nos coeurs combatte,  L'amour qui contraint les souhaits,  A-t-il quelque chose qui flatte ?  Si me faisant connaître pour Glaucus,  J'obtiens que Silla me préfère,  Pourrai-je m'applaudir de ses dédains vaincus,  Quand son ambition voulant se satisfaire,  Aura plutôt en moi, pour finir mon tourment,  Regardé le Dieu que l'Amant ?  Comme Prince et Mortel, dans mon amour extrême,  Je voudrais lui pouvoir faire agréer mes voeux,  Obtenir son coeur d'elle-même,  Et la voir sensible à mes feux,  Sans qu'elle sût que c'est un Dieu qui l'aime. "")","('#archas', ""Peut-on mieux faire, Quand on sait plaire, Peut-on mieux faire Que d'aimer bien ; Quelque embarras que l'Amour fasse C'est toujours un charmant lien ; Trop de repos bien souvent embarrasse, Que fait-on d'un coeur qui n'aime rien ? L'Amour contente, Sa peine enchante, L'Amour contente, Tout en est bon. Dans les beaux jours de notre vie Les plaisirs sont dans leur saison, Et quelque peur d'amoureuse folie Vaut souvent mieux que trop de raison. Second couplet"")",0.0,Match
41,"('#palemon', ""Si comme dans Borée il vous a plu choisir  Le sang que vous feignez vous avoir donné l'être,  Vous l'imitiez dans le brûlant désir  Que l'amour autrefois dans son âme fit naître,  Vous n'auriez pas le goût si différent du sien.  Charmé de la belle Orithie,  Il fit l'Amant soumis, en prit le doux maintien,  Et d'abord les soupirs furent de la partie ;  Mais voyant qu'auprès d'elle ils ne servaient de rien,  Sans tenir au respect la flamme assujettie,  Il employa la force, et s'en trouva fort bien. "")","('#premier-prince-tyrien', ""Quoi, Cadmus, fils d'un roi qui tient sous sa puissance Les bords féconds du Nil et les climats brûlés ; Cadmus, après deux ans loin de Tyr écoulés, Étranger chez les grecs, n'a point d'impatience De revoir un pays dont il est l'espérance ? Et laisse sans regrets tant de coeurs désolés ?"")",0.02,Substitution
42,"('#glaucus', ""Ah, ne me parle point de suivre son exemple.  Moi, tâcher d'être heureux par un enlèvement ! "")","('#les-deux-princes-tyriens', 'Nous suivons vos destins partout sans résistance : Faudra-t-il que toujours nous soyons exilés ?')",1.53,Substitution
43,"('#palemon', 'Soupirez donc toujours, la matière est bien ample,  Quand un rival en est le fondement.  Silla, vous le savez, regrette Mélicerte ;  Pour ce Prince Thébain son coeur est enflammé. ')","('#cadmus', ""J'aimerais à revoir les lieux de ma naissance ; Mais avant que je puisse en goûter la douceur, J'ai juré d'achever une juste vengeance."")",1.11,Substitution
44,"('#glaucus', ""Oui, je sais qu'il en est aimé,  Et c'est la cause de ma perte.  Mais enfin tout_à_coup disparu de ces lieux,  Sans l'avoir préparée aux chagrins de l'absence,  Par ce départ injurieux  Il semble qu'à mon espérance  Il abandonne un bien si précieux.  Il me faut ménager un temps si favorable.  Ainsi je veux, pour fléchir sa rigueur,  Lui jurer tout l'amour dont le plus tendre coeur  Se soit jamais trouvé capable ;  Et si les vifs transports d'une si belle ardeur  La laissent à mes voeux toujours inexorable,  Je ferai briller à ses yeux  L'honneur que j'ai reçu d'être au nombre des Dieux.  Peut-être que déjà la Nymphe Galatée,  Qui sait tout le secret de mon déguisement,  Aura nommé Glaucus à Silla pour Amant.  La chose entre elle et moi s'est ainsi concertée,  Pour découvrir son sentiment ;  Et pour peu que d'un Dieu l'hommage l'ait flattée,  Si comme Prince enfin je me vois sans espoir,  Parlant comme Glaucus, j'aurai quelque pouvoir.  Ce n'est pas qu'il soit sûr qu'elle veuille se rendre.  Il est d'orgueilleuses Beautés  Qui font gloire de se défendre  De l'amour des Divinités.  Apollon autrefois fut l'Amant le plus tendre,  Et l'offre de son coeur soumis, passionné,  Ne put toucher la trop fière Daphné. "")","('#premier-prince-tyrien', 'Et cependant, Seigneur, Vous laissez en ces lieux languir votre grand coeur.')",0.34,Substitution
45,"('#palemon', ""Mais à quand découvrir que le Prince de Thrace  Cache en vous ce Glaucus que l'on ne connaît pas ? "")",,1.0,Insertion
46,"('#glaucus', ""Laisse à ma flamme encor rendre quelques combats.  Malgré ce que je souffre à voir Silla de glace,  Je perds ce que l'amour a de plus doux appas,  Si Glaucus dans son coeur peut seul me donner place. "")","('#cadmus', ""Après avoir erré sur la Terre et sur l'Onde Sans trouver Europe ma Soeur ; Après avoir en vain cherché son ravisseur, Le ciel termine ici ma course vagabonde ; Et c'est pour obéir aux oracles des Dieux Qu'il faut m'arrêter en ces lieux."")",0.94,Substitution
47,"('#palemon', ""L'Être Divin sans doute est un grand bien,  Le privilège en est commode ;  Mais pour moi, je voudrais qu'au moins ce fût la mode,  Que les Dieux pussent tout, et ne souffrissent rien"")","('#premier-prince-tyrien', ""Si vous trouvez des Dieux dont l'ordre vous engage À choisir ce séjour ; Le dieu que votre coeur consulte davantage Est peut-être l'Amour."")",0.75,Substitution
48,"('#glaucus', ""C'est l'arrêt du Sort ; nous ne sommes  En matières de passions,  Que ce qu'ici-bas sont les Hommes ;  Et si des Transformations  Les miracles nous sont possibles  L'heur d'être plus_ou_moins sensibles  Ne suit pas nos intentions.  Par nous les volontés ne sont jamais forcées,  Et quand l'Amour nous a touchés,  Pénétrer dans les coeurs, lire dans les pensées,  Sont droits qui nous sont retranchés.  Il est bon après tout qu'une telle impuissance,  Laissant craindre et douter, irrite le désir.  L'incertitude anime l'espérance,  Et nous aimerions sans plaisir,  Si nous n'aimions qu'avec pleine assurance  De ne trouver aucune résistance  Dans l'Objet que l'Amour nous aurait fait choisir. "")","('#deuxieme-prince-tyrien', ""Serait-il possible Qu'un héros invincible Eût un coeur qu'Amour sut charmer ?"")",0.36,Substitution
49,"('#palemon', ""Comme je n'aime pas la peine,  J'y serais, je l'avoue, un peu moins délicat ;  Et quoique vaincre sans combat  Ne soit pas pour une âme vaine  Un triomphe de grand éclat,  J'aimerais à trouver la Victoire certaine.  Témoin les Belles que voici,  Dont chacune avec moi prend différente route.  Je vois la fière, sans souci,  Et je ne fais le radouci  Qu'auprès de celle qui m'écoute. "")","('#cadmus', ""Quel coeur n'est pas fait pour aimer ? Et pour être un héros doit-on être insensible ? Que sert contre Hermione un courage indompté ? Qui peut n'en pas être enchanté ? Le Dieu Mars est son père, Elle en a la noble fierté ; La mère d'Amour est sa mère, Elle en a la beauté."")",0.88,Substitution
50,"('#glaucus', 'Quoi, seules sans Silla ? ')",,1.0,Insertion
