,la-fontaine-daphne,moliere-amants-magnifiques,Cost,Operation Type
29,"('#minerve', ""Que vous vous tourmentez, mortels ambitieux, Désespérés et furieux, Ennemis du repos, ennemis de vous-mêmes ! A modérer vos voeux mettez tous vos plaisirs : Régnez sur vos propres désirs ; C'est le plus beau des diadèmes. Les hommes qui s'étaient arrêtés quelques moments pour ouïr Minerve, attendent à peine qu'elle a achevé, et ne laissent pas, malgré ses conseils, témoigner toujours la même fureur et le même emportement. L'Amour leur faisant signe qu'il veut parler, ils s'arrêtent."")","('#clitidas', ""Oui, je gage que je vais deviner tout à l'heure celle que vous aimez.  J'ai mes secrets aussi bien que notre astrologue, dont la princesse Aristione est entêtée ; et s'il a la science de lire dans les astres la fortune des hommes, j'ai celle de lire dans les yeux le nom des personnes qu'on aime.  Tenez-vous un peu, et ouvrez les yeux.  É, par soi, é, r, i, ri, éri, p, h, i, phi, ériphi ; l, e, le : Ériphile.  Vous êtes amoureux de la Princesse Ériphile."")",0.57,Substitution
30,"('#amour', ""De vos sages discours voyez quel est le fruit Je ne dirai qu'un mot. Aimez. On obéit : Vous le voyez. Aux hommes. À ce mot, ceux qui dansaient en confusion et en tumulte dansent deux à deux comme personnes qui s'aiment."")","('#sostrate', ""Ah !  Clitidas ; j'avoue que je ne puis cacher mon trouble, et tu me frappes d'un coup de foudre."")",0.89,Substitution
31,,"('#clitidas', 'Vous voyez si je suis savant ?')",1.0,Deletion
32,"('#venus', ""Amour, qu'il est doux de te suivre !"")","('#sostrate', 'Hélas !  Si, par quelque aventure, tu as pu découvrir le secret de mon coeur, je te conjure au moins de ne le révéler à qui que ce soit, et surtout de le tenir caché à la belle princesse dont tu viens de dire le nom.')",0.81,Substitution
33,"('#jupiter', 'Vivez, nouveaux humains.')",,1.0,Insertion
34,"('#choeur-des-dieux', 'Vivez, nouveaux humains.')",,1.0,Insertion
35,"('#venus', ""Laissez-vous enflammer. Que vaut la peine de vivre, Sans le doux plaisir d'aimer ?"")","('#clitidas', ""Et sérieusement parlant, si dans vos actions j'ai bien pu connaître, depuis un temps, la passion que vous voulez tenir secrète, pensez-vous que la princesse Ériphile puisse avoir manqué de lumière pour s'en apercevoir ?  Les belles, croyez-moi, sont toujours les plus clairvoyantes à découvrir les ardeurs qu'elles causent, et le langage des yeux et des soupirs se fait entendre mieux qu'à tout autre à celles à qui il s'adresse."")",0.74,Substitution
36,"('#choeur', ""Que vaut la peine de vivre, Sans le doux plaisir d'aimer ?"")","('#sostrate', ""Laissons-la, Clitidas, laissons-la voir si elle peut dans mes soupirs et mes regards l'amour que ses charmes m'inspirent, mais gardons bien que par nulle autre voie, elle en apprenne jamais rien."")",0.98,Substitution
37,"('#momus', ""D'où vient que si mal assortie Cette belle a fait choix d'un vieillard pour amant ?"")",,1.0,Insertion
38,"('#amour', ""C'est l'effet merveilleux d'un secret sentiment Que j'appelle sympathie."")",,1.0,Insertion
39,"('#venus', ""Le démon opposé n'a pas moins de pouvoir. Souvent nous haïssons ce qui devrait nous plaire."")",,1.0,Insertion
40,"('#jupiter', ""Tel dieu sait l'avenir, qui n'a pas su prévoir Quels maux ce démon lui va faire. Mais un jour un prince viendra Qui plaira plus qu'il ne voudra. Le Destin parmi nous lui garde un rang insigne, Et je lui veux accorder, Afin qu'il en soit plus digne, L'art de savoir commander. Mars lui promet en apanage La grandeur d'âme et de courage."")","('#clitidas', ""Et qu'appréhendez-vous ?  Est-il possible que ce même Sostrate qui n'a pas craint ni Brennus, ni tous les Gaulois et dont le bras a si glorieusement contribué à nous défaire de ce déluge de barbares qui ravageait la Grèce ?  Est-il possible, dis-je, qu'un homme si assuré dans la guerre soit si timide en amour, et que je le voie trembler à dire seulement qu'il aime ? "")",0.45,Substitution
41,"('#minerve', 'Moi, la vertu.')","('#sostrate', 'Ah !  Clitidas, je tremble avec raison, et tous les Gaulois du monde ensemble sont bien moins redoutables, que deux beaux yeux pleins de charmes.')",1.28,Substitution
42,,"('#clitidas', ""Je ne suis pas de cet avis, et je sais bien pour moi qu'un seul Gaulois l'épée à la main, me ferait beaucoup plus trembler que cinquante beaux yeux ensemble les plus charmants du monde.  Mais dites-moi un peu, qu'espérez-vous faire ?"")",1.0,Deletion
43,"('#venus', ""Moi, l'agrément."")","('#sostrate', 'Mourir sans déclarer ma passion.')",1.05,Substitution
44,"('#amour', ""Et moi le don d'aimer et d'être heureux amant."")","('#clitidas', ""L'espérance est belle.  Allez, allez, vous vous moquez, un peu de hardiesse réussit toujours aux amants ; il n'y a en amour que les honteux qui perdent, et je dirais ma passion à une Déesse moi, si j'en devenais amoureux."")",0.51,Substitution
45,,"('#sostrate', 'Trop de choses, hélas !  Condamnent mes feux à un éternel silence.')",1.0,Deletion
46,,"('#clitidas', 'Hé quoi ?')",1.0,Deletion
47,"('#venus #l-amour #minerve', ""Amour et la Raison s'accorderont pour faire Qu'aux coeurs comme aux esprits ce prince plaise un jour"")","('#sostrate', ""La bassesse de ma fortune, dont il plaît au Ciel de rabattre l'ambition de mon amour, le rang de la Princesse qui met entre elle et mes désirs une distance si fâcheuse, la concurrence de deux princes appuyés de tous les grands titres qui peuvent soutenir les prétentions de leurs flammes ; de deux princes qui par mille et mille magnificences, se disputent, à tous moments, la gloire de sa conquête, et sur l'amour de qui on attend tous les jours de voir son choix se déclarer, mais plus que tout, Clitidas, le respect inviolable où ses beaux yeux assujettissent toute la violence de mon ardeur."")",0.75,Substitution
48,"('#choeur', 'Heureux qui par raison doit plaire ! Plus heureux qui plaît par amour !')","('#clitidas', ""Le respect bien souvent n'oblige pas tant que l'amour, et je me trompe fort, ou la jeune princesse a connu votre flamme, et n'y est pas insensible."")",0.8,Substitution
49,,"('#sostrate', ""Ah !  Ne t'avise point de vouloir flatter par pitié le coeur d'un misérable."")",1.0,Deletion
50,"('#chloris #aminte #nymphes', ""Allons dans cette prairie : C'est un tranquille séjour ; Jamais les larmes d'amour N'y baignent l'herbe fleurie ; Les moutons y sont en paix, Et les loups n'y font jamais D'outrage à la bergerie."")","('#clitidas', ""Ma conjecture est fondée.  Je lui vois reculer beaucoup le choix de son époux, et je veux éclaircir un peu cette petite affaire-là.  Vous savez que je suis auprès d'elle en quelque espèce de faveur, que j'y ai les accès ouverts, et qu'à force de me tourmenter je me suis acquis le privilège de me mêler à la conversation, et parler à tort et à travers de toutes choses.  Quelquefois cela ne me réussit pas, mais quelquefois aussi cela me réussit.  Laissez-moi faire, je suis de vos amis, les gens de mérite me touchent, et je veux prendre mon temps pour entretenir la Princesse de..."")",0.91,Substitution
51,"('#chloris', 'Viens, ma soeur.')","('#sostrate', ""Ah !  De grâce, quelque bonté que mon malheur t'inspire, garde-toi bien de lui rien dire de ma flamme.  J'aimerais mieux mourir que de pouvoir être accusé par elle de la moindre témérité, et ce profond respect où ses charmes divins..."")",1.39,Substitution
52,"('#aminte', 'Je te suis.')","('#clitidas', 'Taisons-nous, voici tout le monde.')",1.31,Substitution
53,"('#chloris', ""Viens goûter une vie Dont le calme est digne d'envie. Notre Nymphe a banni de ces lieux si charmants Ce peuple d'importuns que l'on appelle amants. La voici."")","('#aristione', ""Prince, je ne puis me lasser de le dire, il n'est point de spectacle au monde qui puisse le disputer en magnificence à celui que vous venez de nous donner. Cette fête a eu des ornements qui l'emportent sans doute sur tout ce que l'on saurait voir, et elle vient de produire à nos yeux quelque chose de si noble, de si grand et de si majestueux, que le Ciel même ne saurait aller au delà, et je puis dire assurément qu'il n'y a rien dans l'univers qui s'y puisse égaler."")",1.34,Substitution
54,"('#aminte', ""Que d'appas, de beautés, et de grâces ! Dirait-on pas que l'air s'embellit à ses traces ?"")","('#timocles', ""Ce sont des ornements dont on ne peut pas espérer que toutes les fêtes soient embellies, et je dois fort trembler, Madame, pour la simplicité du petit divertissement que je m'apprête à vous donner dans le bois de Diane."")",0.72,Substitution
55,"('#daphne', ""Amour, n'approche point de nos ombrages doux, De nos prés, de nos fontaines ; Laisse en repos ces lieux ; assez d'autres que nous Se feront un plaisir de connaître tes peines."")","('#aristione', ""Je crois que nous n'y verrons rien que de fort agréable, et certes il faut avouer que la campagne a lieu de nous paraître belle, et que nous n'avons pas le temps de nous ennuyer dans cet agréable séjour qu'ont célébré tous les poètes sous le nom de Tempé.  Car enfin, sans parler des plaisirs de la chasse que nous y prenons à toute heure, et de la solennité des jeux Pythiens que l'on y célèbre tantôt, vous prenez soin l'un et l'autre de nous y combler de tous les divertissements qui peuvent charmer les chagrins des plus mélancoliques.  D'où vient, Sostrate, qu'on ne vous a point vu dans notre promenade ?"")",0.14,Substitution
56,,"('#sostrate', ""Une petite indisposition, Madame, m'a empêché de m'y trouver."")",1.0,Deletion
57,,"('#iphicrate', ""Sostrate est de ces gens, Madame, qui croient qu'il ne sied pas bien d'être curieux comme les autres, et il est beau d'affecter de ne pas courir où tout le monde court."")",1.0,Deletion
58,,"('#sostrate', ""Seigneur, l'affectation n'a guère de part à tout ce que je fais, et sans vous faire compliment, il y avait des choses à voir dans cette fête, qui pouvaient m'attirer, si quelque autre motif ne m'avait retenu."")",1.0,Deletion
59,"('#daphne', ""Chloris, n'est-ce pas la ta soeur que tu m'amènes ?"")","('#aristione', 'Et Clitidas a-t-il vu cela ?')",1.38,Substitution
60,,"('#clitidas', 'Oui, Madame, mais du rivage.')",1.0,Deletion
61,,"('#aristione', 'Et pourquoi du rivage ?')",1.0,Deletion
62,,"('#clitidas', ""Ma foi !  Madame, j'ai craint quelqu'un des accidents qui arrivent d'ordinaire dans ces confusions.  Cette nuit, j'ai songé de poisson mort, et d'oeufs cassés, et j'ai appris du Seigneur Anaxarque que les oeufs cassés et le poisson mort signifient malencontre."")",1.0,Deletion
63,,"('#anaxarque', ""Je remarque une chose, que Clitidas n'aurait rien à dire s'il ne parlait de moi."")",1.0,Deletion
64,,"('#clitidas', ""C'est qu'il y a tant de choses à dire de vous, qu'on n'en saurait parler assez."")",1.0,Deletion
65,"('#chloris', 'Je vous la viens offrir. Nous cherchions en ces lieux Ce que Flore a pour vous de dons plus précieux.')","('#anaxarque', ""Vous pourriez prendre d'autres matières, puisque je vous en ai prié."")",1.16,Substitution
66,,"('#clitidas', ""Le moyen, ne dites-vous pas que l'ascendant est plus fort que tout ; et s'il est écrit dans les astres que je sois enclin à parler de vous, comment voulez-vous que je résiste à ma destinée ?"")",1.0,Deletion
67,"('#daphne', ""Cherchons, cherchons des fleurs ; l'âge nous y convie : Parons-nous de bouquets pendant notre printemps : Les plaisirs ont chacun leur temps, Comme les saisons de la vie Daphné, ayant achevé ces paroles, se baisse pour cueillir des fleurs, et les Nymphes de la suite en font autant ; pendant quoi un choeur de bergers, demeuré par respect derrière le théâtre, répète ces mots."")","('#anaxarque', 'Avec tout le respect, Madame, que je vous dois, il y a une chose qui est fâcheuse dans votre Cour que tout le monde y prenne liberté de parler, et que le plus honnête homme y soit exposé aux railleries du premier méchant plaisant.')",0.88,Substitution
68,"('#choeur-de-bergers', 'Cherchons, cherchons des fleurs ; Daphné nous y convie.')","('#clitidas', ""Je vous rends grâce de l'honneur."")",1.75,Substitution
69,,"('#aristione', ""Que vous êtes fou de vous chagriner de ce qu'il dit !"")",1.0,Deletion
70,"('#daphne', ""J'entends de nos bergers le concert plein d'appas. Qu'ils chantent, je le veux, mais qu'ils n'approchent pas."")","('#clitidas', ""Avec tout le respect que je dois à Madame, il y a une chose qui m'étonne dans l'astrologie, comment des gens qui savent tous les secrets des Dieux, et qui possèdent des connaissances à se mettre au-dessus de tous les hommes, aient besoin de faire leur cour, et de demander quelque chose."")",1.59,Substitution
71,"('#choeur-de-bergers', 'Cherchons, cherchons des fleurs ; Daphné nous y convie Il en renaît sous ses pas.')","('#anaxarque', 'Vous devriez gagner un peu mieux votre argent, et donner à Madame de meilleures plaisanteries.')",1.88,Substitution
72,,"('#clitidas', ""Ma foi !  On les donne telles qu'on peut.  Vous en parlez fort à votre aise, et le métier de plaisant n'est pas comme celui d'astrologue.  Bien mentir et bien plaisanter sont deux choses fort différentes, et il est bien plus facile de tromper les gens que de les faire rire."")",1.0,Deletion
73,"('#daphne', 'Déployons nos trésors.')","('#aristione', ""Eh !  Qu'est-ce donc que cela veut dire ?"")",1.83,Substitution
74,,"('#clitidas', ""Paix !  Impertinent que vous êtes.  Ne savez-vous pas bien que l'astrologie est une affaire d'État, et qu'il ne faut point toucher à cette corde-là ?  Je vous l'ai dit plusieurs fois, vous vous émancipez trop, et vous prenez de certaines libertés qui vous joueront un mauvais tour : je vous en avertis ; vous verrez qu'un de ces jours on vous donnera du pied au cul, et qu'on vous chassera comme un faquin.  Taisez-vous, si vous êtes sage."")",1.0,Deletion
75,"('#chloris', ""J'ai cueilli les plus belles."")","('#aristione', 'Où est ma fille ?')",1.71,Substitution
76,"('#aminte', 'Et moi, les plus nouvelles.')","('#timocles', ""Madame, elle s'est écartée, et je lui ai présenté une main qu'elle a refusé d'accepter."")",1.62,Substitution
77,"('#meroe', 'Moi, les plus vives en couleur.')",,1.0,Insertion
78,"('#daphne', ""Et vous ? Quel mauvais choix vous avez fait, ma soeur ! Vous nous direz, pour votre peine, Une chanson contre l'Amour. Cependant je veux que ma Cour Jure de lui porter une éternelle haine ; Jurez la première, Clymène !"")","('#aristione', ""Princes, puisque l'amour que vous avez pour Ériphile, a bien voulu se soumettre aux lois que j'ai voulu vous imposer, puisque j'ai su obtenir de vous que vous fussiez rivaux sans devenir ennemis, et qu'avec pleine soumission aux sentiments de ma fille, vous attendez un choix dont je l'ai faite seule maîtresse ; ouvrez-moi tous deux le fond de votre âme, et me dites sincèrement quel progrès vous croyez l'un et l'autre avoir fait sur son coeur."")",0.69,Substitution
79,,"('#timocles', ""Madame, je ne suis point pour me flatter, j'ai fait ce que j'ai pu pour toucher le coeur de la princesse Ériphile, et je m'y suis pris, que je crois, de toutes les tendres manières dont un amant se peut servir.  Je lui ai fait des hommages soumis de tous mes voeux ; j'ai montré des assiduités ; j'ai rendu des soins chaque jour ; j'ai fait chanter ma passion aux voix les plus touchantes, et l'ai exprimer en vers aux plumes les plus délicates ; je me suis plaint de mon martyre en des termes passionnés ; j'ai fait dire à mes yeux aussi bien qu'à ma bouche le désespoir de mon amour ; j'ai poussé à ses pieds, des soupirs languissants ; j'ai même répandu des larmes, mais tout cela inutilement, et je n'ai point connu qu'elle ait dans l'âme aucun ressentiment de mon ardeur."")",1.0,Deletion
80,,"('#aristione', 'Et vous, Prince ?')",1.0,Deletion
81,"('#clymene', ""Tout serment De n'avoir jamais d'amant Est chose fort incertaine ; Il en est peu que l'on tienne Plus d'un jour, plus d'un moment : Tout serment De n'avoir jamais d'amant Est chose fort incertaine."")","('#iphicrate', ""Pour moi, Madame, connaissant son indifférence et le peu de cas qu'elle fait des devoirs qu'on lui rend, je n'ai voulu perdre auprès d'elle ni plaintes, ni soupirs, ni larmes.  Je sais qu'elle est toute soumise à vos volontés, et que ce n'est que de votre main seule qu'elle voudra prendre un époux.  Aussi n'est-ce qu'à vous que je m'adresse pour l'obtenir, à vous plutôt qu'à elle que je rends tous mes soins et tous mes hommages.  Et plût au Ciel, Madame, que vous eussiez pu vous résoudre à tenir sa place ; que vous eussiez voulu jouir des conquêtes que vous lui faites, et recevoir pour vous les voeux que vous lui renvoyez."")",1.13,Substitution
82,,"('#aristione', ""Prince, le compliment est d'un amant adroit, et vous avez entendu dire qu'il fallait cajoler les mères pour obtenir les filles ; mais ici, par malheur, tout cela devient inutile, et je me suis engagée à laisser le choix entier à l'inclination de ma fille."")",1.0,Deletion
83,"('#daphne', 'Je veux que vous juriez ; dites donc après moi : Amour,')","('#iphicrate', ""Quelque pouvoir que vous lui donniez pour ce choix, ce n'est point compliment, Madame, que ce que je vous dis.  Je ne recherche la princesse Ériphile, que parce qu'elle est votre sang ; je la trouve charmante par tout ce qu'elle tient de vous, et c'est vous que j'adore en elle."")",1.03,Substitution
84,"('#clymene', 'Amour,')","('#aristione', 'Voilà qui est fort bien.')",0.86,Substitution
85,"('#daphne', 'Si jamais sous ta loi Je respire,')","('#iphicrate', 'Oui, Madame, toute la terre voit en vous des attraits et des charmes que je...')",1.47,Substitution
86,"('#clymene', 'Si jamais sous ta loi Je respire,')","('#aristione', ""De grâce, Prince, ôtons ces charmes et ces attraits : vous savez que ce sont des mots que je retranche des compliments qu'on veut me faire.  Je souffre qu'on me loue de ma sincérité, qu'on dise que je suis une bonne princesse, que j'ai de la parole pour tout le monde, de la chaleur pour mes amis, et de l'estime pour le mérite et la vertu, je puis tâter de tout cela ; mais pour les douceurs de charmes et d'attraits, je suis bien aise qu'on ne m'en serve point, et quelque vérité qui s'y pût rencontrer, on doit faire quelque scrupule d'en goûter la louange, quand on est mère d'une fille comme la mienne."")",1.39,Substitution
87,"('#daphne', 'Je consens de mourir.')",,1.0,Insertion
88,"('#clymene', ""Mourir ? c'est beaucoup dire."")",,1.0,Insertion
89,"('#daphne', 'Je consens de mourir, si jamais je soupire.')",,1.0,Insertion
90,"('#clymene', 'Je consens de mourir, si jamais je soupire.')",,1.0,Insertion
91,"('#daphne', 'Clymène, acquittez-vous ; accompagnons ses sons, Et que nos pas animent nos chansons. Daphné et les personnes de sa suite se prennent alors par la main, et Clymène chante cette gavotte que toute la troupe danse, la répétant après elle : ')","('#iphicrate', ""Ah !  Madame, c'est vous qui voulez être mère malgré tout le monde, il n'est point d'yeux qui ne s'y opposent, et si vous le vouliez la princesse Ériphile ne serait que votre soeur."")",1.39,Substitution
92,"('#clymene', ""L'autre jour sur l'herbe tendre Je m'assis près de Philandre : Il me conta ses tourments ; Ma mère alors me querelle. « Petite fille, dit-elle, N'écoutez point les amants. Ils sont indiscrets, volages, Téméraires, et peu sages ; Ils font mille faux serments : Ils sont jaloux, ils sont traîtres, Et tyrans quand ils sont maîtres, N'écoutez point les amants. » Écoutez ma chansonnette, Et l'écho qui la répète, Et ces rossignols charmants : Leur musique est sans pareille ; Mais ne prêtez point l'oreille Au ramage des amants."")","('#aristione', ""Mon_Dieu, Prince, je ne donne point dans tous ces galimatias où donnent la plupart des femmes ; je veux être mère, parce que je le suis, et ce serait en vain que je ne le voudrais pas être.  Ce titre n'a rien qui me choque, puisque, de mon consentement, je me suis exposée à le recevoir, c'est un faible de notre sexe, dont grâce au Ciel, je suis exempte, et je ne m'embarrasse point de ces grandes disputes d'âge, sur quoi nous voyons tant de folles.  Revenons à notre discours.  Est-il possible que jusqu'ici vous n'ayez pu connaître où penche l'inclination d'Ériphile ?"")",0.35,Substitution
93,,"('#iphicrate', 'Ce sont obscurités pour moi.')",1.0,Deletion
94,"('#daphne', 'Méroé, poursuivez nos divertissements.')","('#timocles', ""C'est pour moi un mystère impénétrable."")",1.92,Substitution
95,"('#meroe', ""J'ai vu le temps qu'une jeune fillette Pouvait, sans peur, aller au bois seulette. Maintenant, maintenant les bergers sont loups : Je vous dis, je vous dis : « Filles, gardez-vous. »"")","('#aristione', ""La pudeur peut-être l'empêche de s'expliquer à vous et à moi, servons-nous de quelque autre pour découvrir le secret de son coeur.  Sostrate, prenez de ma part cette commission, et rendez cet office à ces princes, de savoir adroitement de ma fille vers qui des deux ses sentiments peuvent tourner."")",0.94,Substitution
96,"('#apollon', ""Voici Tempé, cette vallée Dont on vante partout l'ombrage et les beautés ; Et voilà les flots argentés Qu'y fait couler le dieu Penée. Plus loin vers ces sommets mon empire s'étend. N'y veux-tu pas venir, Momus ? On nous attend."")","('#sostrate', ""Madame, vous avez cent personnes dans votre Cour, sur qui vous pourriez mieux verser l'honneur d'un tel emploi, et je me sens mal propre à bien exécuter ce que vous souhaitez de moi."")",0.87,Substitution
97,,"('#aristione', ""Votre mérite, Sostrate, n'est point borné aux seuls emplois de la guerre, vous avez de l'esprit, de la conduite, de l'adresse, et ma fille fait cas de vous."")",1.0,Deletion
98,,"('#sostrate', 'Quelque autre mieux que moi, Madame,...')",1.0,Deletion
99,,"('#aristione', 'Non, non, en vain vous vous en défendez.')",1.0,Deletion
100,,"('#sostrate', ""Puisque vous le voulez, Madame, il vous faut obéir, mais je vous jure que dans toute votre Cour, vous ne pouviez choisir personne qui ne fût en état de s'acquitter beaucoup mieux que moi d'une telle commission."")",1.0,Deletion
101,"('#momus', ""Demeurons encore où nous sommes : Ai-je pu voir en un instant Toutes les sottises des hommes ? Par vos puissants efforts, invincible Apollon, On ne craint plus ici les fureurs de Python. Les habitants de ces rivages DeVÉNUS plus heureux, n'en seront pas plus sages : Le temps de la sottise est celui du bonheur."")","('#aristione', ""C'est trop de modestie, et vous vous acquitterez toujours bien de toutes les choses dont on vous chargera.  Découvrez doucement les sentiments d'Ériphile, et faites-la ressouvenir qu'il faut se rendre de bonne heure dans le bois de Diane."")",0.57,Substitution
102,"('#apollon', 'Mais que dis-tu de ma victoire ?')","('#iphicrate', ""Vous pouvez croire que je prends part à l'estime que la Princesse vous témoigne."")",1.13,Substitution
103,,"('#timocles', ""Vous pouvez croire que je suis ravi du choix que l'on a fait de vous."")",1.0,Deletion
104,,"('#iphicrate', 'Vous voilà en état de servir vos amis.')",1.0,Deletion
