,dancourt-desolation-des-joueuses,dancourt-femme-d-intrigues,Cost,Operation Type
24,"('#lisette', ""À propos de cet argent qu'on perd quelquefois contre Madame votre mère je n'y faisais pas réflexion d'abord, et je ne sais si vous avez tout à fait raison d'être bien aise de ce nouveau règlement.  Le lansquenet défendu va rogner ses rentes et son équipage, et vous n'en serez peut-être pas mieux.  Je commence à n'être plus si réjouie."")","('#gabrillon', ""Comment diantre !  Va vite te la faire rendre, et revient sur tes pas ; on pourrait la décacheter, et l'on y verrait trop le caractère de ma maîtresse, et le tien."")",1.01,Substitution
25,"('#angelique', ' Ah !  Plût au ciel, Lisette, être la plus malheureuse demoiselle du royaume, et que ma mère ne fût jamais entrée dans ce commerce.')","('#la-brie', ""Tu as raison, cela me décrierait à l'auberge.  De quoi diantre s'avise-t-elle de confier ces choses au papier ?"")",1.0,Substitution
26,,"('#gabrillon', ""Ne perds point de temps en réflexions, et songe à réparer la faute qu'elle a faite."")",1.0,Deletion
27,,"('#la-brie', 'Je ferai diligence, ne te mets pas en peine.')",1.0,Deletion
28,,"('#gabrillon', 'Par où vas-tu ?  Sors par la grande porte, tu abrégeras ton chemin de la moitié.')",1.0,Deletion
29,,"('#la-brie', 'Fort bien.')",1.0,Deletion
30,,"('#gabrillon', ""Monsieur de la Brie est un trésor pour Madame Thibaut, et Madame Thibaut est un petit Pérou pour Monsieur de la Brie, et je ne sais comment ils pourraient se passer l'un de l'autre.  La voici qui revient de la ville, quel équipage pour une femme qui couche en joue un parti de cent mille écus !"")",1.0,Deletion
31,,"('#madame-thibaut', ""Je n'en puis plus, donne-moi une chaise."")",1.0,Deletion
32,,"('#gabrillon', 'Vous vous tuez.')",1.0,Deletion
33,,"('#madame-thibaut', 'Ôte-moi cela.')",1.0,Deletion
34,,"('#gabrillon', 'Vous voilà toute en eau.')",1.0,Deletion
35,,"('#madame-thibaut', ""Porte ce paquet dans ma chambre.  Prends garde à ce coulant, mets cette montre sur ma table, et surtout aie soin que ce collier ne s'égare point."")",1.0,Deletion
36,,"('#gabrillon', 'Mais où avez-vous donc dîné ?  Il est quatre heures.')",1.0,Deletion
37,,"('#madame-thibaut', 'À peine ai-je eu le loisir de manger un morceau chez une de mes amies.')",1.0,Deletion
38,,"('#gabrillon', ""Hé, que ne quittez-vous ce gueux de métier ?  C'est bien à vendre des hardes, ma foi, que vous gagnez le plus."")",1.0,Deletion
39,,"('#madame-thibaut', 'Ton cousin, Monsieur de la Brie, est-il venu ?')",1.0,Deletion
40,,"('#gabrillon', ""Oui, Madame, il s'en est retourné même."")",1.0,Deletion
41,"('#lisette', ""Voilà des sentiments fort nobles, assurément, et je ne doute point que Dorante n'ait beaucoup contribué à vous les inspirer.  Franchement, Madame, c'est un fort honnête homme, et il faut qu'il vous aime bien tendrement, pour ne s'être point rebuté des manières de Madame votre mère et du refus qu'elle fit à la personne qui vous demanda pour lui il y a quelques mois."")","('#madame-thibaut', ""Il s'en est retourné !  Il faut qu'il soit fou.  Y a-t-il un moment à perdre ?  Cléante revient aujourd'hui de Versailles.  Quelques mesures que je prenne pour paraître à ses yeux ce que je ne suis pas, avec le temps tout se sait, et si je ne l'oblige pas à m'épouser avant qu'il soit deux jours, peut-être ne l'épouserai-je jamais."")",0.47,Substitution
42,,"('#gabrillon', 'Mon cousin va revenir, ne vous emportez pas.')",1.0,Deletion
43,,"('#madame-thibaut', 'Monsieur de la Brie devient furieusement libertin.  A-t-on écrit les gens qui sont venus me demander ?')",1.0,Deletion
44,,"('#gabrillon', 'Oui, Madame.')",1.0,Deletion
45,"('#angelique', ""Je ne sais ; il me semble que dans l'état où sont les choses, si la nouvelle est vraie, il devrait être ici."")","('#madame-thibaut', 'Qui sont-ils ?')",1.57,Substitution
46,,"('#gabrillon', ""Monsieur l'Abbé Castoret, qui a envoyé deux fois."")",1.0,Deletion
47,,"('#madame-thibaut', ""L'Abbé ?"")",1.0,Deletion
48,,"('#gabrillon', ""Monsieur l'Abbé Castoret."")",1.0,Deletion
49,"('#lisette', ""Vous avez raison, Dorante devrait être ici.  Je l'ai fait avertir dès le matin, comme vous me l'avez commandé et il viendra bientôt, assurément."")","('#madame-thibaut', ""Celui-là vous était recommandé, sans doute, puisque vous le nommez des premiers.  Monsieur l'abbé Castoret vous aurait-il, par quelque petit bénéfice, mise dans ses intérêts ?"")",1.02,Substitution
50,"('#angelique', 'Le voici, Lisette.')","('#gabrillon', 'Lui, Madame ?')",1.6,Substitution
51,"('#lisette', ""Je vous disais-je pas bien qu'il ne tarderait guère ?"")","('#madame-thibaut', ""Donnez cela.  L'Abbé Castoret, puisqu'il est tant de vos amis, dites-lui que le Prieur Coffard n'est pas dans la volonté de le mettre en possession de rien, qu'aux conditions qu'il sait.  Ce Major de milice est-il venu ?"")",1.09,Substitution
52,,"('#gabrillon', ""Oui, qui peste comme un beau diable de voir que rien n'avance."")",1.0,Deletion
53,"('#dorante', ""Hé bien !  Madame, puis-je espérer que le changement dont on parle aujourd'hui dans tout Paris, fera changer les sentiments de Madame votre mère, et croyez-vous qu'elle me pardonne maintenant de n'être pas joueur de profession ?"")","('#madame-thibaut', ""Est-ce ma faute, si le Commis de qui dépend son affaire a révoqué sa maîtresse ?  Qu'il prenne des mesures d'ailleurs : car pour moi je n'avais que ce canal-là.  Comment mettez-vous là ?  Cet homme tout nu."")",1.04,Substitution
54,,"('#gabrillon', ""Dame, je ne sais pas son nom : c'est ce grand homme tout déguenillé, à qui vous avez promis un emploi dans les Gabelles."")",1.0,Deletion
55,,"('#madame-thibaut', 'Qui, ce jeune fou qui a joué et mangé tout son bien ?')",1.0,Deletion
56,,"('#gabrillon', 'Justement.')",1.0,Deletion
57,"('#lisette', ""Je le crois, pour moi, et il me semble qu'il n'y a pas lieu d'en douter, puisque voilà vos sentiments justifiés par arrêt."")","('#madame-thibaut', ""Hé, a-t-il dit qu'il reviendrait ?"")",1.76,Substitution
58,,"('#gabrillon', 'Oui.')",1.0,Deletion
59,"('#angelique', ""Je vous réponds de mon coeur, Dorante ; mais je ne puis vous répondre de ma mère.  Je vous ai déjà dit les raisons, qui jusqu'ici, je crois, l'ont rendue contraire à votre amour.  Elle m'a parlé tant de fois, et en des termes si avantageux, du chevalier de Bellemonte, que je la soupçonne de m'avoir destinée pour lui, dans l'espérance de quelque fortune considérable, qu'il lui avait promis de faire au lansquenet."")","('#madame-thibaut', ""Oui ?  Hé bien, dites-lui qu'il n'y a rien à faire pour des Commissions qu'à l'autre bail, à moins qu'il n'épouse cette fille dont je lui ai parlé : encore faut-il que dès le lendemain des noces, il la laisse à Paris, pendant qu'il ira faire sa Commission au fond du Périgord."")",0.3,Substitution
60,,"('#gabrillon', ""Bon, comme s'il ne voudra pas l'emmener ?"")",1.0,Deletion
61,"('#lisette', ""Oh !  Bien, bien !  Votre mère n'a eu que cette visée, vos affaires vont le mieux du monde, et voilà les espérances et la fortune du chevalier bien aventurées."")","('#madame-thibaut', ""Oh, je lui conseille d'avoir des volontés, Messieurs les Fermiers lui donneront des femmes pour les emmener !  Il n'a qu'à s'y attendre.  Un homme pour un Privilège.  Concernant quoi ce privilège ?"")",0.68,Substitution
62,"('#dorante', ""Le chevalier est un aventurier tombé des nues, qu'on ne connaît que par le jeu, et qui ne subsistait que par là, comme mille autres de son caractère."")","('#gabrillon', ""Je ne sais ce qu'il chante.  Il dit qu'il a trouvé l'invention de faire un fard à l'épreuve de tous les temps, des couleurs qui une fois appliquées sur un teint, durent autant que la peau : en un mot, il se vante d'avoir trouvé le secret de farder un visage à fresque."")",0.91,Substitution
63,,"('#madame-thibaut', 'Oh, oh, celui-là va avoir bien de la pratique.')",1.0,Deletion
64,,"('#gabrillon', ""Vraiment il n'y saurait suffire à l'heure que je vous parle.  Il a sept ou huit douzaines de visage à rendre avant qu'il soit la fin de la semaine."")",1.0,Deletion
65,,"('#madame-thibaut', 'Vous devriez bien écrire sa demeure.')",1.0,Deletion
66,,"('#gabrillon', ""Oh, que je m'en souviendrai bien ; c'est quelque part vers cette rue saint Martin : rien n'est plus facile que de le trouver ; il n'y a qu'à demander le Peintre sur cuir, ou la Manufacture des visages."")",1.0,Deletion
67,,"('#madame-thibaut', ""À propos de la rue saint Martin, vous êtes-vous souvenue d'aller à ce Messager de Rouen, savoir si ce quartier de veau de rivière, ce muid de cidre, ces pots de noix confites, et ces deux témoins sont arrivés."")",1.0,Deletion
68,,"('#gabrillon', ""Il n'y a encore que les témoins de venus.  Comme l'affaire presse, et qu'il faut du temps pour les instruire, on a cru..."")",1.0,Deletion
69,,"('#madame-thibaut', ""Belle avance !  Comme si le Procureur voudra recevoir l'un sans l'autre.  Je ne vois point ici que ce Maître à danser, ni ce Maître de musique soient venus ?"")",1.0,Deletion
70,,"('#gabrillon', 'Voici le Maître à danser.')",1.0,Deletion
71,,"('#madame-thibaut', 'Va vite serrer toutes ces hardes pendant que je lui parlerai.')",1.0,Deletion
72,,"('#madame-thibaut', 'Hé bien, avez-vous été chez cette petite personne ?  Notre Financier attend la réponse avec impatience.')",1.0,Deletion
73,,"('#le-maitre-a-danser', 'Je sors de chez elle.')",1.0,Deletion
74,,"('#madame-thibaut', 'Lui montrez-vous à danser ?')",1.0,Deletion
75,,"('#le-maitre-a-danser', 'Non.')",1.0,Deletion
76,,"('#madame-thibaut', ""Vous n'avez donc pas dit à la mère que c'était vous qui montriez à cette Marquise de leur voisinage, qui à cinquante ans, danse le menuet aussi proprement qu'une fille de quinze ?"")",1.0,Deletion
77,,"('#le-maitre-a-danser', 'Pardonnez-moi, vraiment.')",1.0,Deletion
78,"('#lisette', ""Voilà bien des chevaliers à l'hôpital.  Que de banqueroutes !"")","('#madame-thibaut', ""Sait-elle que c'est vous qui montrez la Sarabande au petit bichon de Madame la Maréchale ?"")",1.8,Substitution
79,,"('#le-maitre-a-danser', 'Oui, mais tout cela ne sert à rien.')",1.0,Deletion
80,,"('#madame-thibaut', ""Et la raison, s'il vous plaît ?"")",1.0,Deletion
81,,"('#le-maitre-a-danser', ""La raison ?  La raison est qu'ils ne veulent donner qu'un louis par mois."")",1.0,Deletion
82,"('#dorante', ""Le chevalier de Bellemonte !  Si cela est, je suis bien vengé de Madame votre mère, par l'indignité du rival qu'elle me préférait."")","('#madame-thibaut', ""Et c'est là ce qui vous arrête ?  Avez-vous perdu l'esprit, dites-moi ?  Quoi regarder à un louis quand il s'agit d'en gagner trente !  Avec cette belle conduite-là, je veux vous voir bientôt réduit à vendre le cheval que je vous ai fait donner par le Milord pour avoir... Ne me faites pas parler"")",1.06,Substitution
83,"('#lisette', ""Oh !  ça, ça, laissons là la bagatelle, s'il vous plaît, et venons au fait.  Comment nous y prendrons-nous ?  Qui ferons-nous parler à Madame ?"")","('#le-maitre-a-danser', ""Ne me faites pas parler vous-même ; et comptez, quoi qu'il puisse arriver, que je ne montrerai jamais pour une pistole, ce serait le moyen de me décrier."")",0.84,Substitution
84,"('#dorante', 'Tu sais de quel air mon oncle fut refusé ?')","('#madame-thibaut', 'Vraiment, mon petit ami, vous faites bien le renchéri depuis que je vous ai donné les moyens de vous faire un des Syndics de la danse.')",1.98,Substitution
85,"('#lisette', ""D'accord ; mais Monsieur votre oncle se portait à merveille quand on le refusa, et il est fort mal à présent."")","('#le-maitre-a-danser', ""Ma foi, Madame, dans toutes les affaires que nous avons faites ensemble, vous avez gagné plus que moi, et je n'ai point rendu de billet dont vous ne vous soyez fait payer le port."")",1.42,Substitution
86,,"('#madame-thibaut', ""Voilà encore une veste et une cravate, que vous n'auriez jamais eues sans moi."")",1.0,Deletion
87,"('#dorante', ""Il ne peut pas vivre longtemps encore.  Je viens d'envoyer chez lui, et l'on m'en viendra dire ici des nouvelles."")","('#le-maitre-a-danser', ""Oui, fort bien, vous me payez de vieilles nippes qui vous restent, et vous gardez l'argent comptant."")",1.49,Substitution
88,,"('#madame-thibaut', 'Monsieur le Maître à danser !')",1.0,Deletion
89,,"('#le-maitre-a-danser', 'Madame la...')",1.0,Deletion
90,,"('#le-maitre-a-chanter', ""Qu'est-ce donc que tout ceci ?  Vous voilà tous deux en colère ?"")",1.0,Deletion
91,,"('#madame-thibaut', ""J'ai bien sujet d'y être ; et si la musique est aussi déraisonnable que la danse, je n'aurai qu'à pendre l'intrigue au croc."")",1.0,Deletion
92,"('#lisette', ""Voilà des conjectures merveilleuses, au moins.  Le lansquenet défendu, et un oncle presque à l'agonie !  Vos affaires ne sont point désespérées, vous dis-je."")","('#le-maitre-a-chanter', ""Comment donc ?  Lui est-il arrivé quelque disgrâce qui le dégoûte du commerce ?  N'aurait-il su prendre le temps que son écolière était seule ?  Un père serait-il survenu, un rival, un mari ?...  Expliquez-vous donc si vous voulez ; à gens de notre profession, il ne peut guères arriver de pire accident, que je sache."")",0.61,Substitution
93,,"('#le-maitre-a-danser', ""Si l'on voulait vous contraindre à montrer à chanter pour la moitié moins que vous n'avez coutume de prendre, de bonne foi le feriez-vous ?"")",1.0,Deletion
94,"('#dorante', 'Eh bien ! Crois-tu que je puisse hasarder une seconde demande ?')","('#le-maitre-a-chanter', ""Oui, si je trouvais d'ailleurs quelque profit plus considérable."")",0.82,Substitution
95,"('#lisette', 'Oui ; mais par qui la ferons-nous faire, cette demande ?')","('#madame-thibaut', ""Ne voilà-t-il pas ce que je dis ?  Dans toutes les affaires dont je lui ai donné la conduite, je voudrais bien savoir s'il s'est tenu à une pistole."")",1.4,Substitution
96,,"('#le-maitre-a-chanter', 'Vous vous moquez, je crois.')",1.0,Deletion
97,"('#dorante', 'Je ne sais.')","('#madame-thibaut', ""Il n'a jamais fait de marché, seulement."")",1.56,Substitution
98,,"('#le-maitre-a-danser', ""Est-ce avec les écoliers qu'on en fait ?  C'est avec ceux qui nous les donnent."")",1.0,Deletion
99,"('#lisette', ""Si vous aviez quelque riche grand'mère sur le bord de sa fosse, cela serait d'un fort grand poids."")","('#madame-thibaut', 'Avez-vous parlé à ce vieux Commandeur pour cette petite marchande, dont la mère est si surveillante ?')",1.09,Substitution
100,"('#dorante', ""Je n'en ai point."")","('#le-maitre-a-chanter', 'Oui, mais je ne lui montrerai point.')",0.45,Substitution
101,,"('#madame-thibaut', ""À l'autre.  Ils ont tous deux résolu de me faire enrager, je pense."")",1.0,Deletion
102,,"('#le-maitre-a-danser', ""Je suis ravi de n'être pas seul de mon sentiment."")",1.0,Deletion
103,"('#lisette', ""Faites parler par le médecin de votre oncle, et qu'il lui promette de le dépêcher incessamment."")",,1.0,Insertion
104,"('#angelique', ""Cela ne servirait de rien, tant que l'entêtement de ma mère durerait pour le chevalier."")","('#le-maitre-a-chanter', ""Non, ce n'est point l'argent qui m'arrête."")",1.08,Substitution
105,"('#lisette', 'Eh !  Comment faudrait-il faire pour la désentêter?')","('#madame-thibaut', 'Hé quelle raison pouvez-vous donc avoir ?')",1.09,Substitution
106,,"('#le-maitre-a-chanter', ""Elle ne veut apprendre que des airs de l'Opéra."")",1.0,Deletion
107,,"('#madame-thibaut', 'Ne nous voilà pas mal.')",1.0,Deletion
108,,"('#le-maitre-a-chanter', ""De quoi me servirait donc l'heureux génie que le Ciel m'a donné pour la composition ?"")",1.0,Deletion
109,"('#dorante', ""J'ai depuis quelques jours un maître fripon avec moi, que je crois reconnaître, et qui ne s'est point fait mon valet sans quelque dessein.  Il pourrait bien nous être utile dans cette affaire."")","('#madame-thibaut', ""Il faut le laisser là, cet heureux génie, et s'accommoder au génie des autres."")",0.71,Substitution
110,,"('#le-maitre-a-chanter', ""Je vous baise les mains : je fais de la musique, c'est mon métier ; et tous les Commandeurs du monde ne me feraient pas montrer à de petites filles qui ne veulent point apprendre de mes airs, et les trouver plus beaux que ceux de l'Opéra même."")",1.0,Deletion
111,,"('#madame-thibaut', 'Voilà un étrange entêtement !')",1.0,Deletion
112,,"('#le-maitre-a-chanter', ""Et moi, je verrais crever tous les Financiers du Royaume, plutôt que d'apprendre à danser à leurs Maîtresses pour une pistole."")",1.0,Deletion
113,,"('#madame-thibaut', 'Quelle extravagance !')",1.0,Deletion
114,,"('#le-maitre-a-chanter', ""Je trouve qu'il est de fort bon sens, moi."")",1.0,Deletion
115,,"('#le-maitre-a-danser', 'Vous me paraissez avoir grande raison.')",1.0,Deletion
116,,"('#madame-thibaut', 'Diantre soit des impertinents ; mais, finissons.  Vous y perdez tous deux plus que qui que ce soit.  Çà, cette lettre ?')",1.0,Deletion
117,,"('#le-maitre-a-danser', 'La voilà.')",1.0,Deletion
118,,"('#madame-thibaut', 'Le portrait, vous ?')",1.0,Deletion
119,"('#lisette', ""Le voici tout à propos, comme si vous l'aviez mandé."")","('#le-maitre-a-chanter', 'Le voici.')",1.28,Substitution
120,,"('#madame-thibaut', 'Cette bourse ?')",1.0,Deletion
121,,"('#le-maitre-a-danser', ""Tout à l'heure."")",1.0,Deletion
122,,"('#madame-thibaut', 'Cette attache de diamants ?')",1.0,Deletion
123,"('#merlin', ""Je viens de chez Monsieur votre oncle, Monsieur, comme vous me l'aviez ordonné."")","('#le-maitre-a-chanter', 'Je vous la vais donner.')",1.22,Substitution
124,,"('#madame-thibaut', 'Au moins, le compte y est ?')",1.0,Deletion
125,"('#dorante', 'Eh bien en quel état est-il ?  Comment va sa maladie ?')","('#le-maitre-a-danser', 'Pour qui me prenez-vous ?')",1.47,Substitution
126,"('#merlin', 'Le mieux du monde, il ne passera pas la journée.  Il vous demande pour une affaire de conséquence, et on est venu trois on quatre fois vous chercher.')","('#madame-thibaut', 'Hé, je vous connais, vous ne seriez pas le premier du métier, qui ayant ordre de faire un présent à une Dame, aurait en homme habile partagé le différend par la moitié.')",0.8,Substitution
127,"('#angelique', ""Sachez ce qu'il vous veut, Dorante, et ne négligez point cette affaire."")","('#le-maitre-a-danser', 'Vous êtes en colère, serviteur.')",1.06,Substitution
128,,"('#le-maitre-a-chanter', ""Je n'ai plus rien à vous que ce petit enfant sans père, dont la mère est morte il y a quinze jours.  La nourrice doit le rapporter, vous trouverez bon que je vous l'envoie."")",1.0,Deletion
129,"('#dorante', 'Voyons donc auparavant, de grâce...')","('#madame-thibaut', ""Oh, pour ce bijou-là, vous n'avez qu'à le garder, c'est le fruit d'une intrigue où vous avez eu plus de part que moi."")",1.58,Substitution
130,,"('#le-maitre-a-chanter', 'Nous verrons pourtant à qui il demeurera.  Je ne vous dit pas adieu.')",1.0,Deletion
131,"('#merlin', 'Madame a raison, Monsieur.  Les oncles ne sont point des gens à négliger, et surtout dans les occasions comme celle-ci.')","('#madame-thibaut', ""Peste soit de la danse et de la musique.  Sans les travers qu'ont ces gens-là, quelle fortune ne pourraient-ils point faire !"")",1.14,Substitution
132,"('#dorante', ""Mais, belle Angélique, nous n'avons point examiné de quelle manière nous pourrions détromper Madame votre mère du chevalier de Bellemonte."")","('#madame-thibaut', ""Hé bien, Monsieur de la Brie, vous savez les services dont j'ai besoin ?"")",1.9,Substitution
133,,"('#la-brie', ""J'ai vu tout cela d'un coup d'oeil."")",1.0,Deletion
134,"('#lisette', ""Dépêchez-vous donc de l'examiner et de conclure."")","('#madame-thibaut', 'Hé, que vous en semble ?')",0.63,Substitution
135,"('#dorante', 'Oh, ça !  Merlin, il faut me rendre un service, mon ami.')","('#la-brie', 'Cela est bon, cela réussira, nous en viendront à bout.')",1.53,Substitution
136,,"('#madame-thibaut', 'Il y a cent pistoles à gagner.')",1.0,Deletion
137,"('#merlin', ""Vous savez, Monsieur, que depuis le peu de temps que j'ai l'honneur d'être à vous, je me suis toujours volontiers acquitté des commissions que vous m'avez données.  Je vous ai pris en affection, et je suis content de vous, je vous assure.  Expliquez-moi votre affaire, que je voie si elle n'est point trop difficile, et si je me ferai prier, ou non."")","('#la-brie', ""Cent pistoles !  Ce n'est guères.  Il y a ouvrage et ouvrage, voyez-vous.  Si nous n'avions qu'un Bourgeois à duper, ce ne serait pas une grosse affaire : j'en entreprendrai, moi qui vous parle, à dix pistoles pièce, tant que vous voudrez ; mais, lorsqu'il s'agit de tromper un Capitaine, c'est une besogne diablement vétilleuse."")",0.42,Substitution
138,"('#angelique', ""Ah !  Mon pauvre enfant !  Tâche à faire ce qu'on te dira, et sois assuré d'une parfaite récompense.  Je te donnerai..."")","('#madame-thibaut', 'Combien voudriez-vous donc, Monsieur de la Brie ?')",1.85,Substitution
139,"('#dorante', ""Bon, Madame, c'est bien l'argent qui le gouverne.  Vous ne le connaissez pas, Madame, il ne tient qu'à lui d'en avoir autant qu'homme de France."")","('#la-brie', 'Vous-même je vous en fais juge.  Tenez, le seul personnage de Notaire, si je ne le faisais pas moi-même, me reviendrait à moi, sans les buvettes, à plus de cent pistoles.  Malepeste, on ne vient pas à bout des gens de cette profession à si bon marché que vous le croiriez bien.')",0.9,Substitution
140,"('#merlin', ""Comment diantre !  M'aurait-il reconnu ?"")","('#madame-thibaut', 'Vous serez content de moi, Monsieur de la Brie.')",1.72,Substitution
141,"('#dorante', 'Demandez-lui si je me trompe.')","('#la-brie', 'Je vais donc me préparer.')",1.56,Substitution
142,"('#merlin', 'Monsieur.')","('#madame-thibaut', 'Allez.')",0.0,Match
143,"('#dorante', 'Eh !  Allons, allons, partons franchement, mon ami.  Je suis bon prince, comme tu vois, je me connais en gens, et toute ta science ne se borne point à bien faire un message, et à peigner une perruque.  Plaît-il ?')","('#dorise', ""Il y a quinze jours, Madame, que j'épie l'occasion de pouvoir vous entretenir en particulier, ce que je n'ai pu trouver jusqu'aujourd'hui."")",1.06,Substitution
144,"('#merlin', 'Monsieur.')","('#madame-thibaut', 'Vous prenez encore bien mal votre temps, Madame.')",1.77,Substitution
145,,"('#dorise', ""Je n'ai que deux mots à vous dire."")",1.0,Deletion
146,"('#dorante', ""Qu'en penses-tu, Lisette ?  Regarde-le un peu.  Hem !  Qu'en dis-tu ?"")","('#madame-thibaut', ""Voyons donc vite, de quoi s'agit-il ?"")",1.43,Substitution
147,"('#lisette', ""Je lui trouve quelque chose de grand, quelque chose d'illustre dans la physionomie."")","('#dorise', ""D'un brevet de bel esprit, Madame.  Cela vous surprend !"")",1.16,Substitution
148,"('#merlin', ""Ma physionomie est assez heureuse. J'enrage, me voilà découvert. À part."")","('#madame-thibaut', ""Je vous avoue, Madame, qu'avant que d'avoir eu l'honneur de vous voir, je n'avais point encore ouï dire qu'il y eût de beaux esprits à brevets."")",1.41,Substitution
149,"('#dorante', 'Nous nous sommes vus quelque part, et tu ne te nommais pas Merlin en ce temps-là.  Tu es un adroit, mon ami.')","('#dorise', ""C'est que pour m'exprimer à vous, Madame, d'une manière plus élégante, je me suis servi du figuré ; mais, à parler au propre, cela veut dire que je postule une place à l'Académie."")",1.43,Substitution
150,,"('#madame-thibaut', ""Vous, Madame, une place à l'Académie !  Oh, je crois que vous dites cela au figuré."")",1.0,Deletion
