,moliere-precieuses-ridicules,somaize-precieuses-ridicules,Cost,Operation Type
32,"('#gorgibus', ""Je n'ai que faire, ni d'air, ni de chanson.  Je te dis que le mariage est une chose sainte et sacrée, et que c'est faire en honnêtes gens que de débuter par là. "")","('#gorgibus', ""Quel discours est-ce là ? quelles métamorphoses. Je n'ai que faire ici, ni d'air, ni de chanson Ce discours me déplaît, et paraît sans raison, Et je te dis encor, que c'est être très sage Que de parler ainsi , puisque le mariage, De chacun aujourd'hui doit être révéré Et qu'il n'a rien du tout, que de saint et sacré."")",0.28,Substitution
33,"('#magdelon', ""Mon_Dieu, que si tout le monde vous ressemblait un roman serait bientôt fini, la belle chose, que ce serait, si d'abord Cyrus épousait Mandane, et qu'Aronce de plain-pied fût marié à Clélie ! "")","('#madelon', ""Dieux ! Si chacun était de votre humeur mon père, Que la fin d'un roman, serait facile à faire, Que cela serait beau, si Cyrus dans l'abord Sans éprouver du tout, les caprices du sort Avait Mandane, et si sans hasarder sa vie Aronce, de plein pied, épousait sa Clélie."")",0.0,Match
34,"('#gorgibus', 'Que me vient conter celle-ci ? ')","('#gorgibus', ""Qu'est-ce que celle-là me vient ici conter, À la fin je serai bientôt las d'écouter."")",0.38,Substitution
35,"('#magdelon', ""Mon père, voilà ma cousine qui vous dira, aussi bien que moi, que le mariage ne doit jamais arriver, qu'après les autres aventures.  Il faut qu'un amant, pour être agréable, sache débiter les beaux sentiments, pousser le doux, le tendre et le passionné, et que sa recherche soit dans les formes.  Premièrement, il doit voir au Temple, ou à la promenade, ou dans quelque cérémonie publique, la personne dont il devient amoureux ; ou bien être conduit fatalement chez elle, par un parent, ou un ami, et sortir de là tout rêveur, et mélancolique.  Il cache, un temps, sa passion à l'objet aimé, et cependant lui rend plusieurs visites, où l'on ne manque jamais de mettre sur le tapis une question galante, qui exerce les esprits de l'assemblée.  Le jour de la déclaration arrive, qui se doit faire ordinairement dans une allée de quelque jardin, tandis que la compagnie s'est un peu éloignée, et cette déclaration est suivie d'un prompt courroux, qui paraît à notre rougeur, et qui pour un temps bannit l'amant de notre présence.  Ensuite il trouve moyen de nous apaiser, de nous accoutumer insensiblement au discours de sa passion, et de tirer de nous cet aveu qui fait tant de peine.  Après cela viennent les aventures ; les rivaux qui se jettent à la traverse d'une inclination établie, les persécutions des pères, les jalousies conçues sur de fausses apparences, les plaintes, les désespoirs, les enlèvements, et ce qui s'ensuit.  Voilà comme les choses se traitent dans les belles manières, et ce sont des règles dont, en bonne galanterie, on ne saurait se dispenser ; mais en venir de but en blanc à l'union conjugale et ne faire l'amour qu'en faisant le contrat du mariage, et prendre justement le roman par la queue !  Encore un coup, mon père, il ne se peut rien de plus marchand que ce procédé, et j'ai mal au coeur de la seule vision que cela me fait. "")","('#madelon', ""Si vous vouliez mon père, un moment nous entendre ? Et ma cousine et moi, nous pourrions vous apprendre Que jamais un hymen ne se doit accorder Qu'après les accidents qui doivent précéder. Il faut que dans l'abord, un amant véritable Afin qu'à sa maîtresse il se rende agréable, Exprime adroitement ses plus cruels tourments, Il sache débiter tous les beaux sentiments, Et que sans se lasser, pour pouvoir la surprendre Il sache bien pousser, et le doux et le tendre, Que pour montrer combien son coeur est enchaîné Il fasse tout cela d'un air passionné, Et s'il prétend enfin, avancer ses affaires Que sa procédure ait les formes ordinaires.\t Il doit dedans le temple, ou dedans d'autres lieux. Voir l'aimable beauté, qui cause tous ses voeux, Ou bien être conduit, fatalement chez elle Par un des bons amis, ou parent de la belle. Il sort après cela, tout chagrin tout rêveur, À l'objet de ses voeux, cache un temps son ardeur, Cependant il lui rend de fréquentes visites Et puis le plus souvent, après bien des redites, On voit sur le tapis, mettre une question Qui fait adroitement savoir sa passion, Et qui quoi que la belle, en paraisse troublée Exerce les esprits de toute l'assemblée De déclarer son feu, le jour arrive enfin, Ce qui se fait souvent dedans quelque jardin Lorsque par un bonheur, que le hasard amène La compagnie [se] quitte, ou plus loin se promène, D'abord à cet aveu, succède un prompt courroux Qui bannit quelque temps l'amant d'auprès de nous. Il trouve après moyen, de rassurer notre âme De nous accoutumer, aux discours de sa flamme, Et de tirer de nous, cet important aveu Qui nous fait tant de peine, et lui coûte si peu. Viennent après cela toutes les aventures Les jaloux désespoirs, les craintes les murmures, Les plaintes sans sujet, les cris et les rivaux Qui d'un parfait amour, sont les plus cruels maux Quand par une soudaine, et fâcheuse saillie Ils viennent traverser, une flamme établie. On voit venir encor, les persécutions D'un père, qui combat de fortes passions, Qui s'obstine à les vaincre. On voit la jalousie ; Qui sur de faux soupçons trouble la fantaisie, On voit enfin les pleurs et les emportements, Les fureurs d'un amant, et les enlèvements, Et tout ce qui s'ensuit. Dans les belles manières, C'est ainsi que chacun doit traiter ses affaires, Ce sont règles enfin, dont il faut confesser Que quiconque est galant ne peut se dispenser ; Mais peut-on jamais voir recherche plus brutale, Parler de but en blanc, d'union conjugale, Venir rendre visite, et dès le même jour Vouloir passer contrat, pour montrer leur amour Et prendre justement (sans voir ce qu'il faut faire) Le Roman par la queue. Encore un coup mon père, Vous pourriez bientôt voir, si vous preniez conseil, Qu'il n'est rien plus marchand, qu'un procédé pareil. Pour moi, j'ai mal au coeur, et me sens inquiète De la vision seule, où leur discours me jette."")",0.0,Match
36,"('#gorgibus', 'Quel diable de jargon entends-je ici ?  Voici bien du haut style. ')","('#gorgibus', 'Voici bien du haut style : Hé ! Que vient celle-ci Avecque son jargon, de me conter ici.')",0.45,Substitution
37,"('#cathos', ""En effet, mon oncle, ma cousine donne dans le vrai de la chose.  Le moyen de bien recevoir des gens qui sont tout à fait incongrus en galanterie ?  Je m'en vais gager qu'ils n'ont jamais vu la Carte de Tendre, et que billets-doux, petits-soins, billets galants et jolis vers, sont des terres inconnues pour eux.  Ne voyez-vous pas que toute leur personne marque cela, et qu'ils n'ont point cet air qui donne d'abord bonne opinion des gens ?  Venir en visite amoureuse avec une jambe toute unie ; un chapeau désarmé de plumes ; une tête irrégulière en cheveux, et un habit qui souffre une indigence de rubans !...  Mon_Dieu, quels amants sont-ce là !  Quelle frugalité d'ajustement, et quelle sécheresse de conversation !  On n'y dure point, on n'y tient pas.  J'ai remarqué encore que leurs rabats ne sont pas de la bonne faiseuse, et qu'il s'en faut plus d'un grand demi-pied que leurs hauts de chausses ne soient assez larges. "")","('#cathos', ""Ah ! Mon oncle en effet, je vous dirai si j'ose Qu'elle vient de donner dans le vrai de la chose ; Et quel moyen aussi de recevoir des gens, Qu'à faire leur devoir, on voit si négligents, Qui n'ont de dire un mot, pas même l'industrie, Et qui sont incongrus dans la galanterie, Pour moi sans croire ici, follement m'engager Contre qui le voudra, j'oserai bien gager Que leur esprit jamais ne fut né pour apprendre Ce que c'est que l'amour, et la carte du tendre, Qu'ils ont le jugement tout à fait de travers, Et que billets galants, petits soins, jolis vers, Billet doux, sont pour eux des terres inconnues, Comme si maintenant ils descendaient des nues. Je puis vous dire encor, sans en demeurer là, Que tout leur procédé marque assez bien cela, Et qu'on ne trouve point dans toute leur personne Ce je ne sais quel charme, et qui dès l'abord donne Par un air attirant, et de condition De quantité de gens, fort bonne opinion. Vit-on jamais encor, chose plus merveilleuse Oser venir tous deux en visite amoureuse Avecque des chapeaux de plumes désarmés, Ne paraître tous deux nullement enflammés, Avoir avec cela, la jambe toute unie, La tête de cheveux, tout à fait dégarnie, Toute irrégulière, et des habits enfin, Qui ressemblent à ceux de quelque vrai gredin, Et souffrent de rubans une extrême indigence. Ah ! Mon_Dieu, quels amants, j'en rougis quand j'y pense, Quelle frugalité d'ajustement, bon Dieu Est-ce ainsi que l'on doit venir offrir ses voeux, Que d'indigence en tout, et quelle sècheresse De conversation, ah ! Tout cela me blesse, Toujours on y languit, on n'y tient point, hélas ! J'ai remarqué de plus encor, que leurs rabats Par l'excès surprenant d'une avarice honteuse, N'ont jamais été faits, par la bonne faiseuse ; Qu'il s'en faut demi-pied (je le dis sans erreur) Que leurs chausses enfin, n'aient assez de largeur."")",0.0,Match
38,"('#gorgibus', ""Je pense qu'elles sont folles toutes deux, et je ne puis rien comprendre à ce baragouin.  Cathos, et vous, Magdelon... "")","('#gorgibus', ""Voilà de grands discours que je ne puis entendre À tout ce baragouin, qui pourrait rien comprendre, Elles sont folles. Vous Cathos et Madelon, Apprenez aujourd'hui que je veux tout de bon, Que vous vous prépariez..."")",0.18,Substitution
39,"('#magdelon', 'Eh, de grâce, mon père, défaites-vous de ces noms étranges, et nous appelez autrement. ')","('#madelon', 'Hé ! de grâce, mon père, De ces étranges noms, tâchez de vous défaire, Et si vous le pouvez, nommez-nous autrement.')",0.0,Match
40,"('#gorgibus', 'Comment ces noms étranges ?  Ne sont-ce pas vos noms de baptême ? ')","('#gorgibus', ""Ô Dieux ! Qu'entends-je dire ? Étranges noms, comment ? Et ne sont-ce pas là vos vrais noms de baptême ?"")",0.0,Match
41,"('#magdelon', ""Mon_Dieu, que vous êtes vulgaire !  Pour moi, un de mes étonnements, c'est que vous ayez pu faire une fille si spirituelle que moi.  A-t-on jamais parlé dans le beau style de Cathos ni de Magdelon ?  Et ne m'avouerez-vous pas que ce serait assez d'un de ces noms, pour décrier le plus beau roman du monde ? "")","('#madelon', ""Votre stupidité va jusques à l'extrême Que vous êtes vulgaire, avec ces sentiments, Ah ! Pour moi, le plus grand de mes étonnements Est que vous ayez fait une fille si sage, Et si pleine d'esprit. Dedans le beau langage, Ouït-on jamais nommer ? Madelon et Cathos, Et n'avouerez-vous pas, qu'enfin des noms si sots Pourraient par leur rudesse affreuse et sans seconde Décrier le Roman, le plus charmant du monde."")",0.0,Match
42,"('#cathos', ""Il est vrai, mon oncle, qu'une oreille un peu délicate pâtit furieusement à entendre prononcer ces mots-là ; et le nom de Polyxène, que ma cousine a choisi, et celui d'Aminthe que je me suis donné, ont une grâce dont il faut que vous demeuriez d'accord. "")","('#cathos', ""Mon oncle, il est très vrai, que ces sortes de noms Ont un je ne sais quoi de bas dedans leurs sons, Qui n'a rien d'attirant, qui n'a rien qui ne blesse, Et pour peu qu'une oreille, ait de délicatesse, On voit qu'elle pâtit, très furieusement Entendant prononcer ces mots-là seulement. D'Aminte le beau nom, celui de Polixène, Que ma cousine et moi nous avons pris sans peine, Ont des attraits en eux, dont vous devez d'abord Sans aucun contredit être avec moi d'accord."")",0.0,Match
43,"('#gorgibus', ""Écoutez, il n'y a qu'un mot qui serve.  Je n'entends point que vous ayez d'autres noms, que ceux, qui vous ont été donnés par vos parrains et marraines, et pour ces Messieurs, dont il est question, je connais leurs familles et leurs biens, et je veux résolument ; que vous vous disposiez à les recevoir pour maris.  Je me lasse de vous avoir sur les bras, et la garde de deux filles est une charge un peu trop pesante pour un homme de mon âge. "")","('#gorgibus', ""Écoutez toutes deux, il n'est qu'un mot qui serve, Quand je dis une chose, il faut que l'on l'observe, Et je ne prétends pas tomber jamais d'accord, De ces noms, que je vois qui vous plaisent si fort ; Quittez-les, car je veux que vous gardiez les vôtres : Je ne saurais souffrir, que vous en ayez d'autres, Que ceux que vos parrains vous ont jadis donnés. Pour ces Messieurs aussi, lesquels vous dédaignez : Je sais quels sont leurs biens, je connais leurs familles, Et comme je suis las de tant garder deux filles, Je veux qu'absolument vous songiez toutes deux À recevoir bientôt leur main avec leurs voeux. De deux filles la garde est une rude charge, Et ne peine que trop un homme de mon âge."")",0.0,Match
44,"('#cathos', ""Pour moi, mon oncle, tout ce que je vous puis dire, c'est que je trouve le mariage une chose tout à fait choquante.  Comment est-ce qu'on peut souffrir la pensée de coucher contre un homme vraiment nu ? "")","('#cathos', ""Ce que je vous puis dire ici, mon oncle hélas ! C'est que le mariage est pour moi sans appas, Que je trouve que c'est une chose choquante, Et qu'enfin le penser, seulement m'épouvante D'être couchée auprès d'un homme vraiment nu."")",0.0,Match
45,"('#magdelon', ""Souffrez que nous prenions un peu haleine parmi le beau monde de Paris, où nous ne faisons que d'arriver.  Laissez-nous faire à loisir le tissu de notre roman, et n'en pressez point tant la conclusion. "")","('#madelon', ""Mon père, notre nom, sera bientôt connu, C'est pourquoi vous devez, nous permettre sans peine, Qu'avec les beaux esprits, nous reprenions haleine. Et comme dans Paris, nous venons d'arriver, Vous devez s'il vous plaît nous laisser achever De notre beau Roman, le tissu sans exemple, Et n'en pas tant presser, par un pouvoir trop ample La conclusion."")",0.0,Match
46,"('#gorgibus', ""Il n'en faut point douter, elles sont achevées.  Encore un coup, je n'entends rien à toutes ces balivernes, je veux être maître absolu, et pour trancher toutes sortes de discours, ou vous serez mariées toutes deux, avant qu'il soit peu, ou, ma foi, vous serez religieuses : j'en fais un bon serment. "")","('#gorgibus', ""Dieux ! Qu'entends-je ici conter ? Leur folie est visible, il n'en faut plus douter. Encor un coup, sachez, que je ne puis comprendre Ces balivernes-ci, que je veux sans attendre, Et sans qu'on me réponde, être maître absolu, Et que l'on fasse enfin, ce que j'ai résolu C'est pourquoi ces Messieurs, seront dans ma famille, Où chacune de vous restera toujours fille, Ou sera par ma foi, mise dorénavant Puisque je l'ai juré, dedans un bon Couvent."")",0.0,Match
47,"('#cathos', ""Mon_Dieu, ma chère, que ton père a la forme enfoncée dans la matière !  Que son intelligence est épaisse, et qu'il fait sombre dans son âme ! "")","('#cathos', ""Quelle stupidité, que vois-je ah ! Dieu ma chère ! Que ton père a la forme avant dans la matière. Qu'il a l'intelligence épaisse, qu'il est dur, Et qu'il fait dans son âme, étrangement obscur."")",0.0,Match
48,"('#magdelon', ""Que veux-tu, ma chère ?  J'en suis en confusion pour lui.  J'ai peine à me persuader que je puisse être véritablement sa fille, et je crois que quelque aventure, un jour, me viendra développer une naissance plus illustre. "")","('#madelon', ""Ma chère que veux-tu ? Pour lui j'en suis confuse, Rien ne m'étonne tant, que de le voir si buse ; Mais je me persuade, et fort malaisément Que je puisse être aussi sa fille assurément, Et je crois qu'il viendra quelque journée heureuse, Qui par quelque aventure, et nouvelle, et fameuse Me développera, sans doute avec raison Un père plus illustre, et d'une autre maison."")",0.0,Match
49,"('#cathos', 'Je le croirais bien ; oui, il y a toutes les apparences du monde, et pour moi, quand je me regarde aussi...')","('#cathos', ""Je le croirais bien oui ; car enfin sans médire J'y vois grande apparence, et je ne sais qu'en dire Pour moi quand je me vois aussi..."")",0.0,Match
50,,"('#marotte', 'Madame...')",1.0,Deletion
51,,"('#madelon', ""Quoi ? Qu'est-ce, que voulez-vous ? Veut-on parler à moi ?"")",1.0,Deletion
52,"('#marotte', 'Voilà un laquais qui demande si vous êtes au logis, et dit que son maître vous veut venir voir. ')","('#marotte', ""Un laquais, que voilà, souhaite qu'on lui dise Si vous êtes céans, afin qu'il en instruise Son maître, qui l'envoie ici, pour le savoir, Parce, dit-il, qu'il veut bientôt vous venir voir."")",0.18,Substitution
53,"('#magdelon', ""Apprenez, sotte, à vous énoncer moins vulgairement.  Dites ; voilà un nécessaire qui demande ; si vous êtes en commodité d'être visibles."")","('#madelon', ""Et vous apprenez sotte, à moins parler vulgaire, Et dites pour vous mieux énoncer d'ordinaire. Un nécessaire est là, qui demande instamment Si vous ne pourriez pas être présentement En commodité d'être visibles."")",0.0,Match
54,"('#marotte', ""Dame, je n'entends point le latin, et je n'ai pas appris, comme vous, la filofie dans le Grand Cyre. "")","('#marotte', ""Ah ! Dame ! Je n'entends point ma foi, tout ce Latin, Madame, Et l'on ne m'a jamais, enseigné comme à vous La filofie, dedans le grand Cyre."")",0.0,Match
55,"('#magdelon', ""L'impertinente !  Le moyen de souffrir cela !  Et qui est-il le maître de ce laquais ? "")","('#madelon', ""À nous  Tenir de tels propos, voyez l'impertinente Le moyen de souffrir, toujours cette insolente ; Mais encor quel est-il ? Le Maître à ce laquais."")",0.0,Match
56,"('#marotte', ""Il me l'a nommé le Marquis de Mascarille. "")","('#marotte', ""Il me l'a nommé, le... le Marquis de de... Ouais, Le Marquis de Mascarille."")",0.0,Match
57,"('#magdelon', ""Ah ma chère !  Un marquis, oui, allez dire qu'on nous peut voir.  C'est sans doute un bel esprit, qui aura ouï parler de nous. "")","('#madelon', ""Un Marquis, ah ! Ma chère, Oui, retournez lui dire, et ne demeurez guère Qu'on nous voit à présent, c'est quelque bel esprit, Que notre renommée a jusqu'ici conduit."")",0.48,Substitution
58,"('#cathos', 'Assurément, ma chère. ')","('#cathos', 'Assurément ma chère.')",0.0,Match
59,"('#magdelon', ""Il faut le recevoir dans cette salle basse, plutôt qu'en notre chambre : ajustons un peu nos cheveux au moins, et soutenons notre réputation.  Vite venez nous tendre ici dedans le conseiller des grâces. "")","('#madelon', 'En cette salle basse Il faut le recevoir, nous aurons plus de grâce Que dedans notre chambre ; ajustons nos cheveux Au moins, et soutenons en ce jour bienheureux La réputation que nous avons acquise.')",0.0,Match
60,,"('#cathos', ""La visite me plaît, bien que j'en sois surprise."")",1.0,Deletion
61,,"('#madelon', 'Vite, venez nous tendre ici, le conseiller Des grâces.')",1.0,Deletion
62,"('#marotte', ""Par ma foi, je ne sais point quelle bête c'est-là, il faut parler chrétien, si vous voulez que je vous entende. "")","('#marotte', ""Que ce mot vient mal pour m'embrouiller ; Ma foi, je ne sais point si c'est là quelque bête, Il faut parler chrétien pour mettre dans ma tête Ce que vous voulez dire."")",0.0,Match
