quinault-comedie-sans-comedie,quinault-docteur-de-verre,Score
"('#la-roque', ""Si je ne suis trompé cette voix m'est connue, Ne t'en étonne point ma soeur, et continue."")",-,0.0
"('#polixene', ""Et cet astre naissant d'où j'ai tiré ma flamme A plus mis de feux dans mon âme Que vous n'en mettez dans les Cieux."")",-,0.0
"('#hauteroche', ""Et cet Astre naissant d'où j'ai tiré ma flamme A plus mis de feux dans mon âme Que vous n'en mettez dans les Cieux."")",-,0.0
"('#la-roque', 'Ma Maîtresse paraît, achève en diligence.')",-,0.0
"('#chevalier', ""Achève promptement ; Aminte ici s'avance."")",-,0.0
"('#aminte', ""Cet air s'adresse à moi."")",-,0.0
"('#silvanire', ""Dieu quelle vanité ! On chante ici pour moi sous un nom emprunté. Quand vous brillez sur la terre et sur l'onde Voyez-vous quelque chose au monde Égale à ses appas, ou pareille à ma foi ? Vous n'y pouvez rien voir de plus aimable qu'elle Ni rien aussi de plus fidèle Et de plus amoureux que moi. Ils chantent ensemble."")",-,0.0
"('#polixene', 'Abordez Silvanire et lui parlez sans crainte.')",-,0.0
"('#chevalier', ""Tu peux prendre le temps d'entretenir Aminte, Avec cette clarté j'irai voir cependant Qui pour troubler ta voix est assez imprudent."")",-,0.0
"('#hauteroche', 'Agréez ce devoir, Aminte ma maîtresse !')",-,0.0
"('#aminte', ""Jugez si c'est à moi que la chanson s'adresse."")",-,0.0
"('#la-roque', 'Silvanire approuvez, ces marques de ma foi !')",-,0.0
"('#silvanire', ""Jugez si la chanson s'offre à d'autre qu'à moi."")",-,0.0
"('#chevalier', 'Ami que vois-je, ha Ciel ! Ô merveille étonnante !')",-,0.0
"('#hauteroche', ""Quoi donc qu'avez-vous vu !"")",-,0.0
"('#chevalier', ""La Beauté qui m'enchante, La même que je vis dans un bal hier au soir Et qui se fit aimer dès qu'elle se fit voir."")",-,0.0
"('#la-roque', ""Vous aimez donc ma soeur, comme j'aime la vôtre."")",-,0.0
"('#chevalier', ""Ha si c'est votre soeur quel bonheur est le nôtre ? Je l'aime et dans l'ardeur dont je suis enflammé, Je ferais l'impossible afin d'en être aimé, Vous obtiendrez ma soeur au retour de mon père, De la vôtre tandis que faut-il que j'espère ? Veuillez la consulter."")",-,0.0
"('#polixene', ""Consultez votre feu Qui prend beaucoup d'amour peut en donner un peu."")",-,0.0
"('#la-fleur', ""Après avoir perdu tout mon bien dessus l'onde Je fuis avec raison la lumière et le monde : Le Bien sans la Vertu reçoit partout des prix Et la Vertu sans Bien n'obtient que des mépris. Allons voir nos enfants et pleurer notre perte, Entrons vite au logis, la porte en est ouverte. Il entre dans le logis."")",-,0.0
"('#silvanire', 'Pour nous entretenir avec plus de repos Entrons dans la maison.')",-,0.0
"('#chevalier', ""Il est fort à propos : Dans l'excès du plaisir dont j'ai l'âme accablée Je l'oubliais."")",-,0.0
"('#silvanire', 'Fuyons.')",-,0.0
"('#chevalier', 'Qui vous rend si troublée ?')",-,0.0
"('#silvanire', ""Mon père est de retour et d'un air inhumain Il marche sur nos pas un poignard à la main : Arrêtez sa fureur."")",-,0.0
"('#la-fleur', 'Ah perfide !')",-,0.0
"('#chevalier', 'Ah mon Père ! Épargnez votre fils.')",-,0.0
"('#la-fleur', ""Mon fils qu'allais-je faire ! Tous nos biens sont perdus, mais sauvons notre honneur, Mes filles ont chacune un lâche suborneur : Deux galants inconnus à mes yeux trop fidèles, En leur baisant les mains sont entrés avec elles."")",-,0.0
"('#chevalier', 'Dans une injuste erreur vos transports vous ont mis Ce sont gens de mérite et de plus mes amis.')",-,0.0
"('#la-fleur', ""Mais ils ont de l'amour."")",-,0.0
"('#chevalier', ""L'amour n'est pas un crime, L'hymen qu'ils ont pour but rend leur feu légitime ; Et puisque la fortune a dans le sein des eaux Avec tout notre espoir abîmé nos vaisseaux, Veuillez ne trouver pas leur recherche importune, Ils aimeront mes soeurs, malgré leur infortune."")",-,0.0
"('#la-fleur', 'Vous ne sauriez mon fils parler plus sagement, Je promets de leur faire un plus doux traitement.')",-,0.0
"('#hauteroche', ""Nous osons approcher après cette promesse, J'aimai toujours Aminte et je vous le confesse : Cet amour continue, et le sort rigoureux Qui peut tout sur ses biens, ne peut rien sur mes feux."")",-,0.0
"('#la-roque', ""Je suis trop amoureux pour pouvoir être avare, J'adore en Silvanire un trésor assez rare : Elle n'a rien perdu qui me soit précieux Puisqu'il lui reste encor l'éclat de ses beaux yeux !"")",-,0.0
"('#la-fleur', 'On ne saurait former de désirs plus honnêtes ; Mais pourrais-je Messieurs demander qui vous êtes.')",-,0.0
"('#hauteroche', ""Je suis né grâce au Ciel d'assez nobles parents, J'ai reçu dans la Cour mille honneurs différents : La France à m'admirer souvent s'est occupée ; Le favori du Roi m'a donné cette Épée : J'ai reçu des faveurs des gens du plus haut rang, Ce diamant de prix vient d'un Prince du sang ; J'ai l'heur d'être connu du plus grand des Monarques Et j'ai de son estime d'éclatantes marques : Il m'écoute parfois mieux que ses courtisans, Et l'habit que je porte est un de ses présents."")",-,0.0
"('#la-fleur', ""J'aurai beaucoup d'honneur de vous avoir pour gendre ; Mais quel est l'autre amant ?"")",-,0.0
"('#la-roque', ""Je m'en vais vous l'apprendre. Quant à moi pour parler avec sincérité La fortune en naissant ne m'a pas bien traité ; Mais si lors son erreur me fut injurieuse Elle a rendu depuis ma vie assez fameuse. Je me suis vu souvent un sceptre entre les mains, Dans un rang au-dessus du reste des humains : J'ai de mille Héros réglé les Destinées, J'ai vu dessous mes pieds des têtes couronnées Et j'ai par des exploits aussi fameux que grands Vengé les justes Rois et détruit les tyrans. J'ai conquis des trésors, j'ai forcé des murailles, J'ai donné des combats, j'ai gagné des batailles, Et me suis vu vingt fois possesseur glorieux De tout ce que la Terre a de plus précieux."")",-,0.0
"('#la-fleur', 'Ô Ciel que je vais voir de gloire dans ma race ! Mais quel est votre emploi, dites-le-moi de grâce ?')",-,0.0
"('#la-roque', ""Nous jouissons tous deux d'un repos assez doux."")",-,0.0
"('#la-fleur', 'Mais après votre hymen enfin que ferez-vous ? Je voudrais le savoir.')",-,0.0
"('#hauteroche', ""S'il faut qu'on vous le die, Nous ferons..."")",-,0.0
"('#la-fleur', 'Poursuivez.')",-,0.0
"('#hauteroche', 'La...')",-,0.0
"('#la-fleur', 'Quoi ?')",-,0.0
"('#la-roque', 'La Comédie.')",-,0.0
"('#la-fleur', ""La Comédie ! Hé quoi ce sont là vos grands biens, Vous n'êtes donc Messieurs que des Comédiens ? Vous pouvez autre part aller chercher des femmes, Mes filles ne sont pas des objets pour vos flammes. Quoiqu'elles soient sans bien, tournez ailleurs vos pas, Elles ont de l'honneur et vous n'en avez pas : Vous dont l'art dangereux n'a pour but que de plaire Aux désirs déréglés de l'ignorant vulgaire : Vous qui ne faites voir pour belles actions Que meurtres, ou larcins, ou prostitutions, Et qui n'apprenez rien par tous vos artifices Qu'à quitter les vertus pour pratiquer les vices ; Vous qu'un gain lâche anime et qui ne profitez Que du prix des forfaits que vous représentez."")",-,0.0
"('#jodelet', ""Enfin si l'on en croit ce vieillard vénérable Tous les comédiens ne valent pas le diable."")",-,0.0
"('#hauteroche', ""Touchant la comédie on peut dire avec vous Qu'elle fut jadis l'art le plus vile de tous : Et qu'en vos jeunes ans elle était encor pleine De mille impuretés dignes de votre haine ; Mais depuis qu'en nos jours de merveilleux esprits Ont épuré cet art par leurs doctes écrits : Ses défauts sont changés en grâces immortelles Dont le charme est sensible aux âmes les plus belles. La scène est une école où l'on enseigne plus Que l'horreur des forfaits et l'amour des vertus, Elle émeut à la fois le stupide et le sage, Montrant des passions, elle en montre l'usage : La comédie au vif nous sait représenter Tout ce que l'on doit suivre ou qu'on doit éviter. Quand le crime y paraît, il paraît effroyable, Quand la Vertu s'y montre, elle se montre aimable : Le coupable y reçoit la peine qu'il lui faut, S'il s'élève parfois, c'est pour choir de plus haut. L'Innocent y triomphe, et si le Sort l'outrage Il l'abat pour après l'élever davantage, Et c'est un art qui sait en même temps Instruire la Raison et divertir les Sens."")",-,0.0
"('#la-roque', ""À tant de vérités j'ose ajouter encore Que cet art ennoblit bien loin qu'il déshonore. De ce qu'il fut jadis il est bien différent, Son but n'est point de plaire au vulgaire ignorant ; Il ne destine plus ses beautés sans égales Qu'aux esprits éclairés et qu'aux âmes royales. Est-il honneur plus grand que d'avoir quelquefois Le bien d'être agréable au plus fameux des Rois ; De mêler quelque joie aux importantes peines De la plus vertueuse et plus grande des Reines, Et de donner relâche aux soins laborieux Du plus brillant esprit qui soit venu des cieux ; D'un ministre animé d'une âme peu commune Et grand par sa Vertu plus que par la Fortune ?"")",-,0.0
"('#la-fleur', ""Enfin si l'on vous croit, rien n'est égal à vous ; Mais Messieurs si votre art est si noble et si doux, Il faut à qui prétend l'exercer avec gloire, Beaucoup de jugement, d'adresse et de mémoire ; Il faut que rien ne manque à qui s'en veut mêler, C'est trop peu d'y bien faire, il y faut exceller."")",-,0.0
"('#hauteroche', ""Votre âme sur ce point doit être satisfaite, Nous pouvons composer une troupe parfaite ; La nôtre depuis peu s'est rompue à Paris Dont on peut aisément recueillir les débris : J'ai deux soeurs et La_Roque une encor fort charmante Que votre fils chérit d'une ardeur véhémente, Nous avons des valets, des amis, des parents À qui l'on peut donner des rôles différents ; Et si nous y joignons vos filles et leur frère, Nous ferons une troupe assez forte pour plaire. Et pour voir si l'on peut se contenter de nous, Nous ne chercherons point d'autre juge que vous."")",-,0.0
"('#la-fleur', 'Mais pour en bien juger, il faudrait, ce me semble Vous voir représenter la comédie ensemble.')",-,0.0
"('#la-roque', ""Il le faut bien ainsi, votre fils et ses soeurs Ont toujours du théâtre estimé les douceurs : Chacun d'eux sait assez de vers de comédie Pour n'avoir pas besoin qu'aucun en étudie, Et pour vous divertir par de différents vers, Nous représenteront quatre sujets divers : D'abord la pastorale où vous pourrez connaître Qu'Amour se plaît souvent sous un habit champêtre : Qu'aux champs comme à la Cour il sait donner des lois, Et qu'il frappe aussi bien les bergers que les Rois ; Nous donnerons ensuite une pièce burlesque Où nous ferons paraître une image grotesque Des défauts qu'on remarque aux vulgaires esprits, Et tels qu'il faut qu'ils soient pour donner du mépris. Ensuite vous verrez une pièce tragique Où nous vous marquerons d'un style magnifique Les maux que peut causer un désir mal réglé Dans le plus grand des coeurs, quand il est aveuglé ; Enfin sur ces essais notre troupe enhardie Fera voir un sujet de tragi-comédie, Où nous pourrons encor mêler pour ornements Des machines en l'air et des concerts charmants. Nous y ferons connaître à votre âme interdite Que toute force cède à celle du mérite, Et que de quelque effort dont on soit combattu, Les charmes les plus grands sont ceux de la Vertu."")",-,0.0
"('#la-fleur', ""L'on ne peut proposer rien de plus équitable ; Ce que vous promettez m'est beaucoup agréable, Et je ne serai point contraire à vos souhaits Pourvu que vos discours soient suivis des effets ; Mais quand, pour satisfaire au besoin qui me presse Prétendez-vous pouvoir tenir votre promesse ?"")",-,0.0
"('#hauteroche', ""Notre amour nous en presse encore plus que vous, Vous aurez dès demain un passe-temps si doux : Nos décorations en nos mains demeurées Seront en peu de temps sans peine préparées, Et demain à vos yeux nous paraîtront tous prêts À faire cet essai dans l'Hôtel_du_Marais : Il suffira ce soir de choisir quatre ouvrages Et de faire entre nous le choix des personnages."")",-,0.0
"('#la-fleur', 'Ce choix est important, et vous avez raison ; Mais pour y mieux songer entrons dans ma maison.')",-,0.0
"('#la-fleur', 'Le soleil a quitté son humide demeure Serez-vous bientôt prêts ?')",-,0.0
"('#hauteroche', ""Oui Monsieur tout à l'heure, De ce siège pour vous qu'en ces lieux on a mis Vous verrez les essais que nous avons promis."")",-,0.0
"('#la-fleur', ""Faites donc qu'à l'instant vos compagnons commencent, Je brûle de les voir."")",-,0.0
"('#hauteroche', ""Je les vois qui s'avancent, Placez-vous et surtout en cette occasion Veuillez les écouter avec attention. La Fleur se place sur un siège au coin du théâtre."")",-,0.0
"('#clomire', 'Je suis perdue ô Ciel !')",-,0.0
"('#selvage', 'Je vous tiens inhumaine ! Votre légèreté pour ce coup sera vaine.')",-,0.0
"('#clomire', 'De grâce laissez-moi !')",-,0.0
"('#forestan', 'Je serais un grand fat De laisser dans ma main un mets si délicat.')",-,0.0
"('#clomire', 'Je suis morte !')",-,0.0
"('#selvage', ""non, non, que rien ne vous étonne Le mal qu'on vous fera n'a fait mourir personne."")",-,0.0
"('#clomire', ""Quoi vous cessez pour moi d'être respectueux ?"")",-,0.0
"('#forestan', ""La Fortune et l'Amour se moquent des honteux."")",-,0.0
"('#selvage', ""Je sais que pour mari l'on vous donne Filène, Qui va de tous mes soins cueillir le fruit sans peine."")",-,0.0
"('#forestan', ""L'autre jour même encor je le vis couronné Du chapeau de jasmins que je vous ai donné."")",-,0.0
"('#selvage', ""Plus ardent qu'un lion qui donne sur sa proie Je prétends bien tantôt m'en donner à coeur joie."")",-,0.0
"('#forestan', ""Vous passerez le pas et c'est à cette fois Que je vais mettre enfin votre honneur aux abois."")",-,0.0
"('#selvage', 'Laisse-moi la mener dans ma grotte ancienne.')",-,0.0
"('#forestan', ""Dans ta grotte ! Ha j'entends la mener dans la mienne."")",-,0.0
"('#selvage', ""Vois-tu ! Tous tes discours sont ici superflus, Tu l'auras seulement quand je n'en voudrai plus."")",-,0.0
"('#forestan', ""Tu conteras deux fois, tu contes sans ton hôte, Je prétends bien me battre avant que l'on me l'ôte."")",-,0.0
"('#selvage', ""Tu l'aurais le premier ?"")",-,0.0
"('#forestan', ""Quoi je ne l'aurais pas ? Je l'aurai !"")",-,0.0
"('#selvage', 'Toi ?')",-,0.0
"('#forestan', 'Oui moi.')",-,0.0
"('#selvage', 'Ma foi tu mentiras.')",-,0.0
"('#forestan', ""C'est toi qui mentiras."")",-,0.0
"('#selvage', 'Crains que je ne me fâche !')",-,0.0
"('#forestan', 'Moi te craindre, qui toi des bouquins le plus lâche ?')",-,0.0
"('#selvage', ""Bon pour toi, t'ai-je pas cent fois fait filer doux ?"")",-,0.0
"('#forestan', ""Sus il en faut venir des injures aux coups, Que le plus fort l'emporte."")",-,0.0
"('#clomire', 'Où me vois-je réduite ! Mais durant leur combat, il faut prendre la fuite. Elle fuit.')",-,0.0
"('#selvage', 'Le grand coup que voici.')",-,0.0
"('#forestan', 'Le grand coup que voilà.')",-,0.0
"('#selvage', ""Plût au Ciel que quelqu'un vint mettre le holà."")",-,0.0
"('#forestan', ""Demandons-lui quartier, s'il redouble il m'achève."")",-,0.0
"('#selvage', 'Attends pour un moment, compagnon faisons trêve.')",-,0.0
"('#forestan', ""J'y consens de bon coeur, car j'en ai grand besoin ; Mais Clomire."")",-,0.0
"('#selvage', ""Ha ma foi je crois qu'elle est bien loin ; Nous perdrions nos pas la suivant davantage, Qu'en dis-tu ?"")",-,0.0
"('#forestan', ""Qu'ai-je à dire au moment que j'enrage ?"")",-,0.0
"('#selvage', 'Tout mon dos est en sang.')",-,0.0
"('#forestan', ""Il l'est moins que le mien, Je suis meurtri de coups et tout cela pour rien."")",-,0.0
"('#selvage', ""N'est-ce être pas bien fat, que lâcher ainsi prise ?"")",-,0.0
"('#forestan', ""C'est par ton peu d'esprit."")",-,0.0
"('#selvage', 'Plutôt par ta sottise, Il fallait craindre tout de sa sotte Vertu ; Devais-tu la quitter ?')",-,0.0
"('#forestan', 'Pourquoi la quittais-tu ?')",-,0.0
"('#selvage', ""Ne prenons plus querelle ; il y va trop du nôtre, Avouons-nous tous deux aussi sot l'un que l'autre : Si nous la retrouvons, il faut s'accorder mieux, Et ne se battre plus ainsi pour ses beaux yeux."")",-,0.0
"('#forestan', ""Ses parents pour mari lui destinent Filène, Faisons que ce rival ait part à notre peine : Tâchons de l'attraper et le rouant de coups, Mettons-le hors d'état de se voir son époux."")",-,0.0
"('#selvage', 'Il le faudra surtout prendre à notre avantage.')",-,0.0
"('#forestan', 'Fort bien, mais on nous suit, passons dans ce bocage.')",-,0.0
"('#dorise', ""N'approchons pas, je vois des satyres passer."")",-,0.0
"('#montan', ""Ils entrent dans le bois, vous pouvez avancer ; Et quand sous cet habit ils vous verraient paraître, Il serait malaisé qu'ils vous pussent connaître : Moi qui vous élevai jadis si chèrement, Je vous ai méconnue en ce déguisement. Nous sommes seuls, enfin contentez mon envie, Apprenez-moi quel Dieu vous a sauvé la vie, Et me faites savoir pour quel sujet aussi Vous cachiez votre sexe en arrivant ici."")",-,0.0
"('#dorise', ""En faveur de vos soins pris pour moi dès l'enfance Ces secrets pour vous seul seront en évidence ; Ce n'est pas sans sujet qu'on croit dans ce hameau Que les flots soulevés m'ont servi de tombeau : Vous savez que ma mère au gré de notre flamme Me promit autrefois à Filène pour femme, Et m'emmena devant, qu'il me donna la foi, Pour accomplir un voeu fait à Délos pour moi."")",-,0.0
"('#montan', ""Oui, je ne sais que trop qu'en ce fatal voyage Notre vaisseau périt par un subit orage : Ses débris sur nos bords par les vents apportés Nous apprirent trop tôt ces tristes vérités."")",-,0.0
"('#dorise', ""On mit l'esquif en mer au point de notre perte, Je pris heureusement l'occasion offerte, J'y passai sans ma mère, et le vent furieux Fit briser le vaisseau tôt après à nos yeux, Et l'orage cessant un vent plus favorable Dans l'Île_de_Délos nous poussa sur le sable ; Là pour ne laisser pas mon honneur en danger, Je changeai mon habit à celui d'un berger. Et quelques mois après un vaisseau de Sicile Sur qui je m'embarquai, me porta dans cette île, Où j'ai su que l'ingrat qui me sût embraser, Aime ma soeur Clomire et prétend l'épouser ; Avant qu'on reconnaisse en ce lieu mon visage Je veux entretenir en secret ce volage, Vous m'avez dit que seul il vient souvent ici, J'y viens pour lui parler."")",-,0.0
"('#montan', 'Je crois que le voici.')",-,0.0
"('#dorise', ""C'est lui-même en effet."")",-,0.0
"('#montan', 'Mais votre teint se trouble ?')",-,0.0
"('#dorise', 'Hélas à son abord ma faiblesse redouble !')",-,0.0
"('#montan', 'Comment vous le fuyez ?')",-,0.0
"('#dorise', ""Quoi ne voyez-vous pas Dafnis qui d'assez près marche dessus ses pas !"")",-,0.0
"('#montan', 'Je le vois, cachez-vous.')",-,0.0
"('#dorise', ""C'est ce que je désire."")",-,0.0
"('#montan', ""J'attendrai qu'il soit seul pour aller vous le dire."")",-,0.0
"('#filene', ""Qu'il est doux de se voir du tumulte éloigné ! Quiconque a de l'amour, est bien accompagné : Avançons vers ce bois, le silence à toute heure Y fait avec le frais sa demeure."")",-,0.0
"('#dafnis', 'Demeure.')",-,0.0
"('#filene', ""Ces rochers sont atteints de mon mal inouï, Poursuis, poursuis Écho m'es-tu bien ouï ?..."")",-,0.0
"('#dafnis', 'Oui !')",-,0.0
"('#filene', ""Clomire me témoigne une froideur extrême, Que faut-il que je fasse afin qu'elle m'aime ?"")",-,0.0
"('#dafnis', 'Aime.')",-,0.0
"('#filene', ""Mais quoi si mon amour attire son mépris, Que faire si l'ingrate est sourde à mes cris ?"")",-,0.0
"('#dafnis', 'Ris.')",-,0.0
"('#filene', 'Rire au point de mourir, ta réponse est étrange, Comment punir cette âme encline au change ?')",-,0.0
"('#dafnis', 'Change.')",-,0.0
"('#filene', 'Si je pouvais changer ton conseil serait bon, De son époux enfin aurai-je le nom ?')",-,0.0
"('#dafnis', 'Non.')",-,0.0
"('#filene', 'Non, ha cette réponse est tout à fait cruelle ! Crois-tu que ta froideur soit immortelle ?')",-,0.0
"('#dafnis', 'Telle.')",-,0.0
"('#filene', ""Telle ! Mais quel berger peut prétendre à sa foi, Qui soit de l'obtenir plus digne que moi ?"")",-,0.0
"('#dafnis', 'Moi.')",-,0.0
"('#filene', ""Toi ? Quoi c'est mon rival qui vient de me répondre !"")",-,0.0
"('#dafnis', ""Oui c'est moi qui partout aspire à te confondre, Clomire est au-dessus des mérites d'un Roi ; Mais je suis d'elle au moins bien plus digne que toi."")",-,0.0
"('#filene', ""Ne nous emportons point ; si j'en crois l'apparence, Elle met entre nous assez de différence, Je lui plais."")",-,0.0
"('#dafnis', ""Ton orgueil se l'est imaginé."")",-,0.0
"('#filene', ""Ce différent peut être aisément terminé. Récitons ses faveurs et puis sans plus attendre Le moins favorisé cessera d'y prétendre ?"")",-,0.0
"('#dafnis', ""Commence, je t'entends ?"")",-,0.0
"('#filene', ""Quand près de ce hameau Quelqu'un de mes moutons se mêle à son troupeau, La Bergère le flatte, et puis me le demande."")",-,0.0
"('#dafnis', ""Une faveur semblable à mon sens n'est pas grande, Je veux fort volontiers te céder en ce point, On peut aimer le bien d'un que l'on n'aime point."")",-,0.0
"('#filene', ""Sitôt qu'elle me voit par un heureux présage, Une couleur de feu paraît sur son visage : La blancheur de son teint qui ferait honte aux lys, Se change en la rougeur des oeillets frais cueillis."")",-,0.0
"('#dafnis', 'Ce changement fait voir que ton attente est vaine, Un visage enflammé ne témoigne que haine.')",-,0.0
"('#filene', 'Si durant son repas je viens sans y songer, La belle à mon abord perd le soin de manger.')",-,0.0
"('#dafnis', 'De même la brebis qui voit le loup paraître, À son funeste abord quitte le soin de paître.')",-,0.0
"('#filene', ""Lorsque je la rencontre au bord d'un clair ruisseau La Bergère se joue à me jeter de l'eau, Ces privautés font voir que j'ai l'heur de lui plaire, Tu le dois avouer."")",-,0.0
"('#dafnis', ""Je soutiens le contraire, Tu ne dois présager rien de bon de ce jeu : Elle jette cette eau pour éteindre ton feu, Et pour tâcher de mettre en imitant Diane, Le timbre d'Actéon dessus ton front profane."")",-,0.0
"('#filene', ""Ton esprit mal tourné conçoit tout à rebours : Mais tu n'es pas du moins si bien dans tes amours. Dis-moi quelle faveur t'a fait cette bergère ?"")",-,0.0
"('#dafnis', ""Un causeur comme toi dirait ce qu'il faut taire, Je cacherai bien mieux nos amoureux secrets ; Les vrais amants surtout doivent être discrets."")",-,0.0
"('#filene', 'Quoi tu ne diras rien ?')",-,0.0
"('#dafnis', ""Je ne dois rien t'apprendre."")",-,0.0
"('#filene', ""Mais tu me l'as promis ?"")",-,0.0
"('#dafnis', ""J'ai promis de t'entendre."")",-,0.0
"('#filene', ""Quoi j'aurais cet affront ?"")",-,0.0
"('#dafnis', ""Sans s'emporter si fort Réservons à Clomire à nous mettre d'accord : Consultons sur son choix cette beauté si chère, Et cédons à celui qu'à l'autre elle préfère."")",-,0.0
"('#filene', 'Suivras-tu son arrêt ?')",-,0.0
"('#dafnis', 'Oui fût-il contre moi.')",-,0.0
"('#filene', ""Tu dois t'en assurer : avançons je la vois ?"")",-,0.0
"('#dafnis', 'Où courez-vous beauté qui causez nos martyres, Craignez-vous quelque chose ?')",-,0.0
