moliere-impromptu-versailles,sand-roi-attend,Score
"('#moliere', ""Te le dirai-je, Araspe ? Il m'a trop bien servi ;  Augmentant mon pouvoir... Te le dirai-je, Araspe ?... etc... Iras-tu, ma chère âme, et ce funeste honneur, Te plaît-il aux dépens de tout notre bonheur ? Hélas ! Je vois trop bien..., etc... Iras-tu, ma chère âme..., etc... Non, je te connais mieux..., etc... J'avais songé une comédie où il y aurait eu un poète, que j'aurais représenté moi-même, qui serait venu pour offrir une pièce à une troupe de comédiens nouvellement arrivés de la campagne.  Avez-vous, aurait-il dit, des acteurs et des actrices, qui soient capables de bien faire valoir un ouvrage, car ma pièce est une pièce...  Eh !  Monsieur, auraient répondu les comédiens, nous avons des hommes et des femmes qui ont été trouvés raisonnables partout où nous avons passé.  Et qui fait les rois parmi vous ?  Voilà un acteur qui s'en démêle parfois.  Qui !  Ce jeune homme bien fait ?  Vous moquez-vous ?  Il faut un Roi qui soit gros et gras comme quatre.  Un Roi, morbleu, qui soit entripaillé comme il faut ?  Un Roi d'une vaste circonférence, et qui puisse remplir un trône de la belle manière !  La belle chose qu'un Roi d'une taille galante !  Voilà déjà un grand défaut ; mais que je l'entende un peu réciter une douzaine de vers.  Là-dessus le comédien aurait récité, par exemple, quelques vers du roi de Nicomède :  Le plus naturellement qu'il aurait été possible.  Et le poète : comment vous appelez cela réciter ?  C'est se railler ; il faut dire les choses avec emphase.  Écoutez-moi.  Voyez-vous cette posture ?  Remarquez bien cela.  Là, appuyer comme il faut le dernier vers.  Voilà ce qui attire l'approbation, et fait faire le brouhaha.  Mais, Monsieur, aurait répondu le comédien, il me semble qu'un Roi qui s'entretient tout seul avec son Capitaine des Gardes parle un peu plus humainement, et ne prend guère ce ton de démoniaque.  Vous ne savez ce que c'est.  Allez-vous-en réciter comme vous faites, vous verrez si vous ferez faire aucun Ah !  Voyons un peu une scène d'amant et d'amante.  Là-dessus une comédienne et un comédien auraient fait une scène ensemble, qui est celle de Camille et de Curiace.  Tout de même que l'autre, et le plus naturellement qu'ils auraient pu.  Et le poète aussitôt : vous vous moquez, vous ne faites rien qui vaille, et voici comme il faut réciter cela.  Voyez-vous comme cela est naturel et passionné ?  Admirez ce visage riant qu'elle conserve dans les plus grandes afflictions.  Enfin, voilà l'idée, et il aurait parcouru de même tous les acteurs et toutes les actrices.  Imitant Montfleury, excellent acteur de l'hôtel de Bourgogne Imitant Mademoiselle Beauchâteau, comédienne de l'hôtel de Bourgogne."")",-,0.0
"('#mademoiselle-de-brie', ""Je trouve cette idée assez plaisante, et j'en ai reconnu là dès le premier vers.  Continuez, je vous prie. "")",-,0.0
"('#moliere', ""Percé jusques au fond du coeur, etc... L'inimitié qui règne entre les deux partis,  n'y rend pas de l'honneur... etc. Et celui-ci, le reconnaîtrez-vous bien dans Pompée de Sertorius ?  Imitant Hauteroche, aussi comédien."")",-,0.0
"('#mademoiselle-de-brie', 'Je le reconnais un peu, je pense. ')",-,0.0
"('#moliere', 'Seigneur, Polybe est mort... etc. Et celui-ci ? Imitant De Villiers, aussi comédien.')",-,0.0
"('#mademoiselle-de-brie', ""Oui, je sais qui c'est, mais il y en a quelques-uns d'entre eux, je crois, que vous auriez peine à contrefaire. "")",-,0.0
"('#moliere', ""Mon_Dieu, il n'y en a point qu'on ne pût attraper par quelque endroit si je les avais bien étudiés ; mais vous me faites perdre un temps qui nous est cher.  Songeons à nous, de grâce, et ne nous amusons point davantage à discourir.  Vous, prenez garde à bien représenter avec moi votre rôle de Marquis.  Parlant à de La Grange."")",-,0.0
"('#mademoiselle-moliere', 'Toujours des marquis ! ')",-,0.0
"('#moliere', ""Oui, toujours des Marquis, que diable voulez-vous qu'on prenne pour un caractère agréable de théâtre ; le Marquis aujourd'hui est le plaisant de la comédie.  Et comme dans toutes les comédies anciennes on voit toujours un valet bouffon qui fait rire les auditeurs, de même dans toutes nos pièces de maintenant, il faut toujours un marquis ridicule qui divertisse la compagnie. "")",-,0.0
"('#mademoiselle-bejart', ""Il est vrai, on ne s'en saurait passer. "")",-,0.0
"('#moliere', 'Pour vous, Mademoiselle... ')",-,0.0
"('#mademoiselle-du-parc', ""Mon_Dieu, pour moi, je m'acquitterai fort mal de mon personnage, et je ne sais pas pourquoi vous m'avez donné ce rôle de façonnière. "")",-,0.0
"('#moliere', ""Mon_Dieu, Mademoiselle, voilà comme vous disiez lorsque l'on vous donna celui de la Critique de l'École des femmes ; cependant vous vous en êtes acquittée à merveille, et tout le monde est demeuré d'accord qu'on ne peut pas mieux faire que vous avez fait, croyez-moi, celui-ci sera de même, et vous le jouerez mieux que vous ne pensez. "")",-,0.0
"('#mademoiselle-du-parc', ""Comment cela se pourrait-il faire, car il n'y a point de personne au monde qui soit moins façonnière que moi. "")",-,0.0
"('#moliere', ""Cela est vrai, et c'est en quoi vous faites mieux voir que vous êtes excellente comédienne, de bien représenter un personnage qui est si contraire à votre humeur : tâchez donc de bien prendre tous le caractère de vos rôles, et de vous figurer que vous êtes ce que vous représentez.  Vous faites le poète, vous, et vous devez vous remplir de ce personnage, marquer cet air pédant qui se conserve parmi le commerce du beau monde, ce ton de voix sentencieux, et cette exactitude de prononciation qui appuie sur toutes les syllabes, et ne laisse échapper aucune lettre de la plus sévère orthographe.  Pour vous, vous faites un honnête homme de Cour, comme vous avez déjà fait dans la Critique de l'École des femmes, c'est-à-dire que vous devez prendre un air posé, un ton de voix naturel, et gesticuler le moins qu'il vous sera possible.  Pour vous, je n'ai rien à vous dire.  Vous, vous représentez une de ces femmes, qui pourvu qu'elles ne fassent point l'amour, croient que tout le reste leur est permis, de ces femmes qui se retranchent toujours fièrement sur leur pruderie, regardent un chacun de haut en bas, et veulent que toutes les plus belles qualités que possèdent les autres, ne soient rien en comparaison d'un misérable honneur dont personne ne se soucie, ayez toujours ce caractère devant les yeux, pour en bien faire les grimaces.  Pour vous, vous faites une de ces femmes qui pensent être les plus vertueuses personnes du monde pourvu qu'elles sauvent les apparences, de ces femmes qui croient que le péché n'est que dans le scandale, qui veulent conduire doucement les affaires qu'elles ont sur le pied d'attachement honnête, et appellent amis ce que les autres nomment galants, entrez bien dans ce caractère.  Vous, vous faites le même personnage que dans la Critique, et je n'ai rien à vous dire,non plus qu'à Mademoiselle Du Parc.  Pour vous, vous représentez une de ces personnes qui prêtent doucement des charités à tout le monde, de ces femmes qui donnent toujours le petit coup de langue en passant, et seraient bien fâchées d'avoir souffert qu'on eût dit du bien du prochain ; je crois que vous ne vous acquitterez pas mal de ce rôle.  Et pour vous, vous êtes la soubrette de la précieuse, qui se mêle de temps en temps dans la conversation, et attrape, comme elle peut, tous les termes de sa maîtresse ; je vous dis tous vos caractères, afin que vous vous les imprimiez fortement dans l'esprit.  Commençons maintenant à répéter, et voyons comme cela ira.  Ah !  Voici justement un fâcheux, il ne nous fallait plus que cela.  À Du Croisy. À Brécourt. À de La Grange. À Mademoiselle Béjart. À Mademoiselle de Brie. À Mademoiselle Molière. À Mademoiselle Du Croisy. À Mademoiselle Hervé."")",-,0.0
"('#la-thorilliere', 'Bonjour, Monsieur Molière. ')",-,0.0
"('#moliere', ""Monsieur, votre serviteur.  La peste soit de l'homme ! "")",-,0.0
"('#la-thorilliere', 'Comment vous en va ? ')",-,0.0
"('#moliere', 'Fort bien pour vous servir.  Mesdemoiselles, ne... ')",-,0.0
"('#la-thorilliere', ""Je viens d'un lieu où j'ai bien dit du bien de vous. "")",-,0.0
"('#moliere', ""Je vous suis obligé.  Que le diable t'emporte.  Ayez un peu soin... "")",-,0.0
"('#la-thorilliere', ""Vous jouez une pièce nouvelle aujourd'hui ? "")",-,0.0
"('#moliere', ""Oui, Monsieur.  N'oubliez pas... "")",-,0.0
"('#la-thorilliere', ""C'est le Roi qui vous la fait faire ? "")",-,0.0
"('#moliere', 'Oui, Monsieur.  De grâce, songez... ')",-,0.0
"('#la-thorilliere', ""Comment l'appelez-vous ? "")",-,0.0
"('#moliere', 'Oui, Monsieur. ')",-,0.0
"('#la-thorilliere', 'Je vous demande comment vous la nommez ? ')",-,0.0
"('#moliere', ""Ah !  Ma foi, je ne sais.  Il faut, s'il vous plaît, que vous... "")",-,0.0
"('#la-thorilliere', 'Comment serez-vous habillés ? ')",-,0.0
"('#moliere', 'Comme vous voyez.  Je vous prie... ')",-,0.0
"('#la-thorilliere', 'Quand commencerez-vous ? ')",-,0.0
"('#moliere', 'Quand le Roi sera venu.  Au diantre le questionneur ! ')",-,0.0
"('#la-thorilliere', ""Quand croyez-vous qu'il vienne ? "")",-,0.0
"('#moliere', ""La peste m'étouffe, Monsieur, si je le sais. "")",-,0.0
"('#la-thorilliere', 'Savez-vous point... ')",-,0.0
"('#moliere', ""Tenez, Monsieur, je suis le plus ignorant homme du monde, je ne sais rien de tout ce que vous pourrez me demander, je vous jure.  J'enrage, ce bourreau vient avec un air tranquille vous faire des questions, et ne se soucie pas qu'on ait en tête d'autres affaires. "")",-,0.0
"('#la-thorilliere', 'Mesdemoiselles, votre serviteur. ')",-,0.0
"('#moliere', ""Ah !  Bon, le voilà d'un autre côté. "")",-,0.0
"('#la-thorilliere', ""Vous voilà belle comme un petit ange.  Jouez-vous toutes deux aujourd'hui ?  En regardant Mademoiselle Hervé."")",-,0.0
"('#mademoiselle-du-croisy', 'Oui, Monsieur. ')",-,0.0
"('#la-thorilliere', ""Sans vous la comédie ne vaudrait pas grand'chose. "")",-,0.0
"('#moliere', 'Vous ne voulez pas faire en aller cet homme-là ? ')",-,0.0
"('#mademoiselle-de-brie', 'Monsieur, nous avons ici quelque chose à répéter ensemble. ')",-,0.0
"('#la-thorilliere', ""Ah !  Parbleu je ne veux pas vous empêcher, vous n'avez qu'à poursuivre. "")",-,0.0
"('#mademoiselle-de-brie', 'Mais... ')",-,0.0
"('#la-thorilliere', ""Non, non, je serais fâché d'incommoder personne, faites librement ce que vous avez à faire. "")",-,0.0
"('#mademoiselle-de-brie', 'Oui, mais... ')",-,0.0
"('#la-thorilliere', 'Je suis homme sans cérémonie, vous dis-je, et vous pouvez répéter ce qui vous plaira. ')",-,0.0
"('#moliere', ""Monsieur, ces demoiselles ont peine à vous dire qu'elles souhaiteraient fort que personne ne fût ici pendant cette répétition ? "")",-,0.0
"('#la-thorilliere', ""Pourquoi, il n'y a point de danger pour moi ?"")",-,0.0
"('#moliere', ""Monsieur, c'est une coutume qu'elles observent, et vous aurez plus de plaisir quand les choses vous surprendront. "")",-,0.0
"('#la-thorilliere', ""Je m'en vais donc dire que vous êtes prêts. "")",-,0.0
"('#moliere', 'Point du tout, Monsieur, ne vous hâtez pas, de grâce. ')",-,0.0
"('#moliere', ""Ah !  Que le monde est plein d'impertinents !  Or sus, commençons.  Figurez-vous donc premièrement que la scène est dans l'antichambre du Roi, car c'est un lieu où il se passe tous les jours des choses assez plaisantes.  Il est aisé de faire venir là toutes les personnes qu'on veut, et on peut trouver des raisons même pour y autoriser la venue des femmes que j'introduis.  La Comédie s'ouvre par deux Marquis qui se rencontrent.  Souvenez-vous bien, vous de venir comme je vous ai dit, là avec cet air qu'on nomme le bel air, peignant votre perruque, et grondant une petite chanson entre vos dents.  La, la, la, la, la, la.  Rangez-vous donc vous autres, car il faut du terrain à deux Marquis, et ils ne sont pas gens à tenir leur personne dans un petit espace, allons parlez. "")",-,0.0
"('#la-grange', 'Bonjour Marquis.')",-,0.0
"('#moliere', ""Mon_Dieu, ce n'est point là le ton d'un Marquis, il faut le prendre un peu plus haut, et la plupart de ces Messieurs affectent une manière de parler particulière pour se distinguer du commun.  Bonjour, Marquis, recommencez donc. "")",-,0.0
"('#la-grange', 'Bonjour, Marquis.')",-,0.0
"('#moliere', 'Ah !  Marquis, ton serviteur. ')",-,0.0
"('#la-grange', 'Que fais-tu là ? ')",-,0.0
"('#moliere', ""Parbleu tu vois, j'attends que tous ces Messieurs aient débouché la porte pour présenter là mon visage. "")",-,0.0
"('#la-grange', ""Têtebleu quelle foule, je n'ai garde de m'y aller frotter, et j'aime mieux entrer des derniers. "")",-,0.0
"('#moliere', ""Il y a là vingt gens qui sont fort assurés de n'entrer point, et qui ne laissent pas de se presser, et d'occuper toutes les avenues de la porte. "")",-,0.0
"('#la-grange', ""Crions nos deux noms à l'huissier, afin qu'il nous appelle. "")",-,0.0
"('#moliere', 'Cela est bon pour toi, mais pour moi je ne veux pas être joué par Molière. ')",-,0.0
"('#la-grange', ""Je pense pourtant, Marquis, que c'est toi qu'il joue dans la Critique. "")",-,0.0
"('#moliere', ""Moi ?  Je suis ton valet, c'est toi-même en propre personne. "")",-,0.0
"('#la-grange', ""Ah !  Ma foi, tu es bon de m'appliquer ton personnage. "")",-,0.0
"('#moliere', ""Parbleu, je te trouve plaisant de me donner ce qui t'appartient. "")",-,0.0
"('#la-grange', 'Ha, ha, ha, cela est drôle. ')",-,0.0
"('#moliere', 'Ha, ha, ha, cela est bouffon. ')",-,0.0
"('#la-grange', ""Quoi !  Tu veux soutenir que ce n'est pas toi qu'on joue dans le Marquis de la Critique ? "")",-,0.0
"('#moliere', ""Il est vrai, c'est moi.  Détestable, morbleu détestable, tarte à la crème !  C'est moi, c'est moi, assurément, c'est moi. "")",-,0.0
"('#la-grange', ""Oui, parbleu c'est toi, tu n'as que faire de railler ; et si tu veux, nous gagerons, et verrons qui a raison des deux. "")",-,0.0
"('#moliere', 'Et que veux-tu gager encore ? ')",-,0.0
"('#la-grange', ""Je gage cent pistoles que c'est toi."")",-,0.0
"('#moliere', ""Et moi, cent pistoles que c'est toi. "")",-,0.0
"('#la-grange', 'Cent pistoles comptant.')",-,0.0
"('#moliere', 'Comptant.  Quatre-vingt-dix pistoles sur Amyntas, et dix pistoles comptant. ')",-,0.0
"('#la-grange', 'Je le veux. ')",-,0.0
"('#moliere', 'Cela est fait. ')",-,0.0
"('#la-grange', 'Ton argent court grand risque. ')",-,0.0
"('#moliere', 'Le tien est bien aventuré. ')",-,0.0
"('#la-grange', 'À qui nous en rapporter ? ')",-,0.0
"('#moliere', 'Voici un homme qui nous jugera.  Chevalier.')",-,0.0
"('#brecourt', 'Quoi ? ')",-,0.0
"('#moliere', ""Bon voilà l'autre qui prend le ton de Marquis !  Vous ai-je pas dit que vous faites un rôle, où l'on doit parler naturellement ? "")",-,0.0
"('#brecourt', 'Il est vrai. ')",-,0.0
"('#moliere', 'Allons donc, Chevalier ! ')",-,0.0
"('#brecourt', 'Quoi ? ')",-,0.0
"('#moliere', 'Juge-nous un peu sur une gageure que nous avons faite. ')",-,0.0
"('#brecourt', 'Et quelle ? ')",-,0.0
"('#moliere', ""Nous disputons qui est le Marquis de la critique de Molière : il gage que c'est moi, et moi je gage que c'est lui. "")",-,0.0
"('#brecourt', ""Et moi, je juge que ce n'est ni l'un ni l'autre, vous êtes fous tous deux, de vouloir vous appliquer ces sortes de choses, et voilà de quoi j'ouïs l'autre jour se plaindre Molière, parlant à des personnes qui le chargeaient de même chose que vous.  Il disait que rien ne lui donnait du déplaisir comme d'être accusé de regarder quelqu'un dans les portraits qu'il fait.  Que son dessein est de peindre les moeurs sans vouloir toucher aux personnes ; et que tous les personnages qu'il représente sont des personnages en l'air, et des fantômes proprement qu'il habille à sa fantaisie pour réjouir les spectateurs.  Qu'il serait bien fâché d'y avoir jamais marqué qui que ce soit ; et que si quelque chose était capable de le dégoûter de faire des comédies, c'était les ressemblances qu'on y voulait toujours trouver, et dont ses ennemis tâchaient malicieusement d'appuyer la pensée pour lui rendre de mauvais offices auprès de certaines personnes à qui il n'a jamais pensé.  Et en effet je trouve qu'il a raison, car pourquoi vouloir je vous prie appliquer tous ses gestes et toutes ses paroles, et chercher à lui faire des affaires, en disant hautement il joue un tel, lorsque ce sont des choses qui peuvent convenir à cent personnes ?  Comme l'affaire de la comédie est de représenter en général tous les défauts des hommes, et principalement des hommes de notre siècle ; il est impossible à Molière de faire aucun caractère qui ne rencontre quelqu'un dans le monde ; et s'il faut qu'on l'accuse d'avoir songé toutes les personnes où l'on peut trouver les défauts qu'il peint, il faut sans doute qu'il ne fasse plus de comédies. "")",-,0.0
"('#moliere', 'Ma foi, Chevalier, tu veux justifier Molière, et épargner notre ami que voilà. ')",-,0.0
"('#la-grange', ""Point du tout, c'est toi qu'il épargne, et nous trouverons d'autres juges. "")",-,0.0
"('#moliere', ""Soit ; mais, dis-moi, Chevalier, crois-tu pas que ton Molière est épuisé maintenant, et qu'il ne trouvera plus de matière pour... "")",-,0.0
"('#brecourt', ""Plus de matière ?  Eh, mon pauvre marquis, nous lui en fournirons toujours assez, et nous ne prenons guère le chemin de nous rendre sages pour tout ce qu'il fait, et tout ce qu'il dit."")",-,0.0
"('#moliere', ""Attendez, il faut marquer davantage tout cet endroit, écoutez-le moi dire un peu.  Et qu'il ne trouvera plus de matière pour...  Plus de matière !  Hé, mon pauvre marquis, nous lui en fournirons toujours assez, et nous ne prenons guère le chemin de nous rendre sages pour tout ce qu'il fait et tout ce qu'il dit.  Crois-tu qu'il ait épuisé dans ses comédies tout le ridicule des hommes ; et sans sortir de la Cour, n'a-t-il pas encore vingt caractères de gens où il n'a point touché. N'a-t-il pas, par exemple, ceux qui se font les plus grandes amitiés du monde, et qui le dos tourné, font galanterie de se déchirer l'un l'autre ?  N'a-t-il pas ces adulateurs à outrance, ces flatteurs insipides qui n'assaisonnent d'aucun sel les louanges qu'ils donnent, et dont toutes les flatteries ont une douceur fade qui fait mal au coeur à ceux qui les écoutent ?  N'a-t-il pas ces lâches courtisans de la faveur, ces perfides adorateurs de la fortune, qui vous encensent dans la prospérité, et vous accablent dans la disgrâce ?  N'a-t-il pas ceux qui sont toujours mécontents de la Cour, ces suivants inutiles, ces incommodes assidus, ces gens, dis-je, qui pour services ne peuvent compter que des importunités, et qui veulent que l'on les récompense d'avoir obsédé le prince dix ans durant ?  N'a-t-il pas ceux qui caressent également tout le monde, qui promènent leurs civilités à droit et à gauche, et courent à tous ceux qu'ils voient avec les mêmes embrassades et les mêmes protestations d'amitié ?  Monsieur, votre très humble serviteur ; Monsieur, je suis tout à votre service.  Tenez-moi des vôtres, mon cher.  Faites état de moi, Monsieur, comme du plus chaud de vos amis.  Monsieur, je suis ravi de vous embrasser.  Ah ! Monsieur, je ne vous voyais pas.  Faites-moi la grâce de m'employer, soyez persuadé que je suis entièrement à vous.  Vous êtes l'homme du monde que je révère le plus ; il n'y a personne que j'honore à l'égal de vous.  Je vous conjure de le croire ; je vous supplie de n'en point douter, serviteur, très humble valet.  Va, va, Marquis, Molière aura toujours plus de sujets qu'il n'en voudra, et tout ce qu'il a touché jusqu'ici n'est rien que bagatelle, au prix de ce qui reste.  Voilà à peu près comme cela doit être joué. "")",-,0.0
"('#brecourt', ""C'est assez. "")",-,0.0
"('#moliere', 'Poursuivez. ')",-,0.0
"('#brecourt', 'Voici Climène et Élise.')",-,0.0
"('#moliere', ""Là-dessus vous arrivez toutes deux.  Prenez bien garde vous à vous déhancher comme il faut, et à faire bien des façons, cela vous contraindra un peu, mais qu'y faire, il faut parfois se faire violence.  À Mademoiselle du Parc."")",-,0.0
"('#mademoiselle-moliere', ""Certes, Madame, je vous ai reconnue de loin, et j'ai bien vu à votre air que ce ne pouvait être une autre que vous. "")",-,0.0
