,dufresny-adieux-des-officiers,moliere-psyche,Cost,Operation Type
13,"('#mars', ""Mon devoir m'arrache d'auprès de vous, charmante Vénus, il faut vous quitter dans le temps que votre coeur commençait à s'ébranler pour moi ; quel contretemps ! "")","('#venus', ""Cessez, cessez pour moi tous vos chants d'allégresse : De si rares honneurs ne m'appartiennent pas, Et l'hommage qu'ici votre bonté m'adresse Doit être réservé pour de plus doux appas. C'est une trop vieille méthode De me venir faire sa Cour ; Toutes les choses ont leur tour, Et Vénus n'est plus à la mode. Il est d'autres attraits naissants, Où l'on va porter ses encens ; Psyché, Psyché la belle, aujourd'hui tient ma place, Déjà tout l'Univers s'empresse à l'adorer, Et c'est trop que dans ma disgrâce Je trouve encor quelqu'un qui me daigne honorer. On ne balance point entre nos deux mérites, À quitter mon parti tout s'est licencié, Et du nombreux amas de Grâces favorites, Dont je traînais partout les soins et l'amitié, Il ne m'en est resté que deux des plus petites, Qui m'accompagnent par pitié. Souffrez que ces demeures sombres Prêtent leur solitude aux troubles de mon coeur, Et me laissez parmi leurs ombres Cacher ma honte et ma douleur. Flore et les autres Déités se retirent, et Vénus avec sa suite sort de sa machine."")",0.45,Substitution
14,,"('#aegiale', ""Nous ne savons, Déesse, comment faire, Dans ce chagrin qu'on voit vous accabler : Notre respect veut se taire, Notre zèle veut parler."")",1.0,Deletion
15,"('#venus', ""Hélas, je suis bien plus à plaindre que vous !  J'ai tout à craindre de votre inconstance ; et une campagne endurcit bien le coeur d'un guerrier."")","('#venus', ""Parlez, mais si vos soins aspirent à me plaire, Laissez tous vos conseils pour une autre saison, Et ne parlez de ma colère, Que pour dire que j'ai raison. C'était là, c'était là la plus sensible offense, Que ma divinité pût jamais recevoir ; Mais j'en aurai la vengeance, Si les Dieux ont du pouvoir."")",0.55,Substitution
16,,"('#phaene', ""Vous avez plus que nous de clartés, de sagesse, Pour juger ce qui peut être digne de vous : Mais pour moi j'aurais cru qu'une grande Déesse Devrait moins se mettre en courroux."")",1.0,Deletion
17,"('#le-tambour', ""Il faut, s'il vous plaît, abréger vos dialogues ; vous n'avez que le temps de venir payer votre hôtesse. Bellone a déjà endossé son habit de postillon, elle sera ici dans un moment avec votre chaise de poste. "")","('#venus', ""Et c'est là la raison de ce courroux extrême. Plus mon rang a d'éclat, plus l'affront est sanglant, Et si je n'étais pas dans ce degré suprême, Le dépit de mon coeur serait moins violent. Moi la fille du Dieu qui lance le tonnerre, Mère du Dieu qui fait aimer ; Moi, les plus doux souhaits du Ciel et de la Terre, Et qui ne suis venue au jour que pour charmer ; Moi, qui par tout ce qui respire Ai vu de tant de voeux encenser mes autels, Et qui de la beauté, par des droits immortels, Ai tenu de tout temps le souverain Empire ; Moi, dont les yeux ont mis deux grandes Déités Au point de me céder le prix de la plus belle, Je me vois ma victoire et mes droits disputés Par une chétive mortelle ! Le ridicule excès d'un fol entêtement Va jusqu'à m'opposer une petite fille ! Sur ses traits et les miens j'essuierai constamment Un téméraire jugement ! Et du haut des cieux où je brille, J'entendrai prononcer aux mortels prévenus, Elle est plus belle que Vénus !"")",1.32,Substitution
18,,"('#aegiale', ""Voilà comme l'on fait, c'est le style des Hommes, Ils sont impertinents dans leurs comparaisons."")",1.0,Deletion
19,,"('#phaene', ""Ils ne sauraient louer dans le siècle où nous sommes, Qu'ils n'outragent les plus grands noms."")",1.0,Deletion
20,"('#mars', ""Va voir s'il ne manque rien à mon équipage, et laisse-moi profiter de quelques moments que la gloire veut bien accorder à ma tendresse. "")","('#venus', ""Ah que de ces trois mots la rigueur insolente Venge bien Junon et Pallas, Et console leurs coeurs de la gloire éclatante Que la fameuse pomme acquit à mes appas ! Je les vois s'applaudir de mon inquiétude, Affecter à toute heure un ris malicieux, Et d'un fixe regard chercher avec étude Ma confusion dans mes yeux. Leur triomphante joie au fort d'un tel outrage, Semble me venir dire, insultant mon courroux, Vante, vante, Vénus, les traits de ton visage, Au jugement d'un seul tu l'emportas sur nous, Mais par le jugement de tous Une simple mortelle a sur toi l'avantage. Ah ! Ce coup-là m'achève, il me perce le coeur, Je n'en puis plus souffrir les rigueurs sans égales, Et c'est trop de surcroît à ma vive douleur, Que le plaisir de mes rivales. Mon fils, si j'eus jamais sur toi quelque crédit, Et si jamais je te fus chère, Si tu portes un coeur à sentir le dépit Qui trouble le coeur d'une mère, Qui si tendrement te chérit ; Emploie, emploie ici l'effort de ta puissance À soutenir mes intérêts, Et fais à Psyché par tes traits Sentir les traits de ma vengeance. Pour rendre son coeur malheureux, Prends celui de tes traits le plus propre à me plaire, Le plus empoisonné de ceux Que tu lances dans ta colère ; Du plus bas, du plus vil, du plus affreux mortel, Fais que jusqu'à la rage elle soit enflammée, Et qu'elle ait à souffrir le supplice cruel D'aimer, et n'être point aimée."")",0.79,Substitution
21,"('#le-tambour', ""Votre équipage est complet, il ne vous manque rien que de l'argent ; mais, madame Vénus y pourvoira.  À propos, pendant que je suis dans le magasin de Vulcain, je vais vous choisir deux bons éperons de longueur, car je me souviens que votre cheval est toujours rétif quand il faut sortir de Paris. "")","('#l-amour', ""Dans le Monde on n'entend que plaintes de l'Amour, On m'impute partout mille fautes commises, Et vous ne croiriez point le mal et les sottises Que l'on dit de moi chaque jour. Si pour servir votre colère..."")",1.21,Substitution
22,"('#mars', ""Tes discours m'importunent ; retire-toi. "")","('#venus', ""Va, ne résiste point aux souhaits de ta mère, N'applique tes raisonnements Qu'à chercher les plus prompts moments De faire un sacrifice à ma gloire outragée. Pars, pour toute réponse à mes empressements, Et ne me revois point que je ne sois vengée. L'Amour s'envole, et Vénus se retire avec les Grâces. La scène est changée en une grande ville, où l'on découvre des deux côtés, des palais et des maisons de différents ordres d'architecture. "")",1.08,Substitution
23,"('#le-tambour', 'À voir les cérémonies que votre cheval fait pour sortir des portes, on croirait que le pauvre animal ressent la moitié de la tendresse que vous avez pour madame. ')","('#aglaure', ""Il est des maux, ma Soeur, que le silence aigrit, Laissons, laissons parler mon chagrin et le vôtre, Et de nos coeurs l'un à l'autre Exhalons le cuisant dépit : Nous nous voyons Soeurs d'infortune, Et la vôtre et la mienne ont un si grand rapport, Que nous pouvons mêler toutes les deux en une, Et dans notre juste transport Murmurer à plainte commune Des cruautés de notre sort. Quelle fatalité secrète, Ma soeur, soumet tout l'Univers Aux attraits de notre Cadette, Et de tant de princes divers Qu'en ces lieux la Fortune jette, N'en présente aucun à nos fers ? Quoi, voir de toutes parts pour lui rendre les armes, Les coeurs se précipiter, Et passer devant nos charmes, Sans s'y vouloir arrêter ? Quel sort ont nos yeux en partage, Et qu'est-ce qu'ils ont fait aux Dieux, De ne jouir d'aucun hommage, Parmi tous ces tributs de soupirs glorieux, Dont le superbe avantage Fait triompher d'autres yeux ? Est-il pour nous, ma Soeur, de plus rude disgrâce, Que de voir tous les coeurs mépriser nos appas, Et l'heureuse Psyché jouir avec audace D'une foule d'amants attachés à ses pas ?"")",0.83,Substitution
24,,"('#cidippe', ""Ah, ma Soeur, c'est une aventure À faire perdre la raison, Et tous les maux de la Nature, Ne sont rien en comparaison."")",1.0,Deletion
25,,"('#aglaure', ""Pour moi j'en suis souvent jusqu'à verser des larmes, Tout plaisir, tout repos, par là m'est arraché, Contre un pareil malheur ma constance est sans armes, Toujours à ce chagrin mon esprit attaché Me tient devant les yeux la honte de nos charmes, Et le triomphe de Psyché. La nuit il m'en repasse une idée éternelle Qui sur toute chose prévaut ; Rien ne me peut chasser cette image cruelle, Et dès qu'un doux sommeil me vient délivrer d'elle, Dans mon esprit aussitôt Quelque songe la rappelle, Qui me réveille en sursaut."")",1.0,Deletion
26,,"('#cidippe', 'Ma Soeur, voilà mon martyre, Dans vos discours je me vois, Et vous venez là de dire Tout ce qui se passe en moi.')",1.0,Deletion
27,"('#mars', 'Hé, laisse-nous en paix. ')","('#aglaure', ""Mais encor, raisonnons un peu sur cette affaire. Quels charmes si puissants en elle sont épars, Et par où, dites-moi, du grand secret de plaire, L'honneur est-il acquis à ses moindres regards ? Que voit-on dans sa personne, Pour inspirer tant d'ardeurs ? Quel droit de beauté lui donne L'empire de tous les coeurs ? Elle a quelques attraits, quelque éclat de jeunesse, On en tombe d'accord, je n'en disconviens pas ; Mais lui cède-t-on fort pour quelque peu d'aînesse, Et se voit-on sans appas ? Est-on d'une figure à faire qu'on se raille ? N'a-t-on point quelques traits, et quelques agréments, Quelque teint, quelques yeux, quelque air et quelque taille À pouvoir dans nos fers jeter quelques amants ? Ma soeur, faites-moi la grâce De me parler franchement : Suis-je faite d'un air à votre jugement, Que mon mérite au sien doive céder la place, Et dans quelque ajustement Trouvez-vous qu'elle m'efface ?"")",1.53,Substitution
28,"('#le-tambour', ""Vous souvient-il du tour qu'il vous joua en revenant de Flandres, comme nous sortions de cette hôtellerie... là... où vous devîntes amoureux de la servante ? "")","('#cidippe', ""Qui, vous, ma Soeur ? Nullement. Hier à la chasse, près d'elle, Je vous regardai longtemps, Et sans vous donner d'encens, Vous me parûtes plus belle. Mais moi, dites ma Soeur, sans me vouloir flatter, Sont-ce des visions que je me mets en tête, Quand je me crois taillée à pouvoir mériter La gloire de quelque conquête ?"")",0.52,Substitution
29,,"('#aglaure', ""Vous, ma Soeur, vous avez, sans nul déguisement, Tout ce qui peut causer une amoureuse flamme ; Vos moindres actions brillent d'un agrément Dont je me sens toucher l'âme, Et je serais votre amant, Si j'étais autre que femme."")",1.0,Deletion
30,"('#mars', 'Te tairas-tu maraud ? ')","('#cidippe', ""D'où vient donc qu'on la voit l'emporter sur nous deux, Qu'à ses premiers regards les coeurs rendent les armes, Et que d'aucun tribut de soupirs et de voeux On ne fait honneur à nos charmes ?"")",1.81,Substitution
31,,"('#aglaure', ""Toutes les dames d'une voix Trouvent ses attraits peu de chose, Et du nombre d'amants qu'elle tient sous ses lois, Ma Soeur, j'ai découvert la cause."")",1.0,Deletion
32,"('#le-tambour', 'Il faut les laisser seuls : le jour du départ on a mille choses à se dire.  Mais voilà Bellone, dépêchez-vous. Vers Mars.')","('#cidippe', ""Pour moi je la devine, et l'on doit présumer Qu'il faut que là-dessous soit caché du mystère : Ce secret de tout enflammer N'est point de la Nature un effet ordinaire ; L'art de la Thessalie entre dans cette affaire, Et quelque main a su sans doute lui former Un charme pour se faire aimer."")",1.35,Substitution
33,"('#bellone', ""Partez, partez, Mars, il est temps ;  Les plaisirs du printemps  Sont indignes de vous ; allez porter la guerre. Aux deux bouts de la terre.  Laissez en paix, au moins pendant six mois,  Nos ménages bourgeois,  C'est le seul bien que vous leur puissiez faire,  Rien n'est si doux  Pour un jaloux  Que votre absence :  Mais vos adieux,  En récompense,  Sont bien dangereux. "")","('#aglaure', ""Sur un plus fort appui ma croyance se fonde, Et le charme qu'elle a pour attirer les coeurs, C'est un air en tout temps désarmé de rigueurs, Des regards caressants que la bouche seconde, Un souris chargé de douceurs Qui tend les bras à tout le monde, Et ne vous promet que faveurs. Notre gloire n'est plus aujourd'hui conservée, Et l'on n'est plus au temps de ces nobles fiertés, Qui par un digne essai d'illustres cruautés, Voulaient voir d'un amant la constance éprouvée. De tout ce noble orgueil qui nous seyait si bien, On est bien descendu dans le siècle où nous sommes, Et l'on en est réduite à n'espérer plus rien, À moins que l'on se jette à la tête des hommes."")",0.79,Substitution
34,"('#vulcain', ""Le ciel soit loué !  Voilà Bellone qui va délivrer ma maison de ce grand pendard de Mars.  C'est le plus grand maraud !  Cependant, parce qu'il a de la bravoure, et que je suis naturellement poltron, j'ai mille complaisances pour lui.  Il me prend pourtant envie de venger mon front sur le sien.  Mais, non, c'est un brutal qui n'entend pas raillerie, différons la vengeance jusqu'à ce qu'il soit parti.  Il aime tendrement ma femme, et je ne puis mieux me venger de lui, qu'en rossant ce qu'il aime.  Pour le présent, le plus sûr est de travailler comme si de rien n'était.  Il lève son marteau. Vulcain frappe sur son enclume dans le temps que Mars et Vénus parlent ensemble."")","('#cidippe', ""Oui, voilà le secret de l'affaire, et je vois Que vous le prenez mieux que moi. C'est pour nous attacher à trop de bienséance, Qu'aucun amant, ma Soeur, à nous ne veut venir, Et nous voulons trop soutenir L'honneur de notre sexe, et de notre naissance. Les hommes maintenant aiment ce qui leur rit, L'espoir, plus que l'amour, est ce qui les attire, Et c'est par là que Psyché nous ravit Tous les amants qu'on voit sous son empire. Suivons, suivons l'exemple, ajustons-nous au temps, Abaissons-nous, ma Soeur, à faire des avances, Et ne ménageons plus de tristes bienséances Qui nous ôtent les fruits du plus beau de nos ans."")",0.01,Substitution
35,"('#un-amour', ""Vive la prudence  Du grand dieu Vulcain :  Il voit qu'on l'offense,  Et va toujours son train.  Suivez cet usage,  Mortels indiscrets,  Dans votre ménage  Vous aurez la paix  Vive la prudence  Du grand dieu Vulcain :  Il voit qu'on l'offense,  Et va toujours son train. "")","('#aglaure', ""J'approuve la pensée, et nous avons matière D'en faire l'épreuve première Aux deux princes qui sont les derniers arrivés. Il sont charmants, ma Soeur, et leur personne entière Me... Les avez-vous observés ?"")",0.85,Substitution
36,,"('#cidippe', ""Ah, ma Soeur, ils sont faits tous deux d'une manière, Que mon âme... Ce sont deux princes achevés."")",1.0,Deletion
37,,"('#aglaure', ""Je trouve qu'on pourrait rechercher leur tendresse, Sans se faire déshonneur."")",1.0,Deletion
38,,"('#cidippe', 'Je trouve que sans honte une belle Princesse Leur pourrait donner son coeur.')",1.0,Deletion
39,,"('#aglaure', ""Les voici tous deux, et j'admire Leur air et leur ajustement."")",1.0,Deletion
40,,"('#cidippe', 'Ils ne démentent nullement Tout ce que nous venons de dire.')",1.0,Deletion
41,,"('#aglaure', ""D'où vient, Princes, d'où vient que vous fuyez ainsi ? Prenez-vous l'épouvante en nous voyant paraître ?"")",1.0,Deletion
42,,"('#cleomene', ""On nous faisait croire qu'ici La Princesse Psyché, Madame, pourrait être."")",1.0,Deletion
43,,"('#aglaure', ""Tous ces lieux n'ont-ils rien d'agréable pour vous, Si vous ne les voyez ornés de sa présence ?"")",1.0,Deletion
44,,"('#agenor', 'Ces lieux peuvent avoir des charmes assez doux ; Mais nous cherchons Psyché dans notre impatience.')",1.0,Deletion
45,,"('#cidippe', 'Quelque chose de bien pressant Vous doit à la chercher pousser tous deux sans doute.')",1.0,Deletion
46,,"('#cleomene', 'Le motif est assez puissant, Puisque notre fortune enfin en dépend toute.')",1.0,Deletion
47,,"('#aglaure', 'Ce serait trop à nous, que de nous informer Du secret que ces mots nous peuvent enfermer.')",1.0,Deletion
48,,"('#cleomene', ""Nous ne prétendons point en faire de mystère ; Aussi bien malgré nous paraîtrait-il au jour, Et le secret ne dure guère, Madame, quand c'est de l'amour."")",1.0,Deletion
49,,"('#cidippe', 'Sans aller plus avant, Princes, cela veut dire, Que vous aimez Psyché tous deux.')",1.0,Deletion
50,,"('#agenor', 'Tous deux soumis à son empire Nous allons de concert lui découvrir nos feux.')",1.0,Deletion
51,"('#venus', ""Petit mari ? Moutonnet, mignon, tu fais plus de bruit aujourd'hui qu'à l'ordinaire. Vulcain tourne la tête sans rien dire et frappe toujours. "")","('#aglaure', ""C'est une nouveauté sans doute assez bizarre, Que deux rivaux si bien unis."")",1.22,Substitution
52,,"('#cleomene', 'Il est vrai que la chose est rare, Mais non pas impossible à deux parfaits amis.')",1.0,Deletion
53,,"('#cidippe', ""Est-ce que dans ces lieux il n'est qu'elle de belle, Et n'y trouvez-vous point à séparer vos voeux ?"")",1.0,Deletion
54,"('#vulcain', ""C'est que je frappe de rage. Il continue de frapper."")","('#aglaure', ""Parmi l'éclat du sang, vos yeux n'ont-ils vu qu'elle À pouvoir mériter vos feux ?"")",1.31,Substitution
55,,"('#cleomene', ""Est-ce que l'on consulte au moment qu'on s'enflamme ? Choisit-on qui l'on veut aimer ? Et pour donner toute son âme, Regarde-t-on quel droit on a de nous charmer ?"")",1.0,Deletion
56,,"('#agenor', ""Sans qu'on ait le pouvoir d'élire ; On suit dans une telle ardeur, Quelque chose qui nous attire, Et lorsque l'amour touche un coeur, On n'a point de raisons à dire."")",1.0,Deletion
57,"('#venus', 'Mon petit fils, frappe donc plus doucement, si tu veux épargner ma tête.')","('#aglaure', ""En vérité, je plains les fâcheux embarras Où je vois que vos coeurs se mettent ; Vous aimez un objet dont les riants appas Mêleront des chagrins à l'espoir qu'ils vous jettent, Et son coeur ne vous tiendra pas Tout ce que ses yeux vous promettent."")",1.6,Substitution
58,"('#vulcain', ""Tu n'épargnes guères la mienne, toi, carogne. Il frappe encore."")","('#cidippe', ""L'espoir qui vous appelle au rang de ses amants Trouvera du mécompte aux douceurs qu'elle étale ; Et c'est pour essuyer de très fâcheux moments, Que les soudains retours de son âme inégale."")",1.32,Substitution
59,"('#mars', ""En vérité, monsieur Vulcain, vous n'avez guères de considération pour les femmes."")","('#aglaure', ""Un clair discernement de ce que vous valez Nous fait plaindre le sort où cet amour vous guide, Et vous pouvez trouver tous deux, si vous voulez, Avec d'autant d'attraits, une âme plus solide."")",1.56,Substitution
60,"('#vulcain', 'Ni vous pour les maris, monsieur Mars. Il frappe toujours.')","('#cidippe', ""Par un choix plus doux de moitié Vous pouvez de l'amour sauver votre amitié, Et l'on voit en vous deux un mérite si rare, Qu'un tendre avis veut bien prévenir par pitié Ce que votre coeur se prépare."")",1.33,Substitution
61,,"('#cleomene', ""Cet avis généreux fait pour nous éclater Des bontés qui nous touchent l'âme ; Mais le Ciel nous réduit à ce malheur, Madame, De ne pouvoir en profiter."")",1.0,Deletion
62,,"('#agenor', ""Votre illustre pitié veut en vain nous distraire D'un amour dont tous deux nous redoutons l'effet ; Ce que notre amitié, Madame, n'a pas fait, Il n'est rien qui le puisse faire[.]"")",1.0,Deletion
63,,"('#cidippe', 'Il faut que le pouvoir de Psyché... La voici[.]')",1.0,Deletion
64,"('#mars', 'Mais vraiment, vous ne songez pas que vous donnez des vapeurs à madame ?')","('#cidippe', ""[V]enez jouir, ma soeur, de ce qu'on vous apprête."")",0.95,Substitution
65,,"('#aglaure', ""Préparez vos attraits à recevoir ici Le triomphe nouveau d'une illustre conquête."")",1.0,Deletion
66,"('#vulcain', 'Si je lui donne des vapeurs, vous prenez bien soin de les guérir, vous. Il frappe encore.')","('#cidippe', ""Ces princes ont tous deux si bien senti vos coups, Qu'à vous le découvrir leur bouche se dispose."")",1.26,Substitution
67,,"('#psyche', ""Du sujet qui les tient si rêveurs parmi nous Je ne me croyais pas la cause, Et j'aurais cru toute autre chose En les voyant parler à vous."")",1.0,Deletion
68,,"('#aglaure', ""N'ayant ni beauté, ni naissance À pouvoir mériter leur amour et leurs soins, Ils nous favorisent au moins De l'honneur de la confidence."")",1.0,Deletion
69,"('#mars', 'Par la sambleu, si vous ne cessez de frapper...')","('#cleomene', ""L'aveu qu'il nous faut faire à vos divins appas, Est sans doute, Madame, un aveu téméraire ; Mais tant de coeurs près du trépas, Sont par de tels aveux forcés à vous déplaire, Que vous êtes réduite à ne les punir pas Des foudres de votre colère. Vous voyez en nous deux amis, Qu'un doux rapport d'humeurs sut joindre dès l'enfance ; Et ces tendres liens se sont vus affermis Par cent combats d'estime et de reconnaissance. Du Destin ennemi les assauts rigoureux, Les mépris de la mort et l'aspect des supplices, Par d'illustres éclats, de mutuels offices Ont de notre amitié signalé les beaux noeuds : Mais à quelques essais qu'elle se soit trouvée, Son grand triomphe est en ce jour, Et rien ne fait tant voir sa constance éprouvée, Que de se conserver au milieu de l'amour. Oui, malgré tant d'appas, son illustre constance Aux lois qu'elle nous fait a soumis tous nos voeux ; Elle vient d'une douce et pleine déférence Remettre à votre choix le succès de nos feux, Et pour donner un poids à notre concurrence Qui des raisons d'État entraîne la balance Sur le choix de l'un de nous deux, Cette même amitié s'offre sans répugnance D'unir nos deux États au sort du plus heureux."")",1.25,Substitution
70,"('#vulcain', ""Monsieur Mars, je vous demande pardon, mais ma besogne presse, et j'ai une nouvelle baguette de Vulcain de commande, que je dois livrer aujourd'hui aux comédiens."")","('#agenor', ""Oui, de ces deux États, Madame, Que sous votre heureux choix nous nous offrons d'unir, Nous voulons faire à notre flamme Un secours pour vous obtenir. Ce que pour ce bonheur, près du Roi votre père Nous nous sacrifions tous deux, N'a rien de difficile à nos coeurs amoureux, Et c'est au plus heureux faire un don nécessaire D'un pouvoir dont le malheureux, Madame, n'aura plus affaire."")",1.57,Substitution
71,"('#mars', ""Quand je serai parti, vous forgerez tant qu'il vous plaira."")","('#psyche', ""Le choix que vous m'offrez, Princes, montre à mes yeux De quoi remplir les voeux de l'âme la plus fière, Et vous me le parez tous deux d'une manière, Qu'on ne peut rien offrir qui soit plus précieux. Vos feux, votre amitié, votre vertu suprême, Tout me relève en vous l'offre de votre foi, Et j'y vois un mérite à s'opposer lui-même À ce que vous voulez de moi. Ce n'est pas à mon coeur qu'il faut que je défère Pour entrer sous de tels liens ; Ma main, pour se donner, attend l'ordre d'un père, Et mes soeurs ont des droits qui vont devant les miens, Mais si l'on me rendait sur mes voeux absolue, Vous y pourriez avoir trop de part à la fois, Et toute mon estime entre vous suspendue, Ne pourrait sur aucun laisser tomber mon choix. À l'ardeur de votre poursuite Je répondrais assez de mes voeux les plus doux ; Mais c'est parmi tant de mérite Trop que deux coeurs pour moi, trop peu qu'un coeur pour vous. De mes plus doux souhaits j'aurais l'âme gênée. À l'effort de votre amitié, Et j'y vois l'un de vous prendre une destinée À me faire trop de pitié. Oui, Princes, à tous ceux dont l'amour suit le vôtre, Je vous préférerais tous deux avec ardeur ; Mais je n'aurais jamais le coeur De pouvoir préférer l'un de vous deux à l'autre. À celui que je choisirais, Ma tendresse ferait un trop grand sacrifice, Et je m'imputerais à barbare injustice, Le tort qu'à l'autre je ferais. Oui, tous deux vous brillez de trop de grandeur d'âme. Pour en faire aucun malheureux, Et vous devez chercher dans l'amoureuse flamme Le moyen d'être heureux tous deux. Si votre coeur me considère Assez pour me souffrir de disposer de vous, J'ai deux soeurs capables de plaire, Qui peuvent bien vous faire un destin assez doux, Et l'amitié me rend leur personne assez chère, Pour vous souhaiter leurs époux."")",0.92,Substitution
72,"('#vulcain', ""Monsieur, notre grand débit se fait avec les officiers.  Sitôt que vous les aurez emmenés à l'armée, il faudra mettre les baguettes de Vulcain aux vieilles ferrailles."")",,1.0,Insertion
73,"('#mars', ""Ce serait dommage de laisser inutile un instrument qui va chercher l'or jusques dans les entrailles de la terre."")","('#cleomene', ""Un coeur dont l'amour est extrême Peut-il bien consentir, hélas, D'être donné par ce qu'il aime ! Sur nos deux coeurs, Madame, à vos divins appas Nous donnons un pouvoir suprême, Disposez-en pour le trépas, Mais pour une autre que vous-même Ayez cette bonté de n'en disposer pas."")",1.65,Substitution
74,"('#vulcain', ""Les baguettes qui ne font que chercher l'or sont contrefaites, les véritables l'attirent ; et j'en connais une qui en trois mois a fait venir plus de vingt mille écus à l'hôtel de Bourgogne.  Mais vous me faites perdre ici mon temps mal à propos.  J'ai trop la vogue pour m'amuser à parler gratis, et avec les Parisiens il faut battre le fer quand il est chaud.  Tous ce que je puis faire pour adoucir le bruit des marteaux, c'est de chanter en travaillant.  Il frappe toujours."")","('#agenor', ""Aux Princesses, Madame, on ferait trop d'outrage, Et c'est pour leurs attraits un indigne partage, Que les restes d'une autre ardeur ; Il faut d'un premier feu la pureté fidèle, Pour aspirer à cet honneur Où votre bonté nous appelle, Et chacune mérite un coeur Qui n'ait soupiré que pour elle."")",0.63,Substitution
75,"('#mars', ""Madame, puisqu'il nous empêche de parler bas, il mériterait bien que vous me fissiez une déclaration d'amour, si haut qu'il l'entende. "")","('#aglaure', ""Il me semble, sans nul courroux, Qu'avant que de vous en défendre, Princes, vous deviez bien attendre Qu'on se fût expliqué sur vous. Nous croyez-vous un coeur si facile et si tendre ? Et lorsqu'on parle ici de vous donner à nous, Savez-vous si l'on veut vous prendre ?"")",0.5,Substitution
76,"('#vulcain', ""Si ma femme a la rage  De le dire si haut,  Je repousse l'outrage  À grands coups de marteau,  Je frapperai tant... tant... Il veut frapper Mars. "")","('#cidippe', ""Je pense que l'on a d'assez hauts sentiments Pour refuser un coeur qu'il faut qu'on sollicite, Et qu'on ne veut devoir qu'à son propre mérite La conquête de ses amants."")",1.58,Substitution
77,,"('#psyche', ""J'ai cru pour vous, mes Soeurs, une gloire assez grande, Si la possession d'un mérite si haut..."")",1.0,Deletion
78,,"('#lycas', 'Ah, Madame !')",1.0,Deletion
