,moliere-bourgeois-gentilhomme,quinault-fetes-amour-bacchus,Cost,Operation Type
20,"('#monsieur-jourdain', ""Hé bien, Messieurs ?  Qu'est-ce ?  Me ferez-vous voir votre petite drôlerie."")",,1.0,Insertion
21,"('#le-maitre-a-danser', 'Comment ?  Quelle petite drôlerie ?')",,1.0,Insertion
22,"('#monsieur-jourdain', 'Eh la...  Comment appelez-vous cela ?  Votre prologue, ou dialogue de chansons et de danse.')",,1.0,Insertion
23,"('#le-maitre-a-danser', 'Ah, ah.')",,1.0,Insertion
24,"('#le-maitre-de-musique', 'Vous nous y voyez préparés.')","('#autre-femme-du-bel-air', ""Ils n'ont des livres et des bancs Que pour Mesdames les Grisettes."")",1.6,Substitution
25,"('#monsieur-jourdain', ""Je vous ai fait un peu attendre, mais c'est que je me fais habiller aujourd'hui comme les gens de qualité ; et mon tailleur m'a envoyé des bas de soie que j'ai pensé ne mettre jamais."")",,1.0,Insertion
26,"('#le-maitre-de-musique', 'Nous ne sommes ici que pour attendre votre loisir.')",,1.0,Insertion
27,"('#monsieur-jourdain', ""Je vous prie tous deux de ne vous point en aller, qu'on ne m'ait apporté mon habit, afin que vous me puissiez voir."")","('#le-gascon', ""Aho ! L'homme aux libres, qu'on m'en baille, J'ai déjà le poumon usé, Bous boyez que chacun mé raille, Et je fuis escandalisé De boir és mains de la canaille Ce qui m'est par bous refusé."")",0.72,Substitution
28,"('#le-maitre-a-danser', ""Tout ce qu'il vous plaira."")",,1.0,Insertion
29,"('#monsieur-jourdain', ""Vous me verrez équipé comme il faut, depuis les pieds jusqu'à la tête."")",,1.0,Insertion
30,"('#le-maitre-de-musique', ""Nous n'en doutons point."")",,1.0,Insertion
31,"('#monsieur-jourdain', 'Je me suis fait faire cette indienne-ci.')",,1.0,Insertion
32,"('#le-maitre-a-danser', 'Elle est fort belle.')",,1.0,Insertion
33,"('#monsieur-jourdain', ""Mon tailleur m'a dit que les gens de qualité étaient comme cela le matin."")",,1.0,Insertion
34,"('#le-maitre-de-musique', 'Cela vous sied à merveille.')",,1.0,Insertion
35,"('#monsieur-jourdain', 'Laquais, holà, mes deux laquais.')",,1.0,Insertion
36,"('#premier-laquais', 'Que voulez-vous, Monsieur ?')",,1.0,Insertion
37,"('#monsieur-jourdain', ""Rien.  C'est pour voir si vous m'entendez bien. Que dites-vous de mes livrées ? Aux deux Maîtres."")",,1.0,Insertion
38,"('#le-maitre-a-danser', 'Elles sont magnifiques.')",,1.0,Insertion
39,"('#monsieur-jourdain', "" Voici encore un petit déshabillé pour faire le matin mes exercices. Il entr'ouvre sa robe et fait voir un haut-de-chausses étroit de velours rouge, et une camisole de velours vert, dont il est vêtu."")",,1.0,Insertion
40,"('#le-maitre-de-musique', 'Il est galant.')",,1.0,Insertion
41,"('#monsieur-jourdain', 'Laquais.')",,1.0,Insertion
42,"('#premier-laquais', 'Monsieur.')",,1.0,Insertion
43,"('#monsieur-jourdain', ""L'autre laquais."")",,1.0,Insertion
44,"('#second-laquais', 'Monsieur.')",,1.0,Insertion
45,"('#monsieur-jourdain', 'Tenez ma robe.  Me trouvez-vous bien comme cela ?')",,1.0,Insertion
46,"('#le-maitre-a-danser', 'Fort bien.  On ne peut pas mieux.')",,1.0,Insertion
47,"('#monsieur-jourdain', 'Voyons un peu votre affaire.')",,1.0,Insertion
48,"('#le-maitre-de-musique', ""Je voudrais bien auparavant vous faire entendre un air qu'il vient de composer pour la sérénade que vous m'avez demandée.  C'est un de mes écoliers, qui a pour ces sortes de choses un talent admirable."")","('#autre-gascon', ""Eh, cadedis, Monseu, boyez qui l'on peut être, Un livret, je bous prie, au Baron Dasbarat ; Je pense, mordi, que le fat N'a pas l'honneur dé mé connaître."")",0.85,Substitution
49,"('#monsieur-jourdain', ""Oui ; mais il ne fallait pas faire faire cela par un écolier ; et vous n'étiez pas trop bon vous-même pour cette besogne-là."")",,1.0,Insertion
50,"('#le-maitre-de-musique', ""Il ne faut pas, Monsieur, que le nom d'écolier vous abuse.  Ces sortes d'écoliers en savent autant que les plus grands maîtres, et l'air est aussi beau qu'il s'en puisse faire.  Écoutez seulement."")","('#le-suisse', ""Monsieur le donneur de papieir, Que veul dir sty façon de fifre ? Moi l'écorchair tout mon gozieir A crieir,  Sans que je pouvre afoir ein lifre: Pardi, mon foi, Monsieur, je pense sous l'être ifre. Le Donneur de livres fatigué par les quatre importuns, se retire en colère."")",0.58,Substitution
51,"('#monsieur-jourdain', 'Donnez-moi ma robe pour mieux entendre... Attendez, je crois que je serai mieux sans robe...  Non, redonnez-la-moi, cela ira mieux. ')",,1.0,Insertion
52,"('#un-musicien', ""Je languis nuit et jour, et mon mal est extrême,  Depuis qu'à vos rigueurs vos beaux yeux m'ont soumis ;  Si vous traitez ainsi, belle Iris, qui vous aime,  Hélas ! Que pourriez-vous faire à vos ennemis ?"")","('#vieux-bourgeois-babillard', ""De tout ceci franc et net, Je suis mal satisfait, Et cela sans doute est laid. Que notre fille  Si bien faite et si gentille De tant d'amoureux l'objet, N'ait pas à son souhait Un livre de Ballet Pour lire le sujet Du divertissement qu'on fait, Et que toute notre famille Si proprement s'habille, Pour être placée au sommet De la Salle, où l'on met  Les gens de l'entriguet. De tout ceci franc et net Je suis mal satisfait, Et cela sans doute est laid."")",0.74,Substitution
53,"('#monsieur-jourdain', 'Cette chanson me semble un peu lugubre, elle endort, et je voudrais que vous la pussiez un peu ragaillardir par-ci, par-là.')",,1.0,Insertion
54,"('#le-maitre-de-musique', ""Il faut, Monsieur, que l'air soit accommodé aux paroles."")",,1.0,Insertion
55,"('#monsieur-jourdain', ""On m'en apprit un tout à fait joli il y a quelque temps.  Attendez...  La...  Comment est-ce qu'il dit ?"")",,1.0,Insertion
56,"('#le-maitre-a-danser', 'Par ma foi, je ne sais.')",,1.0,Insertion
57,"('#monsieur-jourdain', 'Il y a du mouton dedans.')",,1.0,Insertion
58,"('#le-maitre-a-danser', 'Du mouton ?')",,1.0,Insertion
59,"('#monsieur-jourdain', ""Je croyais Janneton  Aussi douce que belle ;  Je croyais Janneton  Plus douce qu'un mouton :  Hélas ! Hélas !  Elle est cent fois, mille fois plus cruelle,  Que n'est le tigre aux bois.  Oui.  Ah. N'est-il pas joli ? Monsieur Jourdain chante."")",,1.0,Insertion
60,"('#le-maitre-de-musique', 'Le plus joli du monde.')",,1.0,Insertion
61,"('#le-maitre-a-danser', 'Et vous le chantez bien.')",,1.0,Insertion
62,"('#monsieur-jourdain', ""C'est sans avoir appris la musique."")",,1.0,Insertion
63,"('#le-maitre-de-musique', ""Vous devriez l'apprendre, Monsieur, comme vous faites la danse.  Ce sont deux arts qui ont une étroite liaison ensemble."")",,1.0,Insertion
64,"('#le-maitre-a-danser', ""Et qui ouvrent l'esprit d'un homme aux belles choses."")",,1.0,Insertion
65,"('#monsieur-jourdain', 'Est-ce que les gens de qualité apprennent aussi la musique ?')",,1.0,Insertion
66,"('#le-maitre-de-musique', 'Oui, Monsieur.')",,1.0,Insertion
67,"('#monsieur-jourdain', ""Je l'apprendrai donc.  Mais je ne sais quel temps je pourrai prendre ; car outre le maître d'armes qui me montre, j'ai arrêté encore un maître de philosophie, qui doit commencer ce matin."")",,1.0,Insertion
68,"('#le-maitre-de-musique', 'La philosophie est quelque chose ; mais la musique, Monsieur, la musique...')",,1.0,Insertion
69,"('#le-maitre-a-danser', ""La musique et la danse...  La musique et la danse, c'est là tout ce qu'il faut."")",,1.0,Insertion
70,"('#le-maitre-de-musique', ""Il n'y a rien qui soit si utile dans un État que la musique."")",,1.0,Insertion
71,"('#le-maitre-a-danser', ""Il n'y a rien qui soit si nécessaire aux hommes, que la danse."")",,1.0,Insertion
72,"('#le-maitre-de-musique', 'Sans la musique, un État ne peut subsister.')",,1.0,Insertion
73,"('#le-maitre-a-danser', 'Sans la danse, un homme ne saurait rien faire.')",,1.0,Insertion
74,"('#le-maitre-de-musique', ""Tous les désordres, toutes les guerres qu'on voit dans le monde, n'arrivent que pour n'apprendre pas la musique."")",,1.0,Insertion
75,"('#le-maitre-a-danser', ""Tous les malheurs des hommes, tous les revers funestes dont les histoires sont remplies, les bévues des politiques, et les manquements des grands capitaines, tout cela n'est venu que faute de savoir danser."")",,1.0,Insertion
76,"('#monsieur-jourdain', 'Comment cela ?')",,1.0,Insertion
77,"('#le-maitre-de-musique', ""La guerre ne vient-elle pas d'un manque d'union entre les hommes ?"")",,1.0,Insertion
78,"('#monsieur-jourdain', 'Cela est vrai.')",,1.0,Insertion
79,"('#le-maitre-de-musique', ""Et si tous les hommes apprenaient la musique, ne serait-ce pas le moyen de s'accorder ensemble, et de voir dans le Monde la paix universelle ?"")",,1.0,Insertion
80,"('#monsieur-jourdain', 'Vous avez raison.')",,1.0,Insertion
81,"('#le-maitre-a-danser', ""Lorsqu'un homme a commis un manquement dans sa conduite, soit aux affaires de sa famille, ou au gouvernement d'un État, ou au commandement d'une armée, ne dit-on pas toujours, un Tel a fait un mauvais pas dans une telle affaire ?"")",,1.0,Insertion
82,"('#monsieur-jourdain', 'Oui, on dit cela.')",,1.0,Insertion
83,"('#le-maitre-a-danser', ""Et faire un mauvais pas, peut-il procéder d'autre chose que de ne savoir pas danser ?"")",,1.0,Insertion
84,"('#monsieur-jourdain', 'Cela est vrai, vous avez raison tous deux.')",,1.0,Insertion
85,"('#le-maitre-a-danser', ""C'est pour vous faire voir l'excellence et l'utilité de la danse et de la musique."")",,1.0,Insertion
86,"('#monsieur-jourdain', 'Je comprends cela à cette heure.')",,1.0,Insertion
87,"('#le-maitre-de-musique', 'Voulez-vous voir nos deux affaires ?')",,1.0,Insertion
88,"('#monsieur-jourdain', 'Oui.')",,1.0,Insertion
89,"('#le-maitre-de-musique', ""Je vous l'ai déjà dit, c'est un petit essai que j'ai fait autrefois des diverses passions que peut exprimer la musique."")",,1.0,Insertion
90,"('#monsieur-jourdain', 'Fort bien.')",,1.0,Insertion
91,"('#le-maitre-de-musique', ""Allons, avancez.  Il faut vous figurer qu'ils sont habillés en bergers."")",,1.0,Insertion
92,"('#monsieur-jourdain', 'Pourquoi toujours des bergers ?  On ne voit que cela partout.')",,1.0,Insertion
93,"('#le-maitre-a-danser', ""Lorsqu'on a des personnes à faire parler en musique, il faut bien que pour la vraisemblance, on donne dans la bergerie.  Le chant a été de tout temps affecté aux bergers ; et il n'est guère naturel en dialogue, que des princes, ou des bourgeois, chantent leurs passions."")","('#vieille-bourgeois-babillarde', ""Il est vrai que c'est une honte, Le sang au visage me monte. Et ce jetteur de vers qui manquent au capital L'entends fort mal, C'est un brutal. Un vrai cheval, Franc animal, De faire si peu de Comte D'une fille qui fait l'ornement principal Du quartier du Palais-Royal, Et que ces jours passés un Comte Fut prendre la première au bal. Il l'entend mal, C'est un brutal, Un vrai cheval Franc animal."")",0.53,Substitution
94,"('#monsieur-jourdain', 'Passe, passe, Voyons.  DIALOGUE EN MUSIQUE.')",,1.0,Insertion
95,"('#une-musicienne #deux-musiciens', ""Un coeur, dans l'amoureux empire,  De mille soins est toujours agité,  On dit qu'avec plaisir on languit, on soupire ;  Mais, quoi qu'on puisse dire.  Il n'est rien de si doux que notre liberté."")","('#hommes-du-bel-air #femmes-du-bel-air', ""Ah quel bruit !  Quel fracas ! Que cahos ! Quel mélange ! Quelle confusion ! Quelle cohue étrange ! Quel désordre !  Quel embarras ! On y sèche, L'on y tient pas."")",0.88,Substitution
96,"('#premier-musicien', ""Il n'est rien de si doux que les tendres ardeurs  Qui font vivre deux coeurs  Dans une même envie : On ne peut être heureux sans amoureux désirs ; Ôtez l'amour de la vie,  Vous en êtes les plaisirs."")",,1.0,Insertion
97,"('#second-musicien', ""Il serait doux d'entrer sous l'amoureuse loi,  Si l'on trouvait en amour de la foi :  Mais, hélas ! Ô rigueur cruelle,  On ne voit point de bergère fidèle ;  Et ce sexe inconstant, trop indigne du jour,  Doit faire pour jamais renoncer à l'Amour."")",,1.0,Insertion
98,"('#premier-musicien', 'Aimable ardeur !')","('#le-gascon', 'Bentre, je fuis à bout.')",1.17,Substitution
99,"('#une-musicienne', 'Franchise heureuse !')",,1.0,Insertion
100,"('#second-musicien', 'Sexe trompeur !')",,1.0,Insertion
101,"('#premier-musicien', ""Que tu m'es précieuse !"")",,1.0,Insertion
102,"('#une-musicienne', 'Que tu plais à mon coeur !')",,1.0,Insertion
103,"('#second-musicien', ""Que tu me fais d'horreur !"")","('#autre-gascon', ""J'enrage, Dieu me damne."")",0.71,Substitution
104,"('#premier-musicien', 'Ah ! Quitte pour aimer, cette haine mortelle !')",,1.0,Insertion
105,"('#une-musicienne', 'On peut, on peut te montrer  Une bergère fidèle.')",,1.0,Insertion
106,"('#second-musicien', 'Hélas ! Où la rencontrer ?')",,1.0,Insertion
107,"('#une-musicienne', 'Pour défendre notre gloire,  Je te veux offrir mon coeur.')",,1.0,Insertion
108,"('#second-musicien', ""Mais, Bergère, puis-je croire  Qu'il ne sera point trompeur ?"")",,1.0,Insertion
109,"('#une-musicienne', 'Voyons par expérience  Qui des deux aimera mieux.')",,1.0,Insertion
110,"('#second-musicien', 'Qui manquera de constance,  Le puissent perdre les Dieux ! ')","('#le-suisse', 'Ah que lui faire foif dans sty fal de cians.')",1.12,Substitution
111,"('#trois-musiciens', ""À des ardeurs si belles  Laissons-nous enflammer ;  Ah ! Qu'il est doux d'aimer,  Quand deux coeurs sont fidèles !"")",,1.0,Insertion
112,"('#monsieur-jourdain', 'Est-ce tout ?')",,1.0,Insertion
113,"('#le-maitre-de-musique', 'Oui.')","('#le-gascon', 'Je murs.')",0.92,Substitution
114,"('#monsieur-jourdain', 'Je trouve cela bien troussé, et il y a là dedans de petits dictons assez jolis.')",,1.0,Insertion
115,"('#le-maitre-a-danser', 'Voici, pour mon affaire, un petit essai des plus beaux mouvements et des plus belles attitudes dont une danse puisse être variée.')",,1.0,Insertion
116,"('#monsieur-jourdain', 'Sont-ce encore des bergers ?')",,1.0,Insertion
117,"('#le-maitre-a-danser', ""C'est ce qu'il vous plaira.  Allons.  Quatre Danseurs exécutent tous les mouvements différents, et toutes les sortes de pas que le Maître à danser leur commande : et cette danse fait le premier intermède. "")",,1.0,Insertion
118,"('#monsieur-jourdain', ""Voilà qui n'est point sot, et ces gens-là se trémoussent bien."")","('#autre-gascon', 'Je perds la tramontane.')",1.85,Substitution
119,"('#le-maitre-de-musique', ""Lorsque la danse sera mêlée avec la musique, cela fera plus d'effet encore, et vous verrez quelque chose de galant dans le petit ballet que nous avons ajusté pour vous."")",,1.0,Insertion
120,"('#monsieur-jourdain', ""C'est pour tantôt au moins ; et la personne pour qui j'ai fait faire tout cela, me doit faire l'honneur de venir dîner céans."")",,1.0,Insertion
121,"('#le-maitre-a-danser', 'Tout est prêt.')",,1.0,Insertion
122,"('#le-maitre-de-musique', ""Au reste, Monsieur, ce n'est pas assez, il faut qu'une personne comme vous, qui êtes magnifique, et qui avez de l'inclination pour les belles choses, ait un concert de musique chez soi tous les mercredis ou tous les jeudis."")",,1.0,Insertion
123,"('#monsieur-jourdain', 'Est-ce que les gens de qualité en ont ?')",,1.0,Insertion
124,"('#le-maitre-de-musique', 'Oui, Monsieur.')",,1.0,Insertion
125,"('#monsieur-jourdain', ""J'en aurai donc. Cela sera-t-il beau ?"")","('#le-suisse', 'Mon foi, moi le foudrais être hors de dedans.')",0.92,Substitution
126,"('#le-maitre-de-musique', ""Sans doute.  Il vous faudra trois voix, un dessus, une haute-contre, et une basse, qui seront accompagnées d'une basse de viole, d'un théorbe, et d'un clavecin pour les basses continues, avec deux dessus de violon pour jouer les ritornelles."")",,1.0,Insertion
127,"('#monsieur-jourdain', 'Il y faudra mettre aussi une trompette marine.  La trompette marine est un instrument qui me plaît, et qui est harmonieux.')",,1.0,Insertion
128,"('#le-maitre-de-musique', 'Laissez-nous gouverner les choses.')",,1.0,Insertion
129,"('#monsieur-jourdain', ""Au moins n'oubliez pas tantôt d'envoyer des musiciens, pour chanter à table."")",,1.0,Insertion
130,"('#le-maitre-de-musique', ""Vous aurez tout ce qu'il vous faut."")",,1.0,Insertion
131,"('#monsieur-jourdain', 'Mais surtout, que le ballet soit beau.')",,1.0,Insertion
132,"('#le-maitre-de-musique', 'Vous en serez content, et entre autres choses de certains menuets que vous y verrez.')",,1.0,Insertion
133,"('#monsieur-jourdain', 'Ah les menuets sont ma danse, et je veux que vous me les voyiez danser.  Allons, mon maître.')",,1.0,Insertion
134,"('#le-maitre-a-danser', ""Un chapeau, Monsieur, s'il vous plaît.  La, la, la ; La, la, la, la, la, la ; La, la, la, La, la, la ; La, la.  En cadence, s'il vous plaît.  La, la, la, la.  La jambe droite.  La, la, la.  Ne remuez point tant les épaules.  La, la, la, la, la ; La, la, la, la, la.  Vos deux bras sont estropiés.  La, la, la, la, la.  Haussez la tête.  Tournez la pointe du pied en dehors.  La, la, la.  Dressez votre corps. bis."")","('#vieux-bourgeois-babillard', ""Allons, ma vie, Suivez mes pas, Je vous en prie,  Et ne me quittez pas ;  On fait de nous trop peu de cas,  Et je fuis las De ce tracas; Tout ce fatras, Cet embarras, Me pèse pas trop sur les bras ; S'il me prend jamais envie De retourner de ma vie À Ballet ni Comédie, Je veux bien qu'on m'estropie. Allons, ma mie, Suivez mes pas,\t Je vous en prie, Et ne me quittez pas, On fait de nous trop peu de cas."")",0.92,Substitution
135,"('#monsieur-jourdain', 'Euh ?')",,1.0,Insertion
136,"('#le-maitre-de-musique', 'Voilà qui est le mieux du monde.')",,1.0,Insertion
137,"('#monsieur-jourdain', ""À propos.  Apprenez-moi comme il faut faire une révérence pour saluer une marquise ; j'en aurai besoin tantôt."")",,1.0,Insertion
138,"('#le-maitre-a-danser', 'Une révérence pour saluer une Marquise ?')",,1.0,Insertion
139,"('#monsieur-jourdain', ""Oui.  Une Marquise qui s'appelle Dorimène."")",,1.0,Insertion
140,"('#le-maitre-a-danser', 'Donnez-moi la main.')",,1.0,Insertion
141,"('#monsieur-jourdain', ""Non.  Vous n'avez qu'à faire, je le retiendrai bien."")","('#vieille-bourgeois-babillarde', ""Allons, mon Mignon, mon fils, Regagnons notre logis, Et sortons de ce taudis Où l'on ne peut être assis ; Ils seront bien ébaubis? Quand ils nous verront partis / Trop de confusion règne dans cette salle, Et j'aimerais mieux être au milieu de la Halle : Si jamais je reviens à semblable régale, Je veux bien recevoir des soufflets plus de six. Allons, mon mignon, mon fils, Regagnons notre logis, Et sortons de ce taudis, Où l'on ne peut être assis. Le Donneur de livres revient avec les quatre imprimeurs qui l'ont suivi, ce qui oblige encore ceux qui sont placés dans les balcons de s'écrier."")",1.64,Substitution
142,"('#le-maitre-a-danser', ""Si vous voulez la saluer avec beaucoup de respect, il faut faire d'abord une révérence en arrière, puis marcher vers elle avec trois révérences en avant, et à la dernière vous baisser jusqu'à ses genoux."")",,1.0,Insertion
143,"('#monsieur-jourdain', 'Faites un peu.  Bon.')",,1.0,Insertion
144,"('#premier-laquais', ""Monsieur, voilà votre maître d'armes qui est là."")",,1.0,Insertion
145,"('#monsieur-jourdain', ""Dis-lui qu'il entre ici pour me donner leçon.  Je veux que vous me voyiez faire. "")","('#tous-ensemble', ""À moi, Monsieur, à moi de grâce, à moi, Monsieur, Un livre, s'il vous plaît à votre serviteur."")",1.04,Substitution
146,"('#le-maitre-d-armes', ""Allons, Monsieur, la révérence.  Votre corps droit.  Un peu penché sur la cuisse gauche.  Les jambes point tant écartées.  Vos pieds sur une même ligne.  Votre poignet à l'opposite de votre hanche.  La pointe de votre épée vis-à-vis de votre épaule.  Le bras pas tout à fait si étendu.  La main gauche à la hauteur de l'oeil.  L'épaule gauche plus quartée.  La tête droite.  Le regard assuré.  Avancez.  Le corps ferme.  Touchez-moi l'épée de quarte, et achevez de même.  Une, deux. Remettez-vous.  Redoublez de pied ferme.  Un saut en arrière.  Quand vous portez la botte, Monsieur, il faut que l'épée parte la première, et que le corps soit bien effacé.  Une, deux.  Allons, touchez-moi l'épée de tierce, et achevez de même.  Avancez.  Le corps ferme.  Avancez.  Partez de là.  Une, deux.  Remettez-vous.  Redoublez.  Un saut en arrière.  En garde, Monsieur, en garde.  Le maître d'armes, lui pousse deux ou trois bottes, en lui disant, En garde."")",,1.0,Insertion
147,"('#monsieur-jourdain', 'Euh ?')",,1.0,Insertion
148,"('#le-maitre-de-musique', 'Vous faites des merveilles.')",,1.0,Insertion
149,"('#le-maitre-d-armes', ""Je vous l'ai déjà dit, tout le secret des armes ne consiste qu'en deux choses, à donner, et à ne point recevoir ; et comme je vous fis voir l'autre jour par raison démonstrative, il est impossible que vous receviez, si vous savez détourner l'épée de votre ennemi de la ligne de votre corps ; ce qui ne dépend seulement que d'un petit mouvement du poignet ou en dedans, ou en dehors."")",,1.0,Insertion
150,"('#monsieur-jourdain', ""De cette façon donc un homme, sans avoir du coeur, est sûr de tuer son homme, et de n'être point tué."")",,1.0,Insertion
151,"('#le-maitre-d-armes', ""Sans doute.  N'en vîtes-vous pas la démonstration ?"")",,1.0,Insertion
152,"('#monsieur-jourdain', 'Oui.')",,1.0,Insertion
153,"('#le-maitre-d-armes', ""Et c'est en quoi l'on voit de quelle considération nous autres nous devons être dans un État, et combien la science des armes l'emporte hautement sur toutes les autres sciences inutiles, comme la danse, la musique, la..."")","('#polymnie', ""Élevez vos concerts Au dessus du chant ordinaire ; Songez que vous avez à plaire Au plus grand ROI de l'Univers. Le grand titre de Roi n'est que sa moindre gloire, Il est encor plus grand par les travaux guerriers ; Et sa propre valeur a cueilli les lauriers Dont il est couronné des mains de la Victoire. Suivez la noble ardeur  Qu'il vous inspire ; Tout ce qu'on voit dans son Empire Se doit sentir de sa grandeur. Melpomène qui préside à la tragédie et Euterpe qui a inventé l'Harmonie pastorale s'avancent sur deux nuages. Melpomène paraît au milieu de plusieurs trophées d'armes ; et Euterpe environnée de festons et de couronnes de fleurs. Elles sont précédées de deux symphonies opposées, dont l'une est très forte, et l'autre extrêmement douce, et qui forment une espèce de combat, tandis que les deux muses viennent se placer aux deux côtés de Polymnie pour la prier d'embellir les divertissements qu'elles veulent préparer."")",0.44,Substitution
154,"('#le-maitre-a-danser', ""Tout beau, Monsieur le tireur d'armes.  Ne parlez de la danse qu'avec respect."")","('#melpomene', 'Joignez à mes chants magnifiques, La pompe de vos ornements.')",0.95,Substitution
155,"('#le-maitre-de-musique', ""Apprenez, je vous prie, à mieux traiter l'excellence de la musique."")","('#euterpe', 'Joignez à mes concerts rustiques, Vos agréments Les plus charmants.')",1.1,Substitution
156,"('#le-maitre-d-armes', 'Vous êtes de plaisantes gens, de vouloir comparer vos sciences à la mienne !')",,1.0,Insertion
157,"('#le-maitre-de-musique', ""Voyez un peu l'homme d'importance !"")","('#melpomene', ""Votre secours m'est nécessaire, Je cherche à divertir le plus Auguste Roi Qui méritât jamais de tenir sous sa loi Tout ce que le Soleil éclaire."")",1.41,Substitution
158,"('#le-maitre-a-danser', 'Voilà un plaisant animal, avec son plastron !')",,1.0,Insertion
159,"('#le-maitre-d-armes', 'Mon petit maître à danser, je vous ferais danser comme il faut.  Et vous, mon petit musicien, je vous ferais chanter de la belle manière.')","('#melpomene #euterpe', ""C'est à moi, c'est à moi, De prétendre à lui plaire,"")",1.13,Substitution
