viau-pyrame,puget-de-la-serre-le-pyrame,Score
"('#bersiane', 'Hé ! Le bon Dieu le veuille !')",-,0.0
"('#thisbe', ""Adieu, cherche quelqu'un à qui te faire ouïr."")",-,0.0
"('#bersiane', ""On a beau tel secret dans les os enfouir, L'amour, l'ambition, l'orgueil et la colère Sont toujours sur nos fronts d'une apparence claire. J'espère en peu de jours que nous viendrons à bout De cette confidence, et que nous saurons tout."")",-,0.0
"('#narbal', ""Malgré moi persister en ce funeste amour ! Après les droits du Ciel l'ingrat me doit le jour. Toi qui si lâchement flattes sa fantaisie, Tu veux que ma raison cède à ta frénésie, Et me remémorant ce qu'autrefois je fis, Tu me veux conseiller la perte de mon fils ! Il est vrai qu'autrefois j'ai senti cette flamme, Lorsqu'un sang plus subtil faisait agir mon âme ; Esclave que je suis des naturelles lois, Comme un autre en mon temps de ce feu je brûlais, Mais toujours mes desseins étaient avec licence, Et mes justes désirs pleins d'heur et d'innocence."")",-,0.0
"('#lidias', ""Vous en avez depuis perdu le souvenir, Mais si les mêmes ans pouvaient vous revenir, Et qu'en votre faveur la loi de la nature, Vous effaçant l'horreur que fait la sépulture, À vos membres cassés leur force rapportât Et remît vos esprits en leur premier état, Je crois que vos rigueurs changeraient bien de termes Et que vos sentiments ne seraient plus si fermes ; Ce pauvre fils à qui vous voulez tant de mal Vous verrait transformé de censeur en rival. On ne saurait dompter la passion humaine : Contre Amour la raison est importune et vaine, Toujours l'objet aimable a droit de nous charmer Lorsqu'on est en état de le pouvoir aimer, L'âme se voit bientôt d'une beauté forcée Par le rapport des yeux avecque la pensée."")",-,0.0
-,"('#thisbe', ""Dieux qu'il y a du plaisir d'aimer parfaitement, et d'être aimé de même : Toutes les délices du monde ont leur dégoût, aussi bien que leurs appas, lorsque  cette sorte de contentements, où les âmes les plus inquiétées trouvent le comble de leur repos.  Il n'est rien de si divin que l'amour, c'est le seul élément de la vie, et l'unique objet où nos désirs terminent leurs effort, où nos passions modèrent leur violence, et où nos coeurs conspirent délicieusement le même air qu'il respirent.  Je suis témoins de toutes ces belles vérités depuis le premier jour de ma naissance, n'ayant commencé de vivre, que dès le moment, que j'ai commencé d'aimer.  Ô heureux moment où mes félicités naquirent toutes ensemble !  Ô agréable amour, dont l'aveuglement m'a servi de flambeau, pour admirer en un seul sujet, toutes les grâces du Ciel, et toutes les beautés de la Nature.  Pyrame c'est son nom, mon coeur en soupire, et mon visage en rougit de honte ; Mais que puis je craindre en ces lieux solitaires ?  Il est vrai Pyrame, je t'aime uniquement, mes pensées sont toutes a toi, mes désirs t'appartiennent, et mon imagination jalouse fuit incessamment ton ombre, pour me dire où va ton corps.  Serais-je si cruelle à moi-même, que de me défendre d'avoir dans la bouche le beau nom de Pyrame, que j'ai gravé si avant dans le coeur.  Je ne puis charmer mes oreilles d'une plus douce harmonie, que celle que produit ce beau nom, et je me sens forcée de croire, que Cypris l'a composé, que l'amour a été le premier qui l'a prononcé, que les Grâces l'on redit après lui, et que toutes les douceurs ensemble en ont fait leur nom d'alliance : Car sans mentir, il est si doux, que ma langue est toute de miel à force de le proférer souvent ; Aussi est-ce le beau nom de toutes mes félicités, de tous les plaisirs de ma vie, et de tout ce qu'il y a de divin en la Natures en disant Pyrame, je dis encore le nom de tout ce que l'aime, et de tout ce qui est aimable, ce qui autorise ma passion, puisque le sujet en est si glorieux.  On a beau me défendre de l'aimer, j'ai déjà voué à son amour, le dernier soupir de ma vie : Et que l'on me tourmente tant qu'on voudra, une âme amoureuse ne se lasse jamais de souffrir, elle trouve toujours ses plaisirs dans ses peines.  Le pis qui me peut arriver, c'est de mourir ; Hé ne serai- je pas heureuse de perdre la vie pour celui que j'aime mille fois plus qu'elle, le fort en est trop beau, je n'envie point d'autre fortune."")",0.0
-,"('#bersiane', 'Tout le monde vous cherche, et votre mère est en peine de savoir où vous êtes.')",0.0
-,"('#thisbe', 'Sa peine ne sera pas de longue durée : je serai bientôt de retour.')",0.0
-,"('#bersiane', ""Une fille vertueuse ne doit jamais aller seule, il faut qu'elle aie toujours des témoins de ses actions."")",0.0
-,"('#thisbe', ""Serais-ce un crime de s'entretenir avec ses pensées pour soulager l'esprit des inquiétudes, dont on se trouve souvent agité.  Ne sais tu pas que mon humeur solitaire me fait aimer le lieu, et que les jours ont des certaines heures de mélancolie si agréables, qu'il faut nécessairement les passer seule si l'on en veut goûter les plaisirs.  Je te fais juge maintenant de l'importunité que tu me causes."")",0.0
-,"('#bersiane', 'Depuis quand vous suis-je si importune ?')",0.0
-,"('#thisbe', 'Depuis que tes soins criminels te font suivre partout la trace de mes pas, sans autre dessein, que celui de me déplaire.')",0.0
-,"('#bersiane', ""Je n'eusse jamais cru que ma compagnie vous eut été si fort à mépris."")",0.0
-,"('#thisbe', ""Tu as assez de jugement pour le connaître, comme tu as trop de malice pour m'y obliger !"")",0.0
-,"('#bersiane', ""Vous êtes en colère de quoi j'ai interrompu votre doux entretien."")",0.0
-,"('#thisbe', 'La colère me dure toujours contre toi.')",0.0
-,"('#bersiane', ""Je suis de l'opinion de votre mère, elle ne vous doit jamais perdre de vue, vos paroles, et vos actions également hardies, font paraître au dehors, ce que vous aurez dans l'âme."")",0.0
-,"('#thisbe', ""Je ne me plaindrai jamais en cela de l'austérité que ma mère exercera contre moi, l'innocence ne craint point les reproches, je vis de telle sorte que je n'aurai jamais d'autres ennemis que ceux qui le sont de la vertu."")",0.0
-,"('#bersiane', 'Le temps sera votre juge.')",0.0
-,"('#thisbe', 'Il sera le tien, aussi pour condamner tes rêveries.')",0.0
-,"('#bersiane', 'Je voudrais rêver en la prévoyance de vos malheurs pour être moins assurée de leur avènement.')",0.0
-,"('#thisbe', ""L'âge endort tellement ton esprit que je ne prends tes discours que pour des songes."")",0.0
-,"('#bersiane', ""J'ai donc songé que vous aimiez Pyrame ; je ne sais s'il est vrai."")",0.0
-,"('#thisbe', ""C'est le plus beau songe que tu fis jamais, qu'en crois-tu."")",0.0
-,"('#bersiane', 'Je crois que vous êtes assez hardie pour contracter cette affection au déçu de votre mère.')",0.0
-,"('#thisbe', ""Ce n'est pas la première fois que tu t'es trompée en tes opinions, mais si tu veux apprendre la vérité, il te faut changer de croyance."")",0.0
-,"('#bersiane', ""Vous n'avez garde de le confesser, les secrets d'amour ne le communiquent à personne."")",0.0
-,"('#thisbe', 'Les chastes affections ne sont jamais secrètes, il y a plus de gloire à les publier que de honte à les taire.')",0.0
-,"('#bersiane', ""Toutes les chastes affections ne sont pas permises, on doit toujours consulter l'Oracle de la volonté des parents."")",0.0
-,"('#thisbe', 'On le doit par respect, mais non pas par raison : car les affections sont libres.')",0.0
-,"('#bersiane', 'La nature vous oblige à leur rendre ce devoir, et par respect, et par raison.')",0.0
-,"('#thisbe', ""La nature ne me peut rendre esclave m'ayant fait naître libre.  Mais à quoi servent ces discours ?  Tu m'engages insensiblement à plaider une cause où je n'ai point d'intérêt."")",0.0
-,"('#bersiane', 'Vous en parlez trop pertinemment pour ne croire pas que vous êtes partie.')",0.0
-,"('#thisbe', 'Je te laisse en cette croyance, puisque le temps plutôt que toi, comme tu dis, Sera mon juge.')",0.0
-,"('#bersiane', ""Il fera véritablement juge de vos folies, de même que j'en suis témoin."")",0.0
"('#narbal', ""Ton esprit tient encore un peu de la saison Qui ne voit point mûrir les fruits de la raison. Moi qui suis bien guéri de cette humeur volage, Ayant déjà passé tous les degrés de l'âge, Je connais mieux que toi la vie et le devoir, Et bientôt mieux que toi je lui ferai savoir. Aimer sans mon congé et s'obstiner encore D'un amour qui le perd et qui me déshonore ! D'un ennemi mortel la fille rechercher ! Je t'aime mieux le coeur hors du sein arracher ! Tu démordras, mutin, je te ferai connaître Le respect que tu dois à ceux qui t'ont fait naître Et que tu ne dois point suivre ta passion Ni faire des desseins sans ma permission !"")","('#narbal', ""Je suis hors de moi-même,  quand je pense au mépris que c'est ingrat fait de mes commandements, je lui ai donné l'être, et la vie, et pour reconnaissance il s'occupe tous les jours à bâtir mon tombeau, forgeant de ses mains meurtrières le trait qui me donnera la mort.  Et tu voudrais appeler sa cruauté, et sa perfidie une aveugle passion, dont il est possédé, je sais bien qu'en mes jeunes ans mon coeur a été sensible aux atteintes d'amour, et que le feu de mon sang, toujours bouillant s'éprit peu à peu à mon âme en la rendant amoureuse.  Mais je n'ai jamais perdu la raison avec la liberté, je voyais assez clair au travers de mon bandeau, pour suivre le chemin du respect, et de l'obéissance, que je devais à mes parents."")",0.6743921041488647
"('#lidias', ""Quand on s'engage au sort d'une pareille affaire, Une permission n'est jamais nécessaire ; On n'y saurait pourvoir quand c'est un accident ; À cela le plus fin est le plus imprudent. On ne demande point congé d'une aventure ; S'il en faut demander c'est donc à la nature Qui conduit notre vie, et s'adresser aux Dieux Qui tiennent en leurs mains nos esprits et nos yeux."")","('#lidias', ""La Sagesse, et l'Amour se faussent d'ordinaire compagnie, vous êtes honteux de confesser en cet âge prudent, les erreurs de votre jeunesse.  Il est impossible d'être esclave, et libre tout à la fois, le plus fort l'emporte toujours : là où l'Amour commande, la Raison obéit, et de vouloir faire le fin, ne se laissant enchaîner qu'à demi, les grandes beautés ne font jamais de petites prises : quand elles mettent une âme aux fers, la raison est captive avec elle.  Comment voulez vous donc maintenant, que votre fils suive vos conseils si l'Amour est son conseiller.  Priez les Dieux qu'ils lui rendent la liberté, et il vous rendra l'obéissance qu'il vous doit."")",0.6096237301826477
"('#narbal', ""Ne sait-il pas qu'il est obligé de me plaire ? Que cet amour furtif irrite ma colère ? Qu'il va dans ce projet mes jours diminuant, Et fait un parricide en le continuant ? Les Dieux trouvent-ils bon, puisqu'ils sont équitables, Qu'on fasse des forfaits ?"")","('#narbal', ""Toutes ces raisons sont aussi aveugles que le Dieu dont tu me prêches la puissance, l'amour ne saurait forcer notre franchise, et sa passion n'a point de pouvoir sur nos volontés, que celui que notre faiblesse lui donne.  À quoi nous servirait la force de la raison si sa défaite était inévitable.  Un courage généreux peut tout ce qu'il veut, et tu as beau me persuader le contraire.  C'est ingrat portera bientôt la peine de son crime.  Car si les Dieux font justes, ils me vengeront de sa perfidie."")",0.6970988512039185
"('#lidias', ""S'ils sont inévitables, Les Dieux ne veulent point en retirer nos pas ; Même, puisqu'en amour le crime a des appas, Que la rigueur des lois l'entretient et l'augmente, Les amants trouvent grâce auprès de Rhadamante ; Mais une noire humeur qui meut des assassins, Une nature lâche encline à des larcins, C'est ce qui fait horreur au Ciel et à la terre, Et sur quoi justement doit tomber le tonnerre, Où la nécessité d'un amoureux désir, Qui de l'âme et du corps n'aspire qu'au plaisir, Mérite qu'on l'assiste, et vouloir sa ruine Tient un peu d'une humeur envieuse et chagrine."")","('#lidias', ""Les Dieux n'ont point des foudres, pour punir les amants, sachant par expérience jusques à quel point cette passion maîtrise nos esprits.  Vous ne pouvez pas souffrir, que Pyrame aime Thisbé, et comment se peut-il défendre d'aimer ce qui est parfaitement aimable. Si la Beauté et les Grâces se laissaient admirer aux travers des lunettes, vous seriez bientôt convaincu du crime, dont vous l'accusez, puisque vous êtes si raisonnable, que ne vous rendez vous à la raison."")",0.7419748306274414
"('#narbal', ""Tes discours ne sont point assez persuasifs. Ce mal ne prend qu'aux coeurs mols, délicats, oisifs, Où jamais le bon sens n'a choisi sa demeure, Où jamais la vertu ne trouve une bonne heure. Suffit. Quand la raison le contraire voudroit, L'empire paternel conservera son droite. Mon pouvoir absolu rompra cette entreprise Et mon autorité lui fera lâcher prise."")","('#narbal', ""He, quoi ferait il juste qu'un père reçut la loi de son fils.  Que me sert l'autorité que le Ciel, et la Nature m'ont donnée sur ses volontés, si je ne m'aide de son pouvoir lorsqu'il y va de l'intérêt de ma vie.  Il sait bien que je n'ai point une plus grande ennemie, que son amour, et il conjure avec elle ma ruine."")",0.587161660194397
"('#lidias', ""Vous voulez qu'Ixion, lié dans les Enfers, S'arrache de sa roue et qu'il brise ses fers, Qu'un homme déjà mort sa guérison reçoive, Que Sisyphe repose et que Tantale boive. Tous nos efforts ne sont que d'un pouvoir humain ; Qui tend à l'impossible il se travaille en vain."")","('#lidias', ""Si faut-il que vos désirs soient limités des choses possibles.  Croyez vous, que l'âme se puisse dépouiller de ses passions, de même que le corps de ses habits.  Quand la fièvre d'amour s'écoule dans nos veines la maladie en est longue, et l'on a beau consulter la Nature, son pouvoir ne s'étend pas jusques à la guérison, il faut que le temps, et notre humeur en fassent peu à peu le remède.  Lorsque Pyrame aura recouvré la santé de l'esprit, il mettra le vôtre en repos.  Mais comment voulez vous tirer raison d'un homme qui n'en a point."")",0.6412337422370911
"('#le-roi', ""C'est trop faire de voeux, c'est trop verser de larmes, Il faut avoir recours à des meilleures armes ; Cette ingrate farouche, avecque ses mépris, A donné trop longtemps la gêne à mes esprits. La qualité de Roi, l'éclat de ma fortune, Au lieu de l'attirer, la choque et l'importune ; Elle aime mieux, ignoble et honteuse qu'elle est, Un simple citoyen."")","('#narbal', ""S'il n'a point de raison, il doit être puni de sa folie, puis qu'elle est volontaire.  Je ne veux point nourrir des fols, ni des esclaves en ma maison, il faut qu'il renonce à ce nom de fils, ou à celui d'amant."")",0.5452930331230164
