,la-fontaine-daphne,voltaire-pandore,Cost,Operation Type
18,"('#promethee', ""Leur coeur en est tout plein ; ce n'est qu'ambition, Colère, désespoir, crainte, ou joie excessive. Machine, on veut voir vos ressorts ; Quittez tous ces trompeurs dehors. Les nouveaux hommes, qui paraissaient de véritables statues, quittent une partie de l'habit qui les enveloppe, et se font voir tels qu'ils sont dans l'intérieur, l'un représentant l'ambition, l'autre, la colère, la crainte, le désespoir, la joie excessive, etc. En cet état ils dansent en confusion et d'une manière aussi impétueuse et aussi vive que l'autre était grave et peu animée."")","('#promethee', ""Au séjour de la nuit vos voix ont éclaté :  Le jour pâlit, la terre tremble :  Le monde est ébranlé, l'Érèbe se rassemble.  Le théâtre change, et représente le Chaos. Tous les dieux de l'enfer viennent sur la scène."")",0.62,Substitution
19,"('#momus', 'Je la trouvais trop lente, et la voilà trop vive.')","('#choeur-des-dieux-infernaux', ""Nous détestons  La lumière éternelle :  Nous attendons  Dans nos gouffres profonds  La race faible et criminelle  Qui n'est pas née encore, et que nous haïssons. "")",0.99,Substitution
20,"('#minerve', 'Laissez-moi régler ces transports.')","('#nemesis', 'Les ondes du Léthé, les flammes du Tartare  Doivent tout ravager.  Parlez, qui voulez-vous plonger  Dans les profondeurs du Ténare ? ')",1.68,Substitution
21,"('#venus', ""Mon fils, par de secrètes causes, Peut encor mieux que vous les calmer à son tour : Rien n'a d'empire sur l'Amour, L'Amour en a sur toutes choses. Le plus magnifique don Qu'aux mortels on puisse faire, C'est l'amour."")","('#promethee', ""Je veux servir la terre, et non pas l'opprimer.  Hélas ! a cet objet j'ai donné la naissance,  Et je demande en vain qu'il s'anime, qu'il pense,  Qu'il soit heureux, qu'il sache aimer. "")",0.49,Substitution
22,"('#minerve', ""C'est la raison. Le don le plus nécessaire Aux hôtes de ce séjour, C'est la raison."")","('#les-trois-parques', ""Notre gloire est de détruire,  Notre pouvoir est de nuire :  Tel est l'arrêt du sort.  Le ciel donne la vie, et nous donnons la mort. "")",1.37,Substitution
23,"('#venus', ""C'est l'amour."")",,1.0,Insertion
24,"('#amour', ""L'effet en jugera : servez-vous de vos armes, Et moi j'emploierai mes charmes."")","('#promethee', ""Fuyez donc à jamais ce beau jour qui m'éclaire :  Vous êtes malfaisants, vous n'êtes point mes dieux.  Fuyez, destructeurs odieux  De tout le bien que je veux faire :  Dieux des malheurs, dieux des forfaits,  Ennemis funèbres,  Replongez-vous dans les ténèbres :  Ennemis funèbres,  Laissez le monde en paix. "")",0.7,Substitution
25,"('#minerve', ""Que vous vous tourmentez, mortels ambitieux, Désespérés et furieux, Ennemis du repos, ennemis de vous-mêmes ! A modérer vos voeux mettez tous vos plaisirs : Régnez sur vos propres désirs ; C'est le plus beau des diadèmes. Les hommes qui s'étaient arrêtés quelques moments pour ouïr Minerve, attendent à peine qu'elle a achevé, et ne laissent pas, malgré ses conseils, témoigner toujours la même fureur et le même emportement. L'Amour leur faisant signe qu'il veut parler, ils s'arrêtent."")","('#nemesis', ""Tremble, tremble pour toi-même :  Crains notre retour,  Crains Pandore et l'Amour.  Le moment suprême  Vole sur tes pas.  Nous allons déchaîner les démons des combats :  Nous ouvrirons les portes du trépas.  Tremble, tremble pour toi-même. "")",0.85,Substitution
26,"('#amour', ""De vos sages discours voyez quel est le fruit Je ne dirai qu'un mot. Aimez. On obéit : Vous le voyez. Aux hommes. À ce mot, ceux qui dansaient en confusion et en tumulte dansent deux à deux comme personnes qui s'aiment."")","('#promethee', ""Ah ! Trop cruels amis ! Pourquoi déchaîniez-vous,  Du fond de cette nuit obscure,  Dans ces champs fortunés, et sous un ciel si doux,  Ces ennemis de la nature ?  Que l'éternel chaos élève entre eux et nous  Une barrière impénétrable !  L'enfer implacable  Doit-il animer  Ce prodige aimable  Que j'ai su former ?  Un dieu favorable  Le doit enflammer. "")",0.28,Substitution
27,"('#venus', ""Amour, qu'il est doux de te suivre !"")","('#encelade', ""Puisque tu mets ainsi la grandeur de ton être  À verser des bienfaits sur ce nouveau séjour,  Tu méritais d'en être le seul maître.  Monte au ciel, dont tu tiens le jour :  Va ravir la céleste flamme :  Ose former une âme,  Et sois créateur à ton tour. "")",0.9,Substitution
28,"('#jupiter', 'Vivez, nouveaux humains.')",,1.0,Insertion
29,"('#choeur-des-dieux', 'Vivez, nouveaux humains.')",,1.0,Insertion
30,"('#venus', ""Laissez-vous enflammer. Que vaut la peine de vivre, Sans le doux plaisir d'aimer ?"")",,1.0,Insertion
31,"('#choeur', ""Que vaut la peine de vivre, Sans le doux plaisir d'aimer ?"")",,1.0,Insertion
32,"('#momus', ""D'où vient que si mal assortie Cette belle a fait choix d'un vieillard pour amant ?"")",,1.0,Insertion
33,"('#amour', ""C'est l'effet merveilleux d'un secret sentiment Que j'appelle sympathie."")",,1.0,Insertion
34,"('#venus', ""Le démon opposé n'a pas moins de pouvoir. Souvent nous haïssons ce qui devrait nous plaire."")",,1.0,Insertion
35,"('#jupiter', ""Tel dieu sait l'avenir, qui n'a pas su prévoir Quels maux ce démon lui va faire. Mais un jour un prince viendra Qui plaira plus qu'il ne voudra. Le Destin parmi nous lui garde un rang insigne, Et je lui veux accorder, Afin qu'il en soit plus digne, L'art de savoir commander. Mars lui promet en apanage La grandeur d'âme et de courage."")","('#promethee', ""L'Amour est dans les cieux : c'est là qu'il faut me rendre :  L'Amour y règne sur les dieux.  Je lancerai ses traits, j'allumerai ses feux :  C'est le dieu de mon coeur, et j'en dois tout attendre.  Je vole à son trône éternel :  Sur les ailes des vents l'Amour m'enlève au ciel.  Il s'envole."")",0.39,Substitution
36,"('#minerve', 'Moi, la vertu.')",,1.0,Insertion
37,"('#venus', ""Moi, l'agrément."")",,1.0,Insertion
38,"('#amour', ""Et moi le don d'aimer et d'être heureux amant."")",,1.0,Insertion
39,"('#venus #l-amour #minerve', ""Amour et la Raison s'accorderont pour faire Qu'aux coeurs comme aux esprits ce prince plaise un jour"")",,1.0,Insertion
40,"('#choeur', 'Heureux qui par raison doit plaire ! Plus heureux qui plaît par amour !')",,1.0,Insertion
41,"('#chloris #aminte #nymphes', ""Allons dans cette prairie : C'est un tranquille séjour ; Jamais les larmes d'amour N'y baignent l'herbe fleurie ; Les moutons y sont en paix, Et les loups n'y font jamais D'outrage à la bergerie."")","('#choeur-des-nymphes', ""Volez, fendez les airs, et pénétrez l'enceinte  Des palais éternels :  Ramenez les plaisirs du séjour de la crainte :  En répandant des biens méritez des autels. "")",0.99,Substitution
42,"('#chloris', 'Viens, ma soeur.')",,1.0,Insertion
43,"('#aminte', 'Je te suis.')",,1.0,Insertion
44,"('#chloris', ""Viens goûter une vie Dont le calme est digne d'envie. Notre Nymphe a banni de ces lieux si charmants Ce peuple d'importuns que l'on appelle amants. La voici."")","('#dryade', ""Chantez, nymphes des bois, chantez l'heureux retour  Du demi-dieu qui commande à la terre :  Il vous apporte un nouveau jour :  Il revient dans ce doux séjour  Du séjour brillant du tonnerre :  Il revole en ces lieux sur le char de l'Amour. "")",0.61,Substitution
45,"('#aminte', ""Que d'appas, de beautés, et de grâces ! Dirait-on pas que l'air s'embellit à ses traces ?"")","('#choeur-des-nymphes', 'Quelle douce aurore  Se lève sur nous !  Terre, jeune encore,  Embellissez-vous.  Brillantes fleurs, qui parez nos campagnes :  Sommets des superbes montagnes,  Qui divisez les airs, et qui portez les cieux :  Ô nature naissante,  Devenez plus charmante,  Plus digne de ses yeux ! ')",0.48,Substitution
46,"('#daphne', ""Amour, n'approche point de nos ombrages doux, De nos prés, de nos fontaines ; Laisse en repos ces lieux ; assez d'autres que nous Se feront un plaisir de connaître tes peines."")","('#promethee', ""Je le ravis aux dieux, je l'apporte à la terre,  Ce feu sacré du tendre Amour,  Plus puissant mille fois que celui du tonnerre,  Et que les feux du dieu du jour. "")",1.16,Substitution
47,"('#daphne', ""Chloris, n'est-ce pas la ta soeur que tu m'amènes ?"")",,1.0,Insertion
48,"('#chloris', 'Je vous la viens offrir. Nous cherchions en ces lieux Ce que Flore a pour vous de dons plus précieux.')","('#choeur-des-nymphes', ""Fille du ciel, âme du monde,  Passez dans tous les coeurs :  L'air, la terre, et l'onde  Attendent vos faveurs. "")",1.05,Substitution
49,"('#daphne', ""Cherchons, cherchons des fleurs ; l'âge nous y convie : Parons-nous de bouquets pendant notre printemps : Les plaisirs ont chacun leur temps, Comme les saisons de la vie Daphné, ayant achevé ces paroles, se baisse pour cueillir des fleurs, et les Nymphes de la suite en font autant ; pendant quoi un choeur de bergers, demeuré par respect derrière le théâtre, répète ces mots."")","('#promethee', ""Que ce feu précieux, l'astre de la nature,  Que cette flamme pure  Te mette au nombre des vivants.  Terre, sois attentive à ces heureux instants :  Lève-toi, cher objet, c'est l'Amour qui l'ordonne :  A sa voix obéis toujours :  Lève-toi, l'Amour te donne  La vie, un coeur, et de beaux jours.  Pandore se lève sur son estrade, et marche sur la scène."")",0.25,Substitution
50,"('#choeur-de-bergers', 'Cherchons, cherchons des fleurs ; Daphné nous y convie.')","('#choeur', ""Ciel ! Ô ciel ! Elle respire !  Dieu d'amour, quel est ton empire ! "")",1.51,Substitution
51,"('#daphne', ""J'entends de nos bergers le concert plein d'appas. Qu'ils chantent, je le veux, mais qu'ils n'approchent pas."")",,1.0,Insertion
52,"('#choeur-de-bergers', 'Cherchons, cherchons des fleurs ; Daphné nous y convie Il en renaît sous ses pas.')","('#pandore', ""Où suis-je ?et qu'est-ce que je vois ?  Je n'ai jamais été : quel pouvoir m'a fait naître ?  J'ai passé du néant à l'être.  Quels objets ravissants semblent nés avec moi  Ces sons harmonieux enchantent mes oreilles :  Mes yeux sont éblouis de l'amas des merveilles  Que l'auteur de mes jours prodigue sur mes pas.  Ah ! D'où vient qu'il ne paraît pas ?  De moment en moment je pense et je m'éclaire.  Terre qui me portez, vous n'êtes point ma mère :  Un dieu sans doute est mon auteur :  Je le sens, il me parle, il respire en mon coeur.  Ciel ! Est-ce moi que j'envisage ?  Le cristal de cette onde est le miroir des cieux :  La nature s'y peint : plus j'y vois mon image,  Plus je dois rendre grâce aux dieux.  On entend une symphonie. Elle s'assied au bord d'une fontaine."")",0.87,Substitution
53,"('#daphne', 'Déployons nos trésors.')",,1.0,Insertion
54,"('#chloris', ""J'ai cueilli les plus belles."")",,1.0,Insertion
55,"('#aminte', 'Et moi, les plus nouvelles.')",,1.0,Insertion
56,"('#meroe', 'Moi, les plus vives en couleur.')",,1.0,Insertion
57,"('#daphne', ""Et vous ? Quel mauvais choix vous avez fait, ma soeur ! Vous nous direz, pour votre peine, Une chanson contre l'Amour. Cependant je veux que ma Cour Jure de lui porter une éternelle haine ; Jurez la première, Clymène !"")","('#nymphes #titans', ""Pandore, fille de l'Amour,  Charmes naissants, beauté nouvelle,  Inspirez à jamais, sentez à votre tour  Cette flamme immortelle  Dont vous tenez le jour.  On danse autour d'elle. On danse."")",0.53,Substitution
58,"('#clymene', ""Tout serment De n'avoir jamais d'amant Est chose fort incertaine ; Il en est peu que l'on tienne Plus d'un jour, plus d'un moment : Tout serment De n'avoir jamais d'amant Est chose fort incertaine."")","('#pandore', ""Quel objet attire mes yeux !  De tout ce que je vois, dans ces aimables lieux,  C'est vous, c'est vous, sans doute, à qui je dois la vie.  Du feu de vos regards que mon âme est remplie !  Vous semblez encor m'animer. "")",1.45,Substitution
59,"('#daphne', 'Je veux que vous juriez ; dites donc après moi : Amour,')","('#promethee', ""Vos beaux yeux ont su m'enflammer  Lorsqu'ils ne s'ouvraient pas encore :  Vous ne pouviez répondre, et j'osais vous aimer.  Vous parlez, et je vous adore. "")",0.44,Substitution
60,"('#clymene', 'Amour,')",,1.0,Insertion
61,"('#daphne', 'Si jamais sous ta loi Je respire,')",,1.0,Insertion
62,"('#clymene', 'Si jamais sous ta loi Je respire,')",,1.0,Insertion
63,"('#daphne', 'Je consens de mourir.')",,1.0,Insertion
64,"('#clymene', ""Mourir ? c'est beaucoup dire."")",,1.0,Insertion
65,"('#daphne', 'Je consens de mourir, si jamais je soupire.')",,1.0,Insertion
66,"('#clymene', 'Je consens de mourir, si jamais je soupire.')",,1.0,Insertion
67,"('#daphne', 'Clymène, acquittez-vous ; accompagnons ses sons, Et que nos pas animent nos chansons. Daphné et les personnes de sa suite se prennent alors par la main, et Clymène chante cette gavotte que toute la troupe danse, la répétant après elle : ')",,1.0,Insertion
68,"('#clymene', ""L'autre jour sur l'herbe tendre Je m'assis près de Philandre : Il me conta ses tourments ; Ma mère alors me querelle. « Petite fille, dit-elle, N'écoutez point les amants. Ils sont indiscrets, volages, Téméraires, et peu sages ; Ils font mille faux serments : Ils sont jaloux, ils sont traîtres, Et tyrans quand ils sont maîtres, N'écoutez point les amants. » Écoutez ma chansonnette, Et l'écho qui la répète, Et ces rossignols charmants : Leur musique est sans pareille ; Mais ne prêtez point l'oreille Au ramage des amants."")","('#pandore', ""Vous m'aimez ! Cher auteur de mes jours commencés,  Vous m'aimez ! Et je vous dois l'être !  La terre m'enchantait : que vous l'embellissez !  Mon coeur vole vers vous, il se rend à son maître :  Et je ne puis connaître  Si ma bouche en dit trop, ou n'en dit pas assez."")",0.22,Substitution
69,"('#daphne', 'Méroé, poursuivez nos divertissements.')",,1.0,Insertion
70,"('#meroe', ""J'ai vu le temps qu'une jeune fillette Pouvait, sans peur, aller au bois seulette. Maintenant, maintenant les bergers sont loups : Je vous dis, je vous dis : « Filles, gardez-vous. »"")","('#promethee', ""Vous n'en sauriez trop dire, et la simple nature  Parle sans feinte et sans détour.  Que toujours la race future  Prononce ainsi le nom d'Amour ! "")",1.35,Substitution
71,"('#apollon', ""Voici Tempé, cette vallée Dont on vante partout l'ombrage et les beautés ; Et voilà les flots argentés Qu'y fait couler le dieu Penée. Plus loin vers ces sommets mon empire s'étend. N'y veux-tu pas venir, Momus ? On nous attend."")","('#pandore-promethee', ""Charmant Amour, éternelle puissance,  Premier dieu de mon coeur,  Amour, ton empire commence :  C'est l'empire du bonheur. "")",0.42,Substitution
72,"('#momus', ""Demeurons encore où nous sommes : Ai-je pu voir en un instant Toutes les sottises des hommes ? Par vos puissants efforts, invincible Apollon, On ne craint plus ici les fureurs de Python. Les habitants de ces rivages DeVÉNUS plus heureux, n'en seront pas plus sages : Le temps de la sottise est celui du bonheur."")","('#promethee', 'Ciel ! quelle épaisse nuit, quels éclats du tonnerre,  Détruisent les premiers instants  Des innocents plaisirs que possédait la terre !  Quelle horreur a troublé mes sens ! ')",0.77,Substitution
73,"('#apollon', 'Mais que dis-tu de ma victoire ?')",,1.0,Insertion
74,"('#momus', ""Elle vous a comblé d'honneur, Et rien n'égale votre gloire."")",,1.0,Insertion
75,"('#apollon', ""Que le fils de VÉNUS cesse de se vanter Qu'ainsi que nous il sait porter Un carquois, un arc, et des flèches ; C'est un enfant qui fait des brèches Dans les coeurs aisés à dompter. Il remporte toujours des victoires faciles ; Je défais des serpents qui dépeuplent des villes."")","('#pandore-promethee', ""La terre frémit, le ciel gronde :  Des éclairs menaçants  Ont percé la voûte profonde  De ces astres naissants.  Quel pouvoir ébranle le monde  Jusqu'en ses fondements ?  On voit descendre un char sur lequel sont Mercure, la Discorde, Némésis, etc. "")",0.7,Substitution
76,"('#momus', ""Vous méprisez celui qui tient tout sous sa loi. Si l'Amour vous entend ?"")",,1.0,Insertion
77,"('#apollon', 'Et que crains-tu pour moi ?')",,1.0,Insertion
78,"('#momus', ""Parlez bas, c'est un dieu ; s'il venait à paraître ?"")",,1.0,Insertion
79,"('#apollon', ""Un dieu ! c'est un enfant : quitte ce vain souci."")",,1.0,Insertion
80,"('#momus', 'Qui donne à Jupiter un maître, Vous en pourrait donner aussi.')",,1.0,Insertion
81,"('#cupidon', ""Quel est l'orgueilleux qui me brave ? Quel téméraire ose attaquer l'Amour ? Ah ! je vous reconnais : vous serez mon esclave Avant la fin du jour. Ces paroles dites, Cupidon s'en revole dans les airs. "")","('#mercure', 'Un héros téméraire a pris le feu céleste :  Pour expier ce vol audacieux,  Montez, Pandore, au sein des dieux. ')",0.67,Substitution
82,"('#momus', ""Que cet enfant est fier ! Voyez comme il menace ! Ne le prendrait-on pas pour l'aîné des Titans ? Je plains le dompteur de serpents ; Il ne fait pas sûr en sa place. Tandis que Momus dit ces paroles, Daphné avec ses compagnes, par une curiosité de jeunes filles, avance un peu la tête sur le théâtre, et fait quelques pas dans la scène pour voir ces deux étrangers. Apollon la voit un moment ; aussitôt l'Amour, qui est demeuré dans l'air, fait son coup, et Daphné avec sa troupe s'enfuit encore une fois."")","('#promethee', 'Tyrans cruels ! ')",1.84,Substitution
83,"('#apollon', ""Ah ! Qu'ai je vu, Momus ! Que de traits éclatants ! Que de jeunesse, que de grâce !"")","('#pandore', ""Ordre funeste !  Larmes que j'ignorais, vous coulez de mes yeux. "")",1.09,Substitution
84,"('#momus', 'Elle fuit.')",,1.0,Insertion
85,"('#apollon', 'Mille amours avec elle ont paru.')","('#mercure', 'Obéissez, montez aux cieux. ')",1.66,Substitution
86,"('#momus', ""Mille amours ? C'est beaucoup ; je n'en ai pas tant vu. Vous aimez ; vous voyez d'un autre oeil que le nôtre : De quelques qualités qu'un objet soit pourvu, L'amant y voit toujours ou plus_ou_moins qu'un autre."")","('#pandore', ""Ah ! J'étais dans le ciel en voyant ce que j'aime. "")",1.17,Substitution
87,"('#apollon', ""Déesse, tu me fuis ? T'ai-je déjà déplu ? C'est pourtant Apollon qui t'aime, qui t'adore. Je n'en puis plus, je sens un feu qui me dévore : Reviens, charmant objet ! Et vous, Olympe, cieux, Je vous dis d'éternels adieux ; Je vous méprise, je vous laisse : Qu'êtes-vous près de ma déesse ? Tout votre éclat vaut-il un seul trait de ses yeux ? Ne la verrai-je plus ? Faut-il que cette belle Emporte mes plaisirs et mon coeur avec elle ? Demeurons sur ces bords, je ne les puis laisser."")","('#promethee', 'Cruels ! ayez pitié de ma douleur extrême. ')",1.13,Substitution
88,"('#momus', 'Passerons-nous pour dieux ?')",,1.0,Insertion
89,"('#apollon', 'Et pour qui donc passer')","('#pandore #promethee', 'Barbares, arrêtez. ')",1.69,Substitution
90,"('#momus', ""Pour mortels, car les dieux, par leur grandeur suprême Ne font souvent qu'embarrasser : On les craint plus qu'on ne les aime. Les vrais amants doivent toujours Sous un maître commun vivre d'égale sorte : Ou monarques ou dieux, n'entrez chez vos amours Qu'après avoir laissé vos grandeurs à la porte"")","('#mercure', ""Venez, montez aux cieux, partez :  Jupiter commande :  Il faut qu'on se rende  À ses volontés.  Venez, montez aux cieux, partez.  Vents, obéissez-nous, et déployez vos ailes :  Vents, conduisez Pandore aux voûtes éternelles.  Le char disparaît."")",0.67,Substitution
91,"('#apollon', ""Je te croirai ; changeons de nom : Je m'appelle Tharsis, satrape de Lycie."")",,1.0,Insertion
92,"('#momus', ""Et moi, son suivant Télamon Que si sur mon chemin quelque Nymphe jolie Se rencontre en passant, je prétends bien aussi La cajoler, m'approcher d'elle, Non pas en amoureux transi : Je vous veux servir de modèle Et cependant, allons conquérir votre belle."")","('#promethee', ""On l'enlève : tyrans jaloux,  Dieux, vous m'arrachez mon partage :  Il était plus divin que vous :  Vous étiez malheureux, vous étiez en courroux  Du bonheur qui fut mon ouvrage :  Je ne devais qu'à moi ce bonheur précieux.  J'ai fait plus que Jupiter même,  Je me suis fait aimer. J'animais ces beaux yeux :  Ils m'ont dit en s'ouvrant : Vous m'aimez, je vous aime.  Elle vivait par moi, je vivais dans son coeur,  Dieux jaloux, respectez nos chaînes.  Ô Jupiter ! Ô fureurs inhumaines !  Éternel persécuteur,  De l'infortune créateur; Tu sentiras toutes mes peines.  Je braverai ton pouvoir :  Ta foudre épouvantable  Sera moins redoutable  Que mon amour au désespoir. "")",0.51,Substitution
93,"('#venus', ""Qu'est devenu mon fils ? Mortels, le savez-vous ? Je souffre, je languis, je meurs en son absence : Si l'Amour ne me suit, rien ne me semble doux. Heureux les lieux qu'anime sa présence ! Heureux tout l'Univers qui me doit sa naissance ! Qu'est devenu l'Amour ? Échos, le savez-vous ? Quel nouveau coeur aujourd'hui de ses coups Éprouve la puissance ? Qu'est devenu l'Amour ? Échos, le savez-vous ? Je souffre, je languis, je meurs en son absence. Ce récit fait, l'Amour se vient jeter dans le giron de sa mère."")","('#jupiter', ""Je l'ai vu cet objet sur la terre animé :  Je l'ai vu, j'ai senti des transports qui m'étonnent :  Le ciel est dans ses yeux, les grâces l'environnent :  Je sens que l'Amour l'a formé. "")",0.15,Substitution
94,"('#venus', ""Ah ! Mon fils, d'où viens-tu ?"")",,1.0,Insertion
95,"('#amour', ""De blesser Apollon. Je l'ai rendu pour Daphné tout de flamme ; Tandis qu'un autre trait, par un autre poison, Fait que pour lui Daphné n'a que haine dans l'âme."")","('#mercure', 'Vous régnez, vous plairez, vous la rendrez sensible,  Vous allez éblouir ses yeux à peine ouverts. ')",1.29,Substitution
96,"('#venus', ""Amour, tu sais dompter les coeurs et les esprits. Que la terre et les cieux célèbrent de mon fils La dernière victoire ! Mortels et dieux, chantez sa gloire. Allez de toutes parts, courez, Amours et Ris ; Faites connaître de mon fils Le doux et le suprême empire : Ne laissez rien qui ne soupire. Allez de toutes parts, courez, Amours et Jeux ; Rendez l'Univers amoureux Aux dieux et aux hommes : Pour obéir à ce commandement de Vénus, on chante et on danse sur la terre, et dans la gloire, qui est au fond du théâtre : sur la terre, des personnes de toutes conditions, et dans la gloire, des enfants qui représentent les Amours, les Jeux et les Ris. La danse achevée, Vénus, dont le char est entouré d'enfants chante ces paroles : "")","('#jupiter', ""Non, je ne fus jamais que puissant et terrible :  Je commande à l'Olympe, à la terre, aux enfers :  Les coeurs sont à l'Amour. Ah ! que le sort m'outrage !  Quand il donna les cieux, quand il donna les mers,  Quand il divisa l'univers,  L'Amour eut le plus beau partage. "")",0.04,Substitution
97,"('#penee', 'Dieux tributaires de mon onde, Je veux, par les beautés de ce moite séjour, Arrêter quelque temps deux princes à ma Cour ; Que votre zèle me seconde !')",,1.0,Insertion
98,"('#fleuves', 'Commandez.')",,1.0,Insertion
99,"('#penee', ""Que le Sort vous a rendus heureux ! Hyménée et l'Amour fréquentent vos rivages : Vos grottes quelquefois leur prêtent des ombrages : Ces dieux me méprisent tous deux."")","('#mercure', ""Que craignez-vous ? Pandore à peine a vu le jour,  Et d'elle-même encore à peine a connaissance :  Aurait-elle senti l'amour  Dès le moment de sa naissance ? "")",1.18,Substitution
100,"('#apidame', ""Laissez agir le temps ; il peut tout auprès d'eux. A peine a-t-il encor fait passer la princesse Des appas de l'enfance à ceux de la jeunesse : Deux soleils ont à peine éclairé son printemps."")","('#jupiter', ""L'Amour instruit trop aisément.  Que ne peut point Pandore ? Elle est femme, elle est belle.  La voilà : jouissons de son étonnement.  Retirons-nous pour un moment  Sous les arcs lumineux de la voûte éternelle.  Cieux, enchantez ses yeux, et parlez à son coeur :  Vous déploierez en vain ma gloire et ma splendeur :  Vous n'avez rien de si beau qu'elle.  Il se retire."")",0.47,Substitution
